2254-2016-07-16_65_Weissenstein-Schwinget-ST

1a;Orlik Armon;**;;;;;;;;;58.5
5a;Gisler Bruno;***;;;;;;;;;56.75
o;;;Imhof Andi;***;;;;;;;8.5
+;5;8.5;Bernold Christian;**;15;54.25;1;10.0;-4;1.5;9.75
+;7;18.25;Glaus Martin;***;12;55.0;2;19.75;-5;1.5;9.75
-;6;28.0;Bless Michael;***;4;57.0;2;29.5;-4;1.5;9.0
+;7;37.0;Strebel Joel;**;11;55.25;3;38.0;-4;1.0;10.0
+;7;47.0;Rychen Roger;**;9;55.75;6;47.25;-1;0.25;9.75

5b;Bösch Daniel;***;;;;;;;;;56.75
+;;;Räbmatter Patrick;**;;;;;;;9.75
+;2;9.75;Imhof Andi;***;18;53.5;1;10.0;-1;0.25;9.75
+;3;19.5;Kindlimann Fabian;***;4;57.0;1;20.0;-2;0.5;10.0
-;2;29.5;Wicki Joel;**;3;57.5;1;29.75;-1;0.25;9.0
+;2;38.5;Schuler Philipp;**;11;55.25;4;37.75;2;-0.75;9.75
o;3;48.25;Ulrich Andreas;***;2;58.0;4;48.0;1;-0.25;8.5

6a;Schmid David;**;;;;;;;;;56.5
o;;;Bless Michael;***;;;;;;;8.5
+;5;8.5;Brun Samuel (1999);*;27;34.5;5;8.5;0;0.0;10.0
+;6;18.5;Bernold Christian;**;15;54.25;6;18.5;0;0.0;9.75
-;5;28.25;Orlik Armon;**;1;58.5;2;29.5;-3;1.25;8.75
+;7;37.0;Schillig Willi;**;15;54.25;6;37.25;-1;0.25;9.75
+;8;46.75;Krähenbühl Tobias;**;11;55.25;8;46.75;0;0.0;9.75

6b;Räbmatter Patrick;**;;;;;;;;;56.5
o;;;Bösch Daniel;***;;;;;;;8.5
+;5;8.5;Waldner Patrick;**;21;52.75;5;8.5;0;0.0;9.75
+;7;18.25;Knechtle Martin;**;23;35.5;6;18.5;-1;0.25;9.75
+;6;28.0;Brand Christian;**;15;54.25;7;27.5;1;-0.5;10.0
+;3;38.0;Bless Michael;***;4;57.0;2;38.5;-1;0.5;10.0
o;4;48.0;Forrer Arnold;***;3;57.5;5;47.5;1;-0.5;8.5

6c;Gwerder Andreas;**;;;;;;;;;56.5
+;;;Hügli Kaj;*;;;;;;;9.75
o;2;9.75;Thürig Mario;***;7;56.25;5;8.5;3;-1.25;8.5
+;7;18.25;Dobler Florian;;17;53.75;2;19.75;-5;1.5;10.0
o;5;28.25;Studinger Stephan;**;9;55.75;7;27.5;2;-0.75;8.5
+;8;36.75;Döbeli Andreas (1998);*;16;54.0;8;36.75;0;0.0;10.0
+;8;46.75;Strebel Joel;**;11;55.25;9;46.5;1;-0.25;9.75

7a;Thürig Mario;***;;;;;;;;;56.25
o;;;Ulrich Andreas;***;;;;;;;8.5
+;5;8.5;Gwerder Andreas;**;6;56.5;2;9.75;-3;1.25;10.0
-;6;18.5;Zwyssig Raphael;***;9;55.75;5;18.75;-1;0.25;8.75
+;8;27.25;Wickli Beat;**;11;55.25;4;28.5;-4;1.25;10.0
+;6;37.25;Rhyner Michael;**;15;54.25;6;37.25;0;0.0;10.0
-;6;47.25;Bühler Ernst;**;7;56.25;6;47.25;0;0.0;9.0

7b;Blatter Lorenz;**;;;;;;;;;56.25
-;;;Clopath Beat;***;;;;;;;8.75
+;4;8.75;Hügli Kaj;*;11;55.25;5;8.5;1;-0.25;10.0
+;5;18.75;Zbinden Marc;*;13;54.75;5;18.75;0;0.0;10.0
o;3;28.75;Glaus Martin;***;12;55.0;5;28.25;2;-0.5;8.5
+;6;37.25;Dobler Florian;;17;53.75;8;36.75;2;-0.5;10.0
-;6;47.25;Gwerder Guido;**;11;55.25;10;46.25;4;-1.0;9.0

7c;Bühler Ernst;**;;;;;;;;;56.25
+;;;Steinmann Yves;*;;;;;;;10.0
+;1;10.0;Winiger Fabian;**;20;53.0;1;10.0;0;0.0;10.0
o;1;20.0;Orlik Armon;**;1;58.5;2;19.75;1;-0.25;8.5
-;4;28.5;Bieri Christoph;***;17;53.75;8;27.25;4;-1.25;9.0
+;5;37.5;Voggensperger Janic (1998);*;14;54.5;5;37.5;0;0.0;9.75
-;6;47.25;Thürig Mario;***;7;56.25;6;47.25;0;0.0;9.0

7d;Stalder Remo;***;;;;;;;;;56.25
o;;;Schuler Christian;***;;;;;;;8.5
+;5;8.5;Nyffeler Christoph;*;28;34.25;5;8.5;0;0.0;9.75
+;7;18.25;Waser Dominik;**;14;54.5;5;18.75;-2;0.5;9.75
o;6;28.0;Forrer Arnold;***;3;57.5;3;28.75;-3;0.75;8.5
+;9;36.5;Arnold Stefan;**;10;55.5;7;37.0;-2;0.5;10.0
+;9;46.5;Wickli Beat;**;11;55.25;8;46.75;-1;0.25;9.75

7e;Alpiger Nick;**;;;;;;;;;56.25
-;;;Forrer Arnold;***;;;;;;;8.75
-;4;8.75;Knechtle Martin;**;23;35.5;2;9.75;-2;1.0;9.0
-;8;17.75;Arnold Stefan;**;10;55.5;6;18.5;-2;0.75;8.75
+;11;26.5;Bernold Christian;**;15;54.25;9;27.0;-2;0.5;9.75
+;10;36.25;Betschart Remo;**;12;55.0;8;36.75;-2;0.5;10.0
+;10;46.25;Glaus Martin;***;12;55.0;9;46.5;-1;0.25;10.0

8a;Stöckli Stefan;**;;;;;;;;;56.0
-;;;Horner Peter;**;;;;;;;8.75
-;4;8.75;Stüdeli Thomas;**;15;54.25;5;8.5;1;-0.25;8.75
+;9;17.5;von Arx Christian;*;24;35.25;11;17.0;2;-0.5;9.75
+;8;27.25;Scherrer Johann;**;21;52.75;8;27.25;0;0.0;10.0
-;6;37.25;Bieri Christoph;***;17;53.75;10;36.25;4;-1.0;8.75
+;11;46.0;Rhyner Michael;**;15;54.25;12;45.75;1;-0.25;10.0

8b;Clopath Beat;***;;;;;;;;;56.0
-;;;Blatter Lorenz;**;;;;;;;8.75
-;4;8.75;Brand Christian;**;15;54.25;4;8.75;0;0.0;8.75
+;9;17.5;Winiger Fabian;**;20;53.0;6;18.5;-3;1.0;10.0
o;7;27.5;Gwerder Guido;**;11;55.25;6;28.0;-1;0.5;8.5
+;11;36.0;Kocher Remo;**;19;53.25;11;36.0;0;0.0;10.0
+;11;46.0;Studinger Stephan;**;9;55.75;6;47.25;-5;1.25;10.0

8c;Fässler Andreas;**;;;;;;;;;56.0
+;;;Döbeli Andreas (1998);*;;;;;;;9.75
-;2;9.75;Bieri Christoph;***;17;53.75;5;8.5;3;-1.25;8.75
-;6;18.5;Suppiger Werner;**;11;55.25;7;18.25;1;-0.25;8.75
+;8;27.25;Klausner Yanick;**;24;35.25;10;26.75;2;-0.5;10.0
-;6;37.25;Waser Dominik;**;14;54.5;6;37.25;0;0.0;8.75
+;11;46.0;Voggensperger Janic (1998);*;14;54.5;11;46.0;0;0.0;10.0

9a;Zwyssig Raphael;***;;;;;;;;;55.75
+;;;Klausner Yanick;**;;;;;;;10.0
-;1;10.0;Schuler Philipp;**;11;55.25;1;10.0;0;0.0;8.75
-;5;18.75;Thürig Mario;***;7;56.25;6;18.5;1;-0.25;8.75
+;7;27.5;Döbeli Andreas (1998);*;16;54.0;5;28.25;-2;0.75;10.0
o;5;37.5;Ulrich Andreas;***;2;58.0;3;38.0;-2;0.5;8.5
+;11;46.0;Vieira Tiago;**;14;54.5;12;45.75;1;-0.25;9.75

9b;Rychen Roger;**;;;;;;;;;55.75
+;;;Moser Matthias;*;;;;;;;10.0
+;1;10.0;Hasler Manuel;*;16;54.0;2;9.75;1;-0.25;10.0
+;1;20.0;Imhof Andi;***;18;53.5;6;18.5;5;-1.5;9.75
-;1;29.75;Schuler Philipp;**;11;55.25;3;28.75;2;-1.0;9.0
o;1;38.75;Wicki Joel;**;3;57.5;1;38.75;0;0.0;8.5
o;6;47.25;Gisler Bruno;***;5;56.75;7;47.0;1;-0.25;8.5

9c;Studinger Stephan;**;;;;;;;;;55.75
-;;;Oertig Adrian;**;;;;;;;9.0
+;3;9.0;Brügger Cyrill (1998);;22;52.5;1;10.0;-2;1.0;10.0
o;4;19.0;Bless Michael;***;4;57.0;2;19.75;-2;0.75;8.5
+;7;27.5;Gwerder Andreas;**;6;56.5;5;28.25;-2;0.75;10.0
+;5;37.5;Gwerder Guido;**;11;55.25;4;37.75;-1;0.25;9.75
o;6;47.25;Clopath Beat;***;8;56.0;11;46.0;5;-1.25;8.5

10a;Erb Roger;**;;;;;;;;;55.5
o;;;Orlik Armon;**;;;;;;;8.5
+;5;8.5;Rüegger Aaron (1999);;29;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Forrer Arnold;***;3;57.5;5;18.75;-1;0.25;8.5
+;9;27.0;Steinmann Yves;*;24;35.25;10;26.75;1;-0.25;10.0
+;7;37.0;Schneider Mario;**;14;54.5;6;37.25;-1;0.25;10.0
o;7;47.0;Kindlimann Fabian;***;4;57.0;6;47.25;-1;0.25;8.5

10b;Britschgi Melk;**;;;;;;;;;55.5
-;;;Brand Christian;**;;;;;;;8.75
o;4;8.75;Klausner Yanick;**;24;35.25;5;8.5;1;-0.25;8.5
-;10;17.25;Moser Matthias;*;19;53.25;10;17.25;0;0.0;8.75
+;13;26.0;Arnold Kornel;*;17;53.75;9;27.0;-4;1.0;10.0
+;11;36.0;Krebs Clemens;;21;52.75;12;35.75;1;-0.25;9.75
+;12;45.75;Stüdeli Thomas;**;15;54.25;12;45.75;0;0.0;9.75

10c;Arnold Stefan;**;;;;;;;;;55.5
+;;;Brun Samuel (1999);*;;;;;;;10.0
o;1;10.0;Kindlimann Fabian;***;4;57.0;1;10.0;0;0.0;8.5
-;6;18.5;Alpiger Nick;**;7;56.25;8;17.75;2;-0.75;8.75
+;8;27.25;Winiger Fabian;**;20;53.0;9;27.0;1;-0.25;9.75
o;7;37.0;Stalder Remo;***;7;56.25;9;36.5;2;-0.5;8.5
+;13;45.5;Dobler Florian;;17;53.75;14;45.25;1;-0.25;10.0

11a;Schuler Philipp;**;;;;;;;;;55.25
+;;;Vieira Tiago;**;;;;;;;10.0
-;1;10.0;Zwyssig Raphael;***;9;55.75;1;10.0;0;0.0;8.75
+;5;18.75;Brügger Cyrill (1998);;22;52.5;6;18.5;1;-0.25;10.0
-;3;28.75;Rychen Roger;**;9;55.75;1;29.75;-2;1.0;9.0
o;4;37.75;Bösch Daniel;***;5;56.75;2;38.5;-2;0.75;8.5
-;10;46.25;Horner Peter;**;13;54.75;11;46.0;1;-0.25;9.0

11b;Suppiger Werner;**;;;;;;;;;55.25
+;;;Widmer Tobias;**;;;;;;;9.75
o;2;9.75;Leuppi Samir;**;30;28.25;1;10.0;-1;0.25;8.5
-;7;18.25;Fässler Andreas;**;8;56.0;6;18.5;-1;0.25;8.75
+;9;27.0;Waldner Patrick;**;21;52.75;9;27.0;0;0.0;10.0
o;7;37.0;Krähenbühl Tobias;**;11;55.25;7;37.0;0;0.0;8.5
+;13;45.5;Schillig Willi;**;15;54.25;12;45.75;-1;0.25;9.75

11c;Hügli Kaj;*;;;;;;;;;55.25
o;;;Gwerder Andreas;**;;;;;;;8.5
o;5;8.5;Blatter Lorenz;**;7;56.25;4;8.75;-1;0.25;8.5
+;11;17.0;Lisser Beat;;24;35.25;11;17.0;0;0.0;10.0
-;9;27.0;Zbinden Marc;*;13;54.75;8;27.25;-1;0.25;8.75
+;12;35.75;Büttler Adrian (1999);;22;52.5;13;35.5;1;-0.25;9.75
+;13;45.5;Moser Matthias;*;19;53.25;16;44.75;3;-0.75;9.75

11d;Strebel Joel;**;;;;;;;;;55.25
+;;;Rhyner Michael;**;;;;;;;9.75
o;2;9.75;Glaus Martin;***;12;55.0;1;10.0;-1;0.25;8.75
+;6;18.5;Bernhard Lukas;*;14;54.5;6;18.5;0;0.0;9.75
+;5;28.25;Dobler Florian;;17;53.75;5;28.25;0;0.0;9.75
o;3;38.0;Gisler Bruno;***;5;56.75;7;37.0;4;-1.0;8.5
o;9;46.5;Gwerder Andreas;**;6;56.5;8;46.75;-1;0.25;8.75

11e;Gwerder Guido;**;;;;;;;;;55.25
+;;;Scherrer Johann;**;;;;;;;9.75
o;2;9.75;Forrer Arnold;***;3;57.5;4;8.75;2;-1.0;8.5
+;7;18.25;Hasler Manuel;*;16;54.0;7;18.25;0;0.0;9.75
+;6;28.0;Clopath Beat;***;8;56.0;7;27.5;1;-0.5;9.75
o;4;37.75;Studinger Stephan;**;9;55.75;5;37.5;1;-0.25;8.5
-;10;46.25;Blatter Lorenz;**;7;56.25;6;47.25;-4;1.0;9.0

11f;Wickli Beat;**;;;;;;;;;55.25
-;;;Henzer Andreas;**;;;;;;;9.0
+;3;9.0;Hauri Urs;**;15;54.25;4;8.75;1;-0.25;9.75
+;5;18.75;Klausner Yanick;**;24;35.25;7;18.25;2;-0.5;9.75
o;4;28.5;Thürig Mario;***;7;56.25;8;27.25;4;-1.25;8.5
+;7;37.0;Widmer Tobias;**;12;55.0;8;36.75;1;-0.25;9.75
o;8;46.75;Stalder Remo;***;7;56.25;9;46.5;1;-0.25;8.5

11g;Krähenbühl Tobias;**;;;;;;;;;55.25
+;;;von Arx Christian;*;;;;;;;10.0
+;1;10.0;Bernhard Lukas;*;14;54.5;1;10.0;0;0.0;10.0
o;1;20.0;Wicki Joel;**;3;57.5;2;19.75;1;-0.25;8.5
o;4;28.5;Ulrich Andreas;***;2;58.0;5;28.25;1;-0.25;8.5
+;7;37.0;Suppiger Werner;**;11;55.25;7;37.0;0;0.0;9.75
o;8;46.75;Schmid David;**;6;56.5;8;46.75;0;0.0;8.5

12a;Widmer Tobias;**;;;;;;;;;55.0
o;;;Suppiger Werner;**;;;;;;;8.5
o;5;8.5;Rhyner Michael;**;15;54.25;5;8.5;0;0.0;8.5
+;11;17.0;Nyffeler Christoph;*;28;34.25;11;17.0;0;0.0;9.75
+;10;26.75;Schmutz Adrian;*;26;34.75;12;26.25;2;-0.5;10.0
o;8;36.75;Wickli Beat;**;11;55.25;7;37.0;-1;0.25;8.5
+;14;45.25;Büttler Adrian (1999);;22;52.5;19;44.0;5;-1.25;9.75

12b;Glaus Martin;***;;;;;;;;;55.0
+;;;Stüdeli Thomas;**;;;;;;;10.0
+;1;10.0;Strebel Joel;**;11;55.25;2;9.75;1;-0.25;9.75
o;2;19.75;Gisler Bruno;***;5;56.75;7;18.25;5;-1.5;8.5
+;5;28.25;Blatter Lorenz;**;7;56.25;3;28.75;-2;0.5;9.75
o;3;38.0;Orlik Armon;**;1;58.5;2;38.5;-1;0.5;8.5
o;9;46.5;Alpiger Nick;**;7;56.25;10;46.25;1;-0.25;8.5

12c;Betschart Remo;**;;;;;;;;;55.0
+;;;Lisser Beat;;;;;;;;9.75
-;2;9.75;Schneider Mario;**;14;54.5;1;10.0;-1;0.25;8.75
o;6;18.5;Bieri Christoph;***;17;53.75;10;17.25;4;-1.25;8.5
+;9;27.0;Döbeli Lukas (2000);*;26;34.75;12;26.25;3;-0.75;9.75
o;8;36.75;Alpiger Nick;**;7;56.25;10;36.25;2;-0.5;8.5
+;14;45.25;Döbeli Andreas (1998);*;16;54.0;13;45.5;-1;0.25;9.75

13a;Horner Peter;**;;;;;;;;;54.75
-;;;Stöckli Stefan;**;;;;;;;8.75
-;4;8.75;Voggensperger Janic (1998);*;14;54.5;4;8.75;0;0.0;9.0
+;8;17.75;Vieira Tiago;**;14;54.5;10;17.25;2;-0.5;9.75
+;7;27.5;Stoll Simon;;13;54.75;8;27.25;1;-0.25;9.75
-;6;37.25;Imhof Andi;***;18;53.5;11;36.0;5;-1.25;8.75
-;11;46.0;Schuler Philipp;**;11;55.25;10;46.25;-1;0.25;8.75

13b;Stoll Simon;;;;;;;;;;54.75
+;;;Seiser Kay (2000);;;;;;;;10.0
-;1;10.0;Kocher Remo;**;19;53.25;5;8.5;4;-1.5;8.75
o;5;18.75;Horner Peter;**;13;54.75;8;17.75;3;-1.0;8.5
-;8;27.25;Leuthard Reto;*;14;54.5;8;27.25;0;0.0;8.75
+;11;36.0;Brand Christian;**;15;54.25;11;36.0;0;0.0;10.0
-;11;46.0;Schneider Mario;**;14;54.5;12;45.75;1;-0.25;8.75

13c;Zbinden Marc;*;;;;;;;;;54.75
+;;;Waldner Patrick;**;;;;;;;10.0
-;1;10.0;Leuthard Reto;*;14;54.5;2;9.75;1;-0.25;8.75
o;5;18.75;Blatter Lorenz;**;7;56.25;5;18.75;0;0.0;8.5
-;8;27.25;Hügli Kaj;*;11;55.25;9;27.0;1;-0.25;8.75
+;11;36.0;Mangold Martin;;17;53.75;13;35.5;2;-0.5;10.0
-;11;46.0;Imhof Andi;***;18;53.5;16;44.75;5;-1.25;8.75

14a;Bernhard Lukas;*;;;;;;;;;54.5
+;;;Hermann Oliver;*;;;;;;;10.0
o;1;10.0;Krähenbühl Tobias;**;11;55.25;1;10.0;0;0.0;8.5
o;6;18.5;Strebel Joel;**;11;55.25;6;18.5;0;0.0;8.5
-;9;27.0;Henzer Andreas;**;25;35.0;12;26.25;3;-0.75;8.75
+;12;35.75;Scherrer Johann;**;21;52.75;12;35.75;0;0.0;10.0
-;12;45.75;Bieri Christoph;***;17;53.75;15;45.0;3;-0.75;8.75

14b;Zimmermann Simon;**;;;;;;;;;54.5
o;;;Winiger Fabian;**;;;;;;;8.5
+;5;8.5;von Arx Christian;*;24;35.25;5;8.5;0;0.0;10.0
+;6;18.5;Arnold Kornel;*;17;53.75;6;18.5;0;0.0;10.0
o;4;28.5;Kindlimann Fabian;***;4;57.0;4;28.5;0;0.0;8.5
-;7;37.0;Stüdeli Thomas;**;15;54.25;7;37.0;0;0.0;8.75
-;12;45.75;Hasler Manuel;*;16;54.0;14;45.25;2;-0.5;8.75

14c;Voggensperger Janic (1998);*;;;;;;;;;54.5
-;;;Schläpfer Markus;**;;;;;;;8.75
-;4;8.75;Horner Peter;**;13;54.75;4;8.75;0;0.0;8.75
+;9;17.5;Mangold Martin;;17;53.75;6;18.5;-3;1.0;10.0
+;7;27.5;Burkhalter Stefan;***;23;35.5;9;27.0;2;-0.5;10.0
o;5;37.5;Bühler Ernst;**;7;56.25;5;37.5;0;0.0;8.5
o;11;46.0;Fässler Andreas;**;8;56.0;11;46.0;0;0.0;8.5

14d;Vieira Tiago;**;;;;;;;;;54.5
o;;;Schuler Philipp;**;;;;;;;8.5
-;5;8.5;Hirt Pascal;**;23;35.5;5;8.5;0;0.0;8.75
o;10;17.25;Horner Peter;**;13;54.75;8;17.75;-2;0.5;8.5
+;14;25.75;Knechtle Martin;**;23;35.5;9;27.0;-5;1.25;10.0
+;12;35.75;Schläpfer Markus;**;19;53.25;11;36.0;-1;0.25;10.0
o;12;45.75;Zwyssig Raphael;***;9;55.75;11;46.0;-1;0.25;8.75

14e;Schneider Mario;**;;;;;;;;;54.5
+;;;Döbeli Lukas (2000);*;;;;;;;10.0
-;1;10.0;Betschart Remo;**;12;55.0;2;9.75;1;-0.25;8.75
+;5;18.75;Arnold Kornel;*;17;53.75;6;18.5;1;-0.25;9.75
-;4;28.5;Imhof Andi;***;18;53.5;8;27.25;4;-1.25;8.75
o;6;37.25;Erb Roger;**;10;55.5;7;37.0;1;-0.25;8.5
-;12;45.75;Stoll Simon;;13;54.75;11;46.0;-1;0.25;8.75

14f;Waser Dominik;**;;;;;;;;;54.5
o;;;Arnold Kornel;*;;;;;;;8.75
+;4;8.75;Schaffner Samuel;**;16;54.0;5;8.5;1;-0.25;10.0
o;5;18.75;Stalder Remo;***;7;56.25;7;18.25;2;-0.5;8.5
+;8;27.25;Krebs Clemens;;21;52.75;8;27.25;0;0.0;10.0
-;6;37.25;Fässler Andreas;**;8;56.0;6;37.25;0;0.0;8.75
o;11;46.0;Bless Michael;***;4;57.0;7;47.0;-4;1.0;8.5

14g;Leuthard Reto;*;;;;;;;;;54.5
+;;;Hirt Pascal;**;;;;;;;9.75
-;2;9.75;Zbinden Marc;*;13;54.75;1;10.0;-1;0.25;8.75
-;6;18.5;Burkhalter Stefan;***;23;35.5;7;18.25;1;-0.25;8.75
-;8;27.25;Stoll Simon;;13;54.75;8;27.25;0;0.0;8.75
o;11;36.0;Hauri Urs;**;15;54.25;12;35.75;1;-0.25;8.5
+;17;44.5;Scherrer Johann;**;21;52.75;18;44.25;1;-0.25;10.0

15a;Brand Christian;**;;;;;;;;;54.25
-;;;Britschgi Melk;**;;;;;;;8.75
-;4;8.75;Clopath Beat;***;8;56.0;4;8.75;0;0.0;8.75
+;9;17.5;Fankhauser Reto;**;31;25.75;10;17.25;1;-0.25;10.0
o;7;27.5;Räbmatter Patrick;**;6;56.5;6;28.0;-1;0.5;8.5
o;11;36.0;Stoll Simon;;13;54.75;11;36.0;0;0.0;8.5
+;17;44.5;Arnold Kornel;*;17;53.75;14;45.25;-3;0.75;9.75

15b;Rhyner Michael;**;;;;;;;;;54.25
o;;;Strebel Joel;**;;;;;;;8.5
+;5;8.5;Widmer Tobias;**;12;55.0;5;8.5;0;0.0;9.75
-;7;18.25;Henzer Andreas;**;25;35.0;9;17.5;2;-0.75;9.0
+;8;27.25;Büttler Adrian (1999);;22;52.5;9;27.0;1;-0.25;10.0
o;6;37.25;Thürig Mario;***;7;56.25;6;37.25;0;0.0;8.5
o;12;45.75;Stöckli Stefan;**;8;56.0;11;46.0;-1;0.25;8.5

15c;Schillig Willi;**;;;;;;;;;54.25
o;;;Kindlimann Fabian;***;;;;;;;8.5
-;5;8.5;Oertig Adrian;**;25;35.0;4;8.75;-1;0.25;8.75
+;10;17.25;Schaffner Samuel;**;16;54.0;11;17.0;1;-0.25;10.0
+;8;27.25;Mangold Martin;;17;53.75;9;27.0;1;-0.25;10.0
o;6;37.25;Schmid David;**;6;56.5;7;37.0;1;-0.25;8.5
o;12;45.75;Suppiger Werner;**;11;55.25;13;45.5;1;-0.25;8.5

15d;Hauri Urs;**;;;;;;;;;54.25
-;;;Fankhauser Reto;**;;;;;;;8.75
o;4;8.75;Wickli Beat;**;11;55.25;3;9.0;-1;0.25;8.5
-;10;17.25;Oertig Adrian;**;25;35.0;9;17.5;-1;0.25;8.75
+;13;26.0;Bearda Samuel;;27;34.5;13;26.0;0;0.0;9.75
+;12;35.75;Leuthard Reto;*;14;54.5;11;36.0;-1;0.25;9.75
-;13;45.5;Schläpfer Markus;**;19;53.25;17;44.5;4;-1.0;8.75

15e;Bernold Christian;**;;;;;;;;;54.25
+;;;Nyffeler Christoph;*;;;;;;;10.0
o;1;10.0;Gisler Bruno;***;5;56.75;5;8.5;4;-1.5;8.5
o;6;18.5;Schmid David;**;6;56.5;6;18.5;0;0.0;8.5
o;9;27.0;Alpiger Nick;**;7;56.25;11;26.5;2;-0.5;8.5
+;13;35.5;Waldner Patrick;**;21;52.75;13;35.5;0;0.0;10.0
-;13;45.5;Kocher Remo;**;19;53.25;17;44.5;4;-1.0;8.75

15f;Stüdeli Thomas;**;;;;;;;;;54.25
o;;;Glaus Martin;***;;;;;;;8.5
-;5;8.5;Stöckli Stefan;**;8;56.0;4;8.75;-1;0.25;8.75
+;10;17.25;Bearda Samuel;;27;34.5;9;17.5;-1;0.25;9.75
+;9;27.0;Hirt Pascal;**;23;35.5;9;27.0;0;0.0;10.0
-;7;37.0;Zimmermann Simon;**;14;54.5;7;37.0;0;0.0;8.75
o;12;45.75;Britschgi Melk;**;10;55.5;12;45.75;0;0.0;8.5

16a;Schaffner Samuel;**;;;;;;;;;54.0
o;;;Leuppi Samir;**;;;;;;;8.5
o;5;8.5;Waser Dominik;**;14;54.5;4;8.75;-1;0.25;8.5
o;11;17.0;Schillig Willi;**;15;54.25;10;17.25;-1;0.25;8.5
+;15;25.5;Brügger Cyrill (1998);;22;52.5;9;27.0;-6;1.5;10.0
o;13;35.5;Hasler Manuel;*;16;54.0;13;35.5;0;0.0;8.5
+;19;44.0;Krebs Clemens;;21;52.75;18;44.25;-1;0.25;10.0

16b;Döbeli Andreas (1998);*;;;;;;;;;54.0
o;;;Fässler Andreas;**;;;;;;;8.5
+;5;8.5;Fankhauser Reto;**;31;25.75;4;8.75;-1;0.25;10.0
+;6;18.5;Büttler Adrian (1999);;22;52.5;6;18.5;0;0.0;9.75
o;5;28.25;Zwyssig Raphael;***;9;55.75;7;27.5;2;-0.75;8.5
o;8;36.75;Gwerder Andreas;**;6;56.5;8;36.75;0;0.0;8.75
o;13;45.5;Betschart Remo;**;12;55.0;14;45.25;1;-0.25;8.5

16c;Hasler Manuel;*;;;;;;;;;54.0
+;;;Rüegger Aaron (1999);;;;;;;;9.75
o;2;9.75;Rychen Roger;**;9;55.75;1;10.0;-1;0.25;8.5
