3074-2021-07-11_Fete_Romande2-ST

+;4;8.75;Pasquier Loïc;;18;53.75;1;10.0;-3;1.25;9.75
o;5;18.5;Schuler Christian;***;3;57.75;6;18.25;1;-0.25;8.75
-;9;27.25;Schläfli Hugo;;12;55.25;5;28.25;-4;1.0;8.75
+;11;36.0;Zbinden Lukas (2003);;12;55.25;8;36.75;-3;0.75;10.0
+;10;46.0;Tornare Paul;;13;55.0;8;46.5;-2;0.5;9.75

10b;Borcard Clovis;*;;;;;;;;;55.75
-;;;Mollet Ivan;**;;;;;;;8.75
-;4;8.75;Dorsaz Théo;;13;55.0;2;9.75;-2;1.0;9.0
o;7;17.75;Duplan Steve;***;6;56.75;6;18.25;-1;0.5;8.5
+;12;26.25;Jeannin Jess;;16;54.25;9;27.25;-3;1.0;9.75
+;11;36.0;Fallegger Riccardo (2003);;18;53.75;8;36.75;-3;0.75;10.0
+;10;46.0;Mermillod Jérôme (2004);;12;55.25;8;46.5;-2;0.5;9.75

10c;Cardinaux Victor;**;;;;;;;;;55.75
o;;;Herger Matthias;**;;;;;;;8.5
+;5;8.5;Cotting Alexandre;;13;55.0;2;9.75;-3;1.25;10.0
o;5;18.5;Krähenbühl Tobias;***;7;56.5;6;18.25;1;-0.25;8.75
+;9;27.25;Bapst Richard;;17;54.0;4;28.5;-5;1.25;10.0
+;6;37.25;Zimmermann Mario;*;12;55.25;7;37.0;1;-0.25;10.0
o;5;47.25;Kramer Dorian;*;7;56.5;8;46.5;3;-0.75;8.5

11a;Piemontesi Pascal;**;;;;;;;;;55.5
-;;;Kropf Marcel;**;;;;;;;8.75
+;4;8.75;Zimmermann Mario;*;12;55.25;5;8.5;1;-0.25;9.75
+;5;18.5;Pasquier Loïc;;18;53.75;5;18.5;0;0.0;9.75
+;5;28.25;Tornare Paul;;13;55.0;6;28.0;1;-0.25;10.0
o;4;38.25;Schneider Domenic;***;5;57.0;4;38.25;0;0.0;8.5
-;7;46.75;Ducrest Etienne;*;11;55.5;7;46.75;0;0.0;8.75

11b;Mamadou Lamine Gnabaly;;;;;;;;;;55.5
-;;;Wieland Timon;;;;;;;;8.75
o;4;8.75;Bapst Ludovic;;15;54.5;4;8.75;0;0.0;8.5
+;9;17.25;Vaucher Rémy;;12;55.25;6;18.25;-3;1.0;10.0
-;9;27.25;Ducry Antoine;**;14;54.75;10;27.0;1;-0.25;8.75
+;11;36.0;Chofflon Anthony;;13;55.0;8;36.75;-3;0.75;9.75
