4447-2019-06-10_Glarner-Buendner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;59.0
+;3;28.75;Rhyner Michael;**;6;57.0;4;28.5;1;-0.25;10.0
o;2;38.75;Rychen Roger;***;2;58.25;4;38.25;2;-0.5;8.5
+;7;47.25;Schnyder Christian;;12;55.5;8;47.0;1;-0.25;10.0

5c;Burkhalter Stefan;***;;;;;;;;;57.25
+;;;Rhyner Michael;**;;;;;;;10.0
+;1;10.0;Bernold Michael;*;7;56.75;2;9.75;1;-0.25;10.0
+;1;20.0;Rychen Roger;***;2;58.25;2;19.75;1;-0.25;10.0
-;1;30.0;Schlegel Sandro;**;4;57.5;3;28.75;2;-1.25;8.75
o;2;38.75;Orlik Armon;***;1;59.0;1;39.0;-1;0.25;8.5
+;7;47.25;Kamer Hanspeter;*;13;55.25;9;46.75;2;-0.5;10.0

6a;Roth Martin;**;;;;;;;;;57.0
+;;;Steiner Michael;**;;;;;;;9.75
o;2;9.75;Orlik Armon;***;1;59.0;1;10.0;-1;0.25;8.5
+;7;18.25;Badat Thomas;;17;54.25;5;18.75;-2;0.5;10.0
+;5;28.25;Schnyder Christian;;12;55.5;4;28.5;-1;0.25;10.0
o;4;38.25;Bösch Daniel;***;5;57.25;3;38.5;-1;0.25;8.75
+;8;47.0;Schudel Simon;*;14;55.0;10;46.5;2;-0.5;10.0

6b;Steiner Michael;**;;;;;;;;;57.0
o;;;Roth Martin;**;;;;;;;8.5
+;5;8.5;Mathis Patrick;;17;54.25;1;10.0;-4;1.5;10.0
+;6;18.5;Dörig Erich;*;12;55.5;6;18.5;0;0.0;10.0
+;4;28.5;Hegner Ueli;*;8;56.5;5;28.25;1;-0.25;9.75
-;4;38.25;Bernold Michael;*;7;56.75;6;37.75;2;-0.5;9.0
+;7;47.25;Landolt Reto;*;8;56.5;4;48.0;-3;0.75;9.75

6c;Rhyner Michael;**;;;;;;;;;57.0
o;;;Burkhalter Stefan;***;;;;;;;8.5
+;5;8.5;Poltera Andrin;*;12;55.5;4;8.75;-1;0.25;10.0
+;6;18.5;Gartmann Mauro;*;7;56.75;3;19.5;-3;1.0;10.0
o;4;28.5;Biäsch Christian;*;5;57.25;3;28.75;-1;0.25;8.5
+;9;37.0;Bircher Luca;;9;56.25;5;38.0;-4;1.0;10.0
+;8;47.0;Oettli Silvio;*;13;55.25;9;46.75;1;-0.25;10.0

6d;Koch Thomas;*;;;;;;;;;57.0
o;;;Bernold Michael;*;;;;;;;8.75
+;4;8.75;Koller Silvan (2002);;14;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Steinauer Adrian;**;12;55.5;6;18.5;1;-0.25;10.0
+;3;28.75;Notz Beni;***;7;56.75;4;28.5;1;-0.25;9.75
o;3;38.5;Schuler Christian;***;8;56.5;5;38.0;2;-0.5;8.5
+;8;47.0;Rhyner Beni;;13;55.25;9;46.75;1;-0.25;10.0

7a;Kolb Pirmin (2001);;;;;;;;;;56.75
+;;;Gerig Marcel;;;;;;;;9.75
o;2;9.75;Giger Urs;*;14;55.0;5;8.5;3;-1.25;8.75
+;6;18.5;Lieberherr David (2003);;21;52.75;6;18.5;0;0.0;10.0
o;4;28.5;Bernold Michael;*;7;56.75;6;28.0;2;-0.5;8.5
+;9;37.0;Schlegel Reto;*;17;54.25;9;37.0;0;0.0;9.75
+;9;46.75;Battaglia Ursin;**;14;55.0;11;46.25;2;-0.5;10.0

7b;Bernold Michael;*;;;;;;;;;56.75
+;;;Koch Thomas;*;;;;;;;9.75
o;2;9.75;Burkhalter Stefan;***;5;57.25;1;10.0;-1;0.25;8.5
+;7;18.25;Burkhalter Thomas (2003);;16;54.5;4;19.0;-3;0.75;9.75
+;6;28.0;Kolb Pirmin (2001);;7;56.75;4;28.5;-2;0.5;9.75
-;6;37.75;Steiner Michael;**;6;57.0;4;38.25;-2;0.5;9.0
+;9;46.75;Thiemann Fabrice;;13;55.25;9;46.75;0;0.0;10.0

7c;Dumelin David;**;;;;;;;;;56.75
-;;;Battaglia Ursin;**;;;;;;;9.0
+;3;9.0;Neff Florian;;7;56.75;1;10.0;-2;1.0;9.75
+;5;18.75;Landolt Reto;*;8;56.5;3;19.5;-2;0.75;9.75
o;4;28.5;Bösch Daniel;***;5;57.25;4;28.5;0;0.0;8.5
+;9;37.0;Schallberger Clint;;13;55.25;10;36.75;1;-0.25;10.0
+;8;47.0;Schuler Alex;***;13;55.25;9;46.75;1;-0.25;9.75

7d;Notz Beni;***;;;;;;;;;56.75
+;;;Peng Mike;***;;;;;;;10.0
-;1;10.0;Biäsch Christian;*;5;57.25;1;10.0;0;0.0;8.75
+;5;18.75;Battaglia Ursin;**;14;55.0;4;19.0;-1;0.25;9.75
o;4;28.5;Koch Thomas;*;6;57.0;3;28.75;-1;0.25;8.5
+;9;37.0;Horner Sämi;;9;56.25;2;38.75;-7;1.75;10.0
+;8;47.0;Baumann Rico;*;14;55.0;10;46.5;2;-0.5;9.75

7e;Vollenweider Jeremy;*;;;;;;;;;56.75
-;;;Streiff Dominik;*;;;;;;;8.75
+;4;8.75;Keller Stefan;;21;52.75;1;10.0;-3;1.25;10.0
+;5;18.75;Mettler Valentin;*;18;54.0;7;18.25;2;-0.5;9.75
o;4;28.5;Schuler Christian;***;8;56.5;5;28.25;1;-0.25;8.5
+;9;37.0;Schiesser Patrik;;17;54.25;8;37.25;-1;0.25;9.75
+;9;46.75;Kirchmeier Christof;;13;55.25;9;46.75;0;0.0;10.0

7f;Rotach Lars;*;;;;;;;;;56.75
+;;;Gosswiler Livio;*;;;;;;;9.75
o;2;9.75;Schuler Christian;***;8;56.5;5;8.5;3;-1.25;8.5
-;7;18.25;Keller Werner;;17;54.25;6;18.5;-1;0.25;9.0
+;9;27.25;Kirchmeier Christof;;13;55.25;6;28.0;-3;0.75;9.75
+;9;37.0;Koller Fabian;*;13;55.25;9;37.0;0;0.0;10.0
+;8;47.0;Aebli Nino;;12;55.5;8;47.0;0;0.0;9.75

7g;Neff Florian;;;;;;;;;;56.75
+;;;Tanner Markus (2002);;;;;;;;10.0
o;1;10.0;Dumelin David;**;7;56.75;3;9.0;2;-1.0;8.5
+;6;18.5;Schallberger Clint;;13;55.25;6;18.5;0;0.0;9.75
o;5;28.25;Büsser André;*;14;55.0;10;27.0;5;-1.25;8.5
+;10;36.75;Aebli Andrin (2001);;19;53.75;10;36.75;0;0.0;10.0
+;9;46.75;Jörger Marc;*;10;56.0;6;47.5;-3;0.75;10.0

7h;Gartmann Mauro;*;;;;;;;;;56.75
+;;;Pfister Florian;*;;;;;;;9.75
+;2;9.75;Lenherr Cédric (2003);;21;52.75;2;9.75;0;0.0;9.75
o;3;19.5;Rhyner Michael;**;6;57.0;6;18.5;3;-1.0;8.75
+;5;28.25;Tschudi Mario (2001);;13;55.25;4;28.5;-1;0.25;10.0
-;4;38.25;Bernold Christian;**;9;56.25;7;37.5;3;-0.75;8.75
+;8;47.0;Fässler Tobias (2002);;13;55.25;9;46.75;1;-0.25;9.75

8a;Landolt Reto;*;;;;;;;;;56.5
+;;;Schudel Simon;*;;;;;;;9.75
+;2;9.75;Lötscher Abraham;;16;54.5;1;10.0;-1;0.25;9.75
o;3;19.5;Dumelin David;**;7;56.75;5;18.75;2;-0.75;8.5
+;6;28.0;Aebli Nino;;12;55.5;4;28.5;-2;0.5;10.0
+;5;38.0;Battaglia Ursin;**;14;55.0;7;37.5;2;-0.5;10.0
o;4;48.0;Steiner Michael;**;6;57.0;7;47.25;3;-0.75;8.5

8b;Hochholdinger Roman;**;;;;;;;;;56.5
-;;;Gmür Pirmin;**;;;;;;;8.75
+;4;8.75;Thoma Christoph;;12;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Kamer Hanspeter;*;13;55.25;6;18.5;0;0.0;9.75
+;5;28.25;Oettli Silvio;*;13;55.25;4;28.5;-1;0.25;9.75
+;5;38.0;Schallberger Jakob;;15;54.75;7;37.5;2;-0.5;9.75
-;5;47.75;Schneider Domenic;***;8;56.5;5;47.75;0;0.0;8.75

8c;Schneider Domenic;***;;;;;;;;;56.5
o;;;Bösch Daniel;***;;;;;;;8.5
+;5;8.5;Hegner Ueli;*;8;56.5;2;9.75;-3;1.25;9.75
+;7;18.25;Hess Michael;*;11;55.75;4;19.0;-3;0.75;9.75
+;6;28.0;Koch Reto;*;13;55.25;5;28.25;-1;0.25;9.75
+;6;37.75;Jöhl Christian;*;12;55.5;3;38.5;-3;0.75;10.0
-;5;47.75;Hochholdinger Roman;**;8;56.5;5;47.75;0;0.0;8.75

8d;Hegner Ueli;*;;;;;;;;;56.5
+;;;Koch Reto;*;;;;;;;9.75
o;2;9.75;Schneider Domenic;***;8;56.5;5;8.5;3;-1.25;8.5
+;7;18.25;Tanner Markus (2002);;24;35.25;7;18.25;0;0.0;10.0
o;5;28.25;Steiner Michael;**;6;57.0;4;28.5;-1;0.25;8.5
+;10;36.75;Salnajs Leo;;17;54.25;8;37.25;-2;0.5;10.0
+;9;46.75;Büsser André;*;14;55.0;10;46.5;1;-0.25;9.75

8e;Schuler Christian;***;;;;;;;;;56.5
o;;;Orlik Armon;***;;;;;;;8.5
+;5;8.5;Rotach Lars;*;7;56.75;2;9.75;-3;1.25;10.0
+;6;18.5;Gmür Pirmin;**;9;56.25;5;18.75;-1;0.25;9.75
+;5;28.25;Vollenweider Jeremy;*;7;56.75;4;28.5;-1;0.25;9.75
+;5;38.0;Koch Thomas;*;6;57.0;3;38.5;-2;0.5;10.0
o;4;48.0;Rychen Roger;***;2;58.25;3;48.25;-1;0.25;8.5

9a;Bircher Luca;;;;;;;;;;56.25
+;;;Salnajs Leo;;;;;;;;9.75
o;2;9.75;Koller Fabian;*;13;55.25;4;8.75;2;-1.0;8.5
+;7;18.25;Niederer Andreas (2002);;18;54.0;7;18.25;0;0.0;9.75
+;6;28.0;Laager Michael (2001);;13;55.25;5;28.25;-1;0.25;10.0
o;5;38.0;Rhyner Michael;**;6;57.0;9;37.0;4;-1.0;8.5
+;10;46.5;Jöhl Christian;*;12;55.5;8;47.0;-2;0.5;9.75

9b;Bernold Christian;**;;;;;;;;;56.25
-;;;Schlegel Sandro;**;;;;;;;8.75
+;4;8.75;Schmid Patrick;*;10;56.0;4;8.75;0;0.0;9.75
-;6;18.5;Schallberger Jakob;;15;54.75;5;18.75;-1;0.25;9.0
+;8;27.5;Thoma Christoph;;12;55.5;3;28.75;-5;1.25;10.0
-;7;37.5;Gartmann Mauro;*;7;56.75;4;38.25;-3;0.75;9.0
+;10;46.5;Koch Reto;*;13;55.25;10;46.5;0;0.0;9.75

9c;Horner Sämi;;;;;;;;;;56.25
+;;;Brülisauer Thomas (2003);;;;;;;;10.0
+;1;10.0;Rütsche Stefan;*;24;35.25;5;8.5;4;-1.5;10.0
o;1;20.0;Straub Robin;*;11;55.75;5;18.75;4;-1.25;8.75
+;3;28.75;Flütsch Marco;;14;55.0;5;28.25;2;-0.5;10.0
o;2;38.75;Notz Beni;***;7;56.75;9;37.0;7;-1.75;8.5
-;7;47.25;Jörger Corsin;;10;56.0;8;47.0;1;-0.25;9.0

9d;Pianta Christian;*;;;;;;;;;56.25
-;;;Blaser Niklas;*;;;;;;;8.75
+;4;8.75;Speck Ignaz (2003);;14;55.0;1;10.0;-3;1.25;10.0
+;5;18.75;Mösli Marcel;;17;54.25;5;18.75;0;0.0;9.75
-;4;28.5;Jörger Marc;*;10;56.0;4;28.5;0;0.0;8.75
+;8;37.25;Brülisauer Dominik (2001);;16;54.5;9;37.0;1;-0.25;10.0
-;7;47.25;Castelli Fabio;;11;55.75;9;46.75;2;-0.5;9.0

9e;Gmür Pirmin;**;;;;;;;;;56.25
-;;;Hochholdinger Roman;**;;;;;;;8.75
+;4;8.75;Schoch Cornel;;17;54.25;1;10.0;-3;1.25;10.0
o;5;18.75;Schuler Christian;***;8;56.5;6;18.5;1;-0.25;8.5
+;9;27.25;Fässler Tobias (2002);;13;55.25;5;28.25;-4;1.0;10.0
-;8;37.25;Poltera Andrin;*;12;55.5;9;37.0;1;-0.25;9.0
+;11;46.25;Giger Urs;*;14;55.0;10;46.5;-1;0.25;10.0

10a;Schmid Patrick;*;;;;;;;;;56.0
-;;;Büsser André;*;;;;;;;8.75
o;4;8.75;Bernold Christian;**;9;56.25;4;8.75;0;0.0;8.75
+;10;17.5;Forrer Marco (2003);;24;35.25;7;18.25;-3;0.75;10.0
+;8;27.5;Jörger Corsin;;10;56.0;4;28.5;-4;1.0;10.0
-;7;37.5;Peng Mike;***;11;55.75;9;37.0;2;-0.5;8.75
+;11;46.25;Schlegel Reto;*;17;54.25;13;45.75;2;-0.5;9.75

10b;Jörger Corsin;;;;;;;;;;56.0
+;;;Höpli Remo;;;;;;;;10.0
o;1;10.0;Pfister Florian;*;28;28.5;5;8.5;4;-1.5;8.5
+;6;18.5;Hug Jan;;14;55.0;7;18.25;1;-0.25;10.0
o;4;28.5;Schmid Patrick;*;10;56.0;8;27.5;4;-1.0;8.5
+;9;37.0;Mettler Valentin;*;18;54.0;10;36.75;1;-0.25;10.0
-;8;47.0;Horner Sämi;;9;56.25;7;47.25;-1;0.25;9.0

10c;Jörger Marc;*;;;;;;;;;56.0
+;;;Schwyn Adrian;*;;;;;;;9.75
-;2;9.75;Schuler Alex;***;13;55.25;5;8.5;3;-1.25;8.75
+;6;18.5;Tremp Ruedi (2003);;22;52.5;7;18.25;1;-0.25;10.0
-;4;28.5;Pianta Christian;*;9;56.25;4;28.5;0;0.0;9.0
+;7;37.5;Keller Werner;;17;54.25;8;37.25;1;-0.25;10.0
o;6;47.5;Neff Florian;;7;56.75;9;46.75;3;-0.75;8.5

10d;Fausch Kjetil;*;;;;;;;;;56.0
+;;;Giger Urs;*;;;;;;;10.0
o;1;10.0;Rychen Roger;***;2;58.25;2;9.75;1;-0.25;8.75
+;5;18.75;Wehrli Jan (2002);;13;55.25;4;19.0;-1;0.25;10.0
o;3;28.75;Orlik Armon;***;1;59.0;2;29.0;-1;0.25;8.5
o;8;37.25;Kolb This (2003);;12;55.5;8;37.25;0;0.0;8.75
+;12;46.0;Koller Silvan (2002);;14;55.0;10;46.5;-2;0.5;10.0

11a;Hess Michael;*;;;;;;;;;55.75
-;;;Baumann Rico;*;;;;;;;9.0
+;3;9.0;Tremp Remo;;18;54.0;2;9.75;-1;0.75;10.0
o;4;19.0;Schneider Domenic;***;8;56.5;7;18.25;3;-0.75;8.5
+;8;27.5;Bernhard Thomas (2002);;19;53.75;5;28.25;-3;0.75;10.0
+;7;37.5;Schläpfer Matthias;*;12;55.5;9;37.0;2;-0.5;9.75
o;7;47.25;Schneider Mario;**;3;58.0;4;48.0;-3;0.75;8.5

11b;Castelli Fabio;;;;;;;;;;55.75
+;;;Straub Paul;;;;;;;;10.0
o;1;10.0;Straub Robin;*;11;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Brülisauer Dominik (2001);;16;54.5;6;18.5;0;0.0;10.0
o;4;28.5;Jöhl Christian;*;12;55.5;4;28.5;0;0.0;8.5
+;9;37.0;Tremp Remo;;18;54.0;10;36.75;1;-0.25;9.75
-;9;46.75;Pianta Christian;*;9;56.25;7;47.25;-2;0.5;9.0

11c;Straub Robin;*;;;;;;;;;55.75
-;;;Dörig Erich;*;;;;;;;8.75
+;4;8.75;Castelli Fabio;;11;55.75;1;10.0;-3;1.25;10.0
+;5;18.75;Horner Sämi;;9;56.25;1;20.0;-4;1.25;10.0
o;3;28.75;Rychen Roger;***;2;58.25;5;28.25;2;-0.5;8.5
+;8;37.25;Mathis Patrick;;17;54.25;8;37.25;0;0.0;10.0
o;7;47.25;Schlegel Sandro;**;4;57.5;6;47.5;-1;0.25;8.5

11d;Krähenbühl Lukas;*;;;;;;;;;55.75
+;;;Mettler Valentin;*;;;;;;;10.0
-;1;10.0;Fontana Michael;*;12;55.5;2;9.75;1;-0.25;8.75
o;5;18.75;Koch Reto;*;13;55.25;6;18.5;1;-0.25;8.5
+;9;27.25;Joos Enrico (2003);;17;54.25;10;27.0;1;-0.25;10.0
o;8;37.25;Kamer Hanspeter;*;13;55.25;10;36.75;2;-0.5;8.5
+;13;45.75;Salnajs Leo;;17;54.25;13;45.75;0;0.0;10.0

11e;Peng Mike;***;;;;;;;;;55.75
o;;;Notz Beni;***;;;;;;;8.5
-;5;8.5;Oettli Silvio;*;13;55.25;2;9.75;-3;1.25;8.75
+;11;17.25;Signer Walter;;21;52.75;6;18.5;-5;1.25;9.75
+;10;27.0;Schudel Simon;*;14;55.0;5;28.25;-5;1.25;10.0
-;9;37.0;Schmid Patrick;*;10;56.0;7;37.5;-2;0.5;8.75
+;13;45.75;Schwyn Adrian;*;13;55.25;9;46.75;-4;1.0;10.0

11f;Graf Nicola (2003);;;;;;;;;;55.75
-;;;Stadelmann Patrick;;;;;;;;8.75
o;4;8.75;Steiner Joel;;16;54.5;4;8.75;0;0.0;8.75
+;10;17.5;Tanner Adrian;;18;54.0;11;17.25;1;-0.25;10.0
o;8;27.5;Steinauer Adrian;**;12;55.5;10;27.0;2;-0.5;8.5
+;13;36.0;Manser Adrian;;18;54.0;14;35.75;1;-0.25;9.75
+;13;45.75;Keller Werner;;17;54.25;13;45.75;0;0.0;10.0

12a;Poltera Andrin;*;;;;;;;;;55.5
-;;;Rüegg Roman;*;;;;;;;8.75
o;4;8.75;Rhyner Michael;**;6;57.0;5;8.5;1;-0.25;8.5
+;11;17.25;Aebli Andrin (2001);;19;53.75;6;18.5;-5;1.25;10.0
+;9;27.25;Stadelmann Patrick;;18;54.0;9;27.25;0;0.0;9.75
-;9;37.0;Gmür Pirmin;**;9;56.25;8;37.25;-1;0.25;8.75
+;13;45.75;Burkhalter Thomas (2003);;16;54.5;12;46.0;-1;0.25;9.75

12b;Kolb This (2003);;;;;;;;;;55.5
+;;;Büsser Remo;;;;;;;;10.0
o;1;10.0;Schlegel Sandro;**;4;57.5;4;8.75;3;-1.25;8.5
+;6;18.5;Schwyn Patrick;;17;54.25;7;18.25;1;-0.25;9.75
-;5;28.25;Streiff Dominik;*;15;54.75;9;27.25;4;-1.0;9.0
+;8;37.25;Fausch Kjetil;*;10;56.0;8;37.25;0;0.0;9.75
o;8;47.0;Steinauer Adrian;**;12;55.5;14;45.5;6;-1.5;8.5

12c;Ackermann Rico (2003);;;;;;;;;;55.5
o;;;Schiesser Patrik;;;;;;;;8.5
+;5;8.5;Bertogg Severin (2001);;27;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Rhyner Beni;;13;55.25;7;18.25;1;-0.25;8.5
o;10;27.0;Schlegel Reto;*;17;54.25;10;27.0;0;0.0;8.5
+;15;35.5;Stadelmann Patrick;;18;54.0;14;35.75;-1;0.25;10.0
+;14;45.5;Mathis Patrick;;17;54.25;13;45.75;-1;0.25;10.0

12d;Aebli Nino;;;;;;;;;;55.5
+;;;Keller Werner;;;;;;;;10.0
o;1;10.0;Mettler Valentin;*;18;54.0;5;8.5;4;-1.5;8.5
+;6;18.5;Speck Ignaz (2003);;14;55.0;6;18.5;0;0.0;10.0
o;4;28.5;Landolt Reto;*;8;56.5;6;28.0;2;-0.5;8.75
+;8;37.25;Thoma Christoph;;12;55.5;8;37.25;0;0.0;9.75
o;8;47.0;Rotach Lars;*;7;56.75;8;47.0;0;0.0;8.5

12e;Jöhl Christian;*;;;;;;;;;55.5
+;;;Rütsche Stefan;*;;;;;;;10.0
+;1;10.0;Brülisauer Dominik (2001);;16;54.5;2;9.75;1;-0.25;10.0
o;1;20.0;Schlegel Sandro;**;4;57.5;5;18.75;4;-1.25;8.5
+;4;28.5;Castelli Fabio;;11;55.75;4;28.5;0;0.0;10.0
o;3;38.5;Schneider Domenic;***;8;56.5;6;37.75;3;-0.75;8.5
o;8;47.0;Bircher Luca;;9;56.25;10;46.5;2;-0.5;8.5

12f;Schnyder Christian;;;;;;;;;;55.5
+;;;Baumann Nico (2002);;;;;;;;10.0
+;1;10.0;Düring Dominik (2003);;26;34.25;4;8.75;3;-1.25;10.0
o;1;20.0;Oettli Silvio;*;13;55.25;6;18.5;5;-1.5;8.5
o;4;28.5;Roth Martin;**;6;57.0;5;28.25;1;-0.25;8.5
+;9;37.0;Bernhard Thomas (2002);;19;53.75;10;36.75;1;-0.25;10.0
o;8;47.0;Biäsch Christian;*;5;57.25;7;47.25;-1;0.25;8.5

12g;Steinauer Adrian;**;;;;;;;;;55.5
-;;;Schneider Mario;**;;;;;;;8.75
+;4;8.75;Büsser André;*;14;55.0;4;8.75;0;0.0;9.75
o;6;18.5;Koch Thomas;*;6;57.0;5;18.75;-1;0.25;8.5
+;10;27.0;Graf Nicola (2003);;11;55.75;8;27.5;-2;0.5;10.0
o;9;37.0;Dörig Erich;*;12;55.5;9;37.0;0;0.0;8.5
+;14;45.5;Kolb This (2003);;12;55.5;8;47.0;-6;1.5;10.0

12h;Fontana Michael;*;;;;;;;;;55.5
+;;;Fuster Sepp;*;;;;;;;9.75
-;2;9.75;Krähenbühl Lukas;*;11;55.75;1;10.0;-1;0.25;8.75
+;6;18.5;Schrepfer Roy;;12;55.5;6;18.5;0;0.0;9.75
o;5;28.25;Schuler Alex;***;13;55.25;9;27.25;4;-1.0;8.5
+;10;36.75;Laager Michael (2001);;13;55.25;10;36.75;0;0.0;10.0
-;9;46.75;Dörig Erich;*;12;55.5;9;46.75;0;0.0;8.75

12i;Schrepfer Roy;;;;;;;;;;55.5
-;;;Ackermann Roman;;;;;;;;8.75
+;4;8.75;Wagner Andreas (2002);;16;54.5;4;8.75;0;0.0;9.75
o;6;18.5;Fontana Michael;*;12;55.5;6;18.5;0;0.0;8.5
-;10;27.0;Langenegger Beat;;20;53.5;8;27.5;-2;0.5;9.0
+;13;36.0;Vetterli Sven (2003);;22;52.5;15;35.5;2;-0.5;9.75
+;13;45.75;Schiesser Patrik;;17;54.25;13;45.75;0;0.0;9.75

12j;Dörig Erich;*;;;;;;;;;55.5
-;;;Straub Robin;*;;;;;;;8.75
+;4;8.75;Rhyner Beni;;13;55.25;2;9.75;-2;1.0;9.75
o;6;18.5;Steiner Michael;**;6;57.0;6;18.5;0;0.0;8.5
+;10;27.0;Schrepfer Sven (2003);;19;53.75;10;27.0;0;0.0;10.0
+;9;37.0;Steinauer Adrian;**;12;55.5;9;37.0;0;0.0;9.75
-;9;46.75;Fontana Michael;*;12;55.5;9;46.75;0;0.0;8.75

12k;Thoma Christoph;;;;;;;;;;55.5
+;;;Bertogg Severin (2001);;;;;;;;10.0
o;1;10.0;Hochholdinger Roman;**;8;56.5;4;8.75;3;-1.25;8.75
+;5;18.75;Lötscher Abraham;;16;54.5;5;18.75;0;0.0;10.0
o;3;28.75;Bernold Christian;**;9;56.25;8;27.5;5;-1.25;8.5
o;8;37.25;Aebli Nino;;12;55.5;8;37.25;0;0.0;8.5
+;13;45.75;Badat Thomas;;17;54.25;14;45.5;1;-0.25;9.75

12l;Schläpfer Matthias;*;;;;;;;;;55.5
+;;;Koller Fabian;*;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;5;57.25;2;9.75;1;-0.25;8.5
+;6;18.5;Kirchmeier Christof;;13;55.25;3;19.5;-3;1.0;10.0
o;4;28.5;Schneider Mario;**;3;58.0;5;28.25;1;-0.25;8.5
o;9;37.0;Hess Michael;*;11;55.75;7;37.5;-2;0.5;8.5
+;14;45.5;Straub Paul;;17;54.25;13;45.75;-1;0.25;10.0

13a;Thiemann Fabrice;;;;;;;;;;55.25
+;;;Flütsch Marco;;;;;;;;9.75
o;2;9.75;Koch Reto;*;13;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Tremp Remo;;18;54.0;7;18.25;0;0.0;10.0
o;5;28.25;Baumann Rico;*;14;55.0;6;28.0;1;-0.25;8.5
+;10;36.75;Schoch Cornel;;17;54.25;13;36.0;3;-0.75;10.0
o;9;46.75;Bernold Michael;*;7;56.75;9;46.75;0;0.0;8.5

13b;Schuler Alex;***;;;;;;;;;55.25
o;;;Rychen Roger;***;;;;;;;8.5
-;5;8.5;Jörger Marc;*;10;56.0;2;9.75;-3;1.25;8.75
+;11;17.25;Koller Fabian;*;13;55.25;6;18.5;-5;1.25;10.0
+;9;27.25;Fontana Michael;*;12;55.5;5;28.25;-4;1.0;9.75
+;9;37.0;Baumann Rico;*;14;55.0;5;38.0;-4;1.0;9.75
o;9;46.75;Dumelin David;**;7;56.75;8;47.0;-1;0.25;8.5

13c;Kirchmeier Christof;;;;;;;;;;55.25
+;;;Giger Florian (2001);;;;;;;;9.75
+;2;9.75;Bernhard Thomas (2002);;19;53.75;2;9.75;0;0.0;9.75
o;3;19.5;Schläpfer Matthias;*;12;55.5;6;18.5;3;-1.0;8.5
o;6;28.0;Rotach Lars;*;7;56.75;9;27.25;3;-0.75;8.75
