3619-2017-07-22_66_Weissenstein-Schwinget-ST

1a;Stucki Christian;***;;;;;;;;;59.5
o;3;48.5;Wenger Kilian;***;4;57.25;7;47.5;4;-1.0;8.5

5c;Sempach Thomas;***;;;;;;;;;57.0
o;;;Thürig Mario;***;;;;;;;8.5
+;4;8.5;Schaffner Samuel;**;22;52.75;4;8.5;0;0.0;10.0
+;5;18.5;Klausner Yanick;**;10;55.75;5;18.5;0;0.0;10.0
+;5;28.5;Widmer Tobias;**;10;55.75;4;28.75;-1;0.25;10.0
o;3;38.5;Käser Remo;***;7;56.5;4;38.25;1;-0.25;8.75
+;8;47.25;Moser Steven;**;12;55.25;10;46.75;2;-0.5;9.75

5d;Orlik Curdin;**;;;;;;;;;57.0
+;;;Döbeli Andreas;*;;;;;;;10.0
+;1;10.0;Moser Steven;**;12;55.25;1;10.0;0;0.0;10.0
+;1;20.0;Bieri Christoph;***;13;55.0;4;18.75;3;-1.25;9.75
o;2;29.75;Käser Remo;***;7;56.5;5;28.5;3;-1.25;8.5
+;4;38.25;Kramer Lario;**;10;55.75;4;38.25;0;0.0;10.0
-;4;48.25;Schenk Patrick;***;7;56.5;6;47.75;2;-0.5;8.75

6a;Alpiger Nick;***;;;;;;;;;56.75
-;;;Kämpf Bernhard;***;;;;;;;8.75
+;3;8.75;Ramseier Fritz;**;10;55.75;2;9.75;-1;1.0;9.75
+;5;18.5;Schenk Patrick;***;7;56.5;2;19.75;-3;1.25;10.0
+;5;28.5;Berger René;**;13;55.0;3;29.25;-2;0.75;9.75
o;4;38.25;Anderegg Simon;***;3;57.5;2;38.75;-2;0.5;8.5
+;10;46.75;Wüthrich Niklaus;**;12;55.25;10;46.75;0;0.0;10.0

7a;Käser Remo;***;;;;;;;;;56.5
-;;;Schmid David;***;;;;;;;8.75
+;3;8.75;Arnold Kornel;*;17;54.0;4;8.5;1;-0.25;9.75
+;5;18.5;Roch Vincent;**;10;55.75;4;18.75;-1;0.25;10.0
+;5;28.5;Orlik Curdin;**;5;57.0;2;29.75;-3;1.25;9.75
+;4;38.25;Sempach Thomas;***;5;57.0;3;38.5;-1;0.25;9.75
o;5;48.0;Kämpf Bernhard;***;2;58.0;4;48.25;-1;0.25;8.5

7b;Graber Willy;***;;;;;;;;;56.5
o;;;Borcard Johann;**;;;;;;;8.5
+;4;8.5;Bader Andreas;**;12;55.25;3;8.75;-1;0.25;10.0
+;5;18.5;Studinger Stephan;**;7;56.5;2;19.75;-3;1.25;9.75
+;6;28.25;Haenni Stéphane;**;12;55.25;6;28.25;0;0.0;9.75
o;5;38.0;Kämpf Bernhard;***;2;58.0;3;38.5;-2;0.5;8.5
+;11;46.5;Kropf Marcel;**;11;55.5;9;47.0;-2;0.5;10.0

7c;Studinger Stephan;**;;;;;;;;;56.5
+;;;Zenger Niklaus;***;;;;;;;10.0
+;1;10.0;Graber Alfred;*;19;53.5;1;10.0;0;0.0;9.75
o;2;19.75;Graber Willy;***;7;56.5;5;18.5;3;-1.25;8.5
+;6;28.25;Weyermann Florian;*;12;55.25;6;28.25;0;0.0;10.0
o;4;38.25;Aeschbacher Matthias;**;5;57.0;3;38.5;-1;0.25;8.5
+;10;46.75;Berger René;**;13;55.0;11;46.5;1;-0.25;9.75

7d;Schenk Patrick;***;;;;;;;;;56.5
+;;;Kropf Marcel;**;;;;;;;9.75
+;2;9.75;Strebel Joel;**;13;55.0;2;9.75;0;0.0;10.0
o;2;19.75;Alpiger Nick;***;6;56.75;5;18.5;3;-1.25;8.5
+;6;28.25;Borcard Johann;**;14;54.75;5;28.5;-1;0.25;9.75
+;5;38.0;Klausner Yanick;**;10;55.75;9;37.0;4;-1.0;9.75
-;6;47.75;Orlik Curdin;**;5;57.0;4;48.25;-2;0.5;8.75

8a;Gisler Bruno;***;;;;;;;;;56.25
o;;;Stucki Christian;***;;;;;;;8.5
+;4;8.5;Siegrist Christian;*;23;35.25;4;8.5;0;0.0;10.0
-;5;18.5;Roschi Ruedi;**;4;57.25;2;19.75;-3;1.25;9.0
-;9;27.5;Kämpf Alexander;**;8;56.25;4;28.75;-5;1.25;9.0
+;11;36.5;Roch Vincent;**;10;55.75;8;37.25;-3;0.75;10.0
+;11;46.5;Roth Philipp;***;12;55.25;10;46.75;-1;0.25;9.75

8b;Kämpf Alexander;**;;;;;;;;;56.25
+;;;Waldner Patrick;**;;;;;;;10.0
+;1;10.0;Roch Vincent;**;10;55.75;1;10.0;0;0.0;10.0
-;1;20.0;Borcard Johann;**;14;54.75;2;19.75;1;-0.25;8.75
-;4;28.75;Gisler Bruno;***;8;56.25;9;27.5;5;-1.25;9.0
+;6;37.75;Hermann Oliver;*;15;54.5;8;37.25;2;-0.5;9.75
-;7;47.5;Matthey Mickaël;**;11;55.5;10;46.75;3;-0.75;8.75

8c;Thürig Mario;***;;;;;;;;;56.25
+;;;Sempach Thomas;***;;;;;;;10.0
+;1;10.0;Rolli Martin;**;15;54.5;1;10.0;0;0.0;10.0
o;1;20.0;Aeschbacher Matthias;**;5;57.0;1;20.0;0;0.0;8.5
-;5;28.5;Zenger Niklaus;***;5;57.0;5;28.5;0;0.0;9.0
-;7;37.5;Berger René;**;13;55.0;6;37.75;-1;0.25;8.75
+;12;46.25;Mollet Ivan;*;13;55.0;11;46.5;-1;0.25;10.0

9a;Gerber Christian;**;;;;;;;;;56.0
+;;;Arnold Kornel;*;;;;;;;9.75
-;2;9.75;Schmid David;***;18;53.75;3;8.75;1;-1.0;8.75
+;5;18.5;Mangold Martin;;17;54.0;5;18.5;0;0.0;10.0
-;5;28.5;Bieri Christoph;***;13;55.0;10;27.25;5;-1.25;8.75
+;8;37.25;Leuthard Reto;*;17;54.0;9;37.0;1;-0.25;10.0
-;8;47.25;Widmer Tobias;**;10;55.75;9;47.0;1;-0.25;8.75

10a;Ramseier Fritz;**;;;;;;;;;55.75
+;;;Brun Samuel (1999);**;;;;;;;9.75
o;2;9.75;Alpiger Nick;***;6;56.75;3;8.75;1;-1.0;8.5
+;6;18.25;Nyffeler Christoph;*;23;35.25;6;18.25;0;0.0;9.75
-;7;28.0;Dousse Michel;**;16;54.25;6;28.25;-1;0.25;8.75
+;10;36.75;Arnold Kornel;*;17;54.0;10;36.75;0;0.0;10.0
-;10;46.75;Bieri Christoph;***;13;55.0;13;46.0;3;-0.75;9.0

10b;Kramer Lario;**;;;;;;;;;55.75
+;;;Odermatt Adrian (2001);*;;;;;;;10.0
+;1;10.0;Roth Dominik;**;15;54.5;1;10.0;0;0.0;9.75
o;2;19.75;Anderegg Simon;***;3;57.5;4;18.75;2;-1.0;8.5
+;6;28.25;Nussbaumer Gabriel;;19;53.5;7;28.0;1;-0.25;10.0
o;4;38.25;Orlik Curdin;**;5;57.0;4;38.25;0;0.0;8.75
o;9;47.0;Zenger Niklaus;***;5;57.0;8;47.25;-1;0.25;8.75

10c;Widmer Tobias;**;;;;;;;;;55.75
-;;;Roth Philipp;***;;;;;;;8.75
+;3;8.75;Mollet Ivan;*;13;55.0;2;9.75;-1;1.0;10.0
+;4;18.75;Wüthrich Niklaus;**;12;55.25;6;18.25;2;-0.5;10.0
o;4;28.75;Sempach Thomas;***;5;57.0;5;28.5;1;-0.25;8.5
+;8;37.25;Dousse Michel;**;16;54.25;9;37.0;1;-0.25;9.75
-;9;47.0;Gerber Christian;**;9;56.0;8;47.25;-1;0.25;8.75

10d;Roch Vincent;**;;;;;;;;;55.75
+;;;Bader Andreas;**;;;;;;;10.0
o;1;10.0;Kämpf Alexander;**;8;56.25;1;10.0;0;0.0;8.75
o;4;18.75;Käser Remo;***;7;56.5;5;18.5;1;-0.25;8.5
+;10;27.25;Stoll Simon;*;22;52.75;11;27.0;1;-0.25;10.0
o;8;37.25;Gisler Bruno;***;8;56.25;11;36.5;3;-0.75;8.5
+;14;45.75;Brun Samuel (1999);**;17;54.0;15;45.5;1;-0.25;10.0

10e;Klausner Yanick;**;;;;;;;;;55.75
o;;;Moser Steven;**;;;;;;;8.5
+;4;8.5;Nussbaumer Gabriel;;19;53.5;2;9.75;-2;1.25;10.0
o;5;18.5;Sempach Thomas;***;5;57.0;5;18.5;0;0.0;8.5
+;11;27.0;Probst Gabriel;**;17;54.0;11;27.0;0;0.0;10.0
o;9;37.0;Schenk Patrick;***;7;56.5;5;38.0;-4;1.0;8.75
+;14;45.75;Voggensperger Lars (2001);;16;54.25;14;45.75;0;0.0;10.0

11a;Röthlisberger Simon;**;;;;;;;;;55.5
o;;;Voggensperger Janic;**;;;;;;;8.5
+;4;8.5;Winiger Fabian;**;16;54.25;4;8.5;0;0.0;10.0
+;5;18.5;Brun Samuel (1999);**;17;54.0;5;18.5;0;0.0;10.0
o;5;28.5;Kämpf Bernhard;***;2;58.0;4;28.75;-1;0.25;8.5
-;9;37.0;Hauri Urs;**;11;55.5;10;36.75;1;-0.25;8.75
+;14;45.75;Döbeli Lukas (2000);*;16;54.25;14;45.75;0;0.0;9.75

11b;Hauri Urs;**;;;;;;;;;55.5
o;;;Matthey Mickaël;**;;;;;;;8.5
+;4;8.5;Voggensperger Lars (2001);;16;54.25;2;9.75;-2;1.25;9.75
-;6;18.25;Waldner Patrick;**;16;54.25;10;17.0;4;-1.25;8.75
+;11;27.0;Anderegg David;*;16;54.25;11;27.0;0;0.0;9.75
-;10;36.75;Röthlisberger Simon;**;11;55.5;9;37.0;-1;0.25;8.75
+;15;45.5;Leuthard Reto;*;17;54.0;15;45.5;0;0.0;10.0

11c;Kropf Marcel;**;;;;;;;;;55.5
o;;;Schenk Patrick;***;;;;;;;8.5
o;4;8.5;Berger René;**;13;55.0;2;9.75;-2;1.25;8.5
+;10;17.0;Mosimann Vincent;*;23;35.25;6;18.25;-4;1.25;10.0
+;11;27.0;Ducry Antoine;*;15;54.5;10;27.25;-1;0.25;10.0
+;9;37.0;Dind Samuel;**;16;54.25;9;37.0;0;0.0;10.0
o;9;47.0;Graber Willy;***;7;56.5;11;46.5;2;-0.5;8.5

11d;Matthey Mickaël;**;;;;;;;;;55.5
+;;;Hauri Urs;**;;;;;;;9.75
o;2;9.75;Roschi Ruedi;**;4;57.25;2;9.75;0;0.0;8.5
+;6;18.25;Probst Gabriel;**;17;54.0;5;18.5;-1;0.25;10.0
+;6;28.25;Strebel Joel;**;13;55.0;6;28.25;0;0.0;10.0
o;4;38.25;Wenger Kilian;***;4;57.25;7;37.5;3;-0.75;8.5
-;10;46.75;Kämpf Alexander;**;8;56.25;7;47.5;-3;0.75;8.75

12a;Weyermann Florian;*;;;;;;;;;55.25
+;;;Mangold Michael;*;;;;;;;10.0
+;1;10.0;Dobler Florian;;22;52.75;1;10.0;0;0.0;9.75
o;2;19.75;Voggensperger Janic;**;27;28.25;5;18.5;3;-1.25;8.5
o;6;28.25;Studinger Stephan;**;7;56.5;6;28.25;0;0.0;8.5
o;10;36.75;Bieri Christoph;***;13;55.0;13;36.0;3;-0.75;8.5
+;16;45.25;Mangold Martin;;17;54.0;15;45.5;-1;0.25;10.0

12b;Moser Steven;**;;;;;;;;;55.25
+;;;Klausner Yanick;**;;;;;;;10.0
o;1;10.0;Orlik Curdin;**;5;57.0;1;10.0;0;0.0;8.5
o;5;18.5;Berger René;**;13;55.0;3;19.5;-2;1.0;8.5
+;11;27.0;Nyffeler Christoph;*;23;35.25;12;26.75;1;-0.25;9.75
+;10;36.75;Döbeli Andreas;*;20;53.25;13;36.0;3;-0.75;10.0
o;10;46.75;Sempach Thomas;***;5;57.0;8;47.25;-2;0.5;8.5

12c;Wüthrich Niklaus;**;;;;;;;;;55.25
+;;;Stoll Simon;*;;;;;;;9.75
o;2;9.75;Bieri Christoph;***;13;55.0;3;8.75;1;-1.0;8.5
o;6;18.25;Widmer Tobias;**;10;55.75;4;18.75;-2;0.5;8.5
+;12;26.75;Ris Jörn;;23;35.25;12;26.75;0;0.0;10.0
+;10;36.75;Schmid Samuel;**;18;53.75;11;36.5;1;-0.25;10.0
o;10;46.75;Alpiger Nick;***;6;56.75;10;46.75;0;0.0;8.5

12d;Roth Philipp;***;;;;;;;;;55.25
-;;;Widmer Tobias;**;;;;;;;8.75
+;3;8.75;Steinmann Yves;*;16;54.25;4;8.5;1;-0.25;9.75
+;5;18.5;Schmid Samuel;**;18;53.75;6;18.25;1;-0.25;10.0
o;5;28.5;Anderegg Simon;***;3;57.5;4;28.75;-1;0.25;8.5
+;9;37.0;Gottofrey Marc;**;17;54.0;10;36.75;1;-0.25;9.75
o;10;46.75;Gisler Bruno;***;8;56.25;11;46.5;1;-0.25;8.5

12e;Haenni Stéphane;**;;;;;;;;;55.25
+;;;Nyffeler Christoph;*;;;;;;;9.75
o;2;9.75;Kämpf Bernhard;***;2;58.0;3;8.75;1;-1.0;8.5
+;6;18.25;Winiger Fabian;**;16;54.25;10;17.0;4;-1.25;10.0
o;6;28.25;Graber Willy;***;7;56.5;6;28.25;0;0.0;8.5
o;10;36.75;Strebel Joel;**;13;55.0;10;36.75;0;0.0;8.5
+;16;45.25;Schaffner Samuel;**;22;52.75;20;44.25;4;-1.0;10.0

12f;Bader Andreas;**;;;;;;;;;55.25
o;;;Roch Vincent;**;;;;;;;8.75
o;3;8.75;Graber Willy;***;7;56.5;4;8.5;1;-0.25;8.5
+;9;17.25;Siegrist Christian;*;23;35.25;10;17.0;1;-0.25;10.0
o;10;27.25;Hermann Oliver;*;15;54.5;10;27.25;0;0.0;8.5
+;14;35.75;Nussbaumer Gabriel;;19;53.5;11;36.5;-3;0.75;9.75
+;15;45.5;Steinmann Yves;*;16;54.25;14;45.75;-1;0.25;9.75

13a;Mollet Ivan;*;;;;;;;;;55.0
+;;;Siegrist Christian;*;;;;;;;9.75
o;2;9.75;Widmer Tobias;**;10;55.75;3;8.75;1;-1.0;8.5
+;6;18.25;Hügli Kaj;*;17;54.0;9;17.25;3;-1.0;9.75
o;7;28.0;Henzer Andreas;**;15;54.5;10;27.25;3;-0.75;8.5
+;11;36.5;Waldner Patrick;**;16;54.25;14;35.75;3;-0.75;10.0
o;11;46.5;Thürig Mario;***;8;56.25;12;46.25;1;-0.25;8.5

13b;Bieri Christoph;***;;;;;;;;;55.0
-;;;Wenger Kilian;***;;;;;;;8.75
+;3;8.75;Wüthrich Niklaus;**;12;55.25;2;9.75;-1;1.0;10.0
o;4;18.75;Orlik Curdin;**;5;57.0;1;20.0;-3;1.25;8.5
-;10;27.25;Gerber Christian;**;9;56.0;5;28.5;-5;1.25;8.75
+;13;36.0;Weyermann Florian;*;12;55.25;10;36.75;-3;0.75;10.0
-;13;46.0;Ramseier Fritz;**;10;55.75;10;46.75;-3;0.75;9.0

13c;Berger René;**;;;;;;;;;55.0
+;;;Schillig Willi;**;;;;;;;9.75
+;2;9.75;Kropf Marcel;**;11;55.5;4;8.5;2;-1.25;9.75
+;3;19.5;Moser Steven;**;12;55.25;5;18.5;2;-1.0;9.75
o;3;29.25;Alpiger Nick;***;6;56.75;5;28.5;2;-0.75;8.5
-;6;37.75;Thürig Mario;***;8;56.25;7;37.5;1;-0.25;8.75
o;11;46.5;Studinger Stephan;**;7;56.5;10;46.75;-1;0.25;8.5

13d;Strebel Joel;**;;;;;;;;;55.0
+;;;Brodard Augustin;**;;;;;;;9.75
o;2;9.75;Schenk Patrick;***;7;56.5;2;9.75;0;0.0;8.5
+;6;18.25;Krebs Clemens;;21;53.0;5;18.5;-1;0.25;10.0
o;6;28.25;Matthey Mickaël;**;11;55.5;6;28.25;0;0.0;8.5
+;10;36.75;Haenni Stéphane;**;12;55.25;10;36.75;0;0.0;9.75
o;11;46.5;Roschi Ruedi;**;4;57.25;8;47.25;-3;0.75;8.5

14a;Borcard Johann;**;;;;;;;;;54.75
+;;;Leuthard Reto;*;;;;;;;10.0
+;1;10.0;Graber Willy;***;7;56.5;4;8.5;3;-1.5;9.75
-;2;19.75;Kämpf Alexander;**;8;56.25;1;20.0;-1;0.25;8.75
o;5;28.5;Schenk Patrick;***;7;56.5;6;28.25;1;-0.25;8.5
-;9;37.0;Voggensperger Lars (2001);;16;54.25;10;36.75;1;-0.25;9.0
-;13;46.0;Hermann Oliver;*;15;54.5;14;45.75;1;-0.25;8.75

14b;Lerch Jimmy;*;;;;;;;;;54.75
-;;;Anderegg David;*;;;;;;;8.75
o;3;8.75;Brun Samuel (1999);**;17;54.0;4;8.5;1;-0.25;8.5
+;9;17.25;Bieli Andreas;;26;34.0;10;17.0;1;-0.25;10.0
o;10;27.25;Schmid David;***;18;53.75;13;26.25;3;-1.0;8.5
+;14;35.75;Stoll Simon;*;22;52.75;15;35.5;1;-0.25;10.0
-;14;45.75;Mangold Michael;*;15;54.5;15;45.5;1;-0.25;9.0

15a;Hermann Oliver;*;;;;;;;;;54.5
-;;;Staub Maël;*;;;;;;;8.75
o;3;8.75;Schillig Willi;**;15;54.5;4;8.5;1;-0.25;8.5
+;9;17.25;Räuftlin Samuel (2001);;26;34.0;10;17.0;1;-0.25;10.0
+;10;27.25;Bader Andreas;**;12;55.25;10;27.25;0;0.0;10.0
o;8;37.25;Kämpf Alexander;**;8;56.25;6;37.75;-2;0.5;8.5
-;14;45.75;Borcard Johann;**;14;54.75;13;46.0;-1;0.25;8.75

15b;Henzer Andreas;**;;;;;;;;;54.5
-;;;Anderegg Simon;***;;;;;;;8.75
+;3;8.75;Lisser Daniel;*;28;25.75;3;8.75;0;0.0;10.0
o;4;18.75;Stucki Christian;***;1;59.5;1;20.0;-3;1.25;8.5
+;10;27.25;Mollet Ivan;*;13;55.0;7;28.0;-3;0.75;9.75
-;9;37.0;Roth Dominik;**;15;54.5;9;37.0;0;0.0;8.75
-;14;45.75;Rolli Martin;**;15;54.5;14;45.75;0;0.0;8.75

15c;Roth Dominik;**;;;;;;;;;54.5
+;;;Winiger Fabian;**;;;;;;;10.0
o;1;10.0;Kramer Lario;**;10;55.75;1;10.0;0;0.0;8.5
+;5;18.5;Schillig Willi;**;15;54.5;6;18.25;1;-0.25;9.75
-;6;28.25;Voggensperger Lars (2001);;16;54.25;7;28.0;1;-0.25;8.75
-;9;37.0;Henzer Andreas;**;15;54.5;9;37.0;0;0.0;8.75
-;14;45.75;Schmid David;***;18;53.75;17;45.0;3;-0.75;8.75

15d;Schillig Willi;**;;;;;;;;;54.5
o;;;Berger René;**;;;;;;;8.5
+;4;8.5;Hermann Oliver;*;15;54.5;3;8.75;-1;0.25;9.75
o;6;18.25;Roth Dominik;**;15;54.5;5;18.5;-1;0.25;8.5
-;12;26.75;Mangold Martin;;17;54.0;11;27.0;-1;0.25;9.0
+;14;35.75;Dobler Florian;;22;52.75;15;35.5;1;-0.25;10.0
-;14;45.75;Dind Samuel;**;16;54.25;15;45.5;1;-0.25;8.75

15e;Rolli Martin;**;;;;;;;;;54.5
+;;;Schaffner Samuel;**;;;;;;;10.0
o;1;10.0;Thürig Mario;***;8;56.25;1;10.0;0;0.0;8.5
-;5;18.5;Stoll Simon;*;22;52.75;6;18.25;1;-0.25;8.75
+;10;27.25;Mangold Michael;*;15;54.5;11;27.0;1;-0.25;9.75
-;9;37.0;Schmid David;***;18;53.75;12;36.25;3;-0.75;8.75
-;14;45.75;Henzer Andreas;**;15;54.5;14;45.75;0;0.0;8.75

15f;Ducry Antoine;*;;;;;;;;;54.5
-;;;Lisser Daniel;*;;;;;;;8.75
o;3;8.75;Nyffeler Christoph;*;23;35.25;4;8.5;1;-0.25;8.5
+;9;17.25;Bearda Samuel;;26;34.0;10;17.0;1;-0.25;10.0
o;10;27.25;Kropf Marcel;**;11;55.5;11;27.0;1;-0.25;8.5
-;14;35.75;Anderegg David;*;16;54.25;15;35.5;1;-0.25;9.0
+;18;44.75;Nussbaumer Gabriel;;19;53.5;17;45.0;-1;0.25;9.75

15g;Mangold Michael;*;;;;;;;;;54.5
o;;;Weyermann Florian;*;;;;;;;8.5
+;4;8.5;Bieli Andreas;;26;34.0;4;8.5;0;0.0;10.0
o;5;18.5;Wenger Kilian;***;4;57.25;7;17.75;2;-0.75;8.5
o;11;27.0;Rolli Martin;**;15;54.5;10;27.25;-1;0.25;8.5
+;15;35.5;Roth Robin (2000);*;22;52.75;15;35.5;0;0.0;10.0
-;15;45.5;Lerch Jimmy;*;14;54.75;14;45.75;-1;0.25;9.0

16a;Voggensperger Lars (2001);;;;;;;;;;54.25
+;;;Mosimann Vincent;*;;;;;;;9.75
o;2;9.75;Hauri Urs;**;11;55.5;4;8.5;2;-1.25;8.5
+;6;18.25;Ris Jörn;;23;35.25;6;18.25;0;0.0;9.75
-;7;28.0;Roth Dominik;**;15;54.5;6;28.25;-1;0.25;8.75
-;10;36.75;Borcard Johann;**;14;54.75;9;37.0;-1;0.25;9.0
o;14;45.75;Klausner Yanick;**;10;55.75;14;45.75;0;0.0;8.5

16b;Waldner Patrick;**;;;;;;;;;54.25
o;;;Kämpf Alexander;**;;;;;;;8.5
o;4;8.5;Staub Maël;*;29;18.5;3;8.75;-1;0.25;8.5
-;10;17.0;Hauri Urs;**;11;55.5;6;18.25;-4;1.25;8.75
+;15;25.75;Studer Remo;;22;52.75;11;27.0;-4;1.25;10.0
o;14;35.75;Mollet Ivan;*;13;55.0;11;36.5;-3;0.75;8.5
+;20;44.25;Brodard Augustin;**;21;53.0;19;44.5;-1;0.25;10.0

16c;Winiger Fabian;**;;;;;;;;;54.25
o;;;Roth Dominik;**;;;;;;;8.5
o;4;8.5;Röthlisberger Simon;**;11;55.5;4;8.5;0;0.0;8.5
o;10;17.0;Haenni Stéphane;**;12;55.25;6;18.25;-4;1.25;8.5
+;16;25.5;Mosimann Vincent;*;23;35.25;12;26.75;-4;1.25;10.0
-;15;35.5;Odermatt Adrian (2001);*;21;53.0;15;35.5;0;0.0;8.75
+;20;44.25;Lisser Beat;;22;52.75;20;44.25;0;0.0;10.0

16d;Dousse Michel;**;;;;;;;;;54.25
+;;;Probst Gabriel;**;;;;;;;10.0
+;1;10.0;Mangold Martin;;17;54.0;1;10.0;0;0.0;9.75
o;2;19.75;Kämpf Bernhard;***;2;58.0;4;18.75;2;-1.0;8.5
-;6;28.25;Ramseier Fritz;**;10;55.75;7;28.0;1;-0.25;8.75
o;9;37.0;Widmer Tobias;**;10;55.75;8;37.25;-1;0.25;8.5
-;15;45.5;Arnold Kornel;*;17;54.0;16;45.25;1;-0.25;8.75

16e;Dind Samuel;**;;;;;;;;;54.25
+;;;Hügli Kaj;*;;;;;;;10.0
o;1;10.0;Stucki Christian;***;1;59.5;1;10.0;0;0.0;8.5
+;5;18.5;Gerber Andrj (2000);*;21;53.0;4;18.75;-1;0.25;10.0
o;5;28.5;Wenger Kilian;***;4;57.25;8;27.75;3;-0.75;8.5
o;9;37.0;Kropf Marcel;**;11;55.5;9;37.0;0;0.0;8.5
-;15;45.5;Schillig Willi;**;15;54.5;14;45.75;-1;0.25;8.75

16f;Steinmann Yves;*;;;;;;;;;54.25
o;;;Gottofrey Marc;**;;;;;;;8.5
o;4;8.5;Roth Philipp;***;12;55.25;3;8.75;-1;0.25;8.5
-;10;17.0;Scherrer Johann;**;24;34.75;9;17.25;-1;0.25;8.75
+;15;25.75;Räuftlin Samuel (2001);;26;34.0;16;25.5;1;-0.25;10.0
+;14;35.75;Lisser Beat;;22;52.75;14;35.75;0;0.0;10.0
o;14;45.75;Bader Andreas;**;12;55.25;15;45.5;1;-0.25;8.5

16g;Döbeli Lukas (2000);*;;;;;;;;;54.25
o;;;Roschi Ruedi;**;;;;;;;8.5
o;4;8.5;Anderegg Simon;***;3;57.5;3;8.75;-1;0.25;8.5
+;10;17.0;Roth Robin (2000);*;22;52.75;9;17.25;-1;0.25;9.75
-;12;26.75;Lisser Beat;;22;52.75;12;26.75;0;0.0;9.0
+;14;35.75;Brodard Augustin;**;21;53.0;13;36.0;-1;0.25;10.0
o;14;45.75;Röthlisberger Simon;**;11;55.5;14;45.75;0;0.0;8.5

16h;Anderegg David;*;;;;;;;;;54.25
-;;;Lerch Jimmy;*;;;;;;;8.75
o;3;8.75;Gerber Andrj (2000);*;21;53.0;3;8.75;0;0.0;8.5
