2975-2015-05-10_105_Zuercher_Kantonalschwingfest-ST

1a;Orlik Armon;**;;;;;;;;;59.0
o;2;19.75;Leuppi Samir;**;3;57.5;2;19.75;0;0.0;8.5
-;6;28.25;Fontana Michael;;10;55.75;5;28.5;-1;0.25;8.75
+;9;37.0;Inderbitzin Daniel;*;10;55.75;8;37.25;-1;0.25;10.0
+;8;47.0;Oertig Dominik;*;13;55.0;10;46.5;2;-0.5;9.75

6c;Nigg Lukas;**;;;;;;;;;56.75
o;;;Rhyner Michael;**;;;;;;;8.5
+;5;8.5;Schmid Dominik (1998);;25;35.5;5;8.5;0;0.0;10.0
+;6;18.5;Candrian Gian-Luca (1998);;10;55.75;1;20.0;-5;1.5;10.0
o;5;28.5;Bühler Ernst;**;5;57.0;5;28.5;0;0.0;8.5
+;9;37.0;Burkhard Tobias;;11;55.5;8;37.25;-1;0.25;10.0
+;8;47.0;Junker Nik;;12;55.25;9;46.75;1;-0.25;9.75

6d;Kammermann Thomas;*;;;;;;;;;56.75
-;;;Straub Robin;*;;;;;;;8.75
+;4;8.75;Mathis Patrick;;13;55.0;1;10.0;-3;1.25;10.0
+;5;18.75;Schlumpf Dominik;;7;56.5;1;20.0;-4;1.25;10.0
o;4;28.75;Büsser Andy;***;5;57.0;9;27.25;5;-1.5;8.5
+;8;37.25;Bucher Roland;;13;55.0;6;37.75;-2;0.5;9.75
+;8;47.0;Elmer Adrian;;12;55.25;9;46.75;1;-0.25;9.75

6e;Orlik Curdin;**;;;;;;;;;56.75
o;;;Krähenbühl Tobias;**;;;;;;;8.5
+;5;8.5;Straub Robin;*;13;55.0;4;8.75;-1;0.25;10.0
+;6;18.5;Dändliker Hansheinrich (1997);;25;35.5;6;18.5;0;0.0;10.0
-;5;28.5;Eugster Ruedi;**;10;55.75;5;28.5;0;0.0;8.75
+;8;37.25;Leuppi Karim;;11;55.5;8;37.25;0;0.0;9.75
+;8;47.0;Schwyn Adrian;;13;55.0;10;46.5;2;-0.5;9.75

6f;Krähenbühl Tobias;**;;;;;;;;;56.75
+;;;Orlik Curdin;**;;;;;;;9.75
+;2;9.75;Scheiwiller Andreas;*;12;55.25;2;9.75;0;0.0;9.75
+;3;19.5;Kunz Daniel;;10;55.75;5;18.75;2;-0.75;10.0
-;2;29.5;Kindlimann Fabian;***;3;57.5;4;28.75;2;-0.75;8.75
o;4;38.25;Rychen Roger;**;5;57.0;3;38.5;-1;0.25;8.5
+;9;46.75;Keller Janik;;13;55.0;10;46.5;1;-0.25;10.0

7a;Ackermann Remo;*;;;;;;;;;56.5
-;;;Föhn Pirmin;*;;;;;;;8.75
+;4;8.75;Baumann Rico;*;15;54.5;4;8.75;0;0.0;9.75
+;6;18.5;Rüegg Fabian;;12;55.25;2;19.75;-4;1.25;10.0
+;5;28.5;Ott Dominik;;14;54.75;5;28.5;0;0.0;9.75
+;4;38.25;Koller Martin;*;10;55.75;3;38.5;-1;0.25;9.75
o;4;48.0;Büsser Andy;***;5;57.0;7;47.25;3;-0.75;8.5

7b;Schlumpf Dominik;;;;;;;;;;56.5
+;;;Held Florian (1997);;;;;;;;10.0
+;1;10.0;Scherrer Christian;;13;55.0;2;9.75;1;-0.25;10.0
o;1;20.0;Kammermann Thomas;*;6;56.75;5;18.75;4;-1.25;8.5
o;5;28.5;Oertig Dominik;*;13;55.0;7;28.0;2;-0.5;8.5
+;9;37.0;Arnold Christian;;15;54.5;9;37.0;0;0.0;9.75
+;9;46.75;Bickel Roman (1998);;13;55.0;10;46.5;1;-0.25;9.75

7c;Korrodi Paul;*;;;;;;;;;56.5
+;;;Bleiker Reto;*;;;;;;;9.75
+;2;9.75;Keller Lukas;;13;55.0;2;9.75;0;0.0;10.0
