2975-2015-05-10_105_Zuercher_Kantonalschwingfest-ST

1a;Orlik Armon;**;;;;;;;;;59.0
o;5;8.5;Leuppi Karim;;11;55.5;4;8.75;-1;0.25;8.5
+;10;17.0;Landolt Cla (1999);;25;35.5;10;17.0;0;0.0;10.0
+;10;27.0;Ott Matthias (1999);;25;35.5;10;27.0;0;0.0;9.75
-;10;36.75;Krähenbühl Lukas;*;19;53.5;13;36.0;3;-0.75;8.75
o;14;45.5;Harder Benj;;11;55.5;14;45.5;0;0.0;8.5

17b;Held Florian (1997);;;;;;;;;;54.0
o;;;Schlumpf Dominik;;;;;;;;8.5
+;5;8.5;Albertin Thomas (1997);;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Straub Robin;*;13;55.0;9;17.25;3;-1.25;8.5
+;10;27.0;Pallaoro Luca (1997);;25;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Schlatter Philipp;*;12;55.25;10;36.75;1;-0.25;8.5
o;14;45.5;Frauchiger Remo;;10;55.75;13;45.75;-1;0.25;8.5

17c;Meier Daniel;;;;;;;;;;54.0
+;;;Spörri Patrick (1997);;;;;;;;9.75
o;2;9.75;Schlatter Philipp;*;12;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Bollier Fabian;;19;53.5;7;18.25;0;0.0;10.0
o;6;28.25;Rüegg Fabian;;12;55.25;6;28.25;0;0.0;8.5
-;10;36.75;Schnyder Christian;;16;54.25;9;37.0;-1;0.25;8.75
o;14;45.5;Vollmeier Sandro;;12;55.25;15;45.25;1;-0.25;8.5

17d;Biäsch Christian;;;;;;;;;;54.0
o;;;Elmer Adrian;;;;;;;;8.5
+;5;8.5;Kiser Michael (1998);;26;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Kälin Roland;**;12;55.25;9;17.25;3;-1.25;8.5
+;10;27.0;Lehmann Philipp (1999);;25;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Glaus Martin;***;10;55.75;14;35.75;5;-1.25;8.5
o;14;45.5;Keller Dominic;;10;55.75;13;45.75;-1;0.25;8.5

17e;Lanter Christian (1998);;;;;;;;;;54.0
+;;;Marty Lukas (1999);;;;;;;;9.75
o;2;9.75;Schnurrenberger Roman;**;4;57.25;3;9.0;1;-0.75;8.5
+;7;18.25;Thoma Nils (1999);;26;35.25;7;18.25;0;0.0;10.0
o;6;28.25;Schwyn Adrian;;13;55.0;6;28.25;0;0.0;8.5
o;10;36.75;Junker Nik;;12;55.25;10;36.75;0;0.0;8.5
-;15;45.25;Funk Nicola (1999);;18;53.75;16;45.0;1;-0.25;8.75

17f;Frei Hanspeter (1999);;;;;;;;;;54.0
o;;;Bucher Roland;;;;;;;;8.75
+;4;8.75;Schlüchter Fabian (1997);;28;34.0;5;8.5;1;-0.25;9.75
o;6;18.5;Schlatter Philipp;*;12;55.25;7;18.25;1;-0.25;8.5
-;10;27.0;Wagner Dario;;20;53.25;10;27.0;0;0.0;8.75
o;14;35.75;Castelberg Marius;;11;55.5;13;36.0;-1;0.25;8.5
+;19;44.25;Odermatt Michi (1997);;20;53.25;17;44.75;-2;0.5;9.75

18a;Schönenberger Björn;;;;;;;;;;53.75
+;;;Rüegg Patrick (1999);;;;;;;;9.75
o;2;9.75;Jörger Marc;;11;55.5;1;10.0;-1;0.25;8.5
o;7;18.25;Ammann Rico;*;8;56.25;10;17.0;3;-1.25;8.5
+;11;26.75;Marty Lukas (1999);;26;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Keller Janik;;13;55.0;10;36.75;0;0.0;8.5
o;15;45.25;Ritzmann Bernhard;;14;54.75;16;45.0;1;-0.25;8.5

18b;Funk Nicola (1999);;;;;;;;;;53.75
o;;;Vollmeier Sandro;;;;;;;;8.5
+;5;8.5;Burkhard Roger;;26;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Bickel Roman (1998);;13;55.0;7;18.25;0;0.0;8.5
+;11;26.75;Stähli Jan (1999);;25;35.5;11;26.75;0;0.0;9.75
o;11;36.5;Scherrer Christian;;13;55.0;11;36.5;0;0.0;8.5
-;16;45.0;Lanter Christian (1998);;17;54.0;15;45.25;-1;0.25;8.75

18c;Mortellaro Andrea;;;;;;;;;;53.75
o;;;Schudel Simon;;;;;;;;8.5
o;5;8.5;Bircher Luca (1999);;13;55.0;4;8.75;-1;0.25;8.5
+;10;17.0;Kiser Michael (1998);;26;35.25;10;17.0;0;0.0;9.75
+;11;26.75;Furrer Matthias;;26;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Rüegg Patrick (1999);;12;55.25;10;36.75;0;0.0;8.5
o;15;45.25;Schönenberger Christian;;13;55.0;15;45.25;0;0.0;8.5

18d;Rösli Dario (1998);;;;;;;;;;53.75
o;;;Schwyn Adrian;;;;;;;;8.5
o;5;8.5;Schwyn Patrick (1999);;25;35.5;5;8.5;0;0.0;8.5
+;10;17.0;Blattmann Daryl (1999);;28;34.0;10;17.0;0;0.0;10.0
+;10;27.0;Hardegger Kevin (1999);;25;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Feusi Cornel;;13;55.0;11;36.5;1;-0.25;8.5
o;15;45.25;Bircher Luca (1999);;13;55.0;15;45.25;0;0.0;8.5

19a;Bollier Fabian;;;;;;;;;;53.5
+;;;Furrer Matthias;;;;;;;;9.75
o;2;9.75;Hari Michi;;10;55.75;1;10.0;-1;0.25;8.5
o;7;18.25;Meier Daniel;;17;54.0;7;18.25;0;0.0;8.5
+;11;26.75;Schäppi Andreas;;26;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Gysel Hansruedi;;13;55.0;11;36.5;0;0.0;8.5
o;16;45.0;Grimm Michael;;14;54.75;17;44.75;1;-0.25;8.5

19b;Krähenbühl Lukas;*;;;;;;;;;53.5
-;;;Wey Nicola;*;;;;;;;8.75
o;4;8.75;Glaus Martin;***;10;55.75;5;8.5;1;-0.25;8.5
-;9;17.25;Gubser Fabian;;14;54.75;6;18.5;-3;1.25;9.0
+;12;26.25;Mathis Patrick;;13;55.0;8;27.5;-4;1.25;9.75
-;13;36.0;Riedi Thomas;;17;54.0;10;36.75;-3;0.75;8.75
-;17;44.75;Wild Stefan;;15;54.5;13;45.75;-4;1.0;8.75

20a;Wagner Dario;;;;;;;;;;53.25
+;;;Kiser Michael (1998);;;;;;;;9.75
o;2;9.75;Bucher Roland;;13;55.0;2;9.75;0;0.0;8.5
-;7;18.25;Rüegg Patrick (1999);;12;55.25;7;18.25;0;0.0;8.75
-;10;27.0;Frei Hanspeter (1999);;17;54.0;10;27.0;0;0.0;8.75
-;14;35.75;Odermatt Michi (1997);;20;53.25;13;36.0;-1;0.25;8.75
-;18;44.5;Frey Aaron;;21;53.0;19;44.25;1;-0.25;8.75

20b;Odermatt Michi (1997);;;;;;;;;;53.25
+;;;Landolt Cla (1999);;;;;;;;10.0
-;1;10.0;Zehnder Mario (1999);;16;54.25;2;9.75;1;-0.25;9.0
o;4;19.0;Schnurrenberger Roman;**;4;57.25;4;19.0;0;0.0;8.5
o;8;27.5;Burkhard Patrick;;5;57.0;6;28.25;-2;0.75;8.5
-;13;36.0;Wagner Dario;;20;53.25;14;35.75;1;-0.25;8.75
o;17;44.75;Frei Hanspeter (1999);;17;54.0;19;44.25;2;-0.5;8.5

21a;Frey Aaron;;;;;;;;;;53.0
-;;;Eisenring Daniel (1997);;;;;;;;8.75
o;4;8.75;Schnyder Christian;;16;54.25;5;8.5;1;-0.25;8.5
+;9;17.25;Wild Philippe (1999);;28;34.0;10;17.0;1;-0.25;10.0
o;9;27.25;Kunz Daniel;;10;55.75;9;27.25;0;0.0;8.5
o;14;35.75;Oetiker Ronny;;15;54.5;13;36.0;-1;0.25;8.5
-;19;44.25;Wagner Dario;;20;53.25;18;44.5;-1;0.25;8.75

22a;Eisenring Daniel (1997);;;;;;;;;;52.75
-;;;Frey Aaron;;;;;;;;8.75
o;4;8.75;Keller Dominic;;10;55.75;4;8.75;0;0.0;8.5
o;9;17.25;Ott Matthias (1999);;25;35.5;10;17.0;1;-0.25;8.5
+;13;25.75;Schlüchter Fabian (1997);;28;34.0;14;25.5;1;-0.25;10.0
o;14;35.75;Frauchiger Remo;;10;55.75;14;35.75;0;0.0;8.5
o;19;44.25;Zehnder Mario (1999);;16;54.25;19;44.25;0;0.0;8.5

22b;Jordi Gregor Ruedi;;;;;;;;;;52.75
o;;;Wild Thomas;;;;;;;;8.5
o;5;8.5;Reichmuth Beat (1997);;15;54.5;4;8.75;-1;0.25;8.75
+;9;17.25;Scherrer Pascal;;26;35.25;10;17.0;1;-0.25;10.0
o;9;27.25;Dändliker Shane;;8;56.25;9;27.25;0;0.0;8.5
o;14;35.75;Moseler Manuel (1999);;14;54.75;11;36.5;-3;0.75;8.5
o;19;44.25;Mathis Patrick;;13;55.0;16;45.0;-3;0.75;8.5

23a;Flück Bruno;;;;;;;;;;45.0
+;;;Bickel Roman (1998);;;;;;;;9.75
o;2;9.75;Bühler Ernst;**;5;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Knabe Robert;;25;35.5;7;18.25;0;0.0;9.75
o;7;28.0;Jöhl Christian;;11;55.5;6;28.25;-1;0.25;8.5
o;11;36.5;Gubser Fabian;;14;54.75;12;36.25;1;-0.25;8.5

24a;Huber Adrian;;;;;;;;;;35.75
-;;;Bosshard Dario (1999);;;;;;;;8.75
+;4;8.75;Wild Philippe (1999);;28;34.0;5;8.5;1;-0.25;9.75
o;6;18.5;Rychen Roger;**;5;57.0;5;18.75;-1;0.25;8.5
-;10;27.0;Knabe Robert;;25;35.5;11;26.75;1;-0.25;8.75

24b;Hauser Simon (1998);;;;;;;;;;35.75
+;;;Schmidlin Simon (1998);;;;;;;;10.0
o;1;10.0;Burkhard Tobias;;11;55.5;1;10.0;0;0.0;8.5
-;6;18.5;Mathis Patrick;;13;55.0;6;18.5;0;0.0;8.75
o;9;27.25;Furrer Damian (1998);;11;55.5;9;27.25;0;0.0;8.5

25a;Lehmann Philipp (1999);;;;;;;;;;35.5
o;;;Gartmann Mauro;;;;;;;;8.5
+;5;8.5;Schmidlin Simon (1998);;25;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Schweizer Christof;*;11;55.5;6;18.5;0;0.0;8.5
o;10;27.0;Biäsch Christian;;17;54.0;10;27.0;0;0.0;8.5

25b;Pallaoro Luca (1997);;;;;;;;;;35.5
o;;;Scherrer Christian;;;;;;;;8.5
+;5;8.5;Schlüchter Tobias (1999);;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Reichmuth Beat (1997);;15;54.5;6;18.5;0;0.0;8.5
o;10;27.0;Held Florian (1997);;17;54.0;10;27.0;0;0.0;8.5

25c;Ulmann Fabian (1999);;;;;;;;;;35.5
o;;;Arztmann Beda;;;;;;;;8.5
o;5;8.5;Rüegg Patrick (1999);;12;55.25;5;8.5;0;0.0;8.75
+;9;17.25;Burkhard Roger;;26;35.25;10;17.0;1;-0.25;9.75
o;10;27.0;Wettstein Daniel;;11;55.5;10;27.0;0;0.0;8.5

25d;Schmid Dominik (1998);;;;;;;;;;35.5
o;;;Truniger Manuel;;;;;;;;8.5
o;5;8.5;Nigg Lukas;**;6;56.75;5;8.5;0;0.0;8.5
+;10;17.0;Bürgler Patrick;;28;34.0;10;17.0;0;0.0;10.0
o;10;27.0;Harder Benj;;11;55.5;10;27.0;0;0.0;8.5

25e;Bussien Pascal;;;;;;;;;;35.5
o;;;Wild Stefan;;;;;;;;8.5
o;5;8.5;Danner Daniel;;10;55.75;4;8.75;-1;0.25;8.5
+;10;17.0;Schäppi Andreas;;26;35.25;7;18.25;-3;1.25;10.0
o;10;27.0;Schnyder Christian;;16;54.25;10;27.0;0;0.0;8.5

25f;Stähli Jan (1999);;;;;;;;;;35.5
o;;;Candrian Gian-Luca (1998);;;;;;;;8.5
+;5;8.5;Götschi Joel (1999);;25;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Läderach Pascal (1999);;14;54.75;7;18.25;0;0.0;8.5
o;11;26.75;Funk Nicola (1999);;18;53.75;11;26.75;0;0.0;8.75

25g;Scherrer Michael;;;;;;;;;;35.5
o;;;Wicki Cédric;;;;;;;;8.5
+;5;8.5;Furrer Matthias;;26;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Elmer Adrian;;12;55.25;6;18.5;0;0.0;8.5
o;10;27.0;Bircher Luca (1999);;13;55.0;10;27.0;0;0.0;8.5

25h;Kiener Tobias;;;;;;;;;;35.5
o;;;Schönenberger Christian;;;;;;;;8.5
o;5;8.5;Frauchiger Remo;;10;55.75;4;8.75;-1;0.25;8.5
o;10;17.0;Moseler Manuel (1999);;14;54.75;10;17.0;0;0.0;8.5
+;14;25.5;Glättli Benny;;27;34.25;13;25.75;-1;0.25;10.0

25i;Zbinden Marc;*;;;;;;;;;35.5
o;;;Odermatt Martin;*;;;;;;;8.5
o;5;8.5;Kid Simon;**;9;56.0;3;9.0;-2;0.5;8.5
+;10;17.0;Wingeier Janik (1998);;26;35.25;7;18.25;-3;1.25;10.0
o;10;27.0;Danner Daniel;;10;55.75;6;28.25;-4;1.25;8.5

25j;Ott Matthias (1999);;;;;;;;;;35.5
o;;;Harder Benj;;;;;;;;8.5
o;5;8.5;Dändliker Hansheinrich (1997);;25;35.5;5;8.5;0;0.0;8.5
+;10;17.0;Eisenring Daniel (1997);;22;52.75;9;17.25;-1;0.25;10.0
o;10;27.0;Riedi Thomas;;17;54.0;10;27.0;0;0.0;8.5

25k;Schmidlin Simon (1998);;;;;;;;;;35.5
o;;;Hauser Simon (1998);;;;;;;;8.5
o;5;8.5;Lehmann Philipp (1999);;25;35.5;5;8.5;0;0.0;8.5
+;10;17.0;Schlüchter Tobias (1999);;28;34.0;10;17.0;0;0.0;10.0
o;10;27.0;Moseler Manuel (1999);;14;54.75;11;26.75;1;-0.25;8.5

25l;Knabe Robert;;;;;;;;;;35.5
o;;;Zehnder Mario (1999);;;;;;;;8.5
+;5;8.5;Kleinberger Alex;;26;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Flück Bruno;;23;45.0;7;18.25;0;0.0;8.5
-;11;26.75;Huber Adrian;;24;35.75;10;27.0;-1;0.25;8.75

25m;Elmer Daniel;*;;;;;;;;;35.5
-;;;Braun Mathias;;;;;;;;8.75
o;4;8.75;Rychen Roger;**;5;57.0;4;8.75;0;0.0;8.5
+;9;17.25;Wettstein Daniel;;11;55.5;6;18.5;-3;1.25;9.75
o;10;27.0;Odermatt Christoph;*;6;56.75;6;28.25;-4;1.25;8.5

25n;Götschi Joel (1999);;;;;;;;;;35.5
o;;;Buchmann Michael;;;;;;;;8.5
o;5;8.5;Stähli Jan (1999);;25;35.5;5;8.5;0;0.0;8.5
-;10;17.0;Glättli Benny;;27;34.25;10;17.0;0;0.0;8.75
+;13;25.75;Schlüchter Tobias (1999);;28;34.0;14;25.5;1;-0.25;9.75

25o;Hardegger Bendi (1998);;;;;;;;;;35.5
o;;;Keller Lukas;;;;;;;;8.5
o;5;8.5;Braun Mathias;;14;54.75;4;8.75;-1;0.25;8.5
+;10;17.0;Deflorin Rico (1999);;29;25.75;9;17.25;-1;0.25;10.0
o;10;27.0;Vollmeier Sandro;;12;55.25;11;26.75;1;-0.25;8.5

25p;Hardegger Kevin (1999);;;;;;;;;;35.5
+;;;Glättli Benny;;;;;;;;10.0
o;1;10.0;Gwerder Andreas;**;8;56.25;4;8.75;3;-1.25;8.5
o;6;18.5;Buchmann Michael;;10;55.75;6;18.5;0;0.0;8.5
o;10;27.0;Rösli Dario (1998);;18;53.75;10;27.0;0;0.0;8.5

25q;Landolt Cla (1999);;;;;;;;;;35.5
o;;;Odermatt Michi (1997);;;;;;;;8.5
o;5;8.5;Schäppi Andreas;;26;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Riedi Thomas;;17;54.0;10;17.0;0;0.0;8.5
+;14;25.5;Blattmann Daryl (1999);;28;34.0;14;25.5;0;0.0;10.0

25r;Peter Simon (1997);;;;;;;;;;35.5
o;;;Fontana Michael;;;;;;;;8.5
o;5;8.5;Dändliker Shane;;8;56.25;4;8.75;-1;0.25;8.5
+;10;17.0;Schlüchter Fabian (1997);;28;34.0;10;17.0;0;0.0;10.0
o;10;27.0;Junker Nik;;12;55.25;10;27.0;0;0.0;8.5

25s;Dändliker Hansheinrich (1997);;;;;;;;;;35.5
o;;;Gysel Hansruedi;;;;;;;;8.5
+;5;8.5;Ott Matthias (1999);;25;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Orlik Curdin;**;6;56.75;6;18.5;0;0.0;8.5
o;10;27.0;Wild Thomas;;16;54.25;10;27.0;0;0.0;8.5

25t;Schwyn Patrick (1999);;;;;;;;;;35.5
o;;;Burkhard Tobias;;;;;;;;8.5
+;5;8.5;Rösli Dario (1998);;18;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Stahel Felix;*;11;55.5;7;18.25;0;0.0;8.5
o;11;26.75;Scherrer Christian;;13;55.0;11;26.75;0;0.0;8.75

25u;Spörri Patrick (1997);;;;;;;;;;35.5
o;;;Meier Daniel;;;;;;;;8.5
+;5;8.5;Blattmann Daryl (1999);;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Danner Daniel;;10;55.75;6;18.5;0;0.0;8.5
o;10;27.0;Arnold Christian;;15;54.5;10;27.0;0;0.0;8.5

25v;Braun Mario;;;;;;;;;;35.5
o;;;Hari Michi;;;;;;;;8.5
o;5;8.5;Ritzmann Bernhard;;14;54.75;5;8.5;0;0.0;8.5
+;10;17.0;Kleinberger Alex;;26;35.25;10;17.0;0;0.0;10.0
o;10;27.0;Rüegg Patrick (1999);;12;55.25;10;27.0;0;0.0;8.5

26a;Schäppi Andreas;;;;;;;;;;35.25
o;;;Junker Nik;;;;;;;;8.5
+;5;8.5;Landolt Cla (1999);;25;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Bussien Pascal;;25;35.5;10;17.0;3;-1.25;8.5
o;11;26.75;Bollier Fabian;;19;53.5;11;26.75;0;0.0;8.5

26b;Marty Lukas (1999);;;;;;;;;;35.25
o;;;Lanter Christian (1998);;;;;;;;8.5
+;5;8.5;Scherrer Pascal;;26;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Schönenberger Christian;;13;55.0;7;18.25;0;0.0;8.5
o;11;26.75;Schönenberger Björn;;18;53.75;11;26.75;0;0.0;8.5

26c;Burkhard Roger;;;;;;;;;;35.25
o;;;Ruof Christof;;;;;;;;8.5
o;5;8.5;Funk Nicola (1999);;18;53.75;5;8.5;0;0.0;8.5
o;10;17.0;Ulmann Fabian (1999);;25;35.5;9;17.25;-1;0.25;8.5
+;14;25.5;Bürgler Patrick;;28;34.0;14;25.5;0;0.0;9.75

26d;Kiser Michael (1998);;;;;;;;;;35.25
o;;;Wagner Dario;;;;;;;;8.5
o;5;8.5;Biäsch Christian;;17;54.0;5;8.5;0;0.0;8.5
o;10;17.0;Mortellaro Andrea;;18;53.75;10;17.0;0;0.0;8.5
+;14;25.5;Wild Philippe (1999);;28;34.0;14;25.5;0;0.0;9.75

26e;Wingeier Janik (1998);;;;;;;;;;35.25
+;;;Blattmann Daryl (1999);;;;;;;;9.75
o;2;9.75;Feusi Cornel;;13;55.0;2;9.75;0;0.0;8.5
o;7;18.25;Zbinden Marc;*;25;35.5;10;17.0;3;-1.25;8.5
o;11;26.75;Ritzmann Bernhard;;14;54.75;11;26.75;0;0.0;8.5

26f;Truniger Manuel;;;;;;;;;;35.25
+;;;Schmid Dominik (1998);;;;;;;;9.75
o;2;9.75;Jöhl Christian;;11;55.5;1;10.0;-1;0.25;8.5
o;7;18.25;Keller Janik;;13;55.0;6;18.5;-1;0.25;8.5
o;11;26.75;Gysel Hansruedi;;13;55.0;11;26.75;0;0.0;8.5

26g;Thoma Nils (1999);;;;;;;;;;35.25
+;;;Kleinberger Alex;;;;;;;;9.75
o;2;9.75;Candrian Gian-Luca (1998);;10;55.75;1;10.0;-1;0.25;8.5
o;7;18.25;Lanter Christian (1998);;17;54.0;7;18.25;0;0.0;8.5
o;11;26.75;Horner Sämi;;15;54.5;12;26.25;1;-0.5;8.5

26h;Furrer Matthias;;;;;;;;;;35.25
o;;;Bollier Fabian;;;;;;;;8.5
o;5;8.5;Scherrer Michael;;25;35.5;5;8.5;0;0.0;8.5
+;10;17.0;Albertin Thomas (1997);;28;34.0;10;17.0;0;0.0;9.75
o;11;26.75;Mortellaro Andrea;;18;53.75;11;26.75;0;0.0;8.5

26i;Weder Claude;;;;;;;;;;35.25
o;;;Rüegg Fabian;;;;;;;;8.5
+;5;8.5;Buff Alwin;;27;34.25;4;8.75;-1;0.25;9.75
o;7;18.25;Berger Roman;;16;54.25;7;18.25;0;0.0;8.5
o;11;26.75;Castelberg Marius;;11;55.5;12;26.25;1;-0.5;8.5

26j;Kleinberger Alex;;;;;;;;;;35.25
o;;;Thoma Nils (1999);;;;;;;;8.5
o;5;8.5;Knabe Robert;;25;35.5;5;8.5;0;0.0;8.5
o;10;17.0;Braun Mario;;25;35.5;10;17.0;0;0.0;8.5
+;14;25.5;Albertin Thomas (1997);;28;34.0;14;25.5;0;0.0;9.75

26k;Scherrer Pascal;;;;;;;;;;35.25
o;;;Furrer Damian (1998);;;;;;;;8.5
o;5;8.5;Marty Lukas (1999);;26;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Jordi Gregor Ruedi;;22;52.75;9;17.25;-1;0.25;8.5
+;14;25.5;Buff Alwin;;27;34.25;13;25.75;-1;0.25;9.75

27a;Glättli Benny;;;;;;;;;;34.25
o;;;Hardegger Kevin (1999);;;;;;;;8.5
o;5;8.5;Bosshard Dario (1999);;16;54.25;4;8.75;-1;0.25;8.5
-;10;17.0;Götschi Joel (1999);;25;35.5;10;17.0;0;0.0;8.75
o;13;25.75;Kiener Tobias;;25;35.5;14;25.5;1;-0.25;8.5

27b;Buff Alwin;;;;;;;;;;34.25
-;;;Deflorin Rico (1999);;;;;;;;8.75
o;4;8.75;Weder Claude;;26;35.25;5;8.5;1;-0.25;8.5
o;9;17.25;Oetiker Ronny;;15;54.5;9;17.25;0;0.0;8.5
o;13;25.75;Scherrer Pascal;;26;35.25;14;25.5;1;-0.25;8.5

28a;Bürgler Patrick;;;;;;;;;;34.0
o;;;Berger Roman;;;;;;;;8.5
o;5;8.5;Odermatt Christoph;*;6;56.75;5;8.5;0;0.0;8.5
o;10;17.0;Schmid Dominik (1998);;25;35.5;10;17.0;0;0.0;8.5
o;14;25.5;Burkhard Roger;;26;35.25;14;25.5;0;0.0;8.5

28b;Blattmann Daryl (1999);;;;;;;;;;34.0
o;;;Wingeier Janik (1998);;;;;;;;8.5
o;5;8.5;Spörri Patrick (1997);;25;35.5;5;8.5;0;0.0;8.5
o;10;17.0;Rösli Dario (1998);;18;53.75;10;17.0;0;0.0;8.5
o;14;25.5;Landolt Cla (1999);;25;35.5;14;25.5;0;0.0;8.5

28c;Albertin Thomas (1997);;;;;;;;;;34.0
o;;;Mathis Patrick;;;;;;;;8.5
o;5;8.5;Held Florian (1997);;17;54.0;5;8.5;0;0.0;8.5
o;10;17.0;Furrer Matthias;;26;35.25;10;17.0;0;0.0;8.5
o;14;25.5;Kleinberger Alex;;26;35.25;14;25.5;0;0.0;8.5

28d;Wild Philippe (1999);;;;;;;;;;34.0
o;;;Grimm Michael;;;;;;;;8.5
o;5;8.5;Huber Adrian;;24;35.75;4;8.75;-1;0.25;8.5
o;10;17.0;Frey Aaron;;21;53.0;9;17.25;-1;0.25;8.5
o;14;25.5;Kiser Michael (1998);;26;35.25;14;25.5;0;0.0;8.5

28e;Schlüchter Tobias (1999);;;;;;;;;;34.0
o;;;Gubser Fabian;;;;;;;;8.5
o;5;8.5;Pallaoro Luca (1997);;25;35.5;5;8.5;0;0.0;8.5
o;10;17.0;Schmidlin Simon (1998);;25;35.5;10;17.0;0;0.0;8.5
o;14;25.5;Götschi Joel (1999);;25;35.5;13;25.75;-1;0.25;8.5

28f;Schlüchter Fabian (1997);;;;;;;;;;34.0
o;;;Jörger Marc;;;;;;;;8.5
o;5;8.5;Frei Hanspeter (1999);;17;54.0;4;8.75;-1;0.25;8.5
o;10;17.0;Peter Simon (1997);;25;35.5;10;17.0;0;0.0;8.5
o;14;25.5;Eisenring Daniel (1997);;22;52.75;13;25.75;-1;0.25;8.5

29a;Deflorin Rico (1999);;;;;;;;;;25.75
-;;;Buff Alwin;;;;;;;;8.75
o;4;8.75;Wey Nicola;*;4;57.25;4;8.75;0;0.0;8.5
o;9;17.25;Hardegger Bendi (1998);;25;35.5;10;17.0;1;-0.25;8.5

30a;Vögeli Sven;*;;;;;;;;;18.5
o;;;Schneider Mario;**;;;;;;;8.75
+;4;8.75;Bleiker Reto;*;11;55.5;5;8.5;1;-0.25;9.75

31a;Schuler Martin;;;;;;;;;;18.25
+;;;Läderach Pascal (1999);;;;;;;;9.75
o;2;9.75;Jöhl Christian;;11;55.5;1;10.0;-1;0.25;8.5

32a;Duschen Raffi;;;;;;;;;;17.0
o;;;Feusi Cornel;;;;;;;;8.5
o;5;8.5;Läderach Pascal (1999);;14;54.75;5;8.5;0;0.0;8.5

