4068-2019-07-07_113_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;**;;;;;;;;;109.25
o;6;28.5;Bieri Marcel;**;7;57.0;7;28.25;1;-0.25;8.5
+;10;37.0;Troxler Jonas;*;15;55.0;11;36.75;1;-0.25;9.75
+;9;46.75;Schöpfer Ronny;*;12;55.75;8;47.0;-1;0.25;9.75

9b;Ettlin Stefan;**;;;;;;;;;56.5
+;;;Gwerder Dario;**;;;;;;;9.75
o;3;9.75;Nötzli Reto;***;8;56.75;3;9.75;0;0.0;8.75
+;7;18.5;Widmer Adrian;*;13;55.5;7;18.5;0;0.0;9.75
+;7;28.25;Lustenberger Florian (2002);;19;54.0;6;28.5;-1;0.25;10.0
o;5;38.25;Schurtenberger Sven;***;5;57.5;4;38.5;-1;0.25;8.5
+;9;46.75;Heinzer Stefan;**;1;109.25;1;91.0;-8;44.25;9.75

9c;Egli Damian;**;;;;;;;;;56.5
+;;;Bucher Christian;*;;;;;;;10.0
o;2;10.0;Alpiger Nick;***;2;58.5;2;10.0;0;0.0;8.5
+;7;18.5;Gasser Peter;*;28;35.5;7;18.5;0;0.0;10.0
+;6;28.5;Hurschler Adrian;;19;54.0;8;28.0;2;-0.5;9.75
+;5;38.25;Reichmuth Marco;**;10;56.25;7;37.75;2;-0.5;9.75
o;4;48.0;Imhof Andi;***;6;57.25;6;47.5;2;-0.5;8.5

9d;Rohrer Ivan;**;;;;;;;;;56.5
+;;;Hegner Ueli;*;;;;;;;10.0
-;2;10.0;Ulrich Marco;*;15;55.0;2;10.0;0;0.0;9.0
+;5;19.0;Bucher Thomas;*;15;55.0;3;19.75;-2;0.75;9.75
-;5;28.75;Imhof Andi;***;6;57.25;6;28.5;1;-0.25;8.75
-;8;37.5;Lagler Christian;;16;54.75;9;37.25;1;-0.25;9.0
+;10;46.5;Lemmenmeier Lukas;*;16;54.75;11;46.25;1;-0.25;10.0

9e;Müllestein Mike;***;;;;;;;;;56.5
+;;;Piemontesi Pascal;**;;;;;;;10.0
-;2;10.0;Reichmuth Marco;**;10;56.25;3;9.75;1;-0.25;9.0
o;5;19.0;Wicki Joel;**;3;58.25;6;18.75;1;-0.25;8.5
+;10;27.5;Odermatt Christian;**;15;55.0;8;28.0;-2;0.5;10.0
-;8;37.5;Bernhard Lukas;*;7;57.0;5;38.25;-3;0.75;9.0
+;10;46.5;Rohrer Marco;**;15;55.0;10;46.5;0;0.0;10.0

9f;Herger Matthias;**;;;;;;;;;56.5
o;;;Ambühl Joel;**;;;;;;;8.5
+;6;8.5;Gerber Peter;*;14;55.25;3;9.75;-3;1.25;10.0
+;7;18.5;Wallimann Remo;*;13;55.5;8;18.25;1;-0.25;9.75
+;7;28.25;Burch Jonas;*;15;55.0;10;27.5;3;-0.75;9.75
o;6;38.0;Reichmuth Pirmin;***;6;57.25;9;37.25;3;-0.75;8.5
+;10;46.5;Rolli Martin;**;14;55.25;10;46.5;0;0.0;10.0

10a;Doppmann Urs;**;;;;;;;;;56.25
o;;;Nietlispach Pascal;**;;;;;;;8.75
+;5;8.75;Arnold Marcel;*;20;53.5;5;8.75;0;0.0;10.0
-;6;18.75;Erb Roger;**;17;54.5;8;18.25;2;-0.5;8.75
-;10;27.5;Betschart Patrick;*;13;55.5;6;28.5;-4;1.0;8.75
+;13;36.25;Arnold Sebastian;;22;53.0;14;36.0;1;-0.25;10.0
+;11;46.25;Schuler Philipp;**;16;54.75;11;46.25;0;0.0;10.0

10b;Reichmuth Marco;**;;;;;;;;;56.25
+;;;Gasser Stefan;**;;;;;;;9.75
-;3;9.75;Müllestein Mike;***;9;56.5;2;10.0;-1;0.25;9.0
+;6;18.75;Wandeler Roman (2002);;18;54.25;3;19.75;-3;1.0;10.0
-;5;28.75;Gloggner Philipp;***;7;57.0;7;28.25;2;-0.5;9.0
o;7;37.75;Egli Damian;**;9;56.5;5;38.25;-2;0.5;8.75
+;10;46.5;Lagler Christian;;16;54.75;11;46.25;1;-0.25;9.75

10c;Suppiger René;***;;;;;;;;;56.25
o;;;Schuler Christian;***;;;;;;;8.5
+;6;8.5;Hess Michael;*;18;54.25;3;9.75;-3;1.25;10.0
+;7;18.5;Burch Jonas;*;15;55.0;5;19.0;-2;0.5;10.0
-;6;28.5;Arnold Raphael;**;13;55.5;5;28.75;-1;0.25;8.75
-;9;37.25;Gapany Benjamin;**;6;57.25;5;38.25;-4;1.0;9.0
+;11;46.25;Waser Dominik;**;12;55.75;7;47.25;-4;1.0;10.0

10d;Suppiger Werner;**;;;;;;;;;56.25
+;;;Van Messel Noe (2002);**;;;;;;;10.0
+;2;10.0;Bucher Roland;*;15;55.0;3;9.75;1;-0.25;9.75
+;3;19.75;Blaser Theo;*;21;53.25;6;18.75;3;-1.0;9.75
o;3;29.5;Orlik Armon;***;4;58.0;6;28.5;3;-1.0;8.5
+;6;38.0;Hess Michael;*;18;54.25;9;37.25;3;-0.75;9.75
o;5;47.75;Reichmuth Pirmin;***;6;57.25;7;47.25;2;-0.5;8.5

10e;Steinauer Adrian;**;;;;;;;;;56.25
+;;;Fellmann Roman;**;;;;;;;9.75
o;3;9.75;Schurtenberger Sven;***;5;57.5;2;10.0;-1;0.25;8.5
+;8;18.25;Mehr Lars (2002);;14;55.25;5;19.0;-3;0.75;9.75
-;8;28.0;Piemontesi Pascal;**;13;55.5;11;27.25;3;-0.75;8.75
+;11;36.75;Thierstein Marco;*;18;54.25;10;37.0;-1;0.25;9.75
+;10;46.5;Binggeli Stefan;**;16;54.75;11;46.25;1;-0.25;9.75

10f;Fankhauser Reto;**;;;;;;;;;56.25
-;;;Zimmermann Martin;**;;;;;;;9.0
+;4;9.0;Durrer Fabian;*;19;54.0;2;10.0;-2;1.0;9.75
+;6;18.75;Barmettler Peter;*;18;54.25;6;18.75;0;0.0;10.0
o;5;28.75;von Ah Benji;***;7;57.0;2;29.75;-3;1.0;8.5
-;9;37.25;Kenel Franz-Toni;*;16;54.75;11;36.75;2;-0.5;9.0
+;11;46.25;Gander Michael;;15;55.0;10;46.5;-1;0.25;10.0

11a;Vogel Remo;**;;;;;;;;;56.0
-;;;Heinzer Stefan;*;;;;;;;8.75
