4068-2019-07-07_113_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;**;;;;;;;;;109.25
o;6;18.75;Bucher Roland;*;15;55.0;8;18.25;2;-0.5;8.75
-;10;27.5;Wallimann Remo;*;13;55.5;13;26.75;3;-0.75;9.0
o;12;36.5;Schürpf Bruno;*;16;54.75;14;36.0;2;-0.5;8.75
-;15;45.25;Vonlaufen Lukas;*;21;53.25;18;44.5;3;-0.75;9.0

18c;Barmettler Peter;*;;;;;;;;;54.25
+;;;Betschart Silvan;*;;;;;;;10.0
o;2;10.0;Bucher Thomas;*;15;55.0;2;10.0;0;0.0;8.75
o;6;18.75;Fankhauser Reto;**;10;56.25;6;18.75;0;0.0;8.5
+;11;27.25;Wicki David;;28;35.5;12;27.0;1;-0.25;9.75
-;10;37.0;Bucher Roland;*;15;55.0;12;36.5;2;-0.5;8.75
o;13;45.75;Bürli Roger;**;13;55.5;14;45.5;1;-0.25;8.5

18d;Schärli Reto;*;;;;;;;;;54.25
o;;;Durrer Fabian;*;;;;;;;8.5
+;6;8.5;Betschart Marcel;*;29;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Rohrer Ueli;*;12;55.75;7;18.5;0;0.0;8.5
-;12;27.0;Suter Samuel;;23;52.75;13;26.75;1;-0.25;9.0
o;14;36.0;Suter Beat;*;17;54.5;14;36.0;0;0.0;8.5
+;18;44.5;Bürgi Tobias;;19;54.0;14;45.5;-4;1.0;9.75

18e;Arnold Andreas;*;;;;;;;;;54.25
-;;;Suter Beat;*;;;;;;;8.75
+;5;8.75;Grab Daniel;**;39;17.0;6;8.5;1;-0.25;9.75
o;7;18.5;Ambühl Joel;**;8;56.75;7;18.5;0;0.0;8.5
-;12;27.0;Ulrich Pascal;;22;53.0;11;27.25;-1;0.25;9.0
+;14;36.0;Villiger Cyrill;*;22;53.0;14;36.0;0;0.0;9.75
o;13;45.75;Leuppi Samir;**;13;55.5;13;45.75;0;0.0;8.5

18f;Thierstein Marco;*;;;;;;;;;54.25
o;;;Blaser Theo;*;;;;;;;8.5
o;6;8.5;Gasser Peter;*;28;35.5;5;8.75;-1;0.25;8.75
+;11;17.25;Betschart Marcel;*;29;35.25;12;17.0;1;-0.25;9.75
+;12;27.0;Föhn Christian (2002);;29;35.25;13;26.75;1;-0.25;10.0
o;10;37.0;Steinauer Adrian;**;10;56.25;11;36.75;1;-0.25;8.75
o;13;45.75;Wallimann Remo;*;13;55.5;14;45.5;1;-0.25;8.5

18g;Streiff Dominik;*;;;;;;;;;54.25
+;;;Lemmenmeier Lukas;*;;;;;;;9.75
-;3;9.75;Leuppi Samir;**;13;55.5;6;8.5;3;-1.25;8.75
+;7;18.5;Hurschler Adrian;;19;54.0;4;19.5;-3;1.0;9.75
o;7;28.25;Hurschler Thomas;**;12;55.75;10;27.5;3;-0.75;8.5
-;11;36.75;Betschart Remo;**;18;54.25;11;36.75;0;0.0;9.0
o;13;45.75;Piemontesi Pascal;**;13;55.5;13;45.75;0;0.0;8.5

18h;Betschart Remo;**;;;;;;;;;54.25
-;;;Arnold Stefan;**;;;;;;;8.75
o;5;8.75;Bernhard Lukas;*;7;57.0;5;8.75;0;0.0;8.5
+;11;17.25;Ulrich Pascal;;22;53.0;7;18.5;-4;1.25;9.75
+;12;27.0;Schürpf Bruno;*;16;54.75;10;27.5;-2;0.5;9.75
-;11;36.75;Streiff Dominik;*;18;54.25;11;36.75;0;0.0;9.0
o;13;45.75;Betschart Patrick;*;13;55.5;13;45.75;0;0.0;8.5

18i;Wyrsch Silvio;*;;;;;;;;;54.25
+;;;Betschart Marcel;*;;;;;;;10.0
o;2;10.0;Hurschler Thomas;**;12;55.75;5;8.75;3;-1.25;8.5
-;7;18.5;Kempf Damian;;17;54.5;7;18.5;0;0.0;8.75
o;11;27.25;Betschart Rainer;**;16;54.75;11;27.25;0;0.0;8.5
+;15;35.75;Ulrich Pascal;;22;53.0;14;36.0;-1;0.25;10.0
o;13;45.75;Kessler Joel;*;16;54.75;17;44.75;4;-1.0;8.5

18j;Hess Michael;*;;;;;;;;;54.25
+;;;Kaufmann Reto (2002);*;;;;;;;9.75
o;3;9.75;Suppiger René;***;10;56.25;6;8.5;3;-1.25;8.5
-;8;18.25;Durrer Markus;;21;53.25;8;18.25;0;0.0;9.0
+;11;27.25;Kurmann Toni;*;28;35.5;12;27.0;1;-0.25;10.0
o;9;37.25;Suppiger Werner;**;10;56.25;6;38.0;-3;0.75;8.5
o;13;45.75;Zimmermann Simon;**;13;55.5;14;45.5;1;-0.25;8.5

18k;Fellmann Roman;**;;;;;;;;;54.25
o;;;Steinauer Adrian;**;;;;;;;8.5
+;6;8.5;Inderbitzin Daniel;*;22;53.0;5;8.75;-1;0.25;10.0
-;7;18.5;Reichmuth Armin;*;16;54.75;7;18.5;0;0.0;8.75
+;11;27.25;Reichmuth Lukas;*;17;54.5;10;27.5;-1;0.25;9.75
o;10;37.0;Waser Dominik;**;12;55.75;9;37.25;-1;0.25;8.5
-;14;45.5;Linggi Bruno;**;17;54.5;13;45.75;-1;0.25;8.75

18l;Arnold Fabian;*;;;;;;;;;54.25
-;;;Kennel Beat;*;;;;;;;8.75
o;5;8.75;Piemontesi Pascal;**;13;55.5;6;8.5;1;-0.25;8.5
+;11;17.25;Fink Bruno;*;18;54.25;11;17.25;0;0.0;9.75
-;12;27.0;Mehr Lars (2002);;14;55.25;10;27.5;-2;0.5;9.0
o;14;36.0;Reichmuth Armin;*;16;54.75;13;36.25;-1;0.25;8.5
+;18;44.5;Durrer Markus;;21;53.25;18;44.5;0;0.0;9.75

18m;Gwerder Christian;**;;;;;;;;;54.25
-;;;Betschart Rainer;**;;;;;;;8.75
o;5;8.75;Vogel Remo;**;11;56.0;5;8.75;0;0.0;8.5
+;11;17.25;Müller Mathias;;28;35.5;8;18.25;-3;1.0;10.0
-;11;27.25;Muff Armin;**;21;53.25;11;27.25;0;0.0;8.75
o;14;36.0;Zimmermann Martin;**;15;55.0;11;36.75;-3;0.75;8.5
+;18;44.5;Hürlimann Mathias;*;21;53.25;17;44.75;-1;0.25;9.75

18n;Bättig Martin;*;;;;;;;;;54.25
+;;;Schuler Daniel;*;;;;;;;10.0
o;2;10.0;Schuler Philipp;**;16;54.75;4;9.0;2;-1.0;8.5
o;7;18.5;Lagler Christian;;16;54.75;6;18.75;-1;0.25;8.5
-;12;27.0;Eﬃnger Markus;*;28;35.5;13;26.75;1;-0.25;8.75
o;15;35.75;Piemontesi Pascal;**;13;55.5;14;36.0;-1;0.25;8.5
+;19;44.25;Arnold Sebastian;;22;53.0;18;44.5;-1;0.25;10.0

18o;Wandeler Roman (2002);;;;;;;;;;54.25
+;;;Suter Raphael;;;;;;;;9.75
+;3;9.75;Della Torre Simon;;36;27.0;2;10.0;-1;0.25;10.0
o;3;19.75;Reichmuth Marco;**;10;56.25;6;18.75;3;-1.0;8.5
o;7;28.25;Rohrer Ueli;*;12;55.75;6;28.5;-1;0.25;8.5
o;11;36.75;Linggi Bruno;**;17;54.5;14;36.0;3;-0.75;8.75
-;14;45.5;Langensand Stefan;*;20;53.5;17;44.75;3;-0.75;8.75

18p;Felder Martin;*;;;;;;;;;54.25
+;;;Reichmuth Roland;*;;;;;;;10.0
o;2;10.0;Gwerder Michael;**;11;56.0;3;9.75;1;-0.25;8.5
+;7;18.5;Steiner Severin (2001);;21;53.25;6;18.75;-1;0.25;9.75
-;7;28.25;Huber Alex;*;14;55.25;7;28.25;0;0.0;9.0
o;9;37.25;Imhof Andi;***;6;57.25;8;37.5;-1;0.25;8.5
o;13;45.75;Bucher Roland;*;15;55.0;15;45.25;2;-0.5;8.5

18q;Fink Bruno;*;;;;;;;;;54.25
o;;;Ulrich Marco;*;;;;;;;8.5
-;6;8.5;Käslin Ruedi;*;20;53.5;5;8.75;-1;0.25;8.75
o;11;17.25;Arnold Fabian;*;18;54.25;11;17.25;0;0.0;8.75
+;15;26.0;Brunner Timon;;28;35.5;12;27.0;-3;1.0;10.0
o;14;36.0;Kennel Beat;*;15;55.0;14;36.0;0;0.0;8.5
+;18;44.5;Ulrich Pascal;;22;53.0;18;44.5;0;0.0;9.75

19a;Zumstein Patrick;;;;;;;;;;54.0
o;;;Steiner Severin (2001);;;;;;;;8.5
-;6;8.5;Beffa Mario;;32;34.5;6;8.5;0;0.0;8.75
+;11;17.25;Suter Raphael;;34;34.0;12;17.0;1;-0.25;10.0
o;11;27.25;Reichmuth Roland;*;17;54.5;15;26.0;4;-1.25;8.5
+;15;35.75;Inderbitzin Daniel;*;22;53.0;15;35.75;0;0.0;9.75
o;14;45.5;Wyss Sven (2001);*;16;54.75;17;44.75;3;-0.75;8.5

19b;Hurschler Adrian;;;;;;;;;;54.0
+;;;Arnold Sebastian;;;;;;;;9.75
+;3;9.75;Bieri Elias;;22;53.0;2;10.0;-1;0.25;9.75
o;4;19.5;Streiff Dominik;*;18;54.25;7;18.5;3;-1.0;8.5
o;8;28.0;Egli Damian;**;9;56.5;6;28.5;-2;0.5;8.5
-;12;36.5;Wyss Sven (2001);*;16;54.75;14;36.0;2;-0.5;8.75
-;15;45.25;Schmidiger Marco;*;21;53.25;18;44.5;3;-0.75;8.75

19c;Durrer Jonas (2003);*;;;;;;;;;54.0
-;;;Suppiger Thomas;*;;;;;;;8.75
-;5;8.75;Schmid Simon;*;12;55.75;6;8.5;1;-0.25;8.75
o;10;17.5;Kurmann Toni;*;28;35.5;11;17.25;1;-0.25;8.5
+;15;26.0;Gwerder Andreas;*;29;35.25;13;26.75;-2;0.75;9.75
+;15;35.75;Bieri Elias;;22;53.0;15;35.75;0;0.0;9.75
o;14;45.5;Waser Reto;*;16;54.75;16;45.0;2;-0.5;8.5

19d;Kälin Roland;**;;;;;;;;;54.0
-;;;Murer Andy;**;;;;;;;9.0
+;4;9.0;Gloggner Reto;**;38;17.25;5;8.75;1;-0.25;9.75
+;6;18.75;Bieri Elias;;22;53.0;6;18.75;0;0.0;9.75
o;6;28.5;Scheuber Lutz;**;11;56.0;10;27.5;4;-1.0;8.5
o;10;37.0;Brun Jonas;**;11;56.0;10;37.0;0;0.0;8.5
o;14;45.5;Bucher Thomas;*;15;55.0;15;45.25;1;-0.25;8.5

19e;Nietlispach Pascal;**;;;;;;;;;54.0
+;;;Doppmann Urs;**;;;;;;;9.75
o;3;9.75;Wicki Joel;**;3;58.25;5;8.75;2;-1.0;8.5
+;8;18.25;Suppiger Thomas;*;16;54.75;10;17.5;2;-0.75;10.0
o;7;28.25;Bernhard Lukas;*;7;57.0;6;28.5;-1;0.25;8.5
o;11;36.75;Schöpfer Ronny;*;12;55.75;9;37.25;-2;0.5;8.75
o;14;45.5;Höﬂiger Andreas;**;13;55.5;14;45.5;0;0.0;8.5

19f;Waser Christoph (2002);;;;;;;;;;54.0
+;;;Crotta Robin (2001);;;;;;;;10.0
o;2;10.0;Bürgi Tobias;;19;54.0;3;9.75;1;-0.25;8.5
+;7;18.5;Troxler Jonas;*;15;55.0;8;18.25;1;-0.25;10.0
o;6;28.5;Ulrich Marco;*;15;55.0;10;27.5;4;-1.0;8.5
o;10;37.0;Widmer Adrian;*;13;55.5;10;37.0;0;0.0;8.5
o;14;45.5;Kaufmann Reto (2002);*;16;54.75;17;44.75;3;-0.75;8.5

19g;Durrer Fabian;*;;;;;;;;;54.0
+;;;Schärli Reto;*;;;;;;;10.0
o;2;10.0;Fankhauser Reto;**;10;56.25;4;9.0;2;-1.0;8.75
o;6;18.75;Hess Dominik;*;25;45.75;6;18.75;0;0.0;8.5
o;11;27.25;Stöckli Damian;*;24;46.0;11;27.25;0;0.0;8.5
+;15;35.75;Riebli Urs (2002);;21;53.25;14;36.0;-1;0.25;9.75
o;14;45.5;Gerber Peter;*;14;55.25;14;45.5;0;0.0;8.5

19h;Gwerder Beni;;;;;;;;;;54.0
-;;;Vogler Jonas;;;;;;;;8.75
o;5;8.75;Herger Andreas;;17;54.5;5;8.75;0;0.0;8.5
+;11;17.25;Di Pietro Loris;;33;34.25;11;17.25;0;0.0;10.0
+;11;27.25;Imfeld Beat;*;32;34.5;15;26.0;4;-1.25;9.75
o;10;37.0;Odermatt Christian;**;15;55.0;12;36.5;2;-0.5;8.5
o;14;45.5;Troxler Jonas;*;15;55.0;15;45.25;1;-0.25;8.5

19i;Bürgi Tobias;;;;;;;;;;54.0
+;;;Wyrsch Gabriel (2001);;;;;;;;9.75
+;3;9.75;Waser Christoph (2002);;19;54.0;2;10.0;-1;0.25;10.0
o;3;19.75;Arnold Raphael;**;13;55.5;6;18.75;3;-1.0;8.5
-;7;28.25;Zimmermann Simon;**;13;55.5;7;28.25;0;0.0;8.75
o;10;37.0;Muff André;*;12;55.75;14;36.0;4;-1.0;8.5
o;14;45.5;Schärli Reto;*;18;54.25;18;44.5;4;-1.0;8.5

19j;Lustenberger Florian (2002);;;;;;;;;;54.0
+;;;Ming Hannes;;;;;;;;10.0
+;2;10.0;Durrer Markus;;21;53.25;3;9.75;1;-0.25;10.0
o;2;20.0;Odermatt Andreas;*;13;55.5;6;18.75;4;-1.25;8.5
o;6;28.5;Ettlin Stefan;**;9;56.5;7;28.25;1;-0.25;8.5
o;10;37.0;Lang Sven;*;7;57.0;9;37.25;-1;0.25;8.5
o;14;45.5;Vogel Remo;**;11;56.0;12;46.0;-2;0.5;8.5

20a;Eﬃnger Peter;;;;;;;;;;53.5
o;;;Gasser Dominik 2;;;;;;;;8.5
+;6;8.5;Arnold Sebastian;;22;53.0;6;8.5;0;0.0;9.75
+;8;18.25;Würsch Lars;*;28;35.5;8;18.25;0;0.0;9.75
o;8;28.0;Achermann Christoph;*;13;55.5;11;27.25;3;-0.75;8.5
o;12;36.5;Burch Jonas;*;15;55.0;14;36.0;2;-0.5;8.5
o;16;45.0;Wyrsch Marco;**;17;54.5;17;44.75;1;-0.25;8.5

20b;Langensand Stefan;*;;;;;;;;;53.5
+;;;Eﬃnger Markus;*;;;;;;;9.75
-;3;9.75;Wyss Sven (2001);*;16;54.75;2;10.0;-1;0.25;8.75
-;7;18.5;Binggeli Stefan;**;16;54.75;6;18.75;-1;0.25;8.75
-;11;27.25;Betschart Daniel;;17;54.5;12;27.0;1;-0.25;8.75
o;14;36.0;Lemmenmeier Lukas;*;16;54.75;13;36.25;-1;0.25;8.75
-;17;44.75;Wandeler Roman (2002);;18;54.25;14;45.5;-3;0.75;8.75

20c;Müller Roger;*;;;;;;;;;53.5
-;;;Amgarten Martin;*;;;;;;;8.75
o;5;8.75;Rohrer Marco;**;15;55.0;6;8.5;1;-0.25;8.5
o;11;17.25;Gwerder Andreas;*;29;35.25;12;17.0;1;-0.25;8.5
+;16;25.75;Ziegler Moritz;;34;34.0;17;25.5;1;-0.25;10.0
-;15;35.75;Vonlaufen Lukas;*;21;53.25;15;35.75;0;0.0;9.0
-;17;44.75;Steiner Severin (2001);;21;53.25;18;44.5;1;-0.25;8.75

20d;Arnold Marcel;*;;;;;;;;;53.5
-;;;Gasser Peter;*;;;;;;;8.75
o;5;8.75;Doppmann Urs;**;10;56.25;5;8.75;0;0.0;8.5
-;11;17.25;Durrer Nando;*;30;35.0;11;17.25;0;0.0;9.0
+;14;26.25;Gasser Dominik 2;;28;35.5;12;27.0;-2;0.75;10.0
-;13;36.25;Durrer Markus;;21;53.25;15;35.75;2;-0.5;8.75
o;16;45.0;Achermann Christoph;*;13;55.5;13;45.75;-3;0.75;8.5

20e;Käslin Ruedi;*;;;;;;;;;53.5
-;;;Scherer Niklaus;*;;;;;;;8.75
-;5;8.75;Fink Bruno;*;18;54.25;6;8.5;1;-0.25;8.75
o;10;17.5;Wyrsch Marco;**;17;54.5;10;17.5;0;0.0;8.5
+;15;26.0;von Euw Lukas (2002);;28;35.5;12;27.0;-3;1.0;10.0
-;14;36.0;Waser Reto;*;16;54.75;13;36.25;-1;0.25;8.75
-;17;44.75;Riebli Urs (2002);;21;53.25;18;44.5;1;-0.25;8.75

21a;Vonlaufen Lukas;*;;;;;;;;;53.25
+;;;Schmid Simon;*;;;;;;;9.75
-;3;9.75;Blaser Theo;*;21;53.25;2;10.0;-1;0.25;8.75
o;7;18.5;Fankhauser Marco;**;8;56.75;8;18.25;1;-0.25;8.5
-;12;27.0;Schürpf Guido;;16;54.75;10;27.5;-2;0.5;8.75
-;15;35.75;Müller Roger;*;20;53.5;15;35.75;0;0.0;8.75
-;18;44.5;Lustenberger Marc (2003);;18;54.25;15;45.25;-3;0.75;8.75

21b;Riebli Urs (2002);;;;;;;;;;53.25
+;;;Suter Samuel;;;;;;;;9.75
-;3;9.75;Steiner Severin (2001);;21;53.25;2;10.0;-1;0.25;8.75
-;7;18.5;Villiger Cyrill;*;22;53.0;7;18.5;0;0.0;8.75
-;11;27.25;Durrer Nando;*;30;35.0;14;26.25;3;-1.0;8.75
o;14;36.0;Durrer Fabian;*;19;54.0;15;35.75;1;-0.25;8.5
-;18;44.5;Käslin Ruedi;*;20;53.5;17;44.75;-1;0.25;8.75

21c;Bürgi Reto;*;;;;;;;;;53.25
-;;;Reichmuth Lukas;*;;;;;;;8.75
o;5;8.75;Waser Dominik;**;12;55.75;5;8.75;0;0.0;8.5
-;11;17.25;Suter Beat;*;17;54.5;11;17.25;0;0.0;8.75
+;15;26.0;Wicki Patrick;;23;52.75;11;27.25;-4;1.25;9.75
-;15;35.75;Heinzer Stefan;*;1;109.25;1;72.25;-14;36.5;8.75
-;18;44.5;Inderbitzin Daniel;*;22;53.0;19;44.25;1;-0.25;8.75

21d;Scherer Niklaus;*;;;;;;;;;53.25
-;;;Käslin Ruedi;*;;;;;;;8.75
o;5;8.75;Gwerder Dario;**;14;55.25;6;8.5;1;-0.25;8.5
-;11;17.25;Reichmuth Roland;*;17;54.5;11;17.25;0;0.0;8.75
+;15;26.0;Beffa Mario;;32;34.5;15;26.0;0;0.0;10.0
-;14;36.0;Betschart Daniel;;17;54.5;15;35.75;1;-0.25;8.75
o;17;44.75;Erb Roger;**;17;54.5;18;44.5;1;-0.25;8.5

21e;Hürlimann Mathias;*;;;;;;;;;53.25
o;;;Wyss Sven (2001);*;;;;;;;8.75
-;5;8.75;Schmidiger Marco;*;21;53.25;6;8.5;1;-0.25;8.75
+;10;17.5;Heinzer Stefan;*;1;109.25;1;35.5;-9;18.0;10.0
o;10;27.5;Schöpfer Ronny;*;12;55.75;10;27.5;0;0.0;8.5
o;14;36.0;Weber Ivo;;14;55.25;12;36.5;-2;0.5;8.75
o;17;44.75;Gwerder Christian;**;18;54.25;18;44.5;1;-0.25;8.5

21f;Durrer Markus;;;;;;;;;;53.25
+;;;Föhn Christian (2002);;;;;;;;9.75
o;3;9.75;Lustenberger Florian (2002);;19;54.0;2;10.0;-1;0.25;8.5
-;8;18.25;Hess Michael;*;18;54.25;8;18.25;0;0.0;8.75
-;12;27.0;Bachmann Roger;*;32;34.5;16;25.75;4;-1.25;8.75
-;15;35.75;Arnold Marcel;*;20;53.5;13;36.25;-2;0.5;8.75
o;18;44.5;Arnold Fabian;*;18;54.25;18;44.5;0;0.0;8.75

21g;Schmidiger Marco;*;;;;;;;;;53.25
o;;;Briker Michael;*;;;;;;;8.5
-;6;8.5;Hürlimann Mathias;*;21;53.25;5;8.75;-1;0.25;8.75
-;11;17.25;Waser Reto;*;16;54.75;11;17.25;0;0.0;8.75
+;15;26.0;Lüthy Ralph;;28;35.5;12;27.0;-3;1.0;10.0
o;14;36.0;Gwerder Dario;**;14;55.25;12;36.5;-2;0.5;8.5
-;18;44.5;Hurschler Adrian;;19;54.0;15;45.25;-3;0.75;8.75

21h;Thalmann Thomas;*;;;;;;;;;53.25
o;;;Bucher Roland;*;;;;;;;8.5
o;6;8.5;Kenel Franz-Toni;*;16;54.75;6;8.5;0;0.0;8.5
+;12;17.0;Betschart Silvan;*;29;35.25;12;17.0;0;0.0;10.0
-;12;27.0;Inderbitzin Daniel;*;22;53.0;12;27.0;0;0.0;8.75
-;15;35.75;Herger Andreas;;17;54.5;15;35.75;0;0.0;9.0
o;17;44.75;Betschart Daniel;;17;54.5;18;44.5;1;-0.25;8.5

21i;Blaser Theo;*;;;;;;;;;53.25
+;;;Thierstein Marco;*;;;;;;;10.0
-;2;10.0;Vonlaufen Lukas;*;21;53.25;3;9.75;1;-0.25;8.75
o;6;18.75;Suppiger Werner;**;10;56.25;3;19.75;-3;1.0;8.5
-;11;27.25;Heiniger Marco;*;16;54.75;12;27.0;1;-0.25;8.75
-;14;36.0;Muff Armin;**;21;53.25;14;36.0;0;0.0;8.75
o;17;44.75;Schmid Simon;*;12;55.75;13;45.75;-4;1.0;8.5

21j;Steiner Severin (2001);;;;;;;;;;53.25
+;;;Zumstein Patrick;;;;;;;;10.0
-;2;10.0;Riebli Urs (2002);;21;53.25;3;9.75;1;-0.25;8.75
o;6;18.75;Felder Martin;*;18;54.25;7;18.5;1;-0.25;8.5
o;11;27.25;Zürcher Ueli;*;15;55.0;10;27.5;-1;0.25;8.75
o;14;36.0;Heiniger Marco;*;16;54.75;15;35.75;1;-0.25;8.5
-;18;44.5;Müller Roger;*;20;53.5;17;44.75;-1;0.25;8.75

21k;Muff Armin;**;;;;;;;;;53.25
-;;;Waser Dominik;**;;;;;;;8.75
-;5;8.75;Reichmuth Lukas;*;17;54.5;5;8.75;0;0.0;8.75
+;10;17.5;Föhn Christian (2002);;29;35.25;8;18.25;-2;0.75;9.75
-;11;27.25;Gwerder Christian;**;18;54.25;11;27.25;0;0.0;8.75
-;14;36.0;Blaser Theo;*;21;53.25;14;36.0;0;0.0;8.75
o;17;44.75;Bucher Christian;*;13;55.5;14;45.5;-3;0.75;8.5

22a;Inderbitzin Daniel;*;;;;;;;;;53.0
-;;;Kurmann Toni;*;;;;;;;8.75
o;5;8.75;Fellmann Roman;**;18;54.25;6;8.5;1;-0.25;8.5
+;11;17.25;Fässler Dominic;**;33;34.25;11;17.25;0;0.0;9.75
-;12;27.0;Thalmann Thomas;*;21;53.25;12;27.0;0;0.0;8.75
o;15;35.75;Zumstein Patrick;;19;54.0;15;35.75;0;0.0;8.5
-;19;44.25;Bürgi Reto;*;21;53.25;18;44.5;-1;0.25;8.75

22b;Bieri Elias;;;;;;;;;;53.0
+;;;Lüthy Ralph;;;;;;;;10.0
o;2;10.0;Hurschler Adrian;;19;54.0;3;9.75;1;-0.25;8.75
o;6;18.75;Kälin Roland;**;19;54.0;6;18.75;0;0.0;8.5
o;11;27.25;Waser Reto;*;16;54.75;14;26.25;3;-1.0;8.5
o;15;35.75;Durrer Jonas (2003);*;19;54.0;15;35.75;0;0.0;8.5
o;19;44.25;Reichmuth Lukas;*;17;54.5;18;44.5;-1;0.25;8.75

22c;Villiger Cyrill;*;;;;;;;;;53.0
+;;;Gisler Jonas (2001);*;;;;;;;10.0
o;2;10.0;Mathis Marcel;***;8;56.75;5;8.75;3;-1.25;8.5
-;7;18.5;Riebli Urs (2002);;21;53.25;7;18.5;0;0.0;9.0
o;10;27.5;Zurﬂuh Roman;**;11;56.0;10;27.5;0;0.0;8.5
o;14;36.0;Arnold Andreas;*;18;54.25;14;36.0;0;0.0;8.5
o;18;44.5;Kempf Damian;;17;54.5;18;44.5;0;0.0;8.5

22d;Arnold Sebastian;;;;;;;;;;53.0
o;;;Hurschler Adrian;;;;;;;;8.5
o;6;8.5;Eﬃnger Peter;;20;53.5;6;8.5;0;0.0;8.75
+;11;17.25;Vogler Jonas;;33;34.25;11;17.25;0;0.0;10.0
o;11;27.25;Heinzer Stefan;*;1;109.25;1;53.75;-10;26.5;8.75
o;14;36.0;Doppmann Urs;**;10;56.25;13;36.25;-1;0.25;8.5
o;18;44.5;Bättig Martin;*;18;54.25;19;44.25;1;-0.25;8.5

22e;Ulrich Pascal;;;;;;;;;;53.0
-;;;Herger Andreas;;;;;;;;8.75
+;5;8.75;Wicki Patrick;;23;52.75;5;8.75;0;0.0;9.75
o;7;18.5;Betschart Remo;**;18;54.25;11;17.25;4;-1.25;8.75
-;11;27.25;Arnold Andreas;*;18;54.25;12;27.0;1;-0.25;8.75
o;14;36.0;Wyrsch Silvio;*;18;54.25;15;35.75;1;-0.25;8.5
o;18;44.5;Fink Bruno;*;18;54.25;18;44.5;0;0.0;8.5

23a;Ming Hannes;;;;;;;;;;52.75
o;;;Lustenberger Florian (2002);;;;;;;;8.5
+;6;8.5;Suter Raphael;;34;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Reichmuth Lukas;*;17;54.5;10;17.5;3;-1.0;8.75
o;11;27.25;Kennel Beat;*;15;55.0;15;26.0;4;-1.25;8.5
o;15;35.75;Schmid Simon;*;12;55.75;14;36.0;-1;0.25;8.5
o;19;44.25;Schuler Daniel;*;18;54.25;18;44.5;-1;0.25;8.5

23b;Wicki Patrick;;;;;;;;;;52.75
-;;;Betschart Daniel;;;;;;;;8.75
o;5;8.75;Ulrich Pascal;;22;53.0;5;8.75;0;0.0;8.5
+;11;17.25;Ziegler Moritz;;34;34.0;12;17.0;1;-0.25;10.0
o;11;27.25;Bürgi Reto;*;21;53.25;15;26.0;4;-1.25;8.5
o;15;35.75;Murer Andy;**;11;56.0;14;36.0;-1;0.25;8.5
o;19;44.25;Heinzer Stefan;*;1;109.25;1;91.0;-18;46.75;8.5

23c;Hegner Ueli;*;;;;;;;;;52.75
o;;;Rohrer Ivan;**;;;;;;;8.5
o;6;8.5;Moos Christoph;*;28;35.5;5;8.75;-1;0.25;8.5
o;12;17.0;Kaufmann Reto (2002);*;16;54.75;12;17.0;0;0.0;8.75
+;16;25.75;Crotta Robin (2001);;34;34.0;17;25.5;1;-0.25;10.0
o;15;35.75;Wallimann Remo;*;13;55.5;15;35.75;0;0.0;8.5
o;19;44.25;Herger Andreas;;17;54.5;18;44.5;-1;0.25;8.5

23d;Suter Samuel;;;;;;;;;;52.75
o;;;Riebli Urs (2002);;;;;;;;8.5
+;6;8.5;Ziegler Moritz;;34;34.0;6;8.5;0;0.0;9.75
o;8;18.25;Betschart Rainer;**;16;54.75;10;17.5;2;-0.75;8.5
-;13;26.75;Schärli Reto;*;18;54.25;12;27.0;-1;0.25;9.0
o;15;35.75;Suppiger Thomas;*;16;54.75;14;36.0;-1;0.25;8.5
o;19;44.25;Bernet Christoph;*;17;54.5;18;44.5;-1;0.25;8.5

24a;Stöckli Damian;*;;;;;;;;;46.0
+;;;Gwerder Andreas;*;;;;;;;10.0
o;2;10.0;Betschart Patrick;*;13;55.5;3;9.75;1;-0.25;8.5
o;7;18.5;Bernhard Lukas;*;7;57.0;6;18.75;-1;0.25;8.75
+;11;27.25;Durrer Fabian;*;19;54.0;11;27.25;0;0.0;9.75
-;10;37.0;Ulrich Marco;*;15;55.0;8;37.5;-2;0.5;9.0

25a;Hess Dominik;*;;;;;;;;;45.75
-;;;Reichmuth Armin;*;;;;;;;8.75
+;5;8.75;Van Messel Noe (2002);**;30;35.0;6;8.5;1;-0.25;10.0
+;6;18.75;Durrer Fabian;*;19;54.0;6;18.75;0;0.0;9.75
o;6;28.5;Vogel Remo;**;11;56.0;10;27.5;4;-1.0;8.75
o;9;37.25;Schuler Alex;***;16;54.75;13;36.25;4;-1.0;8.5

26a;Kempf Elias;**;;;;;;;;;37.0
+;;;Heinzer Stefan;**;;;;;;;9.75
o;3;9.75;Reichmuth Pirmin;***;6;57.25;5;8.75;2;-1.0;8.5
+;8;18.25;Eﬃnger Markus;*;28;35.5;8;18.25;0;0.0;9.75
-;8;28.0;Schuler Alex;***;16;54.75;11;27.25;3;-0.75;9.0

27a;Bienz Romeo;*;;;;;;;;;35.75
-;;;Bernet Christoph;*;;;;;;;8.75
o;5;8.75;Scheuber Lutz;**;11;56.0;6;8.5;1;-0.25;8.5
