3617-2017-06-25_Fete_Cantonale_Vaudoise2-ST

1a;Moser Steven;**;;;;;;;;;58.75
+;7;27.5;Wieland Janis;;9;56.25;4;28.25;-3;0.75;9.75
+;7;37.25;Emonet Frédéric;*;14;55.0;9;36.75;2;-0.5;9.75
-;5;47.0;Dind Samuel;**;11;55.75;6;46.75;1;-0.25;9.0

10b;Schmidiger Marco;*;;;;;;;;;56.0
+;;;Lerch Jimmy;*;;;;;;;9.75
o;2;9.75;Moser Steven;**;1;58.75;4;8.75;2;-1.0;8.5
-;7;18.25;Ledermann Michael (2000);;11;55.75;3;19.5;-4;1.25;8.75
+;9;27.0;Kyburz Silas;;13;55.25;5;28.0;-4;1.0;10.0
-;8;37.0;Matthey Mickaël;**;8;56.5;6;37.5;-2;0.5;9.0
+;9;46.0;Berthet Luca (2001);;13;55.25;6;46.75;-3;0.75;10.0

10c;Rapin Florent;;;;;;;;;;56.0
-;;;Crettaz Olivier;;;;;;;;8.75
+;4;8.75;Dormond Noa;;21;52.75;1;10.0;-3;1.25;10.0
o;5;18.75;Egli David;*;11;55.75;8;17.5;3;-1.25;8.5
-;8;27.25;Dorsaz Alexandre;*;18;54.0;10;26.75;2;-0.5;8.75
+;12;36.0;Vionnet Julien (2000);;21;52.75;13;35.75;1;-0.25;10.0
+;9;46.0;Remy André (2001);;15;54.75;8;46.25;-1;0.25;10.0

11a;Egli Pirmin;**;;;;;;;;;55.75
-;;;Moser Steven;**;;;;;;;8.75
+;4;8.75;Mollet Ivan;*;6;57.0;1;10.0;-3;1.25;10.0
o;5;18.75;Haenni Stéphane;**;5;57.25;1;20.0;-4;1.25;8.5
-;8;27.25;Ledermann Michael (2000);;11;55.75;4;28.25;-4;1.0;9.0
+;11;36.25;Barras André;*;13;55.25;9;36.75;-2;0.5;9.75
+;9;46.0;Ambresin Cyril (1999);;12;55.5;5;47.0;-4;1.0;9.75

11b;Doppmann Urs;*;;;;;;;;;55.75
o;;;Haenni Stéphane;**;;;;;;;8.5
+;5;8.5;Mosimann Vincent;*;14;55.0;2;9.75;-3;1.25;10.0
+;6;18.5;Gottofrey Marc;**;5;57.25;4;19.0;-2;0.5;10.0
-;3;28.5;Berset Julien;*;11;55.75;2;28.75;-1;0.25;8.75
+;7;37.25;Berthet Luca (2001);;13;55.25;3;38.25;-4;1.0;10.0
o;4;47.25;Borcard Johann;**;3;58.0;3;48.25;-1;1.0;8.5

11c;Dind Samuel;**;;;;;;;;;55.75
+;;;Roch Vincent;**;;;;;;;9.75
o;2;9.75;Piemontesi Pascal;**;2;58.25;1;10.0;-1;0.25;8.5
+;7;18.25;Golliard Steve;;13;55.25;5;18.75;-2;0.5;10.0
+;4;28.25;Sturny Nicolas;;12;55.5;3;28.5;-1;0.25;10.0
o;3;38.25;Moser Steven;**;1;58.75;1;38.75;-2;0.5;8.5
-;6;46.75;Brodard Simon;**;10;56.0;5;47.0;-1;0.25;9.0

11d;Berset Julien;*;;;;;;;;;55.75
-;;;Gassmann Simon;*;;;;;;;8.75
+;4;8.75;Taillard Virgile;;14;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Matthey Mickaël;**;8;56.5;4;19.0;-1;0.25;10.0
-;2;28.75;Doppmann Urs;*;11;55.75;3;28.5;1;-0.25;8.75
+;6;37.5;Cotting Alexandre;;15;54.75;5;37.75;-1;0.25;9.75
o;4;47.25;Mollet Ivan;*;6;57.0;4;47.25;0;0.0;8.5

11e;Ledermann Michael (2000);;;;;;;;;;55.75
+;;;Turin Antoine (2001);;;;;;;;9.75
+;2;9.75;Duvoisin Antony;;19;53.75;2;9.75;0;0.0;9.75
-;3;19.5;Schmidiger Marco;*;10;56.0;7;18.25;4;-1.25;8.75
-;4;28.25;Egli Pirmin;**;11;55.75;8;27.25;4;-1.0;8.75
-;8;37.0;Kramer Dorian (1999);;17;54.25;10;36.5;2;-0.5;8.75
+;10;45.75;Torche Bastian;;17;54.25;11;45.5;1;-0.25;10.0

11f;Egli David;*;;;;;;;;;55.75
-;;;Gottofrey Marc;**;;;;;;;8.75
-;4;8.75;Minder Florian;;7;56.75;1;10.0;-3;1.25;8.75
+;8;17.5;Rapin Florent;;10;56.0;5;18.75;-3;1.25;9.75
-;8;27.25;Cropt Harald;**;16;54.5;8;27.25;0;0.0;8.75
+;12;36.0;Liardon Kevin;;17;54.25;7;37.25;-5;1.25;10.0
+;9;46.0;Mollet Adrian;;14;55.0;7;46.5;-2;0.5;9.75

12a;Lützelschwab Luc (1999);;;;;;;;;;55.5
+;;;Remy André (2001);;;;;;;;10.0
o;1;10.0;Gottofrey Marc;**;5;57.25;3;9.0;2;-1.0;8.5
+;6;18.5;Gauch Thierry;;21;52.75;6;18.5;0;0.0;10.0
o;3;28.5;Piemontesi Pascal;**;2;58.25;3;28.5;0;0.0;8.5
+;8;37.0;Pürro Tobias;;13;55.25;8;37.0;0;0.0;10.0
o;5;47.0;Egli Damian;**;6;57.0;5;47.0;0;0.0;8.5

12b;Vaucher Rémy (1999);;;;;;;;;;55.5
+;;;Lopes Semedo Mauro (2001);;;;;;;;10.0
o;1;10.0;Dorsaz Théo;;17;54.25;4;8.75;3;-1.25;8.75
o;5;18.75;Mollet Ivan;*;6;57.0;6;18.5;1;-0.25;8.5
+;8;27.25;Buntschu Andreas (2001);;19;53.75;10;26.75;2;-0.5;9.75
o;8;37.0;Gottofrey Luc;*;13;55.25;14;35.5;6;-1.5;8.5
+;11;45.5;Turin Antoine (2001);;20;53.5;13;45.0;2;-0.5;10.0

12c;Balimann Fabian;;;;;;;;;;55.5
+;;;Balsiger Kevin (2001);;;;;;;;10.0
o;1;10.0;Gottofrey Luc;*;13;55.25;4;8.75;3;-1.25;8.5
o;6;18.5;Ambresin Cyril (1999);;12;55.5;6;18.5;0;0.0;8.5
+;9;27.0;Duvoisin Antony;;19;53.75;10;26.75;1;-0.25;10.0
o;8;37.0;Bersier Jean-Jacques;*;17;54.25;13;35.75;5;-1.25;8.5
+;11;45.5;Liardon Kevin;;17;54.25;10;45.75;-1;0.25;10.0

12d;Ambresin Cyril (1999);;;;;;;;;;55.5
+;;;Cottier Marco (2000);;;;;;;;10.0
o;1;10.0;Schafer Damien;*;18;54.0;5;8.5;4;-1.5;8.5
+;6;18.5;Balimann Fabian;;12;55.5;6;18.5;0;0.0;10.0
o;3;28.5;Dousse Michel;**;7;56.75;4;28.25;1;-0.25;8.5
+;8;37.0;Von Niederhäusern Martin;;12;55.5;8;37.0;0;0.0;10.0
o;5;47.0;Egli Pirmin;**;11;55.75;9;46.0;4;-1.0;8.5

12e;Sturny Nicolas;;;;;;;;;;55.5
+;;;Heiniger Mickaël;;;;;;;;10.0
+;1;10.0;Giroud Jonathan;**;25;44.0;5;8.5;4;-1.5;10.0
o;1;20.0;Egli Damian;**;6;57.0;6;18.5;5;-1.5;8.5
o;3;28.5;Dind Samuel;**;11;55.75;4;28.25;1;-0.25;8.5
o;8;37.0;Crettaz Olivier;;8;56.5;8;37.0;0;0.0;8.5
+;11;45.5;Délitroz Lucien (1999);;18;54.0;11;45.5;0;0.0;10.0

12f;Von Niederhäusern Martin;;;;;;;;;;55.5
+;;;Vionnet Julien (2000);;;;;;;;10.0
o;1;10.0;Lerch Jimmy;*;13;55.25;5;8.5;4;-1.5;8.5
+;6;18.5;Dorsaz Théo;;17;54.25;6;18.5;0;0.0;10.0
o;3;28.5;Gottofrey Marc;**;5;57.25;7;27.5;4;-1.0;8.5
o;8;37.0;Ambresin Cyril (1999);;12;55.5;8;37.0;0;0.0;8.5
+;11;45.5;Roth Simon (2000);;18;54.0;11;45.5;0;0.0;10.0

12g;Ducry Antoine;*;;;;;;;;;55.5
-;;;Gottofrey Luc;*;;;;;;;8.75
-;4;8.75;Buchs Julien (1999);;13;55.25;2;9.75;-2;1.0;8.75
+;8;17.5;Pürro David (2001);;21;52.75;6;18.5;-2;1.0;9.75
+;8;27.25;Giroud Jonathan;**;25;44.0;9;27.0;1;-0.25;9.75
+;8;37.0;Lerch Jimmy;*;13;55.25;8;37.0;0;0.0;10.0
o;5;47.0;Matthey Mickaël;**;8;56.5;7;46.5;2;-0.5;8.5

12h;Cotting Florian;;;;;;;;;;55.5
o;;;Wieland Micha;;;;;;;;8.5
-;5;8.5;Liardon Kevin;;17;54.25;5;8.5;0;0.0;8.75
+;9;17.25;Turrian Mathias;;22;52.5;10;17.0;1;-0.25;9.75
+;9;27.0;Z'Rotz Roman;;17;54.25;8;27.25;-1;0.25;10.0
+;8;37.0;Giroud Jonathan;**;25;44.0;14;35.5;6;-1.5;10.0
o;5;47.0;Haenni Stéphane;**;5;57.25;4;47.25;-1;0.25;8.5

12i;Dind Clément;;;;;;;;;;55.5
o;;;Kramer Dorian (1999);;;;;;;;8.5
+;5;8.5;Holweger Marek;;18;54.0;5;8.5;0;0.0;10.0
-;6;18.5;Minder Florian;;7;56.75;5;18.75;-1;0.25;8.75
+;8;27.25;Pürro David (2001);;21;52.75;8;27.25;0;0.0;9.75
-;8;37.0;Loup Alexandre;*;15;54.75;13;35.75;5;-1.25;8.75
+;10;45.75;Balimann Sandro (2001);;17;54.25;10;45.75;0;0.0;9.75

13a;Berthet Luca (2001);;;;;;;;;;55.25
+;;;Aeschbacher Ivo (2001);;;;;;;;9.75
o;2;9.75;Dubey Gaël;;13;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Remy André (2001);;15;54.75;7;18.25;0;0.0;10.0
+;4;28.25;Torche Bastian;;17;54.25;9;27.0;5;-1.25;10.0
o;3;38.25;Doppmann Urs;*;11;55.75;7;37.25;4;-1.0;8.5
o;6;46.75;Schmidiger Marco;*;10;56.0;9;46.0;3;-0.75;8.5

13b;Kyburz Silas;;;;;;;;;;55.25
+;;;Blanchette Nicolas;;;;;;;;9.75
o;2;9.75;Cotting Alexandre;;15;54.75;2;9.75;0;0.0;8.5
+;7;18.25;Roth Simon (2000);;18;54.0;7;18.25;0;0.0;9.75
o;5;28.0;Schmidiger Marco;*;10;56.0;9;27.0;4;-1.0;8.5
-;10;36.5;Doppmann Ueli;;17;54.25;8;37.0;-2;0.5;8.75
+;12;45.25;Monney Branighan;;17;54.25;11;45.5;-1;0.25;10.0

13c;Loup Grégoire (2000);;;;;;;;;;55.25
+;;;Torche Bastian;;;;;;;;10.0
o;1;10.0;Brodard Simon;**;10;56.0;4;8.75;3;-1.25;8.5
+;6;18.5;Délitroz Lucien (1999);;18;54.0;6;18.5;0;0.0;9.75
o;4;28.25;Brodard Augustin;**;13;55.25;4;28.25;0;0.0;8.5
o;9;36.75;Wieland Janis;;9;56.25;9;36.75;0;0.0;8.5
+;12;45.25;Goy Sébastien;;20;53.5;13;45.0;1;-0.25;10.0

13d;Lerch Jimmy;*;;;;;;;;;55.25
o;;;Schmidiger Marco;*;;;;;;;8.5
+;5;8.5;Von Niederhäusern Martin;;12;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Dubey Gaël;;13;55.25;6;18.5;0;0.0;10.0
o;3;28.5;Moser Steven;**;1;58.75;2;28.75;-1;0.25;8.5
o;8;37.0;Ducry Antoine;*;12;55.5;8;37.0;0;0.0;8.5
+;11;45.5;Fankhauser Hans (2001);;14;55.0;7;46.5;-4;1.0;9.75

13e;Pürro Tobias;;;;;;;;;;55.25
+;;;Lambert Ousama (1999);;;;;;;;10.0
