2950-2016-08-14_17_Schwaegalp-Schwinget-ST

1a;Giger Samuel (1998);**;;;;;;;;;58.0
o;2;9.75;Zwyssig Raphael;***;10;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Bernold Edi;**;17;53.75;7;18.25;0;0.0;8.5
+;13;26.75;Näf Pius;*;21;35.5;12;27.0;-1;0.25;10.0
o;9;36.75;Krähenbühl Tobias;**;10;55.5;9;36.75;0;0.0;8.5
-;14;45.25;Knechtle Martin;**;16;54.0;14;45.25;0;0.0;8.75

16d;Oertig Dominik;**;;;;;;;;;54.0
-;;;Murer Andy;*;;;;;;;8.75
o;4;8.75;Bader Andreas;**;18;53.0;5;8.5;1;-0.25;8.5
+;9;17.25;Straub Robin;*;24;34.75;9;17.25;0;0.0;10.0
o;11;27.25;Alpiger Nick;**;5;56.75;10;27.5;-1;0.25;8.5
+;13;35.75;Schläpfer Matthias;*;19;52.75;13;35.75;0;0.0;9.75
o;13;45.5;Schlegel Sandro;**;11;55.25;13;45.5;0;0.0;8.5

16e;Gmür Pirmin;*;;;;;;;;;54.0
+;;;Korrodi Paul;*;;;;;;;9.75
o;2;9.75;Alpiger Nick;**;5;56.75;4;8.75;2;-1.0;8.5
-;7;18.25;Studinger Stephan;**;12;55.0;7;18.25;0;0.0;8.75
-;12;27.0;Hasler Florian;**;21;35.5;13;26.75;1;-0.25;8.75
+;13;35.75;Ammann Rico;*;19;52.75;13;35.75;0;0.0;9.75
o;13;45.5;Clopath Beat;***;10;55.5;13;45.5;0;0.0;8.5

16f;Zbinden Marc;*;;;;;;;;;54.0
+;;;Ackermann Remo;*;;;;;;;9.75
o;2;9.75;Blatter Lorenz;**;13;54.75;5;8.5;3;-1.25;8.75
o;6;18.5;Schurtenberger Sven;**;9;55.75;6;18.5;0;0.0;8.5
-;12;27.0;Eugster Ruedi;**;21;35.5;13;26.75;1;-0.25;8.75
+;13;35.75;Wey Nicola;*;19;52.75;13;35.75;0;0.0;9.75
o;13;45.5;Glaus Martin;***;10;55.5;13;45.5;0;0.0;8.5

16g;Gwerder Andreas;**;;;;;;;;;54.0
+;;;Bader Andreas;**;;;;;;;9.75
o;2;9.75;Laimbacher Philipp;***;4;57.0;5;8.5;3;-1.25;8.5
o;7;18.25;Klausner Yanick;**;11;55.25;7;18.25;0;0.0;8.75
o;12;27.0;Steiner Michael;**;14;54.5;12;27.0;0;0.0;8.75
+;13;35.75;Baumann Rico;*;18;53.0;13;35.75;0;0.0;9.75
o;13;45.5;Wickli Beat;**;11;55.25;13;45.5;0;0.0;8.5

17a;Bernold Edi;**;;;;;;;;;53.75
+;;;Krähenbühl Lukas;*;;;;;;;9.75
o;2;9.75;Clopath Beat;***;10;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Landolt Reto;*;16;54.0;7;18.25;0;0.0;9.75
o;8;28.0;Giger Samuel (1998);**;1;58.0;7;28.25;-1;0.25;8.5
o;10;36.5;Schneider Mario;**;11;55.25;9;36.75;-1;0.25;8.75
o;14;45.25;Egli Pirmin;**;11;55.25;13;45.5;-1;0.25;8.5

17b;Jöhl Christian;*;;;;;;;;;53.75
+;;;Schlegel Reto;*;;;;;;;10.0
+;1;10.0;Steiner Michael;**;14;54.5;4;8.75;3;-1.25;9.75
o;2;19.75;Schmid David;**;10;55.5;6;18.5;4;-1.25;8.5
o;7;28.25;Fankhauser Erich;***;7;56.25;9;27.75;2;-0.5;8.5
o;9;36.75;Fässler Andreas;**;9;55.75;7;37.25;-2;0.5;8.5
o;14;45.25;Kuster Thomas;*;13;54.75;15;44.75;1;-0.5;8.5

17c;Schnurrenberger Roman;**;;;;;;;;;53.75
+;;;Odermatt Christian;**;;;;;;;10.0
o;1;10.0;Mathis Marcel;***;2;57.5;1;10.0;0;0.0;8.5
o;6;18.5;Kuster Marcel;**;6;56.5;7;18.25;1;-0.25;8.5
+;12;27.0;Oettli Marco;*;21;35.5;12;27.0;0;0.0;9.75
o;9;36.75;Schneider Domenic;**;5;56.75;7;37.25;-2;0.5;8.5
o;14;45.25;Rhyner Michael;**;11;55.25;13;45.5;-1;0.25;8.5

18a;Baumann Rico;*;;;;;;;;;53.0
+;;;Oertle Daniel;*;;;;;;;10.0
o;1;10.0;Notz Beni;***;10;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Giger Samuel (1998);**;1;58.0;6;18.5;0;0.0;8.5
-;12;27.0;Schläpfer Matthias;*;19;52.75;12;27.0;0;0.0;8.75
o;13;35.75;Gwerder Andreas;**;16;54.0;13;35.75;0;0.0;8.5
-;17;44.25;Sprecher Sandro;*;18;53.0;17;44.25;0;0.0;8.75

18b;Sprecher Sandro;*;;;;;;;;;53.0
o;;;Knechtle Martin;**;;;;;;;8.5
+;5;8.5;Pfister Florian;*;24;34.75;4;8.75;-1;0.25;10.0
-;6;18.5;Oertig Adrian;**;14;54.5;8;17.5;2;-1.0;8.75
o;11;27.25;Schläpfer Markus;**;10;55.5;10;27.5;-1;0.25;8.5
o;13;35.75;Egli Pirmin;**;11;55.25;13;35.75;0;0.0;8.5
-;17;44.25;Baumann Rico;*;18;53.0;17;44.25;0;0.0;8.75

18c;Bader Andreas;**;;;;;;;;;53.0
o;;;Gwerder Andreas;**;;;;;;;8.5
+;5;8.5;Oertig Dominik;**;16;54.0;4;8.75;-1;0.25;10.0
o;6;18.5;Rychen Roger;**;5;56.75;6;18.5;0;0.0;8.5
-;12;27.0;Kuster Thomas;*;13;54.75;11;27.25;-1;0.25;9.0
o;12;36.0;Good Marco;*;13;54.75;12;36.0;0;0.0;8.5
o;16;44.5;Nägeli Marco;*;14;54.5;15;44.75;-1;0.25;8.5

19a;Wey Nicola;*;;;;;;;;;52.75
-;;;Pfister Florian;*;;;;;;;8.75
o;4;8.75;Näf Pius;*;21;35.5;4;8.75;0;0.0;8.5
o;9;17.25;Güntensperger Marcel;*;15;54.25;8;17.5;-1;0.25;8.5
+;17;25.75;Zurfluh Markus;**;26;34.25;17;25.75;0;0.0;10.0
o;13;35.75;Zbinden Marc;*;16;54.0;13;35.75;0;0.0;8.5
o;17;44.25;Bernold Christian;**;13;54.75;15;44.75;-2;0.5;8.5

19b;Ackermann Remo;*;;;;;;;;;52.75
o;;;Zbinden Marc;*;;;;;;;8.5
+;5;8.5;Bleiker Reto;*;27;34.0;5;8.5;0;0.0;10.0
-;6;18.5;Burkhalter Stefan;***;13;54.75;8;17.5;2;-1.0;8.75
o;11;27.25;Studinger Stephan;**;12;55.0;12;27.0;1;-0.25;8.5
o;13;35.75;Rhyner Michael;**;11;55.25;13;35.75;0;0.0;8.5
o;17;44.25;Bühler Ernst;**;15;54.25;16;44.5;-1;0.25;8.5

19c;Ammann Rico;*;;;;;;;;;52.75
o;;;Nägeli Marco;*;;;;;;;8.5
-;5;8.5;Güntensperger Marcel;*;15;54.25;4;8.75;-1;0.25;8.75
+;9;17.25;Pfister Florian;*;24;34.75;9;17.25;0;0.0;10.0
o;11;27.25;Schlegel Sandro;**;11;55.25;11;27.25;0;0.0;8.5
o;13;35.75;Gmür Pirmin;*;16;54.0;13;35.75;0;0.0;8.5
o;17;44.25;Oertig Adrian;**;14;54.5;15;44.75;-2;0.5;8.5

19d;Schläpfer Matthias;*;;;;;;;;;52.75
+;;;Bernold Christian;**;;;;;;;10.0
o;1;10.0;Steinauer Adrian;**;7;56.25;4;8.75;3;-1.25;8.5
o;6;18.5;Clopath Beat;***;10;55.5;7;18.25;1;-0.25;8.5
-;12;27.0;Baumann Rico;*;18;53.0;12;27.0;0;0.0;8.75
o;13;35.75;Oertig Dominik;**;16;54.0;13;35.75;0;0.0;8.5
o;17;44.25;Güntensperger Marcel;*;15;54.25;17;44.25;0;0.0;8.5

20a;Koch Thomas;*;;;;;;;;;36.0
+;;;Straub Robin;*;;;;;;;10.0
o;1;10.0;Murer Andy;*;10;55.5;4;8.75;3;-1.25;8.5
-;6;18.5;Good Marco;*;13;54.75;6;18.5;0;0.0;9.0
o;10;27.5;Müllestein Mike;**;6;56.5;10;27.5;0;0.0;8.5

21a;Korrodi Paul;*;;;;;;;;;35.5
o;;;Gmür Pirmin;*;;;;;;;8.5
o;5;8.5;Schudel Simon;*;22;35.25;5;8.5;0;0.0;8.5
+;10;17.0;Bleiker Reto;*;27;34.0;10;17.0;0;0.0;10.0
o;12;27.0;Knechtle Martin;**;16;54.0;12;27.0;0;0.0;8.5

21b;Hasler Florian;**;;;;;;;;;35.5
o;;;Schneider Domenic;**;;;;;;;8.5
o;5;8.5;Schlegel Sandro;**;11;55.25;5;8.5;0;0.0;8.5
+;10;17.0;Rhyner Michael;**;11;55.25;8;17.5;-2;0.5;9.75
-;13;26.75;Gmür Pirmin;*;16;54.0;12;27.0;-1;0.25;8.75

21c;Näf Pius;*;;;;;;;;;35.5
-;;;Kuster Thomas;*;;;;;;;8.75
+;4;8.75;Wey Nicola;*;19;52.75;4;8.75;0;0.0;9.75
o;6;18.5;Gisler Bruno;***;5;56.75;10;17.0;4;-1.5;8.5
o;12;27.0;Landolt Reto;*;16;54.0;13;26.75;1;-0.25;8.5

21d;Eugster Ruedi;**;;;;;;;;;35.5
+;;;Bühler Hannes;*;;;;;;;9.75
o;2;9.75;Schurtenberger Sven;**;9;55.75;4;8.75;2;-1.0;8.5
o;7;18.25;Krähenbühl Tobias;**;10;55.5;7;18.25;0;0.0;8.5
-;13;26.75;Zbinden Marc;*;16;54.0;12;27.0;-1;0.25;8.75

21e;Oettli Marco;*;;;;;;;;;35.5
o;;;Fässler Andreas;**;;;;;;;8.5
o;5;8.5;Kammermann Thomas;*;29;18.75;4;8.75;-1;0.25;8.5
+;10;17.0;Bernold Christian;**;13;54.75;9;17.25;-1;0.25;10.0
o;12;27.0;Schnurrenberger Roman;**;17;53.75;12;27.0;0;0.0;8.5

22a;Odermatt Christian;**;;;;;;;;;35.25
o;;;Schnurrenberger Roman;**;;;;;;;8.5
o;5;8.5;Giger Samuel (1998);**;1;58.0;4;8.75;-1;0.25;8.5
o;10;17.0;Schläpfer Markus;**;10;55.5;8;17.5;-2;0.5;8.5
+;18;25.5;Bleiker Reto;*;27;34.0;18;25.5;0;0.0;9.75

22b;Schudel Simon;*;;;;;;;;;35.25
o;;;Good Marco;*;;;;;;;8.5
+;5;8.5;Korrodi Paul;*;21;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Steiner Michael;**;14;54.5;9;17.25;2;-1.0;8.5
o;13;26.75;Oertig Adrian;**;14;54.5;15;26.25;2;-0.5;8.5

22c;Krähenbühl Lukas;*;;;;;;;;;35.25
o;;;Bernold Edi;**;;;;;;;8.5
+;5;8.5;Oertle Daniel;*;25;34.5;4;8.75;-1;0.25;9.75
o;7;18.25;Glaus Martin;***;10;55.5;9;17.25;2;-1.0;8.5
o;13;26.75;Wickli Beat;**;11;55.25;11;27.25;-2;0.5;8.5

23a;Rüegg Fabian;*;;;;;;;;;35.0
-;;;Dumelin David;*;;;;;;;8.75
-;4;8.75;Kuster Thomas;*;13;54.75;4;8.75;0;0.0;8.75
-;8;17.5;Bühler Hannes;*;25;34.5;10;17.0;2;-0.5;9.0
o;14;26.5;Blatter Lorenz;**;13;54.75;13;26.75;-1;0.25;8.5

24a;Straub Robin;*;;;;;;;;;34.75
o;;;Koch Thomas;*;;;;;;;8.5
-;5;8.5;Bernold Christian;**;13;54.75;5;8.5;0;0.0;8.75
o;9;17.25;Oertig Dominik;**;16;54.0;9;17.25;0;0.0;8.5
-;17;25.75;Pfister Florian;*;24;34.75;17;25.75;0;0.0;9.0

24b;Pfister Florian;*;;;;;;;;;34.75
-;;;Wey Nicola;*;;;;;;;8.75
o;4;8.75;Sprecher Sandro;*;18;53.0;5;8.5;1;-0.25;8.5
o;9;17.25;Ammann Rico;*;19;52.75;9;17.25;0;0.0;8.5
-;17;25.75;Straub Robin;*;24;34.75;17;25.75;0;0.0;9.0

25a;Dumelin David;*;;;;;;;;;34.5
-;;;Rüegg Fabian;*;;;;;;;8.75
-;4;8.75;Vestner Roman;*;16;54.0;4;8.75;0;0.0;8.75
o;8;17.5;Kuster Thomas;*;13;54.75;8;17.5;0;0.0;8.5
o;16;26.0;Bernold Christian;**;13;54.75;16;26.0;0;0.0;8.5

25b;Kocher Remo;**;;;;;;;;;34.5
o;;;Wickli Beat;**;;;;;;;8.5
-;5;8.5;Rhyner Michael;**;11;55.25;4;8.75;-1;0.25;8.75
o;9;17.25;Schneider Mario;**;11;55.25;7;18.25;-2;1.0;8.5
-;17;25.75;Peng Mike;***;25;34.5;17;25.75;0;0.0;8.75

25c;Peng Mike;***;;;;;;;;;34.5
-;;;Schmid David;**;;;;;;;8.75
o;4;8.75;Fässler Andreas;**;9;55.75;1;10.0;-3;1.25;8.5
o;9;17.25;Giger Urs;*;15;54.25;6;18.5;-3;1.25;8.5
-;17;25.75;Kocher Remo;**;25;34.5;17;25.75;0;0.0;8.75

25d;Oertle Daniel;*;;;;;;;;;34.5
o;;;Baumann Rico;*;;;;;;;8.75
o;4;8.75;Krähenbühl Lukas;*;22;35.25;5;8.5;1;-0.25;8.75
o;8;17.5;Vestner Roman;*;16;54.0;8;17.5;0;0.0;8.5
o;16;26.0;Bühler Ernst;**;15;54.25;17;25.75;1;-0.25;8.5

25e;Bühler Hannes;*;;;;;;;;;34.5
o;;;Eugster Ruedi;**;;;;;;;8.5
o;5;8.5;Giger Urs;*;15;54.25;4;8.75;-1;0.25;8.5
-;10;17.0;Rüegg Fabian;*;23;35.0;8;17.5;-2;0.5;9.0
o;16;26.0;Rhyner Michael;**;11;55.25;16;26.0;0;0.0;8.5

26a;Zurfluh Markus;**;;;;;;;;;34.25
o;;;Fejzaj Naim;**;;;;;;;8.5
o;5;8.5;Schneider Mario;**;11;55.25;5;8.5;0;0.0;8.5
-;10;17.0;Oertig Adrian;**;14;54.5;8;17.5;-2;0.5;8.75
o;17;25.75;Wey Nicola;*;19;52.75;17;25.75;0;0.0;8.5

27a;Bleiker Reto;*;;;;;;;;;34.0
o;;;Landolt Reto;*;;;;;;;8.5
o;5;8.5;Ackermann Remo;*;19;52.75;5;8.5;0;0.0;8.5
o;10;17.0;Korrodi Paul;*;21;35.5;10;17.0;0;0.0;8.5
o;18;25.5;Odermatt Christian;**;22;35.25;18;25.5;0;0.0;8.5

28a;Wicki Joel;**;;;;;;;;;28.25
+;;;Clopath Beat;***;;;;;;;9.75
+;2;9.75;Kuster Marcel;**;6;56.5;2;9.75;0;0.0;10.0
o;2;19.75;Bösch Daniel;***;3;57.25;1;20.0;-1;0.25;8.5

29a;Kammermann Thomas;*;;;;;;;;;18.75
-;;;Güntensperger Marcel;*;;;;;;;8.75
+;4;8.75;Oettli Marco;*;21;35.5;5;8.5;1;-0.25;10.0

30a;Schlegel Reto;*;;;;;;;;;8.75
o;;;Jöhl Christian;*;;;;;;;8.75

