2950-2016-08-14_17_Schwaegalp-Schwinget-ST

1a;Giger Samuel (1998);**;;;;;;;;;58.0
+;6;37.5;Schlegel Sandro;**;11;55.25;8;37.0;2;-0.5;10.0
o;5;47.5;Orlik Armon;**;1;58.0;3;48.25;-2;0.75;8.75

7b;Forrer Arnold;***;;;;;;;;;56.25
o;;;Mathis Marcel;***;;;;;;;8.5
+;5;8.5;Studinger Stephan;**;12;55.0;2;9.75;-3;1.25;10.0
+;6;18.5;Murer Andy;*;10;55.5;5;18.75;-1;0.25;10.0
+;6;28.5;Räbmatter Patrick;**;9;55.75;5;28.75;-1;0.25;9.75
-;3;38.25;Schurtenberger Sven;**;9;55.75;3;38.25;0;0.0;9.0
-;6;47.25;Müllestein Mike;**;6;56.5;5;47.5;-1;0.25;9.0

7c;Fankhauser Erich;***;;;;;;;;;56.25
-;;;Bless Michael;***;;;;;;;9.0
+;3;9.0;Nägeli Marco;*;14;54.5;1;10.0;-2;1.0;10.0
-;4;19.0;Roth Martin;*;8;56.0;2;19.75;-2;0.75;8.75
+;9;27.75;Jöhl Christian;*;17;53.75;7;28.25;-2;0.5;10.0
o;5;37.75;Giger Samuel (1998);**;1;58.0;3;38.25;-2;0.5;8.5
+;10;46.25;Krähenbühl Tobias;**;10;55.5;8;46.75;-2;0.5;10.0

8a;Roth Martin;*;;;;;;;;;56.0
+;;;Schlegel Sandro;**;;;;;;;9.75
+;2;9.75;Glaus Martin;***;10;55.5;5;8.5;3;-1.25;10.0
-;2;19.75;Fankhauser Erich;***;7;56.25;4;19.0;2;-0.75;9.0
-;5;28.75;Bieri Marcel;**;10;55.5;3;29.25;-2;0.5;9.0
o;5;37.75;Murer Andy;*;10;55.5;7;37.25;2;-0.5;8.5
+;10;46.25;Stalder Remo;***;10;55.5;8;46.75;-2;0.5;9.75

9a;Schurtenberger Sven;**;;;;;;;;;55.75
-;;;Rhyner Michael;**;;;;;;;8.75
+;4;8.75;Eugster Ruedi;**;21;35.5;2;9.75;-2;1.0;9.75
+;6;18.5;Zbinden Marc;*;16;54.0;6;18.5;0;0.0;10.0
+;6;28.5;Clopath Beat;***;10;55.5;7;28.25;1;-0.25;9.75
-;3;38.25;Forrer Arnold;***;7;56.25;3;38.25;0;0.0;9.0
o;6;47.25;Giger Samuel (1998);**;1;58.0;3;48.25;-3;1.0;8.5

9b;Fässler Andreas;**;;;;;;;;;55.75
+;;;Oettli Marco;*;;;;;;;10.0
+;1;10.0;Peng Mike;***;25;34.5;4;8.75;3;-1.25;10.0
-;1;20.0;Alpiger Nick;**;5;56.75;5;18.75;4;-1.25;8.75
o;5;28.75;Orlik Armon;**;1;58.0;7;28.25;2;-0.5;8.5
+;7;37.25;Jöhl Christian;*;17;53.75;9;36.75;2;-0.5;9.75
-;7;47.0;Bieri Marcel;**;10;55.5;8;46.75;1;-0.25;8.75

9c;Räbmatter Patrick;**;;;;;;;;;55.75
-;;;Burkhalter Stefan;***;;;;;;;8.75
+;4;8.75;Krähenbühl Tobias;**;10;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Knechtle Martin;**;16;54.0;6;18.5;1;-0.25;10.0
o;5;28.75;Forrer Arnold;***;7;56.25;6;28.5;1;-0.25;8.5
-;7;37.25;Steiner Michael;**;14;54.5;8;37.0;1;-0.25;8.75
+;11;46.0;Schneider Mario;**;11;55.25;8;46.75;-3;0.75;9.75

10a;Bieri Marcel;**;;;;;;;;;55.5
+;;;Schläpfer Markus;**;;;;;;;9.75
+;2;9.75;Schneider Domenic;**;5;56.75;1;10.0;-1;0.25;9.75
+;3;19.5;Zwyssig Raphael;***;10;55.5;6;18.5;3;-1.0;9.75
-;3;29.25;Roth Martin;*;8;56.0;5;28.75;2;-0.5;8.75
o;4;38.0;Bless Michael;***;2;57.5;4;38.0;0;0.0;8.75
-;8;46.75;Fässler Andreas;**;9;55.75;7;47.0;-1;0.25;8.75

10b;Murer Andy;*;;;;;;;;;55.5
-;;;Oertig Dominik;**;;;;;;;8.75
+;4;8.75;Koch Thomas;*;20;36.0;1;10.0;-3;1.25;10.0
o;5;18.75;Forrer Arnold;***;7;56.25;6;18.5;1;-0.25;8.5
+;11;27.25;Nägeli Marco;*;14;54.5;10;27.5;-1;0.25;10.0
+;7;37.25;Roth Martin;*;8;56.0;5;37.75;-2;0.5;9.75
o;7;47.0;Rychen Roger;**;5;56.75;7;47.0;0;0.0;8.5

10c;Schmid David;**;;;;;;;;;55.5
-;;;Peng Mike;***;;;;;;;8.75
+;4;8.75;Good Marco;*;13;54.75;2;9.75;-2;1.0;9.75
+;6;18.5;Jöhl Christian;*;17;53.75;2;19.75;-4;1.25;9.75
+;7;28.25;Fejzaj Naim;**;13;54.75;8;28.0;1;-0.25;10.0
