4100-2019-06-30_104_Basellandschaftliches_Kantonalschwingfest-ST

1a;Müllestein Mike;***;;;;;;;;;58.75
-;4;8.75;Schär Jonas;;21;45.75;4;8.75;0;0.0;8.75
-;10;17.5;Reimann Marco;;10;55.25;7;18.25;-3;0.75;8.75
+;11;26.25;Meyer Lukas (2001);;26;35.25;10;26.75;-1;0.5;10.0
-;11;36.25;Scherrer Johann;**;11;55.0;12;36.0;1;-0.25;8.75
+;14;45.0;Huber Fabian;;17;53.5;14;45.0;0;0.0;10.0

12a;Ulrich Marco;*;;;;;;;;;54.75
-;;;Voggensperger Lars (2001);*;;;;;;;9.0
-;3;9.0;Rüegger Aaron;*;10;55.25;1;10.0;-2;1.0;9.0
+;8;18.0;Büttler Gian;;14;54.25;4;19.0;-4;1.0;9.75
o;6;27.75;Klausner Yanick;**;5;56.5;4;28.25;-2;0.5;8.5
+;11;36.25;Fricker Ivo;;10;55.25;8;37.0;-3;0.75;10.0
o;9;46.25;Alpiger Nick;***;2;57.25;5;47.25;-4;1.0;8.5

13a;Nyffeler Christoph;*;;;;;;;;;54.5
o;;;Schwenkfelder Lukas;*;;;;;;;8.5
+;5;8.5;Von Wyl Simon;;30;27.0;1;10.0;-4;1.5;9.75
-;7;18.25;Fricker Ivo;;10;55.25;3;19.5;-4;1.25;9.0
o;8;27.25;Arnold Kornel;*;8;55.75;8;27.25;0;0.0;8.5
-;13;35.75;Reinhard Pirmin (2001);;17;53.5;12;36.0;-1;0.25;8.75
+;16;44.5;Hermann Lukas (2002);;16;53.75;13;45.25;-3;0.75;10.0

13b;Brügger Cyrill;;;;;;;;;;54.5
-;;;Reinhard Pirmin (2001);;;;;;;;8.75
+;4;8.75;Jehle Lorenz (2003);;26;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Vogel Remo (2001);*;16;53.75;7;18.25;2;-0.5;10.0
o;2;28.75;Studinger Stephan;**;3;57.0;4;28.25;2;-0.5;8.5
-;7;37.25;Müller Simon;;13;54.5;7;37.25;0;0.0;8.75
o;10;46.0;Stadler Kevin (2002);*;9;55.5;11;45.75;1;-0.25;8.5

13c;Abt Robin;;;;;;;;;;54.5
o;;;Hitz Florian;;;;;;;;8.75
+;4;8.75;Suter Jonas (2003);;27;34.25;4;8.75;0;0.0;10.0
o;5;18.75;Mangold Martin;*;8;55.75;7;18.25;2;-0.5;8.75
o;7;27.5;Rüegger Aaron;*;10;55.25;7;27.5;0;0.0;8.5
+;12;36.0;Körkel Yannik;;18;52.75;13;35.75;1;-0.25;10.0
o;10;46.0;Schillig Willi;**;21;45.75;11;45.75;1;-0.25;8.5

13d;Küng Marco;*;;;;;;;;;54.5
-;;;Bruder Adrian;*;;;;;;;8.75
-;4;8.75;Bachmann Sämi (2001);;17;53.5;1;10.0;-3;1.25;8.75
+;10;17.5;Schwob Marco;;13;54.5;7;18.25;-3;0.75;9.75
o;8;27.25;Stegmüller Klemens;*;14;54.25;8;27.25;0;0.0;8.75
+;12;36.0;von Rotz Stefan;;15;54.0;8;37.0;-4;1.0;10.0
o;10;46.0;Brun Samuel;**;8;55.75;11;45.75;1;-0.25;8.5

13e;Schwob Marco;;;;;;;;;;54.5
+;;;Huber Fabian;;;;;;;;9.75
o;2;9.75;Hasler Luis (2002);;8;55.75;4;8.75;2;-1.0;8.5
o;7;18.25;Küng Marco;*;13;54.5;10;17.5;3;-0.75;8.5
o;10;26.75;Steger Robert;;15;54.0;10;26.75;0;0.0;8.75
+;14;35.5;Lazic Marco;;19;52.5;14;35.5;0;0.0;10.0
-;12;45.5;Büchi Christian;;14;54.25;13;45.25;1;-0.25;9.0

13f;Fritz Christian;;;;;;;;;;54.5
+;;;Lazic Marco;;;;;;;;10.0
o;1;10.0;Leuthard Reto;**;6;56.25;5;8.5;4;-1.5;8.5
-;6;18.5;Müller Simon;;13;54.5;6;18.5;0;0.0;9.0
o;7;27.5;Vogel Remo (2001);*;16;53.75;10;26.75;3;-0.75;8.75
o;11;36.25;Schär Jonas;;21;45.75;13;35.75;2;-0.5;8.5
+;15;44.75;Körkel Yannik;;18;52.75;17;44.25;2;-0.5;9.75

13g;Müller Simon;;;;;;;;;;54.5
+;;;Herrmann Daniel (2003);;;;;;;;10.0
o;1;10.0;Stegmüller Klemens;*;14;54.25;5;8.5;4;-1.5;8.5
-;6;18.5;Fritz Christian;;13;54.5;6;18.5;0;0.0;9.0
+;7;27.5;Bruder Adrian;*;13;54.5;7;27.5;0;0.0;9.75
-;7;37.25;Brügger Cyrill;;13;54.5;7;37.25;0;0.0;8.75
o;10;46.0;Waldner Patrick;**;8;55.75;11;45.75;1;-0.25;8.5

13h;Streich Sascha (2001);;;;;;;;;;54.5
+;;;Körkel Yannik;;;;;;;;10.0
o;1;10.0;Imobersteg Matthias (2001);**;15;54.0;4;8.75;3;-1.25;8.5
o;6;18.5;Döbeli Lukas;**;4;56.75;6;18.5;0;0.0;8.5
-;9;27.0;Hitz Florian;;13;54.5;9;27.0;0;0.0;8.75
-;13;35.75;Schwegler Dominik;;17;53.5;12;36.0;-1;0.25;8.75
+;16;44.5;Kramer Lukas (2001);;22;44.5;16;44.5;0;0.0;10.0

13i;Jusufi Azret;;;;;;;;;;54.5
-;;;Stark Urban;;;;;;;;8.75
-;4;8.75;Klossner Sven;;13;54.5;2;9.75;-2;1.0;8.75
+;10;17.5;Hermann Lukas 1;;14;54.25;11;17.25;1;-0.25;10.0
-;7;27.5;Stoll Simon;**;25;35.75;9;27.0;2;-0.5;8.75
+;11;36.25;Bachmann Sämi (2001);;17;53.5;11;36.25;0;0.0;9.75
o;10;46.0;Hauri Urs;**;8;55.75;11;45.75;1;-0.25;8.5

13j;Bruder Adrian;*;;;;;;;;;54.5
-;;;Küng Marco;*;;;;;;;8.75
-;4;8.75;Kohler Adrian;*;20;46.0;4;8.75;0;0.0;8.75
+;10;17.5;Meyer Lukas (2001);;26;35.25;7;18.25;-3;0.75;10.0
o;7;27.5;Müller Simon;;13;54.5;7;27.5;0;0.0;8.5
+;12;36.0;Furrer Mathias;;16;53.75;10;36.5;-2;0.5;10.0
o;10;46.0;Stüdeli Thomas;**;10;55.25;12;45.5;2;-0.5;8.5

13k;Hitz Florian;;;;;;;;;;54.5
+;;;Abt Robin;;;;;;;;10.0
o;1;10.0;Henzer Andreas;**;6;56.25;4;8.75;3;-1.25;8.5
o;6;18.5;Erb Roger;**;3;57.0;6;18.5;0;0.0;8.5
-;9;27.0;Streich Sascha (2001);;13;54.5;9;27.0;0;0.0;8.75
+;13;35.75;Rickenbacher Cedric (2002);;16;53.75;14;35.5;1;-0.25;10.0
o;11;45.75;Schmutz Simon;*;9;55.5;12;45.5;1;-0.25;8.75

13l;Klossner Sven;;;;;;;;;;54.5
+;;;Nussbaumer Gabriel;;;;;;;;9.75
-;2;9.75;Jusufi Azret;;13;54.5;4;8.75;2;-1.0;8.75
-;6;18.5;Stadler Kevin (2002);*;9;55.5;7;18.25;1;-0.25;9.0
o;7;27.5;Brand Christian;**;9;55.5;8;27.25;1;-0.25;8.5
+;12;36.0;Burren Dominik (2003);;15;54.0;13;35.75;1;-0.25;10.0
o;10;46.0;von Arx Christian;*;8;55.75;11;45.75;1;-0.25;8.5

14a;Büttler Gian;;;;;;;;;;54.25
+;;;Leuthard Mario;;;;;;;;10.0
-;1;10.0;Läuchli Janik;*;31;26.75;4;8.75;3;-1.25;9.0
o;4;19.0;Ulrich Marco;*;12;54.75;8;18.0;4;-1.0;8.5
o;7;27.5;Burren Patrick;*;9;55.5;8;27.25;1;-0.25;8.5
+;12;36.0;Müller Jan;;19;52.5;14;35.5;2;-0.5;9.75
o;11;45.75;Widmer David;**;9;55.5;12;45.5;1;-0.25;8.5

14b;Hermann Lukas 1;;;;;;;;;;54.25
-;;;Körkel Yannik;;;;;;;;8.75
o;4;8.75;Fricker Ivo;;10;55.25;2;9.75;-2;1.0;8.5
o;11;17.25;Jusufi Azret;;13;54.5;10;17.5;-1;0.25;8.5
+;13;25.75;Brunner Patrick (2002);;27;34.25;13;25.75;0;0.0;10.0
o;13;35.75;Hermann Lukas (2002);;16;53.75;14;35.5;1;-0.25;8.5
+;17;44.25;Lazic Marco;;19;52.5;18;44.0;1;-0.25;10.0

14c;Büchi Christian;;;;;;;;;;54.25
+;;;Bader Thomas (2002);;;;;;;;9.75
+;2;9.75;Burtschi Michael;;18;52.75;4;8.75;2;-1.0;10.0
o;2;19.75;Kocher Remo;**;7;56.0;6;18.5;4;-1.25;8.5
o;4;28.25;Hauri Urs;**;8;55.75;3;28.5;-1;0.25;8.5
o;9;36.75;Grossen John;*;9;55.5;8;37.0;-1;0.25;8.5
-;13;45.25;Schwob Marco;;13;54.5;12;45.5;-1;0.25;9.0

14d;Gisin Yanic;;;;;;;;;;54.25
+;;;Burren Dominik (2003);;;;;;;;10.0
o;1;10.0;Burren Patrick;*;9;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Hermann Oliver;*;8;55.75;5;18.75;-1;0.25;8.5
+;9;27.0;Jehle Lorenz (2003);;26;35.25;10;26.75;1;-0.25;10.0
o;8;37.0;Mangold Martin;*;8;55.75;7;37.25;-1;0.25;8.75
o;11;45.75;Kehr Damian (2001);;9;55.5;12;45.5;1;-0.25;8.5

14e;Stegmüller Klemens;*;;;;;;;;;54.25
o;;;Studinger Stephan;**;;;;;;;8.5
+;5;8.5;Müller Simon;;13;54.5;1;10.0;-4;1.5;10.0
-;6;18.5;Burren Dominik (2003);;15;54.0;6;18.5;0;0.0;8.75
+;8;27.25;Küng Marco;*;13;54.5;8;27.25;0;0.0;10.0
o;7;37.25;Kocher Remo;**;7;56.0;7;37.25;0;0.0;8.5
o;11;45.75;Schär Jonas;;21;45.75;11;45.75;0;0.0;8.5

14f;Christ Dario (2003);;;;;;;;;;54.25
+;;;Müller Jan;;;;;;;;10.0
o;1;10.0;Gerber Andrj;*;7;56.0;4;8.75;3;-1.25;8.5
o;6;18.5;Schmid Samuel;**;5;56.5;5;18.75;-1;0.25;8.5
-;9;27.0;Meyer Markus;;22;44.5;9;27.0;0;0.0;8.75
+;13;35.75;Schick Janis (2003);;18;52.75;14;35.5;1;-0.25;9.75
-;12;45.5;Steger Robert;;15;54.0;13;45.25;1;-0.25;8.75

14g;Grieder Nonda;;;;;;;;;;54.25
+;;;Steger Robert;;;;;;;;9.75
o;2;9.75;Vogel Remo (2001);*;16;53.75;5;8.5;3;-1.25;8.5
o;7;18.25;Hügli Kaj;**;8;55.75;5;18.75;-2;0.5;8.5
+;10;26.75;Leuthard Mario;;26;35.25;10;26.75;0;0.0;10.0
-;9;36.75;Stadler Kevin (2002);*;9;55.5;8;37.0;-1;0.25;8.75
-;12;45.5;Lisser Beat;*;16;53.75;14;45.0;2;-0.5;8.75

15a;Bader Thomas (2002);;;;;;;;;;54.0
o;;;Büchi Christian;;;;;;;;8.5
+;5;8.5;Müller Jan;;19;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Klausner Yanick;**;5;56.5;7;18.25;0;0.0;8.5
+;10;26.75;Herrmann Adrian;;28;34.0;14;25.5;4;-1.25;10.0
o;9;36.75;Krebs Clemens;*;9;55.5;8;37.0;-1;0.25;8.5
-;13;45.25;Meyer Markus;;22;44.5;16;44.5;3;-0.75;8.75

15b;Burkhardt Roy;;;;;;;;;;54.0
+;;;Furrer Mathias;;;;;;;;10.0
o;1;10.0;von Arx Christian;*;8;55.75;5;8.5;4;-1.5;8.5
o;6;18.5;Vieira Tiago;**;8;55.75;6;18.5;0;0.0;8.5
+;9;27.0;Bieri Florian (2001);;16;53.75;9;27.0;0;0.0;9.75
o;9;36.75;Reimann Marco;;10;55.25;9;36.75;0;0.0;8.5
-;13;45.25;Schwegler Dominik;;17;53.5;15;44.75;2;-0.5;8.75

15c;von Rotz Stefan;;;;;;;;;;54.0
+;;;Hermann Lukas (2002);;;;;;;;9.75
o;2;9.75;Schwegler Dominik;;17;53.5;4;8.75;2;-1.0;8.5
o;7;18.25;Arnold Kornel;*;8;55.75;11;17.25;4;-1.0;8.75
+;9;27.0;Lazic Marco;;19;52.5;9;27.0;0;0.0;10.0
o;8;37.0;Küng Marco;*;13;54.5;12;36.0;4;-1.0;8.5
o;12;45.5;Fricker Ivo;;10;55.25;12;45.5;0;0.0;8.5

15d;Burren Dominik (2003);;;;;;;;;;54.0
o;;;Gisin Yanic;;;;;;;;8.5
+;5;8.5;Herrmann Daniel (2003);;28;34.0;5;8.5;0;0.0;10.0
-;6;18.5;Stegmüller Klemens;*;14;54.25;6;18.5;0;0.0;8.75
o;8;27.25;Schmutz Simon;*;9;55.5;9;27.0;1;-0.25;8.5
o;13;35.75;Klossner Sven;;13;54.5;12;36.0;-1;0.25;8.5
+;17;44.25;Schick Janis (2003);;18;52.75;18;44.0;1;-0.25;9.75

15e;Imobersteg Matthias (2001);**;;;;;;;;;54.0
o;;;Mangold Martin;*;;;;;;;8.75
+;4;8.75;Streich Sascha (2001);;13;54.5;1;10.0;-3;1.25;9.75
o;6;18.5;Studinger Stephan;**;3;57.0;7;18.25;1;-0.25;8.5
+;9;27.0;Schär Jonas;;21;45.75;13;25.75;4;-1.25;9.75
o;9;36.75;Burren Patrick;*;9;55.5;8;37.0;-1;0.25;8.75
o;12;45.5;Mangold Michael;**;7;56.0;10;46.0;-2;0.5;8.5

15f;Nussbaumer Dominik;;;;;;;;;;54.0
o;;;Graber Colin;;;;;;;;8.5
+;5;8.5;Wüthrich Jonas (2003);;16;53.75;5;8.5;0;0.0;10.0
-;6;18.5;Scherrer Johann;**;11;55.0;12;17.0;6;-1.5;8.75
o;8;27.25;Mangold Michael;**;7;56.0;8;27.25;0;0.0;8.5
+;13;35.75;Lazic Serge;;23;44.0;14;35.5;1;-0.25;9.75
o;12;45.5;Studer Remo;*;9;55.5;12;45.5;0;0.0;8.5

15g;Steger Robert;;;;;;;;;;54.0
o;;;Grieder Nonda;;;;;;;;8.5
+;5;8.5;Schick Janis (2003);;18;52.75;5;8.5;0;0.0;9.75
o;7;18.25;Odermatt Adrian (2001);*;10;55.25;10;17.5;3;-0.75;8.5
+;10;26.75;Schwob Marco;;13;54.5;10;26.75;0;0.0;10.0
o;9;36.75;Kohler Adrian;*;20;46.0;6;37.5;-3;0.75;8.5
-;13;45.25;Christ Dario (2003);;14;54.25;12;45.5;-1;0.25;8.75

16a;Furrer Mathias;;;;;;;;;;53.75
o;;;Burkhardt Roy;;;;;;;;8.5
+;5;8.5;Rickenbacher Cedric (2002);;16;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Schillig Willi;**;21;45.75;11;17.25;4;-1.0;8.5
+;10;26.75;Schick Janis (2003);;18;52.75;9;27.0;-1;0.25;9.75
o;10;36.5;Bruder Adrian;*;13;54.5;12;36.0;2;-0.5;8.5
o;14;45.0;Stark Urban;;10;55.25;12;45.5;-2;0.5;8.75

16b;Lisser Beat;*;;;;;;;;;53.75
o;;;Krebs Clemens;*;;;;;;;8.5
o;5;8.5;Graber Colin;;24;37.25;2;9.75;-3;1.25;8.5
+;12;17.0;Huber Fabian;;17;53.5;7;18.25;-5;1.25;9.75
+;10;26.75;Müller Jan;;19;52.5;9;27.0;-1;0.25;9.75
o;10;36.5;Arnold Kornel;*;8;55.75;8;37.0;-2;0.5;8.5
-;14;45.0;Grieder Nonda;;14;54.25;12;45.5;-2;0.5;8.75

16c;Wüthrich Jonas (2003);;;;;;;;;;53.75
o;;;Kehr Damian (2001);;;;;;;;8.5
o;5;8.5;Nussbaumer Dominik;;15;54.0;5;8.5;0;0.0;8.5
+;12;17.0;Rickenbacher Cedric (2002);;16;53.75;12;17.0;0;0.0;9.75
+;10;26.75;Spies Thierry (2003);;28;34.0;14;25.5;4;-1.25;10.0
o;9;36.75;Studer Remo;*;9;55.5;13;35.75;4;-1.0;8.5
o;13;45.25;Nussbaumer Gabriel;;9;55.5;12;45.5;-1;0.25;8.5

16d;Hermann Lukas (2002);;;;;;;;;;53.75
o;;;von Rotz Stefan;;;;;;;;8.5
o;5;8.5;Nussbaumer Gabriel;;9;55.5;5;8.5;0;0.0;8.5
+;12;17.0;Brunner Patrick (2002);;27;34.25;12;17.0;0;0.0;10.0
o;9;27.0;Lisser Daniel;*;11;55.0;6;27.75;-3;0.75;8.5
+;14;35.5;Hermann Lukas 1;;14;54.25;13;35.75;-1;0.25;9.75
o;13;45.25;Nyffeler Christoph;*;13;54.5;16;44.5;3;-0.75;8.5

16e;Rickenbacher Cedric (2002);;;;;;;;;;53.75
o;;;Meyer Lukas (2001);;;;;;;;8.5
o;5;8.5;Furrer Mathias;;16;53.75;5;8.5;0;0.0;8.5
o;12;17.0;Wüthrich Jonas (2003);;16;53.75;12;17.0;0;0.0;8.5
+;14;25.5;Suter Jonas (2003);;27;34.25;13;25.75;-1;0.25;10.0
o;14;35.5;Hitz Florian;;13;54.5;13;35.75;-1;0.25;8.5
+;18;44.0;Müller Jan;;19;52.5;18;44.0;0;0.0;9.75

16f;Bieri Florian (2001);;;;;;;;;;53.75
+;;;Schmitt Sebastian (2002);;;;;;;;9.75
o;2;9.75;Stark Urban;;10;55.25;4;8.75;2;-1.0;8.5
o;7;18.25;Krebs Clemens;*;9;55.5;6;18.5;-1;0.25;8.75
o;9;27.0;Burkhardt Roy;;15;54.0;9;27.0;0;0.0;8.5
o;14;35.5;Nussbaumer Gabriel;;9;55.5;14;35.5;0;0.0;8.5
+;18;44.0;Burtschi Michael;;18;52.75;17;44.25;-1;0.25;9.75

16g;Vogel Remo (2001);*;;;;;;;;;53.75
o;;;Ris Jörn;*;;;;;;;8.5
+;5;8.5;Grieder Nonda;;14;54.25;2;9.75;-3;1.25;9.75
o;7;18.25;Brügger Cyrill;;13;54.5;5;18.75;-2;0.5;8.5
+;10;26.75;Fritz Christian;;13;54.5;7;27.5;-3;0.75;10.0
o;9;36.75;Brand Christian;**;9;55.5;8;37.0;-1;0.25;8.5
o;13;45.25;Scherrer Johann;**;11;55.0;14;45.0;1;-0.25;8.5

17a;Bachmann Sämi (2001);;;;;;;;;;53.5
+;;;Meyer Markus;;;;;;;;10.0
-;1;10.0;Küng Marco;*;13;54.5;4;8.75;3;-1.25;8.75
-;5;18.75;Läuchli Janik;*;31;26.75;9;17.75;4;-1.0;8.75
o;7;27.5;Grossen John;*;9;55.5;8;27.25;1;-0.25;8.75
o;11;36.25;Jusufi Azret;;13;54.5;11;36.25;0;0.0;8.5
-;15;44.75;Reinhard Pirmin (2001);;17;53.5;15;44.75;0;0.0;8.75

17b;Huber Fabian;;;;;;;;;;53.5
o;;;Schwob Marco;;;;;;;;8.5
+;5;8.5;Spies Thierry (2003);;28;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Lisser Beat;*;16;53.75;12;17.0;5;-1.25;8.5
+;10;26.75;Wiedmer Lukas;;26;35.25;10;26.75;0;0.0;9.75
o;10;36.5;Ris Jörn;*;10;55.25;10;36.5;0;0.0;8.5
o;14;45.0;Dobler Florian;;11;55.0;14;45.0;0;0.0;8.5

17c;Reinhard Pirmin (2001);;;;;;;;;;53.5
-;;;Brügger Cyrill;;;;;;;;8.75
-;4;8.75;Burtschi Michael;;18;52.75;4;8.75;0;0.0;8.75
o;10;17.5;Stark Urban;;10;55.25;5;18.75;-5;1.25;8.5
+;12;26.0;Schmitt Sebastian (2002);;27;34.25;13;25.75;1;-0.25;10.0
-;12;36.0;Nyffeler Christoph;*;13;54.5;13;35.75;1;-0.25;8.75
-;15;44.75;Bachmann Sämi (2001);;17;53.5;15;44.75;0;0.0;8.75

17d;Schwegler Dominik;;;;;;;;;;53.5
-;;;Bieli Andreas;;;;;;;;8.75
+;4;8.75;von Rotz Stefan;;15;54.0;2;9.75;-2;1.0;10.0
o;5;18.75;Gwerder Michael;**;4;56.75;6;18.5;1;-0.25;8.5
-;8;27.25;Probst Gabriel;**;22;44.5;8;27.25;0;0.0;8.75
-;12;36.0;Streich Sascha (2001);;13;54.5;13;35.75;1;-0.25;8.75
-;15;44.75;Burkhardt Roy;;15;54.0;13;45.25;-2;0.5;8.75

18a;Schick Janis (2003);;;;;;;;;;52.75
o;;;Fricker Ivo;;;;;;;;8.5
o;5;8.5;Steger Robert;;15;54.0;5;8.5;0;0.0;8.5
+;12;17.0;Schwander Rafael (2001);;26;35.25;7;18.25;-5;1.25;10.0
o;9;27.0;Furrer Mathias;;16;53.75;10;26.75;1;-0.25;8.5
o;14;35.5;Christ Dario (2003);;14;54.25;13;35.75;-1;0.25;8.5
o;18;44.0;Burren Dominik (2003);;15;54.0;17;44.25;-1;0.25;8.75

18b;Körkel Yannik;;;;;;;;;;52.75
-;;;Hermann Lukas 1;;;;;;;;8.75
o;4;8.75;Streich Sascha (2001);;13;54.5;1;10.0;-3;1.25;8.5
+;11;17.25;Herrmann Adrian;;28;34.0;12;17.0;1;-0.25;10.0
o;8;27.25;Gerber Andrj;*;7;56.0;9;27.0;1;-0.25;8.5
o;13;35.75;Abt Robin;;13;54.5;12;36.0;-1;0.25;8.5
o;17;44.25;Fritz Christian;;13;54.5;15;44.75;-2;0.5;8.5

18c;Burtschi Michael;;;;;;;;;;52.75
-;;;Reinhard Pirmin (2001);;;;;;;;8.75
o;4;8.75;Büchi Christian;;14;54.25;2;9.75;-2;1.0;8.5
+;11;17.25;Suter Jonas (2003);;27;34.25;11;17.25;0;0.0;9.75
o;9;27.0;Kohler Adrian;*;20;46.0;7;27.5;-2;0.5;8.5
-;14;35.5;Kramer Lukas (2001);;22;44.5;12;36.0;-2;0.5;8.75
o;17;44.25;Bieri Florian (2001);;16;53.75;18;44.0;1;-0.25;8.5

19a;Müller Jan;;;;;;;;;;52.5
o;;;Christ Dario (2003);;;;;;;;8.5
o;5;8.5;Bader Thomas (2002);;15;54.0;5;8.5;0;0.0;8.5
+;12;17.0;Spies Thierry (2003);;28;34.0;12;17.0;0;0.0;10.0
o;9;27.0;Lisser Beat;*;16;53.75;10;26.75;1;-0.25;8.5
o;14;35.5;Büttler Gian;;14;54.25;12;36.0;-2;0.5;8.5
o;18;44.0;Rickenbacher Cedric (2002);;16;53.75;18;44.0;0;0.0;8.5

19b;Lazic Marco;;;;;;;;;;52.5
o;;;Fritz Christian;;;;;;;;8.5
+;5;8.5;Schmitt Sebastian (2002);;27;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Probst Gabriel;**;22;44.5;11;17.25;5;-1.25;8.5
o;9;27.0;von Rotz Stefan;;15;54.0;9;27.0;0;0.0;8.5
o;14;35.5;Schwob Marco;;13;54.5;14;35.5;0;0.0;8.5
o;18;44.0;Hermann Lukas 1;;14;54.25;17;44.25;-1;0.25;8.5

20a;Kohler Adrian;*;;;;;;;;;46.0
-;;;Arnold Kornel;*;;;;;;;8.75
-;4;8.75;Bruder Adrian;*;13;54.5;4;8.75;0;0.0;8.75
+;10;17.5;Burtschi Michael;;18;52.75;11;17.25;1;-0.25;10.0
+;7;27.5;Steger Robert;;15;54.0;10;26.75;3;-0.75;10.0
o;6;37.5;Thürig Mario;***;5;56.5;5;37.75;-1;0.25;8.5

21a;Schillig Willi;**;;;;;;;;;45.75
-;;;Hügli Kaj;**;;;;;;;8.75
o;4;8.75;Klossner Adrian;*;9;55.5;4;8.75;0;0.0;8.5
+;11;17.25;Furrer Mathias;;16;53.75;7;18.25;-4;1.0;10.0
o;8;27.25;Hermann Oliver;*;8;55.75;2;28.75;-6;1.5;8.5
+;13;35.75;Abt Robin;;13;54.5;12;36.0;-1;0.25;10.0

21b;Schär Jonas;;;;;;;;;;45.75
-;;;Dobler Florian;;;;;;;;8.75
o;4;8.75;Stüdeli Thomas;**;10;55.25;5;8.5;1;-0.25;8.5
o;11;17.25;Imobersteg Matthias (2001);**;15;54.0;6;18.5;-5;1.25;8.5
+;13;25.75;Fritz Christian;;13;54.5;7;27.5;-6;1.75;10.0
+;13;35.75;Stegmüller Klemens;*;14;54.25;7;37.25;-6;1.5;10.0

22a;Meyer Markus;;;;;;;;;;44.5
o;;;Bachmann Sämi (2001);;;;;;;;8.5
+;5;8.5;Herrmann Adrian;;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Brand Christian;**;9;55.5;10;17.5;4;-1.0;8.5
-;9;27.0;Christ Dario (2003);;14;54.25;9;27.0;0;0.0;8.75
-;13;35.75;Bader Thomas (2002);;15;54.0;9;36.75;-4;1.0;8.75

22b;Probst Gabriel;**;;;;;;;;;44.5
o;;;Rüegger Aaron;*;;;;;;;8.5
-;5;8.5;Brand Christian;**;9;55.5;5;8.5;0;0.0;8.75
+;11;17.25;Lazic Marco;;19;52.5;6;18.5;-5;1.25;10.0
-;8;27.25;Schwegler Dominik;;17;53.5;8;27.25;0;0.0;8.75
o;12;36.0;Hasler Luis (2002);;8;55.75;8;37.0;-4;1.0;8.5

22c;Kramer Lukas (2001);;;;;;;;;;44.5
-;;;Suter Jonas (2003);;;;;;;;8.75
+;4;8.75;Herrmann Daniel (2003);;28;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Scherrer Johann;**;11;55.0;12;17.0;7;-1.75;8.5
-;8;27.25;Burtschi Michael;;18;52.75;9;27.0;1;-0.25;8.75
o;12;36.0;Streich Sascha (2001);;13;54.5;13;35.75;1;-0.25;8.5

23a;Lazic Serge;;;;;;;;;;44.0
o;;;Fritz Andreas;;;;;;;;8.5
o;5;8.5;Wiedmer Lukas;;26;35.25;5;8.5;0;0.0;8.5
-;12;17.0;Schmitt Sebastian (2002);;27;34.25;12;17.0;0;0.0;8.75
+;13;25.75;Herrmann Daniel (2003);;28;34.0;14;25.5;1;-0.25;9.75
o;14;35.5;Nussbaumer Dominik;;15;54.0;13;35.75;-1;0.25;8.5

24a;Graber Colin;;;;;;;;;;37.25
+;;;Nussbaumer Dominik;;;;;;;;9.75
+;2;9.75;Lisser Beat;*;16;53.75;5;8.5;3;-1.25;10.0
-;2;19.75;Gerber Manuel;*;10;55.25;5;18.75;3;-1.0;8.75
-;3;28.5;Odermatt Adrian (2001);*;10;55.25;7;27.5;4;-1.0;8.75

25a;Bieli Andreas;;;;;;;;;;35.75
-;;;Schwegler Dominik;;;;;;;;8.75
+;4;8.75;Meyer Lukas (2001);;26;35.25;2;9.75;-2;1.0;10.0
o;5;18.75;Schwenkfelder Lukas;*;7;56.0;5;18.75;0;0.0;8.5
o;8;27.25;Widmer David;**;9;55.5;9;27.0;1;-0.25;8.5

25b;Stoll Simon;**;;;;;;;;;35.75
o;;;Schmid Samuel;**;;;;;;;8.5
o;5;8.5;Hügli Kaj;**;8;55.75;4;8.75;-1;0.25;8.5
+;12;17.0;Leuthard Mario;;26;35.25;7;18.25;-5;1.25;10.0
-;9;27.0;Jusufi Azret;;13;54.5;7;27.5;-2;0.5;8.75

26a;Wiedmer Lukas;;;;;;;;;;35.25
o;;;Schwander Rafael (2001);;;;;;;;8.5
+;5;8.5;Lazic Serge;;23;44.0;5;8.5;0;0.0;9.75
o;7;18.25;Widmer David;**;9;55.5;12;17.0;5;-1.25;8.5
o;10;26.75;Huber Fabian;;17;53.5;10;26.75;0;0.0;8.5

26b;Jehle Lorenz (2003);;;;;;;;;;35.25
+;;;Herrmann Adrian;;;;;;;;9.75
o;2;9.75;Brügger Cyrill;;13;54.5;4;8.75;2;-1.0;8.5
o;7;18.25;Ris Jörn;*;10;55.25;7;18.25;0;0.0;8.5
o;10;26.75;Gisin Yanic;;14;54.25;9;27.0;-1;0.25;8.5

26c;Leuthard Mario;;;;;;;;;;35.25
o;;;Büttler Gian;;;;;;;;8.5
+;5;8.5;Brunner Patrick (2002);;27;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Stoll Simon;**;25;35.75;12;17.0;5;-1.25;8.5
