4027-2019-06-02_Schaffhauser_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.75
o;11;17.0;Knup Stephan;;19;53.75;11;17.0;0;0.0;8.5
+;16;25.5;Keller Elija (2002);;22;52.75;14;26.0;-2;0.5;9.75
o;17;35.25;Rüegger Remo;;19;53.75;17;35.25;0;0.0;8.5
o;20;43.75;Rutz Cédric;;19;53.75;19;44.0;-1;0.25;8.5

25a;Siegenthaler Joël (2003);;;;;;;;;;51.5
-;;;Baumann Nico (2002);;;;;;;;8.75
o;4;8.75;Hobi Ignaz;;16;54.5;4;8.75;0;0.0;8.5
o;10;17.25;Graf Nicola (2003);;11;55.75;6;18.5;-4;1.25;8.5
o;15;25.75;Schiess Christian;;18;54.0;16;25.5;1;-0.25;8.5
o;19;34.25;Keller Elija (2002);;22;52.75;18;34.5;-1;0.25;8.5
o;22;42.75;Mock Marco;;21;53.0;21;43.0;-1;0.25;8.75

26a;Baumann Nico (2002);;;;;;;;;;51.25
-;;;Siegenthaler Joël (2003);;;;;;;;8.75
o;4;8.75;Lüthi Manuel (2003);;19;53.75;5;8.5;1;-0.25;8.5
o;10;17.25;Martin Dominik;;19;53.75;11;17.0;1;-0.25;8.5
o;15;25.75;Müller Fabian (2001);;23;52.5;16;25.5;1;-0.25;8.5
o;19;34.25;Frei Felix (2003);;23;52.5;20;34.0;1;-0.25;8.5
o;22;42.75;Oberhänsli Nick (2001);;19;53.75;20;43.75;-2;1.0;8.5

27a;Odermatt Michi;;;;;;;;;;35.75
+;;;Mock Marco;;;;;;;;9.75
o;2;9.75;Büsser André;*;16;54.5;4;8.75;2;-1.0;8.5
-;7;18.25;Bleiker Daniel;;22;52.75;6;18.5;-1;0.25;8.75
-;11;27.0;Breitenmoser Simon;;18;54.0;7;28.0;-4;1.0;8.75

28a;Schallberger Clint;;;;;;;;;;27.0
o;;;Bleiker Daniel;;;;;;;;8.5
o;5;8.5;Furrer Matthias;;19;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Mock Marco;;21;53.0;10;17.25;-1;0.25;10.0

