4027-2019-06-02_Schaffhauser_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.75
11i;Graf Nicola (2003);;;;;;;;;;55.75
+;;;Tremp Ruedi (2003);;;;;;;;10.0
o;1;10.0;Keller Andreas;*;12;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Siegenthaler Joël (2003);;25;51.5;10;17.25;4;-1.25;10.0
o;5;28.5;Jöhl Christian;*;10;56.0;5;28.5;0;0.0;8.5
o;10;37.0;Roth Michael;;12;55.5;15;35.75;5;-1.25;8.75
+;13;45.75;Schrepfer Sven (2003);;19;53.75;15;45.25;2;-0.5;10.0

12a;Roth Michael;;;;;;;;;;55.5
+;;;Furrer Matthias;;;;;;;;9.75
-;2;9.75;Riget Ivan;*;16;54.5;4;8.75;2;-1.0;8.75
o;6;18.5;Junker Nik;;13;55.25;6;18.5;0;0.0;8.75
o;10;27.25;Bühler Hannes;*;13;55.25;10;27.25;0;0.0;8.5
+;15;35.75;Graf Nicola (2003);;11;55.75;10;37.0;-5;1.25;9.75
+;14;45.5;Christen Jérôme (2002);;18;54.0;15;45.25;1;-0.25;10.0

12b;Burkhalter Thomas (2003);;;;;;;;;;55.5
+;;;Stadelmann Patrick;;;;;;;;9.75
-;2;9.75;Ott Damian;**;15;54.75;4;8.75;2;-1.0;8.75
+;6;18.5;Zumbach Michael;;19;53.75;6;18.5;0;0.0;10.0
+;5;28.5;Heierli Pascal;*;7;56.75;6;28.25;1;-0.25;10.0
o;4;38.5;Leuppi Samir;**;2;58.0;5;38.25;1;-0.25;8.5
o;8;47.0;Good Marco;*;4;57.5;6;47.5;-2;0.5;8.5

12c;Rüegg Roman;*;;;;;;;;;55.5
+;;;Keller Andreas;*;;;;;;;9.75
o;2;9.75;Kindlimann Fabian;***;8;56.5;5;8.5;3;-1.25;8.5
o;7;18.25;Schuler Martin;;10;56.0;4;19.0;-3;0.75;8.75
+;11;27.0;Sieber Marc;;19;53.75;11;27.0;0;0.0;10.0
+;10;37.0;Kiener Raphael;;17;54.25;11;36.75;1;-0.25;10.0
o;8;47.0;Straub Robin;*;6;57.0;7;47.25;-1;0.25;8.5

12d;Gerig Marcel;;;;;;;;;;55.5
o;;;Buchmann Michael;;;;;;;;8.5
+;5;8.5;Rüegger Remo;;19;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Dumelin David;**;7;56.75;11;17.0;5;-1.5;8.5
+;11;27.0;Schnyder Christian;;19;53.75;12;26.75;1;-0.25;10.0
+;10;37.0;Lehmann Philipp;*;11;55.75;8;37.5;-2;0.5;10.0
o;8;47.0;Arztmann Beda;*;3;57.75;5;47.75;-3;0.75;8.5

12e;Hugelshofer Lars (2001);*;;;;;;;;;55.5
o;;;Räbsamen Marcel;*;;;;;;;8.5
+;5;8.5;Steiner Lukas (2002);;14;55.0;2;9.75;-3;1.25;10.0
-;6;18.5;Wetter Silvan;*;14;55.0;5;18.75;-1;0.25;8.75
+;10;27.25;Zumbach Michael;;19;53.75;11;27.0;1;-0.25;9.75
o;10;37.0;Dändliker Shane;**;6;57.0;9;37.25;-1;0.25;8.5
+;14;45.5;Bucher Roman (2003);;17;54.25;14;45.5;0;0.0;10.0

12f;Akeret Benno;*;;;;;;;;;55.5
-;;;Wetter Silvan;*;;;;;;;8.75
+;4;8.75;Schrepfer Sven (2003);;19;53.75;5;8.5;1;-0.25;9.75
+;6;18.5;Alder Armin;*;17;54.25;6;18.5;0;0.0;9.75
+;6;28.25;Bleiker Daniel;;22;52.75;10;27.25;4;-1.0;10.0
-;5;38.25;Geisser Lars;**;11;55.75;9;37.25;4;-1.0;8.75
o;8;47.0;Räbsamen Marcel;*;2;58.0;4;48.0;-4;1.0;8.5

12g;Keller Andreas;*;;;;;;;;;55.5
o;;;Rüegg Roman;*;;;;;;;8.5
+;5;8.5;Graf Nicola (2003);;11;55.75;1;10.0;-4;1.5;9.75
+;7;18.25;Lozza Roman;;14;55.0;6;18.5;-1;0.25;10.0
o;6;28.25;Krähenbühl Lukas;*;15;54.75;10;27.25;4;-1.0;8.5
-;11;36.75;Breitenmoser Simon;;18;54.0;11;36.75;0;0.0;8.75
+;14;45.5;Alder Armin;*;17;54.25;13;45.75;-1;0.25;10.0

12h;Schwyn Patrick;;;;;;;;;;55.5
+;;;Düring Dominik (2003);;;;;;;;10.0
+;1;10.0;Lieberherr David (2003);;19;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Oettli Silvio;*;6;57.0;5;18.75;4;-1.25;8.5
+;5;28.5;Steiner Lukas (2002);;14;55.0;7;28.0;2;-0.5;10.0
o;4;38.5;Straub Robin;*;6;57.0;8;37.5;4;-1.0;8.5
o;8;47.0;Heierli Pascal;*;7;56.75;9;46.75;1;-0.25;8.5

13a;Götti Samuel;;;;;;;;;;55.25
+;;;Lüthi Manuel (2003);;;;;;;;9.75
o;2;9.75;Wetter Silvan;*;14;55.0;4;8.75;2;-1.0;8.75
o;6;18.5;Lehmann Philipp;*;11;55.75;6;18.5;0;0.0;8.5
+;11;27.0;Galli Cedric (2001);;14;55.0;11;27.0;0;0.0;9.75
+;11;36.75;Lieberherr David (2003);;19;53.75;16;35.5;5;-1.25;10.0
o;9;46.75;Schnurrenberger Roman;**;6;57.0;8;47.0;-1;0.25;8.5

13b;Kolb This (2003);;;;;;;;;;55.25
-;;;Hobi Ignaz;;;;;;;;9.0
+;3;9.0;Kiener Raphael;;17;54.25;2;9.75;-1;0.75;9.75
-;5;18.75;Geisser Lars;**;11;55.75;7;18.25;2;-0.5;9.0
-;8;27.75;Wetter Silvan;*;14;55.0;9;27.5;1;-0.25;9.0
+;11;36.75;Steiner Lukas (2002);;14;55.0;12;36.5;1;-0.25;10.0
o;9;46.75;Dändliker Shane;**;6;57.0;7;47.25;-2;0.5;8.5

13c;Ziegler Andreas (2002);;;;;;;;;;55.25
+;;;Rüegger Remo;;;;;;;;9.75
o;2;9.75;Rentsch Christian;;8;56.5;1;10.0;-1;0.25;8.5
+;7;18.25;Sieber Marc;;19;53.75;6;18.5;-1;0.25;10.0
o;6;28.25;Arztmann Beda;*;3;57.75;7;28.0;1;-0.25;8.5
+;11;36.75;Hauser Simon;;18;54.0;11;36.75;0;0.0;10.0
o;9;46.75;Ammann Rico;*;7;56.75;8;47.0;-1;0.25;8.5

13d;Junker Nik;;;;;;;;;;55.25
+;;;Zumbach Michael;;;;;;;;10.0
o;1;10.0;Vollenweider Jeremy;*;5;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Roth Michael;;12;55.5;6;18.5;0;0.0;9.75
+;6;28.25;Schwyn Adrian;*;8;56.5;5;28.5;-1;0.25;10.0
o;5;38.25;Räbsamen Marcel;*;2;58.0;5;38.25;0;0.0;8.5
