2778-2018-06-24_123_Nordostschweizer_Schwingfest_125_Jahre_NOSV-ST

1a;Orlik Armon;***;;;;;;;;;59.0
+;4;8.5;Furrer Matthias;;33;34.0;4;8.5;0;0.0;9.75
o;7;18.25;Wickli Beat;**;12;55.5;5;18.75;-2;0.5;8.5
+;11;26.75;Rütsche Stefan;*;32;34.25;14;25.75;3;-1.0;10.0
o;10;36.75;Nägeli Roman;*;18;54.0;9;37.0;-1;0.25;8.75
+;13;45.5;Kobler Janosch (2000);;19;53.75;14;45.25;1;-0.25;10.0

12e;Aebli Nino (2000);;;;;;;;;;55.5
o;;;Bürgler Patrick;;;;;;;;8.5
+;4;8.5;Arnold Christian;;32;34.25;4;8.5;0;0.0;10.0
+;6;18.5;Rütsche Stefan;*;32;34.25;9;17.25;3;-1.25;10.0
o;4;28.5;Ott Damian (2000);*;7;56.75;5;28.25;1;-0.25;8.5
o;9;37.0;Steiner Michael;**;9;56.25;10;36.75;1;-0.25;8.5
+;13;45.5;Roth Peter;;21;53.25;16;44.75;3;-0.75;10.0

12f;Piemontesi Pascal;**;;;;;;;;;55.5
o;;;Rychen Roger;***;;;;;;;8.5
+;4;8.5;Holenstein Christian;*;11;55.75;2;9.75;-2;1.25;9.75
+;7;18.25;Ueltschi Patric;*;22;53.0;6;18.5;-1;0.25;10.0
-;5;28.25;Jörger Marc;*;17;54.25;5;28.25;0;0.0;8.75
+;9;37.0;Bernold Christian;**;16;54.5;9;37.0;0;0.0;9.75
-;8;46.75;Burkhalter Stefan;***;11;55.75;7;47.0;-1;0.25;8.75

12g;Notz Beni;***;;;;;;;;;55.5
o;;;Kropf Marcel;**;;;;;;;8.5
+;4;8.5;Fausch Kjetil;*;35;27.0;1;10.0;-3;1.5;10.0
o;6;18.5;Schläpfer Markus;**;17;54.25;6;18.5;0;0.0;8.5
+;10;27.0;Schläpfer Matthias;*;13;55.25;5;28.25;-5;1.25;10.0
+;9;37.0;Vestner Roman;*;17;54.25;9;37.0;0;0.0;10.0
o;7;47.0;Aeschbacher Matthias;**;7;56.75;8;46.75;1;-0.25;8.5

12h;Vollenweider Jeremy;*;;;;;;;;;55.5
-;;;Schmid Patrick;*;;;;;;;8.75
+;3;8.75;Kobler Janosch (2000);;19;53.75;2;9.75;-1;1.0;9.75
+;6;18.5;Horner Sämi;;24;52.5;6;18.5;0;0.0;9.75
o;5;28.25;Wenger Kilian;***;7;56.75;9;27.25;4;-1.0;8.5
-;10;36.75;Landolt Reto;*;18;54.0;10;36.75;0;0.0;8.75
+;13;45.5;Nägeli Roman;*;18;54.0;13;45.5;0;0.0;10.0

12i;Riget Florian;*;;;;;;;;;55.5
+;;;Schwyn Adrian;*;;;;;;;9.75
o;2;9.75;Hersche Martin;***;3;57.75;4;8.5;2;-1.25;8.5
o;7;18.25;Kammermann Thomas;*;21;53.25;8;17.5;1;-0.75;8.5
+;11;26.75;Wettstein Daniel;;22;53.0;10;27.0;-1;0.25;10.0
-;10;36.75;Wey Nicola;*;19;53.75;11;36.5;1;-0.25;8.75
+;13;45.5;Kunz Daniel;*;18;54.0;13;45.5;0;0.0;10.0

12j;Oettli Silvio (2000);;;;;;;;;;55.5
