3620-2018-07-21_67_Weissenstein-Schwinget-ST

1a;Giger Samuel;***;;;;;;;;;59.5
+;8;37.25;Piemontesi Pascal;**;15;54.5;7;37.5;-1;0.25;10.0
+;6;47.25;Alpiger Nick;***;10;55.75;6;47.25;0;0.0;10.0

5a;Kramer Lario;**;;;;;;;;;57.0
+;;;Döbeli Andreas;*;;;;;;;10.0
o;1;10.0;Schneider Domenic;***;10;55.75;2;9.75;1;-0.25;8.5
+;5;18.5;Anderegg David;*;18;53.75;6;18.25;1;-0.25;10.0
+;5;28.5;Oertig Dominik;**;11;55.5;6;28.25;1;-0.25;10.0
o;3;38.5;Bösch Daniel;***;2;58.5;3;38.5;0;0.0;8.5
+;7;47.0;Kuster Marcel;***;15;54.5;11;46.0;4;-1.0;10.0

5b;Hersche Martin;***;;;;;;;;;57.0
o;;;Widmer Tobias;**;;;;;;;8.5
+;5;8.5;Anderegg David;*;18;53.75;2;9.75;-3;1.25;10.0
+;5;18.5;Leuthard Reto;*;26;35.25;6;18.25;1;-0.25;10.0
+;5;28.5;Burkhalter Stefan;***;7;56.5;1;29.75;-4;1.25;10.0
+;3;38.5;Kropf Marcel;**;6;56.75;3;38.5;0;0.0;10.0
o;3;48.5;Erb Roger;**;2;58.5;3;48.5;0;0.0;8.5

5c;Moser Steven;**;;;;;;;;;57.0
+;;;Arnold Kornel;*;;;;;;;10.0
o;1;10.0;Giger Samuel;***;1;59.5;1;10.0;0;0.0;8.5
+;5;18.5;Stüdeli Thomas;**;16;54.25;8;17.25;3;-1.25;10.0
+;5;28.5;Leuthard Reto;*;26;35.25;11;26.75;6;-1.75;10.0
+;3;38.5;Schneider Domenic;***;10;55.75;3;38.5;0;0.0;10.0
o;3;48.5;Bösch Daniel;***;2;58.5;3;48.5;0;0.0;8.5

5d;Räbmatter Patrick;***;;;;;;;;;57.0
-;;;Krähenbühl Tobias;***;;;;;;;8.75
+;4;8.75;Roch Vincent;**;6;56.75;2;9.75;-2;1.0;10.0
+;4;18.75;Notz Beni;***;10;55.75;1;20.0;-3;1.25;9.75
+;5;28.5;Rhyner Michael;**;10;55.75;5;28.5;0;0.0;10.0
o;3;38.5;Bless Michael;***;3;57.5;2;38.75;-1;0.25;8.5
+;7;47.0;Wickli Beat;**;13;55.0;9;46.5;2;-0.5;10.0

6a;Roch Vincent;**;;;;;;;;;56.75
+;;;Studer Remo;*;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;***;5;57.0;4;8.75;2;-1.0;8.5
+;6;18.25;Bader Andreas;**;28;34.5;7;17.5;1;-0.75;10.0
o;6;28.25;Thürig Mario;***;24;46.5;7;27.75;1;-0.5;8.5
+;10;36.75;Bruder Adrian;;19;53.5;11;36.5;1;-0.25;10.0
+;8;46.75;Kramer Franz;*;11;55.5;8;46.75;0;0.0;10.0

6b;Rychen Roger;***;;;;;;;;;56.75
+;;;Gisler Bruno;***;;;;;;;9.75
+;2;9.75;Gottofrey Marc;**;9;56.0;1;10.0;-1;0.25;10.0
o;2;19.75;Kramer Franz;*;11;55.5;2;19.75;0;0.0;8.75
+;5;28.5;Voggensperger Janic;**;12;55.25;6;28.25;1;-0.25;10.0
o;3;38.5;Giger Samuel;***;1;59.5;1;39.5;-2;1.0;8.5
+;7;47.0;Döbeli Andreas;*;9;56.0;6;47.25;-1;0.25;9.75

6c;Kropf Marcel;**;;;;;;;;;56.75
o;;;Bless Michael;***;;;;;;;8.5
+;5;8.5;Battaglia Ursin;**;16;54.25;4;8.75;-1;0.25;10.0
+;5;18.5;Nussbaumer Gabriel;;23;52.5;6;18.25;1;-0.25;10.0
+;5;28.5;Geisser Lars;**;9;56.0;5;28.5;0;0.0;10.0
o;3;38.5;Hersche Martin;***;5;57.0;3;38.5;0;0.0;8.5
+;7;47.0;Schneider Domenic;***;10;55.75;7;47.0;0;0.0;9.75

7a;Dousse Michel;**;;;;;;;;;56.5
+;;;Lisser Beat;*;;;;;;;10.0
+;1;10.0;Gisler Bruno;***;11;55.5;5;8.5;4;-1.5;9.75
o;2;19.75;Krähenbühl Tobias;***;4;57.25;4;18.75;2;-1.0;8.5
+;6;28.25;Gartmann Mauro;*;15;54.5;5;28.5;-1;0.25;9.75
+;5;38.0;Kramer Franz;*;11;55.5;5;38.0;0;0.0;9.75
-;4;47.75;Widmer Tobias;**;8;56.25;5;47.5;1;-0.25;8.75

7b;Burkhalter Stefan;***;;;;;;;;;56.5
+;;;Stalder Remo;***;;;;;;;9.75
+;2;9.75;Schaffner Samuel;**;12;55.25;1;10.0;-1;0.25;10.0
+;2;19.75;Hauri Urs;**;13;55.0;5;18.5;3;-1.25;10.0
o;1;29.75;Hersche Martin;***;5;57.0;5;28.5;4;-1.25;8.5
o;4;38.25;Erb Roger;**;2;58.5;3;38.5;-1;0.25;8.5
+;8;46.75;Schmid David;***;12;55.25;8;46.75;0;0.0;9.75

8a;Widmer Tobias;**;;;;;;;;;56.25
+;;;Hersche Martin;***;;;;;;;9.75
-;2;9.75;Gapany Benjamin;**;8;56.25;1;10.0;-1;0.25;9.0
+;4;18.75;Gartmann Mauro;*;15;54.5;1;20.0;-3;1.25;10.0
-;4;28.75;Krähenbühl Tobias;***;4;57.25;5;28.5;1;-0.25;8.75
+;7;37.5;Landolt Reto;*;12;55.25;9;37.0;2;-0.5;10.0
-;5;47.5;Dousse Michel;**;7;56.5;4;47.75;-1;0.25;8.75

8b;Gapany Benjamin;**;;;;;;;;;56.25
+;;;Schillig Willi;**;;;;;;;10.0
-;1;10.0;Widmer Tobias;**;8;56.25;2;9.75;1;-0.25;9.0
-;3;19.0;Schmid David;***;12;55.25;5;18.5;2;-0.5;8.75
+;7;27.75;Scherrer Johann;**;19;53.5;8;27.5;1;-0.25;10.0
o;6;37.75;Alpiger Nick;***;10;55.75;8;37.25;2;-0.5;8.5
+;10;46.25;Vieira Tiago;**;15;54.5;11;46.0;1;-0.25;10.0

9a;Geisser Lars;**;;;;;;;;;56.0
+;;;Reinhard Adrian;*;;;;;;;9.75
-;2;9.75;Krebs Clemens;*;25;35.5;2;9.75;0;0.0;8.75
+;5;18.5;Lisser Beat;*;22;52.75;6;18.25;1;-0.25;10.0
o;5;28.5;Kropf Marcel;**;6;56.75;5;28.5;0;0.0;8.5
+;9;37.0;Stalder Remo;***;17;54.0;9;37.0;0;0.0;10.0
-;7;47.0;Schmid David;***;12;55.25;8;46.75;1;-0.25;9.0

9b;Döbeli Andreas;*;;;;;;;;;56.0
o;;;Kramer Lario;**;;;;;;;8.5
+;5;8.5;Brodard Augustin;**;17;54.0;5;8.5;0;0.0;10.0
+;5;18.5;Bruder Adrian;;19;53.5;6;18.25;1;-0.25;9.75
-;6;28.25;Kuster Marcel;***;15;54.5;6;28.25;0;0.0;9.0
+;8;37.25;Matthey Mickaël;**;14;54.75;7;37.5;-1;0.25;10.0
o;6;47.25;Rychen Roger;***;6;56.75;7;47.0;1;-0.25;8.75

9c;Gottofrey Marc;**;;;;;;;;;56.0
+;;;Stoll Simon;*;;;;;;;10.0
o;1;10.0;Rychen Roger;***;6;56.75;2;9.75;1;-0.25;8.5
-;5;18.5;Rüegger Aaron;*;20;53.25;5;18.5;0;0.0;9.0
+;8;27.5;Anderegg David;*;18;53.75;10;27.0;2;-0.5;10.0
o;7;37.5;Schmid David;***;12;55.25;9;37.0;2;-0.5;8.5
+;11;46.0;Mangold Michael;**;14;54.75;10;46.25;-1;0.25;10.0

10a;Hermann Oliver;*;;;;;;;;;55.75
-;;;Rhyner Michael;**;;;;;;;8.75
+;4;8.75;Nussbaumer Gabriel;;23;52.5;2;9.75;-2;1.0;9.75
o;5;18.5;Kuster Marcel;***;15;54.5;5;18.5;0;0.0;8.5
o;10;27.0;Probst Gabriel;**;16;54.25;9;27.25;-1;0.25;8.75
+;14;35.75;Wey Nicola;*;20;53.25;14;35.75;0;0.0;10.0
+;12;45.75;Zimmermann Mario;*;16;54.25;12;45.75;0;0.0;10.0

10b;Rhyner Michael;**;;;;;;;;;55.75
-;;;Hermann Oliver;*;;;;;;;8.75
+;4;8.75;Schmid Samuel;**;16;54.25;2;9.75;-2;1.0;9.75
+;5;18.5;Studinger Stephan;**;26;35.25;9;17.0;4;-1.5;10.0
o;5;28.5;Räbmatter Patrick;***;5;57.0;5;28.5;0;0.0;8.5
+;9;37.0;Hauri Urs;**;13;55.0;10;36.75;1;-0.25;10.0
-;7;47.0;Voggensperger Janic;**;12;55.25;9;46.5;2;-0.5;8.75

10c;Schneider Domenic;***;;;;;;;;;55.75
+;;;Voggensperger Janic;**;;;;;;;9.75
+;2;9.75;Kramer Lario;**;5;57.0;1;10.0;-1;0.25;10.0
-;2;19.75;Bless Michael;***;3;57.5;2;19.75;0;0.0;9.0
+;4;28.75;Vieira Tiago;**;15;54.5;4;28.75;0;0.0;9.75
o;3;38.5;Moser Steven;**;5;57.0;3;38.5;0;0.0;8.5
o;7;47.0;Kropf Marcel;**;6;56.75;7;47.0;0;0.0;8.75

10d;Schmid Dominik;**;;;;;;;;;55.75
-;;;Mangold Michael;**;;;;;;;8.75
o;4;8.75;Kramer Franz;*;11;55.5;2;9.75;-2;1.0;8.75
+;7;17.5;Räber Lukas;*;29;34.25;8;17.25;1;-0.25;10.0
o;8;27.5;Alpiger Nick;***;10;55.75;9;27.25;1;-0.25;8.5
+;13;36.0;Rüegger Aaron;*;20;53.25;13;36.0;0;0.0;9.75
+;12;45.75;Probst Gabriel;**;16;54.25;12;45.75;0;0.0;10.0

10e;Notz Beni;***;;;;;;;;;55.75
+;;;Studinger Stephan;**;;;;;;;10.0
+;1;10.0;Rüegger Aaron;*;20;53.25;1;10.0;0;0.0;10.0
o;1;20.0;Räbmatter Patrick;***;5;57.0;4;18.75;3;-1.25;8.5
o;5;28.5;Erb Roger;**;2;58.5;4;28.75;-1;0.25;8.5
+;9;37.0;Schaffner Samuel;**;12;55.25;10;36.75;1;-0.25;10.0
-;7;47.0;Gisler Bruno;***;11;55.5;8;46.75;1;-0.25;8.75

10f;Zwyssig Raphael;***;;;;;;;;;55.75
-;;;Thürig Mario;***;;;;;;;8.75
+;4;8.75;Probst Gabriel;**;16;54.25;4;8.75;0;0.0;10.0
+;4;18.75;Voggensperger Lars (2001);;21;53.0;4;18.75;0;0.0;9.75
o;5;28.5;Bösch Daniel;***;2;58.5;5;28.5;0;0.0;8.5
-;9;37.0;Mangold Michael;**;14;54.75;8;37.25;-1;0.25;9.0
+;11;46.0;Piemontesi Pascal;**;15;54.5;11;46.0;0;0.0;9.75

10g;Alpiger Nick;***;;;;;;;;;55.75
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Landolt Reto;*;12;55.25;1;10.0;-4;1.5;10.0
-;5;18.5;Borcard Johann;**;14;54.75;4;18.75;-1;0.25;8.75
+;9;27.25;Schmid Dominik;**;10;55.75;8;27.5;-1;0.25;10.0
+;8;37.25;Gapany Benjamin;**;8;56.25;6;37.75;-2;0.5;10.0
o;6;47.25;Krähenbühl Tobias;***;4;57.25;6;47.25;0;0.0;8.5

11a;Gisler Bruno;***;;;;;;;;;55.5
o;;;Rychen Roger;***;;;;;;;8.5
o;5;8.5;Dousse Michel;**;7;56.5;1;10.0;-4;1.5;8.5
+;9;17.0;Wey Nicola;*;20;53.25;5;18.5;-4;1.5;10.0
+;10;27.0;Colò Kilian;**;18;53.75;10;27.0;0;0.0;10.0
+;9;37.0;Wickli Beat;**;13;55.0;5;38.0;-4;1.0;9.75
-;8;46.75;Notz Beni;***;10;55.75;7;47.0;-1;0.25;8.75

11b;Kramer Franz;*;;;;;;;;;55.5
+;;;Colò Kilian;**;;;;;;;9.75
+;2;9.75;Schmid Dominik;**;10;55.75;4;8.75;2;-1.0;10.0
+;2;19.75;Rychen Roger;***;6;56.75;2;19.75;0;0.0;9.75
o;2;29.5;Bless Michael;***;3;57.5;4;28.75;2;-0.75;8.5
o;5;38.0;Dousse Michel;**;7;56.5;5;38.0;0;0.0;8.75
o;8;46.75;Roch Vincent;**;6;56.75;8;46.75;0;0.0;8.75

11c;Oertig Dominik;**;;;;;;;;;55.5
+;;;Schmutz Adrian;*;;;;;;;10.0
o;1;10.0;Matthey Mickaël;**;14;54.75;1;10.0;0;0.0;8.5
+;5;18.5;Brand Christian;**;14;54.75;5;18.5;0;0.0;9.75
o;6;28.25;Kramer Lario;**;5;57.0;5;28.5;-1;0.25;8.75
o;9;37.0;Voggensperger Janic;**;12;55.25;10;36.75;1;-0.25;8.5
+;13;45.5;Stalder Remo;***;17;54.0;13;45.5;0;0.0;10.0

12a;Schaffner Samuel;**;;;;;;;;;55.25
+;;;Riget Tobias;**;;;;;;;10.0
o;1;10.0;Burkhalter Stefan;***;7;56.5;2;9.75;1;-0.25;8.5
+;5;18.5;Waldner Patrick;**;28;34.5;8;17.25;3;-1.25;9.75
o;6;28.25;Wickli Beat;**;13;55.0;6;28.25;0;0.0;8.5
o;10;36.75;Notz Beni;***;10;55.75;9;37.0;-1;0.25;8.5
+;14;45.25;Haenni Stéphane;**;21;53.0;17;44.5;3;-0.75;10.0

12b;Mollet Ivan;*;;;;;;;;;55.25
o;;;Scherrer Johann;**;;;;;;;8.5
+;5;8.5;Stüdeli Thomas;**;16;54.25;4;8.75;-1;0.25;10.0
o;5;18.5;Voggensperger Janic;**;12;55.25;5;18.5;0;0.0;8.5
o;10;27.0;Stalder Remo;***;17;54.0;10;27.0;0;0.0;8.5
+;15;35.5;Stegmüller Klemens;*;19;53.5;12;36.25;-3;0.75;10.0
+;13;45.5;Stoll Simon;*;17;54.0;13;45.5;0;0.0;9.75

12c;Landolt Reto;*;;;;;;;;;55.25
+;;;Lisser Daniel;*;;;;;;;10.0
o;1;10.0;Alpiger Nick;***;10;55.75;5;8.5;4;-1.5;8.5
-;5;18.5;Schmutz Adrian;*;27;34.75;8;17.25;3;-1.25;8.75
+;9;27.25;Rüegger Aaron;*;20;53.25;8;27.5;-1;0.25;9.75
o;9;37.0;Widmer Tobias;**;8;56.25;7;37.5;-2;0.5;8.5
+;13;45.5;Anderegg David;*;18;53.75;14;45.25;1;-0.25;9.75

12d;Schmid David;***;;;;;;;;;55.25
-;;;Bösch Daniel;***;;;;;;;8.75
+;4;8.75;Dändliker Shane;**;14;54.75;1;10.0;-3;1.25;9.75
-;5;18.5;Gapany Benjamin;**;8;56.25;3;19.0;-2;0.5;8.75
+;9;27.25;Vollenweider Jeremy;*;15;54.5;8;27.5;-1;0.25;9.75
+;9;37.0;Gottofrey Marc;**;9;56.0;7;37.5;-2;0.5;9.75
o;8;46.75;Burkhalter Stefan;***;7;56.5;8;46.75;0;0.0;8.5
-;12;55.25;Geisser Lars;**;9;56.0;9;56.0;-3;0.75;0.0

12e;Voggensperger Janic;**;;;;;;;;;55.25
o;;;Schneider Domenic;***;;;;;;;8.5
+;5;8.5;Studer Remo;*;26;35.25;5;8.5;0;0.0;10.0
+;5;18.5;Mollet Ivan;*;12;55.25;5;18.5;0;0.0;9.75
o;6;28.25;Rychen Roger;***;6;56.75;5;28.5;-1;0.25;8.5
+;10;36.75;Oertig Dominik;**;11;55.5;9;37.0;-1;0.25;9.75
-;9;46.5;Rhyner Michael;**;10;55.75;7;47.0;-2;0.5;8.75

13a;Hauri Urs;**;;;;;;;;;55.0
-;;;Borcard Johann;**;;;;;;;8.75
+;4;8.75;Dobler Florian;;22;52.75;5;8.5;1;-0.25;9.75
o;5;18.5;Burkhalter Stefan;***;7;56.5;2;19.75;-3;1.25;8.5
+;10;27.0;Haenni Stéphane;**;21;53.0;9;27.25;-1;0.25;9.75
o;10;36.75;Rhyner Michael;**;10;55.75;9;37.0;-1;0.25;8.5
+;14;45.25;Bruder Adrian;;19;53.5;15;45.0;1;-0.25;9.75

13b;Wickli Beat;**;;;;;;;;;55.0
+;;;Leuthard Reto;*;;;;;;;10.0
+;1;10.0;Scherrer Johann;**;19;53.5;1;10.0;0;0.0;9.75
o;2;19.75;Giger Samuel;***;1;59.5;2;19.75;0;0.0;8.5
+;6;28.25;Schaffner Samuel;**;12;55.25;6;28.25;0;0.0;9.75
o;5;38.0;Gisler Bruno;***;11;55.5;9;37.0;4;-1.0;8.5
o;9;46.5;Räbmatter Patrick;***;5;57.0;7;47.0;-2;0.5;8.5

14a;Borcard Johann;**;;;;;;;;;54.75
-;;;Hauri Urs;**;;;;;;;8.75
+;4;8.75;Schmutz Adrian;*;27;34.75;4;8.75;0;0.0;10.0
-;4;18.75;Alpiger Nick;***;10;55.75;5;18.5;1;-0.25;8.75
-;8;27.5;Brand Christian;**;14;54.75;9;27.25;1;-0.25;8.75
-;12;36.25;Vieira Tiago;**;15;54.5;8;37.25;-4;1.0;8.75
+;15;45.0;Schillig Willi;**;22;52.75;18;44.25;3;-0.75;9.75

14b;Brand Christian;**;;;;;;;;;54.75
+;;;Moser Matthias;*;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;2;58.5;4;8.75;3;-1.25;8.5
o;5;18.5;Oertig Dominik;**;11;55.5;5;18.5;0;0.0;8.75
-;9;27.25;Borcard Johann;**;14;54.75;8;27.5;-1;0.25;8.75
+;13;36.0;Schillig Willi;**;22;52.75;14;35.75;1;-0.25;10.0
-;11;46.0;Matthey Mickaël;**;14;54.75;11;46.0;0;0.0;8.75

14c;Mangold Michael;**;;;;;;;;;54.75
-;;;Schmid Dominik;**;;;;;;;8.75
+;4;8.75;Bruder Adrian;;19;53.5;2;9.75;-2;1.0;9.75
o;5;18.5;Vollenweider Jeremy;*;15;54.5;7;17.5;2;-1.0;8.75
+;9;27.25;Krebs Clemens;*;25;35.5;10;27.0;1;-0.25;10.0
-;8;37.25;Zwyssig Raphael;***;10;55.75;9;37.0;1;-0.25;9.0
o;10;46.25;Gottofrey Marc;**;9;56.0;11;46.0;1;-0.25;8.5

14d;Dändliker Shane;**;;;;;;;;;54.75
+;;;Hügli Kaj;**;;;;;;;10.0
o;1;10.0;Schmid David;***;12;55.25;4;8.75;3;-1.25;8.5
o;5;18.5;Erb Roger;**;2;58.5;4;18.75;-1;0.25;8.5
-;10;27.0;Stegmüller Klemens;*;19;53.5;9;27.25;-1;0.25;9.0
o;13;36.0;Schmid Samuel;**;16;54.25;14;35.75;1;-0.25;8.75
+;16;44.75;Voggensperger Lars (2001);;21;53.0;17;44.5;1;-0.25;10.0

14e;Matthey Mickaël;**;;;;;;;;;54.75
+;;;Waldner Patrick;**;;;;;;;10.0
+;1;10.0;Oertig Dominik;**;11;55.5;1;10.0;0;0.0;10.0
-;1;20.0;Thürig Mario;***;24;46.5;4;18.75;3;-1.25;9.0
o;3;29.0;Giger Samuel;***;1;59.5;1;29.75;-2;0.75;8.5
o;7;37.5;Döbeli Andreas;*;9;56.0;8;37.25;1;-0.25;8.5
-;11;46.0;Brand Christian;**;14;54.75;11;46.0;0;0.0;8.75

15a;Kuster Marcel;***;;;;;;;;;54.5
-;;;Erb Roger;**;;;;;;;8.75
+;4;8.75;Stegmüller Klemens;*;19;53.5;4;8.75;0;0.0;9.75
+;5;18.5;Hermann Oliver;*;10;55.75;5;18.5;0;0.0;9.75
-;6;28.25;Döbeli Andreas;*;9;56.0;6;28.25;0;0.0;9.0
-;8;37.25;Thürig Mario;***;24;46.5;6;37.75;-2;0.5;8.75
o;11;46.0;Kramer Lario;**;5;57.0;7;47.0;-4;1.0;8.5

15b;Burren Patrick;;;;;;;;;;54.5
+;;;Gisin Yanic;;;;;;;;10.0
o;1;10.0;Stoll Simon;*;17;54.0;5;8.5;4;-1.5;8.5
o;5;18.5;Piemontesi Pascal;**;15;54.5;7;17.5;2;-1.0;8.5
-;10;27.0;Lisser Beat;*;22;52.75;11;26.75;1;-0.25;8.75
-;14;35.75;Haenni Stéphane;**;21;53.0;14;35.75;0;0.0;8.75
+;17;44.5;Nussbaumer Gabriel;;23;52.5;19;44.0;2;-0.5;10.0

15c;Vieira Tiago;**;;;;;;;;;54.5
+;;;Schneider Mario;**;;;;;;;10.0
o;1;10.0;Bless Michael;***;3;57.5;2;9.75;1;-0.25;8.75
+;4;18.75;Krebs Clemens;*;25;35.5;5;18.5;1;-0.25;10.0
o;4;28.75;Schneider Domenic;***;10;55.75;4;28.75;0;0.0;8.5
-;8;37.25;Borcard Johann;**;14;54.75;12;36.25;4;-1.0;8.75
o;11;46.0;Gapany Benjamin;**;8;56.25;10;46.25;-1;0.25;8.5

15d;Piemontesi Pascal;**;;;;;;;;;54.5
-;;;Stüdeli Thomas;**;;;;;;;8.75
-;4;8.75;Waldner Patrick;**;28;34.5;5;8.5;1;-0.25;8.75
+;7;17.5;Burren Patrick;;15;54.5;5;18.5;-2;1.0;10.0
+;8;27.5;Stoll Simon;*;17;54.0;10;27.0;2;-0.5;10.0
o;7;37.5;Krähenbühl Tobias;***;4;57.25;8;37.25;1;-0.25;8.5
o;11;46.0;Zwyssig Raphael;***;10;55.75;11;46.0;0;0.0;8.5

15e;Vollenweider Jeremy;*;;;;;;;;;54.5
-;;;Voggensperger Lars (2001);;;;;;;;8.75
-;4;8.75;Blatter Lorenz;**;32;17.5;4;8.75;0;0.0;8.75
+;7;17.5;Mangold Michael;**;14;54.75;5;18.5;-2;1.0;10.0
o;8;27.5;Schmid David;***;12;55.25;9;27.25;1;-0.25;8.5
-;13;36.0;Scherrer Johann;**;19;53.5;13;36.0;0;0.0;8.75
+;16;44.75;Hügli Kaj;**;18;53.75;14;45.25;-2;0.5;9.75

15f;Gartmann Mauro;*;;;;;;;;;54.5
+;;;Mangold Martin;*;;;;;;;10.0
+;1;10.0;Stalder Remo;***;17;54.0;5;8.5;4;-1.5;10.0
o;1;20.0;Widmer Tobias;**;8;56.25;4;18.75;3;-1.25;8.5
o;5;28.5;Dousse Michel;**;7;56.5;6;28.25;1;-0.25;8.5
-;9;37.0;Probst Gabriel;**;16;54.25;9;37.0;0;0.0;8.75
-;12;45.75;Schmid Samuel;**;16;54.25;13;45.5;1;-0.25;8.75

16a;Battaglia Ursin;**;;;;;;;;;54.25
-;;;Blatter Lorenz;**;;;;;;;8.75
o;4;8.75;Kropf Marcel;**;6;56.75;5;8.5;1;-0.25;8.5
o;8;17.25;Schillig Willi;**;22;52.75;8;17.25;0;0.0;8.5
+;14;25.75;Lisser Daniel;*;31;26.0;13;26.0;-1;0.25;10.0
+;14;35.75;Räber Lukas;*;29;34.25;19;34.25;5;-1.5;9.75
-;13;45.5;Stüdeli Thomas;**;16;54.25;13;45.5;0;0.0;8.75

16b;Schmid Samuel;**;;;;;;;;;54.25
+;;;Brodard Augustin;**;;;;;;;9.75
o;2;9.75;Rhyner Michael;**;10;55.75;4;8.75;2;-1.0;8.5
-;6;18.25;Haenni Stéphane;**;21;53.0;5;18.5;-1;0.25;8.75
-;10;27.0;Wey Nicola;*;20;53.25;10;27.0;0;0.0;8.75
+;14;35.75;Dändliker Shane;**;14;54.75;13;36.0;-1;0.25;9.75
-;13;45.5;Gartmann Mauro;*;15;54.5;12;45.75;-1;0.25;8.75

16c;Zimmermann Mario;*;;;;;;;;;54.25
-;;;Bader Andreas;**;;;;;;;8.75
-;4;8.75;Arnold Kornel;*;33;17.25;5;8.5;1;-0.25;8.75
o;7;17.5;Stalder Remo;***;17;54.0;9;17.0;2;-0.5;8.5
+;13;26.0;Nussbaumer Gabriel;;23;52.5;11;26.75;-2;0.75;9.75
+;14;35.75;Lisser Beat;*;22;52.75;15;35.5;1;-0.25;10.0
o;12;45.75;Hermann Oliver;*;10;55.75;12;45.75;0;0.0;8.5

16d;Probst Gabriel;**;;;;;;;;;54.25
-;;;Gwerder Andreas;**;;;;;;;8.75
o;4;8.75;Zwyssig Raphael;***;10;55.75;4;8.75;0;0.0;8.5
+;8;17.25;Dobler Florian;;22;52.75;9;17.0;1;-0.25;10.0
+;9;27.25;Hermann Oliver;*;10;55.75;10;27.0;1;-0.25;9.75
-;9;37.0;Gartmann Mauro;*;15;54.5;9;37.0;0;0.0;8.75
o;12;45.75;Schmid Dominik;**;10;55.75;12;45.75;0;0.0;8.5

16e;Stüdeli Thomas;**;;;;;;;;;54.25
-;;;Piemontesi Pascal;**;;;;;;;8.75
o;4;8.75;Mollet Ivan;*;12;55.25;5;8.5;1;-0.25;8.5
o;8;17.25;Moser Steven;**;5;57.0;5;18.5;-3;1.25;8.5
+;14;25.75;Reinhard Adrian;*;27;34.75;12;26.25;-2;0.5;9.75
+;15;35.5;Dobler Florian;;22;52.75;15;35.5;0;0.0;10.0
-;13;45.5;Battaglia Ursin;**;16;54.25;13;45.5;0;0.0;8.75

17a;Brodard Augustin;**;;;;;;;;;54.0
o;;;Schmid Samuel;**;;;;;;;8.5
o;5;8.5;Döbeli Andreas;*;9;56.0;5;8.5;0;0.0;8.5
+;9;17.0;Mangold Martin;*;30;34.0;9;17.0;0;0.0;9.75
-;11;26.75;Hügli Kaj;**;18;53.75;11;26.75;0;0.0;8.75
+;15;35.5;Gisin Yanic;;22;52.75;15;35.5;0;0.0;9.75
-;14;45.25;Scherrer Johann;**;19;53.5;16;44.75;2;-0.5;8.75

17b;Stoll Simon;*;;;;;;;;;54.0
o;;;Gottofrey Marc;**;;;;;;;8.5
+;5;8.5;Burren Patrick;;15;54.5;1;10.0;-4;1.5;9.75
