3381-2016-05-01_112_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
-;4;8.75;Gander Martin;;15;54.75;4;8.75;0;0.0;8.75
+;10;17.5;Bacher Peter;;31;34.25;11;17.25;1;-0.25;10.0
+;10;27.5;Ettlin Michael (1998);;27;35.25;13;26.75;3;-0.75;9.75
o;8;37.25;Niederberger Jakob;**;5;57.25;8;37.25;0;0.0;8.5
o;13;45.75;Gander Adrian;*;10;56.0;12;46.0;-1;0.25;8.5

17k;Durrer Robin;;;;;;;;;;54.25
+;;;Nägeli Daniel;;;;;;;;10.0
o;1;10.0;Käslin Benno;*;12;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Zurfluh Robin (2000);;22;52.75;6;18.5;0;0.0;10.0
o;6;28.5;Murer Andy;*;6;57.0;5;28.75;-1;0.25;8.5
o;9;37.0;Schöpfer Ronny (1999);;10;56.0;8;37.25;-1;0.25;8.75
o;13;45.75;Waser Dominik;**;10;56.0;12;46.0;-1;0.25;8.5

17l;Waser Andrin (1999);;;;;;;;;;54.25
-;;;Burch Thomas;;;;;;;;8.75
-;4;8.75;Kaufmann Jens;;29;34.75;4;8.75;0;0.0;8.75
+;10;17.5;Amrein Simon;;17;54.25;11;17.25;1;-0.25;9.75
o;11;27.25;Amgarten Roman;*;11;55.75;11;27.25;0;0.0;8.5
+;14;35.75;Durrer Markus (1999);;23;52.5;15;35.5;1;-0.25;10.0
o;13;45.75;Arnold Severin;*;12;55.5;13;45.75;0;0.0;8.5

17m;Ming Christian;;;;;;;;;;54.25
o;;;Widmer Thomas;;;;;;;;8.5
+;5;8.5;Wagner Stefan;;12;55.5;4;8.75;-1;0.25;9.75
-;7;18.25;Herger Fabian;*;11;55.75;11;17.25;4;-1.0;8.75
+;12;27.0;Würsch Tom (2000);;23;52.5;12;27.0;0;0.0;10.0
o;9;37.0;Lussi Marco;*;12;55.5;9;37.0;0;0.0;8.75
o;13;45.75;Odermatt Sepp;;10;56.0;12;46.0;-1;0.25;8.5

18a;Zanini David (2000);;;;;;;;;;54.0
-;;;Burch Bruno (2000);;;;;;;;8.75
+;4;8.75;Bünter Rosche (2000);;30;34.5;4;8.75;0;0.0;9.75
o;6;18.5;Barmettler Peter;*;10;56.0;10;17.5;4;-1.0;8.5
o;12;27.0;Ming Hannes (1998);;19;53.75;12;27.0;0;0.0;8.5
-;15;35.5;Fenk Daniel;;18;54.0;15;35.5;0;0.0;8.5
+;20;44.0;Bucher Sandro (2000);;23;52.5;20;44.0;0;0.0;10.0

18b;Durrer Hans;;;;;;;;;;54.0
-;;;Hess Christian;;;;;;;;8.75
o;4;8.75;Nägeli Daniel;;19;53.75;5;8.5;1;-0.25;8.5
+;11;17.25;Wallimann Adrian;;31;34.25;12;17.0;1;-0.25;10.0
o;11;27.25;Arnold Severin;*;12;55.5;11;27.25;0;0.0;8.5
+;14;35.75;Würsch Tom (2000);;23;52.5;15;35.5;1;-0.25;9.75
o;14;45.5;Fässler Dominic;*;13;55.25;14;45.5;0;0.0;8.5

18c;Zumstein Marcel;;;;;;;;;;54.0
+;;;Ziegler Moritz (1998);;;;;;;;10.0
o;1;10.0;Herger Simon;;12;55.5;2;9.75;1;-0.25;8.5
o;6;18.5;Odermatt Andreas;*;12;55.5;7;18.25;1;-0.25;8.5
+;12;27.0;Fanger Manuel (2000);;27;35.25;13;26.75;1;-0.25;9.75
o;10;36.75;Egli Damian;**;14;55.0;11;36.5;1;-0.25;8.5
-;15;45.25;Odermatt Beat;;17;54.25;14;45.5;-1;0.25;8.75

18d;Durrer Ive (2000);;;;;;;;;;54.0
+;;;Imholz Elias (1999);;;;;;;;10.0
o;1;10.0;Odermatt Sepp;;10;56.0;3;9.0;2;-1.0;8.5
o;6;18.5;Niederberger Martin;*;8;56.5;7;18.25;1;-0.25;8.5
o;12;27.0;Imfeld Beat;;17;54.25;12;27.0;0;0.0;8.5
o;15;35.5;Herger Andreas;;17;54.25;14;35.75;-1;0.25;8.5
+;20;44.0;Ziegler Moritz (1998);;23;52.5;20;44.0;0;0.0;10.0

18e;von Moos Adrian;;;;;;;;;;54.0
o;;;Ming Christian 2;;;;;;;;8.5
+;5;8.5;Arnold Sebastian;;23;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Egli Damian;**;14;55.0;12;17.0;5;-1.25;8.5
+;13;26.75;Bucher Sandro (2000);;23;52.5;12;27.0;-1;0.25;10.0
o;10;36.75;Reimann Thomas;*;13;55.25;10;36.75;0;0.0;8.5
-;15;45.25;Herger Lukas;;20;53.5;17;44.75;2;-0.5;8.75

18f;Planzer Urs;;;;;;;;;;54.0
+;;;von Flüe Michael;;;;;;;;10.0
o;1;10.0;Würsch Lars;;13;55.25;2;9.75;1;-0.25;8.5
o;6;18.5;Gasser Stefan;**;12;55.5;10;17.5;4;-1.0;8.5
o;12;27.0;Spichtig Clemens;;11;55.75;11;27.25;-1;0.25;8.5
o;15;35.5;Fessler Linus;;15;54.75;14;35.75;-1;0.25;8.5
+;20;44.0;Durrer Markus (1999);;23;52.5;20;44.0;0;0.0;10.0

18g;Gander Benjamin (2000);;;;;;;;;;54.0
-;;;Gasser Dominik 2 (1998);;;;;;;;8.75
+;4;8.75;Abächerli Marco;;25;35.75;4;8.75;0;0.0;10.0
o;5;18.75;Kempf Elias;**;12;55.5;6;18.5;1;-0.25;8.5
o;11;27.25;Rohrer Beat;*;11;55.75;11;27.25;0;0.0;8.5
o;14;35.75;Baumann Reto;;19;53.75;15;35.5;1;-0.25;8.5
+;19;44.25;Herger André;;19;53.75;15;45.25;-4;1.0;9.75

18h;Ettlin Thomas (2000);;;;;;;;;;54.0
+;;;Kempf Marco (2000);;;;;;;;10.0
o;1;10.0;Burch Jonas (1999);;13;55.25;2;9.75;1;-0.25;8.5
o;6;18.5;Arnold Daniel;;7;56.75;6;18.5;0;0.0;8.5
o;12;27.0;Reimann Thomas;*;13;55.25;12;27.0;0;0.0;8.5
+;15;35.5;Widmer Thomas;;17;54.25;14;35.75;-1;0.25;10.0
o;14;45.5;Töngi Thomas;*;12;55.5;14;45.5;0;0.0;8.5

18i;Rohrer André;;;;;;;;;;54.0
+;;;Käslin Ueli (1999);;;;;;;;9.75
o;2;9.75;Imfeld Beat;;17;54.25;4;8.75;2;-1.0;8.5
-;7;18.25;Nägeli Daniel;;19;53.75;7;18.25;0;0.0;8.75
o;12;27.0;Egli Damian;**;14;55.0;13;26.75;1;-0.25;8.5
+;15;35.5;Arnold Sebastian;;23;52.5;15;35.5;0;0.0;9.75
-;15;45.25;Durrer Nando (1999);;19;53.75;16;45.0;1;-0.25;8.75

18j;Gasser Dominik 2 (1998);;;;;;;;;;54.0
-;;;Gander Benjamin (2000);;;;;;;;8.75
+;4;8.75;Burch Thomas;;16;54.5;4;8.75;0;0.0;10.0
o;5;18.75;Britschgi Melk;**;6;57.0;6;18.5;1;-0.25;8.5
+;11;27.25;Hurschler Mauri (1999);;27;35.25;13;26.75;2;-0.5;9.75
o;9;37.0;Odermatt Andreas;*;12;55.5;10;36.75;1;-0.25;8.5
o;14;45.5;Herger Simon;;12;55.5;14;45.5;0;0.0;8.5

18k;Fenk Daniel;;;;;;;;;;54.0
o;;;Bacher Andreas;;;;;;;;8.5
+;5;8.5;Enz Remo (1998);;32;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Arnold Raphael;*;9;56.25;8;18.0;2;-0.5;8.5
o;12;27.0;Riedi Adrian;;17;54.25;12;27.0;0;0.0;8.5
-;15;35.5;Zanini David (2000);;18;54.0;15;35.5;0;0.0;8.5
+;20;44.0;Stadler Johannes;;23;52.5;20;44.0;0;0.0;10.0

18l;Bissig Fabian;;;;;;;;;;54.0
o;;;Graber Sandro;;;;;;;;8.5
o;5;8.5;Odermatt Beat;;17;54.25;5;8.5;0;0.0;8.5
+;12;17.0;Käslin Ueli (1999);;27;35.25;12;17.0;0;0.0;10.0
+;12;27.0;Bacher Peter;;31;34.25;17;25.75;5;-1.25;9.75
o;10;36.75;Bürgi Reto;*;13;55.25;9;37.0;-1;0.25;8.5
-;15;45.25;Vonlaufen Lukas;*;19;53.75;16;45.0;1;-0.25;8.75

18m;Ming Christian 2;;;;;;;;;;54.0
+;;;von Moos Adrian;;;;;;;;10.0
-;1;10.0;Stadler Johannes;;23;52.5;2;9.75;1;-0.25;8.75
+;5;18.75;Töngi Thomas;*;12;55.5;6;18.5;1;-0.25;9.75
o;6;28.5;Herger Matthias;**;8;56.5;7;28.25;1;-0.25;8.5
o;9;37.0;Burch Jonas (1999);;13;55.25;10;36.75;1;-0.25;8.5
o;14;45.5;Röthlin Pascal;;13;55.25;14;45.5;0;0.0;8.5

19a;Betschart Patrick (1999);;;;;;;;;;53.75
o;;;Käslin Ruedi;;;;;;;;8.5
+;5;8.5;Amrein Simon;;17;54.25;4;8.75;-1;0.25;10.0
o;6;18.5;Scheuber Lutz;**;6;57.0;6;18.5;0;0.0;8.5
+;12;27.0;von Flüe Michael;;24;44.0;13;26.75;1;-0.25;9.75
o;10;36.75;Hess Florian;;8;56.5;10;36.75;0;0.0;8.5
o;15;45.25;von Ah Markus;;12;55.5;14;45.5;-1;0.25;8.5

19b;Baumann Reto;;;;;;;;;;53.75
o;;;Fleischmann Fabian;;;;;;;;8.5
o;5;8.5;Zumstein Patrick;;15;54.75;5;8.5;0;0.0;8.5
+;12;17.0;Kaiser Sandro (1998);;22;52.75;11;17.25;-1;0.25;10.0
o;12;27.0;Reichmuth Armin;*;15;54.75;15;26.25;3;-0.75;8.5
+;15;35.5;Gander Benjamin (2000);;18;54.0;14;35.75;-1;0.25;9.75
o;15;45.25;Diener Pirmin;*;14;55.0;15;45.25;0;0.0;8.5

19c;Nägeli Daniel;;;;;;;;;;53.75
o;;;Durrer Robin;;;;;;;;8.5
+;5;8.5;Durrer Hans;;18;54.0;4;8.75;-1;0.25;9.75
-;7;18.25;Rohrer André;;18;54.0;7;18.25;0;0.0;8.75
o;12;27.0;Wyrsch Marco;*;13;55.25;14;26.5;2;-0.5;8.5
o;15;35.5;Michel Silvan;;16;54.5;14;35.75;-1;0.25;8.5
+;20;44.0;Zurfluh Robin (2000);;22;52.75;19;44.25;-1;0.25;9.75

19d;Vonlaufen Lukas;*;;;;;;;;;53.75
-;;;Arnold Andreas;*;;;;;;;8.75
-;4;8.75;Egli Manuel;*;15;54.75;5;8.5;1;-0.25;8.75
+;10;17.5;Abächerli Fabio (1998);;21;53.0;6;18.5;-4;1.0;10.0
-;10;27.5;Wicki Patrick;;19;53.75;9;27.75;-1;0.25;8.75
-;12;36.25;Graber Sandro;;19;53.75;11;36.5;-1;0.25;8.75
-;16;45.0;Bissig Fabian;;18;54.0;15;45.25;-1;0.25;8.75

19e;Gasser Dominik 1;;;;;;;;;;53.75
+;;;Hurschler Mauri (1999);;;;;;;;9.75
o;2;9.75;Gut Koni;;35;27.0;4;8.75;2;-1.0;8.5
+;7;18.25;Arnold Philipp (2000);;27;35.25;7;18.25;0;0.0;10.0
o;7;28.25;Bernhard Lukas;*;11;55.75;5;28.75;-2;0.5;8.5
o;10;36.75;Kempf Damian;;13;55.25;10;36.75;0;0.0;8.5
o;15;45.25;Muff André;*;14;55.0;15;45.25;0;0.0;8.5

19f;Ming Hannes (1998);;;;;;;;;;53.75
+;;;Wallimann Adrian;;;;;;;;10.0
o;1;10.0;Albert Thomas;;14;55.0;1;10.0;0;0.0;8.5
o;6;18.5;Gassmann Fabian;**;7;56.75;6;18.5;0;0.0;8.5
+;12;27.0;Zanini David (2000);;18;54.0;12;27.0;0;0.0;9.75
o;10;36.75;Scherer Niklaus;;12;55.5;10;36.75;0;0.0;8.5
o;15;45.25;Ettlin Martin (1998);;12;55.5;14;45.5;-1;0.25;8.5

19g;Wicki Patrick;;;;;;;;;;53.75
-;;;Gut Koni;;;;;;;;8.75
-;4;8.75;Durrer Nando (1999);;19;53.75;2;9.75;-2;1.0;9.0
+;9;17.75;Müller Patrick (1999);;27;35.25;7;18.25;-2;0.5;10.0
-;9;27.75;Vonlaufen Lukas;*;19;53.75;10;27.5;1;-0.25;8.75
o;11;36.5;Wyrsch Marco;*;13;55.25;11;36.5;0;0.0;8.5
-;16;45.0;Hess Christian;;20;53.5;17;44.75;1;-0.25;8.75

19h;Rohrer Henry;;;;;;;;;;53.75
-;;;Zurfluh Michael (1999);;;;;;;;8.75
+;4;8.75;Huber Stefan;;27;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Arnold Stefan;**;10;56.0;10;17.5;4;-1.0;8.5
o;12;27.0;Gander Michael (1998);;17;54.25;16;26.0;4;-1.0;8.5
+;15;35.5;Zurfluh Robin (2000);;22;52.75;15;35.5;0;0.0;9.75
o;15;45.25;Egli Manuel;*;15;54.75;17;44.75;2;-0.5;8.5

19i;Herger André;;;;;;;;;;53.75
o;;;Albert Thomas;;;;;;;;8.5
+;5;8.5;Vogler Jakob (2000);;32;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Lussi Marco;*;12;55.5;10;17.5;4;-1.0;8.5
+;12;27.0;von Ah Quirin (2000);;22;52.75;12;27.0;0;0.0;9.75
o;10;36.75;Niederberger Markus;*;13;55.25;10;36.75;0;0.0;8.5
o;15;45.25;Gander Benjamin (2000);;18;54.0;19;44.25;4;-1.0;8.5

19j;Graber Sandro;;;;;;;;;;53.75
+;;;Bissig Fabian;;;;;;;;9.75
+;2;9.75;Kempf Damian;;13;55.25;2;9.75;0;0.0;9.75
o;3;19.5;Zimmermann Martin;**;11;55.75;6;18.5;3;-1.0;8.5
o;8;28.0;Zurfluh Michael (1999);;12;55.5;11;27.25;3;-0.75;8.5
-;11;36.5;Vonlaufen Lukas;*;19;53.75;12;36.25;1;-0.25;8.75
o;15;45.25;Würsch Lars;;13;55.25;14;45.5;-1;0.25;8.5

19k;Durrer Nando (1999);;;;;;;;;;53.75
+;;;Kaiser Sandro (1998);;;;;;;;9.75
-;2;9.75;Wicki Patrick;;19;53.75;4;8.75;2;-1.0;9.0
-;5;18.75;Langenstein Philip;*;13;55.25;6;18.5;1;-0.25;8.75
-;10;27.5;Zumstein Patrick;;15;54.75;11;27.25;1;-0.25;9.0
o;11;36.5;Lang Sven (1998);*;13;55.25;14;35.75;3;-0.75;8.5
-;16;45.0;Rohrer André;;18;54.0;15;45.25;-1;0.25;8.75

19l;Fellmann Simon;;;;;;;;;;53.75
+;;;Hess Florian;;;;;;;;9.75
-;2;9.75;Fleischmann Fabian;;20;53.5;1;10.0;-1;0.25;8.75
o;6;18.5;von Ah Benji;***;6;57.0;6;18.5;0;0.0;8.5
+;12;27.0;Stadler Johannes;;23;52.5;12;27.0;0;0.0;9.75
o;10;36.75;Käslin Benno;*;12;55.5;9;37.0;-1;0.25;8.5
o;15;45.25;Wagner Stefan;;12;55.5;14;45.5;-1;0.25;8.5

20a;Hess Christian;;;;;;;;;;53.5
-;;;Durrer Hans;;;;;;;;8.75
o;4;8.75;Scherer Niklaus;;12;55.5;5;8.5;1;-0.25;8.5
-;11;17.25;Kaufmann Jens;;29;34.75;10;17.5;-1;0.25;8.75
+;16;26.0;Müller Patrick (1999);;27;35.25;13;26.75;-3;0.75;10.0
-;13;36.0;Egli Manuel;*;15;54.75;13;36.0;0;0.0;8.75
-;17;44.75;Wicki Patrick;;19;53.75;16;45.0;-1;0.25;8.75

20b;Fleischmann Fabian;;;;;;;;;;53.5
+;;;Baumann Reto;;;;;;;;10.0
-;1;10.0;Fellmann Simon;;19;53.75;2;9.75;1;-0.25;8.75
-;5;18.75;Arnold Andreas;*;15;54.75;6;18.5;1;-0.25;8.75
o;10;27.5;Waser Dominik;**;10;56.0;11;27.25;1;-0.25;8.5
-;13;36.0;Arnold Fabian;;15;54.75;13;36.0;0;0.0;8.75
-;17;44.75;Zberg Leo;;21;53.0;19;44.25;2;-0.5;8.75

20c;Bacher Andreas;;;;;;;;;;53.5
+;;;Fenk Daniel;;;;;;;;9.75
o;2;9.75;Zurfluh Michael (1999);;12;55.5;4;8.75;2;-1.0;8.5
+;7;18.25;Gisler Mario (2000);;27;35.25;7;18.25;0;0.0;9.75
o;8;28.0;Barmettler Peter;*;10;56.0;10;27.5;2;-0.5;8.5
o;11;36.5;Arnold Andreas;*;15;54.75;14;35.75;3;-0.75;8.5
o;16;45.0;Wagner Severin (1998);;13;55.25;15;45.25;-1;0.25;8.5

20d;Herger Lukas;;;;;;;;;;53.5
-;;;von Flüe Marco;;;;;;;;8.75
+;4;8.75;Bacher Peter;;31;34.25;4;8.75;0;0.0;10.0
-;5;18.75;Amgarten Roman;*;11;55.75;6;18.5;1;-0.25;8.75
o;10;27.5;Zurbuchen Martin;;14;55.0;10;27.5;0;0.0;8.75
o;12;36.25;Reichmuth Armin;*;15;54.75;12;36.25;0;0.0;8.5
-;17;44.75;von Moos Adrian;;18;54.0;15;45.25;-2;0.5;8.75

21a;Imfeld Christian;*;;;;;;;;;53.0
o;;;Niederberger Martin;*;;;;;;;8.5
o;5;8.5;Niederberger Jakob;**;5;57.25;4;8.75;-1;0.25;8.5
+;12;17.0;Kempf Damian;;13;55.25;7;18.25;-5;1.25;10.0
-;12;27.0;Burch Thomas;;16;54.5;11;27.25;-1;0.25;8.75
-;14;35.75;Wagner Severin (1998);;13;55.25;11;36.5;-3;0.75;8.75
o;18;44.5;Gander Michael (1998);;17;54.25;18;44.5;0;0.0;8.5

21b;Abächerli Fabio (1998);;;;;;;;;;53.0
+;;;Bucher Sandro (2000);;;;;;;;10.0
o;1;10.0;Ettlin Martin (1998);;12;55.5;1;10.0;0;0.0;8.5
o;6;18.5;Vonlaufen Lukas;*;19;53.75;10;17.5;4;-1.0;8.5
-;12;27.0;Herger Andreas;;17;54.25;12;27.0;0;0.0;8.75
-;14;35.75;von Ah Quirin (2000);;22;52.75;15;35.5;1;-0.25;8.75
o;18;44.5;Arnold Fabian;;15;54.75;17;44.75;-1;0.25;8.5

21c;Burch Simon (2000);;;;;;;;;;53.0
o;;;Arnold Philipp (2000);;;;;;;;8.5
-;5;8.5;Kempf Marco (2000);;30;34.5;5;8.5;0;0.0;8.75
+;11;17.25;Vogler Jakob (2000);;32;34.0;12;17.0;1;-0.25;10.0
o;11;27.25;Langenstein Philip;*;13;55.25;11;27.25;0;0.0;8.5
-;14;35.75;Imholz Elias (1999);;22;52.75;15;35.5;1;-0.25;8.75
o;18;44.5;Herger Peter;;14;55.0;16;45.0;-2;0.5;8.5

21d;Zberg Leo;;;;;;;;;;53.0
-;;;Michel Silvan;;;;;;;;8.75
o;4;8.75;Hess Florian;;8;56.5;5;8.5;1;-0.25;8.5
o;11;17.25;Rentsch Christian (1998);;16;54.5;10;17.5;-1;0.25;8.5
+;17;25.75;Bünter Rosche (2000);;30;34.5;16;26.0;-1;0.25;10.0
o;14;35.75;Diener Pirmin;*;14;55.0;15;35.5;1;-0.25;8.5
-;19;44.25;Fleischmann Fabian;;20;53.5;17;44.75;-2;0.5;8.75

22a;Zurfluh Robin (2000);;;;;;;;;;52.75
+;;;von Wyl Simon (1999);;;;;;;;10.0
o;1;10.0;Enz Simon;;33;28.25;1;10.0;0;0.0;8.5
o;6;18.5;Durrer Robin;;17;54.25;6;18.5;0;0.0;8.5
o;12;27.0;Amrein Simon;;17;54.25;17;25.75;5;-1.25;8.5
o;15;35.5;Rohrer Henry;;19;53.75;15;35.5;0;0.0;8.75
o;19;44.25;Nägeli Daniel;;19;53.75;20;44.0;1;-0.25;8.5

22b;von Ah Quirin (2000);;;;;;;;;;52.75
+;;;Enz Remo (1998);;;;;;;;10.0
o;1;10.0;Wallimann Remo;;14;55.0;3;9.0;2;-1.0;8.5
o;6;18.5;Egli Manuel;*;15;54.75;11;17.25;5;-1.25;8.5
o;12;27.0;Herger André;;19;53.75;12;27.0;0;0.0;8.5
-;15;35.5;Abächerli Fabio (1998);;21;53.0;14;35.75;-1;0.25;8.75
o;19;44.25;Burch Thomas;;16;54.5;18;44.5;-1;0.25;8.5

22c;Kaiser Sandro (1998);;;;;;;;;;52.75
o;;;Durrer Nando (1999);;;;;;;;8.5
-;5;8.5;Ziegler Moritz (1998);;23;52.5;5;8.5;0;0.0;8.75
o;11;17.25;Baumann Reto;;19;53.75;12;17.0;1;-0.25;8.5
+;17;25.75;Burch Bruno (2000);;30;34.5;16;26.0;-1;0.25;9.75
o;15;35.5;Lang Sven (1998);*;13;55.25;14;35.75;-1;0.25;8.5
-;20;44.0;Baumgartner Silvan (1999);;22;52.75;20;44.0;0;0.0;8.75

22d;Baumgartner Silvan (1999);;;;;;;;;;52.75
o;;;Ettlin Michael (1998);;;;;;;;8.5
o;5;8.5;von Ah Markus;;12;55.5;5;8.5;0;0.0;8.5
o;12;17.0;von Flüe Michael;;24;44.0;12;17.0;0;0.0;8.5
+;18;25.5;Vogler Jakob (2000);;32;34.0;18;25.5;0;0.0;10.0
o;15;35.5;Muff André;*;14;55.0;15;35.5;0;0.0;8.5
-;20;44.0;Kaiser Sandro (1998);;22;52.75;20;44.0;0;0.0;8.75

22e;Imholz Elias (1999);;;;;;;;;;52.75
o;;;Burch Jonas (1999);;;;;;;;8.5
o;5;8.5;Durrer Ive (2000);;18;54.0;1;10.0;-4;1.5;8.5
o;12;17.0;Burch Thomas;;16;54.5;11;17.25;-1;0.25;8.5
+;18;25.5;Risi Janik (2000);;32;34.0;18;25.5;0;0.0;10.0
-;15;35.5;Burch Simon (2000);;21;53.0;14;35.75;-1;0.25;8.75
o;19;44.25;Zumstein Patrick;;15;54.75;17;44.75;-2;0.5;8.5

23a;Ziegler Moritz (1998);;;;;;;;;;52.5
o;;;Zumstein Marcel;;;;;;;;8.5
-;5;8.5;Kaiser Sandro (1998);;22;52.75;5;8.5;0;0.0;8.75
+;11;17.25;Durrer Lukas (1999);;29;34.75;10;17.5;-1;0.25;9.75
o;12;27.0;von Flüe Marco;;13;55.25;12;27.0;0;0.0;8.5
o;15;35.5;Wagner Stefan;;12;55.5;14;35.75;-1;0.25;8.5
o;20;44.0;Durrer Ive (2000);;18;54.0;20;44.0;0;0.0;8.5

23b;Würsch Tom (2000);;;;;;;;;;52.5
o;;;Rohrer Marco (1999);;;;;;;;8.5
+;5;8.5;Bucher Sandro (2000);;23;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Fässler Dominic;*;13;55.25;11;17.25;5;-1.25;8.5
o;12;27.0;Ming Christian;;17;54.25;12;27.0;0;0.0;8.5
o;15;35.5;Durrer Hans;;18;54.0;14;35.75;-1;0.25;8.5
o;20;44.0;Spichtig Clemens;;11;55.75;13;45.75;-7;1.75;8.5

23c;Durrer Markus (1999);;;;;;;;;;52.5
+;;;Abächerli Marco;;;;;;;;10.0
o;1;10.0;Waser Raphael (1998);;34;28.0;2;9.75;1;-0.25;8.5
o;6;18.5;Käslin Ruedi;;13;55.25;6;18.5;0;0.0;8.5
o;12;27.0;Herger Fabian;*;11;55.75;16;26.0;4;-1.0;8.5
o;15;35.5;Waser Andrin (1999);;17;54.25;14;35.75;-1;0.25;8.5
o;20;44.0;Planzer Urs;;18;54.0;20;44.0;0;0.0;8.5

23d;Stadler Johannes;;;;;;;;;;52.5
+;;;Röthlin Pascal;;;;;;;;9.75
-;2;9.75;Ming Christian 2;;18;54.0;1;10.0;-1;0.25;8.75
o;6;18.5;Schurtenberger Sven;**;5;57.25;10;17.5;4;-1.0;8.5
o;12;27.0;Fellmann Simon;;19;53.75;12;27.0;0;0.0;8.5
o;15;35.5;Fenk Daniel;;18;54.0;15;35.5;0;0.0;8.5
o;20;44.0;Widmer Thomas;;17;54.25;19;44.25;-1;0.25;8.5

23e;Arnold Sebastian;;;;;;;;;;52.5
o;;;Ettlin Martin (1998);;;;;;;;8.5
o;5;8.5;von Moos Adrian;;18;54.0;5;8.5;0;0.0;8.5
+;12;17.0;Enz Remo (1998);;32;34.0;12;17.0;0;0.0;10.0
o;12;27.0;Töngi Thomas;*;12;55.5;12;27.0;0;0.0;8.5
o;15;35.5;Rohrer André;;18;54.0;15;35.5;0;0.0;8.5
o;20;44.0;Amrein Simon;;17;54.25;19;44.25;-1;0.25;8.5

23f;Bucher Sandro (2000);;;;;;;;;;52.5
o;;;Abächerli Fabio (1998);;;;;;;;8.5
o;5;8.5;Würsch Tom (2000);;23;52.5;5;8.5;0;0.0;8.5
+;12;17.0;Risi Janik (2000);;32;34.0;12;17.0;0;0.0;10.0
o;12;27.0;von Moos Adrian;;18;54.0;13;26.75;1;-0.25;8.5
o;15;35.5;Hess Dominik;*;15;54.75;14;35.75;-1;0.25;8.5
o;20;44.0;Zanini David (2000);;18;54.0;20;44.0;0;0.0;8.5

24a;von Flüe Michael;;;;;;;;;;44.0
o;;;Planzer Urs;;;;;;;;8.5
o;5;8.5;Herger Andreas;;17;54.25;5;8.5;0;0.0;8.5
+;12;17.0;Baumgartner Silvan (1999);;22;52.75;12;17.0;0;0.0;9.75
o;13;26.75;Betschart Patrick (1999);;19;53.75;12;27.0;-1;0.25;8.75
o;15;35.5;Odermatt Beat;;17;54.25;15;35.5;0;0.0;8.5

25a;Abächerli Marco;;;;;;;;;;35.75
o;;;Durrer Markus (1999);;;;;;;;8.75
o;4;8.75;Gander Benjamin (2000);;18;54.0;4;8.75;0;0.0;8.5
+;11;17.25;Kathriner Severin (2000);;32;34.0;12;17.0;1;-0.25;10.0
o;11;27.25;Bürgi Reto;*;13;55.25;12;27.0;1;-0.25;8.5

26a;Rohrer Marco (1999);;;;;;;;;;35.5
+;;;Würsch Tom (2000);;;;;;;;10.0
o;1;10.0;von Deschwanden Patrick;;17;54.25;2;9.75;1;-0.25;8.5
o;6;18.5;Hess Dominik;*;15;54.75;11;17.25;5;-1.25;8.5
o;12;27.0;Gander Martin;;15;54.75;11;27.25;-1;0.25;8.5

27a;Gisler Mario (2000);;;;;;;;;;35.25
+;;;Vogler Jakob (2000);;;;;;;;9.75
o;2;9.75;von Flüe Marco;;13;55.25;4;8.75;2;-1.0;8.5
o;7;18.25;Bacher Andreas;;20;53.5;7;18.25;0;0.0;8.5
o;13;26.75;Rohrer Ueli (1999);;15;54.75;11;27.25;-2;0.5;8.5

27b;Fanger Manuel (2000);;;;;;;;;;35.25
+;;;Bacher Peter;;;;;;;;9.75
o;2;9.75;Amgarten Martin;;4;57.5;4;8.75;2;-1.0;8.5
o;7;18.25;Vogler Daniel;*;36;26.75;12;17.0;5;-1.25;8.5
o;13;26.75;Zumstein Marcel;;18;54.0;12;27.0;-1;0.25;8.5

27c;Hurschler Mauri (1999);;;;;;;;;;35.25
o;;;Gasser Dominik 1;;;;;;;;8.5
+;5;8.5;Wallimann Adrian;;31;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Scherer Niklaus;;12;55.5;7;18.25;0;0.0;8.5
o;13;26.75;Gasser Dominik 2 (1998);;18;54.0;11;27.25;-2;0.5;8.5

27d;Ettlin Michael (1998);;;;;;;;;;35.25
+;;;Baumgartner Silvan (1999);;;;;;;;9.75
o;2;9.75;Zimmermann Armin;;17;54.25;3;9.0;1;-0.75;8.5
o;7;18.25;Hurschler Adrian;;17;54.25;10;17.5;3;-0.75;8.5
o;13;26.75;Muff André;*;14;55.0;17;25.75;4;-1.0;8.5

27e;Burch Pascal;;;;;;;;;;35.25
o;;;Waser Raphael (1998);;;;;;;;8.5
o;5;8.5;Wagner Severin (1998);;13;55.25;5;8.5;0;0.0;8.5
o;12;17.0;Fessler Linus;;15;54.75;11;17.25;-1;0.25;8.5
+;18;25.5;Kempf Marco (2000);;30;34.5;16;26.0;-2;0.5;9.75

27f;von Wyl Simon (1999);;;;;;;;;;35.25
