3381-2016-05-01_112_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;4;38.25;Arnold Raphael;*;9;56.25;5;38.0;1;-0.25;10.0
o;3;48.25;Ulrich Andreas;***;3;57.75;5;47.75;2;-0.5;8.5

7d;Zimmermann Simon;*;;;;;;;;;56.75
-;;;Arnold Stefan;**;;;;;;;8.75
+;4;8.75;Diener Pirmin;*;14;55.0;5;8.5;1;-0.25;9.75
+;6;18.5;Michel Silvan;;16;54.5;5;18.75;-1;0.25;10.0
+;6;28.5;Scherer Niklaus;;12;55.5;7;28.25;1;-0.25;9.75
o;4;38.25;Ulrich Andreas;***;3;57.75;6;37.75;2;-0.5;8.5
+;9;46.75;Kempf Damian;;13;55.25;9;46.75;0;0.0;10.0

7e;Binggeli Stefan;;;;;;;;;;56.75
+;;;Fessler Linus;;;;;;;;10.0
+;1;10.0;Rohrer Ueli (1999);;15;54.75;1;10.0;0;0.0;10.0
o;1;20.0;Imhof Andi;***;2;58.25;5;18.75;4;-1.25;8.5
+;6;28.5;Omlin Toni;*;10;56.0;6;28.5;0;0.0;9.75
o;4;38.25;Gassmann Fabian;**;7;56.75;4;38.25;0;0.0;8.5
+;9;46.75;Rohrer Ivan;*;13;55.25;9;46.75;0;0.0;10.0

7f;Gassmann Fabian;**;;;;;;;;;56.75
-;;;Muff André;*;;;;;;;8.75
+;4;8.75;Gander Adrian;*;10;56.0;4;8.75;0;0.0;9.75
+;6;18.5;Ming Hannes (1998);;19;53.75;6;18.5;0;0.0;10.0
+;6;28.5;Gloggner Philipp;***;5;57.25;5;28.75;-1;0.25;9.75
+;4;38.25;Binggeli Stefan;;7;56.75;4;38.25;0;0.0;10.0
o;3;48.25;Imhof Andi;***;2;58.25;3;48.25;0;0.0;8.5

8a;Hess Florian;;;;;;;;;;56.5
o;;;Fellmann Simon;;;;;;;;8.5
+;5;8.5;Zberg Leo;;21;53.0;4;8.75;-1;0.25;9.75
+;7;18.25;Lang Sven (1998);*;13;55.25;12;17.0;5;-1.25;10.0
o;7;28.25;Arnold Raphael;*;9;56.25;8;28.0;1;-0.25;8.5
+;10;36.75;Betschart Patrick (1999);;19;53.75;10;36.75;0;0.0;9.75
+;10;46.5;Niederberger Markus;*;13;55.25;9;46.75;-1;0.25;10.0

8b;Anderegg Simon;***;;;;;;;;;56.5
+;;;Gasser Stefan;**;;;;;;;9.75
+;2;9.75;Bernhard Lukas;*;11;55.75;1;10.0;-1;0.25;9.75
+;3;19.5;Odermatt Christian;**;7;56.75;3;19.5;0;0.0;9.75
o;3;29.25;Imhof Andi;***;2;58.25;5;28.75;2;-0.5;8.5
+;6;37.75;Odermatt Sepp;;10;56.0;7;37.5;1;-0.25;10.0
-;5;47.75;Mathis Marcel;***;9;56.25;6;47.5;1;-0.25;8.75

8c;Niederberger Martin;*;;;;;;;;;56.5
+;;;Imfeld Christian;*;;;;;;;9.75
o;2;9.75;Imhof Andi;***;2;58.25;4;8.75;2;-1.0;8.5
+;7;18.25;Durrer Ive (2000);;18;54.0;6;18.5;-1;0.25;10.0
+;7;28.25;von Ah Markus;;12;55.5;7;28.25;0;0.0;10.0
o;4;38.25;Britschgi Melk;**;6;57.0;7;37.5;3;-0.75;8.5
+;9;46.75;Albert Thomas;;14;55.0;10;46.5;1;-0.25;9.75

8d;Rohrer Marco;**;;;;;;;;;56.5
+;;;Zurfluh Markus;**;;;;;;;10.0
-;1;10.0;Reichmuth Pirmin;**;6;57.0;4;8.75;3;-1.25;8.75
+;5;18.75;Herger Peter;;14;55.0;3;19.5;-2;0.75;10.0
-;5;28.75;Ulrich Andreas;***;3;57.75;5;28.75;0;0.0;9.0
+;6;37.75;Rentsch Christian (1998);;16;54.5;7;37.5;1;-0.25;9.75
-;6;47.5;Odermatt Remo;*;11;55.75;8;47.0;2;-0.5;9.0

8e;Herger Matthias;**;;;;;;;;;56.5
+;;;Egli Damian;**;;;;;;;10.0
+;1;10.0;Töngi Thomas;*;12;55.5;1;10.0;0;0.0;9.75
o;2;19.75;Laimbacher Philipp;***;1;58.5;1;20.0;-1;0.25;8.5
+;7;28.25;Ming Christian 2;;18;54.0;6;28.5;-1;0.25;10.0
+;4;38.25;Albert Thomas;;14;55.0;5;38.0;1;-0.25;9.75
o;4;48.0;Wicki Joel;**;2;58.25;3;48.25;-1;0.25;8.5

9a;Briker Michael;*;;;;;;;;;56.25
+;;;Odermatt Andreas;*;;;;;;;9.75
o;2;9.75;Ulrich Andreas;***;3;57.75;4;8.75;2;-1.0;8.75
+;6;18.5;Imfeld Beat;;17;54.25;6;18.5;0;0.0;10.0
-;6;28.5;Zimmermann Martin;**;11;55.75;6;28.5;0;0.0;9.0
+;7;37.5;Spichtig Clemens;;11;55.75;8;37.25;1;-0.25;10.0
o;6;47.5;Niederberger Jakob;**;5;57.25;7;47.25;1;-0.25;8.75

9b;Arnold Raphael;*;;;;;;;;;56.25
-;;;Hess Dominik;*;;;;;;;9.0
-;3;9.0;Mathis Marcel;***;9;56.25;4;8.75;1;-0.25;9.0
+;8;18.0;Fenk Daniel;;18;54.0;6;18.5;-2;0.5;10.0
+;8;28.0;Hess Florian;;8;56.5;7;28.25;-1;0.25;10.0
o;5;38.0;Odermatt Christian;**;7;56.75;4;38.25;-1;0.25;8.5
+;10;46.5;Rohrer Ueli (1999);;15;54.75;11;46.25;1;-0.25;9.75

9c;Mathis Marcel;***;;;;;;;;;56.25
-;;;Reichmuth Pirmin;**;;;;;;;8.75
-;4;8.75;Arnold Raphael;*;9;56.25;3;9.0;-1;0.25;8.75
+;10;17.5;Widmer Thomas;;17;54.25;6;18.5;-4;1.0;10.0
+;10;27.5;Niederberger Markus;*;13;55.25;7;28.25;-3;0.75;10.0
+;7;37.5;Vogel Remo;*;16;54.5;7;37.5;0;0.0;10.0
-;6;47.5;Anderegg Simon;***;8;56.5;5;47.75;-1;0.25;8.75

10a;Zurfluh Markus;**;;;;;;;;;56.0
o;;;Rohrer Marco;**;;;;;;;8.5
-;5;8.5;Barmettler Peter;*;10;56.0;4;8.75;-1;0.25;8.75
+;11;17.25;Odermatt Beat;;17;54.25;6;18.5;-5;1.25;10.0
+;11;27.25;Wagner Stefan;;12;55.5;11;27.25;0;0.0;10.0
-;8;37.25;Waser Dominik;**;10;56.0;8;37.25;0;0.0;8.75
+;12;46.0;Burch Jonas (1999);;13;55.25;9;46.75;-3;0.75;10.0

10b;Omlin Toni;*;;;;;;;;;56.0
+;;;Egli Manuel;*;;;;;;;10.0
o;1;10.0;Laimbacher Philipp;***;1;58.5;1;10.0;0;0.0;8.75
+;5;18.75;Odermatt Sepp;;10;56.0;4;19.0;-1;0.25;9.75
o;6;28.5;Binggeli Stefan;;7;56.75;6;28.5;0;0.0;8.75
-;8;37.25;Zurfluh Michael (1999);;12;55.5;9;37.0;1;-0.25;9.0
+;11;46.25;Vogel Remo;*;16;54.5;12;46.0;1;-0.25;9.75

10c;Odermatt Sepp;;;;;;;;;;56.0
-;;;Hauser Roman (2000);;;;;;;;9.0
+;3;9.0;Durrer Ive (2000);;18;54.0;1;10.0;-2;1.0;10.0
o;4;19.0;Omlin Toni;*;10;56.0;5;18.75;1;-0.25;8.5
