5596-2021-09-12_Luzerner_Kantonales_Schwingfest-ST

1a;Wicki Joel;***;;;;;;;;;59.0
15l;Birchler Fabian;;;;;;;;;;55.0
+;;;Zgraggen Peter;;;;;;;;10.0
+;1;10.0;Theiler Nils (2004);;28;35.5;2;9.75;1;-0.25;10.0
o;1;20.0;Lustenberger Josef;*;7;57.0;5;18.75;4;-1.25;8.75
o;5;28.75;Thierstein Marco;*;8;56.75;6;28.5;1;-0.25;8.75
o;8;37.5;Lustenberger Marc (2003);*;6;57.25;7;37.75;-1;0.25;8.5
-;12;46.0;Bühlmann Daniel;;17;54.5;14;45.5;2;-0.5;9.0

15m;Albert Thomas;;;;;;;;;;55.0
+;;;Grüter Marcel;;;;;;;;9.75
+;2;9.75;Gloggner Matthias (2005);;29;35.25;2;9.75;0;0.0;9.75
o;3;19.5;Schnider Markus;*;7;57.0;6;18.5;3;-1.0;8.5
+;8;28.0;Huser Tobias;;16;54.75;8;28.0;0;0.0;10.0
o;6;38.0;Riebli Urs;*;10;56.25;7;37.75;1;-0.25;8.5
o;10;46.5;Jund Matthias;*;6;57.25;7;47.25;-3;0.75;8.5

16a;Ulrich Marco;**;;;;;;;;;54.75
o;;;Fankhauser Marco;**;;;;;;;8.5
+;5;8.5;Zürcher Ueli;*;38;17.0;5;8.5;0;0.0;9.75
+;7;18.25;Egli Adrian;;15;55.0;4;19.0;-3;0.75;9.75
o;8;28.0;Bühler Ramon;;14;55.25;7;28.25;-1;0.25;8.5
o;12;36.5;Wyrsch Silvio;*;8;56.75;11;36.75;-1;0.25;8.5
+;16;45.0;Widmer Dominik;;19;54.0;14;45.5;-2;0.5;9.75

16b;Ettlin Michael;;;;;;;;;;54.75
-;;;Doppmann Ueli;;;;;;;;9.0
+;3;9.0;Bieri Crispin (2005);;23;53.0;4;8.75;1;-0.25;9.75
o;5;18.75;Kurmann Toni;*;7;57.0;6;18.5;1;-0.25;8.5
-;11;27.25;Theiler Thomas;;16;54.75;11;27.25;0;0.0;9.0
+;13;36.25;Rust Sandro;;16;54.75;12;36.5;-1;0.25;9.75
o;12;46.0;Thalmann Thomas;*;12;55.75;13;45.75;1;-0.25;8.75

16c;Felder Ivan (2004);;;;;;;;;;54.75
-;;;Egli Adrian;;;;;;;;9.0
+;3;9.0;Theiler Thomas;;16;54.75;1;10.0;-2;1.0;9.75
o;5;18.75;Vogel Marcel;*;14;55.25;6;18.5;1;-0.25;8.5
+;11;27.25;Suter Nicolas (2003);;29;35.25;13;26.75;2;-0.5;10.0
o;9;37.25;Fellmann Roman;**;6;57.25;9;37.25;0;0.0;8.5
-;13;45.75;Amrhyn Jonas (2003);;17;54.5;14;45.5;1;-0.25;9.0

16d;Theiler Thomas;;;;;;;;;;54.75
+;;;Gloggner André;;;;;;;;10.0
o;1;10.0;Felder Ivan (2004);;16;54.75;3;9.0;2;-1.0;8.75
o;5;18.75;Lussi Marco;**;14;55.25;10;17.5;5;-1.25;8.5
-;11;27.25;Ettlin Michael;;16;54.75;11;27.25;0;0.0;9.0
o;13;36.25;Bucher André;;15;55.0;12;36.5;-1;0.25;8.5
+;17;44.75;Vogel Ivo;;24;52.75;19;44.25;2;-0.5;10.0

16e;Rust Sandro;;;;;;;;;;54.75
o;;;Häller Nick;;;;;;;;8.5
+;5;8.5;Schöpfer Roman (2003);;29;35.25;5;8.5;0;0.0;9.75
+;7;18.25;Kiser Markus (2005);;29;35.25;7;18.25;0;0.0;9.75
o;8;28.0;Elsener Marcel;*;12;55.75;10;27.5;2;-0.5;8.5
o;12;36.5;Ettlin Michael;;16;54.75;13;36.25;1;-0.25;8.5
+;16;45.0;Egli Kilian (2004);;22;53.25;17;44.75;1;-0.25;9.75

16f;Fässler Dominic;**;;;;;;;;;54.75
o;;;Thierstein Marco;*;;;;;;;8.75
o;4;8.75;Waser Dominik;**;7;57.0;5;8.5;1;-0.25;8.5
-;11;17.25;Beffa Mario;;16;54.75;6;18.5;-5;1.25;8.75
+;15;26.0;Arnold Sebastian;;22;53.25;12;27.0;-3;1.0;10.0
+;14;36.0;Staub Ivan;;17;54.5;14;36.0;0;0.0;10.0
-;12;46.0;Herger Marco;;15;55.0;11;46.25;-1;0.25;8.75

16g;Beffa Mario;;;;;;;;;;54.75
-;;;Bühlmann Daniel;;;;;;;;8.75
+;4;8.75;Theiler Andre (2003);;32;34.25;5;8.5;1;-0.25;9.75
-;6;18.5;Fässler Dominic;**;16;54.75;11;17.25;5;-1.25;8.75
-;11;27.25;Bättig Patrick (2003);;17;54.5;11;27.25;0;0.0;8.75
+;14;36.0;Widmer Simon;;17;54.5;14;36.0;0;0.0;10.0
-;12;46.0;Murpf Dario;;16;54.75;12;46.0;0;0.0;8.75

16h;Wicki David;*;;;;;;;;;54.75
-;;;Wüthrich Philip;*;;;;;;;9.0
-;3;9.0;Rüegsegger Christian;;10;56.25;2;9.75;-1;0.75;9.0
+;8;18.0;Steinauer Kevin (2004);;28;35.5;6;18.5;-2;0.5;9.75
o;9;27.75;Nötzli Reto;***;13;55.5;11;27.25;2;-0.5;8.5
+;13;36.25;Füglister Stefan (2003);;20;53.75;11;36.75;-2;0.5;10.0
o;11;46.25;Gäggeler Adrian;*;10;56.25;11;46.25;0;0.0;8.5

16i;Huser Tobias;;;;;;;;;;54.75
+;;;Vogel Ivo;;;;;;;;9.75
+;2;9.75;Portmann David (2004);;28;35.5;1;10.0;-1;0.25;9.75
o;3;19.5;Odermatt Christian;**;5;57.5;7;18.25;4;-1.25;8.5
o;8;28.0;Albert Thomas;;15;55.0;8;28.0;0;0.0;8.5
+;12;36.5;Blättler Ronnie (2004);;21;53.5;12;36.5;0;0.0;9.75
o;11;46.25;Elsener Marcel;*;12;55.75;12;46.0;1;-0.25;8.5

16j;Rogenmoser Ryan;;;;;;;;;;54.75
o;;;Vogel Laurin;;;;;;;;8.5
+;5;8.5;Portmann Curdin (2003);;28;35.5;5;8.5;0;0.0;9.75
+;7;18.25;Krauer Andri (2005);;19;54.0;6;18.5;-1;0.25;9.75
o;8;28.0;Wyss Sven;*;14;55.25;12;27.0;4;-1.0;8.5
o;12;36.5;Elmiger Andreas;*;12;55.75;9;37.25;-3;0.75;8.5
+;16;45.0;Giger Janik;;19;54.0;14;45.5;-2;0.5;9.75

16k;Murpf Dario;;;;;;;;;;54.75
-;;;Graber Sandro;;;;;;;;8.75
+;4;8.75;Egli Kilian (2004);;22;53.25;4;8.75;0;0.0;9.75
-;6;18.5;Gäggeler Adrian;*;10;56.25;6;18.5;0;0.0;8.75
+;11;27.25;Gabriel Simon;;18;54.25;11;27.25;0;0.0;9.75
-;10;37.0;Lagler Christian;*;12;55.75;10;37.0;0;0.0;9.0
-;12;46.0;Beffa Mario;;16;54.75;12;46.0;0;0.0;8.75

17a;Bühlmann Daniel;;;;;;;;;;54.5
-;;;Beffa Mario;;;;;;;;8.75
+;4;8.75;Grüter Marcel;;28;35.5;5;8.5;1;-0.25;9.75
+;6;18.5;Käslin Ruedi;*;28;35.5;12;17.0;6;-1.5;9.75
o;7;28.25;Gäumann Stefan;**;3;58.0;7;28.25;0;0.0;8.5
o;11;36.75;Rüegsegger Christian;;10;56.25;9;37.25;-2;0.5;8.75
-;14;45.5;Birchler Fabian;;15;55.0;12;46.0;-2;0.5;9.0

17b;Fischer Markus;;;;;;;;;;54.5
-;;;Rust Silvio;;;;;;;;8.75
o;4;8.75;Giger Janik;;19;54.0;5;8.5;1;-0.25;8.5
+;11;17.25;Albisser Jannik (2003);;33;34.0;12;17.0;1;-0.25;10.0
o;11;27.25;Herger Fabian;*;12;55.75;12;27.0;1;-0.25;8.5
-;15;35.75;Schmid Joel;;22;53.25;15;35.75;0;0.0;8.75
+;18;44.5;Arnold Sebastian;;22;53.25;17;44.75;-1;0.25;10.0

17c;Vogel Laurin;;;;;;;;;;54.5
+;;;Rogenmoser Ryan;;;;;;;;10.0
+;1;10.0;Kiser Markus (2005);;29;35.25;2;9.75;1;-0.25;9.75
o;2;19.75;Steinauer Adrian;**;6;57.25;5;18.75;3;-1.0;8.5
o;7;28.25;Kälin Roland;**;12;55.75;10;27.5;3;-0.75;8.5
-;11;36.75;Rüttimann Daniel;;17;54.5;10;37.0;-1;0.25;8.75
-;14;45.5;Wiss Ivan (2004);;18;54.25;15;45.25;1;-0.25;9.0

17d;Amrhyn Jonas (2003);;;;;;;;;;54.5
o;;;Föhn Christian;;;;;;;;8.5
o;5;8.5;Kurmann Jvo;;13;55.5;4;8.75;-1;0.25;8.75
+;11;17.25;Zberg Nuyen (2003);;33;34.0;12;17.0;1;-0.25;10.0
o;11;27.25;Lussi Marco;**;14;55.25;11;27.25;0;0.0;8.5
+;15;35.75;Waser David;;18;54.25;15;35.75;0;0.0;9.75
-;14;45.5;Felder Ivan (2004);;16;54.75;13;45.75;-1;0.25;9.0

17e;Bättig Patrick (2003);;;;;;;;;;54.5
-;;;Walker Jan (2004);;;;;;;;8.75
+;4;8.75;Müller Severin;;33;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Schaller Noah;;13;55.5;4;19.0;-1;0.25;8.5
-;11;27.25;Beffa Mario;;16;54.75;11;27.25;0;0.0;8.75
+;14;36.0;Giger Samuel (2005);;18;54.25;14;36.0;0;0.0;10.0
o;12;46.0;Kälin Roland;**;12;55.75;12;46.0;0;0.0;8.5

17f;Staub Ivan;;;;;;;;;;54.5
-;;;Achermann Ueli;;;;;;;;9.0
o;3;9.0;Staffelbach Noah (2003);;20;53.75;2;9.75;-1;0.75;8.5
+;10;17.5;Küng Jonas (2004);;32;34.25;12;17.0;2;-0.5;10.0
o;10;27.5;Doppmann Ueli;;17;54.5;10;27.5;0;0.0;8.5
o;14;36.0;Fässler Dominic;**;16;54.75;14;36.0;0;0.0;8.5
+;18;44.5;Schmidiger Lukas (2004);;22;53.25;17;44.75;-1;0.25;10.0

17g;Chiodo Gian Paolo (2005);;;;;;;;;;54.5
+;;;Herger Marco;;;;;;;;10.0
-;1;10.0;Durrer Markus;;36;18.75;1;10.0;0;0.0;8.75
o;5;18.75;Elsener Marcel;*;12;55.75;9;17.75;4;-1.0;8.5
+;11;27.25;Zberg Kilian;;28;35.5;12;27.0;1;-0.25;9.75
o;10;37.0;Steinauer Adrian;**;6;57.25;9;37.25;-1;0.25;8.5
-;14;45.5;Bissig Julian (2003);;18;54.25;15;45.25;1;-0.25;9.0

17h;Rüttimann Daniel;;;;;;;;;;54.5
+;;;Füglister Florian;;;;;;;;10.0
+;1;10.0;Vogel Manuel;;19;54.0;1;10.0;0;0.0;10.0
o;1;20.0;Jund Matthias;*;6;57.25;5;18.75;4;-1.25;8.5
o;6;28.5;Scherrer Fabian;*;8;56.75;7;28.25;1;-0.25;8.5
-;10;37.0;Vogel Laurin;;17;54.5;11;36.75;1;-0.25;8.75
-;13;45.75;Egli Severin (2004);;18;54.25;14;45.5;1;-0.25;8.75

17i;Lustenberger Tim (2005);;;;;;;;;;54.5
+;;;Bürgi Simon (2003);;;;;;;;9.75
+;2;9.75;Suter Nicolas (2003);;29;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Hegner Ueli;*;9;56.5;6;18.5;4;-1.25;8.75
o;6;28.5;Lang Sven;**;3;58.0;6;28.5;0;0.0;8.5
o;10;37.0;Suter Samuel;;9;56.5;11;36.75;1;-0.25;8.5
-;14;45.5;Schumacher Marco;;17;54.5;14;45.5;0;0.0;9.0

17j;Widmer Simon;;;;;;;;;;54.5
+;;;Furrer Alain;;;;;;;;10.0
o;1;10.0;Herger Andreas;;13;55.5;1;10.0;0;0.0;8.75
-;5;18.75;Moos Christoph;*;27;35.75;6;18.5;1;-0.25;8.75
o;10;27.5;Gisler Silvan;;15;55.0;7;28.25;-3;0.75;8.5
o;14;36.0;Beffa Mario;;16;54.75;14;36.0;0;0.0;8.5
+;18;44.5;Bieri Crispin (2005);;23;53.0;18;44.5;0;0.0;10.0

17k;Simmen Robin (2004);;;;;;;;;;54.5
-;;;Müller Philipp (2005);;;;;;;;8.75
o;4;8.75;Züger Benjamin (2004);;13;55.5;4;8.75;0;0.0;8.5
+;11;17.25;Füglister Florian;;29;35.25;12;17.0;1;-0.25;10.0
-;11;27.25;Herger Marco;;15;55.0;11;27.25;0;0.0;9.0
+;13;36.25;Kauflin Andrin (2004);;20;53.75;12;36.5;-1;0.25;9.75
o;12;46.0;Lagler Christian;*;12;55.75;12;46.0;0;0.0;8.5

17l;Achermann Ueli;;;;;;;;;;54.5
-;;;Staub Ivan;;;;;;;;9.0
+;3;9.0;Egli Samuel;;33;34.0;5;8.5;2;-0.5;10.0
o;4;19.0;Scherrer Fabian;*;8;56.75;6;18.5;2;-0.5;8.5
-;10;27.5;Föhn Christian;;18;54.25;7;28.25;-3;0.75;8.75
+;13;36.25;Riedweg Matteo (2005);;15;55.0;12;36.5;-1;0.25;9.75
o;12;46.0;Arnold Marcel;*;10;56.25;11;46.25;-1;0.25;8.5

17m;Doppmann Ueli;;;;;;;;;;54.5
-;;;Ettlin Michael;;;;;;;;9.0
+;3;9.0;Füglister Stefan (2003);;20;53.75;5;8.5;2;-0.5;10.0
o;4;19.0;Schürpf Bruno;*;8;56.75;6;18.5;2;-0.5;8.5
+;10;27.5;Staub Ivan;;17;54.5;10;27.5;0;0.0;10.0
o;8;37.5;Hess Dominik;*;10;56.25;9;37.25;1;-0.25;8.5
o;12;46.0;Steiner Severin;;10;56.25;11;46.25;-1;0.25;8.5

17n;Fellmann Simon;;;;;;;;;;54.5
o;;;Zemp Christian (2004);;;;;;;;8.5
-;5;8.5;Graber Sandro;;18;54.25;4;8.75;-1;0.25;8.75
+;11;17.25;Gloggner André;;28;35.5;12;17.0;1;-0.25;10.0
o;11;27.25;Gäggeler Adrian;*;10;56.25;11;27.25;0;0.0;8.5
+;15;35.75;Vogel Ivo;;24;52.75;15;35.75;0;0.0;10.0
-;13;45.75;Zimmermann Daniel;*;18;54.25;14;45.5;1;-0.25;8.75

17o;Schumacher Marco;;;;;;;;;;54.5
+;;;Arnold Linus (2004);;;;;;;;10.0
+;1;10.0;Kauflin Andrin (2004);;20;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Durrer Nando;*;8;56.75;5;18.75;4;-1.25;8.5
o;6;28.5;Fink Bruno;*;7;57.0;6;28.5;0;0.0;8.5
o;10;37.0;Wyrsch Hansi;;12;55.75;9;37.25;-1;0.25;8.5
-;14;45.5;Lustenberger Tim (2005);;17;54.5;14;45.5;0;0.0;9.0

18a;Egli Severin (2004);;;;;;;;;;54.25
+;;;Röösli Janis (2005);;;;;;;;9.75
-;2;9.75;Johann Michael;;28;35.5;2;9.75;0;0.0;8.75
o;6;18.5;Fankhauser Reto;**;4;57.75;9;17.75;3;-0.75;8.5
-;12;27.0;Giger Samuel (2005);;18;54.25;11;27.25;-1;0.25;8.75
+;15;35.75;Müller Silvio (2003);;24;52.75;15;35.75;0;0.0;9.75
-;14;45.5;Rüttimann Daniel;;17;54.5;13;45.75;-1;0.25;8.75

18b;Wiss Ivan (2004);;;;;;;;;;54.25
+;;;Portmann Curdin (2003);;;;;;;;9.75
-;2;9.75;Aregger Fabian;;19;54.0;2;9.75;0;0.0;8.75
+;6;18.5;Gloggner Matthias (2005);;29;35.25;7;18.25;1;-0.25;9.75
o;7;28.25;Kurmann Toni;*;7;57.0;7;28.25;0;0.0;8.5
o;11;36.75;Arnold Lukas;;14;55.25;11;36.75;0;0.0;8.5
-;15;45.25;Vogel Laurin;;17;54.5;14;45.5;-1;0.25;9.0

18c;Zanini David;;;;;;;;;;54.25
-;;;Waser David;;;;;;;;8.75
+;4;8.75;Wirz Martin (2005);;28;35.5;4;8.75;0;0.0;9.75
o;6;18.5;Schwyzer Samuel;*;13;55.5;11;17.25;5;-1.25;8.5
-;12;27.0;Staffelbach Noah (2003);;20;53.75;8;28.0;-4;1.0;8.75
+;15;35.75;Bieri Crispin (2005);;23;53.0;14;36.0;-1;0.25;9.75
-;14;45.5;Aregger Fabian;;19;54.0;15;45.25;1;-0.25;8.75

18d;Zgraggen Peter;;;;;;;;;;54.25
o;;;Birchler Fabian;;;;;;;;8.5
-;5;8.5;Wyrsch Hansi;;12;55.75;4;8.75;-1;0.25;8.75
+;11;17.25;Egli Samuel;;33;34.0;12;17.0;1;-0.25;10.0
o;11;27.25;Blaser Roman;*;12;55.75;12;27.0;1;-0.25;8.5
+;15;35.75;Schmid Pius;;18;54.25;15;35.75;0;0.0;10.0
o;13;45.75;Rüegsegger Ueli;*;14;55.25;14;45.5;1;-0.25;8.5

18e;Gabriel Simon;;;;;;;;;;54.25
o;;;Achermann Simon;;;;;;;;8.5
+;5;8.5;Ziswiler Cyril (2004);;32;34.25;5;8.5;0;0.0;9.75
-;7;18.25;Stadelmann Simon;*;30;34.75;11;17.25;4;-1.0;9.0
o;11;27.25;Murpf Dario;;16;54.75;11;27.25;0;0.0;8.5
+;15;35.75;Koch Cyrill (2004);;24;52.75;15;35.75;0;0.0;10.0
o;13;45.75;Wyss Sven;*;14;55.25;14;45.5;1;-0.25;8.5

18f;Graber Sandro;;;;;;;;;;54.25
-;;;Murpf Dario;;;;;;;;8.75
-;4;8.75;Fellmann Simon;;17;54.5;5;8.5;1;-0.25;8.75
+;10;17.5;Rust Silvio;;31;34.5;11;17.25;1;-0.25;10.0
o;10;27.5;Schärli Reto;*;14;55.25;13;26.75;3;-0.75;8.5
+;14;36.0;Rust Lorin (2004);;23;53.0;14;36.0;0;0.0;9.75
o;13;45.75;Felder Seppi;*;13;55.5;14;45.5;1;-0.25;8.5

18g;Föhn Christian;;;;;;;;;;54.25
+;;;Amrhyn Jonas (2003);;;;;;;;9.75
o;2;9.75;Wyss Sven;*;14;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Portmann David (2004);;28;35.5;6;18.5;-1;0.25;10.0
-;7;28.25;Achermann Ueli;;17;54.5;10;27.5;3;-0.75;8.75
o;10;37.0;Barmettler Severin (2005);;14;55.25;10;37.0;0;0.0;8.75
o;13;45.75;Kurmann Jvo;;13;55.5;14;45.5;1;-0.25;8.5

18h;Müller Philipp (2005);;;;;;;;;;54.25
-;;;Simmen Robin (2004);;;;;;;;8.75
-;4;8.75;Rust Lorin (2004);;23;53.0;4;8.75;0;0.0;8.75
o;10;17.5;Füglister Stefan (2003);;20;53.75;12;17.0;2;-0.5;8.5
+;15;26.0;Albisser Jannik (2003);;33;34.0;17;25.5;2;-0.5;10.0
o;14;36.0;Thalmann Thomas;*;12;55.75;15;35.75;1;-0.25;8.5
+;18;44.5;Kunz Pascal (2004);;24;52.75;19;44.25;1;-0.25;9.75

18i;Schmid Pius;;;;;;;;;;54.25
+;;;Egli Kilian (2004);;;;;;;;9.75
o;2;9.75;Wicki Patrick;;14;55.25;2;9.75;0;0.0;8.5
-;7;18.25;Schmid Joel;;22;53.25;6;18.5;-1;0.25;8.75
-;12;27.0;Schmidiger Marco;*;31;34.5;16;25.75;4;-1.25;8.75
o;15;35.75;Zgraggen Peter;;18;54.25;15;35.75;0;0.0;8.5
+;19;44.25;Müller Silvio (2003);;24;52.75;19;44.25;0;0.0;10.0

18j;Zimmermann Daniel;*;;;;;;;;;54.25
o;;;Graber Michael;*;;;;;;;8.5
o;5;8.5;Fellmann Roman;**;6;57.25;4;8.75;-1;0.25;8.5
+;12;17.0;Theiler Nils (2004);;28;35.5;7;18.25;-5;1.25;10.0
+;12;27.0;Egli Kilian (2004);;22;53.25;11;27.25;-1;0.25;10.0
o;10;37.0;Schärli Reto;*;14;55.25;11;36.75;1;-0.25;8.5
-;14;45.5;Fellmann Simon;;17;54.5;13;45.75;-1;0.25;8.75

18k;Bissig Julian (2003);;;;;;;;;;54.25
o;;;Scherrer Patrick;;;;;;;;8.5
+;5;8.5;Zenklusen Matteo (2005);;24;52.75;4;8.75;-1;0.25;10.0
o;6;18.5;Wyrsch Silvio;*;8;56.75;12;17.0;6;-1.5;8.5
+;12;27.0;Hodel Michael;;28;35.5;12;27.0;0;0.0;9.75
o;11;36.75;Ming Christian 2;;13;55.5;10;37.0;-1;0.25;8.5
-;15;45.25;Chiodo Gian Paolo (2005);;17;54.5;14;45.5;-1;0.25;9.0

18l;Waser David;;;;;;;;;;54.25
-;;;Zanini David;;;;;;;;8.75
o;4;8.75;Egli Adrian;;15;55.0;3;9.0;-1;0.25;8.5
+;11;17.25;Marbach Sven (2005);;33;34.0;12;17.0;1;-0.25;10.0
o;11;27.25;Rüegsegger Ueli;*;14;55.25;12;27.0;1;-0.25;8.5
o;15;35.75;Amrhyn Jonas (2003);;17;54.5;15;35.75;0;0.0;8.5
+;19;44.25;Koch Cyrill (2004);;24;52.75;19;44.25;0;0.0;10.0

18m;Zimmermann Reto;;;;;;;;;;54.25
o;;;Staffelbach Noah (2003);;;;;;;;8.5
+;5;8.5;Wirz Martin (2005);;28;35.5;4;8.75;-1;0.25;10.0
o;6;18.5;Felder Martin;*;10;56.25;6;18.5;0;0.0;8.5
+;12;27.0;Arnold Linus (2004);;28;35.5;12;27.0;0;0.0;10.0
-;10;37.0;Scherrer Patrick;;13;55.5;10;37.0;0;0.0;8.75
o;13;45.75;Bachmann Roger;*;12;55.75;13;45.75;0;0.0;8.5

18n;Giger Samuel (2005);;;;;;;;;;54.25
-;;;Wyrsch Hansi;;;;;;;;8.75
o;4;8.75;Bucher André;;15;55.0;5;8.5;1;-0.25;8.5
+;11;17.25;Schnüriger Kevin (2004);;33;34.0;12;17.0;1;-0.25;10.0
-;11;27.25;Egli Severin (2004);;18;54.25;12;27.0;1;-0.25;8.75
o;14;36.0;Bättig Patrick (2003);;17;54.5;14;36.0;0;0.0;8.5
+;18;44.5;Rohrer Sven (2004);;22;53.25;17;44.75;-1;0.25;9.75

19a;Aregger Fabian;;;;;;;;;;54.0
+;;;Füglister Stefan (2003);;;;;;;;9.75
-;2;9.75;Wiss Ivan (2004);;18;54.25;2;9.75;0;0.0;8.75
o;6;18.5;Scherer Niklaus;**;7;57.0;7;18.25;1;-0.25;8.5
+;12;27.0;Theiler Nils (2004);;28;35.5;13;26.75;1;-0.25;9.75
o;11;36.75;Lussi Marco;**;14;55.25;10;37.0;-1;0.25;8.5
-;15;45.25;Zanini David;;18;54.25;14;45.5;-1;0.25;8.75

19b;Giger Janik;;;;;;;;;;54.0
o;;;Herger Andreas;;;;;;;;8.5
+;5;8.5;Fischer Markus;;17;54.5;4;8.75;-1;0.25;9.75
o;7;18.25;Gasser Peter;*;8;56.75;12;17.0;5;-1.25;8.5
+;13;26.75;Kiser Markus (2005);;29;35.25;13;26.75;0;0.0;10.0
o;11;36.75;Züger Benjamin (2004);;13;55.5;10;37.0;-1;0.25;8.75
o;14;45.5;Rogenmoser Ryan;;16;54.75;16;45.0;2;-0.5;8.5

19c;Widmer Dominik;;;;;;;;;;54.0
o;;;Suter Samuel;;;;;;;;8.75
o;4;8.75;Ziegler Elias;;19;54.0;5;8.5;1;-0.25;8.5
o;11;17.25;Egli Kilian (2004);;22;53.25;11;17.25;0;0.0;8.5
+;16;25.75;Bürgi Simon (2003);;29;35.25;13;26.75;-3;1.0;10.0
+;15;35.75;Zenklusen Matteo (2005);;24;52.75;15;35.75;0;0.0;9.75
o;14;45.5;Ulrich Marco;**;16;54.75;16;45.0;2;-0.5;8.5

19d;Vogel Manuel;;;;;;;;;;54.0
+;;;Steinauer Kevin (2004);;;;;;;;10.0
o;1;10.0;Rüttimann Daniel;;17;54.5;1;10.0;0;0.0;8.5
o;6;18.5;Rüegsegger Christian;;10;56.25;5;18.75;-1;0.25;8.75
+;11;27.25;Moos Christoph;*;27;35.75;11;27.25;0;0.0;9.75
o;10;37.0;Troxler Jonas;*;9;56.5;6;38.0;-4;1.0;8.5
o;14;45.5;Blaser Roman;*;12;55.75;13;45.75;-1;0.25;8.5

19e;Krauer Andri (2005);;;;;;;;;;54.0
+;;;Schnüriger Kevin (2004);;;;;;;;10.0
o;1;10.0;Achermann Simon;;15;55.0;1;10.0;0;0.0;8.5
o;6;18.5;Rogenmoser Ryan;;16;54.75;7;18.25;1;-0.25;8.5
+;12;27.0;Rohrer Philipp (2004);;28;35.5;12;27.0;0;0.0;9.75
o;11;36.75;Elmiger Matthias;;13;55.5;9;37.25;-2;0.5;8.5
o;15;45.25;Vogler Jonas;;15;55.0;15;45.25;0;0.0;8.75

19f;Ziegler Elias;;;;;;;;;;54.0
o;;;Steiner Severin;;;;;;;;8.5
+;5;8.5;Widmer Dominik;;19;54.0;4;8.75;-1;0.25;10.0
o;6;18.5;Arnold Marcel;*;10;56.25;10;17.5;4;-1.0;8.75
+;11;27.25;Schmidiger Lukas (2004);;22;53.25;12;27.0;1;-0.25;9.75
o;10;37.0;Jund Matthias;*;6;57.25;9;37.25;-1;0.25;8.5
o;14;45.5;Scherrer Patrick;;13;55.5;13;45.75;-1;0.25;8.5

20a;Bucher Adrian (2004);;;;;;;;;;53.75
o;;;Arnold Lukas;;;;;;;;8.5
+;5;8.5;Arnold Sebastian;;22;53.25;5;8.5;0;0.0;10.0
+;6;18.5;Blättler Ronnie (2004);;21;53.5;7;18.25;1;-0.25;9.75
o;7;28.25;Schnider Markus;*;7;57.0;7;28.25;0;0.0;8.5
o;11;36.75;Herger Marco;;15;55.0;13;36.25;2;-0.5;8.5
o;15;45.25;Achermann Ivan (2005);;15;55.0;15;45.25;0;0.0;8.5

20b;Staffelbach Noah (2003);;;;;;;;;;53.75
+;;;Zimmermann Reto;;;;;;;;9.75
+;2;9.75;Staub Ivan;;17;54.5;3;9.0;1;-0.75;9.75
o;3;19.5;Gäumann Stefan;**;3;58.0;7;18.25;4;-1.25;8.5
o;8;28.0;Lagler Christian;*;12;55.75;11;27.25;3;-0.75;8.5
-;12;36.5;Zanini David;;18;54.25;15;35.75;3;-0.75;8.75
o;15;45.25;Walker Jan (2004);;14;55.25;14;45.5;-1;0.25;8.5

20c;Duss Livio (2005);;;;;;;;;;53.75
+;;;Blättler Ronnie (2004);;;;;;;;10.0
o;1;10.0;Gisler Silvan;;15;55.0;1;10.0;0;0.0;8.5
o;6;18.5;Kälin Roland;**;12;55.75;10;17.5;4;-1.0;8.5
+;12;27.0;Kunz Pascal (2004);;24;52.75;11;27.25;-1;0.25;9.75
o;11;36.75;Bieri Elias;;14;55.25;11;36.75;0;0.0;8.5
o;15;45.25;Andermatt Reto;;15;55.0;15;45.25;0;0.0;8.5

20d;Kauflin Andrin (2004);;;;;;;;;;53.75
+;;;Egli Samuel;;;;;;;;9.75
o;2;9.75;Schumacher Marco;;17;54.5;1;10.0;-1;0.25;8.5
+;7;18.25;Riedweg Matteo (2005);;15;55.0;7;18.25;0;0.0;9.75
o;8;28.0;Elmiger Andreas;*;12;55.75;11;27.25;3;-0.75;8.5
o;12;36.5;Simmen Robin (2004);;17;54.5;13;36.25;1;-0.25;8.75
o;15;45.25;Wigger Simon;;14;55.25;15;45.25;0;0.0;8.5

20e;Füglister Stefan (2003);;;;;;;;;;53.75
o;;;Aregger Fabian;;;;;;;;8.5
o;5;8.5;Doppmann Ueli;;17;54.5;3;9.0;-2;0.5;8.5
+;12;17.0;Müller Philipp (2005);;18;54.25;10;17.5;-2;0.5;9.75
+;13;26.75;Ziswiler Cyril (2004);;32;34.25;17;25.5;4;-1.25;10.0
o;11;36.75;Wicki David;*;16;54.75;13;36.25;2;-0.5;8.5
o;15;45.25;Wittwer Roy;;15;55.0;16;45.0;1;-0.25;8.5

21a;Blättler Ronnie (2004);;;;;;;;;;53.5
o;;;Duss Livio (2005);;;;;;;;8.5
+;5;8.5;Küng Jonas (2004);;32;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Bucher Adrian (2004);;20;53.75;6;18.5;-1;0.25;8.5
