5596-2021-09-12_Luzerner_Kantonales_Schwingfest-ST

1a;Wicki Joel;***;;;;;;;;;59.0
+;6;18.5;Albert Thomas;;15;55.0;3;19.5;-3;1.0;9.75
+;7;28.25;Bucher Adrian (2004);;20;53.75;7;28.25;0;0.0;10.0
o;5;38.25;Odermatt Christian;**;5;57.5;6;38.0;1;-0.25;8.75
+;8;47.0;Gisler Silvan;;15;55.0;10;46.5;2;-0.5;10.0

7d;Schöpfer Ronny;**;;;;;;;;;57.0
-;;;Steinauer Adrian;**;;;;;;;9.0
+;3;9.0;Niederberger Markus;*;14;55.25;5;8.5;2;-0.5;10.0
+;4;19.0;Huser Christian;;13;55.5;1;20.0;-3;1.0;10.0
+;4;29.0;Murer Andy;**;8;56.75;5;28.75;1;-0.25;9.75
+;3;38.75;Müller Roger;*;14;55.25;5;38.25;2;-0.5;9.75
o;2;48.5;Ambühl Joel;**;2;58.5;2;48.5;0;0.0;8.5

7e;Kurmann Toni;*;;;;;;;;;57.0
+;;;Ottiger Lukas;*;;;;;;;10.0
o;1;10.0;Fankhauser Marco;**;7;57.0;1;10.0;0;0.0;8.5
+;6;18.5;Ettlin Michael;;16;54.75;5;18.75;-1;0.25;9.75
+;7;28.25;Wiss Ivan (2004);;18;54.25;7;28.25;0;0.0;10.0
+;5;38.25;Vogel Marcel;*;14;55.25;5;38.25;0;0.0;10.0
o;3;48.25;Lang Sven;**;3;58.0;3;48.25;0;0.0;8.75

7f;Stöckli Damian;*;;;;;;;;;57.0
+;;;Hess Dominik;*;;;;;;;9.75
+;2;9.75;Schnider Markus;*;7;57.0;1;10.0;-1;0.25;10.0
o;2;19.75;Wicki Joel;***;1;59.0;1;20.0;-1;0.25;8.5
+;7;28.25;Duss Yvan (2003);;14;55.25;7;28.25;0;0.0;10.0
o;5;38.25;Scherrer Fabian;*;8;56.75;5;38.25;0;0.0;8.75
+;8;47.0;Wyrsch Hansi;;12;55.75;7;47.25;-1;0.25;10.0

7g;Müller Luca (2004);;;;;;;;;;57.0
+;;;Ming Christian 2;;;;;;;;10.0
+;1;10.0;Stadelmann Simon;*;30;34.75;5;8.5;4;-1.5;10.0
o;1;20.0;Lang Sven;**;3;58.0;5;18.75;4;-1.25;8.5
o;6;28.5;Vogel Marcel;*;14;55.25;7;28.25;1;-0.25;8.5
+;10;37.0;Häller Nick;;15;55.0;11;36.75;1;-0.25;10.0
+;8;47.0;Bühler Ramon;;14;55.25;9;46.75;1;-0.25;10.0

7h;Lustenberger Josef;*;;;;;;;;;57.0
+;;;Reichmuth Roland;*;;;;;;;9.75
-;2;9.75;Kaufmann Reto;*;6;57.25;1;10.0;-1;0.25;9.0
+;5;18.75;Birchler Fabian;;15;55.0;1;20.0;-4;1.25;9.75
-;6;28.5;Zemp Christian (2004);;14;55.25;5;28.75;-1;0.25;9.0
+;8;37.5;Gisler Silvan;;15;55.0;6;38.0;-2;0.5;9.75
+;7;47.25;Herger Fabian;*;12;55.75;8;47.0;1;-0.25;9.75

7i;Fankhauser Marco;**;;;;;;;;;57.0
+;;;Ulrich Marco;**;;;;;;;10.0
+;1;10.0;Kurmann Toni;*;7;57.0;1;10.0;0;0.0;9.75
-;2;19.75;Schurtenberger Sven;***;5;57.5;1;20.0;-1;0.25;8.75
+;6;28.5;Herger Andreas;;13;55.5;2;29.75;-4;1.25;9.75
-;5;38.25;Schürpf Bruno;*;8;56.75;5;38.25;0;0.0;8.75
+;8;47.0;Bucher Roland;*;14;55.25;9;46.75;1;-0.25;10.0

7j;Waser Dominik;**;;;;;;;;;57.0
o;;;Fankhauser Erich;***;;;;;;;8.5
+;5;8.5;Fässler Dominic;**;16;54.75;4;8.75;-1;0.25;10.0
+;6;18.5;Vogel Ivo;;24;52.75;5;18.75;-1;0.25;10.0
+;6;28.5;Elmiger Matthias;;13;55.5;6;28.5;0;0.0;10.0
