5212-2022-05-22_112_Zuercher_Kantonales_Schwingfest-ST

1a;Rychen Roger;***;;;;;;;;;58.5
o;5;28.25;Bucher Roman;;9;56.0;4;28.5;-1;0.25;8.5
-;10;36.75;Bühler Hannes;*;12;55.25;10;36.75;0;0.0;8.75
+;12;45.5;Hänni Marc;;14;54.75;10;46.0;-2;0.5;9.75

12e;Giger Florian;;;;;;;;;;55.25
+;;;Rüst Thomas;;;;;;;;10.0
+;1;10.0;Zollinger Silvan (2004);;23;35.5;1;10.0;0;0.0;10.0
o;1;20.0;Nägeli Marco;**;6;56.75;6;18.5;5;-1.5;8.5
o;4;28.5;Odermatt Gian Maria (2004);*;6;56.75;4;28.5;0;0.0;8.5
+;9;37.0;Plüer Fabian;;16;54.25;8;37.25;-1;0.25;9.75
o;7;46.75;Dändliker Shane;**;5;57.0;6;47.0;-1;0.25;8.5

12f;Spörndli Cyril;;;;;;;;;;55.25
+;;;Bernhardsgrütter Stefan (2005);;;;;;;;9.75
o;2;9.75;Schwyn Adrian;*;12;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Nüesch Sandro (2005);;13;55.0;7;18.25;0;0.0;8.5
+;11;26.75;Magani Flurin;;26;34.5;13;26.0;2;-0.75;10.0
+;10;36.75;Wolfer David;;17;54.0;10;36.75;0;0.0;10.0
o;7;46.75;Nägeli Marco;**;6;56.75;7;46.75;0;0.0;8.5

12g;Lacher Tobias (2005);;;;;;;;;;55.25
o;;;Hari Michi;;;;;;;;8.5
+;5;8.5;Waldmeier Marco (2005);;26;34.5;5;8.5;0;0.0;9.75
+;7;18.25;Bachmann Oliver (2004);;18;53.75;7;18.25;0;0.0;9.75
o;6;28.0;Bickel Roman;*;7;56.5;10;27.0;4;-1.0;8.5
-;11;36.5;Kiener Raphael;;16;54.25;10;36.75;-1;0.25;9.0
+;12;45.5;Kühne Cyrill (2004);;16;54.25;12;45.5;0;0.0;9.75

12h;Feldmann Patrik (2005);;;;;;;;;;55.25
+;;;Käppeli Remo;;;;;;;;10.0
-;1;10.0;Keller Dominic;;10;55.75;1;10.0;0;0.0;8.75
-;5;18.75;Arztmann Beda;**;5;57.0;6;18.5;1;-0.25;9.0
-;7;27.75;Kiener Raphael;;16;54.25;7;27.75;0;0.0;9.0
+;10;36.75;Buff Alwin;;14;54.75;11;36.5;1;-0.25;10.0
o;7;46.75;Lanter Christian;*;6;56.75;7;46.75;0;0.0;8.5

12i;Wetter Silvan;*;;;;;;;;;55.25
+;;;Bickel Roman;*;;;;;;;9.75
o;2;9.75;Schneider Mario;**;9;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Kammermann Dominik;;15;54.5;5;18.75;-2;0.5;10.0
+;5;28.25;Hänni Marc;;14;54.75;5;28.25;0;0.0;9.75
-;5;38.0;Kindlimann Fabian;***;14;54.75;8;37.25;3;-0.75;8.75
o;7;46.75;Odermatt Gian Maria (2004);*;6;56.75;6;47.0;-1;0.25;8.5

12j;Bernold Edi;**;;;;;;;;;55.25
+;;;Blaser Christian;**;;;;;;;9.75
o;2;9.75;Rychen Roger;***;1;58.5;1;10.0;-1;0.25;8.5
+;7;18.25;Kundert Elias (2005);;11;55.5;6;18.5;-1;0.25;9.75
+;6;28.0;Imhof Gregor;;14;54.75;6;28.0;0;0.0;10.0
o;5;38.0;Hugelshofer Lars;*;7;56.5;5;38.0;0;0.0;8.75
o;7;46.75;Voggensperger Janic;**;5;57.0;6;47.0;-1;0.25;8.5

12k;Schwyn Adrian;*;;;;;;;;;55.25
o;;;Signer Andy;*;;;;;;;8.5
+;5;8.5;Spörndli Cyril;;12;55.25;2;9.75;-3;1.25;9.75
+;7;18.25;Arnold Lukas;;23;35.5;6;18.5;-1;0.25;10.0
o;5;28.25;Burkhalter Stefan;***;6;56.75;5;28.25;0;0.0;8.5
+;10;36.75;Ackermann Rico;*;13;55.0;10;36.75;0;0.0;10.0
o;7;46.75;Bickel Roman;*;7;56.5;7;46.75;0;0.0;8.5

12l;Wingeier Janik;;;;;;;;;;55.25
+;;;Tschudi Mario;;;;;;;;10.0
+;1;10.0;Schild Cornel (2004);;14;54.75;1;10.0;0;0.0;9.75
o;2;19.75;Ammann Rico;*;12;55.25;7;18.25;5;-1.5;8.5
-;5;28.25;Blaser Niklas;*;15;54.5;10;27.0;5;-1.25;8.75
+;9;37.0;Kiser Aron;;14;54.75;6;37.75;-3;0.75;9.75
o;7;46.75;Lehmann Philipp;*;6;56.75;6;47.0;-1;0.25;8.5

12m;Büchler Livio;;;;;;;;;;55.25
+;;;Bürge Gian (2005);;;;;;;;10.0
-;1;10.0;Zumbach Michael;;20;53.0;1;10.0;0;0.0;8.75
o;5;18.75;Blaser Christian;**;13;55.0;6;18.5;1;-0.25;8.5
o;9;27.25;Leuppi Karim;*;15;54.5;9;27.25;0;0.0;8.5
+;14;35.75;Pallaoro Luca;;17;54.0;14;35.75;0;0.0;9.75
+;12;45.5;Reichmuth Beat;;18;53.75;13;45.25;1;-0.25;9.75

12n;Ammann Rico;*;;;;;;;;;55.25
+;;;Bürgler Patrick;*;;;;;;;9.75
o;2;9.75;Roth Martin;***;7;56.5;5;8.5;3;-1.25;8.5
+;7;18.25;Wingeier Janik;;12;55.25;2;19.75;-5;1.5;9.75
+;6;28.0;Ziegler Andreas;;16;54.25;5;28.25;-1;0.25;10.0
o;5;38.0;Riget Florian;**;6;56.75;5;38.0;0;0.0;8.75
o;7;46.75;Räbsamen Marcel;**;4;57.25;5;47.25;-2;0.5;8.5

12o;Bühler Hannes;*;;;;;;;;;55.25
+;;;Leuppi Karim;*;;;;;;;10.0
+;1;10.0;Wey Nicola;*;5;57.0;1;10.0;0;0.0;9.75
o;2;19.75;Ackermann Remo;*;5;57.0;2;19.75;0;0.0;8.5
o;5;28.25;Roth Martin;***;7;56.5;10;27.0;5;-1.25;8.5
-;10;36.75;Bernold Michael;*;12;55.25;10;36.75;0;0.0;8.75
+;12;45.5;Ziegler Andreas;;16;54.25;11;45.75;-1;0.25;9.75

12p;Stauffacher Martin;;;;;;;;;;55.25
o;;;Rüegg Patrick;;;;;;;;8.75
+;4;8.75;Eichhorn Alexander;;19;53.5;5;8.5;1;-0.25;9.75
o;6;18.5;Imhof Gregor;;14;54.75;3;19.5;-3;1.0;8.5
+;10;27.0;Bossert Luc (2006);;23;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Lanter Christian;*;6;56.75;9;37.0;0;0.0;8.5
+;12;45.5;Wolfer David;;17;54.0;12;45.5;0;0.0;9.75

13a;Blaser Christian;**;;;;;;;;;55.0
o;;;Bernold Edi;**;;;;;;;8.5
+;5;8.5;Bösch Mario (2006);;14;54.75;2;9.75;-3;1.25;10.0
+;6;18.5;Büchler Livio;;12;55.25;5;18.75;-1;0.25;9.75
o;5;28.25;Hugelshofer Lars;*;7;56.5;5;28.25;0;0.0;8.5
+;10;36.75;Lenherr Cédric;*;12;55.25;10;36.75;0;0.0;9.75
o;8;46.5;Elmer Adrian;*;8;56.25;8;46.5;0;0.0;8.5

13b;Schiess Christian;;;;;;;;;;55.0
+;;;Bachmann Oliver (2004);;;;;;;;9.75
o;2;9.75;Bürgler Patrick;*;12;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Burkhard Tobias;*;17;54.0;10;17.25;3;-1.0;8.5
+;11;26.75;Küchler Severin;;23;35.5;10;27.0;-1;0.25;10.0
o;10;36.75;Nock Benjamin;*;8;56.25;10;36.75;0;0.0;8.5
+;13;45.25;Danner Daniel;;19;53.5;14;45.0;1;-0.25;9.75

13c;Ackermann Rico;*;;;;;;;;;55.0
o;;;Ackermann Remo;*;;;;;;;8.5
+;5;8.5;Müller Jano (2005);;17;54.0;1;10.0;-4;1.5;9.75
+;7;18.25;Buchmann Michael;;14;54.75;5;18.75;-2;0.5;10.0
o;5;28.25;Ott Damian;**;8;56.25;8;27.5;3;-0.75;8.5
o;10;36.75;Schwyn Adrian;*;12;55.25;10;36.75;0;0.0;8.5
+;13;45.25;Affentranger Martin;;16;54.25;11;45.75;-2;0.5;9.75

13d;Nüesch Sandro (2005);;;;;;;;;;55.0
+;;;Zürcher Fabrice (2006);;;;;;;;9.75
o;2;9.75;Funk Nicola;*;8;56.25;5;8.5;3;-1.25;8.5
+;7;18.25;Spörndli Cyril;;12;55.25;7;18.25;0;0.0;9.75
o;6;28.0;Dumelin David;**;11;55.5;6;28.0;0;0.0;8.5
o;11;36.5;Imhof Gregor;;14;54.75;11;36.5;0;0.0;8.5
+;14;45.0;Odermatt Michi;;17;54.0;12;45.5;-2;0.5;10.0

13e;Bachmann Janos (2004);;;;;;;;;;55.0
+;;;Fallegger Marc;;;;;;;;9.75
o;2;9.75;Kiser Aron;;14;54.75;2;9.75;0;0.0;8.5
+;7;18.25;Affentranger Martin;;16;54.25;10;17.25;3;-1.0;10.0
o;5;28.25;Koller Fabian;*;13;55.0;10;27.0;5;-1.25;8.5
+;10;36.75;Sieber Marc;;17;54.0;10;36.75;0;0.0;9.75
o;8;46.5;Winzeler Simon;;6;56.75;6;47.0;-2;0.5;8.5

13f;Schlegel Reto;*;;;;;;;;;55.0
+;;;Koller Silvan;*;;;;;;;10.0
o;1;10.0;Collaud Romain;**;9;56.0;4;8.75;3;-1.25;8.5
o;6;18.5;Kindlimann Fabian;***;14;54.75;6;18.5;0;0.0;8.5
+;10;27.0;Hari Michi;;12;55.25;5;28.25;-5;1.25;9.75
+;10;36.75;Zollinger Philipp (2004);;16;54.25;8;37.25;-2;0.5;9.75
o;8;46.5;Roth Martin;***;7;56.5;8;46.5;0;0.0;8.5

13g;Rogenmoser Ryan;;;;;;;;;;55.0
-;;;Anliker Andri;;;;;;;;9.0
-;3;9.0;Rhyner Beni;;23;35.5;5;8.5;2;-0.5;8.75
+;8;17.75;Scherrer Pascal;;23;35.5;10;17.25;2;-0.5;10.0
-;7;27.75;Heierli Pascal;**;25;35.0;12;26.25;5;-1.5;8.75
+;11;36.5;Burkhard Tobias;*;17;54.0;14;35.75;3;-0.75;10.0
o;8;46.5;Wey Nicola;*;5;57.0;6;47.0;-2;0.5;8.5

13h;Fallegger Marc;;;;;;;;;;55.0
o;;;Bachmann Janos (2004);;;;;;;;8.75
+;4;8.75;Grimm Michael;;24;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Loup Alexandre;*;6;56.75;7;18.25;1;-0.25;8.5
+;10;27.0;Bürge Gian (2005);;23;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Bickel Roman;*;7;56.5;10;36.75;0;0.0;8.5
+;13;45.25;Biser Niklaus;;19;53.5;14;45.0;1;-0.25;9.75

13i;Koller Fabian;*;;;;;;;;;55.0
+;;;Schläpfer Matthias;*;;;;;;;10.0
o;1;10.0;Schnurrenberger Roman;**;8;56.25;1;10.0;0;0.0;8.5
o;6;18.5;Leuppi Samir;***;5;57.0;6;18.5;0;0.0;8.5
+;10;27.0;Bachmann Janos (2004);;13;55.0;5;28.25;-5;1.25;9.75
+;10;36.75;Ochsner Reto;;10;55.75;8;37.25;-2;0.5;9.75
o;8;46.5;Arztmann Beda;**;5;57.0;6;47.0;-2;0.5;8.5

13j;Loup Grégoire;;;;;;;;;;55.0
+;;;Rhyner Beni;;;;;;;;9.75
+;2;9.75;Kundert Elias (2005);;11;55.5;2;9.75;0;0.0;9.75
o;3;19.5;Voggensperger Janic;**;5;57.0;6;18.5;3;-1.0;8.5
o;6;28.0;Wittenwiler Roman;*;13;55.0;7;27.75;1;-0.25;8.5
+;11;36.5;Straub Paul;;21;52.75;14;35.75;3;-0.75;9.75
o;9;46.25;Schneider Mario;**;9;56.0;10;46.0;1;-0.25;8.75

13k;Wittenwiler Roman;*;;;;;;;;;55.0
-;;;Nock Benjamin;*;;;;;;;9.0
+;3;9.0;Reichmuth Beat;;18;53.75;2;9.75;-1;0.75;10.0
-;4;19.0;Ott Damian;**;8;56.25;5;18.75;1;-0.25;8.75
+;7;27.75;Loup Grégoire;;13;55.0;6;28.0;-1;0.25;9.75
-;7;37.5;Good Marco;**;10;55.75;9;37.0;2;-0.5;8.75
-;9;46.25;Kindlimann Fabian;***;14;54.75;10;46.0;1;-0.25;8.75

14a;Buchmann Michael;;;;;;;;;;54.75
+;;;Müller Fabian;;;;;;;;10.0
-;1;10.0;Vollenweider Loïc (2004);;14;54.75;1;10.0;0;0.0;8.75
o;5;18.75;Ackermann Rico;*;13;55.0;7;18.25;2;-0.5;8.5
-;9;27.25;Tschudi Mario;;15;54.5;10;27.0;1;-0.25;8.75
+;13;36.0;Giger Lorenz;;21;52.75;14;35.75;1;-0.25;10.0
o;10;46.0;Kundert Elias (2005);;11;55.5;12;45.5;2;-0.5;8.75

14b;Kindlimann Fabian;***;;;;;;;;;54.75
o;;;Ott Damian;**;;;;;;;8.5
+;5;8.5;Bernold Michael;*;12;55.25;2;9.75;-3;1.25;10.0
+;6;18.5;Schlegel Reto;*;13;55.0;6;18.5;0;0.0;10.0
-;4;28.5;Collaud Romain;**;9;56.0;4;28.5;0;0.0;8.75
-;8;37.25;Wetter Silvan;*;12;55.25;5;38.0;-3;0.75;8.75
-;10;46.0;Wittenwiler Roman;*;13;55.0;9;46.25;-1;0.25;8.75

14c;Vollenweider Loïc (2004);;;;;;;;;;54.75
+;;;Schmid Simon (2006);;;;;;;;10.0
-;1;10.0;Buchmann Michael;;14;54.75;1;10.0;0;0.0;8.75
-;5;18.75;Leuppi Karim;*;15;54.5;6;18.5;1;-0.25;8.75
-;8;27.5;Schmidlin Tobias;*;14;54.75;8;27.5;0;0.0;8.75
+;12;36.25;Danner Daniel;;19;53.5;11;36.5;-1;0.25;10.0
o;9;46.25;Funk Nicola;*;8;56.25;9;46.25;0;0.0;8.5

14d;Bösch Mario (2006);;;;;;;;;;54.75
+;;;Arnold Lukas;;;;;;;;9.75
o;2;9.75;Blaser Christian;**;13;55.0;5;8.5;3;-1.25;8.5
o;7;18.25;Hari Michi;;12;55.25;6;18.5;-1;0.25;8.5
+;11;26.75;Stadelmann Valentin;;24;35.25;11;26.75;0;0.0;9.75
+;11;36.5;Biser Niklaus;;19;53.5;12;36.25;1;-0.25;9.75
o;9;46.25;Good Marco;**;10;55.75;11;45.75;2;-0.5;8.5

14e;Imhof Gregor;;;;;;;;;;54.75
+;;;Furrer Damian;;;;;;;;9.75
+;2;9.75;Stauffacher Martin;;12;55.25;4;8.75;2;-1.0;9.75
o;3;19.5;Räbsamen Marcel;**;4;57.25;5;18.75;2;-0.75;8.5
o;6;28.0;Bernold Edi;**;12;55.25;6;28.0;0;0.0;8.5
+;11;36.5;Nüesch Sandro (2005);;13;55.0;11;36.5;0;0.0;9.75
o;9;46.25;Schnurrenberger Roman;**;8;56.25;9;46.25;0;0.0;8.5

14f;Gasenzer Christian (2004);;;;;;;;;;54.75
o;;;Bucher Roman;;;;;;;;8.5
+;5;8.5;Frei Felix;;26;34.5;5;8.5;0;0.0;9.75
+;7;18.25;Danner Daniel;;19;53.5;7;18.25;0;0.0;9.75
o;6;28.0;Nock Benjamin;*;8;56.25;10;27.0;4;-1.0;8.5
o;11;36.5;Hari Michi;;12;55.25;10;36.75;-1;0.25;8.5
+;14;45.0;Eichhorn Alexander;;19;53.5;14;45.0;0;0.0;9.75

14g;Schild Cornel (2004);;;;;;;;;;54.75
+;;;Pallaoro Luca;;;;;;;;10.0
o;1;10.0;Wingeier Janik;;12;55.25;1;10.0;0;0.0;8.75
o;5;18.75;Rotach Lars;*;11;55.5;9;17.5;4;-1.25;8.5
-;9;27.25;Stadelmann Patrick;;16;54.25;10;27.0;1;-0.25;8.75
+;13;36.0;Zumbach Michael;;20;53.0;13;36.0;0;0.0;10.0
o;10;46.0;Kuster Thomas;**;11;55.5;11;45.75;1;-0.25;8.75

14h;Hänni Marc;;;;;;;;;;54.75
+;;;Höpli Remo;;;;;;;;10.0
o;1;10.0;Blaser Niklas;*;15;54.5;5;8.5;4;-1.5;8.5
+;6;18.5;Straub Paul;;21;52.75;6;18.5;0;0.0;9.75
o;5;28.25;Wetter Silvan;*;12;55.25;5;28.25;0;0.0;8.75
-;9;37.0;Kammermann Dominik;;15;54.5;9;37.0;0;0.0;9.0
o;10;46.0;Bernold Michael;*;12;55.25;12;45.5;2;-0.5;8.75

14i;Buff Alwin;;;;;;;;;;54.75
o;;;Müller Jano (2005);;;;;;;;8.5
+;5;8.5;Rickenmann Ramon;;27;34.25;5;8.5;0;0.0;9.75
+;7;18.25;Bossert Luc (2006);;23;35.5;6;18.5;-1;0.25;9.75
o;6;28.0;Lenherr Cédric;*;12;55.25;10;27.0;4;-1.0;8.5
o;11;36.5;Feldmann Patrik (2005);;12;55.25;10;36.75;-1;0.25;8.5
+;14;45.0;Sieber Marc;;17;54.0;13;45.25;-1;0.25;9.75

14j;Kiser Aron;;;;;;;;;;54.75
+;;;Grimm Michael;;;;;;;;9.75
+;2;9.75;Bachmann Janos (2004);;13;55.0;2;9.75;0;0.0;10.0
-;2;19.75;Funk Nicola;*;8;56.25;6;18.5;4;-1.25;9.0
-;3;28.75;Schnurrenberger Roman;**;8;56.25;3;28.75;0;0.0;9.0
o;6;37.75;Wingeier Janik;;12;55.25;9;37.0;3;-0.75;8.5
o;9;46.25;Collaud Romain;**;9;56.0;10;46.0;1;-0.25;8.5

14k;Schmidlin Tobias;*;;;;;;;;;54.75
o;;;Hugelshofer Lars;*;;;;;;;8.5
-;5;8.5;Lüönd Remo;;16;54.25;2;9.75;-3;1.25;9.0
+;9;17.5;Giger Lorenz;;21;52.75;5;18.75;-4;1.25;10.0
-;8;27.5;Vollenweider Loïc (2004);;14;54.75;8;27.5;0;0.0;9.0
o;11;36.5;Bürgler Patrick;*;12;55.25;10;36.75;-1;0.25;8.5
+;14;45.0;Furrer Damian;;19;53.5;14;45.0;0;0.0;9.75

15a;Kammermann Dominik;;;;;;;;;;54.5
+;;;Stadelmann Valentin;;;;;;;;10.0
-;1;10.0;Rotach Lars;*;11;55.5;4;8.75;3;-1.25;8.75
o;5;18.75;Wetter Silvan;*;12;55.25;7;18.25;2;-0.5;8.5
+;9;27.25;Keller Dominic;;10;55.75;9;27.25;0;0.0;9.75
-;9;37.0;Hänni Marc;;14;54.75;9;37.0;0;0.0;9.0
o;10;46.0;Anliker Andri;;9;56.0;10;46.0;0;0.0;8.5

15b;Schudel Simon;*;;;;;;;;;54.5
o;;;Bernold Michael;*;;;;;;;8.5
+;5;8.5;Danner Daniel;;19;53.5;2;9.75;-3;1.25;10.0
+;6;18.5;Küchler Severin;;23;35.5;6;18.5;0;0.0;10.0
o;4;28.5;Rychen Roger;***;1;58.5;4;28.5;0;0.0;8.5
-;9;37.0;Neff Florian;*;16;54.25;9;37.0;0;0.0;8.75
-;11;45.75;Blaser Niklas;*;15;54.5;11;45.75;0;0.0;8.75

15c;Kolb Kilian (2005);;;;;;;;;;54.5
+;;;Kiener Tobias;;;;;;;;10.0
-;1;10.0;Riget Tobias;**;22;46.0;4;8.75;3;-1.25;8.75
o;5;18.75;Bernold Michael;*;12;55.25;6;18.5;1;-0.25;8.5
+;9;27.25;Giger Lorenz;;21;52.75;9;27.25;0;0.0;9.75
o;9;37.0;Wey Nicola;*;5;57.0;8;37.25;-1;0.25;8.5
-;12;45.5;Keller Werner;*;15;54.5;12;45.5;0;0.0;9.0

15d;Keller Werner;*;;;;;;;;;54.5
+;;;Wettstein Daniel;*;;;;;;;9.75
o;2;9.75;Nägeli Marco;**;6;56.75;4;8.75;2;-1.0;8.5
+;7;18.25;Anliker Andri;;9;56.0;4;19.0;-3;0.75;10.0
o;5;28.25;Winzeler Simon;;6;56.75;4;28.5;-1;0.25;8.75
o;9;37.0;Funk Nicola;*;8;56.25;11;36.5;2;-0.5;8.5
-;12;45.5;Kolb Kilian (2005);;15;54.5;12;45.5;0;0.0;9.0

15e;Blaser Niklas;*;;;;;;;;;54.5
o;;;Lanter Christian;*;;;;;;;8.5
+;5;8.5;Hänni Marc;;14;54.75;1;10.0;-4;1.5;10.0
o;6;18.5;Schlegel Werner;**;4;57.25;6;18.5;0;0.0;8.5
-;10;27.0;Wingeier Janik;;12;55.25;5;28.25;-5;1.25;8.75
+;14;35.75;Eichhorn Alexander;;19;53.5;11;36.5;-3;0.75;10.0
-;11;45.75;Schudel Simon;*;15;54.5;11;45.75;0;0.0;8.75

15f;Schiesser Patrik;*;;;;;;;;;54.5
o;;;Odermatt Gian Maria (2004);*;;;;;;;8.5
+;5;8.5;Heierli Pascal;**;25;35.0;5;8.5;0;0.0;10.0
-;6;18.5;Plüer Fabian;;16;54.25;2;19.75;-4;1.25;9.0
+;8;27.5;Rüegg Patrick;;10;55.75;5;28.25;-3;0.75;10.0
o;7;37.5;Arztmann Beda;**;5;57.0;8;37.25;1;-0.25;8.5
o;10;46.0;Ott Damian;**;8;56.25;9;46.25;-1;0.25;8.5

15g;Leuppi Karim;*;;;;;;;;;54.5
o;;;Bühler Hannes;*;;;;;;;8.5
+;5;8.5;Gaccioli Benjamin;;24;35.25;2;9.75;-3;1.25;10.0
-;6;18.5;Vollenweider Loïc (2004);;14;54.75;5;18.75;-1;0.25;8.75
+;9;27.25;Büchler Livio;;12;55.25;9;27.25;0;0.0;10.0
o;8;37.25;Koch Reto;*;10;55.75;9;37.0;1;-0.25;8.75
o;10;46.0;Notz Beni;***;10;55.75;10;46.0;0;0.0;8.5

15h;Wettstein Daniel;*;;;;;;;;;54.5
o;;;Keller Werner;*;;;;;;;8.5
-;5;8.5;Stadelmann Patrick;;16;54.25;2;9.75;-3;1.25;8.75
-;10;17.25;Ochsner Reto;;10;55.75;6;18.5;-4;1.25;8.75
+;13;26.0;Müller Fabian;;21;52.75;9;27.25;-4;1.25;10.0
+;13;36.0;Tschudi Mario;;15;54.5;13;36.0;0;0.0;10.0
o;10;46.0;Bieri Christian;**;11;55.5;11;45.75;1;-0.25;8.5

15i;Tschudi Mario;;;;;;;;;;54.5
o;;;Wingeier Janik;;;;;;;;8.5
+;5;8.5;Furrer Damian;;19;53.5;5;8.5;0;0.0;10.0
o;6;18.5;Geisser Lars;**;11;55.5;7;18.25;1;-0.25;8.5
-;10;27.0;Buchmann Michael;;14;54.75;9;27.25;-1;0.25;9.0
o;13;36.0;Wettstein Daniel;*;15;54.5;13;36.0;0;0.0;8.5
+;15;44.5;Straub Paul;;21;52.75;16;44.25;1;-0.25;10.0

16a;Zollinger Philipp (2004);;;;;;;;;;54.25
o;;;Stadelmann Patrick;;;;;;;;8.75
+;4;8.75;Falch Urs;;24;35.25;5;8.5;1;-0.25;10.0
o;5;18.75;Good Marco;**;10;55.75;10;17.25;5;-1.5;8.5
+;9;27.25;Jäger Mathias (2006);;23;35.5;10;27.0;1;-0.25;10.0
o;8;37.25;Schlegel Reto;*;13;55.0;10;36.75;2;-0.5;8.5
o;11;45.75;Ochsner Reto;;10;55.75;11;45.75;0;0.0;8.5

16b;Kiener Raphael;;;;;;;;;;54.25
-;;;Mösli Marcel;;;;;;;;8.75
+;4;8.75;Höpli Remo;;23;35.5;5;8.5;1;-0.25;10.0
-;5;18.75;Heierli Pascal;**;25;35.0;10;17.25;5;-1.5;9.0
-;7;27.75;Feldmann Patrik (2005);;12;55.25;7;27.75;0;0.0;9.0
-;10;36.75;Lacher Tobias (2005);;12;55.25;11;36.5;1;-0.25;9.0
o;11;45.75;Koller Silvan;*;11;55.5;12;45.5;1;-0.25;8.5

16c;Affentranger Martin;;;;;;;;;;54.25
-;;;Magani Flurin;;;;;;;;8.75
o;4;8.75;Mösli Marcel;;29;27.0;4;8.75;0;0.0;8.5
o;10;17.25;Bachmann Janos (2004);;13;55.0;7;18.25;-3;1.0;8.5
+;14;25.75;Gaccioli Benjamin;;24;35.25;11;26.75;-3;1.0;10.0
+;14;35.75;Müller Fabian;;21;52.75;14;35.75;0;0.0;10.0
o;11;45.75;Ackermann Rico;*;13;55.0;13;45.25;2;-0.5;8.5

16d;Fuster Arjuna;;;;;;;;;;54.25
+;;;Jäger Mathias (2006);;;;;;;;9.75
o;2;9.75;Ziegler Andreas;;16;54.25;2;9.75;0;0.0;8.5
-;7;18.25;Schläpfer Matthias;*;23;35.5;11;17.0;4;-1.25;8.75
+;10;27.0;Höpli Remo;;23;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Lehmann Philipp;*;6;56.75;8;37.25;-1;0.25;8.75
o;11;45.75;Keller Dominic;;10;55.75;11;45.75;0;0.0;8.5

16e;Kühne Cyrill (2004);;;;;;;;;;54.25
o;;;Kundert Elias (2005);;;;;;;;8.5
+;5;8.5;Stark Walter (2006);;24;35.25;5;8.5;0;0.0;10.0
+;6;18.5;Bürgler Patrick;*;12;55.25;7;18.25;1;-0.25;9.75
o;5;28.25;Koch Thomas;*;6;56.75;5;28.25;0;0.0;8.5
o;10;36.75;Anliker Nino (2005);;11;55.5;10;36.75;0;0.0;8.75
o;12;45.5;Lacher Tobias (2005);;12;55.25;12;45.5;0;0.0;8.75

16f;Ziegler Andreas;;;;;;;;;;54.25
+;;;Siegenthaler Joël;;;;;;;;9.75
+;2;9.75;Fuster Arjuna;;16;54.25;2;9.75;0;0.0;10.0
o;2;19.75;Dändliker Shane;**;5;57.0;5;18.75;3;-1.0;8.5
o;5;28.25;Ammann Rico;*;12;55.25;6;28.0;1;-0.25;8.75
-;9;37.0;Odermatt Michi;;17;54.0;10;36.75;1;-0.25;8.75
o;11;45.75;Bühler Hannes;*;12;55.25;12;45.5;1;-0.25;8.5

16g;Neff Florian;*;;;;;;;;;54.25
-;;;Burkhard Tobias;*;;;;;;;8.75
o;4;8.75;Rüegg Patrick;;10;55.75;1;10.0;-3;1.25;8.5
+;10;17.25;Kiener Tobias;;24;35.25;7;18.25;-3;1.0;9.75
+;10;27.0;Reichmuth Beat;;18;53.75;6;28.0;-4;1.0;10.0
-;9;37.0;Schudel Simon;*;15;54.5;9;37.0;0;0.0;8.75
o;11;45.75;Rotach Lars;*;11;55.5;11;45.75;0;0.0;8.5

16h;Plüer Fabian;;;;;;;;;;54.25
+;;;Peter Philipp;;;;;;;;9.75
+;2;9.75;Lenherr Cédric;*;12;55.25;5;8.5;3;-1.25;10.0
-;2;19.75;Schiesser Patrik;*;15;54.5;6;18.5;4;-1.25;9.0
o;3;28.75;Signer Andy;*;9;56.0;4;28.5;1;-0.25;8.5
o;8;37.25;Giger Florian;;12;55.25;9;37.0;1;-0.25;8.5
o;11;45.75;Brunner Dominik (2004);;11;55.5;11;45.75;0;0.0;8.5

16i;Lüönd Remo;;;;;;;;;;54.25
+;;;Frei Felix;;;;;;;;9.75
-;2;9.75;Schmidlin Tobias;*;14;54.75;5;8.5;3;-1.25;8.75
o;6;18.5;Müller Jano (2005);;17;54.0;6;18.5;0;0.0;8.5
+;10;27.0;Zürcher Fabrice (2006);;23;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Rüegg Patrick;;10;55.75;9;37.0;0;0.0;8.75
o;11;45.75;Lenherr Cédric;*;12;55.25;13;45.25;2;-0.5;8.5

16j;Stadelmann Patrick;;;;;;;;;;54.25
+;;;Zollinger Philipp (2004);;;;;;;;9.75
-;2;9.75;Wettstein Daniel;*;15;54.5;5;8.5;3;-1.25;8.75
o;6;18.5;Odermatt Gian Maria (2004);*;6;56.75;6;18.5;0;0.0;8.5
-;10;27.0;Schild Cornel (2004);;14;54.75;9;27.25;-1;0.25;8.75
o;14;35.75;Keller Dominic;;10;55.75;14;35.75;0;0.0;8.5
+;16;44.25;Giger Lorenz;;21;52.75;16;44.25;0;0.0;10.0

17a;Odermatt Michi;;;;;;;;;;54.0
+;;;Rickenmann Ramon;;;;;;;;10.0
