3125-2015-08-09_Schaffhauser_Kantonalschwingfest-ST

+;9;36.75;Gubler Daniel;;10;55.25;9;36.75;0;0.0;9.75
+;8;46.5;Ott Dominik;;5;56.5;3;47.75;-5;1.25;10.0

5c;Korrodi Paul;*;;;;;;;;;56.5
+;;;Schmid Patrick (1997);*;;;;;;;9.75
o;2;9.75;Notz Beni;***;3;57.0;1;10.0;-1;0.25;8.5
+;7;18.25;Fäh Tobias;;15;54.0;6;18.5;-1;0.25;10.0
o;7;28.25;Pfister Florian;;3;57.0;6;28.5;-1;0.25;8.5
+;9;36.75;Koch Reto;;8;55.75;8;37.0;-1;0.25;9.75
+;8;46.5;Geisser Lars;*;8;55.75;5;47.25;-3;0.75;10.0

5d;Straub Robin;*;;;;;;;;;56.5
+;;;Schlumpf Dominik;*;;;;;;;9.75
+;2;9.75;Burkhard Tobias;;14;54.25;1;10.0;-1;0.25;9.75
-;3;19.5;Holenstein Christian;*;9;55.5;2;19.75;-1;0.25;8.75
+;7;28.25;Frei Hanspeter (1999);;15;54.0;6;28.5;-1;0.25;10.0
o;3;38.25;Knechtle Martin;**;3;57.0;8;37.0;5;-1.25;8.5
+;7;46.75;Bickel Stefan;*;11;55.0;8;46.5;1;-0.25;9.75

5e;Ott Dominik;;;;;;;;;;56.5
+;;;Funk Nicola (1999);;;;;;;;9.75
+;2;9.75;Notz Hans;*;16;53.75;5;8.5;3;-1.25;10.0
+;2;19.75;Inauen Andreas;*;13;54.5;5;18.75;3;-1.0;9.75
o;2;29.5;Giger Samuel (1998);**;1;58.25;6;28.5;4;-1.0;8.5
+;4;38.0;Burkhard Tobias;;14;54.25;8;37.0;4;-1.0;9.75
o;3;47.75;Ueltschi Patric;;5;56.5;8;46.5;5;-1.25;8.75

5f;Scherer Christian;*;;;;;;;;;56.5
+;;;Hofstetter Manuel;*;;;;;;;9.75
o;2;9.75;Burkhalter Stefan;***;2;57.5;1;10.0;-1;0.25;8.5
+;7;18.25;Funk Nicola (1999);;16;53.75;7;18.25;0;0.0;10.0
-;7;28.25;Zbinden Marc;*;22;45.0;10;27.5;3;-0.75;8.75
+;8;37.0;Riget Ivan;*;14;54.25;7;37.25;-1;0.25;9.75
+;7;46.75;Landolt Reto;*;9;55.5;6;47.0;-1;0.25;9.75

6a;Bühler Ernst;**;;;;;;;;;56.25
+;;;Bösch Roman;**;;;;;;;9.75
+;2;9.75;Kaech Frank;;4;56.75;1;10.0;-1;0.25;9.75
+;3;19.5;Braun Mathias;;11;55.0;3;19.5;0;0.0;9.75
o;3;29.25;Büsser Andy;***;2;57.5;5;28.75;2;-0.5;8.5
+;5;37.75;Meier Remo;**;9;55.5;7;37.25;2;-0.5;10.0
o;3;47.75;Schlegel Reto (1997);*;4;56.75;7;46.75;4;-1.0;8.5

6b;Manser Bruno;*;;;;;;;;;56.25
+;;;Bleiker Reto;*;;;;;;;10.0
o;1;10.0;Giger Samuel (1998);**;1;58.25;4;8.75;3;-1.25;8.5
-;6;18.5;Schnurrenberger Roman;**;12;54.75;6;18.5;0;0.0;8.75
+;11;27.25;Burkhard Patrick;*;9;55.5;11;27.25;0;0.0;10.0
-;7;37.25;Bernold Christian;*;3;57.0;4;38.0;-3;0.75;9.0
+;9;46.25;Berger Roman;;9;55.5;7;46.75;-2;0.5;10.0

7a;Gwerder Andreas;**;;;;;;;;;56.0
o;;;Riget Tobias;**;;;;;;;8.5
-;5;8.5;Schnyder Patrick;;19;53.0;4;8.75;-1;0.25;8.75
+;10;17.25;Rütsche Werner;;10;55.25;7;18.25;-3;1.0;10.0
+;11;27.25;Hersche Daniel;;10;55.25;12;27.0;1;-0.25;10.0
-;7;37.25;Streuli Martin;*;12;54.75;6;37.5;-1;0.25;8.75
+;10;46.0;Inauen Andreas;*;13;54.5;10;46.0;0;0.0;10.0

7b;Hofstetter Manuel;*;;;;;;;;;56.0
o;;;Scherer Christian;*;;;;;;;8.5
-;5;8.5;Rutz Kaspar;;14;54.25;4;8.75;-1;0.25;8.75
+;10;17.25;Gysel Hansruedi;;9;55.5;5;18.75;-5;1.5;10.0
+;11;27.25;Alder Armin;;15;54.0;7;28.25;-4;1.0;9.75
+;8;37.0;Schwyn Adrian;;14;54.25;7;37.25;-1;0.25;10.0
