3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST

1a;Nötzli Bruno;***;;;;;;;;;58.5
+;6;47.0;Schürpf Bruno;;11;55.5;7;46.75;1;-0.25;9.75

6b;Egli Manuel;*;;;;;;;;;56.75
-;;;Elsener Adrian;**;;;;;;;8.75
o;4;8.75;Linggi Bruno;**;8;56.25;5;8.5;1;-0.25;8.5
+;10;17.25;Blatter Remo (2000);;12;55.25;6;18.5;-4;1.25;9.75
+;10;27.0;Ziegler Moritz;;16;54.25;9;27.25;-1;0.25;10.0
+;9;37.0;Gassmann Fabian;**;13;55.0;10;36.75;1;-0.25;10.0
+;6;47.0;Gwerder Beni;;12;55.25;7;46.75;1;-0.25;9.75

6c;Egli Pirmin;**;;;;;;;;;56.75
-;;;Zimmermann Martin;**;;;;;;;9.0
+;3;9.0;Kurmann Jvo;;12;55.25;1;10.0;-2;1.0;9.75
+;5;18.75;Durrer Nando (1999);;13;55.0;2;19.75;-3;1.0;9.75
-;4;28.5;Elsener Adrian;**;7;56.5;5;28.25;1;-0.25;8.75
+;8;37.25;Briker Michael;*;10;55.75;9;37.0;1;-0.25;9.75
+;6;47.0;Ulrich Gregor;;15;54.5;10;46.0;4;-1.0;9.75

6d;Felder Seppi;*;;;;;;;;;56.75
-;;;Ettlin Stefan;*;;;;;;;9.0
+;3;9.0;Vonlaufen Lukas;*;34;17.0;5;8.5;2;-0.5;9.75
-;5;18.75;Elmiger Andreas;;16;54.25;1;20.0;-4;1.25;8.75
+;8;27.5;Rüttimann Daniel;;11;55.5;5;28.25;-3;0.75;9.75
+;8;37.25;Kessler Joel;*;16;54.25;9;37.0;1;-0.25;9.75
+;6;47.0;Durrer Nando (1999);;13;55.0;8;46.5;2;-0.5;9.75

6e;Graber Michael;*;;;;;;;;;56.75
-;;;Binggeli Stefan;*;;;;;;;8.75
+;4;8.75;Bürgler André;*;11;55.5;5;8.5;1;-0.25;9.75
o;6;18.5;Suppiger René;***;5;57.0;7;18.25;1;-0.25;8.5
+;10;27.0;Weber Marc (1999);;14;54.75;9;27.25;-1;0.25;10.0
+;9;37.0;Blatter Remo (2000);;12;55.25;9;37.0;0;0.0;9.75
+;7;46.75;Hurschler Adrian;;14;54.75;9;46.25;2;-0.5;10.0

6f;Ambühl Joel;*;;;;;;;;;56.75
o;;;Reichmuth Armin;*;;;;;;;8.5
+;5;8.5;Huber Alex;*;11;55.5;5;8.5;0;0.0;10.0
o;6;18.5;Fankhauser Erich;***;4;57.25;9;17.5;3;-1.0;8.75
+;9;27.25;Fallegger Joel;;14;54.75;6;28.0;-3;0.75;9.75
+;9;37.0;Wyrsch Silvio;;8;56.25;7;37.5;-2;0.5;9.75
+;7;46.75;Bussmann Martin;;15;54.5;10;46.0;3;-0.75;10.0

6g;Blaser Theo;*;;;;;;;;;56.75
-;;;Felder Martin;*;;;;;;;9.0
+;3;9.0;Portmann Stefan;;12;55.25;2;9.75;-1;0.75;9.75
o;5;18.75;Wicki Joel;**;3;57.5;4;19.0;-1;0.25;8.5
+;9;27.25;Heiniger Luca;;12;55.25;5;28.25;-4;1.0;10.0
+;8;37.25;Thierstein Marco;;8;56.25;5;38.0;-3;0.75;9.75
+;6;47.0;Bürli Roger;**;14;54.75;9;46.25;3;-0.75;9.75

6h;Fankhauser Reto;**;;;;;;;;;56.75
+;;;Gassmann Fabian;**;;;;;;;9.75
o;2;9.75;Nötzli Bruno;***;1;58.5;1;10.0;-1;0.25;8.5
+;7;18.25;Gander Benjamin (2000);;16;54.25;5;18.75;-2;0.5;10.0
+;5;28.25;Ottiger Lukas;;12;55.25;4;28.5;-1;0.25;9.75
+;5;38.0;Egli Damian;**;6;56.75;3;38.5;-2;0.5;10.0
o;2;48.0;Ulrich Andreas;***;5;57.0;6;47.0;4;-1.0;8.75

6i;Egli Damian;**;;;;;;;;;56.75
+;;;Vonlaufen Lukas;*;;;;;;;10.0
+;1;10.0;Walker Roger;;14;54.75;1;10.0;0;0.0;9.75
-;2;19.75;Nötzli Bruno;***;1;58.5;1;20.0;-1;0.25;8.75
+;4;28.5;Jund Matthias (1999);;17;54.0;5;28.25;1;-0.25;10.0
o;3;38.5;Fankhauser Reto;**;6;56.75;5;38.0;2;-0.5;8.5
+;6;47.0;Zürcher Ueli (2000);;13;55.0;8;46.5;2;-0.5;9.75

6j;Fankhauser Marco;**;;;;;;;;;56.75
+;;;Odermatt Christian;**;;;;;;;9.75
+;2;9.75;Schärli Reto;;10;55.75;1;10.0;-1;0.25;10.0
+;2;19.75;Reichmuth Marco;**;5;57.0;5;18.75;3;-1.0;9.75
o;1;29.5;Käser Remo;***;4;57.25;4;28.5;3;-1.0;8.5
+;5;38.0;Doppmann Urs;*;6;56.75;3;38.5;-2;0.5;10.0
o;2;48.0;Nötzli Bruno;***;1;58.5;1;48.5;-1;0.5;8.75

6k;Fink Bruno;*;;;;;;;;;56.75
o;;;Hurschler Thomas;**;;;;;;;8.5
+;5;8.5;Schelbert Roman;;11;55.5;1;10.0;-4;1.5;9.75
+;7;18.25;Ming Hannes;;14;54.75;5;18.75;-2;0.5;10.0
o;5;28.25;Müller Michael;**;2;57.75;2;29.0;-3;0.75;8.75
+;9;37.0;Gut Koni;;16;54.25;9;37.0;0;0.0;9.75
+;7;46.75;von Büren Stephan;*;12;55.25;7;46.75;0;0.0;10.0

6l;Portmann Josef;*;;;;;;;;;56.75
+;;;Betschart Patrick (1999);*;;;;;;;10.0
o;1;10.0;Ulrich Andreas;***;5;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Elmiger Matthias;;14;54.75;4;19.0;-2;0.5;10.0
