3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST

1a;Nötzli Bruno;***;;;;;;;;;58.5
+;10;36.75;Bucher Thomas;;13;55.0;10;36.75;0;0.0;9.75
o;8;46.5;Felder Seppi;*;6;56.75;6;47.0;-2;0.5;8.5

13m;Gassmann Fabian;**;;;;;;;;;55.0
o;;;Fankhauser Reto;**;;;;;;;8.5
o;5;8.5;Fellmann Roman;*;17;54.0;4;8.75;-1;0.25;8.5
+;11;17.0;Wicki Fabian (2001);;25;35.5;7;18.25;-4;1.25;9.75
+;11;26.75;Wyss Sven (2001);;14;54.75;9;27.25;-2;0.5;10.0
o;10;36.75;Egli Manuel;*;6;56.75;9;37.0;-1;0.25;8.5
+;13;45.25;Kammermann Dominik;;16;54.25;11;45.75;-2;0.5;9.75

13n;Doppmann Ueli;;;;;;;;;;55.0
+;;;Wyrsch Fabian (2001);;;;;;;;10.0
+;1;10.0;Ziegler Moritz;;16;54.25;1;10.0;0;0.0;9.75
o;2;19.75;Gloggner Reto;**;4;57.25;6;18.5;4;-1.25;8.5
o;5;28.25;Fessler Linus;*;11;55.5;9;27.25;4;-1.0;8.5
o;10;36.75;Heiniger Luca;;12;55.25;10;36.75;0;0.0;8.5
+;13;45.25;Huser Christian (2000);;22;52.75;17;44.25;4;-1.0;9.75

13o;Fellmann Simon;;;;;;;;;;55.0
-;;;Reber Sandro;;;;;;;;8.75
+;4;8.75;Schwyzer Samuel (2001);;27;35.0;4;8.75;0;0.0;10.0
o;5;18.75;Steinauer Adrian;**;4;57.25;8;17.75;3;-1.0;8.5
-;9;27.25;Forster Christian;;20;53.25;9;27.25;0;0.0;9.0
-;12;36.25;Bär Leo;;14;54.75;12;36.25;0;0.0;8.75
+;14;45.0;Schumacher Marco (2000);;22;52.75;17;44.25;3;-0.75;10.0

14a;Ming Hannes;;;;;;;;;;54.75
-;;;Barmet Sven;;;;;;;;8.75
+;4;8.75;Lustenberger Christian (2001);;31;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Fink Bruno;*;6;56.75;7;18.25;2;-0.5;8.5
-;9;27.25;Gisler Stefan;;12;55.25;8;27.5;-1;0.25;8.75
-;13;36.0;Wyss Sven (2001);;14;54.75;14;35.75;1;-0.25;9.0
+;14;45.0;Fischer Jonas (1999);;21;53.0;16;44.5;2;-0.5;9.75

14b;Bürli Roger;**;;;;;;;;;54.75
-;;;Herger Matthias;**;;;;;;;8.75
+;4;8.75;Ming Christian;*;25;35.5;5;8.5;1;-0.25;9.75
-;6;18.5;Schürpf Bruno;;11;55.5;3;19.5;-3;1.0;9.0
+;8;27.5;Kempf Damian;;18;53.75;6;28.0;-2;0.5;9.75
-;8;37.25;Kälin Roland;**;9;56.0;9;37.0;1;-0.25;9.0
o;9;46.25;Blaser Theo;*;6;56.75;6;47.0;-3;0.75;8.5

14c;Wyss Sven (2001);;;;;;;;;;54.75
-;;;Käslin Valentin (2000);;;;;;;;9.0
o;3;9.0;Fallegger Franco (1999);;12;55.25;5;8.5;2;-0.5;8.5
+;9;17.5;Bühlmann Robin (1999);;29;34.5;10;17.25;1;-0.25;9.75
o;9;27.25;Gassmann Fabian;**;13;55.0;11;26.75;2;-0.5;8.5
-;14;35.75;Ming Hannes;;14;54.75;13;36.0;-1;0.25;9.0
+;15;44.75;Krummenacher Roman;;20;53.25;15;44.75;0;0.0;10.0

14d;Bieri Elias;;;;;;;;;;54.75
-;;;Küttel Samuel;;;;;;;;8.75
-;4;8.75;Wetzstein Adrian;;17;54.0;5;8.5;1;-0.25;8.75
+;9;17.5;Zumstein Marcel;;25;35.5;6;18.5;-3;1.0;9.75
+;9;27.25;Ming Christian;*;25;35.5;10;27.0;1;-0.25;10.0
o;8;37.25;Brun Jonas;**;10;55.75;8;37.25;0;0.0;8.5
-;11;45.75;Ulrich Pascal (1999);;14;54.75;11;45.75;0;0.0;9.0

14e;Hurschler Adrian;;;;;;;;;;54.75
+;;;Fischer Tobias;;;;;;;;9.75
+;2;9.75;Staffelbach Beat (2000);;25;35.5;1;10.0;-1;0.25;9.75
o;3;19.5;Suppiger Werner;**;5;57.0;6;18.5;3;-1.0;8.5
o;6;28.0;Zgraggen Fabian;*;11;55.5;9;27.25;3;-0.75;8.5
+;11;36.5;Erni Mathias;;18;53.75;10;36.75;-1;0.25;9.75
o;9;46.25;Graber Michael;*;6;56.75;7;46.75;-2;0.5;8.5

14f;Schaller Noah (2000);;;;;;;;;;54.75
-;;;Reichmuth Roland;;;;;;;;9.0
o;3;9.0;Odermatt Sepp;;12;55.25;5;8.5;2;-0.5;8.5
+;9;17.5;Hunkeler Joel (2001);;30;34.25;11;17.0;2;-0.5;10.0
o;8;27.5;Herger Matthias;**;7;56.5;9;27.25;1;-0.25;8.75
-;12;36.25;Wyrsch Hansi (1999);;21;53.0;14;35.75;2;-0.5;8.75
+;14;45.0;Gabriel Christian (2000);;22;52.75;17;44.25;3;-0.75;9.75

14g;Murer Andy;*;;;;;;;;;54.75
-;;;Bernet Christoph;*;;;;;;;8.75
-;4;8.75;Schärli Lukas;**;15;54.5;5;8.5;1;-0.25;8.75
+;9;17.5;Scherrer Patrick;;18;53.75;6;18.5;-3;1.0;10.0
-;8;27.5;Portmann Daniel;;17;54.0;5;28.25;-3;0.75;8.75
+;12;36.25;Müller Remo;;18;53.75;10;36.75;-2;0.5;10.0
o;9;46.25;Felder Martin;*;7;56.5;7;46.75;-2;0.5;8.5

14h;Ulrich Pascal (1999);;;;;;;;;;54.75
o;;;Vogel Manuel;;;;;;;;8.5
+;5;8.5;Arnold Adrian (2001);;22;52.75;4;8.75;-1;0.25;10.0
-;6;18.5;Gisler Stefan;;12;55.25;6;18.5;0;0.0;9.0
o;8;27.5;Fankhauser Erich;***;4;57.25;9;27.25;1;-0.25;8.5
+;13;36.0;Krummenacher Roman;;20;53.25;13;36.0;0;0.0;9.75
-;11;45.75;Bieri Elias;;14;54.75;11;45.75;0;0.0;9.0

14i;Betschart Daniel;;;;;;;;;;54.75
+;;;Kammermann Dominik;;;;;;;;9.75
-;2;9.75;Wüest David (2000);;15;54.5;1;10.0;-1;0.25;8.75
-;6;18.5;Müller Toni;*;25;35.5;11;17.0;5;-1.5;9.0
-;8;27.5;Thalmann Thomas;*;16;54.25;10;27.0;2;-0.5;8.75
+;12;36.25;Hodel Martin;;21;53.0;13;36.0;1;-0.25;9.75
-;10;46.0;Wicki Kevin;;12;55.25;8;46.5;-2;0.5;8.75

14j;Walker Roger;;;;;;;;;;54.75
+;;;Benz Simon (2000);;;;;;;;10.0
o;1;10.0;Egli Damian;**;6;56.75;1;10.0;0;0.0;8.5
o;6;18.5;Schmid Simon (2000);;10;55.75;6;18.5;0;0.0;8.5
-;10;27.0;Ziegler Elias (1999);;15;54.5;10;27.0;0;0.0;9.0
+;13;36.0;Arnold Sedric;;16;54.25;13;36.0;0;0.0;9.75
-;11;45.75;Stucki Christian;;14;54.75;11;45.75;0;0.0;9.0

14k;Suter David;**;;;;;;;;;54.75
o;;;Egli David;*;;;;;;;8.5
+;5;8.5;Felder Martin;*;7;56.5;3;9.0;-2;0.5;9.75
+;7;18.25;Thalmann Adrian;;32;27.25;5;18.75;-2;0.5;9.75
+;6;28.0;Wüest David (2000);;15;54.5;4;28.5;-2;0.5;9.75
o;6;37.75;Schurtenberger Sven;***;5;57.0;8;37.25;2;-0.5;8.5
o;9;46.25;Wyrsch Silvio;;8;56.25;9;46.25;0;0.0;8.5

14l;Schnider Markus;*;;;;;;;;;54.75
+;;;Ming Christian;*;;;;;;;9.75
+;2;9.75;Widmer Simon;;25;35.5;1;10.0;-1;0.25;9.75
-;3;19.5;Müller Michael;**;2;57.75;1;20.0;-2;0.5;9.0
-;4;28.5;Ulrich Gregor;;15;54.5;3;28.75;-1;0.25;8.75
-;8;37.25;Käslin Ruedi;*;10;55.75;9;37.0;1;-0.25;8.75
-;10;46.0;Elmiger Matthias;;14;54.75;10;46.0;0;0.0;8.75

14m;Hirsiger Alexander;;;;;;;;;;54.75
o;;;Zgraggen Fabian;*;;;;;;;8.5
+;5;8.5;Burri Timo (2001);;25;35.5;2;9.75;-3;1.25;10.0
-;6;18.5;Arnold Sedric;;16;54.25;5;18.75;-1;0.25;9.0
o;8;27.5;Bürgler André;*;11;55.5;9;27.25;1;-0.25;8.5
-;13;36.0;Bissig Fabian;;10;55.75;9;37.0;-4;1.0;8.75
+;15;44.75;Suter Beat;;20;53.25;16;44.5;1;-0.25;10.0

14n;Stucki Christian;;;;;;;;;;54.75
+;;;Kohler Fabian;;;;;;;;10.0
o;1;10.0;Elsener Adrian;**;7;56.5;4;8.75;3;-1.25;8.75
+;5;18.75;Ziegler Moritz;;16;54.25;5;18.75;0;0.0;10.0
o;3;28.75;Egli David;*;4;57.25;3;28.75;0;0.0;8.5
o;8;37.25;Arnold Raphael;*;12;55.25;9;37.0;1;-0.25;8.5
-;11;45.75;Walker Roger;;14;54.75;11;45.75;0;0.0;9.0

14o;Elmiger Matthias;;;;;;;;;;54.75
+;;;Zumstein Marcel;;;;;;;;10.0
-;1;10.0;Fässler Dominic;*;14;54.75;1;10.0;0;0.0;9.0
o;4;19.0;Portmann Josef;*;6;56.75;6;18.5;2;-0.5;8.5
+;8;27.5;Gander Benjamin (2000);;16;54.25;9;27.25;1;-0.25;10.0
o;7;37.5;Stadelmann Ron;;7;56.5;5;38.0;-2;0.5;8.5
-;10;46.0;Schnider Markus;*;14;54.75;10;46.0;0;0.0;8.75

14p;Fässler Dominic;*;;;;;;;;;54.75
+;;;Martin Robin;*;;;;;;;10.0
-;1;10.0;Elmiger Matthias;;14;54.75;1;10.0;0;0.0;9.0
o;4;19.0;Zimmermann Martin;**;8;56.25;5;18.75;1;-0.25;8.5
o;8;27.5;Schelbert Roman;;11;55.5;5;28.25;-3;0.75;8.5
-;13;36.0;Wetzstein Adrian;;17;54.0;10;36.75;-3;0.75;8.75
+;15;44.75;Fenk Daniel;;19;53.5;14;45.0;-1;0.25;10.0

14q;Bär Leo;;;;;;;;;;54.75
-;;;Wyrsch Silvio;;;;;;;;8.75
-;4;8.75;Arnold Sedric;;16;54.25;2;9.75;-2;1.0;8.75
+;9;17.5;Fallegger Franco (1999);;12;55.25;6;18.5;-3;1.0;10.0
-;8;27.5;Stadelmann Simon;*;15;54.5;9;27.25;1;-0.25;8.75
-;12;36.25;Fellmann Simon;;13;55.0;12;36.25;0;0.0;8.75
+;14;45.0;Ziegler Manuel;;18;53.75;13;45.25;-1;0.25;9.75

14r;Fallegger Joel;;;;;;;;;;54.75
+;;;Zürcher Ueli (2000);;;;;;;;9.75
o;2;9.75;Lang Sven;*;7;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Ulrich Livio (1999);;17;54.0;5;18.75;-2;0.5;9.75
o;6;28.0;Ambühl Joel;*;6;56.75;9;27.25;3;-0.75;8.5
+;11;36.5;Fenk Daniel;;19;53.5;11;36.5;0;0.0;9.75
o;9;46.25;Thierstein Marco;;8;56.25;8;46.5;-1;0.25;8.5

14s;Martin Robin;*;;;;;;;;;54.75
o;;;Fässler Dominic;*;;;;;;;8.5
-;5;8.5;Ulrich Gregor;;15;54.5;1;10.0;-4;1.5;8.75
+;10;17.25;Vogel Ivo (2001);;25;35.5;6;18.5;-4;1.25;10.0
-;9;27.25;Scheuber Lutz;**;10;55.75;7;27.75;-2;0.5;8.75
+;13;36.0;Zimmermann Reto;;14;54.75;11;36.5;-2;0.5;10.0
-;10;46.0;Ettlin Stefan;*;13;55.0;9;46.25;-1;0.25;8.75

14t;Weber Marc (1999);;;;;;;;;;54.75
o;;;Gut Koni;;;;;;;;8.75
o;4;8.75;Hodel Martin;;21;53.0;4;8.75;0;0.0;8.5
+;10;17.25;Vogel Lars (2001);;26;35.25;11;17.0;1;-0.25;10.0
o;9;27.25;Graber Michael;*;6;56.75;10;27.0;1;-0.25;8.5
-;14;35.75;Ulrich Damian (1999);;20;53.25;14;35.75;0;0.0;9.0
+;15;44.75;Forster Christian;;20;53.25;15;44.75;0;0.0;10.0

14u;Zimmermann Reto;;;;;;;;;;54.75
o;;;Elmiger Andreas;;;;;;;;8.5
o;5;8.5;Hodler Mathias;;16;54.25;4;8.75;-1;0.25;8.5
+;11;17.0;Bühler Kilian (2000);;13;55.0;7;18.25;-4;1.25;9.75
+;11;26.75;Wigger Simon (1999);;26;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Martin Robin;*;14;54.75;13;36.0;2;-0.5;8.5
+;14;45.0;Reber Sandro;;18;53.75;14;45.0;0;0.0;9.75

15a;Müller Mathias;;;;;;;;;;54.5
+;;;Müller Remo;;;;;;;;9.75
+;2;9.75;Hodel Michael (2000);;26;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Doppmann Urs;*;6;56.75;6;18.5;4;-1.25;8.5
-;5;28.25;Bernet Christoph;*;13;55.0;8;27.5;3;-0.75;8.75
-;9;37.0;Wüest David (2000);;15;54.5;9;37.0;0;0.0;9.0
o;10;46.0;Imboden Roger;**;8;56.25;9;46.25;-1;0.25;8.5

15b;Bachmann Adrian;;;;;;;;;;54.5
-;;;Effinger Peter;;;;;;;;8.75
+;4;8.75;Egli Jonas (2000);;25;35.5;5;8.5;1;-0.25;10.0
o;5;18.75;Kälin Roland;**;9;56.0;7;18.25;2;-0.5;8.5
+;9;27.25;Grüter Marcel (1999);;25;35.5;10;27.0;1;-0.25;10.0
-;8;37.25;Betschart Patrick (1999);*;15;54.5;9;37.0;1;-0.25;8.75
o;10;46.0;Achermann Christoph;*;9;56.0;10;46.0;0;0.0;8.5

15c;Wüest David (2000);;;;;;;;;;54.5
+;;;Ineichen Stefan;;;;;;;;10.0
-;1;10.0;Betschart Daniel;;14;54.75;2;9.75;1;-0.25;8.75
+;5;18.75;Widmer Simon;;25;35.5;6;18.5;1;-0.25;9.75
o;4;28.5;Suter David;**;14;54.75;6;28.0;2;-0.5;8.5
-;9;37.0;Müller Mathias;;15;54.5;9;37.0;0;0.0;9.0
o;10;46.0;Zurfluh Roman;*;7;56.5;7;46.75;-3;0.75;8.5

15d;Schärli Lukas;**;;;;;;;;;54.5
o;;;Hasler Florian;**;;;;;;;8.5
-;5;8.5;Murer Andy;*;14;54.75;4;8.75;-1;0.25;8.75
-;10;17.25;Steiner Severin (2001);;15;54.5;6;18.5;-4;1.25;9.0
+;12;26.25;Achermann Daniel;;15;54.5;9;27.25;-3;1.0;9.75
+;13;36.0;von Deschwanden Patrick;;17;54.0;9;37.0;-4;1.0;9.75
-;11;45.75;Betschart Patrick (1999);*;15;54.5;11;45.75;0;0.0;8.75

15e;Bussmann Martin;;;;;;;;;;54.5
-;;;Suter Pirmin;;;;;;;;9.0
+;3;9.0;Fenk Daniel;;19;53.5;5;8.5;2;-0.5;10.0
o;4;19.0;Elsener Adrian;**;7;56.5;6;18.5;2;-0.5;8.5
-;8;27.5;Gwerder Andreas;*;25;35.5;11;26.75;3;-0.75;8.75
+;12;36.25;Amrein Lukas (1999);;21;53.0;13;36.0;1;-0.25;9.75
o;10;46.0;Ambühl Joel;*;6;56.75;7;46.75;-3;0.75;8.5

15f;Vogel Marcel;;;;;;;;;;54.5
o;;;Schöpfer Ronny (1999);;;;;;;;8.5
+;5;8.5;Hunkeler Joel (2001);;30;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Schärli Reto;;10;55.75;6;18.5;0;0.0;8.5
+;10;27.0;Widmer Simon;;25;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Elsener Adrian;**;7;56.5;9;37.0;0;0.0;8.75
-;11;45.75;Gut Koni;;16;54.25;12;45.5;1;-0.25;8.75

15g;Ulrich Gregor;;;;;;;;;;54.5
+;;;Achermann Ueli (2001);;;;;;;;10.0
-;1;10.0;Martin Robin;*;14;54.75;5;8.5;4;-1.5;8.75
+;5;18.75;Gabriel Christian (2000);;22;52.75;5;18.75;0;0.0;10.0
-;3;28.75;Schnider Markus;*;14;54.75;4;28.5;1;-0.25;8.75
o;7;37.5;Schöpfer Ronny (1999);;7;56.5;5;38.0;-2;0.5;8.5
o;10;46.0;Egli Pirmin;**;6;56.75;6;47.0;-4;1.0;8.5

15h;Betschart Patrick (1999);*;;;;;;;;;54.5
o;;;Portmann Josef;*;;;;;;;8.5
-;5;8.5;Bernet Christoph;*;13;55.0;4;8.75;-1;0.25;8.75
+;10;17.25;Marti Christoph (1999);;20;53.25;6;18.5;-4;1.25;9.75
+;10;27.0;Huser Christian (2000);;22;52.75;9;27.25;-1;0.25;10.0
-;9;37.0;Bachmann Adrian;;15;54.5;8;37.25;-1;0.25;8.75
-;11;45.75;Schärli Lukas;**;15;54.5;11;45.75;0;0.0;8.75

15i;Achermann Daniel;;;;;;;;;;54.5
-;;;Scheuber Stefan;;;;;;;;8.75
o;4;8.75;Schnider Simon (2001);;17;54.0;5;8.5;1;-0.25;8.5
+;10;17.25;Benz Simon (2000);;30;34.25;11;17.0;1;-0.25;10.0
o;9;27.25;Schärli Lukas;**;15;54.5;12;26.25;3;-1.0;8.5
+;14;35.75;Schumacher Marco (2000);;22;52.75;14;35.75;0;0.0;10.0
o;11;45.75;Briker Michael;*;10;55.75;11;45.75;0;0.0;8.75

15j;Stadelmann Simon;*;;;;;;;;;54.5
+;;;Hegner Ueli (1999);*;;;;;;;10.0
o;1;10.0;Stöckli Stefan;***;24;45.0;4;8.75;3;-1.25;8.5
-;6;18.5;Rüttimann Daniel;;11;55.5;3;19.5;-3;1.0;8.75
-;9;27.25;Bär Leo;;14;54.75;8;27.5;-1;0.25;8.75
+;13;36.0;Forster Christian;;20;53.25;12;36.25;-1;0.25;10.0
o;10;46.0;Zimmermann Martin;**;8;56.25;8;46.5;-2;0.5;8.5

15k;Ziegler Elias (1999);;;;;;;;;;54.5
o;;;Eiholzer Roy;;;;;;;;8.5
+;5;8.5;Fischer Markus (2000);;18;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Huber Alex;*;11;55.5;10;17.25;4;-1.25;8.5
-;10;27.0;Walker Roger;;14;54.75;10;27.0;0;0.0;9.0
+;13;36.0;Fischer Jonas (1999);;21;53.0;13;36.0;0;0.0;10.0
o;10;46.0;Kälin Roland;**;9;56.0;10;46.0;0;0.0;8.5

15l;Lustenberger Josef;;;;;;;;;;54.5
+;;;Scherrer Patrick;;;;;;;;10.0
+;1;10.0;Hurschler Mauri (1999);;18;53.75;2;9.75;1;-0.25;9.75
-;2;19.75;Muff André;*;9;56.0;6;18.5;4;-1.25;8.75
-;4;28.5;von Büren Stephan;*;12;55.25;6;28.0;2;-0.5;9.0
o;7;37.5;Huber Alex;*;11;55.5;8;37.25;1;-0.25;8.5
o;10;46.0;Gerber Peter;;7;56.5;7;46.75;-3;0.75;8.5

15m;Steiner Severin (2001);;;;;;;;;;54.5
o;;;Muff Reto;;;;;;;;8.5
+;5;8.5;Wicki David;;16;54.25;4;8.75;-1;0.25;10.0
-;6;18.5;Schärli Lukas;**;15;54.5;10;17.25;4;-1.25;8.75
+;9;27.25;Gabriel Christian (2000);;22;52.75;9;27.25;0;0.0;10.0
o;8;37.25;Felder Martin;*;7;56.5;9;37.0;1;-0.25;8.75
o;10;46.0;Dober Adrian;**;7;56.5;8;46.5;-2;0.5;8.5

15n;Barmet Sven;;;;;;;;;;54.5
-;;;Ming Hannes;;;;;;;;8.75
+;4;8.75;Reichmuth Roland;;10;55.75;3;9.0;-1;0.25;9.75
-;6;18.5;Erni Mathias;;18;53.75;7;18.25;1;-0.25;8.75
o;9;27.25;Odermatt Christian;**;12;55.25;10;27.0;1;-0.25;8.5
+;14;35.75;Gabriel Christian (2000);;22;52.75;14;35.75;0;0.0;10.0
-;11;45.75;Kessler Joel;*;16;54.25;12;45.5;1;-0.25;8.75

16a;Bärtschi Basil;;;;;;;;;;54.25
o;;;Schmid Köbi;;;;;;;;8.75
+;4;8.75;Fischer Jonas (1999);;21;53.0;3;9.0;-1;0.25;10.0
+;5;18.75;Odermatt Christian;**;12;55.25;7;18.25;2;-0.5;10.0
o;3;28.75;Muff Armin;**;8;56.25;6;28.0;3;-0.75;8.5
o;8;37.25;Suppiger Thomas;;3;57.5;7;37.5;-1;0.25;8.5
o;11;45.75;Bürgler André;*;11;55.5;11;45.75;0;0.0;8.5

16b;Ambühl Patrick;;;;;;;;;;54.25
+;;;Gabriel Christian (2000);;;;;;;;9.75
-;2;9.75;Bühlmann Daniel (2000);;16;54.25;2;9.75;0;0.0;8.75
o;6;18.5;Fessler Linus;*;11;55.5;10;17.25;4;-1.25;8.5
+;10;27.0;Siegenthaler Michael (2001);;25;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Portmann Roger;;12;55.25;9;37.0;0;0.0;8.5
-;12;45.5;Kennel Roger (1999);;16;54.25;12;45.5;0;0.0;8.75

16c;Elmiger Andreas;;;;;;;;;;54.25
+;;;Zimmermann Reto;;;;;;;;10.0
+;1;10.0;Marti Pirmin (2001);;26;35.25;2;9.75;1;-0.25;10.0
-;1;20.0;Felder Seppi;*;6;56.75;5;18.75;4;-1.25;8.75
o;3;28.75;Portmann Josef;*;6;56.75;4;28.5;1;-0.25;8.5
o;8;37.25;Fessler Linus;*;11;55.5;9;37.0;1;-0.25;8.5
o;11;45.75;Reichmuth Roland;;10;55.75;11;45.75;0;0.0;8.5

16d;Kennel Roger (1999);;;;;;;;;;54.25
o;;;Portmann Daniel;;;;;;;;8.5
+;5;8.5;Bühlmann Robin (1999);;29;34.5;4;8.75;-1;0.25;9.75
-;7;18.25;Grüter Marcel (1999);;25;35.5;7;18.25;0;0.0;8.75
+;10;27.0;Hodler Mathias;;16;54.25;9;27.25;-1;0.25;10.0
o;9;37.0;Scherer Niklaus;;11;55.5;9;37.0;0;0.0;8.5
-;12;45.5;Ambühl Patrick;;16;54.25;12;45.5;0;0.0;8.75

16e;Gut Koni;;;;;;;;;;54.25
+;;;Weber Marc (1999);;;;;;;;10.0
-;1;10.0;Bucher Thomas;;13;55.0;2;9.75;1;-0.25;8.75
o;5;18.75;Achermann Christoph;*;9;56.0;7;18.25;2;-0.5;8.5
+;9;27.25;Hodel Martin;;21;53.0;9;27.25;0;0.0;9.75
o;9;37.0;Fink Bruno;*;6;56.75;9;37.0;0;0.0;8.5
-;12;45.5;Vogel Marcel;;15;54.5;11;45.75;-1;0.25;8.75

16f;Kessler Joel;*;;;;;;;;;54.25
-;;;Bättig Martin;*;;;;;;;8.75
+;4;8.75;Müller Toni;*;25;35.5;5;8.5;1;-0.25;9.75
+;6;18.5;Bühler Patrice;;13;55.0;3;19.5;-3;1.0;9.75
-;5;28.25;Schmid Simon (2000);;10;55.75;4;28.5;-1;0.25;8.75
o;9;37.0;Felder Seppi;*;6;56.75;8;37.25;-1;0.25;8.5
-;12;45.5;Barmet Sven;;15;54.5;11;45.75;-1;0.25;8.75

16g;Gander Benjamin (2000);;;;;;;;;;54.25
-;;;Thalmann Adrian;;;;;;;;8.75
+;4;8.75;Müller Severin (1999);;30;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Fankhauser Reto;**;6;56.75;7;18.25;2;-0.5;8.5
o;9;27.25;Elmiger Matthias;;14;54.75;8;27.5;-1;0.25;8.5
-;14;35.75;Reber Sandro;;18;53.75;12;36.25;-2;0.5;8.75
+;16;44.5;Hodel Martin;;21;53.0;16;44.5;0;0.0;9.75

16h;Zgraggen Peter;;;;;;;;;;54.25
+;;;Ulrich Damian (1999);;;;;;;;10.0
o;1;10.0;Arnold Raphael;*;12;55.25;4;8.75;3;-1.25;8.5
o;6;18.5;Scherer Niklaus;;11;55.5;6;18.5;0;0.0;8.5
+;10;27.0;Aregger Fabian (2001);;25;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Gwerder Beni;;12;55.25;9;37.0;0;0.0;8.75
o;11;45.75;Käslin Ruedi;*;10;55.75;11;45.75;0;0.0;8.5

16i;Arnold Sedric;;;;;;;;;;54.25
+;;;Schumacher Marco (2000);;;;;;;;9.75
-;2;9.75;Bär Leo;;14;54.75;4;8.75;2;-1.0;9.0
-;5;18.75;Hirsiger Alexander;;14;54.75;6;18.5;1;-0.25;8.75
o;8;27.5;Käslin Ruedi;*;10;55.75;9;27.25;1;-0.25;8.5
o;13;36.0;Walker Roger;;14;54.75;13;36.0;0;0.0;8.5
+;16;44.5;Marti Christoph (1999);;20;53.25;15;44.75;-1;0.25;9.75

16j;Hodel Dominik (2000);;;;;;;;;;54.25
o;;;Burri Timo (2001);;;;;;;;8.75
+;4;8.75;Lustenberger Christian (2001);;31;34.0;5;8.5;1;-0.25;9.75
o;6;18.5;Schelbert Roman;;11;55.5;6;18.5;0;0.0;8.5
+;10;27.0;Vogel Ivo (2001);;25;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Effinger Peter;;11;55.5;9;37.0;0;0.0;8.5
-;12;45.5;Fischer Tobias;;16;54.25;12;45.5;0;0.0;8.75

16k;Fischer Tobias;;;;;;;;;;54.25
o;;;Hurschler Adrian;;;;;;;;8.5
-;5;8.5;Krummenacher Roman;;20;53.25;4;8.75;-1;0.25;8.75
+;10;17.25;Birrer Marcel (2001);;30;34.25;11;17.0;1;-0.25;9.75
+;10;27.0;Egli Jonas (2000);;25;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Binggeli Stefan;*;9;56.0;8;37.25;-1;0.25;8.5
-;12;45.5;Hodel Dominik (2000);;16;54.25;12;45.5;0;0.0;8.75

16l;Hodler Mathias;;;;;;;;;;54.25
-;;;Forster Christian;;;;;;;;8.75
+;4;8.75;Zimmermann Reto;;14;54.75;5;8.5;1;-0.25;10.0
o;5;18.75;Linggi Bruno;**;8;56.25;7;18.25;2;-0.5;8.5
o;9;27.25;Kennel Roger (1999);;16;54.25;10;27.0;1;-0.25;8.75
+;13;36.0;Huser Christian (2000);;22;52.75;14;35.75;1;-0.25;9.75
o;11;45.75;Schuler Daniel;;11;55.5;11;45.75;0;0.0;8.5

16m;Kammermann Dominik;;;;;;;;;;54.25
o;;;Betschart Daniel;;;;;;;;8.5
+;5;8.5;Lampart Valentin (2000);;26;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Vogel Remo;**;8;56.25;8;17.75;2;-0.75;8.5
+;10;27.0;Johann Michael (2001);;25;35.5;10;27.0;0;0.0;10.0
-;9;37.0;Schmid Köbi;;11;55.5;9;37.0;0;0.0;8.75
o;11;45.75;Gassmann Fabian;**;13;55.0;13;45.25;2;-0.5;8.5

16n;Ziegler Moritz;;;;;;;;;;54.25
+;;;Renggli Remo (2001);;;;;;;;10.0
o;1;10.0;Doppmann Ueli;;13;55.0;1;10.0;0;0.0;8.75
o;5;18.75;Stucki Christian;;14;54.75;5;18.75;0;0.0;8.5
o;9;27.25;Egli Manuel;*;6;56.75;10;27.0;1;-0.25;8.5
o;14;35.75;Schnider Simon (2001);;17;54.0;14;35.75;0;0.0;8.5
+;17;44.25;Amrein Lukas (1999);;21;53.0;16;44.5;-1;0.25;10.0

16o;Thalmann Thomas;*;;;;;;;;;54.25
+;;;Gmür Pirmin;*;;;;;;;9.75
o;2;9.75;Schöpfer Ronny (1999);;7;56.5;1;10.0;-1;0.25;8.5
-;7;18.25;Schuler Daniel;;11;55.5;5;18.75;-2;0.5;8.75
-;10;27.0;Betschart Daniel;;14;54.75;8;27.5;-2;0.5;8.75
+;14;35.75;Zimmermann Simon;**;17;54.0;10;36.75;-4;1.0;10.0
o;11;45.75;Odermatt Christian;**;12;55.25;12;45.5;1;-0.25;8.5

16p;Bühlmann Daniel (2000);;;;;;;;;;54.25
+;;;Steinger Nico (2001);;;;;;;;9.75
-;2;9.75;Ambühl Patrick;;16;54.25;2;9.75;0;0.0;8.75
