3905-2017-07-09_Rigischwinget-ST

1a;Gwerder Andreas;**;;;;;;;;;89.25
+;11;46.0;Kuster Marcel;***;11;55.5;8;46.75;-3;0.75;9.75

10b;Arnold Raphael;*;;;;;;;;;55.75
+;;;Vestner Bruno;*;;;;;;;9.75
+;3;9.75;Egli Damian;**;16;54.25;3;9.75;0;0.0;9.75
-;4;19.5;Forrer Arnold;***;14;54.75;7;18.5;3;-1.0;8.75
o;5;28.25;Bieri Christoph;***;8;56.25;8;27.5;3;-0.75;8.5
-;10;36.75;Studinger Stephan;**;10;55.75;9;37.0;-1;0.25;9.0
+;12;45.75;Kenel Franz-Toni;*;16;54.25;12;45.75;0;0.0;10.0

10c;Schmid Dominik;**;;;;;;;;;55.75
-;;;Murer Andy;**;;;;;;;8.75
o;5;8.75;Fankhauser Marco;**;11;55.5;6;8.5;1;-0.25;8.5
+;11;17.25;Vonlaufen Lukas;*;28;34.75;10;17.5;-1;0.25;10.0
o;9;27.25;Schuler Alex;***;16;54.25;10;27.0;1;-0.25;8.5
+;14;35.75;Gloggner Reto;**;17;54.0;14;35.75;0;0.0;10.0
+;12;45.75;Grab Martin;***;15;54.5;12;45.75;0;0.0;10.0

10d;Reichmuth Armin;*;;;;;;;;;55.75
-;;;Heiniger Marco;*;;;;;;;8.75
-;5;8.75;Vonlaufen Lukas;*;28;34.75;5;8.75;0;0.0;8.75
+;10;17.5;Zbinden Marc;*;30;34.25;12;17.0;2;-0.5;10.0
o;8;27.5;Suppiger René;***;9;56.0;8;27.5;0;0.0;8.5
+;13;36.0;Zimmermann Simon;**;22;52.75;14;35.75;1;-0.25;10.0
+;11;46.0;Thürig Mario;***;11;55.5;7;47.0;-4;1.0;9.75

10e;Studinger Stephan;**;;;;;;;;;55.75
+;;;Fankhauser Reto;**;;;;;;;10.0
o;2;10.0;Nötzli Reto;***;11;55.5;5;8.75;3;-1.25;8.5
+;7;18.5;Bucher Christian;*;16;54.25;7;18.5;0;0.0;10.0
o;4;28.5;Steinauer Adrian;**;6;56.75;4;28.5;0;0.0;8.5
-;9;37.0;Arnold Raphael;*;10;55.75;10;36.75;1;-0.25;9.0
+;11;46.0;Arnold Stefan;**;11;55.5;8;46.75;-3;0.75;9.75

11a;Kuster Marcel;***;;;;;;;;;55.5
o;;;Ulrich Andreas;***;;;;;;;8.5
+;6;8.5;Betschart Patrick (1999);*;21;53.0;2;10.0;-4;1.5;10.0
+;7;18.5;Heinzer Stefan;*;31;27.0;7;18.5;0;0.0;9.75
+;5;28.25;Rohrer Ivan;**;16;54.25;4;28.5;-1;0.25;10.0
o;4;38.25;Nötzli Bruno;***;24;49.25;2;39.5;-2;1.25;8.5
o;8;46.75;Egli Pirmin;**;10;55.75;11;46.0;3;-0.75;8.75

11b;Hersche Martin;***;;;;;;;;;55.5
o;;;Nötzli Bruno;***;;;;;;;8.5
+;6;8.5;Kenel Franz-Toni;*;16;54.25;3;9.75;-3;1.25;10.0
+;7;18.5;Herger Matthias;**;16;54.25;7;18.5;0;0.0;10.0
o;4;28.5;Schurtenberger Sven;***;2;57.75;4;28.5;0;0.0;8.5
+;9;37.0;Gwerder Carlo;**;9;56.0;7;37.5;-2;0.5;9.75
o;8;46.75;Linggi Bruno;**;7;56.5;8;46.75;0;0.0;8.75

11c;Thürig Mario;***;;;;;;;;;55.5
+;;;Grab Martin;***;;;;;;;10.0
-;2;10.0;Gwerder Carlo;**;9;56.0;2;10.0;0;0.0;8.75
+;6;18.75;Rohrer Ueli (1999);*;14;54.75;6;18.75;0;0.0;9.75
o;4;28.5;Nötzli Bruno;***;24;49.25;2;29.5;-2;1.0;8.5
+;9;37.0;Muff Armin;**;11;55.5;9;37.0;0;0.0;10.0
o;7;47.0;Reichmuth Armin;*;10;55.75;11;46.0;4;-1.0;8.5

11d;Fankhauser Marco;**;;;;;;;;;55.5
o;;;Kropf Marcel;**;;;;;;;8.5
+;6;8.5;Schmid Dominik;**;10;55.75;5;8.75;-1;0.25;10.0
-;7;18.5;Alpiger Nick;***;3;57.5;7;18.5;0;0.0;8.75
+;9;27.25;Murer Andy;**;16;54.25;9;27.25;0;0.0;10.0
+;8;37.25;Herger Matthias;**;16;54.25;9;37.0;1;-0.25;9.75
