5325-2022-05-08_117_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Durrer Fabian;*;;;;;;;;;57.75
o;3;19.5;Nötzli Reto;***;4;56.75;10;17.5;7;-2.0;8.5
+;5;28.0;Gwerder Andreas;*;25;35.5;9;27.0;4;-1.0;10.0
o;4;38.0;Fankhauser Reto;**;7;56.0;7;37.25;3;-0.75;8.5
-;6;46.5;Styger Alex;;7;56.0;4;47.0;-2;0.5;9.0

9e;Gut Koni;;;;;;;;;;55.5
o;;;Hürlimann Marco;;;;;;;;8.75
+;4;8.75;Rust Silvio;;26;35.25;5;8.5;1;-0.25;9.75
+;6;18.5;Arnold Severin;*;14;54.25;11;17.25;5;-1.25;9.75
o;4;28.25;Bucher Christian;**;8;55.75;8;27.25;4;-1.0;8.5
+;9;36.75;Widmer Simon;;16;53.75;9;36.75;0;0.0;10.0
o;5;46.75;Wiget Ueli;;3;57.0;4;47.0;-1;0.25;8.75

9f;Schaller Noah;;;;;;;;;;55.5
-;;;Wiget Ueli;;;;;;;;8.75
+;4;8.75;Kathriner Andreas;;15;54.0;1;10.0;-3;1.25;9.75
-;6;18.5;Ettlin Martin;*;12;54.75;10;17.5;4;-1.0;9.0
-;7;27.5;Würsch Lars;*;8;55.75;9;27.0;2;-0.5;9.0
-;10;36.5;von Ah Markus;;19;53.0;13;35.75;3;-0.75;9.0
+;10;45.5;Gander Martin;;14;54.25;9;45.75;-1;0.25;10.0

9g;Elsener Manuel;;;;;;;;;;55.5
-;;;Zberg Peter (2004);;;;;;;;8.75
+;4;8.75;von Moos Nico (2006);;27;34.75;4;8.75;0;0.0;9.75
+;6;18.5;Kathriner Severin;;15;54.0;6;18.5;0;0.0;10.0
-;3;28.5;Odermatt Andreas;**;3;57.0;3;28.5;0;0.0;8.75
o;7;37.25;Rohrer Ueli;**;2;57.25;7;37.25;0;0.0;8.5
+;9;45.75;Felder Ivan (2004);;13;54.5;9;45.75;0;0.0;9.75

9h;Waser Raphael;;;;;;;;;;55.5
o;;;Schöpfer Marco;;;;;;;;8.5
+;5;8.5;Gisler Marco (2006);;25;35.5;5;8.5;0;0.0;10.0
-;6;18.5;Gisler Jonas;*;9;55.5;7;18.25;1;-0.25;8.75
+;8;27.25;Gwerder Fabian;;13;54.5;8;27.25;0;0.0;9.75
o;8;37.0;Egli Damian;**;8;55.75;8;37.0;0;0.0;8.5
+;10;45.5;Gerber Jakob;;13;54.5;9;45.75;-1;0.25;10.0

9i;Gisler Jonas;*;;;;;;;;;55.5
o;;;Gander Adrian;*;;;;;;;8.5
+;5;8.5;Wallimann Remo;*;12;54.75;5;8.5;0;0.0;9.75
-;7;18.25;Waser Raphael;;9;55.5;6;18.5;-1;0.25;8.75
+;9;27.0;Albert Thomas;;14;54.25;8;27.25;-1;0.25;10.0
+;8;37.0;Kathriner Severin;;15;54.0;8;37.0;0;0.0;9.75
-;5;46.75;Steiner Severin;;12;54.75;8;46.0;3;-0.75;8.75

9j;Bättig Martin;*;;;;;;;;;55.5
+;;;Röthlin Pascal;*;;;;;;;10.0
o;1;10.0;Rohrer Ueli;**;2;57.25;2;9.75;1;-0.25;8.5
+;6;18.5;Steiner Severin;;12;54.75;2;19.75;-4;1.25;10.0
o;3;28.5;Arnold Stefan;**;6;56.25;5;28.0;2;-0.5;8.5
+;8;37.0;Ming Hannes;;9;55.5;8;37.0;0;0.0;9.75
o;5;46.75;Bernhard Lukas;**;6;56.25;7;46.25;2;-0.5;8.75

9k;Waser Christoph;*;;;;;;;;;55.5
+;;;Durrer Fabian;*;;;;;;;10.0
o;1;10.0;Imhof Andi;***;3;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Egli Kilian (2004);;17;53.5;5;18.75;-1;0.25;10.0
-;3;28.5;Wyrsch Silvio;*;3;57.0;3;28.5;0;0.0;8.75
o;7;37.25;Styger Alex;;7;56.0;8;37.0;1;-0.25;8.5
+;9;45.75;Huser Christian;;16;53.75;11;45.25;2;-0.5;9.75

9l;Käslin Ruedi;*;;;;;;;;;55.5
o;;;Vogel Marcel;*;;;;;;;8.5
+;5;8.5;Gwerder Andreas;*;25;35.5;4;8.75;-1;0.25;10.0
o;6;18.5;Wandeler Roman;;5;56.5;5;18.75;-1;0.25;8.5
-;9;27.0;Wiss Ivan (2004);;13;54.5;8;27.25;-1;0.25;8.75
+;13;35.75;Steiner Edi (2006);;13;54.5;11;36.25;-2;0.5;10.0
+;9;45.75;Egli Severin (2004);;14;54.25;9;45.75;0;0.0;9.75

9m;Steinauer Adrian;**;;;;;;;;;55.5
o;;;Egli Damian;**;;;;;;;8.5
+;5;8.5;Niederberger Markus;*;8;55.75;5;8.5;0;0.0;9.75
-;7;18.25;Gisler Noah;;12;54.75;4;19.0;-3;0.75;9.0
+;8;27.25;Gander Sebastian;;17;53.5;5;28.0;-3;0.75;10.0
+;7;37.25;Gander Benjamin;;13;54.5;8;37.0;1;-0.25;9.75
o;4;47.0;Imhof Andi;***;3;57.0;3;47.25;-1;0.25;8.5

9n;Gassmann Michael;*;;;;;;;;;55.5
o;;;Würsch Lars;*;;;;;;;8.75
o;4;8.75;Herger Fabian;*;5;56.5;4;8.75;0;0.0;8.5
+;11;17.25;Marty Remo (2005);;20;52.75;6;18.5;-5;1.25;10.0
+;8;27.25;Duss Yvan;;10;55.25;4;28.25;-4;1.0;9.75
-;8;37.0;Steiner Severin;;12;54.75;7;37.25;-1;0.25;8.75
+;9;45.75;Bucher Roman;;13;54.5;9;45.75;0;0.0;9.75

9o;von Wyl Kevin (2004);;;;;;;;;;55.5
+;;;Herger Simon;;;;;;;;10.0
-;1;10.0;Staub Ivan;;14;54.25;2;9.75;1;-0.25;8.75
o;5;18.75;Bucher Christian;**;8;55.75;10;17.5;5;-1.25;8.5
+;8;27.25;Auf der Maur Alex;;24;35.75;8;27.25;0;0.0;9.75
o;8;37.0;Bucher Roland;*;7;56.0;8;37.0;0;0.0;8.75
+;9;45.75;Gander Michael;;15;54.0;10;45.5;1;-0.25;9.75

9p;Scherrer Fabian;*;;;;;;;;;55.5
-;;;Lussi Marco;**;;;;;;;8.75
-;4;8.75;Elsener Marcel;*;12;54.75;3;9.0;-1;0.25;9.0
+;9;17.75;Ettlin Michael;;16;53.75;4;19.0;-5;1.25;10.0
-;6;27.75;Steiner Severin;;12;54.75;3;28.5;-3;0.75;9.0
+;9;36.75;Zimmermann Raffael;;10;55.25;8;37.0;-1;0.25;10.0
-;5;46.75;von Ah Benji;***;7;56.0;3;47.25;-2;0.5;8.75

10a;Gisler Silvan;;;;;;;;;;55.25
+;;;Felder Ivan (2004);;;;;;;;9.75
+;2;9.75;Burch Jonas 2 (2005);;26;35.25;2;9.75;0;0.0;10.0
-;2;19.75;Vogel Marcel;*;13;54.5;7;18.25;5;-1.5;8.75
o;3;28.5;Lustenberger Marc;*;2;57.25;4;28.25;1;-0.25;8.5
+;8;37.0;Gander Sebastian;;17;53.5;10;36.5;2;-0.5;9.75
o;5;46.75;Scherer Niklaus;**;7;56.0;8;46.0;3;-0.75;8.5

10b;Suter Samuel;*;;;;;;;;;55.25
-;;;Ming Christian;*;;;;;;;8.75
-;4;8.75;Durrer Nando;*;8;55.75;4;8.75;0;0.0;8.75
+;10;17.5;Berchtold Kilian;;13;54.5;6;18.5;-4;1.0;10.0
-;7;27.5;Felder Ivan (2004);;13;54.5;4;28.25;-3;0.75;8.75
+;11;36.25;Kiser Dominik (2006);;16;53.75;9;36.75;-2;0.5;10.0
-;7;46.25;Ettlin Stefan;**;8;55.75;5;46.75;-2;0.5;9.0

10c;Ettlin Mario;;;;;;;;;;55.25
o;;;Bieri Manuel (2006);;;;;;;;8.5
+;5;8.5;Steiner Edi (2006);;13;54.5;5;8.5;0;0.0;9.75
+;7;18.25;Gisler Lukas (2005);;26;35.25;7;18.25;0;0.0;10.0
o;4;28.25;Durrer Fabian;*;1;57.75;4;28.25;0;0.0;8.5
o;9;36.75;Wyrsch Silvio;*;3;57.0;7;37.25;-2;0.5;8.5
+;11;45.25;von Matt Lars;;16;53.75;11;45.25;0;0.0;10.0

10d;Mehr Lars;*;;;;;;;;;55.25
-;;;Gwerder Andreas;*;;;;;;;8.75
o;4;8.75;Waser Dominik;**;3;57.0;5;8.5;1;-0.25;8.5
o;11;17.25;Rogenmoser Ryan;;11;55.0;7;18.25;-4;1.0;8.5
+;14;25.75;Rust Lorin (2004);;18;53.25;8;27.25;-6;1.5;10.0
+;13;35.75;Kempf Fabian;;14;54.25;12;36.0;-1;0.25;9.75
+;10;45.5;Roner Remo;;16;53.75;11;45.25;1;-0.25;9.75

10e;Rohrer Ivan;**;;;;;;;;;55.25
o;;;Gasser Dominik;**;;;;;;;8.75
+;4;8.75;Vogel Marcel;*;13;54.5;2;9.75;-2;1.0;9.75
+;6;18.5;Hürlimann Ueli;;13;54.5;2;19.75;-4;1.25;9.75
-;4;28.25;Styger Alex;;7;56.0;4;28.25;0;0.0;8.75
+;8;37.0;Barmettler Severin (2005);;10;55.25;9;36.75;1;-0.25;9.75
o;5;46.75;Schurtenberger Sven;***;3;57.0;4;47.0;-1;0.25;8.5

10f;Duss Yvan;;;;;;;;;;55.25
+;;;Berwert Eddy (2006);;;;;;;;10.0
+;1;10.0;Albert Thomas;;14;54.25;1;10.0;0;0.0;9.75
o;2;19.75;Röthlin Pascal;*;10;55.25;6;18.5;4;-1.25;8.5
o;4;28.25;Gassmann Michael;*;9;55.5;8;27.25;4;-1.0;8.5
+;9;36.75;Kiser Markus (2005);;16;53.75;10;36.5;1;-0.25;10.0
o;5;46.75;Herger Fabian;*;5;56.5;5;46.75;0;0.0;8.5

10g;Zimmermann Raffael;;;;;;;;;;55.25
+;;;Arnold Linus (2004);;;;;;;;10.0
o;1;10.0;Suter Bruno;;7;56.0;1;10.0;0;0.0;8.5
-;6;18.5;Wiss Ivan (2004);;13;54.5;6;18.5;0;0.0;8.75
+;8;27.25;Kempf Fabian;;14;54.25;8;27.25;0;0.0;9.75
o;8;37.0;Scherrer Fabian;*;9;55.5;9;36.75;1;-0.25;8.5
+;10;45.5;Gasser Severin (2006);;17;53.5;12;45.0;2;-0.5;9.75

10h;Hürlimann Marco;;;;;;;;;;55.25
+;;;Gut Koni;;;;;;;;9.75
+;2;9.75;Bucher Roman;;13;54.5;1;10.0;-1;0.25;10.0
o;2;19.75;Egli Damian;**;8;55.75;7;18.25;5;-1.5;8.5
o;4;28.25;Durrer Jonas;*;8;55.75;8;27.25;4;-1.0;8.5
+;9;36.75;von Wyl Simon;;17;53.5;10;36.5;1;-0.25;10.0
o;5;46.75;Doppmann Urs;**;4;56.75;4;47.0;-1;0.25;8.5

10i;Röthlin Pascal;*;;;;;;;;;55.25
o;;;Bättig Martin;*;;;;;;;8.5
+;5;8.5;Waser Reto;*;13;54.5;4;8.75;-1;0.25;10.0
+;6;18.5;Duss Yvan;;10;55.25;2;19.75;-4;1.25;9.75
o;4;28.25;Nötzli Reto;***;4;56.75;7;27.5;3;-0.75;8.5
o;9;36.75;Bucher André;;8;55.75;8;37.0;-1;0.25;8.5
+;11;45.25;Widmer Simon;;16;53.75;11;45.25;0;0.0;10.0

10j;Barmettler Severin (2005);;;;;;;;;;55.25
o;;;Elmiger Matthias;;;;;;;;8.5
+;5;8.5;Fischer Markus;;26;35.25;3;9.0;-2;0.5;9.75
+;7;18.25;Burch Jonas 2 (2005);;26;35.25;7;18.25;0;0.0;10.0
o;4;28.25;Doppmann Urs;**;4;56.75;4;28.25;0;0.0;8.5
o;9;36.75;Rohrer Ivan;**;10;55.25;8;37.0;-1;0.25;8.5
+;11;45.25;Durrer Ive;;12;54.75;12;45.0;1;-0.25;10.0

11a;Staffelbach Noah;;;;;;;;;;55.0
+;;;Imfeld David (2006);;;;;;;;9.75
o;2;9.75;Zemp Christian (2004);;5;56.5;2;9.75;0;0.0;8.5
o;7;18.25;Niederberger Markus;*;8;55.75;11;17.25;4;-1.0;8.5
+;10;26.75;Odermatt Fabian (2005);;25;35.5;9;27.0;-1;0.25;9.75
o;10;36.5;Ming Christian;*;11;55.0;9;36.75;-1;0.25;8.75
+;11;45.25;Wolf Stefan (2006);;16;53.75;11;45.25;0;0.0;9.75

11b;Andermatt Reto;;;;;;;;;;55.0
o;;;von Matt Lars;;;;;;;;8.5
+;5;8.5;Arnold Manuel (2006);;30;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Wallimann Remo;*;12;54.75;12;17.0;5;-1.25;8.5
+;10;26.75;Kiser Andrin (2006);;26;35.25;10;26.75;0;0.0;9.75
+;10;36.5;Felder Ivan (2004);;13;54.5;8;37.0;-2;0.5;10.0
o;6;46.5;Lustenberger Marc;*;2;57.25;3;47.25;-3;0.75;8.5

11c;Ming Christian;*;;;;;;;;;55.0
-;;;Suter Samuel;*;;;;;;;8.75
o;4;8.75;Durrer Fabian;*;1;57.75;5;8.5;1;-0.25;8.5
+;11;17.25;Gwerder Fabian;;13;54.5;6;18.5;-5;1.25;9.75
+;9;27.0;Zberg Peter (2004);;13;54.5;8;27.25;-1;0.25;9.75
+;9;36.75;Staffelbach Noah;;11;55.0;10;36.5;1;-0.25;9.75
o;6;46.5;Müller Michael;**;2;57.25;3;47.25;-3;0.75;8.5

11d;Nägeli Leandro;;;;;;;;;;55.0
-;;;Wandeler Roman;;;;;;;;8.75
+;4;8.75;Gander Michael;;15;54.0;1;10.0;-3;1.25;10.0
o;5;18.75;Müller Michael;**;2;57.25;6;18.5;1;-0.25;8.5
+;8;27.25;von Ah Markus;;19;53.0;8;27.25;0;0.0;9.75
-;8;37.0;Lussi Marco;**;12;54.75;11;36.25;3;-0.75;9.0
-;8;46.0;Egli Damian;**;8;55.75;5;46.75;-3;0.75;9.0

11e;Christen Silvan;;;;;;;;;;55.0
+;;;Rust Silvio;;;;;;;;9.75
o;2;9.75;Doppmann Ueli;;8;55.75;3;9.0;1;-0.75;8.5
+;7;18.25;Kempf Fabian;;14;54.25;6;18.5;-1;0.25;10.0
o;4;28.25;Kennel Stefan;**;7;56.0;7;27.5;3;-0.75;8.5
+;9;36.75;Durrer Ive;;12;54.75;10;36.5;1;-0.25;9.75
o;6;46.5;Wandeler Roman;;5;56.5;5;46.75;-1;0.25;8.5

11f;Rogenmoser Ryan;;;;;;;;;;55.0
o;;;Zemp Christian (2004);;;;;;;;8.5
+;5;8.5;von Ah Quirin;;27;34.75;5;8.5;0;0.0;9.75
+;7;18.25;Mehr Lars;*;10;55.25;11;17.25;4;-1.0;9.75
+;5;28.0;Langensand Stefan;*;9;55.5;8;27.25;3;-0.75;9.75
o;5;37.75;Hess Dominik;*;2;57.25;7;37.25;2;-0.5;8.5
o;7;46.25;Durrer Markus;;4;56.75;5;46.75;-2;0.5;8.75

11g;Suter Pirmin;**;;;;;;;;;55.0
-;;;Ettlin Stefan;**;;;;;;;9.0
-;3;9.0;Bernhard Lukas;**;6;56.25;3;9.0;0;0.0;9.0
+;8;18.0;Hurschler Stefan (2006);;13;54.5;4;19.0;-4;1.0;10.0
+;5;28.0;Durrer Ive;;12;54.75;5;28.0;0;0.0;9.75
-;5;37.75;Niederberger Markus;*;8;55.75;8;37.0;3;-0.75;8.75
o;6;46.5;Wyrsch Silvio;*;3;57.0;3;47.25;-3;0.75;8.5

11h;Kempf Damian;;;;;;;;;;55.0
o;;;Gwerder Fabian;;;;;;;;8.5
+;5;8.5;Kaiser Sandro;;15;54.0;4;8.75;-1;0.25;9.75
+;7;18.25;Waser Adrian;*;9;55.5;11;17.25;4;-1.0;9.75
-;5;28.0;Elsener Marcel;*;12;54.75;7;27.5;2;-0.5;8.75
+;9;36.75;Kathriner Andreas;;15;54.0;8;37.0;-1;0.25;9.75
o;6;46.5;Schöpfer Marco;;4;56.75;4;47.0;-2;0.5;8.5

11i;Odermatt Remo;*;;;;;;;;;55.0
o;;;Lustenberger Marc;*;;;;;;;8.5
o;5;8.5;Lemmenmeier Lukas;*;8;55.75;5;8.5;0;0.0;8.5
+;12;17.0;Herger Simon;;25;35.5;6;18.5;-6;1.5;10.0
+;9;27.0;Scherrer Patrick;;7;56.0;7;27.5;-2;0.5;9.75
+;9;36.75;Züger Benjamin (2004);;13;54.5;7;37.25;-2;0.5;9.75
o;6;46.5;Waser Dominik;**;3;57.0;4;47.0;-2;0.5;8.5

12a;Lussi Marco;**;;;;;;;;;54.75
-;;;Scherrer Fabian;*;;;;;;;8.75
-;4;8.75;Fankhauser Reto;**;7;56.0;2;9.75;-2;1.0;8.75
+;10;17.5;Grab Florian;;12;54.75;5;18.75;-5;1.25;9.75
-;8;27.25;Hürlimann Ueli;;13;54.5;3;28.5;-5;1.25;9.0
-;11;36.25;Nägeli Leandro;;11;55.0;8;37.0;-3;0.75;8.75
+;12;45.0;Rohrer Michael;;16;53.75;12;45.0;0;0.0;9.75

12b;Gisler Noah;;;;;;;;;;54.75
-;;;Spichtig Clemens;;;;;;;;9.0
+;3;9.0;Würsch Andrin (2006);;26;35.25;2;9.75;-1;0.75;10.0
-;4;19.0;Steinauer Adrian;**;9;55.5;7;18.25;3;-0.75;9.0
o;5;28.0;Durrer Nando;*;8;55.75;8;27.25;3;-0.75;8.5
+;10;36.5;Rohrer Michael;;16;53.75;10;36.5;0;0.0;9.75
o;7;46.25;Omlin Toni;*;3;57.0;4;47.0;-3;0.75;8.5

12c;Ettlin Martin;*;;;;;;;;;54.75
-;;;Elsener Marcel;*;;;;;;;9.0
o;3;9.0;Felder Martin;*;7;56.0;4;8.75;1;-0.25;8.5
-;10;17.5;Schaller Noah;;9;55.5;6;18.5;-4;1.0;9.0
+;11;26.5;Arnold Elias (2006);;14;54.25;7;27.5;-4;1.0;10.0
+;10;36.5;Elmiger Matthias;;13;54.5;6;37.5;-4;1.0;9.75
o;7;46.25;Reichmuth Lukas;*;4;56.75;5;46.75;-2;0.5;8.5

12d;Durrer Ive;;;;;;;;;;54.75
o;;;Suter Bruno;;;;;;;;8.5
+;5;8.5;Bamert Mathis (2005);;25;35.5;4;8.75;-1;0.25;9.75
+;7;18.25;Arnold Matthias (2006);;25;35.5;7;18.25;0;0.0;9.75
o;5;28.0;Suter Pirmin;**;11;55.0;5;28.0;0;0.0;8.5
o;10;36.5;Christen Silvan;;11;55.0;9;36.75;-1;0.25;8.5
+;12;45.0;Gander Sebastian;;17;53.5;12;45.0;0;0.0;9.75
o;12;54.75;Barmettler Severin (2005);;10;55.25;10;55.25;-2;0.5;0.0

12e;Steiner Severin;;;;;;;;;;54.75
+;;;Gander Benjamin;;;;;;;;9.75
+;2;9.75;Kiser Andrin (2006);;26;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Bättig Martin;*;9;55.5;6;18.5;4;-1.25;8.75
-;3;28.5;Scherrer Fabian;*;9;55.5;6;27.75;3;-0.75;8.75
-;7;37.25;Gassmann Michael;*;9;55.5;8;37.0;1;-0.25;8.75
-;8;46.0;Gisler Jonas;*;9;55.5;5;46.75;-3;0.75;8.75

12f;Epp Elias;;;;;;;;;;54.75
-;;;Hurschler Stefan (2006);;;;;;;;9.0
o;3;9.0;von Ah Markus;;19;53.0;4;8.75;1;-0.25;8.5
+;10;17.5;Hess Ramon (2006);;29;34.25;11;17.25;1;-0.25;10.0
o;7;27.5;Wallimann Remo;*;12;54.75;10;26.75;3;-0.75;8.5
o;12;36.0;Albert Thomas;;14;54.25;13;35.75;1;-0.25;8.75
+;13;44.75;von Wyl Simon;;17;53.5;12;45.0;-1;0.25;10.0

12g;Elsener Marcel;*;;;;;;;;;54.75
-;;;Ettlin Martin;*;;;;;;;9.0
-;3;9.0;Scherrer Fabian;*;9;55.5;4;8.75;1;-0.25;8.75
+;9;17.75;Ming Hannes;;9;55.5;5;18.75;-4;1.0;9.75
-;7;27.5;Kempf Damian;;11;55.0;5;28.0;-2;0.5;8.75
+;11;36.25;Roner Remo;;16;53.75;9;36.75;-2;0.5;10.0
o;7;46.25;Fankhauser Erich;***;6;56.25;6;46.5;-1;0.25;8.5

12h;Wallimann Remo;*;;;;;;;;;54.75
o;;;Reichmuth Lukas;*;;;;;;;8.5
o;5;8.5;Gisler Jonas;*;9;55.5;5;8.5;0;0.0;8.5
+;12;17.0;Andermatt Reto;;11;55.0;7;18.25;-5;1.25;9.75
+;10;26.75;Epp Elias;;12;54.75;7;27.5;-3;0.75;9.75
+;10;36.5;Doppmann Ueli;;8;55.75;8;37.0;-2;0.5;9.75
o;7;46.25;Nötzli Reto;***;4;56.75;4;47.0;-3;0.75;8.5

12i;Grab Florian;;;;;;;;;;54.75
-;;;Ming Hannes;;;;;;;;8.75
+;4;8.75;Gander Martin;;14;54.25;4;8.75;0;0.0;10.0
o;5;18.75;Lussi Marco;**;12;54.75;10;17.5;5;-1.25;8.75
o;7;27.5;Spichtig Clemens;;14;54.25;8;27.25;1;-0.25;8.75
+;11;36.25;Küchler Severin;;19;53.0;13;35.75;2;-0.5;10.0
o;7;46.25;Suppiger Werner;**;3;57.0;4;47.0;-3;0.75;8.5

12j;Odermatt Christian;**;;;;;;;;;54.75
+;;;Lemmenmeier Lukas;*;;;;;;;9.75
+;2;9.75;Scherer Niklaus;**;7;56.0;3;9.0;1;-0.75;9.75
o;3;19.5;von Weissenfluh Kilian;***;5;56.5;6;18.5;3;-1.0;8.5
+;5;28.0;Wiget Ueli;;3;57.0;2;28.75;-3;0.75;9.75
o;5;37.75;Durrer Fabian;*;1;57.75;4;38.0;-1;0.25;8.5
o;7;46.25;Scherrer Patrick;;7;56.0;8;46.0;1;-0.25;8.5

13a;Wiss Ivan (2004);;;;;;;;;;54.5
+;;;Roner Remo;;;;;;;;9.75
-;2;9.75;Gasser Dominik 1;;13;54.5;2;9.75;0;0.0;8.75
-;6;18.5;Zimmermann Raffael;;10;55.25;6;18.5;0;0.0;8.75
-;8;27.25;Käslin Ruedi;*;9;55.5;9;27.0;1;-0.25;8.75
+;12;36.0;Näpflin Urs (2006);;19;53.0;13;35.75;1;-0.25;10.0
o;8;46.0;Fellmann Roman;**;8;55.75;9;45.75;1;-0.25;8.5

13b;Gasser Dominik 1;;;;;;;;;;54.5
+;;;Püntener Luca (2005);;;;;;;;9.75
-;2;9.75;Wiss Ivan (2004);;13;54.5;2;9.75;0;0.0;8.75
-;6;18.5;Waser Reto;*;13;54.5;11;17.25;5;-1.25;8.75
+;8;27.25;Egli Kilian (2004);;17;53.5;8;27.25;0;0.0;10.0
o;7;37.25;Müller Michael;**;2;57.25;7;37.25;0;0.0;8.5
-;9;45.75;Gander Benjamin;;13;54.5;9;45.75;0;0.0;8.75

13c;Felder Ivan (2004);;;;;;;;;;54.5
o;;;Gisler Silvan;;;;;;;;8.5
+;5;8.5;Hess Ramon (2006);;29;34.25;4;8.75;-1;0.25;10.0
+;6;18.5;Roner Remo;;16;53.75;6;18.5;0;0.0;9.75
-;4;28.25;Suter Samuel;*;10;55.25;7;27.5;3;-0.75;8.75
o;8;37.0;Andermatt Reto;;11;55.0;10;36.5;2;-0.5;8.75
o;9;45.75;Elsener Manuel;;9;55.5;9;45.75;0;0.0;8.75

13d;Gwerder Fabian;;;;;;;;;;54.5
+;;;Kempf Damian;;;;;;;;10.0
o;1;10.0;von Matt Lars;;16;53.75;1;10.0;0;0.0;8.5
o;6;18.5;Ming Christian;*;11;55.0;11;17.25;5;-1.25;8.75
o;8;27.25;Waser Raphael;;9;55.5;8;27.25;0;0.0;8.5
o;13;35.75;Gander Martin;;14;54.25;12;36.0;-1;0.25;8.75
+;14;44.5;von Ah Markus;;19;53.0;14;44.5;0;0.0;10.0

13e;Hürlimann Ueli;;;;;;;;;;54.5
+;;;Kathriner Severin;;;;;;;;10.0
+;1;10.0;Gander Sebastian;;17;53.5;2;9.75;1;-0.25;9.75
o;2;19.75;Rohrer Ivan;**;10;55.25;6;18.5;4;-1.25;8.75
-;3;28.5;Lussi Marco;**;12;54.75;8;27.25;5;-1.25;9.0
o;6;37.5;Felder Martin;*;7;56.0;7;37.25;1;-0.25;8.5
o;8;46.0;Ramseier Fritz;**;7;56.0;8;46.0;0;0.0;8.5

13f;Gander Benjamin;;;;;;;;;;54.5
o;;;Steiner Severin;;;;;;;;8.5
+;5;8.5;Aregger Silvan (2006);;25;35.5;4;8.75;-1;0.25;9.75
+;7;18.25;Berwert Eddy (2006);;26;35.25;7;18.25;0;0.0;10.0
o;4;28.25;Herger Fabian;*;5;56.5;4;28.25;0;0.0;8.75
o;8;37.0;Steinauer Adrian;**;9;55.5;7;37.25;-1;0.25;8.75
-;9;45.75;Gasser Dominik 1;;13;54.5;9;45.75;0;0.0;8.75

13g;Zberg Peter (2004);;;;;;;;;;54.5
-;;;Elsener Manuel;;;;;;;;8.75
o;4;8.75;Hurschler Tobias;;9;55.5;2;9.75;-2;1.0;8.5
+;11;17.25;Gasser Michael (2006);;30;34.0;12;17.0;1;-0.25;10.0
o;8;27.25;Ming Christian;*;11;55.0;9;27.0;1;-0.25;8.75
+;12;36.0;Imfeld David (2006);;15;54.0;13;35.75;1;-0.25;10.0
o;8;46.0;Durrer Jonas;*;8;55.75;9;45.75;1;-0.25;8.5

13h;Waser Reto;*;;;;;;;;;54.5
-;;;Langensand Stefan;*;;;;;;;8.75
o;4;8.75;Röthlin Pascal;*;10;55.25;5;8.5;1;-0.25;8.5
-;11;17.25;Gasser Dominik 1;;13;54.5;6;18.5;-5;1.25;8.75
+;13;26.0;Kaiser Sandro;;15;54.0;8;27.25;-5;1.25;10.0
+;12;36.0;Wolf Stefan (2006);;16;53.75;9;36.75;-3;0.75;10.0
o;8;46.0;Rohrer Ueli;**;2;57.25;3;47.25;-5;1.25;8.5

13i;Vogel Marcel;*;;;;;;;;;54.5
+;;;Käslin Ruedi;*;;;;;;;9.75
o;2;9.75;Rohrer Ivan;**;10;55.25;4;8.75;2;-1.0;8.5
-;7;18.25;Gisler Silvan;;10;55.25;2;19.75;-5;1.5;8.75
-;9;27.0;Durrer Lukas;;14;54.25;6;27.75;-3;0.75;9.0
-;12;36.0;Durrer Ueli;;21;45.75;8;37.0;-4;1.0;8.75
+;13;44.75;Kathriner Andreas;;15;54.0;10;45.5;-3;0.75;9.75

13j;Bucher Roman;;;;;;;;;;54.5
+;;;Schnüriger Kevin (2004);;;;;;;;10.0
o;1;10.0;Hürlimann Marco;;10;55.25;2;9.75;1;-0.25;8.5
o;6;18.5;Wyrsch Silvio;*;3;57.0;6;18.5;0;0.0;8.5
+;9;27.0;Würsch Andrin (2006);;26;35.25;10;26.75;1;-0.25;9.75
-;9;36.75;Durrer Lukas;;14;54.25;9;36.75;0;0.0;9.0
o;9;45.75;Gassmann Michael;*;9;55.5;9;45.75;0;0.0;8.75

13k;Laimbacher Cyrill (2004);;;;;;;;;;54.5
+;;;Arnold Matthias (2006);;;;;;;;10.0
-;1;10.0;Kiser Dominik (2006);;16;53.75;2;9.75;1;-0.25;8.75
o;5;18.75;Ettlin Stefan;**;8;55.75;8;18.0;3;-0.75;8.5
o;8;27.25;Durrer Ueli;;21;45.75;8;27.25;0;0.0;8.5
+;13;35.75;Britschgi Marcel;;14;54.25;13;35.75;0;0.0;10.0
o;9;45.75;Langensand Stefan;*;9;55.5;10;45.5;1;-0.25;8.75

13l;Elmiger Matthias;;;;;;;;;;54.5
+;;;Barmettler Severin (2005);;;;;;;;10.0
-;1;10.0;Wolf Stefan (2006);;16;53.75;2;9.75;1;-0.25;9.0
o;4;19.0;Arnold Stefan;**;6;56.25;7;18.25;3;-0.75;8.5
+;7;27.5;Berchtold Kilian;;13;54.5;8;27.25;1;-0.25;10.0
o;6;37.5;Ettlin Martin;*;12;54.75;10;36.5;4;-1.0;8.5
