4102-2022-06-19_Fete_alpestre_Lac_Noir_-_Bergschwinget_Schwarzsee-ST

1a;Gnägi Florian;***;;;;;;;;;58.75
+;5;8.5;Thöni Reto;*;14;54.5;1;10.0;-4;1.5;10.0
+;6;18.5;Wittwer Jan;**;3;57.25;5;18.75;-1;0.25;10.0
+;5;28.5;Sempach Thomas;***;5;56.75;2;29.75;-3;1.25;10.0
o;2;38.5;Orlik Curdin;***;3;57.25;2;38.5;0;0.0;8.5
+;6;47.0;Thomet Adrian;**;10;55.5;7;46.75;1;-0.25;10.0

5a;Kramer Lario;***;;;;;;;;;56.75
+;;;Kämpf Bernhard;***;;;;;;;9.75
+;2;9.75;Thomet Adrian;**;10;55.5;1;10.0;-1;0.25;10.0
o;2;19.75;Gnägi Florian;***;1;58.75;1;20.0;-1;0.25;8.5
+;6;28.25;Ulrich Marco;**;10;55.5;5;28.5;-1;0.25;10.0
-;3;38.25;Sempach Thomas;***;5;56.75;3;38.25;0;0.0;8.75
+;6;47.0;Moser Michael (2005);*;9;55.75;6;47.0;0;0.0;9.75

5b;Ledermann Michael;**;;;;;;;;;56.75
-;;;Wicki Joel;***;;;;;;;8.75
+;4;8.75;Schürpf Bruno;*;11;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Müller Michael;**;22;35.75;6;18.5;0;0.0;10.0
+;5;28.5;Duplan Steve;***;17;53.75;6;28.25;1;-0.25;10.0
+;2;38.5;Fankhauser Erich;***;14;54.5;5;37.5;3;-1.0;9.75
o;3;48.25;Wittwer Jan;**;3;57.25;5;47.25;2;-1.0;8.5

5c;Wicki Joel;***;;;;;;;;;56.75
-;;;Ledermann Michael;**;;;;;;;9.0
+;3;9.0;Schwander Severin;**;4;57.0;1;10.0;-2;1.0;10.0
-;4;19.0;Orlik Curdin;***;3;57.25;2;19.75;-2;0.75;9.0
+;7;28.0;Gäumann Stefan;**;11;55.25;6;28.25;-1;0.25;10.0
+;4;38.0;Kämpf Bernhard;***;6;56.5;4;38.0;0;0.0;9.75
-;4;47.75;Staudenmann Fabian;***;2;57.5;2;48.5;-2;0.75;9.0

5d;Sempach Thomas;***;;;;;;;;;56.75
+;;;Vogel Remo;**;;;;;;;10.0
+;1;10.0;Duplan Steve;***;17;53.75;2;9.75;1;-0.25;10.0
+;1;20.0;Bissig Lukas;*;6;56.5;2;19.75;1;-0.25;9.75
o;2;29.75;Nötzli Reto;***;4;57.0;5;28.5;3;-1.25;8.5
-;3;38.25;Kramer Lario;***;5;56.75;3;38.25;0;0.0;8.75
+;6;47.0;Burch Jonas;**;9;55.75;6;47.0;0;0.0;9.75

6a;Schurtenberger Sven;***;;;;;;;;;56.5
o;;;Staudenmann Fabian;***;;;;;;;8.5
+;5;8.5;Sommer Roman;*;9;55.75;1;10.0;-4;1.5;10.0
o;6;18.5;Luginbühl Hanspeter;**;9;55.75;2;19.75;-4;1.25;8.5
+;11;27.0;Hofer Sven;**;9;55.75;10;27.25;-1;0.25;9.75
+;8;36.75;Roth Dominik;**;8;56.0;5;37.5;-3;0.75;9.75
+;8;46.5;Kropf Thomas;**;11;55.25;7;46.75;-1;0.25;10.0

6b;Bissig Lukas;*;;;;;;;;;56.5
+;;;Hayoz Quentin;*;;;;;;;10.0
+;1;10.0;Inniger Thomas;***;22;35.75;4;8.75;3;-1.25;9.75
o;2;19.75;Sempach Thomas;***;5;56.75;1;20.0;-1;0.25;8.5
o;6;28.25;Schär Alex;*;12;55.0;6;28.25;0;0.0;8.5
+;8;36.75;Sturny Nicolas;**;16;54.0;7;37.0;-1;0.25;10.0
+;7;46.75;Luginbühl Hanspeter;**;9;55.75;5;47.25;-2;0.5;9.75

6c;Rohrer Ueli;**;;;;;;;;;56.5
-;;;Roth Dominik;**;;;;;;;8.75
+;4;8.75;Gäumann Stefan;**;11;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;von Büren Stephan;**;12;55.0;7;18.25;1;-0.25;9.75
o;6;28.25;Kämpf Bernhard;***;6;56.5;7;28.0;1;-0.25;8.5
+;8;36.75;Schenk Thomas;*;17;53.75;8;36.75;0;0.0;10.0
+;7;46.75;Schär Alex;*;12;55.0;8;46.5;1;-0.25;9.75

6d;Kämpf Bernhard;***;;;;;;;;;56.5
o;;;Kramer Lario;***;;;;;;;8.5
+;5;8.5;Arnold Marcel;*;18;53.25;1;10.0;-4;1.5;9.75
+;7;18.25;Doppmann Urs;**;10;55.5;6;18.5;-1;0.25;9.75
+;7;28.0;Rohrer Ueli;**;6;56.5;6;28.25;-1;0.25;10.0
o;4;38.0;Wicki Joel;***;5;56.75;4;38.0;0;0.0;8.5
+;8;46.5;Ulrich Marco;**;10;55.5;6;47.0;-2;0.5;10.0

7a;von Weissenfluh Kilian;***;;;;;;;;;56.25
+;;;Fankhauser Erich;***;;;;;;;9.75
-;2;9.75;Kessler Joel;*;12;55.0;1;10.0;-1;0.25;8.75
+;6;18.5;Siegenthaler Leo (2005);*;20;52.75;6;18.5;0;0.0;10.0
-;5;28.5;Staudenmann Fabian;***;2;57.5;3;29.5;-2;1.0;9.0
+;5;37.5;Vogel Remo;**;10;55.5;7;37.0;2;-0.5;9.75
-;5;47.25;Moser Steven;**;11;55.25;9;46.25;4;-1.0;9.0

8a;Roth Dominik;**;;;;;;;;;56.0
-;;;Rohrer Ueli;**;;;;;;;8.75
+;4;8.75;Dorsaz Théo;*;27;34.25;5;8.5;1;-0.25;10.0
-;5;18.75;Gapany Benjamin;***;4;57.0;2;19.75;-3;1.0;8.75
+;9;27.5;Kälin Roland;**;11;55.25;10;27.25;1;-0.25;10.0
o;5;37.5;Schurtenberger Sven;***;6;56.5;8;36.75;3;-0.75;8.5
+;10;46.0;Fankhauser Erich;***;14;54.5;10;46.0;0;0.0;10.0

8b;Lüthi David;*;;;;;;;;;56.0
+;;;Siegenthaler Leo (2005);*;;;;;;;10.0
-;1;10.0;Moser Steven;**;11;55.25;4;8.75;3;-1.25;8.75
o;5;18.75;Duplan Steve;***;17;53.75;7;18.25;2;-0.5;8.5
+;10;27.25;Arnold Marcel;*;18;53.25;10;27.25;0;0.0;10.0
o;6;37.25;Ulrich Marco;**;10;55.5;7;37.0;1;-0.25;8.75
+;10;46.0;Borcard Johann;**;15;54.25;11;45.75;1;-0.25;10.0

9a;Burch Jonas;**;;;;;;;;;55.75
o;;;Kropf Thomas;**;;;;;;;8.75
+;4;8.75;Grossenbacher Simon;*;24;35.25;5;8.5;1;-0.25;9.75
+;6;18.5;Schenk Patrick;***;22;35.75;6;18.5;0;0.0;10.0
o;5;28.5;Moser Michael (2005);*;9;55.75;5;28.5;0;0.0;8.75
+;6;37.25;Luginbühl Hanspeter;**;9;55.75;2;38.5;-4;1.25;9.75
o;6;47.0;Sempach Thomas;***;5;56.75;6;47.0;0;0.0;8.75

9b;Bieri Marcel;***;;;;;;;;;55.75
o;;;Gnägi Florian;***;;;;;;;8.5
+;5;8.5;Burger Matthieu;**;9;55.75;1;10.0;-4;1.5;9.75
-;7;18.25;Moser Michael (2005);*;9;55.75;2;19.75;-5;1.5;8.75
+;11;27.0;Tschumi Lukas;*;15;54.25;10;27.25;-1;0.25;10.0
-;7;37.0;Anderegg Simon;***;12;55.0;5;37.5;-2;0.5;8.75
+;11;45.75;Schenk Thomas;*;17;53.75;13;45.25;2;-0.5;10.0

9c;Sommer Roman;*;;;;;;;;;55.75
+;;;Dorsaz Théo;*;;;;;;;10.0
o;1;10.0;Schurtenberger Sven;***;6;56.5;5;8.5;4;-1.5;8.5
-;6;18.5;Arnold Marcel;*;18;53.25;6;18.5;0;0.0;8.75
+;10;27.25;Müller Michael;**;22;35.75;10;27.25;0;0.0;9.75
+;7;37.0;Doppmann Urs;**;10;55.5;8;36.75;1;-0.25;10.0
-;6;47.0;Schwander Severin;**;4;57.0;3;48.25;-3;1.25;8.75

9d;Suppiger Werner;**;;;;;;;;;55.75
-;;;Anderegg Simon;***;;;;;;;8.75
o;4;8.75;Schär Alex;*;12;55.0;2;9.75;-2;1.0;8.5
+;9;17.25;Dufey Gil;*;24;35.25;7;18.25;-2;1.0;9.75
+;11;27.0;Schenk Patrick;***;22;35.75;10;27.25;-1;0.25;9.75
-;8;36.75;Gottofrey Marc;**;10;55.5;8;36.75;0;0.0;9.0
+;11;45.75;Tschumi Lukas;*;15;54.25;11;45.75;0;0.0;10.0

9e;Luginbühl Hanspeter;**;;;;;;;;;55.75
+;;;Bernhard Lukas;**;;;;;;;9.75
+;2;9.75;Suter Beat;*;15;54.25;2;9.75;0;0.0;10.0
+;2;19.75;Schurtenberger Sven;***;6;56.5;6;18.5;4;-1.25;10.0
-;2;29.75;Gnägi Florian;***;1;58.75;1;30.0;-1;0.25;8.75
o;2;38.5;Burch Jonas;**;9;55.75;6;37.25;4;-1.25;8.75
o;5;47.25;Bissig Lukas;*;6;56.5;7;46.75;2;-0.5;8.5

9f;Hofer Sven;**;;;;;;;;;55.75
o;;;Schenk Patrick;***;;;;;;;8.5
+;5;8.5;Bucher Christian;**;24;35.25;5;8.5;0;0.0;10.0
-;6;18.5;Suter Beat;*;15;54.25;7;18.25;1;-0.25;8.75
o;10;27.25;Schurtenberger Sven;***;6;56.5;11;27.0;1;-0.25;8.5
+;12;35.75;Aebersold Fabian;*;13;54.75;9;36.5;-3;0.75;10.0
+;11;45.75;Bernhard Lukas;**;15;54.25;12;45.5;1;-0.25;10.0

9g;Moser Michael (2005);*;;;;;;;;;55.75
+;;;Tornare Paul;*;;;;;;;10.0
+;1;10.0;Vogel Remo;**;10;55.5;5;8.5;4;-1.5;9.75
-;2;19.75;Bieri Marcel;***;9;55.75;7;18.25;5;-1.5;8.75
+;5;28.5;Burch Jonas;**;9;55.75;5;28.5;0;0.0;10.0
o;2;38.5;Gnägi Florian;***;1;58.75;1;38.75;-1;0.25;8.5
o;6;47.0;Kramer Lario;***;5;56.75;6;47.0;0;0.0;8.75

9h;Burger Matthieu;**;;;;;;;;;55.75
+;;;Ulrich Marco;**;;;;;;;10.0
o;1;10.0;Bieri Marcel;***;9;55.75;5;8.5;4;-1.5;8.5
-;6;18.5;Kenel Franz-Toni;*;19;53.0;7;18.25;1;-0.25;8.75
-;10;27.25;Ambühl Joel;**;13;54.75;10;27.25;0;0.0;8.75
+;11;36.0;Balimann Sandro;*;18;53.25;10;36.25;-1;0.25;9.75
+;11;45.75;Suter Beat;*;15;54.25;11;45.75;0;0.0;10.0

10a;Ulrich Marco;**;;;;;;;;;55.5
o;;;Burger Matthieu;**;;;;;;;8.5
+;5;8.5;Gottofrey Marc;**;10;55.5;5;8.5;0;0.0;10.0
+;6;18.5;Fankhauser Hans;*;20;52.75;5;18.75;-1;0.25;10.0
o;5;28.5;Kramer Lario;***;5;56.75;6;28.25;1;-0.25;8.5
+;7;37.0;Lüthi David;*;8;56.0;6;37.25;-1;0.25;10.0
o;6;47.0;Kämpf Bernhard;***;6;56.5;8;46.5;2;-0.5;8.5

10b;Odermatt Christian;**;;;;;;;;;55.5
-;;;Wittwer Jan;**;;;;;;;8.75
o;4;8.75;Wieland Janis;*;20;52.75;5;8.5;1;-0.25;8.5
o;9;17.25;Siegenthaler Leo (2005);*;20;52.75;6;18.5;-3;1.25;8.5
+;16;25.75;Varone Luc;*;28;34.0;17;25.5;1;-0.25;10.0
+;12;35.75;Dorsaz Théo;*;27;34.25;17;34.25;5;-1.5;9.75
+;12;45.5;Fankhauser Hans;*;20;52.75;17;44.25;5;-1.25;10.0

10c;Omlin Toni;*;;;;;;;;;55.5
+;;;Kramer Dorian;**;;;;;;;9.75
-;2;9.75;Anderegg Simon;***;12;55.0;4;8.75;2;-1.0;8.75
+;6;18.5;Tschumi Lukas;*;15;54.25;6;18.5;0;0.0;10.0
-;5;28.5;Borcard Johann;**;15;54.25;6;28.25;1;-0.25;8.75
o;6;37.25;Kropf Thomas;**;11;55.25;8;36.75;2;-0.5;8.5
+;11;45.75;Duplan Steve;***;17;53.75;13;45.25;2;-0.5;9.75

10d;Doppmann Urs;**;;;;;;;;;55.5
o;;;Schwander Severin;**;;;;;;;8.5
+;5;8.5;Dubey Gaël;*;26;34.5;4;8.75;-1;0.25;10.0
o;6;18.5;Kämpf Bernhard;***;6;56.5;7;18.25;1;-0.25;8.5
+;11;27.0;Grossenbacher Simon;*;24;35.25;12;26.75;1;-0.25;9.75
o;8;36.75;Sommer Roman;*;9;55.75;7;37.0;-1;0.25;8.75
+;12;45.5;Baeriswyl Christoph;**;15;54.25;11;45.75;-1;0.25;10.0

10e;Thomet Adrian;**;;;;;;;;;55.5
+;;;Dousse Michel;**;;;;;;;10.0
o;1;10.0;Kramer Lario;***;5;56.75;2;9.75;1;-0.25;8.5
o;6;18.5;Sturny Nicolas;**;16;54.0;6;18.5;0;0.0;8.5
+;11;27.0;Kramer Dorian;**;23;35.5;11;27.0;0;0.0;10.0
+;7;37.0;Duplan Steve;***;17;53.75;8;36.75;1;-0.25;9.75
o;7;46.75;Nötzli Reto;***;4;57.0;6;47.0;-1;0.25;8.75

10f;Vogel Remo;**;;;;;;;;;55.5
o;;;Sempach Thomas;***;;;;;;;8.5
o;5;8.5;Moser Michael (2005);*;9;55.75;1;10.0;-4;1.5;8.5
+;10;17.0;Martin Gaël (2004);*;27;34.25;9;17.25;-1;0.25;10.0
+;11;27.0;Fankhauser Hans;*;20;52.75;10;27.25;-1;0.25;10.0
o;7;37.0;von Weissenfluh Kilian;***;7;56.25;5;37.5;-2;0.5;8.5
+;12;45.5;Sturny Nicolas;**;16;54.0;12;45.5;0;0.0;10.0

10g;Haenni Stéphane;**;;;;;;;;;55.5
+;;;von Büren Stephan;**;;;;;;;10.0
o;1;10.0;Staudenmann Fabian;***;2;57.5;2;9.75;1;-0.25;8.5
o;6;18.5;Gäumann Stefan;**;11;55.25;7;18.25;1;-0.25;8.5
-;11;27.0;Kenel Franz-Toni;*;19;53.0;11;27.0;0;0.0;8.75
+;12;35.75;Hayoz Quentin;*;20;52.75;13;35.5;1;-0.25;9.75
+;12;45.5;Lang Sven;**;17;53.75;13;45.25;1;-0.25;10.0

10h;Gottofrey Marc;**;;;;;;;;;55.5
o;;;Gäumann Stefan;**;;;;;;;8.5
o;5;8.5;Ulrich Marco;**;10;55.5;5;8.5;0;0.0;8.5
+;10;17.0;Varone Luc;*;28;34.0;10;17.0;0;0.0;9.75
+;12;26.75;Gisler Jonas;*;17;53.75;11;27.0;-1;0.25;10.0
-;8;36.75;Suppiger Werner;**;9;55.75;8;36.75;0;0.0;9.0
+;11;45.75;Heiniger Marco;**;15;54.25;12;45.5;1;-0.25;9.75

11a;Kropf Thomas;**;;;;;;;;;55.25
+;;;Burch Jonas;**;;;;;;;9.75
o;2;9.75;Borcard Johann;**;15;54.25;2;9.75;0;0.0;8.5
+;7;18.25;Hayoz Quentin;*;20;52.75;6;18.5;-1;0.25;10.0
o;6;28.25;Schwander Severin;**;4;57.0;5;28.5;-1;0.25;8.5
+;8;36.75;Omlin Toni;*;10;55.5;6;37.25;-2;0.5;10.0
o;7;46.75;Schurtenberger Sven;***;6;56.5;8;46.5;1;-0.25;8.5

11b;Schürpf Bruno;*;;;;;;;;;55.25
+;;;Dufey Gil;*;;;;;;;9.75
o;2;9.75;Ledermann Michael;**;5;56.75;4;8.75;2;-1.0;8.5
+;7;18.25;Dousse Michel;**;16;54.0;9;17.25;2;-1.0;9.75
-;7;28.0;Gehrig Philipp;**;11;55.25;8;27.75;1;-0.25;9.0
o;7;37.0;Wittwer Jan;**;3;57.25;6;37.25;-1;0.25;8.5
+;12;45.5;Schläfli Hugo;*;21;52.5;18;44.0;6;-1.5;9.75

11c;Moser Steven;**;;;;;;;;;55.25
-;;;Inniger Thomas;***;;;;;;;8.75
-;4;8.75;Lüthi David;*;8;56.0;1;10.0;-3;1.25;8.75
-;8;17.5;Gnägi Damian;*;18;53.25;6;18.5;-2;1.0;8.75
+;14;26.25;Bucher Christian;**;24;35.25;12;26.75;-2;0.5;10.0
+;10;36.25;von Büren Stephan;**;12;55.0;8;36.75;-2;0.5;10.0
-;9;46.25;von Weissenfluh Kilian;***;7;56.25;5;47.25;-4;1.0;9.0

11d;Kälin Roland;**;;;;;;;;;55.25
-;;;Gehrig Philipp;**;;;;;;;8.75
-;4;8.75;Dousse Michel;**;16;54.0;5;8.5;1;-0.25;8.75
+;8;17.5;Pasquier Loïc;*;28;34.0;10;17.0;2;-0.5;9.75
o;10;27.25;Roth Dominik;**;8;56.0;9;27.5;-1;0.25;8.5
+;12;35.75;Schläfli Hugo;*;21;52.5;13;35.5;1;-0.25;9.75
+;12;45.5;Siegenthaler Leo (2005);*;20;52.75;17;44.25;5;-1.25;9.75

11e;Gehrig Philipp;**;;;;;;;;;55.25
-;;;Kälin Roland;**;;;;;;;8.75
+;4;8.75;Rogivue Théo;*;25;34.75;4;8.75;0;0.0;10.0
-;5;18.75;Fankhauser Erich;***;14;54.5;6;18.5;1;-0.25;9.0
-;8;27.75;Schürpf Bruno;*;11;55.25;7;28.0;-1;0.25;9.0
-;8;36.75;Suter Beat;*;15;54.25;7;37.0;-1;0.25;8.75
+;12;45.5;Arnold Marcel;*;18;53.25;16;44.5;4;-1.0;9.75

11f;Gäumann Stefan;**;;;;;;;;;55.25
+;;;Gottofrey Marc;**;;;;;;;9.75
o;2;9.75;Rohrer Ueli;**;6;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Haenni Stéphane;**;10;55.5;6;18.5;-1;0.25;10.0
o;6;28.25;Wicki Joel;***;5;56.75;7;28.0;1;-0.25;8.5
+;8;36.75;Bernhard Lukas;**;15;54.25;7;37.0;-1;0.25;10.0
o;7;46.75;Gapany Benjamin;***;4;57.0;5;47.25;-2;0.5;8.5

12a;Kessler Joel;*;;;;;;;;;55.0
+;;;Varone Luc;*;;;;;;;10.0
-;1;10.0;von Weissenfluh Kilian;***;7;56.25;2;9.75;1;-0.25;8.75
o;5;18.75;Schwander Severin;**;4;57.0;6;18.5;1;-0.25;8.5
-;10;27.25;Baeriswyl Christoph;**;15;54.25;12;26.75;2;-0.5;9.0
+;10;36.25;Wieland Janis;*;20;52.75;12;35.75;2;-0.5;10.0
o;9;46.25;Berger Lorenz;**;4;57.0;6;47.0;-3;0.75;8.75

12b;Schär Alex;*;;;;;;;;;55.0
+;;;Grossenbacher Simon;*;;;;;;;9.75
+;2;9.75;Suppiger Werner;**;9;55.75;4;8.75;2;-1.0;9.75
-;3;19.5;Ambühl Joel;**;13;54.75;6;18.5;3;-1.0;8.75
+;6;28.25;Bissig Lukas;*;6;56.5;6;28.25;0;0.0;9.75
o;4;38.0;Staudenmann Fabian;***;2;57.5;2;38.5;-2;0.5;8.5
o;8;46.5;Rohrer Ueli;**;6;56.5;7;46.75;-1;0.25;8.5

12c;von Büren Stephan;**;;;;;;;;;55.0
o;;;Haenni Stéphane;**;;;;;;;8.5
+;5;8.5;Pasquier Loïc;*;28;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Rohrer Ueli;**;6;56.5;6;18.5;-1;0.25;8.5
+;12;26.75;Dufey Gil;*;24;35.25;12;26.75;0;0.0;10.0
o;8;36.75;Moser Steven;**;11;55.25;10;36.25;2;-0.5;8.5
+;13;45.25;Balimann Sandro;*;18;53.25;15;44.75;2;-0.5;9.75

12d;Anderegg Simon;***;;;;;;;;;55.0
-;;;Suppiger Werner;**;;;;;;;8.75
-;4;8.75;Omlin Toni;*;10;55.5;2;9.75;-2;1.0;8.75
+;8;17.5;Gisler Jonas;*;17;53.75;6;18.5;-2;1.0;10.0
+;9;27.5;Heiniger Marco;**;15;54.25;10;27.25;1;-0.25;10.0
-;5;37.5;Bieri Marcel;***;9;55.75;7;37.0;2;-0.5;8.75
-;9;46.25;Ambühl Joel;**;13;54.75;10;46.0;1;-0.25;8.75

13a;Aebersold Fabian;*;;;;;;;;;54.75
+;;;Martin Gaël (2004);*;;;;;;;9.75
o;2;9.75;Müller Michael;**;22;35.75;5;8.5;3;-1.25;8.5
+;7;18.25;Hayoz Quentin;*;20;52.75;6;18.5;-1;0.25;9.75
o;7;28.0;Fankhauser Erich;***;14;54.5;9;27.5;2;-0.5;8.5
o;9;36.5;Hofer Sven;**;9;55.75;12;35.75;3;-0.75;8.5
+;14;45.0;Fankhauser Hans;*;20;52.75;17;44.25;3;-0.75;9.75

13b;Ambühl Joel;**;;;;;;;;;54.75
o;;;Duplan Steve;***;;;;;;;8.75
+;4;8.75;Schenk Thomas;*;17;53.75;2;9.75;-2;1.0;9.75
-;6;18.5;Schär Alex;*;12;55.0;3;19.5;-3;1.0;8.75
-;10;27.25;Burger Matthieu;**;9;55.75;10;27.25;0;0.0;8.75
+;11;36.0;Gnägi Damian;*;18;53.25;11;36.0;0;0.0;10.0
-;10;46.0;Anderegg Simon;***;12;55.0;9;46.25;-1;0.25;8.75

14a;Fankhauser Erich;***;;;;;;;;;54.5
o;;;von Weissenfluh Kilian;***;;;;;;;8.5
+;5;8.5;Berger Lorenz;**;4;57.0;1;10.0;-4;1.5;10.0
-;6;18.5;Gehrig Philipp;**;11;55.25;5;18.75;-1;0.25;9.0
+;9;27.5;Aebersold Fabian;*;13;54.75;7;28.0;-2;0.5;10.0
o;5;37.5;Ledermann Michael;**;5;56.75;2;38.5;-3;1.0;8.5
o;10;46.0;Roth Dominik;**;8;56.0;10;46.0;0;0.0;8.5

14b;Thöni Reto;*;;;;;;;;;54.5
+;;;Pürro David;*;;;;;;;10.0
o;1;10.0;Nötzli Reto;***;4;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Wieland Janis;*;20;52.75;7;18.25;1;-0.25;9.75
-;6;28.25;Sturny Nicolas;**;16;54.0;6;28.25;0;0.0;8.75
-;7;37.0;Borcard Johann;**;15;54.25;7;37.0;0;0.0;8.75
o;11;45.75;Bernhard Lukas;**;15;54.25;12;45.5;1;-0.25;8.75

15a;Borcard Johann;**;;;;;;;;;54.25
+;;;Lang Sven;**;;;;;;;9.75
+;2;9.75;Kropf Thomas;**;11;55.25;2;9.75;0;0.0;9.75
o;3;19.5;Staudenmann Fabian;***;2;57.5;2;19.75;-1;0.25;8.75
-;6;28.25;Omlin Toni;*;10;55.5;5;28.5;-1;0.25;8.75
-;7;37.0;Thöni Reto;*;14;54.5;7;37.0;0;0.0;8.75
o;11;45.75;Lüthi David;*;8;56.0;10;46.0;-1;0.25;8.5

15b;Bernhard Lukas;**;;;;;;;;;54.25
o;;;Luginbühl Hanspeter;**;;;;;;;8.5
-;5;8.5;Tschumi Lukas;*;15;54.25;2;9.75;-3;1.25;8.75
+;9;17.25;Tornare Paul;*;27;34.25;9;17.25;0;0.0;9.75
+;11;27.0;Pürro David;*;24;35.25;12;26.75;1;-0.25;10.0
o;7;37.0;Gäumann Stefan;**;11;55.25;8;36.75;1;-0.25;8.5
o;12;45.5;Hofer Sven;**;9;55.75;11;45.75;-1;0.25;8.5
+;16;54.0;Thöni Reto;*;14;54.5;14;54.5;-2;0.5;0.25

15c;Suter Beat;*;;;;;;;;;54.25
+;;;Zbinden Dario (2004);*;;;;;;;9.75
o;2;9.75;Luginbühl Hanspeter;**;9;55.75;2;9.75;0;0.0;8.5
-;7;18.25;Hofer Sven;**;9;55.75;6;18.5;-1;0.25;8.75
+;11;27.0;Inniger Thomas;***;22;35.75;10;27.25;-1;0.25;10.0
-;7;37.0;Gehrig Philipp;**;11;55.25;8;36.75;1;-0.25;8.75
o;11;45.75;Burger Matthieu;**;9;55.75;11;45.75;0;0.0;8.5

15d;Heiniger Marco;**;;;;;;;;;54.25
o;;;Berger Lorenz;**;;;;;;;8.5
-;5;8.5;Balimann Sandro;*;18;53.25;4;8.75;-1;0.25;8.75
+;9;17.25;Schläfli Hugo;*;21;52.5;10;17.0;1;-0.25;10.0
o;10;27.25;Anderegg Simon;***;12;55.0;9;27.5;-1;0.25;8.5
