5593-2022-05-22_99_Urner_Kant_Schwingfest3-ST

1a;Gisler Silvan;;;;;;;;;;107.5
-;3;9.75;Hofer Sven;**;7;57.0;2;10.0;-1;0.25;8.75
-;7;18.5;Suter Pirmin;**;9;56.5;6;18.75;-1;0.25;8.75
+;10;27.25;Kramer Dorian;**;17;54.5;10;27.25;0;0.0;9.75
+;10;37.0;Arnold Marcel;*;13;55.5;6;38.0;-4;1.0;10.0
+;8;47.0;Moos Christoph;*;13;55.5;8;47.0;0;0.0;9.75

8b;Odermatt Andreas;**;;;;;;;;;56.75
-;;;Stöckli Damian;*;;;;;;;8.75
o;5;8.75;Durrer Fabian;*;12;55.75;4;9.0;-1;0.25;8.5
+;12;17.25;Häﬂiger Patrick;;26;35.5;7;18.5;-5;1.25;10.0
+;10;27.25;Betschart Fabian;;19;54.0;10;27.25;0;0.0;10.0
+;9;37.25;Waser Reto;*;13;55.5;9;37.25;0;0.0;9.75
+;8;47.0;Wyss Sven;*;13;55.5;8;47.0;0;0.0;9.75

8c;Kälin Roland;**;;;;;;;;;56.75
o;;;Schöpfer Ronny;**;;;;;;;8.5
-;6;8.5;Gerber Peter;*;13;55.5;6;8.5;0;0.0;8.75
+;12;17.25;Lustenberger Tim (2005);;19;54.0;7;18.5;-5;1.25;10.0
+;10;27.25;von Matt Lars;;21;53.5;9;27.5;-1;0.25;10.0
+;9;37.25;Schmid Simon;*;14;55.25;10;37.0;1;-0.25;9.75
+;8;47.0;Odermatt Remo;*;14;55.25;9;46.75;1;-0.25;9.75

9a;Schürpf Bruno;*;;;;;;;;;56.5
-;;;Marti Simon;*;;;;;;;9.0
-;4;9.0;Stöckli Damian;*;16;54.75;5;8.75;1;-0.25;8.75
+;10;17.75;Durrer Ive;;34;27.0;7;18.5;-3;0.75;9.75
+;9;27.5;Zimmermann Raffael;;16;54.75;9;27.5;0;0.0;10.0
-;8;37.5;Imhof Andi;***;11;56.0;10;37.0;2;-0.5;9.0
+;10;46.5;Gisler Jonas;*;16;54.75;11;46.25;1;-0.25;10.0

9b;Heinzer Ronny;*;;;;;;;;;56.5
+;;;Gerber Peter;*;;;;;;;10.0
o;2;10.0;Imhof Andi;***;11;56.0;6;8.5;4;-1.5;8.5
+;7;18.5;Duss Yvan;;13;55.5;6;18.75;-1;0.25;10.0
+;5;28.5;Arnold Raphael;**;5;57.5;4;28.75;-1;0.25;9.75
o;5;38.25;Arnold Stefan;**;9;56.5;5;38.25;0;0.0;8.5
+;9;46.75;Elmiger Matthias;;12;55.75;7;47.25;-2;0.5;9.75

9c;Ettlin Stefan;**;;;;;;;;;56.5
+;;;Heinzer Stefan;**;;;;;;;9.75
+;3;9.75;Wyss Sven;*;13;55.5;2;10.0;-1;0.25;10.0
o;3;19.75;Orlik Armon;***;3;58.0;4;19.5;1;-0.25;8.75
+;5;28.5;Grab Florian;;12;55.75;4;28.75;-1;0.25;10.0
-;4;38.5;Schöpfer Ronny;**;6;57.25;5;38.25;1;-0.25;9.0
-;6;47.5;Wiss Ivan (2004);;12;55.75;9;46.75;3;-0.75;9.0

9d;Kessler Joel;*;;;;;;;;;56.5
+;;;Odermatt Christian;**;;;;;;;10.0
-;2;10.0;Schwyzer Samuel;*;6;57.25;3;9.75;1;-0.25;8.75
+;6;18.75;Herger Lars (2005);;24;52.75;6;18.75;0;0.0;10.0
+;4;28.75;Omlin Toni;*;11;56.0;4;28.75;0;0.0;10.0
-;3;38.75;Egli Damian;**;7;57.0;5;38.25;2;-0.5;9.0
-;5;47.75;Zurﬂuh Michael;*;9;56.5;5;47.75;0;0.0;8.75

9e;Zurﬂuh Michael;*;;;;;;;;;56.5
+;;;Felder Martin;*;;;;;;;10.0
-;2;10.0;Schuler Alex;***;16;54.75;6;8.5;4;-1.5;9.0
-;5;19.0;Ulrich Michael;;5;57.5;4;19.5;-1;0.5;9.0
+;7;28.0;Gabriel Simon;;14;55.25;6;28.25;-1;0.25;9.75
+;7;37.75;Von Euw Adi;;13;55.5;10;37.0;3;-0.75;10.0
-;5;47.75;Kessler Joel;*;9;56.5;5;47.75;0;0.0;8.75

9f;Arnold Stefan;**;;;;;;;;;56.5
+;;;Schuler Alex;***;;;;;;;9.75
+;3;9.75;Inderbitzin Daniel;*;12;55.75;2;10.0;-1;0.25;10.0
+;3;19.75;Suter Bruno;*;12;55.75;2;20.0;-1;0.25;9.75
-;3;29.5;Kramer Lario;***;2;58.5;2;29.75;-1;0.25;8.75
+;5;38.25;Heinzer Ronny;*;9;56.5;5;38.25;0;0.0;9.75
o;4;48.0;Orlik Armon;***;3;58.0;4;48.0;0;0.0;8.5

9g;Durrer Nando;*;;;;;;;;;56.5
+;;;Wyss Christian;*;;;;;;;9.75
o;3;9.75;Kramer Lario;***;2;58.5;3;9.75;0;0.0;8.5
+;8;18.25;Kryenbühl Mauro (2005);;26;35.5;7;18.5;-1;0.25;10.0
+;6;28.25;Wyss Sven;*;13;55.5;6;28.25;0;0.0;9.75
o;6;38.0;Kurmann Toni;*;7;57.0;4;38.5;-2;0.5;8.75
+;9;46.75;Betschart Roger;;16;54.75;11;46.25;2;-0.5;9.75

9h;Gwerder Dario;**;;;;;;;;;56.5
+;;;Heiniger Marco;**;;;;;;;9.75
+;3;9.75;Herger Fabian;*;12;55.75;2;10.0;-1;0.25;10.0
+;3;19.75;Kaufmann Reto;*;5;57.5;3;19.75;0;0.0;10.0
o;2;29.75;Orlik Armon;***;3;58.0;3;29.5;1;-0.25;8.5
+;5;38.25;Zberg Peter (2004);;14;55.25;5;38.25;0;0.0;9.75
o;4;48.0;Bissig Lukas;*;4;57.75;5;47.75;1;-0.25;8.5

9i;Odermatt Christian;**;;;;;;;;;56.5
o;;;Kessler Joel;*;;;;;;;8.5
+;6;8.5;Waser Reto;*;13;55.5;4;9.0;-2;0.5;10.0
