4753-2021-07-04_Appenzeller_Kantonalschwingfest-ST

1a;Schlegel Werner;**;;;;;;;;;59.5
+;10;27.25;Ruppanner Philipp;;15;55.0;7;28.0;-3;0.75;10.0
+;9;37.25;Joos Enrico (2003);;14;55.25;8;37.5;-1;0.25;9.75
o;8;47.0;Schlegel Sandro;**;7;57.0;7;47.25;-1;0.25;8.5

13e;Kolb Kilian (2005);;;;;;;;;;55.5
+;;;Schmid Michael;;;;;;;;10.0
o;1;10.0;Wey Nicola;*;11;56.0;3;9.0;2;-1.0;8.75
+;4;18.75;Laager Michael;;19;54.0;5;18.5;1;-0.25;9.75
o;5;28.5;Fausch Kjetil;*;13;55.5;9;27.5;4;-1.0;8.5
+;10;37.0;Schegg Daniel;;17;54.5;9;37.25;-1;0.25;10.0
o;8;47.0;Bickel Roman;*;8;56.75;9;46.75;1;-0.25;8.5

13f;Kühne Cyrill (2004);;;;;;;;;;55.5
+;;;Diem Hansruedi;;;;;;;;10.0
o;1;10.0;Rüegg Fabian;*;10;56.25;3;9.0;2;-1.0;8.5
+;5;18.5;Müggler Silvan;;28;35.25;6;18.25;1;-0.25;10.0
o;5;28.5;Fuster Sepp;*;12;55.75;5;28.5;0;0.0;8.5
+;10;37.0;Neff Florian;*;13;55.5;9;37.25;-1;0.25;10.0
o;8;47.0;Poltera Andrin;*;7;57.0;7;47.25;-1;0.25;8.5

13g;Fuster Arjuna (2003);;;;;;;;;;55.5
o;;;Mösli Marcel;;;;;;;;8.5
o;5;8.5;Neff Florian;*;13;55.5;5;8.5;0;0.0;8.5
o;11;17.0;Büchler Livio;;18;54.25;9;17.5;-2;0.5;8.5
+;15;25.5;Rust Emanuel;;29;34.5;13;26.0;-2;0.5;10.0
+;16;35.5;Tobler Michael (2004);;24;52.75;15;35.75;-1;0.25;10.0
+;14;45.5;Nüesch Sandro (2005);;19;54.0;14;45.5;0;0.0;10.0

13h;Roth Sämi;;;;;;;;;;55.5
+;;;Fofanah Ryan (2005);;;;;;;;9.75
o;2;9.75;Schwyn Adrian;*;15;55.0;2;9.75;0;0.0;8.5
+;6;18.25;Keller Stefan;;20;53.75;6;18.25;0;0.0;10.0
o;6;28.25;Oettli Marco;**;14;55.25;7;28.0;1;-0.25;8.5
+;11;36.75;Eisenhut Matthias (2005);;20;53.75;11;36.75;0;0.0;10.0
o;9;46.75;Dörig Erich;*;7;57.0;8;47.0;-1;0.25;8.75

13i;Müller Christian;;;;;;;;;;55.5
o;;;Schmid Gian (2003);;;;;;;;8.5
o;5;8.5;Brülisauer Thomas (2003);;21;53.5;5;8.5;0;0.0;8.5
+;11;17.0;Rust Emanuel;;29;34.5;9;17.5;-2;0.5;10.0
o;11;27.0;Nüesch Sandro (2005);;19;54.0;11;27.0;0;0.0;8.75
+;15;35.75;Freund Samuel (2004);;21;53.5;12;36.5;-3;0.75;9.75
+;14;45.5;Signer Walter;;19;54.0;14;45.5;0;0.0;10.0

13j;Kuhn Roman;*;;;;;;;;;55.5
-;;;Notz Armin;*;;;;;;;8.75
+;4;8.75;Manser Adrian;;16;54.75;2;9.75;-2;1.0;10.0
o;4;18.75;Vollenweider Jeremy;**;6;57.25;4;18.75;0;0.0;8.5
+;10;27.25;Giger Lorenz;;15;55.0;7;28.0;-3;0.75;9.75
o;10;37.0;Brülisauer Dominik;;14;55.25;10;37.0;0;0.0;8.5
+;14;45.5;Keller Stefan;;20;53.75;15;45.25;1;-0.25;10.0

13k;Baumgartner Ramon;;;;;;;;;;55.5
+;;;Reichmuth Beat;;;;;;;;10.0
o;1;10.0;Dumelin David;**;13;55.5;4;8.75;3;-1.25;8.5
-;5;18.5;Keller Lukas;;16;54.75;4;18.75;-1;0.25;8.75
+;10;27.25;Knellwolf Sebastian;;20;53.75;6;28.25;-4;1.0;10.0
o;9;37.25;Schlegel Sandro;**;7;57.0;9;37.25;0;0.0;8.5
+;13;45.75;Laager Michael;;19;54.0;14;45.5;1;-0.25;9.75

13l;Bucher Roman (2003);;;;;;;;;;55.5
-;;;Nüesch Sandro (2005);;;;;;;;8.75
+;4;8.75;Tobler Tobias (2005);;20;53.75;5;8.5;1;-0.25;10.0
o;4;18.75;Hugelshofer Lars;*;9;56.5;6;18.25;2;-0.5;8.5
+;10;27.25;Büchler Livio;;18;54.25;10;27.25;0;0.0;9.75
o;10;37.0;Inauen Andreas;*;14;55.25;10;37.0;0;0.0;8.75
+;13;45.75;Mösli Marcel;;18;54.25;14;45.5;1;-0.25;9.75

13m;Hinrichs Silvio (2004);;;;;;;;;;55.5
+;;;Baumann Nico;;;;;;;;9.75
+;2;9.75;Magani Flurin;;18;54.25;2;9.75;0;0.0;10.0
o;1;19.75;Bernold Edi;**;8;56.75;5;18.5;4;-1.25;8.5
o;6;28.25;Ulmann Fabian;*;12;55.75;10;27.25;4;-1.0;8.5
+;11;36.75;Zehnder Mario;;15;55.0;12;36.5;1;-0.25;10.0
o;9;46.75;Kolb Pirmin;*;9;56.5;9;46.75;0;0.0;8.75

13n;Schiesser Patrik;*;;;;;;;;;55.5
o;;;Marty Jaime;*;;;;;;;8.5
+;5;8.5;Kammermann Dominik;;11;56.0;1;10.0;-4;1.5;10.0
o;5;18.5;Koch Reto;*;2;58.25;4;18.75;-1;0.25;8.5
-;11;27.0;Tanner Adrian;;17;54.5;6;28.25;-5;1.25;9.0
+;14;36.0;Giger Lorenz;;15;55.0;11;36.75;-3;0.75;9.75
+;13;45.75;Büchler Livio;;18;54.25;13;45.75;0;0.0;9.75

13o;Leuppi Karim;*;;;;;;;;;55.5
+;;;Fuster Sepp;*;;;;;;;10.0
o;1;10.0;Zwyssig Raphael;***;3;58.0;4;8.75;3;-1.25;8.5
+;5;18.5;Thoma Luca;;17;54.5;4;18.75;-1;0.25;9.75
+;6;28.25;Kammermann Dominik;;11;56.0;4;28.75;-2;0.5;9.75
-;6;38.0;Kolb Pirmin;*;9;56.5;7;37.75;1;-0.25;9.0
o;8;47.0;Ott Damian;**;6;57.25;7;47.25;-1;0.25;8.5

13p;Graf Nicola (2003);;;;;;;;;;55.5
-;;;Langenegger Beat;;;;;;;;8.75
+;4;8.75;Inauen Silvan (2003);;31;34.0;5;8.5;1;-0.25;10.0
o;4;18.75;Neff Florian;*;13;55.5;5;18.5;1;-0.25;8.5
-;10;27.25;Thoma Luca;;17;54.5;10;27.25;0;0.0;8.75
+;14;36.0;Mösli Marcel;;18;54.25;10;37.0;-4;1.0;9.75
+;13;45.75;Keller Stefan;;20;53.75;15;45.25;2;-0.5;9.75

13q;Neff Florian;*;;;;;;;;;55.5
o;;;Schwyn Adrian;*;;;;;;;8.5
+;5;8.5;Fuster Arjuna (2003);;13;55.5;5;8.5;0;0.0;10.0
+;5;18.5;Graf Nicola (2003);;13;55.5;4;18.75;-1;0.25;9.75
-;6;28.25;Heierli Pascal;*;10;56.25;6;28.25;0;0.0;9.0
o;9;37.25;Kühne Cyrill (2004);;13;55.5;10;37.0;1;-0.25;8.5
+;13;45.75;Keller Cedric;;18;54.25;13;45.75;0;0.0;9.75

13r;Burch Dean;;;;;;;;;;55.5
+;;;Studerus Jan;;;;;;;;9.75
-;2;9.75;Joos Enrico (2003);;14;55.25;3;9.0;1;-0.75;9.0
o;4;18.75;Kuster Thomas;*;4;57.75;5;18.5;1;-0.25;8.5
+;10;27.25;Manser Adrian;;16;54.75;7;28.0;-3;0.75;9.75
+;10;37.0;Mösli Reto;;19;54.0;10;37.0;0;0.0;10.0
o;8;47.0;Dändliker Shane;**;5;57.5;6;47.5;-2;0.5;8.5

13s;Mettler Valentin;*;;;;;;;;;55.5
o;;;Inauen Andreas;*;;;;;;;8.5
+;5;8.5;Mösli Marcel;;18;54.25;1;10.0;-4;1.5;10.0
+;5;18.5;Brülisauer Dominik;;14;55.25;2;19.5;-3;1.0;10.0
o;5;28.5;Giger Urs;*;4;57.75;2;29.5;-3;1.0;8.5
-;10;37.0;Thiemann Fabrice;;13;55.5;10;37.0;0;0.0;8.75
+;13;45.75;Fässler Tobias;;17;54.5;12;46.0;-1;0.25;9.75

13t;Fausch Kjetil;*;;;;;;;;;55.5
-;;;Koch Reto;*;;;;;;;9.0
+;3;9.0;Schönenberger Tobias (2004);;12;55.75;3;9.0;0;0.0;10.0
o;3;19.0;Fejzaj Naim;**;9;56.5;1;19.75;-2;0.75;8.5
+;9;27.5;Kolb Kilian (2005);;13;55.5;5;28.5;-4;1.0;9.75
+;9;37.25;Wehrli Jan;;11;56.0;9;37.25;0;0.0;9.75
o;8;47.0;Vollenweider Jeremy;**;6;57.25;7;47.25;-1;0.25;8.5

13u;Inauen Aurel;;;;;;;;;;55.5
+;;;Stauffacher Martin;;;;;;;;10.0
o;1;10.0;Bernold Edi;**;8;56.75;4;8.75;3;-1.25;8.5
+;5;18.5;Zehnder Mario;;15;55.0;6;18.25;1;-0.25;10.0
o;5;28.5;Riget Florian;*;8;56.75;6;28.25;1;-0.25;8.5
+;10;37.0;Koller Andreas;;14;55.25;11;36.75;1;-0.25;10.0
o;8;47.0;Roth Peter;;7;57.0;8;47.0;0;0.0;8.5

14a;Schmid Gian (2003);;;;;;;;;;55.25
+;;;Müller Christian;;;;;;;;10.0
o;1;10.0;Schlegel Sandro;**;7;57.0;4;8.75;3;-1.25;8.5
+;5;18.5;Diem Hansruedi;;20;53.75;5;18.5;0;0.0;9.75
+;6;28.25;Tschudi Mario;;15;55.0;6;28.25;0;0.0;9.75
o;6;38.0;Fejzaj Naim;**;9;56.5;5;38.25;-1;0.25;8.5
o;10;46.5;Jörger Marc;*;11;56.0;12;46.0;2;-0.5;8.75

14b;Kundert Elias (2005);;;;;;;;;;55.25
+;;;Sonderegger Max;;;;;;;;10.0
-;1;10.0;Schuler Martin;*;12;55.75;4;8.75;3;-1.25;9.0
o;3;19.0;Marty Jaime;*;25;45.5;5;18.5;2;-0.5;8.5
+;9;27.5;Zemp Stefan;;26;44.25;11;27.0;2;-0.5;10.0
o;8;37.5;Rotach Lars;*;6;57.25;7;37.75;-1;0.25;8.75
-;11;46.25;Joos Enrico (2003);;14;55.25;11;46.25;0;0.0;9.0

14c;Joos Enrico (2003);;;;;;;;;;55.25
-;;;Schönenberger Tobias (2004);;;;;;;;9.0
-;3;9.0;Burch Dean;;13;55.5;2;9.75;-1;0.75;9.0
+;7;18.0;Wick Christian;;33;26.75;6;18.25;-1;0.25;9.75
+;8;27.75;Stauffacher Martin;;19;54.0;11;27.0;3;-0.75;9.75
o;8;37.5;Dumelin David;**;13;55.5;9;37.25;1;-0.25;8.75
-;11;46.25;Kundert Elias (2005);;14;55.25;11;46.25;0;0.0;9.0

14d;Brülisauer Dominik;;;;;;;;;;55.25
+;;;Schwyn Patrick;;;;;;;;9.75
+;2;9.75;Widmer Fadri (2005);;28;35.25;2;9.75;0;0.0;9.75
o;2;19.5;Mettler Valentin;*;13;55.5;5;18.5;3;-1.0;8.5
-;7;28.0;Müller Jano (2005);;19;54.0;7;28.0;0;0.0;9.0
+;10;37.0;Kuhn Roman;*;13;55.5;10;37.0;0;0.0;9.75
o;9;46.75;Wettstein Daniel;;8;56.75;9;46.75;0;0.0;8.5

14e;Fässler Michael;;;;;;;;;;55.25
+;;;Arnold Christian;;;;;;;;9.75
o;2;9.75;Raschle Urban (2003);;11;56.0;4;8.75;2;-1.0;8.5
+;6;18.25;Fässler Tobias;;17;54.5;9;17.5;3;-0.75;10.0
o;6;28.25;Bickel Roman;*;8;56.75;11;27.0;5;-1.25;8.5
+;11;36.75;Sonderegger Max;;20;53.75;12;36.5;1;-0.25;10.0
o;9;46.75;Heierli Pascal;*;10;56.25;11;46.25;2;-0.5;8.5

14f;Oettli Marco;**;;;;;;;;;55.25
+;;;Hochholdinger Roman;**;;;;;;;9.75
+;2;9.75;Inauen Andreas;*;14;55.25;1;10.0;-1;0.25;9.75
o;2;19.5;Giger Urs;*;4;57.75;1;19.75;-1;0.25;8.5
+;7;28.0;Roth Sämi;;13;55.5;6;28.25;-1;0.25;10.0
o;6;38.0;Schmid Dominik;**;4;57.75;2;39.0;-4;1.0;8.75
o;9;46.75;Bernold Edi;**;8;56.75;8;47.0;-1;0.25;8.5

14g;Inauen Andreas;*;;;;;;;;;55.25
+;;;Mettler Valentin;*;;;;;;;10.0
o;1;10.0;Oettli Marco;**;14;55.25;2;9.75;1;-0.25;8.5
-;5;18.5;Vollenweider Loïc (2004);;23;53.0;5;18.5;0;0.0;8.75
+;10;27.25;Gantenbein Linard (2004);;24;52.75;10;27.25;0;0.0;9.75
+;10;37.0;Bucher Roman (2003);;13;55.5;10;37.0;0;0.0;9.75
o;9;46.75;Riget Florian;*;8;56.75;9;46.75;0;0.0;8.5

14h;Fontana Michael;*;;;;;;;;;55.25
o;;;Koch Reto;*;;;;;;;8.5
+;5;8.5;Eisenhut Matthias (2005);;20;53.75;1;10.0;-4;1.5;10.0
+;5;18.5;Schegg Daniel;;17;54.5;4;18.75;-1;0.25;10.0
+;5;28.5;Thoma Christoph;;9;56.5;6;28.25;1;-0.25;9.75
o;5;38.25;Zwyssig Raphael;***;3;58.0;5;38.25;0;0.0;8.5
o;9;46.75;Koch Thomas;*;9;56.5;9;46.75;0;0.0;8.5

14i;Koller Andreas;;;;;;;;;;55.25
o;;;Signer Andy (2003);;;;;;;;8.5
o;5;8.5;Ackermann Rico (2003);;8;56.75;5;8.5;0;0.0;8.75
+;10;17.25;Bleiker Daniel;;18;54.25;10;17.25;0;0.0;9.75
+;11;27.0;Bleiker Ueli (2004);;28;35.25;12;26.75;1;-0.25;9.75
o;11;36.75;Inauen Aurel;;13;55.5;10;37.0;-1;0.25;8.5
+;15;45.25;Eisenhut Matthias (2005);;20;53.75;15;45.25;0;0.0;10.0

14j;Inauen Marco;;;;;;;;;;55.25
-;;;Keller Cedric;;;;;;;;8.75
o;4;8.75;Imhof Gregor;;20;53.75;4;8.75;0;0.0;8.5
+;10;17.25;Lüönd Remo (2003);;28;35.25;11;17.0;1;-0.25;9.75
+;11;27.0;Baumann Nico;;28;35.25;12;26.75;1;-0.25;9.75
o;11;36.75;Schuler Martin;*;12;55.75;14;36.0;3;-0.75;8.5
+;15;45.25;Tobler Pius;;20;53.75;15;45.25;0;0.0;10.0

14k;Schläpfer Matthias;*;;;;;;;;;55.25
o;;;Riget Florian;*;;;;;;;8.5
+;5;8.5;Müggler Silvan;;28;35.25;2;9.75;-3;1.25;9.75
+;6;18.25;Hänni Marc;;12;55.75;4;18.75;-2;0.5;9.75
o;7;28.0;Roth Peter;;7;57.0;5;28.5;-2;0.5;8.75
+;11;36.75;Laager Michael;;19;54.0;10;37.0;-1;0.25;10.0
o;9;46.75;Landolt Reto;*;8;56.75;9;46.75;0;0.0;8.5

15a;Winzeler Simon;;;;;;;;;;55.0
+;;;Ackermann Rico (2003);;;;;;;;10.0
o;1;10.0;Schläpfer Markus;**;6;57.25;4;8.75;3;-1.25;8.5
o;5;18.5;Inauen Maurus (2003);;12;55.75;4;18.75;-1;0.25;8.5
+;11;27.0;Aebli Nino;;18;54.25;11;27.0;0;0.0;9.75
o;11;36.75;Koch Thomas;*;9;56.5;10;37.0;-1;0.25;8.5
+;15;45.25;Habegger Andrin (2005);;19;54.0;14;45.5;-1;0.25;9.75

15b;Zehnder Mario;;;;;;;;;;55.0
o;;;Eisenhut Matthias (2005);;;;;;;;8.5
+;5;8.5;Meier Adrian (2005);;30;34.25;5;8.5;0;0.0;9.75
o;6;18.25;Inauen Aurel;;13;55.5;5;18.5;-1;0.25;8.5
+;12;26.75;Inauen Ivo;;28;35.25;12;26.75;0;0.0;9.75
o;12;36.5;Hinrichs Silvio (2004);;13;55.5;11;36.75;-1;0.25;8.5
+;16;45.0;Diem Hansruedi;;20;53.75;15;45.25;-1;0.25;10.0

15c;Notz Armin;*;;;;;;;;;55.0
-;;;Kuhn Roman;*;;;;;;;8.75
-;4;8.75;Inauen Maurus (2003);;12;55.75;1;10.0;-3;1.25;8.75
+;9;17.5;Sonderegger Max;;20;53.75;6;18.25;-3;0.75;10.0
-;9;27.5;Giger Florian;;15;55.0;7;28.0;-2;0.5;8.75
-;13;36.25;Schmid Michael;;13;55.5;11;36.75;-2;0.5;8.75
+;16;45.0;Dudli Gallus;;20;53.75;15;45.25;-1;0.25;10.0

15d;Ruppanner Philipp;;;;;;;;;;55.0
+;;;Nef Tobias (2005);;;;;;;;9.75
o;2;9.75;Baumgartner Joël;;23;53.0;4;8.75;2;-1.0;8.5
+;6;18.25;Schlegel Jamie (2004);;28;35.25;6;18.25;0;0.0;9.75
o;7;28.0;Dumelin David;**;13;55.5;10;27.25;3;-0.75;8.5
+;12;36.5;Brülisauer Thomas (2003);;21;53.5;12;36.5;0;0.0;10.0
o;10;46.5;Schuler Martin;*;12;55.75;12;46.0;2;-0.5;8.5

15e;Giger Florian;;;;;;;;;;55.0
o;;;Roth Peter;;;;;;;;8.5
+;5;8.5;Baumann Nico;;28;35.25;5;8.5;0;0.0;9.75
+;6;18.25;Wittenwiler Mathias (2003);;28;35.25;6;18.25;0;0.0;9.75
-;7;28.0;Notz Armin;*;15;55.0;9;27.5;2;-0.5;8.75
+;11;36.75;Nüesch Sandro (2005);;19;54.0;10;37.0;-1;0.25;9.75
o;10;46.5;Lanter Christian;*;10;56.25;11;46.25;1;-0.25;8.5

15f;Hochholdinger Roman;**;;;;;;;;;55.0
o;;;Oettli Marco;**;;;;;;;8.5
+;5;8.5;Tschudi Mario;;15;55.0;2;9.75;-3;1.25;10.0
+;5;18.5;Raschle Urban (2003);;11;56.0;5;18.5;0;0.0;9.75
o;6;28.25;Schläpfer Markus;**;6;57.25;5;28.5;-1;0.25;8.5
+;11;36.75;Anliker Andri (2003);;18;54.25;10;37.0;-1;0.25;9.75
o;10;46.5;Hug Jan;;10;56.25;10;46.5;0;0.0;8.5

15g;Schwyn Adrian;*;;;;;;;;;55.0
+;;;Neff Florian;*;;;;;;;9.75
+;2;9.75;Roth Sämi;;13;55.5;2;9.75;0;0.0;10.0
o;1;19.75;Schmid Dominik;**;4;57.75;3;19.0;2;-0.75;8.5
+;6;28.25;Mösli Marcel;;18;54.25;5;28.5;-1;0.25;9.75
o;6;38.0;Kuster Thomas;*;4;57.75;6;38.0;0;0.0;8.5
o;10;46.5;Hugelshofer Lars;*;9;56.5;10;46.5;0;0.0;8.5

15h;Giger Lorenz;;;;;;;;;;55.0
o;;;Wettstein Daniel;;;;;;;;8.5
+;5;8.5;Vetterli Sven (2003);;20;53.75;5;8.5;0;0.0;9.75
+;6;18.25;Keller Cedric;;18;54.25;10;17.25;4;-1.0;9.75
o;7;28.0;Kuhn Roman;*;13;55.5;10;27.25;3;-0.75;8.75
o;11;36.75;Schiesser Patrik;*;13;55.5;14;36.0;3;-0.75;8.5
+;15;45.25;Arnold Christian;;20;53.75;19;44.0;4;-1.25;9.75

15i;Tschudi Mario;;;;;;;;;;55.0
+;;;Krucker Silvan;;;;;;;;9.75
o;2;9.75;Hochholdinger Roman;**;15;55.0;5;8.5;3;-1.25;8.5
+;6;18.25;Brülisauer Thomas (2003);;21;53.5;6;18.25;0;0.0;10.0
o;6;28.25;Schmid Gian (2003);;14;55.25;6;28.25;0;0.0;8.5
o;11;36.75;Langenegger Beat;;13;55.5;10;37.0;-1;0.25;8.5
+;15;45.25;Knellwolf Sebastian;;20;53.75;15;45.25;0;0.0;9.75

16a;Manser Adrian;;;;;;;;;;54.75
+;;;Kern Sven (2003);;;;;;;;9.75
o;2;9.75;Kuhn Roman;*;13;55.5;4;8.75;2;-1.0;8.5
+;6;18.25;Rickenmann Ramon;;28;35.25;6;18.25;0;0.0;9.75
o;7;28.0;Burch Dean;;13;55.5;10;27.25;3;-0.75;8.5
+;12;36.5;Magani Flurin;;18;54.25;15;35.75;3;-0.75;9.75
o;11;46.25;Kiser Aron;;10;56.25;11;46.25;0;0.0;8.5

16b;Oettli Silvio;*;;;;;;;;;54.75
o;;;Jörger Marc;*;;;;;;;8.5
+;5;8.5;Castelli Fabio;;12;55.75;1;10.0;-4;1.5;10.0
+;5;18.5;Nüesch Sandro (2005);;19;54.0;5;18.5;0;0.0;10.0
-;5;28.5;Dörig Erich;*;7;57.0;7;28.0;2;-0.5;9.0
o;8;37.5;Ackermann Rico (2003);;8;56.75;5;38.25;-3;0.75;8.75
o;11;46.25;Thoma Christoph;;9;56.5;9;46.75;-2;0.5;8.5

16c;Keller Lukas;;;;;;;;;;54.75
+;;;Aebli Nino;;;;;;;;10.0
-;1;10.0;Lanter Christian;*;10;56.25;4;8.75;3;-1.25;8.75
-;4;18.75;Baumgartner Ramon;;13;55.5;5;18.5;1;-0.25;8.75
-;9;27.5;Raschle Urban (2003);;11;56.0;11;27.0;2;-0.5;9.0
+;12;36.5;Müller Jano (2005);;19;54.0;10;37.0;-2;0.5;9.75
o;11;46.25;Signer Andy (2003);;12;55.75;12;46.0;1;-0.25;8.5

17a;Tanner Adrian;;;;;;;;;;54.5
o;;;Bordos Ion;;;;;;;;8.5
+;5;8.5;Arnold Christian;;20;53.75;5;8.5;0;0.0;10.0
+;5;18.5;Zemp Stefan;;26;44.25;5;18.5;0;0.0;9.75
-;6;28.25;Schiesser Patrik;*;13;55.5;11;27.0;5;-1.25;9.0
o;9;37.25;Kolb This (2003);;8;56.75;9;37.25;0;0.0;8.5
-;13;45.75;Schwyn Patrick;;17;54.5;13;45.75;0;0.0;8.75

17b;Schiegg Raphael (2005);;;;;;;;;;54.5
+;;;Wenger Dominic;;;;;;;;10.0
o;1;10.0;Schwyn Patrick;;17;54.5;4;8.75;3;-1.25;8.75
o;4;18.75;Jörger Marc;*;11;56.0;5;18.5;1;-0.25;8.5
+;10;27.25;Weder Yanick (2003);;20;53.75;11;27.0;1;-0.25;10.0
o;9;37.25;Bernold Edi;**;8;56.75;10;37.0;1;-0.25;8.75
o;12;46.0;Wehrli Jan;;11;56.0;12;46.0;0;0.0;8.5

17c;Schegg Daniel;;;;;;;;;;54.5
o;;;Kiser Aron;;;;;;;;8.75
+;4;8.75;Bachmann Oliver (2004);;28;35.25;2;9.75;-2;1.0;10.0
o;4;18.75;Fontana Michael;*;14;55.25;5;18.5;1;-0.25;8.5
+;10;27.25;Bordos Ion;;18;54.25;11;27.0;1;-0.25;10.0
o;9;37.25;Kolb Kilian (2005);;13;55.5;10;37.0;1;-0.25;8.75
o;12;46.0;Kammermann Dominik;;11;56.0;12;46.0;0;0.0;8.5

17d;Thoma Luca;;;;;;;;;;54.5
-;;;Laager Michael;;;;;;;;8.75
+;4;8.75;Schlegel Jamie (2004);;28;35.25;2;9.75;-2;1.0;10.0
o;4;18.75;Leuppi Karim;*;13;55.5;5;18.5;1;-0.25;8.5
-;10;27.25;Graf Nicola (2003);;13;55.5;10;27.25;0;0.0;8.75
+;14;36.0;Weder Yanick (2003);;20;53.75;16;35.5;2;-0.5;10.0
o;12;46.0;Raschle Urban (2003);;11;56.0;12;46.0;0;0.0;8.5

17e;Fässler Tobias;;;;;;;;;;54.5
-;;;Thiemann Fabrice;;;;;;;;8.75
-;4;8.75;Büchler Livio;;18;54.25;4;8.75;0;0.0;8.75
o;9;17.5;Fässler Michael;;14;55.25;6;18.25;-3;0.75;8.5
+;13;26.0;Studerus Jan;;30;34.25;14;25.75;1;-0.25;10.0
+;14;36.0;Nef Tobias (2005);;22;53.25;15;35.75;1;-0.25;10.0
o;12;46.0;Mettler Valentin;*;13;55.5;13;45.75;1;-0.25;8.5

17f;Schwyn Patrick;;;;;;;;;;54.5
o;;;Brülisauer Dominik;;;;;;;;8.75
+;4;8.75;Schiegg Raphael (2005);;17;54.5;1;10.0;-3;1.25;10.0
o;4;18.75;Dörig Erich;*;7;57.0;6;18.25;2;-0.5;8.5
o;10;27.25;Wehrli Jan;;11;56.0;10;27.25;0;0.0;8.5
+;15;35.75;Bleiker Daniel;;18;54.25;15;35.75;0;0.0;10.0
-;13;45.75;Tanner Adrian;;17;54.5;13;45.75;0;0.0;8.75

18a;Signer Ramon;;;;;;;;;;54.25
+;;;Tobler Pius;;;;;;;;9.75
o;2;9.75;Landolt Reto;*;8;56.75;5;8.5;3;-1.25;8.75
o;5;18.5;Anliker Andri (2003);;18;54.25;5;18.5;0;0.0;8.5
+;11;27.0;Rickenmann Ramon;;28;35.25;12;26.75;1;-0.25;10.0
o;10;37.0;Bickel Roman;*;8;56.75;10;37.0;0;0.0;8.5
-;14;45.5;Bordos Ion;;18;54.25;14;45.5;0;0.0;8.75

18b;Anliker Andri (2003);;;;;;;;;;54.25
o;;;Thoma Christoph;;;;;;;;8.5
+;5;8.5;Tobler Michael (2004);;24;52.75;5;8.5;0;0.0;10.0
+;5;18.5;Signer Ramon;;18;54.25;5;18.5;0;0.0;10.0
o;5;28.5;Poltera Andrin;*;7;57.0;6;28.25;1;-0.25;8.5
o;10;37.0;Hochholdinger Roman;**;15;55.0;11;36.75;1;-0.25;8.5
-;14;45.5;Aebli Nino;;18;54.25;14;45.5;0;0.0;8.75

18c;Magani Flurin;;;;;;;;;;54.25
+;;;Signer Walter;;;;;;;;9.75
o;2;9.75;Hinrichs Silvio (2004);;13;55.5;2;9.75;0;0.0;8.5
o;6;18.25;Langenegger Beat;;13;55.5;5;18.5;-1;0.25;8.5
-;12;26.75;Nef Tobias (2005);;22;53.25;12;26.75;0;0.0;9.0
o;15;35.75;Manser Adrian;;16;54.75;12;36.5;-3;0.75;8.75
+;17;44.5;Sonderegger Max;;20;53.75;16;45.0;-1;0.5;9.75

18d;Bleiker Daniel;;;;;;;;;;54.25
o;;;Castelli Fabio;;;;;;;;8.5
-;5;8.5;Rust Emanuel;;29;34.5;4;8.75;-1;0.25;8.75
o;10;17.25;Koller Andreas;;14;55.25;10;17.25;0;0.0;8.5
+;14;25.75;Meier Adrian (2005);;30;34.25;14;25.75;0;0.0;10.0
o;15;35.75;Schwyn Patrick;;17;54.5;15;35.75;0;0.0;8.5
+;18;44.25;Vollenweider Loïc (2004);;23;53.0;18;44.25;0;0.0;10.0

18e;Aebli Nino;;;;;;;;;;54.25
o;;;Keller Lukas;;;;;;;;8.5
+;5;8.5;Bleiker Ueli (2004);;28;35.25;2;9.75;-3;1.25;9.75
-;6;18.25;Schmid Michael;;13;55.5;6;18.25;0;0.0;8.75
o;11;27.0;Winzeler Simon;;15;55.0;11;27.0;0;0.0;8.5
+;16;35.5;Vollenweider Loïc (2004);;23;53.0;15;35.75;-1;0.25;10.0
-;14;45.5;Anliker Andri (2003);;18;54.25;14;45.5;0;0.0;8.75

18f;Keller Cedric;;;;;;;;;;54.25
-;;;Inauen Marco;;;;;;;;8.75
o;4;8.75;Wehrli Jan;;11;56.0;4;8.75;0;0.0;8.5
o;10;17.25;Giger Lorenz;;15;55.0;6;18.25;-4;1.0;8.5
+;14;25.75;Schoch René;;29;34.5;13;26.0;-1;0.25;10.0
+;15;35.75;Gantenbein Linard (2004);;24;52.75;15;35.75;0;0.0;10.0
o;13;45.75;Neff Florian;*;13;55.5;13;45.75;0;0.0;8.5

18g;Bordos Ion;;;;;;;;;;54.25
+;;;Tanner Adrian;;;;;;;;10.0
o;1;10.0;Bickel Roman;*;8;56.75;5;8.5;4;-1.5;8.5
o;5;18.5;Kiser Aron;;10;56.25;4;18.75;-1;0.25;8.5
o;11;27.0;Schegg Daniel;;17;54.5;10;27.25;-1;0.25;8.5
+;16;35.5;Baumgartner Joël;;23;53.0;15;35.75;-1;0.25;10.0
-;14;45.5;Signer Ramon;;18;54.25;14;45.5;0;0.0;8.75

18h;Mösli Marcel;;;;;;;;;;54.25
+;;;Fuster Arjuna (2003);;;;;;;;10.0
o;1;10.0;Mettler Valentin;*;13;55.5;5;8.5;4;-1.5;8.5
