3997-2018-07-01_Appenzeller_Kantonalschwingfest-ST

1a;Kuster Marcel;***;;;;;;;;;59.5
+;9;37.0;Nüesch Remo (2001);;14;55.0;10;36.75;1;-0.25;10.0
+;7;47.0;Koch Thomas;*;7;56.75;4;48.0;-3;1.0;9.75

7f;Schmid Dominik;**;;;;;;;;;56.75
-;;;Wickli Beat;**;;;;;;;8.75
+;4;8.75;Mathis Patrick;;13;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Kiser Aron (2001);;31;27.0;6;18.5;1;-0.25;9.75
o;5;28.5;Bühler Hannes;*;11;55.75;5;28.5;0;0.0;8.5
+;9;37.0;Wolfer Lukas;*;14;55.0;5;38.0;-4;1.0;10.0
+;7;47.0;Hugelshofer Lars (2001);;12;55.5;8;46.75;1;-0.25;9.75

7g;Fuster Sepp;;;;;;;;;;56.75
+;;;Spangaro Luciano (2001);*;;;;;;;9.75
+;2;9.75;Koller Fabian;*;14;55.0;5;8.5;3;-1.25;10.0
o;2;19.75;Dändliker Shane;**;12;55.5;6;18.5;4;-1.25;8.75
+;5;28.5;Rohrbach Jérôme (2000);;14;55.0;7;28.0;2;-0.5;9.75
+;4;38.25;Mathis Patrick;;13;55.25;9;37.0;5;-1.25;9.75
o;4;48.0;Battaglia Ursin;**;7;56.75;8;46.75;4;-1.25;8.75

7h;Battaglia Ursin;**;;;;;;;;;56.75
o;;;Fejzaj Naim;**;;;;;;;8.5
+;5;8.5;Willi Renato;;18;54.0;1;10.0;-4;1.5;10.0
o;6;18.5;Schmid Patrick;*;3;58.0;3;19.5;-3;1.0;8.75
+;10;27.25;Kobler Janosch (2000);;14;55.0;6;28.25;-4;1.0;9.75
+;9;37.0;Räbsamen Marcel (2000);;9;56.25;7;37.5;-2;0.5;9.75
+;8;46.75;Fuster Sepp;;7;56.75;4;48.0;-4;1.25;10.0

7i;Zwyssig Raphael;***;;;;;;;;;56.75
+;;;Geisser Lars;**;;;;;;;9.75
-;2;9.75;Heierli Pascal;*;13;55.25;1;10.0;-1;0.25;9.0
+;5;18.75;Lieberherr Michael;;14;55.0;3;19.5;-2;0.75;9.75
+;5;28.5;Schudel Simon;*;12;55.5;5;28.5;0;0.0;9.75
o;4;38.25;Bösch Daniel;***;3;58.0;4;38.25;0;0.0;8.5
+;8;46.75;Vestner Roman;*;13;55.25;8;46.75;0;0.0;10.0

7j;Wickli Beat;**;;;;;;;;;56.75
-;;;Schmid Dominik;**;;;;;;;8.75
+;4;8.75;Giger Florian (2001);;18;54.0;2;9.75;-2;1.0;10.0
o;5;18.75;Bless Michael;***;2;58.25;2;19.75;-3;1.0;8.5
+;10;27.25;Preisig Manuel;;20;53.5;7;28.0;-3;0.75;10.0
+;8;37.25;Vollenweider Jeremy;*;7;56.75;4;38.25;-4;1.0;9.75
+;7;47.0;Schmid Reto;;13;55.25;8;46.75;1;-0.25;9.75

7k;Koch Thomas;*;;;;;;;;;56.75
+;;;Fontana Michael;*;;;;;;;10.0
+;1;10.0;Schudel Simon;*;12;55.5;1;10.0;0;0.0;9.75
o;2;19.75;Fejzaj Naim;**;24;46.25;3;19.5;1;-0.25;8.5
+;6;28.25;Mathis Patrick;;13;55.25;5;28.5;-1;0.25;10.0
+;4;38.25;Vestner Roman;*;13;55.25;4;38.25;0;0.0;9.75
o;4;48.0;Bernold Christian;**;7;56.75;7;47.0;3;-1.0;8.75

7l;Giger Urs;*;;;;;;;;;56.75
+;;;Bühler Hannes;*;;;;;;;9.75
+;2;9.75;Sieber Marc (2000);;28;35.25;2;9.75;0;0.0;10.0
+;2;19.75;Schwyn Patrick;;14;55.0;4;19.0;2;-0.75;10.0
o;1;29.75;Hersche Martin;***;6;57.0;5;28.5;4;-1.25;8.5
+;4;38.25;Lieberherr Michael;;14;55.0;5;38.0;1;-0.25;10.0
o;3;48.25;Bösch Daniel;***;3;58.0;3;48.25;0;0.0;8.5

8a;Keller Werner;;;;;;;;;;56.5
+;;;Glättli Benny;;;;;;;;9.75
o;2;9.75;Wolfer Lukas;*;14;55.0;5;8.5;3;-1.25;8.5
+;7;18.25;Bollhalder Mario (2002);;28;35.25;7;18.25;0;0.0;9.75
o;7;28.0;Gosswiler Livio (2000);*;17;54.25;9;27.5;2;-0.5;8.75
+;10;36.75;Spangaro Luciano (2001);*;19;53.75;10;36.75;0;0.0;9.75
+;9;46.5;Baumann Simon;;15;54.75;10;46.25;1;-0.25;10.0

8b;Wey Nicola;*;;;;;;;;;56.5
+;;;Frick Andreas;*;;;;;;;10.0
o;1;10.0;Bless Michael;***;2;58.25;2;9.75;1;-0.25;8.5
+;6;18.5;Langenegger Beat;;18;54.0;6;18.5;0;0.0;9.75
+;6;28.25;Fässler Michael;;27;45.0;7;28.0;1;-0.25;10.0
o;4;38.25;Kuster Marcel;***;1;59.5;2;39.5;-2;1.25;8.5
+;8;46.75;Lieberherr Michael;;14;55.0;9;46.5;1;-0.25;9.75

9a;Räbsamen Marcel (2000);;;;;;;;;;56.25
+;;;Inauen Marco;;;;;;;;10.0
-;1;10.0;Schwyn Patrick;;14;55.0;1;10.0;0;0.0;9.0
o;4;19.0;Wittenwiler Roman;*;6;57.0;3;19.5;-1;0.5;8.5
+;9;27.5;Keller Dominic;;12;55.5;11;27.0;2;-0.5;10.0
o;7;37.5;Battaglia Ursin;**;7;56.75;9;37.0;2;-0.5;8.75
+;10;46.25;Wolfer Lukas;*;14;55.0;9;46.5;-1;0.25;10.0

9b;Peng Mike;***;;;;;;;;;56.25
o;;;Kuster Marcel;***;;;;;;;8.5
-;5;8.5;Kuster Thomas;*;4;57.5;1;10.0;-4;1.5;8.75
+;10;17.25;Schoch René;;26;45.5;6;18.5;-4;1.25;10.0
-;10;27.25;Alder Armin;;7;56.75;6;28.25;-4;1.0;9.0
+;12;36.25;Junker Nik;;17;54.25;8;37.25;-4;1.0;10.0
+;10;46.25;Ott Damian (2000);**;13;55.25;9;46.5;-1;0.25;10.0

9c;Kammermann Thomas;*;;;;;;;;;56.25
-;;;Oertle Daniel;*;;;;;;;9.0
+;3;9.0;Krucker Silvan (2001);;28;35.25;2;9.75;-1;0.75;9.75
o;5;18.75;Marty Jaime (2000);;5;57.25;2;19.75;-3;1.0;8.5
+;10;27.25;Kuhn Roman;*;17;54.25;10;27.25;0;0.0;10.0
-;8;37.25;Poltera Andrin;*;7;56.75;6;37.75;-2;0.5;9.0
+;10;46.25;Lozza Roman;;15;54.75;10;46.25;0;0.0;10.0

9d;Schläpfer Markus;**;;;;;;;;;56.25
-;;;Bernold Christian;**;;;;;;;8.75
-;4;8.75;Schmidlin Tobias (2001);;18;54.0;2;9.75;-2;1.0;9.0
+;8;17.75;Junker Nik;;17;54.25;5;18.75;-3;1.0;10.0
o;8;27.75;Wolfer Lukas;*;14;55.0;6;28.25;-2;0.5;8.5
+;12;36.25;Ritter Fabio (2001);;18;54.0;10;36.75;-2;0.5;10.0
+;10;46.25;Kobler Janosch (2000);;14;55.0;9;46.5;-1;0.25;10.0

9e;Inauen Aurel;;;;;;;;;;56.25
+;;;Maglia Leo;;;;;;;;10.0
-;1;10.0;Gosswiler Livio (2000);*;17;54.25;4;8.75;3;-1.25;8.75
+;5;18.75;Jud Reto (2001);;14;55.0;6;18.5;1;-0.25;10.0
-;4;28.75;Schwyn Adrian;*;12;55.5;7;28.0;3;-0.75;9.0
o;6;37.75;Koller Fabian;*;14;55.0;10;36.75;4;-1.0;8.5
+;10;46.25;Roth Sämi (2000);;15;54.75;10;46.25;0;0.0;10.0

9f;Dörig Erich;*;;;;;;;;;56.25
-;;;Gosswiler Livio (2000);*;;;;;;;8.75
+;4;8.75;Tremp Remo;;14;55.0;1;10.0;-3;1.25;9.75
+;6;18.5;Christen Jérôme (2002);;18;54.0;6;18.5;0;0.0;10.0
-;5;28.5;Gartmann Mauro;*;11;55.75;5;28.5;0;0.0;8.75
-;8;37.25;Bischof Martin;;11;55.75;9;37.0;1;-0.25;9.0
+;10;46.25;Ziegler Andreas (2002);;24;46.25;10;46.25;0;0.0;10.0

10a;Elmer Daniel;*;;;;;;;;;56.0
o;;;Krähenbühl Lukas;*;;;;;;;8.5
+;5;8.5;Fässler Michael;;27;45.0;2;9.75;-3;1.25;10.0
-;6;18.5;Poltera Andrin;*;7;56.75;5;18.75;-1;0.25;9.0
+;9;27.5;Manser Dominik;;20;53.5;7;28.0;-2;0.5;10.0
o;7;37.5;Fejzaj Naim;**;24;46.25;6;37.75;-1;0.25;8.5
+;11;46.0;Matter Stefan;;13;55.25;14;45.25;3;-0.75;10.0

11a;Ackermann Roman;;;;;;;;;;55.75
