3997-2018-07-01_Appenzeller_Kantonalschwingfest-ST

1a;Kuster Marcel;***;;;;;;;;;59.5
19a;Spangaro Luciano (2001);*;;;;;;;;;53.75
o;;;Fuster Sepp;;;;;;;;8.5
o;5;8.5;Marty Jaime (2000);;5;57.25;2;9.75;-3;1.25;8.5
+;11;17.0;Manser Adrian;;12;55.5;7;18.25;-4;1.25;10.0
+;11;27.0;Dobler Lorenz (2000);;17;54.25;6;28.25;-5;1.25;9.75
o;10;36.75;Keller Werner;;8;56.5;10;36.75;0;0.0;8.5
o;14;45.25;Wetter Silvan (2000);;14;55.0;15;45.0;1;-0.25;8.5

19b;Signer Walter;;;;;;;;;;53.75
+;;;Baumann Nico (2002);;;;;;;;9.75
o;2;9.75;Roth Sämi (2000);;15;54.75;5;8.5;3;-1.25;8.5
o;7;18.25;Studerus Jan (2002);;16;54.5;11;17.0;4;-1.25;8.5
+;12;26.75;Bollhalder Mario (2002);;28;35.25;12;26.75;0;0.0;10.0
o;10;36.75;Schweingruber Thomas;;13;55.25;10;36.75;0;0.0;8.5
o;14;45.25;Glättli Benny;;13;55.25;14;45.25;0;0.0;8.5

19c;Knellwolf Sebastian (2001);;;;;;;;;;53.75
o;;;Peter Philipp (2002);;;;;;;;8.5
o;5;8.5;Oberhänsli Nick (2001);;28;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Ritter Fabio (2001);;18;54.0;11;17.0;0;0.0;8.5
+;16;25.5;Glättli Tobias (2002);;30;34.0;16;25.5;0;0.0;10.0
+;15;35.5;Maglia Leo;;23;52.5;15;35.5;0;0.0;9.75
o;14;45.25;Manser Mathias;;13;55.25;14;45.25;0;0.0;8.5

19d;Klee Sandro;;;;;;;;;;53.75
+;;;Wenger Dominic;;;;;;;;10.0
o;1;10.0;Hari Michi;;16;54.5;4;8.75;3;-1.25;8.5
o;6;18.5;Bühler Hannes;*;11;55.75;6;18.5;0;0.0;8.5
o;11;27.0;Ritter Fabio (2001);;18;54.0;11;27.0;0;0.0;8.5
+;15;35.5;Müggler Silvan (2002);;19;53.75;15;35.5;0;0.0;9.75
o;14;45.25;Lanter Christian;;15;54.75;16;44.75;2;-0.5;8.5

19e;Müggler Silvan (2002);;;;;;;;;;53.75
-;;;Brülisauer Dominik (2001);;;;;;;;8.75
o;4;8.75;Signer Ramon (2002);;20;53.5;5;8.5;1;-0.25;8.5
o;10;17.25;Rust Emanuel;;18;54.0;10;17.25;0;0.0;8.5
+;15;25.75;Inauen Ivo (2002);;30;34.0;16;25.5;1;-0.25;9.75
o;15;35.5;Klee Sandro;;19;53.75;15;35.5;0;0.0;8.5
+;19;44.0;Streule Marco;;22;52.75;18;44.25;-1;0.25;9.75

19f;Inauen Marco;;;;;;;;;;53.75
o;;;Räbsamen Marcel (2000);;;;;;;;8.5
+;5;8.5;Maglia Leo;;23;52.5;5;8.5;0;0.0;9.75
+;7;18.25;Baumann Simon;;15;54.75;7;18.25;0;0.0;10.0
o;6;28.25;Koller Fabian;*;14;55.0;11;27.0;5;-1.25;8.5
o;10;36.75;Gartmann Mauro;*;11;55.75;8;37.25;-2;0.5;8.5
o;14;45.25;Hari Michi;;16;54.5;16;44.75;2;-0.5;8.5

20a;Manser Dominik;;;;;;;;;;53.5
+;;;Oberhänsli Nick (2001);;;;;;;;9.75
+;2;9.75;Hollenstein Mathias (2002);;28;35.25;2;9.75;0;0.0;9.75
o;3;19.5;Heierli Pascal;*;13;55.25;4;19.0;1;-0.5;8.5
o;7;28.0;Elmer Daniel;*;10;56.0;9;27.5;2;-0.5;8.5
o;11;36.5;Roth Sämi (2000);;15;54.75;11;36.5;0;0.0;8.5
o;15;45.0;Hänni Marc (2001);;14;55.0;15;45.0;0;0.0;8.5

20b;Signer Ramon (2002);;;;;;;;;;53.5
o;;;Krucker Silvan (2001);;;;;;;;8.5
+;5;8.5;Müggler Silvan (2002);;19;53.75;4;8.75;-1;0.25;9.75
o;7;18.25;Aebli Nino (2000);;12;55.5;10;17.25;3;-1.0;8.5
+;12;26.75;Gemperli Julian (2002);;28;35.25;12;26.75;0;0.0;9.75
o;11;36.5;Scherrer Pascal;;18;54.0;14;35.75;3;-0.75;8.5
o;15;45.0;Jud Reto (2001);;14;55.0;14;45.25;-1;0.25;8.5

20c;Dobler Mathias;;;;;;;;;;53.5
+;;;Oberhänsli Kilian;;;;;;;;9.75
o;2;9.75;Geisser Lars;**;6;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Hollenstein Mathias (2002);;28;35.25;7;18.25;0;0.0;9.75
o;7;28.0;Oertig Simon;*;13;55.25;11;27.0;4;-1.0;8.5
o;11;36.5;Schwyn Patrick;;14;55.0;11;36.5;0;0.0;8.5
o;15;45.0;Christen Jérôme (2002);;18;54.0;19;44.0;4;-1.0;8.5

20d;Preisig Manuel;;;;;;;;;;53.5
o;;;Lieberherr Michael;;;;;;;;8.5
+;5;8.5;Büchler Livio (2001);;18;54.0;5;8.5;0;0.0;9.75
+;7;18.25;Oberhänsli Nick (2001);;28;35.25;7;18.25;0;0.0;9.75
o;7;28.0;Wickli Beat;**;7;56.75;10;27.25;3;-0.75;8.5
o;11;36.5;Baumann Simon;;15;54.75;11;36.5;0;0.0;8.5
o;15;45.0;Nüesch Remo (2001);;14;55.0;14;45.25;-1;0.25;8.5

20e;Willi Romeo;;;;;;;;;;53.5
+;;;Schweingruber Thomas;;;;;;;;9.75
o;2;9.75;Ammann Rico;*;4;57.5;5;8.5;3;-1.25;8.5
o;7;18.25;Hänni Marc (2001);;14;55.0;7;18.25;0;0.0;8.5
+;12;26.75;Knecht Remo (2002);;23;52.5;11;27.0;-1;0.25;9.75
o;11;36.5;Keller Lukas;;14;55.0;12;36.25;1;-0.25;8.5
o;15;45.0;Bickel Roman;*;16;54.5;17;44.5;2;-0.5;8.5

21a;Bänziger Peter;;;;;;;;;;53.25
-;;;Bärtsch Andreas (2002);;;;;;;;8.75
+;4;8.75;Schmid Reto;;13;55.25;1;10.0;-3;1.25;9.75
o;6;18.5;Vollenweider Jeremy;*;7;56.75;6;18.5;0;0.0;8.5
-;11;27.0;Schmidlin Tobias (2001);;18;54.0;11;27.0;0;0.0;8.75
-;14;35.75;Odermatt Michi;;15;54.75;12;36.25;-2;0.5;8.75
-;17;44.5;Koller Silvan (2002);;22;52.75;19;44.0;2;-0.5;8.75

21b;Thoma Christoph;;;;;;;;;;53.25
+;;;Studerus Jan (2002);;;;;;;;10.0
-;1;10.0;Keller Lukas;;14;55.0;4;8.75;3;-1.25;8.75
o;5;18.75;Fontana Michael;*;14;55.0;7;18.25;2;-0.5;8.5
o;10;27.25;Rotach Lars (2000);;13;55.25;10;27.25;0;0.0;8.5
-;14;35.75;Martin Dominik;;14;55.0;11;36.5;-3;0.75;8.75
o;17;44.5;Schmidlin Tobias (2001);;18;54.0;18;44.25;1;-0.25;8.75

22a;Koller Silvan (2002);;;;;;;;;;52.75
o;;;Bischof Martin;;;;;;;;8.5
+;5;8.5;Scherrer Pascal;;18;54.0;4;8.75;-1;0.25;10.0
o;6;18.5;Gartmann Mauro;*;11;55.75;6;18.5;0;0.0;8.5
o;11;27.0;Tanner Adrian;;16;54.5;9;27.5;-2;0.5;8.5
o;15;35.5;Ruppanner Philipp (2000);;18;54.0;15;35.5;0;0.0;8.5
-;19;44.0;Bänziger Peter;;21;53.25;17;44.5;-2;0.5;8.75

22b;Streule Marco;;;;;;;;;;52.75
o;;;Manser Mathias;;;;;;;;8.5
-;5;8.5;Rust Emanuel;;18;54.0;5;8.5;0;0.0;8.75
+;10;17.25;Oberhänsli Kilian;;28;35.25;11;17.0;1;-0.25;10.0
o;10;27.25;Junker Nik;;17;54.25;10;27.25;0;0.0;8.5
o;14;35.75;Peter Philipp (2002);;18;54.0;14;35.75;0;0.0;8.5
o;18;44.25;Müggler Silvan (2002);;19;53.75;19;44.0;1;-0.25;8.5

23a;Schönenberger Leo (2002);;;;;;;;;;52.5
o;;;Fässler Michael;;;;;;;;8.5
o;5;8.5;Kiser Aron (2001);;31;27.0;5;8.5;0;0.0;8.5
+;11;17.0;Heeb Ivan;;30;34.0;11;17.0;0;0.0;10.0
o;11;27.0;Ziegler Andreas (2002);;24;46.25;7;28.0;-4;1.0;8.5
o;15;35.5;Kuhn Roman;*;17;54.25;14;35.75;-1;0.25;8.5
o;19;44.0;Tobler Marco;;17;54.25;18;44.25;-1;0.25;8.5

23b;Maglia Leo;;;;;;;;;;52.5
o;;;Inauen Aurel;;;;;;;;8.5
o;5;8.5;Inauen Marco;;19;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Matter Stefan;;13;55.25;11;17.0;0;0.0;8.5
+;16;25.5;Heeb Ivan;;30;34.0;16;25.5;0;0.0;10.0
o;15;35.5;Knellwolf Sebastian (2001);;19;53.75;15;35.5;0;0.0;8.5
o;19;44.0;Rust Emanuel;;18;54.0;19;44.0;0;0.0;8.5

23c;Sonderegger Max (2002);;;;;;;;;;52.5
o;;;Knecht Remo (2002);;;;;;;;8.5
+;5;8.5;Oberhänsli Kilian;;28;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Oertig Simon;*;13;55.25;10;17.25;4;-1.25;8.5
o;11;27.0;Glättli Benny;;13;55.25;11;27.0;0;0.0;8.5
o;15;35.5;Studerus Jan (2002);;16;54.5;15;35.5;0;0.0;8.5
o;19;44.0;Wehrli Jan (2002);;18;54.0;19;44.0;0;0.0;8.5

23d;Knecht Remo (2002);;;;;;;;;;52.5
+;;;Sonderegger Max (2002);;;;;;;;10.0
o;1;10.0;Frick Andreas;*;13;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Vestner Bruno;*;7;56.75;5;18.75;-1;0.25;8.5
o;11;27.0;Willi Romeo;;20;53.5;12;26.75;1;-0.25;8.5
o;15;35.5;Büchler Livio (2001);;18;54.0;15;35.5;0;0.0;8.5
o;19;44.0;Brülisauer Dominik (2001);;16;54.5;17;44.5;-2;0.5;8.5

24a;Ziegler Andreas (2002);;;;;;;;;;46.25
+;;;Rust Emanuel;;;;;;;;9.75
o;2;9.75;Koch Reto;*;6;57.0;1;10.0;-1;0.25;8.5
+;7;18.25;Schönenberger Leo (2002);;23;52.5;11;17.0;4;-1.25;9.75
+;7;28.0;Giger Florian (2001);;18;54.0;6;28.25;-1;0.25;9.75
o;6;37.75;Dörig Erich;*;9;56.25;8;37.25;2;-0.5;8.5

24b;Fejzaj Naim;**;;;;;;;;;46.25
+;;;Battaglia Ursin;**;;;;;;;9.75
+;2;9.75;Koch Thomas;*;7;56.75;1;10.0;-1;0.25;9.75
o;3;19.5;Marty Jaime (2000);;5;57.25;2;19.75;-1;0.25;8.5
+;7;28.0;Elmer Daniel;*;10;56.0;9;27.5;2;-0.5;9.75
o;6;37.75;Krähenbühl Lukas;*;6;57.0;4;38.25;-2;0.5;8.5

25a;Oertle Daniel;*;;;;;;;;;45.75
-;;;Kammermann Thomas;*;;;;;;;9.0
o;3;9.0;Lieberherr Michael;;14;55.0;2;9.75;-1;0.75;8.5
+;9;17.5;Rotach Lars (2000);;13;55.25;5;18.75;-4;1.25;9.75
+;10;27.25;Aebli Nino (2000);;12;55.5;10;27.25;0;0.0;10.0
o;8;37.25;Vestner Bruno;*;7;56.75;8;37.25;0;0.0;8.5

25b;Egli Martin;;;;;;;;;;45.75
-;;;Hari Michi;;;;;;;;8.75
+;4;8.75;Ruppanner Philipp (2000);;18;54.0;1;10.0;-3;1.25;9.75
o;6;18.5;Krähenbühl Lukas;*;6;57.0;6;18.5;0;0.0;8.5
-;11;27.0;Lanter Christian;;15;54.75;10;27.25;-1;0.25;8.75
+;14;35.75;Schiess Daniel (2002);;18;54.0;9;37.0;-5;1.25;10.0

26a;Schoch René;;;;;;;;;;45.5
+;;;Glättli Tobias (2002);;;;;;;;10.0
o;1;10.0;Peng Mike;***;9;56.25;5;8.5;4;-1.5;8.5
+;6;18.5;Studerus Jan (2002);;16;54.5;11;17.0;5;-1.5;10.0
o;5;28.5;Kuster Thomas;*;4;57.5;4;28.75;-1;0.25;8.5
o;9;37.0;Hungerbühler Marcel;;14;55.0;15;35.5;6;-1.5;8.5

27a;Fässler Michael;;;;;;;;;;45.0
+;;;Schönenberger Leo (2002);;;;;;;;9.75
o;2;9.75;Elmer Daniel;*;10;56.0;5;8.5;3;-1.25;8.5
+;7;18.25;Krucker Silvan (2001);;28;35.25;7;18.25;0;0.0;9.75
o;7;28.0;Wey Nicola;*;8;56.5;6;28.25;-1;0.25;8.5
o;11;36.5;Aebli Nino (2000);;12;55.5;14;35.75;3;-0.75;8.5

28a;Gemperli Julian (2002);;;;;;;;;;35.25
+;;;Inauen Severin (2002);;;;;;;;9.75
o;2;9.75;Dobler Lorenz (2000);;17;54.25;2;9.75;0;0.0;8.5
o;7;18.25;Thoma Luca (2000);;13;55.25;7;18.25;0;0.0;8.5
o;12;26.75;Signer Ramon (2002);;20;53.5;12;26.75;0;0.0;8.5

28b;Krucker Silvan (2001);;;;;;;;;;35.25
+;;;Signer Ramon (2002);;;;;;;;9.75
o;2;9.75;Kammermann Thomas;*;9;56.25;3;9.0;1;-0.75;8.5
o;7;18.25;Fässler Michael;;27;45.0;7;18.25;0;0.0;8.5
o;12;26.75;Odermatt Michi;;15;54.75;13;26.25;1;-0.5;8.5

28c;Giger Lorenz (2000);;;;;;;;;;35.25
+;;;Ritter Fabio (2001);;;;;;;;9.75
o;2;9.75;Schwyn Adrian;*;12;55.5;5;8.5;3;-1.25;8.5
o;7;18.25;Martin Dominik;;14;55.0;7;18.25;0;0.0;8.5
o;12;26.75;Jud Reto (2001);;14;55.0;11;27.0;-1;0.25;8.5

28d;Hollenstein Mathias (2002);;;;;;;;;;35.25
+;;;Inauen Ivo (2002);;;;;;;;9.75
o;2;9.75;Manser Dominik;;20;53.5;2;9.75;0;0.0;8.5
o;7;18.25;Dobler Mathias;;20;53.5;7;18.25;0;0.0;8.5
o;12;26.75;Nüesch Remo (2001);;14;55.0;12;26.75;0;0.0;8.5

28e;Sieber Marc (2000);;;;;;;;;;35.25
+;;;Matter Stefan;;;;;;;;9.75
o;2;9.75;Giger Urs;*;7;56.75;2;9.75;0;0.0;8.5
o;7;18.25;Giger Florian (2001);;18;54.0;7;18.25;0;0.0;8.5
o;12;26.75;Langenegger Beat;;18;54.0;11;27.0;-1;0.25;8.5

28f;Oberhänsli Nick (2001);;;;;;;;;;35.25
o;;;Manser Dominik;;;;;;;;8.5
+;5;8.5;Knellwolf Sebastian (2001);;19;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Preisig Manuel;;20;53.5;7;18.25;0;0.0;8.5
o;12;26.75;Matter Stefan;;13;55.25;12;26.75;0;0.0;8.5

28g;Magani Flurin (2002);;;;;;;;;;35.25
o;;;Ruppanner Philipp (2000);;;;;;;;8.5
o;5;8.5;Rotach Lars (2000);;13;55.25;4;8.75;-1;0.25;8.5
o;11;17.0;Scherrer Pascal;;18;54.0;10;17.25;-1;0.25;8.5
+;16;25.5;Inauen Severin (2002);;30;34.0;16;25.5;0;0.0;9.75

28h;Baumann Nico (2002);;;;;;;;;;35.25
o;;;Signer Walter;;;;;;;;8.5
o;5;8.5;Tobler Marco;;17;54.25;5;8.5;0;0.0;8.5
+;11;17.0;Koch Robin (2002);;30;34.0;11;17.0;0;0.0;9.75
o;12;26.75;Manser Adrian;;12;55.5;11;27.0;-1;0.25;8.5

28i;Oberhänsli Kilian;;;;;;;;;;35.25
o;;;Dobler Mathias;;;;;;;;8.5
o;5;8.5;Sonderegger Max (2002);;23;52.5;5;8.5;0;0.0;8.5
o;11;17.0;Streule Marco;;22;52.75;10;17.25;-1;0.25;8.5
+;16;25.5;Koch Robin (2002);;30;34.0;16;25.5;0;0.0;9.75

28j;Bollhalder Mario (2002);;;;;;;;;;35.25
o;;;Dobler Lorenz (2000);;;;;;;;8.5
+;5;8.5;Inauen Severin (2002);;30;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Keller Werner;;8;56.5;7;18.25;0;0.0;8.5
o;12;26.75;Signer Walter;;19;53.75;12;26.75;0;0.0;8.5

28k;Wenger Dominic;;;;;;;;;;35.25
o;;;Klee Sandro;;;;;;;;8.5
o;5;8.5;Kuhn Roman;*;17;54.25;5;8.5;0;0.0;8.5
+;11;17.0;Inauen Severin (2002);;30;34.0;11;17.0;0;0.0;9.75
o;12;26.75;Schiess Daniel (2002);;18;54.0;11;27.0;-1;0.25;8.5

29a;Bärtsch Andreas (2002);;;;;;;;;;34.5
-;;;Bänziger Peter;;;;;;;;8.75
o;4;8.75;Keller Dominic;;12;55.5;5;8.5;1;-0.25;8.5
-;10;17.25;Odermatt Michi;;15;54.75;9;17.5;-1;0.25;8.75
o;14;26.0;Roth Sämi (2000);;15;54.75;12;26.75;-2;0.75;8.5

30a;Heeb Ivan;;;;;;;;;;34.0
o;;;Jud Reto (2001);;;;;;;;8.5
o;5;8.5;Nüesch Remo (2001);;14;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Schönenberger Leo (2002);;23;52.5;11;17.0;0;0.0;8.5
o;16;25.5;Maglia Leo;;23;52.5;16;25.5;0;0.0;8.5

30b;Koch Robin (2002);;;;;;;;;;34.0
o;;;Christen Jérôme (2002);;;;;;;;8.5
o;5;8.5;Wehrli Jan (2002);;18;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Baumann Nico (2002);;28;35.25;11;17.0;0;0.0;8.5
o;16;25.5;Oberhänsli Kilian;;28;35.25;16;25.5;0;0.0;8.5

30c;Glättli Tobias (2002);;;;;;;;;;34.0
o;;;Schmid Reto;;;;;;;;8.5
o;5;8.5;Schoch René;;26;45.5;1;10.0;-4;1.5;8.5
o;11;17.0;Büchler Livio (2001);;18;54.0;11;17.0;0;0.0;8.5
o;16;25.5;Knellwolf Sebastian (2001);;19;53.75;16;25.5;0;0.0;8.5

30d;Inauen Ivo (2002);;;;;;;;;;34.0
o;;;Hollenstein Mathias (2002);;;;;;;;8.5
o;5;8.5;Brülisauer Dominik (2001);;16;54.5;3;9.0;-2;0.5;8.5
o;11;17.0;Glättli Benny;;13;55.25;11;17.0;0;0.0;8.5
o;16;25.5;Müggler Silvan (2002);;19;53.75;15;25.75;-1;0.25;8.5

30e;Inauen Severin (2002);;;;;;;;;;34.0
o;;;Gemperli Julian (2002);;;;;;;;8.5
o;5;8.5;Bollhalder Mario (2002);;28;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Wenger Dominic;;28;35.25;11;17.0;0;0.0;8.5
o;16;25.5;Magani Flurin (2002);;28;35.25;16;25.5;0;0.0;8.5

30f;Tobler Fabian;;;;;;;;;;34.0
o;;;Martin Dominik;;;;;;;;8.5
o;5;8.5;Stauffacher Martin;;17;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Steiner Lukas (2002);;13;55.25;11;17.0;0;0.0;8.5
o;16;25.5;Hungerbühler Marcel;;14;55.0;15;25.75;-1;0.25;8.5

31a;Kiser Aron (2001);;;;;;;;;;27.0
o;;;Marty Jaime (2000);;;;;;;;8.5
+;5;8.5;Schönenberger Leo (2002);;23;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Schmid Dominik;**;7;56.75;5;18.75;-1;0.25;8.5

32a;Ackermann Remo;*;;;;;;;;;17.75
-;;;Vestner Roman;*;;;;;;;8.75
-;4;8.75;Kobler Janosch (2000);;14;55.0;2;9.75;-2;1.0;9.0

