3816-2017-07-01_Buendner-Glarner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;58.25
+;7;37.25;Riedi Thomas;;13;54.5;6;37.5;-1;0.25;10.0
+;5;47.25;Kiener Raphael (2000);;10;55.25;7;46.75;2;-0.5;9.75

4d;Eugster Ruedi;**;;;;;;;;;57.0
+;;;Steiner Michael;**;;;;;;;9.75
+;2;9.75;Burkhard Tobias;;10;55.25;1;10.0;-1;0.25;10.0
o;2;19.75;Rychen Roger;***;2;57.5;2;19.75;0;0.0;8.5
+;5;28.25;Kunz Daniel;;10;55.25;5;28.25;0;0.0;10.0
+;3;38.25;Schlegel Sandro;**;3;57.25;1;38.75;-2;0.5;10.0
-;2;48.25;Kindlimann Fabian;***;7;56.0;5;47.25;3;-1.0;8.75

4e;Sprecher Sandro;*;;;;;;;;;57.0
-;;;Blaser Niklas;*;;;;;;;8.75
+;3;8.75;Hugener Adrian (2000);;15;54.0;1;10.0;-2;1.25;9.75
+;5;18.5;Lozza Roman;;14;54.25;5;18.5;0;0.0;10.0
+;4;28.5;Burkhard Tobias;;10;55.25;4;28.5;0;0.0;10.0
o;2;38.5;Rychen Roger;***;2;57.5;1;38.75;-1;0.25;8.5
+;6;47.0;Pianta Christian;;10;55.25;7;46.75;1;-0.25;10.0

4f;Battaglia Ursin;**;;;;;;;;;57.0
o;;;Bühler Hannes;*;;;;;;;8.5
+;4;8.5;Duschen Raffael;;11;55.0;2;9.75;-2;1.25;10.0
+;5;18.5;Schäppi Urs;*;8;55.75;4;18.75;-1;0.25;10.0
+;4;28.5;Schneider Mario;**;5;56.75;4;28.5;0;0.0;10.0
-;2;38.5;Geisser Lars;**;5;56.75;4;38.0;2;-0.5;8.75
+;5;47.25;Buchmann Michael;;11;55.0;8;46.5;3;-0.75;9.75

5a;Geisser Lars;**;;;;;;;;;56.75
+;;;Hochholdinger Roman;**;;;;;;;9.75
+;2;9.75;Buchmann Michael;;11;55.0;1;10.0;-1;0.25;10.0
o;2;19.75;Orlik Armon;***;1;58.25;4;18.75;2;-1.0;8.5
+;5;28.25;Bühler Hannes;*;3;57.25;3;28.75;-2;0.5;9.75
-;4;38.0;Battaglia Ursin;**;4;57.0;2;38.5;-2;0.5;8.75
+;7;46.75;Gosswiler Livio (2000);;11;55.0;8;46.5;1;-0.25;10.0

5b;Schneider Mario;**;;;;;;;;;56.75
+;;;Oertig Dominik;**;;;;;;;9.75
+;2;9.75;Riget Ivan;*;9;55.5;2;9.75;0;0.0;10.0
-;2;19.75;Kindlimann Fabian;***;7;56.0;5;18.5;3;-1.25;8.75
o;4;28.5;Battaglia Ursin;**;4;57.0;4;28.5;0;0.0;8.5
+;8;37.0;Oertig Simon;;11;55.0;4;38.0;-4;1.0;10.0
+;6;47.0;Pfister Florian;*;11;55.0;8;46.5;2;-0.5;9.75

5c;Biäsch Christian;*;;;;;;;;;56.75
-;;;Wolfer Lukas;*;;;;;;;8.75
+;3;8.75;Müller Loris (1999);;21;52.5;2;9.75;-1;1.0;10.0
+;4;18.75;Riedi Thomas;;13;54.5;1;20.0;-3;1.25;10.0
-;3;28.75;Näf Pius;*;11;55.0;4;28.5;1;-0.25;9.0
-;5;37.75;Mettler Valentin;;10;55.25;4;38.0;-1;0.25;9.0
+;7;46.75;Schwyn Adrian;;10;55.25;7;46.75;0;0.0;10.0

5d;Hochholdinger Roman;**;;;;;;;;;56.75
o;;;Geisser Lars;**;;;;;;;8.5
+;4;8.5;Candrian Gian-Luca;;10;55.25;2;9.75;-2;1.25;10.0
+;5;18.5;Roth Peter;;15;54.0;5;18.5;0;0.0;10.0
o;4;28.5;Wickli Beat;**;6;56.5;5;28.25;1;-0.25;8.5
+;8;37.0;Vogel Beat;*;15;54.0;9;36.75;1;-0.25;10.0
+;6;47.0;Dumelin David;*;9;55.5;6;47.0;0;0.0;9.75

5e;Horner Peter;***;;;;;;;;;56.75
o;;;Schlegel Sandro;**;;;;;;;8.5
+;4;8.5;Basler Siro;;20;52.75;1;10.0;-3;1.5;10.0
+;5;18.5;Dumelin David;*;9;55.5;5;18.5;0;0.0;9.75
+;5;28.25;Peter Renato (2000);;14;54.25;4;28.5;-1;0.25;10.0
+;3;38.25;Wolfer Lukas;*;11;55.0;4;38.0;1;-0.25;9.75
-;3;48.0;Peng Mike;***;5;56.75;3;48.0;0;0.0;8.75

5f;Fontana Michael;;;;;;;;;;56.75
+;;;Ebert Claudio;;;;;;;;10.0
+;1;10.0;Bickel Stefan;*;15;54.0;4;8.5;3;-1.5;9.75
-;2;19.75;Keller Lukas;;13;54.5;2;19.75;0;0.0;8.75
-;4;28.5;Odermatt Christoph;*;4;57.0;4;28.5;0;0.0;8.75
+;7;37.25;Hugener Adrian (2000);;15;54.0;8;37.0;1;-0.25;9.75
+;6;47.0;Duschen Raffael;;11;55.0;8;46.5;2;-0.5;9.75

5g;Peng Mike;***;;;;;;;;;56.75
o;;;Nägeli Marco;**;;;;;;;8.5
+;4;8.5;Lehmann Philipp (1999);;11;55.0;1;10.0;-3;1.5;10.0
+;5;18.5;Ammann Rico;*;8;55.75;5;18.5;0;0.0;9.75
+;5;28.25;Breitenmoser Simon;;10;55.25;4;28.5;-1;0.25;9.75
+;4;38.0;Bernold Edi;**;11;55.0;4;38.0;0;0.0;10.0
-;3;48.0;Horner Peter;***;5;56.75;3;48.0;0;0.0;8.75

6a;Wickli Beat;**;;;;;;;;;56.5
o;;;Rychen Roger;***;;;;;;;8.5
+;4;8.5;Reichmuth Beat;;7;56.0;2;9.75;-2;1.25;9.75
+;6;18.25;Tschudi Mario (2001);;10;55.25;5;18.5;-1;0.25;10.0
+;5;28.25;Hochholdinger Roman;**;5;56.75;4;28.5;-1;0.25;9.75
+;4;38.0;Lanter Christian;;11;55.0;5;37.75;1;-0.25;9.75
-;4;47.75;Schnurrenberger Roman;**;7;56.0;5;47.25;1;-0.5;8.75

7a;Kindlimann Fabian;***;;;;;;;;;56.0
-;;;Orlik Armon;***;;;;;;;8.75
+;3;8.75;Rüegg Roman;*;10;55.25;2;9.75;-1;1.0;9.75
-;5;18.5;Schneider Mario;**;5;56.75;2;19.75;-3;1.25;8.75
+;8;27.25;Zbinden Marc;*;3;57.25;3;28.75;-5;1.5;10.0
+;7;37.25;Pfister Florian;*;11;55.0;4;38.0;-3;0.75;10.0
-;5;47.25;Eugster Ruedi;**;4;57.0;2;48.25;-3;1.0;8.75

7b;Reichmuth Beat;;;;;;;;;;56.0
+;;;Jörger Marc;;;;;;;;9.75
o;2;9.75;Wickli Beat;**;6;56.5;4;8.5;2;-1.25;8.5
+;6;18.25;Koller Fabian;;13;54.5;6;18.25;0;0.0;10.0
-;5;28.25;Keller Lukas;;13;54.5;4;28.5;-1;0.25;8.75
-;8;37.0;Näf Pius;*;11;55.0;6;37.5;-2;0.5;9.0
+;10;46.0;Riedi Thomas;;13;54.5;10;46.0;0;0.0;10.0

7c;Schnurrenberger Roman;**;;;;;;;;;56.0
-;;;Zbinden Marc;*;;;;;;;8.75
+;3;8.75;Wild Thomas;;14;54.25;1;10.0;-2;1.25;10.0
+;4;18.75;Pfister Florian;*;11;55.0;2;19.75;-2;1.0;10.0
o;3;28.75;Orlik Armon;***;1;58.25;4;28.5;1;-0.25;8.5
+;7;37.25;Jörger Corsin;;11;55.0;4;38.0;-3;0.75;10.0
-;5;47.25;Wickli Beat;**;6;56.5;4;47.75;-1;0.5;8.75

7d;Breitenmoser Manuel;;;;;;;;;;56.0
+;;;Furrer Matthias;;;;;;;;10.0
o;1;10.0;Nägeli Marco;**;3;57.25;2;9.75;1;-0.25;8.5
o;5;18.5;Lanter Christian;;11;55.0;6;18.25;1;-0.25;8.5
-;9;27.0;Koller Fabian;;13;54.5;10;26.75;1;-0.25;9.0
+;12;36.0;Basler Siro;;20;52.75;13;35.75;1;-0.25;10.0
+;10;46.0;Morger Adrian;*;11;55.0;9;46.25;-1;0.25;10.0

8a;Schäppi Urs;*;;;;;;;;;55.75
-;;;Landolt Reto;*;;;;;;;8.75
+;3;8.75;Horner Sämi;;9;55.5;2;9.75;-1;1.0;10.0
o;4;18.75;Battaglia Ursin;**;4;57.0;5;18.5;1;-0.25;8.5
+;8;27.25;Bleiker Daniel;;16;53.75;6;28.0;-2;0.75;10.0
o;7;37.25;Odermatt Christoph;*;4;57.0;7;37.25;0;0.0;8.5
+;11;45.75;Baumgartner Alexander;;14;54.25;11;45.75;0;0.0;10.0

8b;Schnyder Christian;;;;;;;;;;55.75
o;;;Burkhard Tobias;;;;;;;;8.5
o;4;8.5;Ebert Claudio;;17;53.5;4;8.5;0;0.0;8.5
+;9;17.0;Rutz Cédric;;20;52.75;9;17.0;0;0.0;10.0
-;9;27.0;Rohner Lukas (2000);;10;55.25;10;26.75;1;-0.25;8.75
+;13;35.75;Glättli Benny;;22;52.25;15;35.25;2;-0.5;10.0
+;11;45.75;Wild Thomas;;14;54.25;12;45.5;1;-0.25;10.0

8c;Bischof Martin;;;;;;;;;;55.75
+;;;Furrer Matthias;;;;;;;;10.0
-;1;10.0;Bühler Hannes;*;3;57.25;1;10.0;0;0.0;8.75
o;4;18.75;Burkhard Tobias;;10;55.25;5;18.5;1;-0.25;8.5
+;8;27.25;Basler Siro;;20;52.75;8;27.25;0;0.0;10.0
-;7;37.25;Riget Ivan;*;9;55.5;8;37.0;1;-0.25;8.75
+;10;46.0;Lanter Christian;;11;55.0;9;46.25;-1;0.25;9.75

8d;Ammann Rico;*;;;;;;;;;55.75
-;;;Odermatt Christoph;*;;;;;;;8.75
+;3;8.75;Schiesser Patrik;;9;55.5;1;10.0;-2;1.25;9.75
o;5;18.5;Peng Mike;***;5;56.75;5;18.5;0;0.0;8.5
+;9;27.0;Buchmann Michael;;11;55.0;5;28.25;-4;1.25;10.0
-;8;37.0;Rüegg Roman;*;10;55.25;9;36.75;1;-0.25;8.75
+;11;45.75;Burkhard Tobias;;10;55.25;7;46.75;-4;1.0;10.0

9a;Dumelin David;*;;;;;;;;;55.5
o;;;Bernold Edi;**;;;;;;;8.5
+;4;8.5;Lanter Christian;;11;55.0;2;9.75;-2;1.25;10.0
o;5;18.5;Horner Peter;***;5;56.75;5;18.5;0;0.0;8.5
+;9;27.0;Kamm Fritz (1999);;16;53.75;9;27.0;0;0.0;10.0
+;8;37.0;Zumbach Michael;;16;53.75;9;36.75;1;-0.25;10.0
o;6;47.0;Hochholdinger Roman;**;5;56.75;6;47.0;0;0.0;8.5

9b;Steiner Michael;**;;;;;;;;;55.5
o;;;Eugster Ruedi;**;;;;;;;8.5
+;4;8.5;Lieberherr Michael (1999);;15;54.0;1;10.0;-3;1.5;9.75
-;6;18.25;Oertig Simon;;11;55.0;3;19.5;-3;1.25;9.0
-;8;27.25;Riget Ivan;*;9;55.5;5;28.25;-3;1.0;8.75
+;12;36.0;Lozza Roman;;14;54.25;8;37.0;-4;1.0;9.75
+;11;45.75;Candrian Gian-Luca;;10;55.25;7;46.75;-4;1.0;9.75

9c;Horner Sämi;;;;;;;;;;55.5
+;;;Stadelmann Patrick (2000);;;;;;;;9.75
o;2;9.75;Schäppi Urs;*;8;55.75;3;8.75;1;-1.0;8.5
+;6;18.25;Kiener Raphael (2000);;10;55.25;6;18.25;0;0.0;10.0
o;5;28.25;Wolfer Lukas;*;11;55.0;5;28.25;0;0.0;8.5
-;9;36.75;Bleiker Daniel;;16;53.75;10;36.5;1;-0.25;8.75
+;12;45.5;Peter Renato (2000);;14;54.25;11;45.75;-1;0.25;10.0

9d;Schiesser Patrik;;;;;;;;;;55.5
+;;;Frauenfelder Florian (2001);;;;;;;;10.0
o;1;10.0;Ammann Rico;*;8;55.75;3;8.75;2;-1.25;8.5
-;5;18.5;Basler Siro;;20;52.75;5;18.5;0;0.0;8.75
o;8;27.25;Duschen Raffael;;11;55.0;10;26.75;2;-0.5;8.5
+;13;35.75;Müller Loris (1999);;21;52.5;15;35.25;2;-0.5;9.75
+;12;45.5;Stadelmann Patrick (2000);;16;53.75;13;45.25;1;-0.25;10.0

9e;Dändliker Hansheinrich;;;;;;;;;;55.5
+;;;Caflisch Stefan;;;;;;;;10.0
o;1;10.0;Schlegel Sandro;**;3;57.25;1;10.0;0;0.0;8.5
o;5;18.5;Breitenmoser Simon;;10;55.25;5;18.5;0;0.0;8.5
+;9;27.0;Bänziger Peter;;14;54.25;9;27.0;0;0.0;10.0
o;8;37.0;Zbinden Marc;*;3;57.25;7;37.25;-1;0.25;8.5
+;12;45.5;Zumbach Michael;;16;53.75;13;45.25;1;-0.25;10.0

9f;Bärtsch Jann (2000);;;;;;;;;;55.5
+;;;Mettler Valentin;;;;;;;;9.75
o;2;9.75;Wolfer Lukas;*;11;55.0;3;8.75;1;-1.0;8.5
+;6;18.25;Müller Loris (1999);;21;52.5;6;18.25;0;0.0;10.0
-;5;28.25;Blaser Niklas;*;15;54.0;7;27.5;2;-0.75;8.75
o;8;37.0;Buchmann Michael;;11;55.0;9;36.75;1;-0.25;8.5
+;12;45.5;Roth Peter;;15;54.0;12;45.5;0;0.0;10.0

9g;Flütsch Marco (1999);;;;;;;;;;55.5
-;;;Lozza Roman;;;;;;;;8.75
+;3;8.75;Frauenfelder Florian (2001);;23;51.75;4;8.5;1;-0.25;9.75
o;5;18.5;Notz Armin;*;14;54.25;8;17.25;3;-1.25;8.5
+;9;27.0;Sieber Marc (2000);;21;52.5;10;26.75;1;-0.25;10.0
+;8;37.0;Laager Andreas (1999);;21;52.5;14;35.5;6;-1.5;10.0
o;6;47.0;Nägeli Marco;**;3;57.25;5;47.25;-1;0.25;8.5

9h;Riget Ivan;*;;;;;;;;;55.5
+;;;Bänziger Peter;;;;;;;;9.75
o;2;9.75;Schneider Mario;**;5;56.75;2;9.75;0;0.0;8.5
+;6;18.25;Sprecher Martin (2000);;15;54.0;6;18.25;0;0.0;10.0
-;5;28.25;Steiner Michael;**;9;55.5;8;27.25;3;-1.0;8.75
-;8;37.0;Bischof Martin;;8;55.75;7;37.25;-1;0.25;8.75
+;11;45.75;Breitenmoser Simon;;10;55.25;7;46.75;-4;1.0;9.75

9i;Heierli Pascal (1999);;;;;;;;;;55.5
+;;;Sprecher Martin (2000);;;;;;;;9.75
-;2;9.75;Gartmann Mauro;*;17;53.5;4;8.5;2;-1.25;8.75
+;5;18.5;Laager Michael (2001);;16;53.75;5;18.5;0;0.0;9.75
o;5;28.25;Lanter Christian;;11;55.0;6;28.0;1;-0.25;8.75
o;8;37.0;Landolt Reto;*;4;57.0;7;37.25;-1;0.25;8.5
+;12;45.5;Aebli Nino (2000);;13;54.5;11;45.75;-1;0.25;10.0

10a;Burkhard Tobias;;;;;;;;;;55.25
+;;;Schnyder Christian;;;;;;;;10.0
o;1;10.0;Eugster Ruedi;**;4;57.0;2;9.75;1;-0.25;8.5
+;5;18.5;Bischof Martin;;8;55.75;4;18.75;-1;0.25;10.0
o;4;28.5;Sprecher Sandro;*;4;57.0;4;28.5;0;0.0;8.5
+;8;37.0;Aebli Nino (2000);;13;54.5;7;37.25;-1;0.25;9.75
o;7;46.75;Ammann Rico;*;8;55.75;11;45.75;4;-1.0;8.5

10b;Rohner Lukas (2000);;;;;;;;;;55.25
o;;;Scherrer Pascal;;;;;;;;8.5
o;4;8.5;Mettler Valentin;;10;55.25;4;8.5;0;0.0;8.5
+;9;17.0;Schönenberger Björn;;16;53.75;9;17.0;0;0.0;9.75
-;10;26.75;Schnyder Christian;;8;55.75;9;27.0;-1;0.25;8.75
+;14;35.5;Ochsner Reto (2000);;16;53.75;15;35.25;1;-0.25;9.75
+;13;45.25;Kamm Fritz (1999);;16;53.75;13;45.25;0;0.0;10.0

10c;Rüegg Roman;*;;;;;;;;;55.25
+;;;Notz Armin;*;;;;;;;9.75
o;2;9.75;Kindlimann Fabian;***;7;56.0;3;8.75;1;-1.0;8.75
o;5;18.5;Straub Paul;;15;54.0;5;18.5;0;0.0;8.5
+;9;27.0;Götti Samuel;;15;54.0;9;27.0;0;0.0;9.75
-;9;36.75;Ammann Rico;*;8;55.75;8;37.0;-1;0.25;8.75
+;12;45.5;Hungerbühler Marcel;;14;54.25;12;45.5;0;0.0;9.75

10d;Candrian Gian-Luca;;;;;;;;;;55.25
+;;;Hollenstein Daniel;;;;;;;;9.75
o;2;9.75;Hochholdinger Roman;**;5;56.75;4;8.5;2;-1.25;8.5
+;6;18.25;Wild Thomas;;14;54.25;5;18.5;-1;0.25;9.75
-;6;28.0;Riedi Thomas;;13;54.5;4;28.5;-2;0.5;9.0
+;8;37.0;Lieberherr Michael (1999);;15;54.0;8;37.0;0;0.0;9.75
o;7;46.75;Steiner Michael;**;9;55.5;11;45.75;4;-1.0;8.5

10e;Jöhl Christian;*;;;;;;;;;55.25
+;;;Schudel Simon;*;;;;;;;9.75
+;2;9.75;Peter Renato (2000);;14;54.25;1;10.0;-1;0.25;10.0
o;2;19.75;Bühler Hannes;*;3;57.25;4;18.75;2;-1.0;8.5
o;5;28.25;Mettler Valentin;;10;55.25;5;28.25;0;0.0;8.5
o;9;36.75;Morger Adrian;*;11;55.0;10;36.5;1;-0.25;8.5
+;13;45.25;Hugener Adrian (2000);;15;54.0;12;45.5;-1;0.25;10.0

10f;Breitenmoser Simon;;;;;;;;;;55.25
+;;;Laager Michael (2001);;;;;;;;10.0
o;1;10.0;Odermatt Christoph;*;4;57.0;3;8.75;2;-1.25;8.5
+;5;18.5;Dändliker Hansheinrich;;9;55.5;5;18.5;0;0.0;10.0
o;4;28.5;Peng Mike;***;5;56.75;5;28.25;1;-0.25;8.5
+;8;37.0;Straub Paul;;15;54.0;9;36.75;1;-0.25;9.75
o;7;46.75;Riget Ivan;*;9;55.5;11;45.75;4;-1.0;8.5

10g;Pianta Christian;;;;;;;;;;55.25
-;;;Kobler Janosch (2000);;;;;;;;8.75
+;3;8.75;Rutz Cédric;;20;52.75;4;8.5;1;-0.25;10.0
o;4;18.75;Wolfer Lukas;*;11;55.0;5;18.5;1;-0.25;8.5
+;8;27.25;Scherrer Pascal;;21;52.5;9;27.0;1;-0.25;9.75
+;8;37.0;Peter Renato (2000);;14;54.25;8;37.0;0;0.0;9.75
o;7;46.75;Sprecher Sandro;*;4;57.0;6;47.0;-1;0.25;8.5

10h;Schwyn Adrian;;;;;;;;;;55.25
+;;;Bertogg Severin (2001);;;;;;;;9.75
+;2;9.75;Schwager Mike (2000);;19;53.0;1;10.0;-1;0.25;9.75
o;3;19.5;Bernold Edi;**;11;55.0;5;18.5;2;-1.0;8.5
-;6;28.0;Lehmann Philipp (1999);;11;55.0;7;27.5;1;-0.5;8.75
+;9;36.75;Kunz Daniel;;10;55.25;9;36.75;0;0.0;10.0
o;7;46.75;Biäsch Christian;*;5;56.75;7;46.75;0;0.0;8.5

10i;Kiener Raphael (2000);;;;;;;;;;55.25
+;;;Rutz Cédric;;;;;;;;9.75
o;2;9.75;Lozza Roman;;14;54.25;3;8.75;1;-1.0;8.5
o;6;18.25;Horner Sämi;;9;55.5;6;18.25;0;0.0;8.5
+;10;26.75;Arnold Christian;;21;52.5;14;25.5;4;-1.25;10.0
+;9;36.75;Tschudi Mario (2001);;10;55.25;9;36.75;0;0.0;10.0
o;7;46.75;Jörger Marc;;4;57.0;5;47.25;-2;0.5;8.5

10j;Tschudi Mario (2001);;;;;;;;;;55.25
o;;;Buchmann Michael;;;;;;;;8.5
+;4;8.5;Bertogg Severin (2001);;25;51.0;4;8.5;0;0.0;10.0
o;5;18.5;Wickli Beat;**;6;56.5;6;18.25;1;-0.25;8.5
+;9;27.0;Müller Loris (1999);;21;52.5;10;26.75;1;-0.25;9.75
o;9;36.75;Kiener Raphael (2000);;10;55.25;9;36.75;0;0.0;8.5
+;13;45.25;Sieber Marc (2000);;21;52.5;18;44.0;5;-1.25;10.0

10k;Mettler Valentin;;;;;;;;;;55.25
o;;;Bärtsch Jann (2000);;;;;;;;8.5
+;4;8.5;Rohner Lukas (2000);;10;55.25;4;8.5;0;0.0;9.75
+;6;18.25;Kirchmeier Christof (1999);;15;54.0;5;18.5;-1;0.25;10.0
+;5;28.25;Jöhl Christian;*;10;55.25;5;28.25;0;0.0;9.75
-;4;38.0;Biäsch Christian;*;5;56.75;5;37.75;1;-0.25;8.75
o;7;46.75;Schlegel Sandro;**;3;57.25;5;47.25;-2;0.5;8.5

10l;Kunz Daniel;;;;;;;;;;55.25
+;;;Schönenberger Björn;;;;;;;;10.0
o;1;10.0;Zbinden Marc;*;3;57.25;3;8.75;2;-1.25;8.5
+;5;18.5;Lötscher Abraham (2000);;16;53.75;5;18.5;0;0.0;9.75
o;5;28.25;Eugster Ruedi;**;4;57.0;5;28.25;0;0.0;8.5
o;9;36.75;Schwyn Adrian;;10;55.25;9;36.75;0;0.0;8.5
+;13;45.25;Lieberherr Michael (1999);;15;54.0;12;45.5;-1;0.25;10.0

11a;Lehmann Philipp (1999);;;;;;;;;;55.0
+;;;Jörger Corsin;;;;;;;;10.0
o;1;10.0;Peng Mike;***;5;56.75;4;8.5;3;-1.5;8.5
-;5;18.5;Götti Samuel;;15;54.0;6;18.25;1;-0.25;9.0
-;7;27.5;Schwyn Adrian;;10;55.25;6;28.0;-1;0.5;8.75
-;11;36.25;Notz Armin;*;14;54.25;14;35.5;3;-0.75;8.75
+;14;45.0;Basler Siro;;20;52.75;17;44.25;3;-0.75;10.0

11b;Buchmann Michael;;;;;;;;;;55.0
+;;;Tschudi Mario (2001);;;;;;;;10.0
o;1;10.0;Geisser Lars;**;5;56.75;2;9.75;1;-0.25;8.5
+;5;18.5;Zumbach Michael;;16;53.75;5;18.5;0;0.0;9.75
o;5;28.25;Ammann Rico;*;8;55.75;9;27.0;4;-1.25;8.5
+;9;36.75;Bärtsch Jann (2000);;9;55.5;8;37.0;-1;0.25;9.75
o;8;46.5;Battaglia Ursin;**;4;57.0;5;47.25;-3;0.75;8.5

11c;Oertig Simon;;;;;;;;;;55.0
+;;;Glättli Benny;;;;;;;;9.75
+;2;9.75;Morger Adrian;*;11;55.0;2;9.75;0;0.0;9.75
-;3;19.5;Steiner Michael;**;9;55.5;6;18.25;3;-1.25;8.75
+;5;28.25;Straub Paul;;15;54.0;5;28.25;0;0.0;9.75
o;4;38.0;Schneider Mario;**;5;56.75;8;37.0;4;-1.0;8.5
o;8;46.5;Odermatt Christoph;*;4;57.0;6;47.0;-2;0.5;8.5

11d;Schudel Simon;*;;;;;;;;;55.0
o;;;Jöhl Christian;*;;;;;;;8.5
+;4;8.5;Kobler Janosch (2000);;12;54.75;3;8.75;-1;0.25;9.75
