5194-2022-06-06_Glarner-Buendner_Kantonalschwingfest-ST

o;;;Gmür Pirmin;**;;;;;;;8.5
+;5;8.5;Raschle Urban;;6;56.5;2;9.75;-3;1.25;10.0
+;6;18.5;Vollenweider Loïc (2004);;16;54.0;6;18.5;0;0.0;9.75
+;6;28.25;Bollhalder Manuel;*;10;55.5;4;28.75;-2;0.5;10.0
o;3;38.25;Schlegel Werner;**;4;57.0;3;38.25;0;0.0;8.5
-;7;46.75;Kobler Janosch;*;8;56.0;6;47.0;-1;0.25;9.0

9c;Jörger Corsin;*;;;;;;;;;55.75
+;;;Salzmann Simon;*;;;;;;;10.0
o;1;10.0;Oettli Marco;**;3;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Bischof Loris (2006);;16;54.0;6;18.5;0;0.0;10.0
o;5;28.5;Mannhart Jan;*;9;55.75;5;28.5;0;0.0;8.5
-;8;37.0;Martin Tobias;;13;54.75;7;37.25;-1;0.25;9.0
+;10;46.0;Schudel Simon;*;11;55.25;7;46.75;-3;0.75;9.75

9d;Geisser Lars;**;;;;;;;;;55.75
-;;;Oettli Marco;**;;;;;;;8.75
+;4;8.75;Habegger Andrin (2005);;11;55.25;2;9.75;-2;1.0;10.0
-;5;18.75;Nötzli Reto;***;2;57.75;5;18.75;0;0.0;8.75
+;9;27.5;Schwyn Adrian;*;14;54.5;9;27.5;0;0.0;9.75
+;7;37.25;Keller Manuel;*;10;55.5;8;37.0;1;-0.25;10.0
o;5;47.25;Rychen Roger;***;3;57.25;5;47.25;0;0.0;8.5

9e;Mannhart Jan;*;;;;;;;;;55.75
+;;;Wolfer Lukas;*;;;;;;;10.0
+;1;10.0;Jäger Elia (2006);;21;52.5;1;10.0;0;0.0;10.0
o;1;20.0;Leuppi Samir;***;6;56.5;5;18.75;4;-1.25;8.5
+;5;28.5;Jörger Corsin;*;9;55.75;5;28.5;0;0.0;10.0
o;2;38.5;Rychen Roger;***;3;57.25;7;37.25;5;-1.25;8.5
o;6;47.0;Kundert Elias (2005);;6;56.5;8;46.5;2;-0.5;8.75

9f;Good Marco;**;;;;;;;;;55.75
o;;;Kolb This;**;;;;;;;8.5
+;5;8.5;Schiesser Patrik;*;4;57.0;1;10.0;-4;1.5;9.75
-;7;18.25;Salzmann Simon;*;15;54.25;6;18.5;-1;0.25;9.0
+;10;27.25;Koller Fabian;*;13;54.75;7;28.0;-3;0.75;9.75
+;8;37.0;Castelli Fabio;*;13;54.75;6;37.5;-2;0.5;10.0
-;6;47.0;Jörger Marc;*;11;55.25;8;46.5;2;-0.5;8.75

9g;Elmer Daniel;*;;;;;;;;;55.75
-;;;Blaser Niklas;*;;;;;;;8.75
+;4;8.75;Laager Michael;;11;55.25;1;10.0;-3;1.25;9.75
-;6;18.5;Schnurrenberger Roman;**;10;55.5;7;18.25;1;-0.25;8.75
+;10;27.25;Imhof Gregor;;16;54.0;6;28.25;-4;1.0;10.0
o;7;37.25;Oettli Marco;**;3;57.25;7;37.25;0;0.0;8.5
+;11;45.75;Schwyn Adrian;*;14;54.5;10;46.0;-1;0.25;10.0

9h;Joos Enrico;*;;;;;;;;;55.75
o;;;Burch Dean;*;;;;;;;8.5
+;5;8.5;Schefer Sandro (2006);;23;35.25;2;9.75;-3;1.25;10.0
+;6;18.5;Seliner Bruno (2004);;16;54.0;5;18.75;-1;0.25;10.0
o;5;28.5;Kobler Janosch;*;8;56.0;4;28.75;-1;0.25;8.75
o;7;37.25;Hegner Ueli;*;11;55.25;8;37.0;1;-0.25;8.5
+;11;45.75;Kern Jan (2005);;15;54.25;11;45.75;0;0.0;10.0

9i;Kolb This;**;;;;;;;;;55.75
+;;;Good Marco;**;;;;;;;9.75
o;2;9.75;Orlik Armon;***;1;58.75;1;10.0;-1;0.25;8.5
+;7;18.25;Elmer Adrian;*;6;56.5;1;20.0;-6;1.75;9.75
-;7;28.0;Flück Bruno;;9;55.75;5;28.5;-2;0.5;8.75
-;9;36.75;Fausch Kjetil;*;5;56.75;4;38.0;-5;1.25;9.0
+;11;45.75;Salzmann Simon;*;15;54.25;11;45.75;0;0.0;10.0

9j;Bärtsch Fabian;*;;;;;;;;;55.75
-;;;Odermatt Gian Maria (2004);*;;;;;;;9.0
+;3;9.0;Müllhaupt Yves;;11;55.25;2;9.75;-1;0.75;9.75
o;5;18.75;Schneider Mario;**;4;57.0;5;18.75;0;0.0;8.5
+;10;27.25;Salzmann Simon;*;15;54.25;9;27.5;-1;0.25;9.75
+;8;37.0;Laager Kaspar (2004);;13;54.75;7;37.25;-1;0.25;9.75
-;7;46.75;Kolb Kilian (2005);;7;56.25;5;47.25;-2;0.5;9.0

10a;Niederer Andreas;*;;;;;;;;;55.5
+;;;Kirchmeier Christof;;;;;;;;9.75
o;2;9.75;Schnurrenberger Roman;**;10;55.5;2;9.75;0;0.0;8.5
+;7;18.25;Graf Dominik (2005);;23;35.25;7;18.25;0;0.0;10.0
o;6;28.25;Brügger Stefan;*;11;55.25;6;28.25;0;0.0;8.75
+;8;37.0;Flütsch Marco;;11;55.25;8;37.0;0;0.0;10.0
o;6;47.0;Hochholdinger Roman;**;5;56.75;6;47.0;0;0.0;8.5

10b;Keller Manuel;*;;;;;;;;;55.5
o;;;Fausch Kjetil;*;;;;;;;8.5
+;5;8.5;Korrodi Janik (2004);;10;55.5;2;9.75;-3;1.25;10.0
+;6;18.5;Martin Tobias;;13;54.75;5;18.75;-1;0.25;9.75
-;6;28.25;Lüthi Manuel;*;10;55.5;5;28.5;-1;0.25;8.75
o;8;37.0;Geisser Lars;**;9;55.75;7;37.25;-1;0.25;8.5
+;12;45.5;Engi Niculin (2006);;16;54.0;12;45.5;0;0.0;10.0

10c;Bollhalder Manuel;*;;;;;;;;;55.5
-;;;Hugelshofer Lars;*;;;;;;;9.0
+;3;9.0;Vollenweider Loïc (2004);;16;54.0;1;10.0;-2;1.0;9.75
+;5;18.75;Gantenbein Linard (2004);;17;53.75;2;19.75;-3;1.0;10.0
o;4;28.75;Arztmann Beda;**;9;55.75;6;28.25;2;-0.5;8.5
+;7;37.25;Schudel Simon;*;11;55.25;9;36.75;2;-0.5;9.75
o;6;47.0;Walther Adrian;**;4;57.0;5;47.25;-1;0.25;8.5

10d;Siegenthaler Joël;;;;;;;;;;55.5
o;;;Laager Michael;;;;;;;;8.5
+;5;8.5;Hartmann Enrico (2006);;26;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Jörger Marc;*;11;55.25;9;17.5;3;-1.0;8.5
o;11;27.0;Zumbach Michael;;13;54.75;10;27.25;-1;0.25;8.5
+;14;35.5;Florineth Fabrizio (2006);;20;52.75;13;35.75;-1;0.25;10.0
+;12;45.5;Trümpy Thomas (2006);;15;54.25;11;45.75;-1;0.25;10.0

10e;Müller Josias (2006);;;;;;;;;;55.5
-;;;Lüönd Remo;;;;;;;;8.75
+;4;8.75;Oettli Reto (2005);;15;54.25;5;8.5;1;-0.25;9.75
o;6;18.5;Fausch Kjetil;*;5;56.75;7;18.25;1;-0.25;8.75
+;10;27.25;Seliner Bruno (2004);;16;54.0;10;27.25;0;0.0;9.75
+;8;37.0;Lenherr Jonas (2005);;12;55.0;9;36.75;1;-0.25;10.0
o;6;47.0;Pianta Christian;*;3;57.25;5;47.25;-1;0.25;8.5

10f;Korrodi Janik (2004);;;;;;;;;;55.5
+;;;Weber Flavio (2006);;;;;;;;9.75
o;2;9.75;Keller Manuel;*;10;55.5;5;8.5;3;-1.25;8.5
-;7;18.25;Laager Kaspar (2004);;13;54.75;7;18.25;0;0.0;9.0
+;10;27.25;Gerig Marcel;;22;35.75;10;27.25;0;0.0;9.75
o;8;37.0;Koller Fabian;*;13;54.75;10;36.5;2;-0.5;8.5
+;12;45.5;Tschumper Elias (2005);;17;53.75;13;45.25;1;-0.25;10.0

10g;Lüthi Manuel;*;;;;;;;;;55.5
+;;;Castelli Fabio;*;;;;;;;10.0
o;1;10.0;Nötzli Reto;***;2;57.75;4;8.75;3;-1.25;8.5
+;6;18.5;Kolb Kilian (2005);;7;56.25;5;18.75;-1;0.25;10.0
-;5;28.5;Keller Manuel;*;10;55.5;6;28.25;1;-0.25;8.75
o;7;37.25;Schneider Mario;**;4;57.0;7;37.25;0;0.0;8.5
+;11;45.75;Akeret Benno;*;14;54.5;10;46.0;-1;0.25;9.75

10h;Wild Thomas;*;;;;;;;;;55.5
+;;;Akeret Benno;*;;;;;;;10.0
