5547-2021-07-18_Schwyzer_Kantonales_Schwingfest-ST

1a;Schuler Christian;***;;;;;;;;;59.5
-;3;29.0;Betschart Patrick;*;5;57.0;1;29.75;-2;0.75;8.75
+;6;37.75;Christen Silvan;;13;55.0;5;38.0;-1;0.25;9.75
+;5;47.5;Wiget Ueli;;12;55.25;8;46.75;3;-0.75;9.75

5a;Ettlin Martin;*;;;;;;;;;57.0
o;;;Suter Pirmin;**;;;;;;;8.5
+;5;8.5;Wyrsch Gabriel;;12;55.25;2;9.75;-3;1.25;9.75
+;7;18.25;Steiner Severin;;14;54.75;5;18.75;-2;0.5;10.0
-;6;28.25;Schuler Alex;***;7;56.5;9;27.5;3;-0.75;9.0
+;8;37.25;Suter Lukas;;16;54.25;8;37.25;0;0.0;10.0
+;6;47.25;Fink Bruno;*;12;55.25;8;46.75;2;-0.5;9.75

5b;Bucher Roland;*;;;;;;;;;57.0
-;;;Bienz Romeo;*;;;;;;;8.75
+;4;8.75;Suter Bruno;;11;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Schaller Noah;;10;55.75;4;19.0;-2;0.5;9.75
+;6;28.25;Zürcher Ueli;*;11;55.5;6;28.25;0;0.0;10.0
-;4;38.25;Schuler Philipp;**;4;57.25;3;38.5;-1;0.25;8.75
+;7;47.0;Gemsch Stefan;;13;55.0;9;46.5;2;-0.5;10.0

5c;Omlin Toni;*;;;;;;;;;57.0
-;;;Wyrsch Marco;**;;;;;;;8.75
+;4;8.75;Forster Christian;;11;55.5;1;10.0;-3;1.25;10.0
+;5;18.75;Schmidiger Lukas (2004);;17;54.0;5;18.75;0;0.0;9.75
+;5;28.5;Schmid Simon;*;10;55.75;5;28.5;0;0.0;9.75
+;4;38.25;Arnold Marcel;*;8;56.25;5;38.0;1;-0.25;10.0
o;2;48.25;Schuler Christian;***;1;59.5;1;49.5;-1;1.25;8.75

5d;Odermatt Andreas;**;;;;;;;;;57.0
+;;;Moos Christoph;*;;;;;;;10.0
o;1;10.0;Schuler Christian;***;1;59.5;1;10.0;0;0.0;8.5
+;6;18.5;Murpf Dario;;16;54.25;6;18.5;0;0.0;10.0
+;5;28.5;Schnider Markus;*;15;54.5;5;28.5;0;0.0;10.0
-;3;38.5;Betschart Patrick;*;5;57.0;3;38.5;0;0.0;8.75
+;6;47.25;Brunner Timon;;12;55.25;8;46.75;2;-0.5;9.75

5e;Betschart Patrick;*;;;;;;;;;57.0
+;;;Barmettler Peter;*;;;;;;;9.75
+;2;9.75;Ettlin Mario (2003);;18;53.75;2;9.75;0;0.0;10.0
+;2;19.75;Schöpfer Ronny;**;4;57.25;5;18.75;3;-1.0;10.0
-;1;29.75;Heiniger Marco;**;4;57.25;3;29.0;2;-0.75;8.75
-;3;38.5;Odermatt Andreas;**;5;57.0;3;38.5;0;0.0;8.75
+;6;47.25;Vogel Manuel;;12;55.25;8;46.75;2;-0.5;9.75

5f;Felder Martin;*;;;;;;;;;57.0
-;;;Steinauer Adrian;**;;;;;;;8.75
+;4;8.75;von Rickenbach Pirmin;;15;54.5;1;10.0;-3;1.25;9.75
+;6;18.5;Waser Raphael;;19;53.5;6;18.5;0;0.0;10.0
-;5;28.5;Kessler Joel;*;9;56.0;5;28.5;0;0.0;8.75
+;8;37.25;von Ah Markus;;16;54.25;8;37.25;0;0.0;10.0
+;6;47.25;Hess Michael;*;11;55.5;7;47.0;1;-0.25;9.75

6a;Lustenberger Marc (2003);;;;;;;;;;56.75
+;;;Arnold Sebastian;;;;;;;;10.0
+;1;10.0;Wallimann Remo;*;16;54.25;4;8.75;3;-1.25;9.75
+;2;19.75;Hess Michael;*;11;55.5;5;18.75;3;-1.0;9.75
o;2;29.5;Schuler Philipp;**;4;57.25;4;28.75;2;-0.75;8.5
-;5;38.0;Durrer Lukas;;12;55.25;7;37.5;2;-0.5;9.0
+;7;47.0;Suter Bruno;;11;55.5;8;46.75;1;-0.25;9.75

6b;Lagler Christian;;;;;;;;;;56.75
+;;;Suter Joel (2004);;;;;;;;10.0
+;1;10.0;Odermatt Remo;*;15;54.5;4;8.75;3;-1.25;9.75
-;2;19.75;Durrer Jonas (2003);*;10;55.75;5;18.75;3;-1.0;8.75
+;5;28.5;Suter Michael;;17;54.0;5;28.5;0;0.0;9.75
-;4;38.25;Wyss Sven;*;11;55.5;4;38.25;0;0.0;8.75
+;7;47.0;Zgraggen Peter;;13;55.0;9;46.5;2;-0.5;9.75

6c;Kennel Beat;**;;;;;;;;;56.75
+;;;Fink Bruno;*;;;;;;;10.0
-;1;10.0;Bürgi Reto;*;8;56.25;1;10.0;0;0.0;8.75
+;5;18.75;Marti Simon;;11;55.5;5;18.75;0;0.0;9.75
o;5;28.5;Schwyzer Samuel;;3;57.5;4;28.75;-1;0.25;8.5
+;9;37.0;Gasser Dominik 1;;12;55.25;9;37.0;0;0.0;9.75
+;8;46.75;Zurfluh Michael;*;11;55.5;7;47.0;-1;0.25;10.0

6d;Kurmann Toni;*;;;;;;;;;56.75
-;;;Arnold Raphael;**;;;;;;;9.0
+;3;9.0;Britschgi Markus;;21;53.0;1;10.0;-2;1.0;10.0
-;4;19.0;Kälin Roland;**;7;56.5;3;19.5;-1;0.5;9.0
+;7;28.0;Föhn Christian;;11;55.5;6;28.25;-1;0.25;10.0
+;5;38.0;Kenel Franz-Toni;*;10;55.75;7;37.5;2;-0.5;10.0
-;3;48.0;Nötzli Reto;***;9;56.0;6;47.25;3;-0.75;8.75

6e;Lustenberger Josef;;;;;;;;;;56.75
-;;;Gut Koni;;;;;;;;8.75
+;4;8.75;Walker Jan (2004);;15;54.5;2;9.75;-2;1.0;10.0
+;5;18.75;Würsch Lars;*;12;55.25;6;18.5;1;-0.25;9.75
+;5;28.5;Ulrich Marco;**;8;56.25;8;27.75;3;-0.75;9.75
+;4;38.25;Suter Bruno;;11;55.5;4;38.25;0;0.0;10.0
o;2;48.25;Steinauer Adrian;**;3;57.5;4;47.75;2;-0.5;8.5

6f;Suter Pirmin;**;;;;;;;;;56.75
+;;;Ettlin Martin;*;;;;;;;9.75
+;2;9.75;Suter Michael;;17;54.0;1;10.0;-1;0.25;10.0
+;2;19.75;Graber Michael;*;11;55.5;5;18.75;3;-1.0;10.0
o;1;29.75;Schuler Christian;***;1;59.5;1;29.75;0;0.0;8.5
o;4;38.25;Bissig Lukas (2003);;7;56.5;4;38.25;0;0.0;8.5
+;8;46.75;Mehr Lars;;13;55.0;9;46.5;1;-0.25;10.0

7a;Schuler Alex;***;;;;;;;;;56.5
-;;;Bürli Roger;**;;;;;;;8.75
+;4;8.75;Achermann Christoph;*;10;55.75;2;9.75;-2;1.0;9.75
-;6;18.5;Troxler Jonas;*;8;56.25;4;19.0;-2;0.5;9.0
-;9;27.5;Ettlin Martin;*;5;57.0;6;28.25;-3;0.75;9.0
+;11;36.5;Schmidiger Marco;*;13;55.0;11;36.5;0;0.0;10.0
+;9;46.5;Würsch Lars;*;12;55.25;8;46.75;-1;0.25;10.0

7b;Barmettler Peter;*;;;;;;;;;56.5
o;;;Betschart Patrick;*;;;;;;;8.5
+;5;8.5;Gemsch Stefan;;13;55.0;2;9.75;-3;1.25;10.0
+;6;18.5;Laimbacher Cyrill (2004);;22;52.75;5;18.75;-1;0.25;10.0
o;5;28.5;Nötzli Reto;***;9;56.0;4;28.75;-1;0.25;8.5
+;9;37.0;Appert Silvan (2003);;10;55.75;7;37.5;-2;0.5;9.75
+;8;46.75;Achermann Christoph;*;10;55.75;7;47.0;-1;0.25;9.75

7c;Bissig Lukas (2003);;;;;;;;;;56.5
+;;;Vogel Manuel;;;;;;;;9.75
o;2;9.75;Kessler Joel;*;9;56.0;5;8.5;3;-1.25;8.5
+;7;18.25;Gerber Jakob;;15;54.5;6;18.5;-1;0.25;10.0
+;6;28.25;Reichmuth Lukas;*;13;55.0;9;27.5;3;-0.75;10.0
+;4;38.25;Suter Pirmin;**;6;56.75;4;38.25;0;0.0;9.75
o;3;48.0;Doppmann Urs;**;2;58.0;3;48.0;0;0.0;8.5

7d;Kennel Stefan;**;;;;;;;;;56.5
-;;;Odermatt Remo;*;;;;;;;8.75
+;4;8.75;Scherrer Patrick;;11;55.5;1;10.0;-3;1.25;10.0
-;5;18.75;Schöpfer Marco (2003);;12;55.25;4;19.0;-1;0.25;8.75
-;9;27.5;Betschart Marcel;*;14;54.75;9;27.5;0;0.0;9.0
+;11;36.5;Arnold Sebastian;;12;55.25;10;36.75;-1;0.25;10.0
+;9;46.5;Wyss Sven;*;11;55.5;7;47.0;-2;0.5;10.0

7e;Kälin Roland;**;;;;;;;;;56.5
+;;;Zurfluh Michael;*;;;;;;;9.75
+;2;9.75;Bühler Patrice;;15;54.5;2;9.75;0;0.0;9.75
-;3;19.5;Kurmann Toni;*;6;56.75;4;19.0;1;-0.5;9.0
+;5;28.5;Elmiger Andreas;;4;57.25;3;29.0;-2;0.5;9.75
o;4;38.25;Bürli Roger;**;3;57.5;5;38.0;1;-0.25;8.5
+;8;46.75;Christen Silvan;;13;55.0;9;46.5;1;-0.25;9.75

8a;Ulrich Marco;**;;;;;;;;;56.25
+;;;Zürcher Ueli;*;;;;;;;10.0
-;1;10.0;Durrer Jonas (2003);*;10;55.75;1;10.0;0;0.0;8.75
-;5;18.75;Bühler Kilian;;10;55.75;1;20.0;-4;1.25;9.0
o;8;27.75;Lustenberger Josef;;6;56.75;5;28.5;-3;0.75;8.5
+;12;36.25;Schmid Pius;;13;55.0;10;36.75;-2;0.5;10.0
+;10;46.25;Betschart Marcel;*;14;54.75;10;46.25;0;0.0;10.0

8b;Bienz Romeo;*;;;;;;;;;56.25
-;;;Bucher Roland;*;;;;;;;8.75
+;4;8.75;Christen Silvan;;13;55.0;1;10.0;-3;1.25;10.0
o;5;18.75;Doppmann Urs;**;2;58.0;7;18.25;2;-0.5;8.5
+;10;27.25;Bacher Andreas;;11;55.5;10;27.25;0;0.0;10.0
+;8;37.25;Barmettler Renato (2003);;9;56.0;7;37.5;-1;0.25;10.0
-;6;47.25;Thierstein Marco;*;10;55.75;8;46.75;2;-0.5;9.0

8c;von Euw Lukas;;;;;;;;;;56.25
+;;;Baumann Reto;;;;;;;;10.0
-;1;10.0;Schmidiger Marco;*;13;55.0;4;8.75;3;-1.25;9.0
o;4;19.0;Schnider Markus;*;15;54.5;5;18.75;1;-0.25;8.5
+;9;27.5;Schmidiger Lukas (2004);;17;54.0;10;27.25;1;-0.25;10.0
o;7;37.5;Achermann Christoph;*;10;55.75;8;37.25;1;-0.25;8.75
+;10;46.25;Kurmann Jvo;;15;54.5;11;46.0;1;-0.25;10.0

8d;Troxler Jonas;*;;;;;;;;;56.25
-;;;Schürpf Bruno;*;;;;;;;9.0
+;3;9.0;Steinauer Kevin (2004);;14;54.75;1;10.0;-2;1.0;10.0
-;4;19.0;Schuler Alex;***;7;56.5;6;18.5;2;-0.5;8.75
+;8;27.75;Von Euw Adi;;11;55.5;5;28.5;-3;0.75;10.0
o;6;37.75;Steinauer Adrian;**;3;57.5;5;38.0;-1;0.25;8.75
+;9;46.5;Auf der Maur Alex;;11;55.5;8;46.75;-1;0.25;9.75

8e;Bürgi Reto;*;;;;;;;;;56.25
+;;;Kessler Joel;*;;;;;;;10.0
-;1;10.0;Kennel Beat;**;6;56.75;1;10.0;0;0.0;8.75
+;5;18.75;Suter Nicola (2005);;22;52.75;5;18.75;0;0.0;10.0
+;4;28.75;Fink Bruno;*;12;55.25;5;28.5;1;-0.25;10.0
o;2;38.75;Schuler Christian;***;1;59.5;1;39.5;-1;0.75;8.5
-;6;47.25;Suter Samuel;;10;55.75;7;47.0;1;-0.25;9.0

8f;Streiff Dominik;*;;;;;;;;;56.25
-;;;Graber Michael;*;;;;;;;8.75
+;4;8.75;Widmer Simon;;17;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Amrhyn Jonas (2003);;13;55.0;3;19.5;-2;0.75;9.75
-;5;28.5;Thierstein Marco;*;10;55.75;8;27.75;3;-0.75;9.0
+;7;37.5;Bissig Fabian;;8;56.25;5;38.0;-2;0.5;10.0
-;5;47.5;Durrer Jonas (2003);*;10;55.75;7;47.0;2;-0.5;8.75

8g;Bissig Fabian;;;;;;;;;;56.25
+;;;Stadler Simon;;;;;;;;9.75
o;2;9.75;Doppmann Urs;**;2;58.0;5;8.5;3;-1.25;8.5
+;7;18.25;Schuler Oliver;;11;55.5;6;18.5;-1;0.25;9.75
+;7;28.0;Ulrich Damian;;18;53.75;7;28.0;0;0.0;10.0
o;5;38.0;Streiff Dominik;*;8;56.25;7;37.5;2;-0.5;8.5
+;9;46.5;Schürpf Bruno;*;14;54.75;10;46.25;1;-0.25;9.75

8h;Arnold Marcel;*;;;;;;;;;56.25
+;;;Würsch Lars;*;;;;;;;10.0
+;1;10.0;Suter Lukas;;16;54.25;1;10.0;0;0.0;9.75
o;2;19.75;Nötzli Reto;***;9;56.0;4;19.0;2;-0.75;8.5
+;6;28.25;Wyrsch Gabriel;;12;55.25;7;28.0;1;-0.25;9.75
o;5;38.0;Omlin Toni;*;5;57.0;4;38.25;-1;0.25;8.5
+;9;46.5;Durrer Lukas;;12;55.25;9;46.5;0;0.0;9.75

9a;Barmettler Renato (2003);;;;;;;;;;56.0
+;;;Schuler Oliver;;;;;;;;9.75
-;2;9.75;Hegner Ueli;*;12;55.25;4;8.75;2;-1.0;9.0
-;5;18.75;Betschart Marcel;*;14;54.75;6;18.5;1;-0.25;9.0
+;8;27.75;Andermatt Reto;;17;54.0;10;27.25;2;-0.5;9.75
o;7;37.5;Bienz Romeo;*;8;56.25;8;37.25;1;-0.25;8.5
+;11;46.0;Ulrich Michael (2003);;14;54.75;11;46.0;0;0.0;10.0

9b;Kessler Joel;*;;;;;;;;;56.0
o;;;Bürgi Reto;*;;;;;;;8.5
+;5;8.5;Bissig Lukas (2003);;7;56.5;2;9.75;-3;1.25;10.0
+;6;18.5;Egli Kilian (2004);;20;53.25;6;18.5;0;0.0;10.0
-;5;28.5;Felder Martin;*;5;57.0;5;28.5;0;0.0;8.75
+;8;37.25;Durrer Markus;;15;54.5;8;37.25;0;0.0;10.0
-;6;47.25;Zürcher Ueli;*;11;55.5;8;46.75;2;-0.5;8.75

9c;Effinger Markus;*;;;;;;;;;56.0
-;;;Schmidiger Marco;*;;;;;;;9.0
o;3;9.0;Schwyzer Samuel;;3;57.5;1;10.0;-2;1.0;8.5
+;10;17.5;Odermatt Fabian (2005);;23;52.5;6;18.5;-4;1.0;10.0
+;9;27.5;Arnold Kilian;;16;54.25;7;28.0;-2;0.5;10.0
o;7;37.5;Schöpfer Ronny;**;4;57.25;8;37.25;1;-0.25;8.5
+;11;46.0;Felder Seppi;*;12;55.25;14;45.25;3;-0.75;10.0

9d;Nötzli Reto;***;;;;;;;;;56.0
+;;;Schöpfer Ronny;**;;;;;;;10.0
-;1;10.0;Heiniger Marco;**;4;57.25;1;10.0;0;0.0;9.0
+;4;19.0;Arnold Marcel;*;8;56.25;2;19.75;-2;0.75;9.75
+;4;28.75;Barmettler Peter;*;7;56.5;5;28.5;1;-0.25;10.0
o;2;38.75;Doppmann Urs;**;2;58.0;4;38.25;2;-0.5;8.5
-;6;47.25;Kurmann Toni;*;6;56.75;3;48.0;-3;0.75;8.75

9e;Waser Reto;*;;;;;;;;;56.0
+;;;Niederberger Markus;*;;;;;;;9.75
o;2;9.75;Bucher Thomas;*;4;57.25;1;10.0;-1;0.25;8.5
+;7;18.25;Suter Joel (2004);;17;54.0;6;18.5;-1;0.25;10.0
-;6;28.25;Durrer Lukas;;12;55.25;5;28.5;-1;0.25;9.0
o;8;37.25;Elmiger Andreas;;4;57.25;7;37.5;-1;0.25;8.75
+;11;46.0;Schöpfer Marco (2003);;12;55.25;8;46.75;-3;0.75;10.0

10a;Achermann Christoph;*;;;;;;;;;55.75
+;;;Schuler Daniel;*;;;;;;;9.75
o;2;9.75;Schuler Alex;***;7;56.5;4;8.75;2;-1.0;8.5
-;7;18.25;Walker Jan (2004);;15;54.5;6;18.5;-1;0.25;9.0
+;10;27.25;Schnellmann Alexander (2004);;13;55.0;6;28.25;-4;1.0;10.0
+;8;37.25;von Euw Lukas;;8;56.25;7;37.5;-1;0.25;9.75
o;7;47.0;Barmettler Peter;*;7;56.5;8;46.75;1;-0.25;8.75

10b;Gut Koni;;;;;;;;;;55.75
-;;;Lustenberger Josef;;;;;;;;8.75
+;4;8.75;Camenzind Simon (2004);;29;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Wyrsch Marco;**;17;54.0;9;17.75;4;-1.0;8.5
+;10;27.25;Roner Remo;;17;54.0;10;27.25;0;0.0;10.0
o;8;37.25;Fink Bruno;*;12;55.25;9;37.0;1;-0.25;8.5
+;12;45.75;Arnold Kilian;;16;54.25;13;45.5;1;-0.25;10.0

10c;Thierstein Marco;*;;;;;;;;;55.75
-;;;Kenel Franz-Toni;*;;;;;;;8.75
-;4;8.75;Ulrich Michael (2003);;14;54.75;2;9.75;-2;1.0;9.0
+;9;17.75;Beffa Mario;;11;55.5;5;18.75;-4;1.0;10.0
-;8;27.75;Streiff Dominik;*;8;56.25;5;28.5;-3;0.75;9.0
+;10;36.75;Suter Michael;;17;54.0;9;37.0;-1;0.25;10.0
-;8;46.75;Bienz Romeo;*;8;56.25;6;47.25;-2;0.5;9.0

10d;Appert Silvan (2003);;;;;;;;;;55.75
-;;;Schwyzer Sebastian (2004);;;;;;;;9.0
+;3;9.0;Gisler Silvan;;18;53.75;4;8.75;1;-0.25;10.0
o;4;19.0;Zurfluh Michael;*;11;55.5;7;18.25;3;-0.75;8.75
+;8;27.75;Amrhyn Jonas (2003);;13;55.0;7;28.0;-1;0.25;9.75
o;7;37.5;Barmettler Peter;*;7;56.5;9;37.0;2;-0.5;8.5
+;11;46.0;Suter Lukas;;16;54.25;12;45.75;1;-0.25;9.75

10e;Schaller Noah;;;;;;;;;;55.75
+;;;Auf der Maur Alex;;;;;;;;10.0
-;1;10.0;Wyrsch Marco;**;17;54.0;4;8.75;3;-1.25;9.0
o;4;19.0;Bucher Roland;*;5;57.0;6;18.5;2;-0.5;8.5
+;9;27.5;Betschart Daniel;;15;54.5;9;27.5;0;0.0;9.75
-;8;37.25;Lüthy Ralph;;10;55.75;9;37.0;1;-0.25;8.75
+;11;46.0;Steinauer Kevin (2004);;14;54.75;10;46.25;-1;0.25;9.75

10f;Schmid Simon;*;;;;;;;;;55.75
-;;;Keller Janik;*;;;;;;;8.75
+;4;8.75;Heinzer Lukas (2004);;12;55.25;1;10.0;-3;1.25;9.75
+;6;18.5;Blumenthal Lino;;11;55.5;6;18.5;0;0.0;10.0
o;5;28.5;Omlin Toni;*;5;57.0;5;28.5;0;0.0;8.75
o;8;37.25;Hess Michael;*;11;55.5;8;37.25;0;0.0;8.5
+;12;45.75;Rohrer Marco;;15;54.5;11;46.0;-1;0.25;10.0

10g;Suter Samuel;;;;;;;;;;55.75
+;;;Lustenberger Tim (2005);;;;;;;;10.0
o;1;10.0;Arnold Raphael;**;4;57.25;4;8.75;3;-1.25;8.75
o;5;18.75;Felder Seppi;*;12;55.25;6;18.5;1;-0.25;8.5
+;10;27.25;Rogenmoser Linus;;14;54.75;9;27.5;-1;0.25;10.0
+;8;37.25;Bühler Kilian;;10;55.75;7;37.5;-1;0.25;9.75
-;7;47.0;Bürgi Reto;*;8;56.25;6;47.25;-1;0.25;8.75

10h;Durrer Jonas (2003);*;;;;;;;;;55.75
+;;;Betschart Marcel;*;;;;;;;10.0
-;1;10.0;Ulrich Marco;**;8;56.25;1;10.0;0;0.0;8.75
-;5;18.75;Lagler Christian;;6;56.75;2;19.75;-3;1.0;8.75
+;9;27.5;Forster Christian;;11;55.5;5;28.5;-4;1.0;9.75
+;8;37.25;Birchler Fabian;;10;55.75;8;37.25;0;0.0;9.75
-;7;47.0;Streiff Dominik;*;8;56.25;5;47.5;-2;0.5;8.75

10i;Bühler Kilian;;;;;;;;;;55.75
+;;;Rohrer Michael;;;;;;;;10.0
+;1;10.0;Blaser Theo;*;32;17.5;4;8.75;3;-1.25;10.0
-;1;20.0;Ulrich Marco;**;8;56.25;5;18.75;4;-1.25;9.0
o;3;29.0;Christen Silvan;;13;55.0;6;28.25;3;-0.75;8.5
o;7;37.5;Suter Samuel;;10;55.75;8;37.25;1;-0.25;8.5
+;11;46.0;Steiner Severin;;14;54.75;11;46.0;0;0.0;9.75

10j;Kenel Franz-Toni;*;;;;;;;;;55.75
-;;;Thierstein Marco;*;;;;;;;8.75
+;4;8.75;Kathriner Andreas (2003);;25;35.25;2;9.75;-2;1.0;10.0
-;5;18.75;Schwyzer Samuel;;3;57.5;1;20.0;-4;1.25;8.75
+;9;27.5;Hodler Mathias;;18;53.75;6;28.25;-3;0.75;10.0
o;7;37.5;Kurmann Toni;*;6;56.75;5;38.0;-2;0.5;8.5
+;11;46.0;Felder Ivan (2004);;14;54.75;10;46.25;-1;0.25;9.75

10k;Lüthy Ralph;;;;;;;;;;55.75
+;;;Hodler Mathias;;;;;;;;10.0
o;1;10.0;Graber Michael;*;11;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Vogel Manuel;;12;55.25;6;18.5;0;0.0;10.0
o;5;28.5;Doppmann Urs;**;2;58.0;6;28.25;1;-0.25;8.5
-;9;37.0;Schaller Noah;;10;55.75;8;37.25;-1;0.25;8.75
+;12;45.75;Suter Joel (2004);;17;54.0;13;45.5;1;-0.25;10.0

10l;Birchler Fabian;;;;;;;;;;55.75
o;;;Scherrer Patrick;;;;;;;;8.5
+;5;8.5;Krauer Andri (2005);;25;35.25;5;8.5;0;0.0;10.0
-;6;18.5;Schmidiger Marco;*;13;55.0;9;17.75;3;-0.75;8.75
+;10;27.25;Lustenberger Tim (2005);;16;54.25;10;27.25;0;0.0;10.0
o;8;37.25;Durrer Jonas (2003);*;10;55.75;8;37.25;0;0.0;8.5
+;12;45.75;Roner Remo;;17;54.0;13;45.5;1;-0.25;10.0

11a;Zurfluh Michael;*;;;;;;;;;55.5
o;;;Kälin Roland;**;;;;;;;8.5
+;5;8.5;Andermatt Reto;;17;54.0;1;10.0;-4;1.5;9.75
+;7;18.25;Appert Silvan (2003);;10;55.75;4;19.0;-3;0.75;10.0
