3052-2017-07-16_Fete_Romande2-ST

7b;Ambresin Cyril (1999);;;;;;;;;;56.5
+;;;Ledermann Michael (2000);;;;;;;;10.0
o;1;10.0;Emonet Frédéric;*;6;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Quiot Didier;;21;52.5;6;18.5;0;0.0;9.75
+;4;28.25;Schafer Damien;*;9;55.75;8;27.25;4;-1.0;9.75
o;4;38.0;Zosso Remo;**;10;55.5;7;37.0;3;-1.0;8.5
+;8;46.5;Schöpfer Dio;**;17;53.75;13;45.25;5;-1.25;10.0

7c;Minder Florian;*;;;;;;;;;56.5
+;;;Barras David;*;;;;;;;9.75
+;2;9.75;Roch Vincent;**;10;55.5;5;8.5;3;-1.25;10.0
o;2;19.75;Nötzli Reto;***;1;58.25;5;18.75;3;-1.0;8.5
+;4;28.25;Fankhauser Hans (2001);;16;54.0;3;28.5;-1;0.25;10.0
o;3;38.25;Borcard Johann;**;4;57.25;2;38.5;-1;0.25;8.5
+;7;46.75;Balimann Fabian;;11;55.25;7;46.75;0;0.0;9.75

8a;Maridor Loïc;;;;;;;;;;56.0
o;;;Kramer Dorian (1999);;;;;;;;8.5
+;5;8.5;Gauch Thierry;;15;54.25;5;8.5;0;0.0;9.75
+;7;18.25;Pürro Tobias;;18;53.5;7;18.25;0;0.0;9.75
o;5;28.0;Ducry Antoine;*;10;55.5;8;27.25;3;-0.75;8.5
+;9;36.5;Dubey Gaël;;15;54.25;10;36.0;1;-0.5;9.75
+;9;46.25;Loup Grégoire (2000);;13;54.75;9;46.25;0;0.0;9.75

9a;Colò Kilian (1999);;;;;;;;;;55.75
o;;;Rapin Florent;;;;;;;;8.5
+;5;8.5;Tchedre Abdourahaman;;21;52.5;5;8.5;0;0.0;10.0
-;6;18.5;Ducry Antoine;*;10;55.5;6;18.5;0;0.0;8.75
-;8;27.25;Dubey Gaël;;15;54.25;8;27.25;0;0.0;8.75
+;10;36.0;Pellet Adrian;;13;54.75;9;36.5;-1;0.5;9.75
+;11;45.75;Von Niederhäusern Martin;;15;54.25;11;45.75;0;0.0;10.0

9b;Emonet Fabien;**;;;;;;;;;55.75
o;;;Dousse Michel;**;;;;;;;8.5
+;5;8.5;Jeannin Jess (2000);;15;54.25;1;10.0;-4;1.5;10.0
-;6;18.5;Schafer Damien;*;9;55.75;6;18.5;0;0.0;8.75
+;8;27.25;Stübe Mario;;12;55.0;5;28.0;-3;0.75;10.0
o;6;37.25;Hofer Sven;*;10;55.5;7;37.0;1;-0.25;8.5
+;11;45.75;Erb Vincent (1999);;12;55.0;8;46.5;-3;0.75;10.0

9c;Bersier Jean-Jacques;*;;;;;;;;;55.75
-;;;Cropt Harald;**;;;;;;;8.75
+;4;8.75;Cressier Gaetan;;11;55.25;1;10.0;-3;1.25;9.75
-;6;18.5;Dubey Gaël;;15;54.25;6;18.5;0;0.0;8.75
+;8;27.25;Quartenoud Samuel;;17;53.75;9;27.0;1;-0.25;10.0
o;6;37.25;Brodard Simon;**;10;55.5;7;37.0;1;-0.25;8.5
+;11;45.75;Fuchs Yannick;;12;55.0;8;46.5;-3;0.75;10.0

9d;Mosimann Vincent;*;;;;;;;;;55.75
+;;;Gottofrey Luc;*;;;;;;;9.75
o;2;9.75;Kramer Lario;**;5;57.0;4;8.75;2;-1.0;8.5
-;7;18.25;Loup Grégoire (2000);;13;54.75;5;18.75;-2;0.5;9.0
+;8;27.25;Kramer Dorian (1999);;14;54.5;4;28.25;-4;1.0;9.75
+;7;37.0;Schöpfer Dio;**;17;53.75;8;36.75;1;-0.25;10.0
-;6;47.0;Berset Julien;*;9;55.75;6;47.0;0;0.0;8.75

9e;Gottofrey Marc;**;;;;;;;;;55.75
o;;;Ulrich Andreas;***;;;;;;;8.5
+;5;8.5;Kyburz Silas;;10;55.5;1;10.0;-4;1.5;9.75
+;7;18.25;Loup Alexandre;*;10;55.5;6;18.5;-1;0.25;10.0
+;4;28.25;Vonlanthen Alexandre;;12;55.0;4;28.25;0;0.0;9.75
-;4;38.0;Bieri Christoph;***;4;57.25;3;38.25;-1;0.25;9.0
o;6;47.0;Emonet Frédéric;*;6;56.75;7;46.75;1;-0.25;8.75

9f;Berset Julien;*;;;;;;;;;55.75
