3486-2016-07-10_Rigi_Schwing-_und_Aelplerfest-ST

1a;Sempach Matthias;***;;;;;;;;;58.5
+;2;9.75;Steinauer Adrian;**;12;55.25;5;8.5;3;-1.25;9.75
-;3;19.5;Schelbert Ralf;**;11;55.5;5;18.75;2;-0.75;8.75
-;6;28.25;Schärli Pius;*;16;54.25;10;27.25;4;-1.0;8.75
o;10;37.0;Suppiger René;**;12;55.25;10;37.0;0;0.0;8.5
o;11;45.5;Müller Michael;**;10;55.75;10;45.75;-1;0.25;8.5

17e;Wyrsch Marco;*;;;;;;;;;54.0
+;;;Steffen Gustav;*;;;;;;;9.75
o;2;9.75;Käser Remo;**;7;56.5;2;9.75;0;0.0;8.5
o;7;18.25;Reichmuth Armin;*;15;54.5;6;18.5;-1;0.25;8.5
o;12;26.75;Wampfler Beat;***;15;54.5;13;26.25;1;-0.5;8.5
-;17;35.25;Blaser Theo;*;16;54.25;16;35.5;-1;0.25;8.75
+;16;44.0;Mosimann Vincent;*;22;52.25;17;43.75;1;-0.25;10.0

18a;Droxler Jonathan;**;;;;;;;;;53.75
o;;;Bürli Roger;**;;;;;;;8.5
o;5;8.5;Gwerder Dario;**;16;54.25;4;8.75;-1;0.25;8.5
+;12;17.0;Baumann Roger;*;17;54.0;12;17.0;0;0.0;10.0
o;11;27.0;Grab Martin;***;12;55.25;11;27.0;0;0.0;8.5
o;16;35.5;Waser Dominik;**;16;54.25;15;35.75;-1;0.25;8.5
+;16;44.0;Hess Dominik;*;22;52.25;17;43.75;1;-0.25;9.75

18b;Arnold Raphael;*;;;;;;;;;53.75
-;;;Felder Seppi;*;;;;;;;8.75
o;4;8.75;Reusser Philipp;**;13;55.0;3;9.0;-1;0.25;8.5
+;11;17.25;Brodard Augustin;**;27;34.75;10;17.5;-1;0.25;9.75
o;11;27.0;Wüthrich Niklaus;**;12;55.25;11;27.0;0;0.0;8.5
o;16;35.5;Wyss Kilian;**;16;54.25;15;35.75;-1;0.25;8.5
+;16;44.0;Kälin Remo;*;21;52.75;15;44.25;-1;0.25;9.75

18c;Aellen Florian;*;;;;;;;;;53.75
+;;;Hess Dominik;*;;;;;;;10.0
o;1;10.0;Schelbert Ralf;**;11;55.5;3;9.0;2;-1.0;8.5
+;6;18.5;Kälin Remo;*;21;52.75;6;18.5;0;0.0;9.75
o;6;28.25;Schurtenberger Sven;**;9;56.0;8;27.75;2;-0.5;8.5
o;11;36.75;Betschart Rainer;**;6;56.75;10;37.0;-1;0.25;8.5
o;12;45.25;Lang Sven (1998);*;13;55.0;12;45.25;0;0.0;8.5

18d;Niederberger Markus;*;;;;;;;;;53.75
o;;;Kälin Remo;*;;;;;;;8.5
+;5;8.5;Mosimann Vincent;*;22;52.25;5;8.5;0;0.0;9.75
o;7;18.25;Müller Michael;**;10;55.75;5;18.75;-2;0.5;8.5
o;12;26.75;Schuler Alex;**;7;56.5;11;27.0;-1;0.25;8.5
o;17;35.25;Heiniger Marco;*;16;54.25;16;35.5;-1;0.25;8.5
+;17;43.75;Overney Olivier;*;20;53.0;14;44.5;-3;0.75;10.0

19a;Borcard Johann;**;;;;;;;;;53.5
+;;;Küttel Pirmin;**;;;;;;;9.75
-;2;9.75;Zimmermann Martin;**;24;35.5;3;9.0;1;-0.75;9.0
o;5;18.75;Kennel Stefan;**;13;55.0;6;18.5;1;-0.25;8.75
-;9;27.5;Kälin Remo;*;21;52.75;11;27.0;2;-0.5;8.75
-;13;36.25;Bieri Christian;**;19;53.5;14;36.0;1;-0.25;8.75
o;13;45.0;Kempf Elias;**;15;54.5;14;44.5;1;-0.5;8.5

19b;Emonet Frédéric;*;;;;;;;;;53.5
+;;;Ambühl Joel (1998);*;;;;;;;9.75
o;2;9.75;Fankhauser Erich;***;4;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Bürgler Lukas;*;25;35.25;7;18.25;0;0.0;9.75
o;7;28.0;Schuler Philipp;**;11;55.5;6;28.25;-1;0.25;8.5
o;12;36.5;Felder Seppi;*;12;55.25;10;37.0;-2;0.5;8.5
o;13;45.0;Kennel Beat;*;13;55.0;13;45.0;0;0.0;8.5

19c;Bieri Christian;**;;;;;;;;;53.5
o;;;Dind Samuel;**;;;;;;;8.5
-;5;8.5;Wyss Kilian;**;16;54.25;5;8.5;0;0.0;8.75
+;11;17.25;Glauser Thomas;**;28;34.5;11;17.25;0;0.0;9.75
-;11;27.0;Reusser Philipp;**;13;55.0;9;27.5;-2;0.5;9.0
-;14;36.0;Borcard Johann;**;19;53.5;13;36.25;-1;0.25;9.0
o;13;45.0;Steffen Gustav;*;12;55.25;12;45.25;-1;0.25;8.5

20a;Bloch Dominic;**;;;;;;;;;53.0
-;;;Höfliger Andreas;**;;;;;;;8.75
-;4;8.75;Vogel Remo;**;13;55.0;4;8.75;0;0.0;8.75
o;10;17.5;Schurtenberger Sven;**;9;56.0;9;17.75;-1;0.25;8.5
+;14;26.0;Murer Andy;*;28;34.5;14;26.0;0;0.0;10.0
o;14;36.0;Schärli Pius;*;16;54.25;14;36.0;0;0.0;8.5
o;14;44.5;Blaser Theo;*;16;54.25;15;44.25;1;-0.25;8.5

20b;Overney Olivier;*;;;;;;;;;53.0
-;;;Heiniger Marco;*;;;;;;;8.75
o;4;8.75;Schuler Philipp;**;11;55.5;5;8.5;1;-0.25;8.5
-;11;17.25;Murer Andy;*;28;34.5;11;17.25;0;0.0;8.75
+;14;26.0;Dober Adrian;**;27;34.75;13;26.25;-1;0.25;10.0
o;14;36.0;Schelbert Ralf;**;11;55.5;14;36.0;0;0.0;8.5
o;14;44.5;Niederberger Markus;*;18;53.75;17;43.75;3;-0.75;8.5

21a;Kälin Remo;*;;;;;;;;;52.75
+;;;Niederberger Markus;*;;;;;;;10.0
o;1;10.0;Wenger Kilian;***;4;57.25;4;8.75;3;-1.25;8.5
o;6;18.5;Aellen Florian;*;18;53.75;6;18.5;0;0.0;8.5
-;11;27.0;Borcard Johann;**;19;53.5;9;27.5;-2;0.5;8.75
o;15;35.75;Schenk Patrick;**;14;54.75;14;36.0;-1;0.25;8.5
o;15;44.25;Arnold Raphael;*;18;53.75;16;44.0;1;-0.25;8.5

22a;Hess Dominik;*;;;;;;;;;52.25
o;;;Aellen Florian;*;;;;;;;8.5
o;5;8.5;Steffen Gustav;*;12;55.25;5;8.5;0;0.0;8.5
+;12;17.0;Mosimann Vincent;*;22;52.25;12;17.0;0;0.0;9.75
o;12;26.75;Betschart Rainer;**;6;56.75;11;27.0;-1;0.25;8.5
o;17;35.25;Gwerder Dario;**;16;54.25;16;35.5;-1;0.25;8.5
o;17;43.75;Droxler Jonathan;**;18;53.75;16;44.0;-1;0.25;8.5

22b;Mosimann Vincent;*;;;;;;;;;52.25
o;;;Reichmuth Armin;*;;;;;;;8.5
o;5;8.5;Niederberger Markus;*;18;53.75;5;8.5;0;0.0;8.5
o;12;17.0;Hess Dominik;*;22;52.25;12;17.0;0;0.0;8.5
+;16;25.5;Amgarten Roman;*;30;34.0;16;25.5;0;0.0;9.75
o;17;35.25;Baumann Roger;*;17;54.0;17;35.25;0;0.0;8.5
o;17;43.75;Wyrsch Marco;*;17;54.0;16;44.0;-1;0.25;8.5

23a;Hurschler Thomas;**;;;;;;;;;44.25
o;;;Thomet Adrian;**;;;;;;;8.5
+;5;8.5;Studer Stefan;**;27;34.75;4;8.75;-1;0.25;10.0
o;6;18.5;Kämpf Bernhard;***;4;57.25;4;19.0;-2;0.5;8.5
-;11;27.0;Küttel Pirmin;**;26;35.0;13;26.25;2;-0.75;8.75
o;15;35.75;Wampfler Beat;***;15;54.5;14;36.0;-1;0.25;8.5

24a;Zimmermann Martin;**;;;;;;;;;35.5
-;;;Reusser Philipp;**;;;;;;;9.0
-;3;9.0;Borcard Johann;**;19;53.5;2;9.75;-1;0.75;9.0
-;8;18.0;Waser Dominik;**;16;54.25;11;17.25;3;-0.75;8.75
-;12;26.75;Gwerder Carlo;**;26;35.0;13;26.25;1;-0.5;8.75

24b;Dind Samuel;**;;;;;;;;;35.5
+;;;Bieri Christian;**;;;;;;;9.75
o;2;9.75;Grab Martin;***;12;55.25;5;8.5;3;-1.25;8.5
-;7;18.25;Schärli Pius;*;16;54.25;6;18.5;-1;0.25;8.75
o;11;27.0;Suppiger René;**;12;55.25;11;27.0;0;0.0;8.5

25a;Bürgler Lukas;*;;;;;;;;;35.25
+;;;Lerch Jimmy;*;;;;;;;9.75
o;2;9.75;Nydegger Michael;***;15;54.5;5;8.5;3;-1.25;8.5
o;7;18.25;Emonet Frédéric;*;19;53.5;7;18.25;0;0.0;8.5
o;12;26.75;Kempf Elias;**;15;54.5;13;26.25;1;-0.5;8.5

25b;Waser Reto;*;;;;;;;;;35.25
+;;;Amgarten Roman;*;;;;;;;9.75
o;2;9.75;Kämpf Bernhard;***;4;57.25;3;9.0;1;-0.75;8.5
o;7;18.25;Moser Michael;**;11;55.5;6;18.5;-1;0.25;8.5
o;12;26.75;Bürli Roger;**;11;55.5;11;27.0;-1;0.25;8.5

26a;Kämpf Alexander;**;;;;;;;;;35.0
-;;;Murer Andy;*;;;;;;;8.75
-;4;8.75;Suppiger René;**;12;55.25;5;8.5;1;-0.25;8.75
-;10;17.5;Küttel Pirmin;**;26;35.0;11;17.25;1;-0.25;8.75
-;13;26.25;Odermatt Andreas;*;27;34.75;14;26.0;1;-0.25;8.75

26b;Gwerder Carlo;**;;;;;;;;;35.0
-;;;Weyermann Florian;*;;;;;;;8.75
-;4;8.75;Dober Adrian;**;27;34.75;4;8.75;0;0.0;8.75
-;10;17.5;Studer Stefan;**;27;34.75;11;17.25;1;-0.25;8.75
-;13;26.25;Zimmermann Martin;**;24;35.5;12;26.75;-1;0.5;8.75

26c;Küttel Pirmin;**;;;;;;;;;35.0
o;;;Borcard Johann;**;;;;;;;8.75
o;4;8.75;Weyermann Florian;*;10;55.75;4;8.75;0;0.0;8.5
-;11;17.25;Kämpf Alexander;**;26;35.0;10;17.5;-1;0.25;9.0
-;13;26.25;Hurschler Thomas;**;23;44.25;11;27.0;-2;0.75;8.75

27a;Odermatt Andreas;*;;;;;;;;;34.75
-;;;Heinzer Stefan;*;;;;;;;8.75
-;4;8.75;Gloggner Reto;**;27;34.75;5;8.5;1;-0.25;8.75
o;10;17.5;Steinauer Adrian;**;12;55.25;12;17.0;2;-0.5;8.5
-;14;26.0;Kämpf Alexander;**;26;35.0;13;26.25;-1;0.25;8.75

27b;Brodard Augustin;**;;;;;;;;;34.75
-;;;Dober Adrian;**;;;;;;;8.75
-;4;8.75;Kempf Elias;**;15;54.5;4;8.75;0;0.0;8.75
o;10;17.5;Arnold Raphael;*;18;53.75;11;17.25;1;-0.25;8.5
-;14;26.0;Waser Dominik;**;16;54.25;14;26.0;0;0.0;8.75

27c;Höfliger Andreas;**;;;;;;;;;34.75
-;;;Bloch Dominic;**;;;;;;;8.75
o;4;8.75;Aeschbacher Matthias;**;6;56.75;4;8.75;0;0.0;8.5
-;11;17.25;Haenni Stéphane;**;27;34.75;10;17.5;-1;0.25;8.75
-;14;26.0;Gloggner Reto;**;27;34.75;14;26.0;0;0.0;8.75

27d;Dober Adrian;**;;;;;;;;;34.75
-;;;Brodard Augustin;**;;;;;;;8.75
-;4;8.75;Gwerder Carlo;**;26;35.0;4;8.75;0;0.0;8.75
-;10;17.5;Schenk Patrick;**;14;54.75;11;17.25;1;-0.25;8.75
o;13;26.25;Overney Olivier;*;20;53.0;14;26.0;1;-0.25;8.5

27e;Gloggner Reto;**;;;;;;;;;34.75
o;;;Roschi Ruedi;**;;;;;;;8.5
-;5;8.5;Odermatt Andreas;*;27;34.75;4;8.75;-1;0.25;8.75
-;11;17.25;Betschart Rainer;**;6;56.75;7;18.25;-4;1.0;8.75
-;14;26.0;Höfliger Andreas;**;27;34.75;14;26.0;0;0.0;8.75

27f;Haenni Stéphane;**;;;;;;;;;34.75
o;;;Kennel Beat;*;;;;;;;8.75
-;4;8.75;Blaser Theo;*;16;54.25;5;8.5;1;-0.25;8.75
-;10;17.5;Höfliger Andreas;**;27;34.75;11;17.25;1;-0.25;8.75
o;13;26.25;Waser Dominik;**;16;54.25;14;26.0;1;-0.25;8.5

27g;Studer Stefan;**;;;;;;;;;34.75
-;;;Brun Jonas;**;;;;;;;8.75
o;4;8.75;Hurschler Thomas;**;23;44.25;5;8.5;1;-0.25;8.5
-;11;17.25;Gwerder Carlo;**;26;35.0;10;17.5;-1;0.25;9.0
o;13;26.25;Rohrer Ivan;**;12;55.25;11;27.0;-2;0.75;8.5

28a;Murer Andy;*;;;;;;;;;34.5
-;;;Kämpf Alexander;**;;;;;;;8.75
o;4;8.75;Gerber Christian;**;11;55.5;5;8.5;1;-0.25;8.5
-;11;17.25;Overney Olivier;*;20;53.0;11;17.25;0;0.0;8.75
o;14;26.0;Bloch Dominic;**;20;53.0;14;26.0;0;0.0;8.5

28b;Glauser Thomas;**;;;;;;;;;34.5
-;;;Kempf Elias;**;;;;;;;8.75
o;4;8.75;Rohrer Ivan;**;12;55.25;4;8.75;0;0.0;8.5
o;11;17.25;Bieri Christian;**;19;53.5;11;17.25;0;0.0;8.5
o;15;25.75;Blaser Theo;*;16;54.25;15;25.75;0;0.0;8.75

29a;Imfeld Peter;***;;;;;;;;;34.25
-;;;Wampfler Beat;***;;;;;;;8.75
o;4;8.75;Gapany Benjamin;**;8;56.25;2;9.75;-2;1.0;8.5
o;11;17.25;Weyermann Florian;*;10;55.75;6;18.5;-5;1.25;8.5
o;15;25.75;Schenk Patrick;**;14;54.75;14;26.0;-1;0.25;8.5

30a;Amgarten Roman;*;;;;;;;;;34.0
o;;;Waser Reto;*;;;;;;;8.5
o;5;8.5;Müller Michael;**;10;55.75;4;8.75;-1;0.25;8.5
o;12;17.0;Guisolan Marc;**;17;54.0;11;17.25;-1;0.25;8.5
o;16;25.5;Mosimann Vincent;*;22;52.25;16;25.5;0;0.0;8.5

30b;Lerch Jimmy;*;;;;;;;;;34.0
o;;;Bürgler Lukas;*;;;;;;;8.5
o;5;8.5;Schärli Pius;*;16;54.25;5;8.5;0;0.0;8.5
o;12;17.0;Heiniger Marco;*;16;54.25;11;17.25;-1;0.25;8.5
o;16;25.5;Baumann Roger;*;17;54.0;16;25.5;0;0.0;8.5

31a;Heinzer Stefan;*;;;;;;;;;26.0
-;;;Odermatt Andreas;*;;;;;;;9.0
o;3;9.0;Brun Jonas;**;10;55.75;4;8.75;1;-0.25;8.5
o;10;17.5;Vogel Remo;**;13;55.0;10;17.5;0;0.0;8.5

31b;Gloggner Philipp;***;;;;;;;;;26.0
o;;;Stucki Christian;***;;;;;;;8.5
-;5;8.5;Wüthrich Niklaus;**;12;55.25;2;9.75;-3;1.25;8.75
o;11;17.25;Steffen Gustav;*;12;55.25;7;18.25;-4;1.0;8.75

32a;Ambühl Joel (1998);*;;;;;;;;;8.5
o;;;Emonet Frédéric;*;;;;;;;8.5

