3486-2016-07-10_Rigi_Schwing-_und_Aelplerfest-ST

1a;Sempach Matthias;***;;;;;;;;;58.5
-;;;Fankhauser Erich;***;;;;;;;9.0
+;3;9.0;Waser Reto;*;25;35.25;2;9.75;-1;0.75;10.0
+;4;19.0;Hurschler Thomas;**;23;44.25;6;18.5;2;-0.5;10.0
+;3;29.0;Thomet Adrian;**;17;54.0;5;28.5;2;-0.5;9.75
-;3;38.75;Gnägi Florian;***;4;57.25;3;38.75;0;0.0;8.75
+;4;47.5;Schurtenberger Sven;**;9;56.0;4;47.5;0;0.0;9.75

4e;Stucki Christian;***;;;;;;;;;57.25
+;;;Gloggner Philipp;***;;;;;;;10.0
+;1;10.0;Kennel Beat;*;13;55.0;2;9.75;1;-0.25;10.0
+;1;20.0;Käser Remo;**;7;56.5;2;19.75;1;-0.25;9.75
-;2;29.75;Sempach Matthias;***;1;58.5;1;30.0;-1;0.25;8.75
+;4;38.5;Gerber Christian;**;11;55.5;4;38.5;0;0.0;10.0
o;1;48.5;Sempach Matthias;***;1;58.5;1;48.5;0;0.0;8.75

5a;Nötzli Reto;***;;;;;;;;;57.0
o;;;Sempach Thomas;***;;;;;;;8.5
+;5;8.5;Thomet Adrian;**;17;54.0;1;10.0;-4;1.5;10.0
+;6;18.5;Nydegger Michael;***;15;54.5;6;18.5;0;0.0;9.75
+;6;28.25;Moser Michael;**;11;55.5;5;28.5;-1;0.25;10.0
+;5;38.25;Käser Remo;**;7;56.5;6;38.0;1;-0.25;10.0
o;2;48.25;Anderegg Simon;***;2;58.0;2;48.25;0;0.0;8.75

6a;Aeschbacher Matthias;**;;;;;;;;;56.75
-;;;Waser Dominik;**;;;;;;;8.75
+;4;8.75;Höfliger Andreas;**;27;34.75;4;8.75;0;0.0;10.0
+;5;18.75;Felder Seppi;*;12;55.25;5;18.75;0;0.0;10.0
o;4;28.75;Gnägi Florian;***;4;57.25;4;28.75;0;0.0;8.5
+;9;37.25;Lang Sven (1998);*;13;55.0;11;36.75;2;-0.5;9.75
+;6;47.0;Grab Martin;***;12;55.25;7;46.75;1;-0.25;9.75

6b;Betschart Rainer;**;;;;;;;;;56.75
+;;;Nydegger Michael;***;;;;;;;9.75
o;2;9.75;Sempach Matthias;***;1;58.5;1;10.0;-1;0.25;8.5
-;7;18.25;Gloggner Reto;**;27;34.75;11;17.25;4;-1.0;8.75
+;11;27.0;Hess Dominik;*;22;52.25;12;26.75;1;-0.25;10.0
+;10;37.0;Aellen Florian;*;18;53.75;11;36.75;1;-0.25;10.0
+;6;47.0;Gerber Christian;**;11;55.5;6;47.0;0;0.0;9.75

7a;Schuler Alex;**;;;;;;;;;56.5
o;;;Käser Remo;**;;;;;;;8.5
+;5;8.5;Schenk Patrick;**;14;54.75;4;8.75;-1;0.25;9.75
-;7;18.25;Wenger Kilian;***;4;57.25;6;18.5;-1;0.25;8.75
+;11;27.0;Niederberger Markus;*;18;53.75;12;26.75;1;-0.25;10.0
+;10;37.0;Guisolan Marc;**;17;54.0;11;36.75;1;-0.25;9.75
+;7;46.75;Felder Seppi;*;12;55.25;7;46.75;0;0.0;9.75

7b;Käser Remo;**;;;;;;;;;56.5
+;;;Schuler Alex;**;;;;;;;9.75
+;2;9.75;Wyrsch Marco;*;17;54.0;2;9.75;0;0.0;10.0
o;2;19.75;Stucki Christian;***;4;57.25;1;20.0;-1;0.25;8.5
+;6;28.25;Kennel Stefan;**;13;55.0;6;28.25;0;0.0;9.75
o;6;38.0;Nötzli Reto;***;5;57.0;5;38.25;-1;0.25;8.75
+;7;46.75;Rohrer Ivan;**;12;55.25;7;46.75;0;0.0;9.75

