5141-2022-05-29_107_St_Galler_Kantonalschwingfest-ST

1a;Koller Silvan;*;;;;;;;;;108.75
o;2;10.0;Schnurrenberger Roman;**;12;55.75;5;8.75;3;-1.25;8.75
+;6;18.75;Mathys Stefan (2005);;23;53.0;7;18.5;1;-0.25;10.0
+;5;28.75;Koller Fabian;*;13;55.5;6;28.5;1;-0.25;10.0
o;4;38.75;Ott Damian;**;3;58.25;6;38.25;2;-0.5;8.5
o;8;47.25;Bleiker Ueli (2004);;8;56.75;10;46.75;2;-0.5;8.5

12g;Fuster Sepp;*;;;;;;;;;55.75
+;;;Wild Thomas;*;;;;;;;9.75
o;3;9.75;Signer Andy;*;8;56.75;3;9.75;0;0.0;8.75
+;7;18.5;Bleiker Toni (2006);;25;52.5;7;18.5;0;0.0;10.0
o;6;28.5;Mettler Valentin;*;7;57.0;5;28.75;-1;0.25;8.5
+;11;37.0;Wildhaber Jannik;;16;54.75;10;37.25;-1;0.25;10.0
o;9;47.0;Gmür Pirmin;**;8;56.75;9;47.0;0;0.0;8.75

12h;Lenherr Jonas (2005);;;;;;;;;;55.75
+;;;Brand Andreas;;;;;;;;10.0
o;2;10.0;Burch Dean;*;8;56.75;5;8.75;3;-1.25;8.5
+;7;18.5;Furrer Damian;;28;35.25;8;18.25;1;-0.25;10.0
o;6;28.5;Oettli Silvio;**;9;56.5;8;28.0;2;-0.5;8.75
o;10;37.25;Müller Josias (2006);;13;55.5;11;37.0;1;-0.25;8.5
+;14;45.75;Mock Ramon (2006);;20;53.75;16;45.25;2;-0.5;10.0

12i;Schnurrenberger Roman;**;;;;;;;;;55.75
o;;;Signer Andy;*;;;;;;;8.75
+;5;8.75;Raschle Urban;;12;55.75;2;10.0;-3;1.25;10.0
+;6;18.75;Bollhalder Manuel;*;7;57.0;2;20.0;-4;1.25;9.75
-;6;28.5;Burkhalter Stefan;***;13;55.5;7;28.25;1;-0.25;8.75
+;10;37.25;Lenherr Cédric;*;6;57.25;5;38.5;-5;1.25;9.75
o;9;47.0;Oettli Marco;**;9;56.5;10;46.75;1;-0.25;8.75

13a;Flück Bruno;;;;;;;;;;55.5
+;;;Fritz Andreas;;;;;;;;9.75
+;3;9.75;Lötscher Niklas (2006);;19;54.0;2;10.0;-1;0.25;10.0
o;3;19.75;Burkhalter Thomas;*;16;54.75;5;19.0;2;-0.75;8.5
-;7;28.25;Lüthi Manuel;*;14;55.25;7;28.25;0;0.0;8.75
-;11;37.0;Galli Cedric;;17;54.5;11;37.0;0;0.0;8.75
+;14;45.75;Odermatt Michi;;19;54.0;15;45.5;1;-0.25;9.75

13b;Brülisauer Dominik;;;;;;;;;;55.5
+;;;Walser Simon (2004);;;;;;;;9.75
o;3;9.75;Geisser Lars;**;10;56.25;6;8.5;3;-1.25;8.75
+;7;18.5;Aepli Dean (2005);;25;52.5;7;18.5;0;0.0;10.0
o;6;28.5;Rotach Lars;*;6;57.25;8;28.0;2;-0.5;8.5
+;11;37.0;Koller Silvan;;1;108.75;1;73.25;-10;36.25;10.0
o;9;47.0;Baumann Rico;*;6;57.25;8;47.25;-1;0.25;8.5

13c;Schäppi Urs;*;;;;;;;;;55.5
o;;;Ulmann Fabian;*;;;;;;;8.5
+;6;8.5;Roth Sämi;;14;55.25;2;10.0;-4;1.5;10.0
-;7;18.5;Kurmann Patrick;;8;56.75;4;19.5;-3;1.0;8.75
+;10;27.25;Albrecht Quirin (2006);;16;54.75;8;28.0;-2;0.75;10.0
o;10;37.25;Forrer Arnold;***;9;56.5;12;36.75;2;-0.5;8.5
+;14;45.75;Bickel Roman;*;19;54.0;15;45.5;1;-0.25;9.75

13d;Giger Florian;;;;;;;;;;55.5
o;;;Ziegler Andreas;;;;;;;;8.5
+;6;8.5;Kaiser David (2006);;28;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Lüthi Manuel;*;14;55.25;8;18.25;1;-0.25;8.5
+;11;27.0;Schiess Christian;;23;53.0;10;27.25;-1;0.25;10.0
o;11;37.0;Bernold Michael;*;11;56.0;10;37.25;-1;0.25;8.5
+;15;45.5;Oettli Reto (2005);;18;54.25;14;45.75;-1;0.25;10.0

13e;Gerig Marcel;;;;;;;;;;55.5
+;;;Knup Stephan;;;;;;;;10.0
+;2;10.0;Bossert Luc (2006);;28;35.25;3;9.75;1;-0.25;9.75
o;3;19.75;Lehmann Philipp;*;9;56.5;5;19.0;2;-0.75;8.5
-;7;28.25;Müller Jano (2005);;17;54.5;10;27.25;3;-1.0;8.75
o;11;37.0;Lacher Tobias (2005);;14;55.25;11;37.0;0;0.0;8.5
+;15;45.5;Brand Andreas;;20;53.75;16;45.25;1;-0.25;10.0

13f;Signer Tobias (2004);;;;;;;;;;55.5
-;;;Anliker Andri;;;;;;;;8.75
+;5;8.75;Feller Andrin (2006);;24;52.75;6;8.5;1;-0.25;10.0
+;6;18.75;Lötscher Niklas (2006);;19;54.0;7;18.5;1;-0.25;9.75
o;6;28.5;Keller Werner;*;18;54.25;11;27.0;5;-1.5;8.5
+;11;37.0;Knup Stephan;;20;53.75;12;36.75;1;-0.25;10.0
o;9;47.0;Mettler Valentin;*;7;57.0;9;47.0;0;0.0;8.5

13g;Müller Josias (2006);;;;;;;;;;55.5
-;;;Eisenring Leandro;;;;;;;;8.75
+;5;8.75;Malnati Silas (2006);;30;34.5;4;9.0;-1;0.25;10.0
o;6;18.75;Burch Dean;*;8;56.75;6;18.75;0;0.0;8.5
+;10;27.25;Weder Yanick;;19;54.0;10;27.25;0;0.0;9.75
+;11;37.0;Lenherr Jonas (2005);;12;55.75;10;37.25;-1;0.25;10.0
o;9;47.0;Bollhalder Manuel;*;7;57.0;9;47.0;0;0.0;8.5

13h;Bernold Edi;**;;;;;;;;;55.5
o;;;Schläpfer Markus;**;;;;;;;8.5
+;6;8.5;Thiemann Fabrice;;12;55.75;2;10.0;-4;1.5;10.0
-;7;18.5;Winzeler Simon;*;15;55.0;8;18.25;1;-0.25;8.75
+;10;27.25;Rüegg Patrick;;10;56.25;8;28.0;-2;0.75;9.75
o;11;37.0;Koller Fabian;*;13;55.5;11;37.0;0;0.0;8.5
+;15;45.5;Egli Patrick;;16;54.75;12;46.25;-3;0.75;10.0

13i;Wild Thomas;*;;;;;;;;;55.5
o;;;Fuster Sepp;*;;;;;;;8.5
o;6;8.5;Giger Lorenz;;16;54.75;3;9.75;-3;1.25;8.5
+;12;17.0;Ritter Sirin (2005);;21;53.5;8;18.25;-4;1.25;10.0
+;11;27.0;Furrer Damian;;28;35.25;12;26.75;1;-0.25;10.0
o;11;37.0;Oettli Marco;**;9;56.5;11;37.0;0;0.0;8.5
+;15;45.5;Schiess Daniel;;19;54.0;15;45.5;0;0.0;10.0

13j;Koller Fabian;*;;;;;;;;;55.5
+;;;Hobi Ignaz;*;;;;;;;10.0
o;2;10.0;Ott Damian;**;3;58.25;6;8.5;4;-1.5;8.5
+;7;18.5;Gasenzer Christian (2004);;18;54.25;3;19.75;-4;1.25;10.0
o;6;28.5;Raschle Urban;;12;55.75;5;28.75;-1;0.25;8.5
+;11;37.0;Bernold Edi;**;13;55.5;11;37.0;0;0.0;10.0
o;9;47.0;Good Marco;**;5;57.5;7;47.5;-2;0.5;8.5

13k;Burkhalter Stefan;***;;;;;;;;;55.5
-;;;Räbsamen Marcel;**;;;;;;;8.75
+;5;8.75;Heierli Pascal;**;8;56.75;2;10.0;-3;1.25;9.75
+;7;18.5;Wetter Silvan;*;8;56.75;4;19.5;-3;1.0;9.75
-;7;28.25;Schnurrenberger Roman;**;12;55.75;6;28.5;-1;0.25;8.75
-;11;37.0;Egli Martin;;8;56.75;6;38.25;-5;1.25;8.75
+;14;45.75;Dobler Martin;;17;54.5;13;46.0;-1;0.25;9.75

13l;Martin Tobias;;;;;;;;;;55.5
o;;;Galli Cedric;;;;;;;;8.5
+;6;8.5;Brand Andreas;;20;53.75;6;8.5;0;0.0;10.0
o;7;18.5;Keller Werner;*;18;54.25;11;17.25;4;-1.25;8.5
+;11;27.0;Hangartner Maurice;;27;35.5;11;27.0;0;0.0;10.0
+;11;37.0;Gasenzer Christian (2004);;18;54.25;12;36.75;1;-0.25;10.0
o;9;47.0;Schmid Dominik;**;7;57.0;9;47.0;0;0.0;8.5

13m;Fausch Kjetil;*;;;;;;;;;55.5
o;;;Kolb This;**;;;;;;;8.75
+;5;8.75;Knellwolf Sebastian;;28;35.25;3;9.75;-2;1.0;10.0
+;6;18.75;Bischof Loris (2006);;22;53.25;6;18.75;0;0.0;10.0
o;5;28.75;Schmid Dominik;**;7;57.0;6;28.5;1;-0.25;8.5
+;10;37.25;Anliker Andri;;18;54.25;11;37.0;1;-0.25;9.75
o;9;47.0;Hochholdinger Roman;**;8;56.75;10;46.75;1;-0.25;8.5

13n;Schwyn Patrick;;;;;;;;;;55.5
+;;;Wildhaber Jannik;;;;;;;;10.0
o;2;10.0;Good Marco;**;5;57.5;5;8.75;3;-1.25;8.5
+;7;18.5;Stauffacher Martin;;18;54.25;8;18.25;1;-0.25;9.75
o;7;28.25;Heierli Pascal;**;8;56.75;7;28.25;0;0.0;8.5
o;12;36.75;Schönenberger Tobias (2004);;7;57.0;10;37.25;-2;0.5;8.75
+;15;45.5;Weder Yanick;;19;54.0;15;45.5;0;0.0;10.0

14a;Flütsch Marco;;;;;;;;;;55.25
o;;;Schmid Gian;;;;;;;;8.5
o;6;8.5;Rüegg Patrick;;10;56.25;6;8.5;0;0.0;8.75
+;11;17.25;Rickenmann Ramon;;28;35.25;12;17.0;1;-0.25;9.75
o;11;27.0;Good Marco;**;5;57.5;9;27.5;-2;0.5;8.5
+;17;35.5;Eisenring Leandro;;23;53.0;16;35.75;-1;0.25;9.75
+;16;45.25;Koller Silvan;;1;108.75;1;90.5;-15;45.25;10.0

14b;Bürgler Patrick;*;;;;;;;;;55.25
+;;;Elmer Adrian;*;;;;;;;10.0
o;2;10.0;Räbsamen Marcel;**;6;57.25;5;8.75;3;-1.25;8.5
+;7;18.5;Lacher Tobias (2005);;14;55.25;3;19.75;-4;1.25;9.75
o;7;28.25;Lenherr Cédric;*;6;57.25;6;28.5;-1;0.25;8.5
+;12;36.75;Scherrer Willi;;18;54.25;16;35.75;4;-1.0;10.0
o;10;46.75;Signer Andy;*;8;56.75;9;47.0;-1;0.25;8.5

14c;Roth Michael;;;;;;;;;;55.25
+;;;Egli Patrick;;;;;;;;9.75
o;3;9.75;Koch Reto;*;4;57.75;3;9.75;0;0.0;8.5
o;8;18.25;Rüegg Patrick;;10;56.25;8;18.25;0;0.0;8.75
+;11;27.0;Signer Sandro (2006);;25;52.5;11;27.0;0;0.0;9.75
o;12;36.75;Winzeler Simon;*;15;55.0;12;36.75;0;0.0;8.75
+;15;45.5;Bürge Gian (2005);;19;54.0;15;45.5;0;0.0;9.75

14d;Elmer Adrian;*;;;;;;;;;55.25
o;;;Bürgler Patrick;*;;;;;;;8.5
+;6;8.5;Signer Walter;;17;54.5;4;9.0;-2;0.5;9.75
+;8;18.25;Scherrer Pascal;;16;54.75;8;18.25;0;0.0;9.75
+;8;28.0;Siegenthaler Joël;;17;54.5;9;27.5;1;-0.5;10.0
o;7;38.0;Hochholdinger Roman;**;8;56.75;11;37.0;4;-1.0;8.5
o;11;46.5;Burch Dean;*;8;56.75;9;47.0;-2;0.5;8.75

14e;Roth Sämi;;;;;;;;;;55.25
+;;;Mock Ramon (2006);;;;;;;;10.0
o;2;10.0;Schäppi Urs;*;13;55.5;6;8.5;4;-1.5;8.5
o;7;18.5;Niederberger Marc Ursin;;17;54.5;7;18.5;0;0.0;8.5
+;11;27.0;Mathis Marlon (2006);;20;53.75;11;27.0;0;0.0;9.75
+;12;36.75;Tschumper Elias (2005);;20;53.75;12;36.75;0;0.0;10.0
o;10;46.75;Schläpfer Markus;**;8;56.75;10;46.75;0;0.0;8.5

14f;Ackermann Remo;*;;;;;;;;;55.25
o;;;Bärtsch Fabian;*;;;;;;;8.5
+;6;8.5;Albrecht Quirin (2006);;16;54.75;3;9.75;-3;1.25;10.0
+;7;18.5;Egli Martin;;8;56.75;2;20.0;-5;1.5;9.75
-;7;28.25;Forrer Arnold;***;9;56.5;8;28.0;1;-0.25;8.75
+;11;37.0;Schlegel Reto;*;12;55.75;10;37.25;-1;0.25;9.75
o;10;46.75;Räbsamen Marcel;**;6;57.25;7;47.5;-3;0.75;8.5

14g;Seliner Bruno (2004);;;;;;;;;;55.25
o;;;Lötscher Niklas (2006);;;;;;;;8.5
o;6;8.5;Egli Patrick;;16;54.75;6;8.5;0;0.0;8.5
+;12;17.0;Nadig Florian (2006);;32;34.0;12;17.0;0;0.0;9.75
o;12;26.75;Mock Ramon (2006);;20;53.75;12;26.75;0;0.0;8.75
+;17;35.5;Stolz Jonas (2006);;19;54.0;16;35.75;-1;0.25;9.75
+;16;45.25;Gähwiler Joshua (2004);;19;54.0;15;45.5;-1;0.25;10.0

14h;Bachmann Janos (2004);;;;;;;;;;55.25
+;;;Rüger Damian;;;;;;;;9.75
+;3;9.75;Hobi Ignaz;*;17;54.5;5;8.75;2;-1.0;10.0
o;3;19.75;Ulmann Fabian;*;15;55.0;5;19.0;2;-0.75;8.5
o;7;28.25;Niederer Andreas;;8;56.75;6;28.5;-1;0.25;8.5
+;12;36.75;Baumann Simon;;18;54.25;12;36.75;0;0.0;10.0
o;10;46.75;Lenherr Cédric;*;6;57.25;8;47.25;-2;0.5;8.5

14i;Lacher Tobias (2005);;;;;;;;;;55.25
+;;;Dörig Maurus (2004);;;;;;;;9.75
+;3;9.75;Koch Sämi (2006);;25;52.5;2;10.0;-1;0.25;10.0
o;3;19.75;Bürgler Patrick;*;14;55.25;7;18.5;4;-1.25;8.5
-;7;28.25;Jörger Corsin;*;16;54.75;10;27.25;3;-1.0;8.75
+;11;37.0;Gerig Marcel;;13;55.5;11;37.0;0;0.0;9.75
o;10;46.75;Egli Martin;;8;56.75;9;47.0;-1;0.25;8.5

14j;Zumbach Michael;;;;;;;;;;55.25
-;;;Diem Hansruedi;;;;;;;;8.75
+;5;8.75;Mösli Timo (2006);;25;52.5;6;8.5;1;-0.25;9.75
o;7;18.5;Inauen Andreas;*;14;55.25;11;17.25;4;-1.25;8.5
+;11;27.0;Manser Adrian;;20;53.75;11;27.0;0;0.0;9.75
-;12;36.75;Nussbaumer Gabriel;;19;54.0;12;36.75;0;0.0;8.75
+;15;45.5;Knup Stephan;;20;53.75;16;45.25;1;-0.25;9.75

14k;Walser Simon (2004);;;;;;;;;;55.25
o;;;Brülisauer Dominik;;;;;;;;8.5
+;6;8.5;Meier Adrian;;32;34.0;6;8.5;0;0.0;10.0
+;7;18.5;Lüönd Remo;;15;55.0;8;18.25;1;-0.25;9.75
o;7;28.25;Inauen Andreas;*;14;55.25;11;27.0;4;-1.25;8.5
+;12;36.75;Graf Dominik (2005);;18;54.25;16;35.75;4;-1.0;10.0
o;10;46.75;Roth Martin;***;10;56.25;12;46.25;2;-0.5;8.5

14l;Schwyn Adrian;*;;;;;;;;;55.25
+;;;Pﬁster Florian;*;;;;;;;10.0
o;2;10.0;Riget Florian;**;6;57.25;4;9.0;2;-1.0;8.5
+;7;18.5;Bleiker Ueli (2004);;8;56.75;3;19.75;-4;1.25;9.75
+;7;28.25;Rüger Damian;;18;54.25;7;28.25;0;0.0;10.0
o;6;38.25;Geisser Lars;**;10;56.25;8;37.75;2;-0.5;8.5
o;10;46.75;Rotach Lars;*;6;57.25;7;47.5;-3;0.75;8.5

14m;Inauen Andreas;*;;;;;;;;;55.25
o;;;Wetter Silvan;*;;;;;;;8.75
o;5;8.75;Mannhart Jan;;8;56.75;2;10.0;-3;1.25;8.5
+;11;17.25;Zumbach Michael;;14;55.25;7;18.5;-4;1.25;9.75
+;11;27.0;Walser Simon (2004);;14;55.25;7;28.25;-4;1.25;10.0
o;11;37.0;Lüthi Manuel;*;14;55.25;11;37.0;0;0.0;8.5
+;15;45.5;Lötscher Niklas (2006);;19;54.0;15;45.5;0;0.0;9.75

14n;Lüthi Manuel;*;;;;;;;;;55.25
+;;;Koller Silvan;*;;;;;;;9.75
o;3;9.75;Schläpfer Markus;**;8;56.75;3;9.75;0;0.0;8.5
+;8;18.25;Giger Florian;;13;55.5;7;18.5;-1;0.25;10.0
-;7;28.25;Flück Bruno;;13;55.5;7;28.25;0;0.0;8.75
+;11;37.0;Inauen Andreas;*;14;55.25;11;37.0;0;0.0;9.75
o;10;46.75;Rüegg Patrick;;10;56.25;11;46.5;1;-0.25;8.5

14o;Widmer Fadri (2005);;;;;;;;;;55.25
o;;;Furrer Damian;;;;;;;;8.5
+;6;8.5;Mathis Marlon (2006);;20;53.75;6;8.5;0;0.0;9.75
o;8;18.25;Nussbaumer Gabriel;;19;54.0;8;18.25;0;0.0;8.5
+;12;26.75;Knellwolf Sebastian;;28;35.25;12;26.75;0;0.0;10.0
+;12;36.75;Jörger Corsin;*;16;54.75;15;36.0;3;-0.75;10.0
o;10;46.75;Mannhart Jan;;8;56.75;9;47.0;-1;0.25;8.5

15a;Winzeler Simon;*;;;;;;;;;55.0
+;;;Lenherr Cédric;*;;;;;;;9.75
o;3;9.75;Kurmann Patrick;;8;56.75;3;9.75;0;0.0;8.5
-;8;18.25;Bernold Edi;**;13;55.5;7;18.5;-1;0.25;8.75
+;11;27.0;Bleiker Ueli (2004);;8;56.75;7;28.25;-4;1.25;9.75
+;12;36.75;Roth Michael;;14;55.25;12;36.75;0;0.0;9.75
o;11;46.5;Forrer Arnold;***;9;56.5;11;46.5;0;0.0;8.5

15b;Ziegler Andreas;;;;;;;;;;55.0
+;;;Giger Florian;;;;;;;;9.75
o;3;9.75;Schmid Patrick;*;8;56.75;3;9.75;0;0.0;8.5
+;8;18.25;Schiess Daniel;;19;54.0;8;18.25;0;0.0;9.75
o;8;28.0;Gerber Andrj;*;17;54.5;9;27.5;1;-0.5;8.5
+;13;36.5;Höpli Remo;;20;53.75;12;36.75;-1;0.25;10.0
o;11;46.5;Kurmann Patrick;;8;56.75;10;46.75;-1;0.25;8.5

15c;Brügger Stefan;*;;;;;;;;;55.0
-;;;Schlegel Reto;*;;;;;;;8.75
o;5;8.75;Niederer Andreas;;8;56.75;2;10.0;-3;1.25;8.75
-;10;17.5;Wildhaber Jannik;;16;54.75;7;18.5;-3;1.0;8.75
+;13;26.25;Spirig Jann (2004);;19;54.0;10;27.25;-3;1.0;10.0
o;14;36.25;Roth Martin;***;10;56.25;14;36.25;0;0.0;8.75
+;17;45.0;Feller Andrin (2006);;24;52.75;20;44.25;3;-0.75;10.0

15d;Schegg Daniel;;;;;;;;;;55.0
+;;;Brülisauer Thomas;;;;;;;;9.75
o;3;9.75;Wittenwiler Roman;*;10;56.25;5;8.75;2;-1.0;8.5
+;8;18.25;Knellwolf Sebastian;;28;35.25;8;18.25;0;0.0;10.0
+;7;28.25;Höpli Remo;;20;53.75;7;28.25;0;0.0;9.75
o;7;38.0;Riget Florian;**;6;57.25;9;37.5;2;-0.5;8.5
o;11;46.5;Niederer Andreas;;8;56.75;9;47.0;-2;0.5;8.5

15e;Ulmann Fabian;*;;;;;;;;;55.0
+;;;Schäppi Urs;*;;;;;;;10.0
-;2;10.0;Lehmann Philipp;*;9;56.5;2;10.0;0;0.0;9.0
+;5;19.0;Bachmann Janos (2004);;14;55.25;3;19.75;-2;0.75;10.0
o;4;29.0;Voggensperger Janic;**;10;56.25;7;28.25;3;-0.75;8.75
o;8;37.75;Thiemann Fabrice;;12;55.75;10;37.25;2;-0.5;8.5
o;12;46.25;Schönenberger Tobias (2004);;7;57.0;8;47.25;-4;1.0;8.75

15f;Lüönd Remo;;;;;;;;;;55.0
o;;;Schönenberger Tobias (2004);;;;;;;;8.5
+;6;8.5;Krucker Silvan;;21;53.5;6;8.5;0;0.0;9.75
o;8;18.25;Walser Simon (2004);;14;55.25;7;18.5;-1;0.25;8.5
o;12;26.75;Hobi Ignaz;*;17;54.5;14;26.0;2;-0.75;8.75
+;17;35.5;Brülisauer Thomas;;24;52.75;16;35.75;-1;0.25;9.75
+;16;45.25;Mathis Marlon (2006);;20;53.75;16;45.25;0;0.0;9.75

16a;Wildhaber Jannik;;;;;;;;;;54.75
o;;;Schwyn Patrick;;;;;;;;8.5
+;6;8.5;Inauen Ivo;;32;34.0;6;8.5;0;0.0;10.0
-;7;18.5;Brügger Stefan;*;15;55.0;10;17.5;3;-1.0;8.75
+;10;27.25;Bleiker Toni (2006);;25;52.5;11;27.0;1;-0.25;10.0
o;10;37.25;Fuster Sepp;*;12;55.75;11;37.0;1;-0.25;8.5
-;14;45.75;Niederberger Marc Ursin;;17;54.5;15;45.5;1;-0.25;9.0

16b;Burkhalter Thomas;*;;;;;;;;;54.75
-;;;Elmer Daniel;*;;;;;;;9.0
+;4;9.0;Koller Silvan;;1;108.75;1;18.5;-3;9.5;10.0
+;5;19.0;Flück Bruno;;13;55.5;3;19.75;-2;0.75;9.75
-;5;28.75;Riget Florian;**;6;57.25;5;28.75;0;0.0;8.75
o;9;37.5;Rüegg Fabian;*;7;57.0;6;38.25;-3;0.75;8.75
o;12;46.25;Lehmann Philipp;*;9;56.5;11;46.5;-1;0.25;8.5

16c;Albrecht Quirin (2006);;;;;;;;;;54.75
+;;;Krucker Roman (2004);;;;;;;;9.75
o;3;9.75;Ackermann Remo;*;14;55.25;6;8.5;3;-1.25;8.5
+;8;18.25;Baumann Simon;;18;54.25;8;18.25;0;0.0;9.75
o;8;28.0;Schäppi Urs;*;13;55.5;10;27.25;2;-0.75;8.5
+;13;36.5;Aepli Dean (2005);;25;52.5;17;35.5;4;-1.0;9.75
o;12;46.25;Keller Manuel;*;11;56.0;13;46.0;1;-0.25;8.5

16d;Jörger Corsin;*;;;;;;;;;54.75
o;;;Heierli Pascal;**;;;;;;;8.75
o;5;8.75;Egli Martin;;8;56.75;2;10.0;-3;1.25;8.5
+;11;17.25;Gähwiler Joshua (2004);;19;54.0;7;18.5;-4;1.25;10.0
-;10;27.25;Lacher Tobias (2005);;14;55.25;7;28.25;-3;1.0;8.75
o;15;36.0;Widmer Fadri (2005);;14;55.25;12;36.75;-3;0.75;8.75
+;18;44.75;Bischof Loris (2006);;22;53.25;18;44.75;0;0.0;10.0

16e;Fuster Arjuna;;;;;;;;;;54.75
-;;;Schiess Christian;;;;;;;;8.75
-;5;8.75;Eisenring Leandro;;23;53.0;5;8.75;0;0.0;8.75
+;10;17.5;Dobler Martin;;17;54.5;10;17.5;0;0.0;10.0
o;9;27.5;Wetter Silvan;*;8;56.75;8;28.0;-1;0.5;8.5
+;15;36.0;Stadelmann Lukas (2004);;18;54.25;16;35.75;1;-0.25;10.0
-;13;46.0;Wagner Andreas;;16;54.75;13;46.0;0;0.0;8.75

16f;Wagner Andreas;;;;;;;;;;54.75
-;;;Dobler Martin;;;;;;;;8.75
+;5;8.75;Aepli Dean (2005);;25;52.5;2;10.0;-3;1.25;10.0
o;6;18.75;Bärtsch Fabian;*;9;56.5;8;18.25;2;-0.5;8.5
-;10;27.25;Pﬁster Florian;*;18;54.25;10;27.25;0;0.0;8.75
+;15;36.0;Stauffacher Martin;;18;54.25;16;35.75;1;-0.25;10.0
-;13;46.0;Fuster Arjuna;;16;54.75;13;46.0;0;0.0;8.75

16g;Raymann Jan;;;;;;;;;;54.75
o;;;Thiemann Fabrice;;;;;;;;8.5
+;6;8.5;Manser Adrian;;20;53.75;6;8.5;0;0.0;9.75
+;8;18.25;Lusti Adrian;;28;35.25;8;18.25;0;0.0;9.75
o;8;28.0;Rüegg Fabian;*;7;57.0;7;28.25;-1;0.25;8.5
+;13;36.5;Giger Lorenz;;16;54.75;13;36.5;0;0.0;9.75
o;12;46.25;Wey Nicola;*;12;55.75;13;46.0;1;-0.25;8.5

16h;Steiner Lukas;;;;;;;;;;54.75
-;;;Signer Walter;;;;;;;;9.0
+;4;9.0;Schäli Dario (2005);;30;34.5;5;8.75;1;-0.25;9.75
o;6;18.75;Geisser Lars;**;10;56.25;8;18.25;2;-0.5;8.5
+;10;27.25;Koch Sämi (2006);;25;52.5;11;27.0;1;-0.25;9.75
o;11;37.0;Bleiker Ueli (2004);;8;56.75;11;37.0;0;0.0;8.75
-;14;45.75;Siegenthaler Joël;;17;54.5;14;45.75;0;0.0;9.0

16i;Giger Lorenz;;;;;;;;;;54.75
+;;;Hangartner Maurice;;;;;;;;9.75
+;3;9.75;Wild Thomas;*;13;55.5;6;8.5;3;-1.25;9.75
o;4;19.5;Gmür Pirmin;**;8;56.75;6;18.75;2;-0.75;8.5
o;8;28.0;Kurmann Patrick;;8;56.75;7;28.25;-1;0.25;8.5
o;13;36.5;Raymann Jan;;16;54.75;13;36.5;0;0.0;8.5
+;17;45.0;Ritter Sirin (2005);;21;53.5;17;45.0;0;0.0;9.75

16j;Egli Patrick;;;;;;;;;;54.75
o;;;Roth Michael;;;;;;;;8.5
+;6;8.5;Seliner Bruno (2004);;14;55.25;6;8.5;0;0.0;9.75
+;8;18.25;Bossert Luc (2006);;28;35.25;8;18.25;0;0.0;9.75
o;8;28.0;Schlegel Reto;*;12;55.75;10;27.25;2;-0.75;8.5
+;13;36.5;Mock Ramon (2006);;20;53.75;12;36.75;-1;0.25;9.75
o;12;46.25;Bernold Edi;**;13;55.5;15;45.5;3;-0.75;8.5

16k;Scherrer Pascal;;;;;;;;;;54.75
o;;;Mannhart Jan;;;;;;;;8.5
+;6;8.5;Haltinner Laurin (2006);;31;34.25;6;8.5;0;0.0;9.75
o;8;18.25;Elmer Adrian;*;14;55.25;8;18.25;0;0.0;8.5
+;12;26.75;Bossert Luc (2006);;28;35.25;12;26.75;0;0.0;9.75
+;13;36.5;Dörig Maurus (2004);;20;53.75;13;36.5;0;0.0;9.75
o;12;46.25;Kobler Janosch;*;12;55.75;14;45.75;2;-0.5;8.5

17a;Signer Walter;;;;;;;;;;54.5
-;;;Steiner Lukas;;;;;;;;9.0
o;4;9.0;Elmer Adrian;*;14;55.25;6;8.5;2;-0.5;8.5
+;10;17.5;Wittenwiler Mathias;;29;35.0;9;17.75;-1;0.25;10.0
o;9;27.5;Räbsamen Marcel;**;6;57.25;9;27.5;0;0.0;8.5
-;15;36.0;Bischof Loris (2006);;22;53.25;15;36.0;0;0.0;8.75
+;18;44.75;Tschumper Elias (2005);;20;53.75;16;45.25;-2;0.5;9.75

17b;Müller Jano (2005);;;;;;;;;;54.5
o;;;Keller Cedric;;;;;;;;8.5
-;6;8.5;Dobler Martin;;17;54.5;5;8.75;-1;0.25;8.75
+;11;17.25;Malnati Silas (2006);;30;34.5;10;17.5;-1;0.25;10.0
-;10;27.25;Gerig Marcel;;13;55.5;7;28.25;-3;1.0;8.75
-;15;36.0;Diem Hansruedi;;17;54.5;16;35.75;1;-0.25;8.75
+;18;44.75;Krucker Silvan;;21;53.5;17;45.0;-1;0.25;9.75

17c;Siegenthaler Joël;;;;;;;;;;54.5
+;;;Oettli Reto (2005);;;;;;;;10.0
-;2;10.0;Wittenwiler Mathias;;29;35.0;5;8.75;3;-1.25;9.0
o;5;19.0;Mettler Valentin;*;7;57.0;6;18.75;1;-0.25;8.5
o;9;27.5;Elmer Adrian;*;14;55.25;8;28.0;-1;0.5;8.5
+;15;36.0;Manser Adrian;;20;53.75;17;35.5;2;-0.5;9.75
-;14;45.75;Steiner Lukas;;16;54.75;14;45.75;0;0.0;8.75

17d;Dobler Martin;;;;;;;;;;54.5
-;;;Wagner Andreas;;;;;;;;8.75
-;5;8.75;Müller Jano (2005);;17;54.5;6;8.5;1;-0.25;8.75
o;10;17.5;Fuster Arjuna;;16;54.75;10;17.5;0;0.0;8.5
+;14;26.0;Dähler Luca (2006);;32;34.0;16;25.5;2;-0.5;10.0
