5141-2022-05-29_107_St_Galler_Kantonalschwingfest-ST

1a;Koller Silvan;*;;;;;;;;;108.75
o;6;18.75;Kolb This;**;8;56.75;7;18.5;1;-0.25;8.75
+;9;27.5;Signer Walter;;17;54.5;9;27.5;0;0.0;10.0
+;9;37.5;Jörger Marc;*;7;57.0;5;38.5;-4;1.0;10.0
+;7;47.5;Ackermann Remo;*;14;55.25;10;46.75;3;-0.75;9.75

6d;Riget Florian;**;;;;;;;;;57.25
-;;;Roth Martin;***;;;;;;;9.0
+;4;9.0;Schwyn Adrian;*;14;55.25;2;10.0;-2;1.0;10.0
+;5;19.0;Schmid Patrick;*;8;56.75;4;19.5;-1;0.5;9.75
-;5;28.75;Burkhalter Thomas;*;16;54.75;5;28.75;0;0.0;8.75
+;9;37.5;Schegg Daniel;;15;55.0;7;38.0;-2;0.5;10.0
+;7;47.5;Thiemann Fabrice;;12;55.75;8;47.25;1;-0.25;9.75

6e;Rotach Lars;*;;;;;;;;;57.25
+;;;Jörger Marc;*;;;;;;;9.75
o;3;9.75;Leuppi Samir;***;3;58.25;3;9.75;0;0.0;8.5
+;8;18.25;Knup Stephan;;20;53.75;7;18.5;-1;0.25;9.75
+;8;28.0;Brülisauer Dominik;;13;55.5;6;28.5;-2;0.5;9.75
+;8;37.75;Keller Werner;*;18;54.25;11;37.0;3;-0.75;9.75
+;7;47.5;Schwyn Adrian;*;14;55.25;10;46.75;3;-0.75;9.75

7a;Rüegg Fabian;*;;;;;;;;;57.0
+;;;Gerber Andrj;*;;;;;;;9.75
-;3;9.75;Kolb This;**;8;56.75;3;9.75;0;0.0;8.75
+;7;18.5;Anliker Andri;;18;54.25;7;18.5;0;0.0;9.75
+;7;28.25;Raymann Jan;;16;54.75;8;28.0;1;-0.25;10.0
+;6;38.25;Burkhalter Thomas;*;16;54.75;9;37.5;3;-0.75;9.75
-;5;48.0;Oettli Silvio;**;9;56.5;7;47.5;2;-0.5;9.0

7b;Jörger Marc;*;;;;;;;;;57.0
o;;;Rotach Lars;*;;;;;;;8.5
+;6;8.5;Fallegger Marc;;28;35.25;3;9.75;-3;1.25;10.0
+;7;18.5;Weder Yanick;;19;54.0;6;18.75;-1;0.25;10.0
+;6;28.5;Kobler Janosch;*;12;55.75;6;28.5;0;0.0;10.0
o;5;38.5;Räbsamen Marcel;**;6;57.25;9;37.5;4;-1.0;8.5
+;9;47.0;Bernold Michael;*;11;56.0;8;47.25;-1;0.25;10.0

7c;Bollhalder Manuel;*;;;;;;;;;57.0
+;;;Keller Manuel;*;;;;;;;10.0
+;2;10.0;Roth Martin;***;10;56.25;4;9.0;2;-1.0;10.0
o;2;20.0;Schnurrenberger Roman;**;12;55.75;6;18.75;4;-1.25;8.5
+;6;28.5;Thiemann Fabrice;;12;55.75;6;28.5;0;0.0;9.75
o;6;38.25;Koch Reto;*;4;57.75;6;38.25;0;0.0;8.75
+;9;47.0;Müller Josias (2006);;13;55.5;9;47.0;0;0.0;10.0

7d;Schönenberger Tobias (2004);;;;;;;;;;57.0
+;;;Lüönd Remo;;;;;;;;10.0
-;2;10.0;Koller Silvan;*;1;108.75;1;18.5;-1;8.5;8.75
+;6;18.75;Ochsner Reto;;21;53.5;7;18.5;1;-0.25;10.0
o;5;28.75;Schläpfer Markus;**;8;56.75;8;28.0;3;-0.75;8.5
+;10;37.25;Schwyn Patrick;;13;55.5;12;36.75;2;-0.5;10.0
+;8;47.25;Ulmann Fabian;*;15;55.0;12;46.25;4;-1.0;9.75

7e;Schmid Dominik;**;;;;;;;;;57.0
-;;;Good Marco;**;;;;;;;8.75
+;5;8.75;Keller Cedric;;19;54.0;3;9.75;-2;1.0;9.75
+;7;18.5;Hangartner Maurice;;27;35.5;7;18.5;0;0.0;10.0
+;6;28.5;Fausch Kjetil;*;13;55.5;5;28.75;-1;0.25;10.0
o;5;38.5;Schlegel Werner;**;2;58.5;2;39.75;-3;1.25;8.5
+;9;47.0;Martin Tobias;;13;55.5;9;47.0;0;0.0;10.0

7f;Mettler Valentin;*;;;;;;;;;57.0
-;;;Bickel Roman;*;;;;;;;9.0
