3197-2016-05-08_106_Zuercher_Kantonalschwingfest-ST

+;1;20.0;Rüegg Roman;*;14;55.0;5;18.5;4;-1.5;10.0
o;1;30.0;Leuppi Samir;**;4;57.5;4;28.75;3;-1.25;8.5
o;4;38.5;Zbinden Marc;*;6;57.0;8;37.25;4;-1.25;8.5
o;8;47.0;Breitenmoser Manuel;;9;56.25;10;46.5;2;-0.5;8.5

12f;Funk Nicola (1999);;;;;;;;;;55.5
o;;;Schwyn Adrian;;;;;;;;8.5
+;5;8.5;Schlegel Beni (1999);;23;35.5;5;8.5;0;0.0;9.75
+;6;18.25;Kleinberger Alex;;24;35.25;6;18.25;0;0.0;10.0
o;6;28.25;Reber Marcel;*;17;54.25;9;27.25;3;-1.0;8.5
-;10;36.75;Danner Daniel;;17;54.25;10;36.75;0;0.0;8.75
+;14;45.5;Fankhauser Jürg;*;18;54.0;14;45.5;0;0.0;10.0

12g;Notz Beni;***;;;;;;;;;55.5
-;;;Schnurrenberger Roman;**;;;;;;;8.75
