3783-2022-06-12_Stoos-Schwinget-ST

1a;Wittwer Josias;**;;;;;;;;;58.5
+;;;Arnold Stefan;**;;;;;;;9.75
+;2;9.75;Riebli Urs;*;24;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Ledermann Michael;**;7;56.5;2;19.75;0;0.0;8.5
o;7;28.25;Steffen Gustav;**;7;56.5;7;28.25;0;0.0;8.75
o;8;37.0;Schöpfer Ronny;**;9;56.0;6;37.5;-2;0.5;8.5
o;12;45.5;Egli Damian;**;10;55.75;11;45.75;-1;0.25;8.5

18a;Hegner Ueli;*;;;;;;;;;53.75
+;;;Ramseier Thomas;*;;;;;;;10.0
o;1;10.0;Strebel Joel;***;4;57.25;3;9.0;2;-1.0;8.5
o;5;18.5;Hügli Kaj;**;13;55.0;6;18.25;1;-0.25;8.5
o;11;27.0;Kohler Adrian;*;17;54.0;11;27.0;0;0.0;8.5
o;14;35.5;Erb Roger;**;16;54.25;13;35.75;-1;0.25;8.5
+;18;44.0;Weyermann Florian;**;20;53.25;16;44.5;-2;0.5;9.75

18b;Ramseier Thomas;*;;;;;;;;;53.75
o;;;Hegner Ueli;*;;;;;;;8.5
+;5;8.5;Arnold Marcel;*;29;34.0;5;8.5;0;0.0;9.75
+;6;18.25;Suter Bruno;*;12;55.25;5;18.5;-1;0.25;9.75
o;8;28.0;Steinauer Adrian;**;11;55.5;6;28.5;-2;0.5;8.5
o;10;36.5;Durrer Nando;*;15;54.5;12;36.0;2;-0.5;8.75
o;13;45.25;Bühler Kilian;*;11;55.5;12;45.5;-1;0.25;8.5

18c;Schlüchter Colin;*;;;;;;;;;53.75
o;;;Riebli Urs;*;;;;;;;8.5
+;5;8.5;Ming Christian;*;27;34.5;5;8.5;0;0.0;9.75
+;6;18.25;Herger Fabian;*;24;35.25;6;18.25;0;0.0;10.0
o;7;28.25;Bieri Marcel;***;10;55.75;11;27.0;4;-1.25;8.5
o;9;36.75;Kaufmann Reto;*;9;56.0;8;37.0;-1;0.25;8.5
o;13;45.25;Kenel Franz-Toni;*;17;54.0;17;44.25;4;-1.0;8.5

19a;Reichmuth Lukas;*;;;;;;;;;53.5
+;;;Nägeli Leandro;*;;;;;;;10.0
-;1;10.0;Widmer Tobias;**;14;54.75;2;9.75;1;-0.25;8.75
-;4;18.75;Waser Dominik;**;16;54.25;5;18.5;1;-0.25;8.75
o;9;27.5;Lang Sven;**;9;56.0;9;27.5;0;0.0;8.5
o;12;36.0;Wandeler Roman;*;14;54.75;11;36.25;-1;0.25;8.75
-;15;44.75;Schlüchter Colin;*;18;53.75;13;45.25;-2;0.5;8.75

20a;Weyermann Florian;**;;;;;;;;;53.25
-;;;Rohrer Ueli;**;;;;;;;8.75
-;4;8.75;Huber Alex;*;27;34.5;5;8.5;1;-0.25;8.75
-;8;17.5;Murer Andy;**;26;34.75;9;17.25;1;-0.25;8.75
+;13;26.25;Lemmenmeier Lukas;*;27;34.5;14;26.0;1;-0.25;9.75
o;12;36.0;Egli Damian;**;10;55.75;13;35.75;1;-0.25;8.5
o;16;44.5;Hegner Ueli;*;18;53.75;18;44.0;2;-0.5;8.75

20b;Klossner Adrian;**;;;;;;;;;53.25
o;;;Kaufmann Reto;*;;;;;;;8.5
+;5;8.5;Gut Koni;*;26;34.75;4;8.75;-1;0.25;9.75
o;6;18.25;Schurtenberger Sven;***;12;55.25;9;17.25;3;-1.0;8.5
o;12;26.75;Ettlin Stefan;**;9;56.0;10;27.25;-2;0.5;8.75
-;14;35.5;Bucher Christian;**;14;54.75;13;35.75;-1;0.25;9.0
-;16;44.5;Stöckli Damian;*;16;54.25;12;45.5;-4;1.0;8.75

20c;Döbeli Lukas;**;;;;;;;;;53.25
-;;;Durrer Nando;*;;;;;;;8.75
-;4;8.75;Lustenberger Josef;*;25;35.0;4;8.75;0;0.0;8.75
-;8;17.5;Schwyzer Samuel;*;14;54.75;8;17.5;0;0.0;8.75
+;13;26.25;Wyrsch Silvio;*;24;35.25;12;26.75;-1;0.5;9.75
-;12;36.0;Fankhauser Reto;**;21;53.0;13;35.75;1;-0.25;8.75
o;15;44.75;Fellmann Roman;**;12;55.25;12;45.5;-3;0.75;8.5

21a;Fankhauser Reto;**;;;;;;;;;53.0
o;;;Räbmatter Patrick;***;;;;;;;8.5
o;5;8.5;Iseli Marco;**;14;54.75;4;8.75;-1;0.25;8.5
+;10;17.0;Wenger Marcel;*;28;34.25;9;17.25;-1;0.25;10.0
o;11;27.0;Suter Beat;*;11;55.5;11;27.0;0;0.0;8.75
-;13;35.75;Döbeli Lukas;**;20;53.25;12;36.0;-1;0.25;8.75
o;16;44.5;Widmer Tobias;**;14;54.75;15;44.75;-1;0.25;8.5

22a;Käslin Ruedi;*;;;;;;;;;52.5
+;;;Arnold Marcel;*;;;;;;;10.0
o;1;10.0;Wittwer Josias;**;1;58.5;1;10.0;0;0.0;8.5
o;5;18.5;Steinauer Adrian;**;11;55.5;5;18.5;0;0.0;8.5
o;11;27.0;Waser Dominik;**;16;54.25;10;27.25;-1;0.25;8.5
o;14;35.5;Bader Fabian;**;17;54.0;13;35.75;-1;0.25;8.5
o;18;44.0;Iseli Marco;**;14;54.75;15;44.75;-3;0.75;8.5

23a;Stoll Simon;**;;;;;;;;;35.75
-;;;Ulrich Marco;**;;;;;;;8.75
-;4;8.75;Kälin Roland;**;25;35.0;4;8.75;0;0.0;8.75
+;8;17.5;Heinzer Ronny;*;27;34.5;9;17.25;1;-0.25;9.75
o;10;27.25;Schöpfer Ronny;**;9;56.0;9;27.5;-1;0.25;8.5

24a;Herger Fabian;*;;;;;;;;;35.25
+;;;Steffen Valentin;*;;;;;;;9.75
o;2;9.75;Ledermann Michael;**;7;56.5;1;10.0;-1;0.25;8.5
o;6;18.25;Schlüchter Colin;*;18;53.75;6;18.25;0;0.0;8.5
o;12;26.75;Schwyzer Samuel;*;14;54.75;13;26.25;1;-0.5;8.5

24b;Riebli Urs;*;;;;;;;;;35.25
+;;;Schlüchter Colin;*;;;;;;;9.75
o;2;9.75;Döbeli Andreas;***;17;54.0;2;9.75;0;0.0;8.5
o;6;18.25;Zaugg Lars;*;6;56.75;4;18.75;-2;0.5;8.5
o;12;26.75;Odermatt Adrian;**;7;56.5;11;27.0;-1;0.25;8.5

24c;Wyrsch Silvio;*;;;;;;;;;35.25
o;;;Leuthard Reto;**;;;;;;;8.5
o;5;8.5;Aellen Florian;*;15;54.5;4;8.75;-1;0.25;8.5
+;10;17.0;Vieira Tiago;**;31;25.5;10;17.0;0;0.0;9.75
o;12;26.75;Döbeli Lukas;**;20;53.25;13;26.25;1;-0.5;8.5

25a;Ulrich Marco;**;;;;;;;;;35.0
-;;;Stoll Simon;**;;;;;;;8.75
o;4;8.75;Schmid Samuel;**;30;27.0;4;8.75;0;0.0;8.5
-;9;17.25;Lustenberger Josef;*;25;35.0;8;17.5;-1;0.25;8.75
-;14;26.0;Gut Koni;*;26;34.75;15;25.75;1;-0.25;9.0

25b;Lustenberger Josef;*;;;;;;;;;35.0
-;;;Bader Fabian;**;;;;;;;8.75
-;4;8.75;Döbeli Lukas;**;20;53.25;4;8.75;0;0.0;8.75
-;8;17.5;Ulrich Marco;**;25;35.0;9;17.25;1;-0.25;8.75
-;13;26.25;Kälin Roland;**;25;35.0;13;26.25;0;0.0;8.75

25c;Kälin Roland;**;;;;;;;;;35.0
-;;;Stüdeli Thomas;**;;;;;;;8.75
-;4;8.75;Stoll Simon;**;23;35.75;4;8.75;0;0.0;8.75
-;8;17.5;Lussi Marco;**;26;34.75;9;17.25;1;-0.25;8.75
-;13;26.25;Lustenberger Josef;*;25;35.0;13;26.25;0;0.0;8.75

26a;Lussi Marco;**;;;;;;;;;34.75
o;;;Kämpf Alexander;**;;;;;;;8.5
-;5;8.5;Schwyzer Samuel;*;14;54.75;4;8.75;-1;0.25;8.75
-;9;17.25;Kälin Roland;**;25;35.0;8;17.5;-1;0.25;8.75
-;14;26.0;Heinzer Ronny;*;27;34.5;15;25.75;1;-0.25;8.75

26b;Schuler Alex;***;;;;;;;;;34.75
-;;;Gobeli Patrick;**;;;;;;;9.0
-;3;9.0;Erb Roger;**;16;54.25;1;10.0;-2;1.0;8.75
o;7;17.75;Roth Jan (2004);*;14;54.75;4;18.75;-3;1.0;8.5
o;13;26.25;Joho Philip;*;15;54.5;9;27.5;-4;1.25;8.5

26c;Murer Andy;**;;;;;;;;;34.75
-;;;Iseli Marco;**;;;;;;;8.75
o;4;8.75;Bühler Kilian;*;11;55.5;4;8.75;0;0.0;8.5
-;9;17.25;Weyermann Florian;**;20;53.25;8;17.5;-1;0.25;8.75
-;14;26.0;Schärli Reto;*;28;34.25;16;25.5;2;-0.5;8.75

26d;Schürpf Bruno;*;;;;;;;;;34.75
-;;;Bühler Kilian;*;;;;;;;8.75
-;4;8.75;Hermann Oliver;**;7;56.5;3;9.0;-1;0.25;8.75
o;8;17.5;Ettlin Stefan;**;9;56.0;8;17.5;0;0.0;8.5
-;14;26.0;Betschart Marcel;*;28;34.25;16;25.5;2;-0.5;8.75

26e;Gut Koni;*;;;;;;;;;34.75
-;;;Joho Philip;*;;;;;;;8.75
o;4;8.75;Klossner Adrian;**;20;53.25;5;8.5;1;-0.25;8.5
o;9;17.25;Kenel Franz-Toni;*;17;54.0;9;17.25;0;0.0;8.5
-;15;25.75;Ulrich Marco;**;25;35.0;14;26.0;-1;0.25;9.0

27a;Scherer Niklaus;**;;;;;;;;;34.5
o;;;Wittwer Josias;**;;;;;;;8.5
o;5;8.5;Rohrer Ueli;**;10;55.75;4;8.75;-1;0.25;8.5
-;10;17.0;Durrer Nando;*;15;54.5;8;17.5;-2;0.5;8.75
-;15;25.75;Huber Alex;*;27;34.5;15;25.75;0;0.0;8.75

27b;Lemmenmeier Lukas;*;;;;;;;;;34.5
o;;;Zurfluh Michael;*;;;;;;;8.5
-;5;8.5;Wenger Marcel;*;28;34.25;5;8.5;0;0.0;8.75
-;9;17.25;Ming Christian;*;27;34.5;10;17.0;1;-0.25;8.75
o;14;26.0;Weyermann Florian;**;20;53.25;13;26.25;-1;0.25;8.5

27c;Huber Alex;*;;;;;;;;;34.5
o;;;Voggensperger Lars;*;;;;;;;8.5
-;5;8.5;Weyermann Florian;**;20;53.25;4;8.75;-1;0.25;8.75
o;9;17.25;Wandeler Roman;*;14;54.75;8;17.5;-1;0.25;8.5
-;15;25.75;Scherer Niklaus;**;27;34.5;15;25.75;0;0.0;8.75

27d;Heinzer Ronny;*;;;;;;;;;34.5
-;;;Kohler Adrian;*;;;;;;;8.75
o;4;8.75;Roth Jan (2004);*;14;54.75;3;9.0;-1;0.25;8.5
o;9;17.25;Stoll Simon;**;23;35.75;8;17.5;-1;0.25;8.5
-;15;25.75;Lussi Marco;**;26;34.75;14;26.0;-1;0.25;8.75

27e;Stüdeli Thomas;**;;;;;;;;;34.5
-;;;Kälin Roland;**;;;;;;;8.75
o;4;8.75;Lang Sven;**;9;56.0;5;8.5;1;-0.25;8.5
o;9;17.25;Schöpfer Ronny;**;9;56.0;8;17.5;-1;0.25;8.5
-;15;25.75;Ming Christian;*;27;34.5;15;25.75;0;0.0;8.75

27f;Ming Christian;*;;;;;;;;;34.5
o;;;Suter Bruno;*;;;;;;;8.5
o;5;8.5;Schlüchter Colin;*;18;53.75;5;8.5;0;0.0;8.5
-;10;17.0;Lemmenmeier Lukas;*;27;34.5;9;17.25;-1;0.25;8.75
-;15;25.75;Stüdeli Thomas;**;27;34.5;15;25.75;0;0.0;8.75

28a;Wenger Marcel;*;;;;;;;;;34.25
o;;;Suter Beat;*;;;;;;;8.5
-;5;8.5;Lemmenmeier Lukas;*;27;34.5;5;8.5;0;0.0;8.75
o;9;17.25;Fankhauser Reto;**;21;53.0;10;17.0;1;-0.25;8.5
o;15;25.75;Durrer Nando;*;15;54.5;13;26.25;-2;0.5;8.5

28b;Betschart Marcel;*;;;;;;;;;34.25
o;;;Stöckli Damian;*;;;;;;;8.5
o;5;8.5;Nägeli Leandro;*;14;54.75;5;8.5;0;0.0;8.5
o;10;17.0;Bader Fabian;**;17;54.0;9;17.25;-1;0.25;8.5
-;16;25.5;Schürpf Bruno;*;26;34.75;14;26.0;-2;0.5;8.75

28c;Schärli Reto;*;;;;;;;;;34.25
o;;;Zaugg Lars;*;;;;;;;8.5
o;5;8.5;Steffen Valentin;*;15;54.5;5;8.5;0;0.0;8.5
o;10;17.0;Joho Philip;*;15;54.5;8;17.5;-2;0.5;8.5
-;16;25.5;Murer Andy;**;26;34.75;14;26.0;-2;0.5;8.75

29a;Arnold Marcel;*;;;;;;;;;34.0
o;;;Käslin Ruedi;*;;;;;;;8.5
o;5;8.5;Ramseier Thomas;*;18;53.75;5;8.5;0;0.0;8.5
o;10;17.0;Kohler Adrian;*;17;54.0;9;17.25;-1;0.25;8.5
o;16;25.5;Schwyzer Samuel;*;14;54.75;13;26.25;-3;0.75;8.5

30a;Schmid Samuel;**;;;;;;;;;27.0
-;;;Schwyzer Samuel;*;;;;;;;8.75
+;4;8.75;Ulrich Marco;**;25;35.0;4;8.75;0;0.0;9.75
o;5;18.5;Doppmann Urs;**;10;55.75;6;18.25;1;-0.25;8.5

31a;Vieira Tiago;**;;;;;;;;;25.5
o;;;Fellmann Roman;**;;;;;;;8.5
o;5;8.5;Steinauer Adrian;**;11;55.5;5;8.5;0;0.0;8.5
o;10;17.0;Wyrsch Silvio;*;24;35.25;10;17.0;0;0.0;8.5

32a;Müllestein Mike;***;;;;;;;;;17.5
-;;;Aeschbacher Matthias;***;;;;;;;8.75
o;4;8.75;Steffen Gustav;**;7;56.5;1;10.0;-3;1.25;8.75

33a;Rohrer Ivan;**;;;;;;;;;17.0
o;;;Hügli Kaj;**;;;;;;;8.5
o;5;8.5;Bucher Christian;**;14;54.75;5;8.5;0;0.0;8.5

34a;Arnold Raphael;**;;;;;;;;;8.5
o;;;Steffen Gustav;**;;;;;;;8.5

