5697-2022-07-10_Rigi_Schwinget-ST

1a;Wicki Joel;***;;;;;;;;;58.5
+;5;18.5;Baeriswyl Christoph;**;15;54.0;5;18.5;0;0.0;9.75
o;5;28.25;Räbsamen Marcel;**;5;56.75;5;28.25;0;0.0;8.5
o;9;36.75;Kaufmann Reto;**;9;55.5;8;37.0;-1;0.25;8.5
+;14;45.25;Hürlimann Mathias;*;17;53.5;15;45.0;1;-0.25;10.0

10d;Murer Andy;**;;;;;;;;;55.25
-;;;Gottofrey Marc;**;;;;;;;8.75
+;3;8.75;Durrer Nando;**;11;55.0;4;8.5;1;-0.25;9.75
o;5;18.5;Felder Martin;**;9;55.5;5;18.5;0;0.0;8.5
+;9;27.0;Dousse Michel;**;26;34.5;12;26.0;3;-1.0;9.75
-;9;36.75;Droxler Jonathan;**;14;54.25;12;35.75;3;-1.0;8.75
+;13;45.5;Lemmenmeier Lukas;*;15;54.0;13;45.5;0;0.0;9.75

10e;Röthlin Pascal;*;;;;;;;;;55.25
o;;;Wyss Christian;*;;;;;;;8.5
o;4;8.5;Wetter Silvan;*;18;53.0;4;8.5;0;0.0;8.5
+;9;17.0;Ammann Rico;*;28;34.0;9;17.0;0;0.0;10.0
o;9;27.0;Hofer Sven;**;21;45.75;9;27.0;0;0.0;8.5
+;13;35.5;Kramer Dorian;**;20;52.5;13;35.5;0;0.0;9.75
+;14;45.25;Müller Luca (2004);*;16;53.75;14;45.25;0;0.0;10.0

10f;Scherrer Fabian;*;;;;;;;;;55.25
+;;;Waser Reto;*;;;;;;;10.0
+;1;10.0;Räbsamen Marcel;**;5;56.75;1;10.0;0;0.0;9.75
o;2;19.75;Schlegel Werner;**;6;56.5;5;18.5;3;-1.25;8.5
+;5;28.25;Schuler Alex;*;15;54.0;5;28.25;0;0.0;10.0
o;4;38.25;Gapany Benjamin;***;5;56.75;7;37.25;3;-1.0;8.5
o;8;46.75;Dändliker Shane;**;4;57.0;7;47.0;-1;0.25;8.5

10g;Riget Florian;**;;;;;;;;;55.25
o;;;Ettlin Stefan;**;;;;;;;8.5
+;4;8.5;Lustenberger Josef;*;26;34.5;3;8.75;-1;0.25;9.75
+;6;18.25;Reichmuth Roland;*;10;55.25;6;18.25;0;0.0;10.0
-;5;28.25;Kenel Franz-Toni;*;13;54.5;5;28.25;0;0.0;8.75
+;8;37.0;Schöpfer Ronny;**;13;54.5;8;37.0;0;0.0;9.75
o;8;46.75;Gapany Benjamin;***;5;56.75;7;47.0;-1;0.25;8.5

10h;Oettli Marco;**;;;;;;;;;55.25
-;;;Suppiger Werner;**;;;;;;;8.75
o;3;8.75;Thierstein Marco;*;15;54.0;2;9.75;-1;1.0;8.5
+;8;17.25;Zurfluh Roman;**;25;34.75;7;17.5;-1;0.25;9.75
+;9;27.0;Elsener Marcel;*;24;35.25;10;26.75;1;-0.25;9.75
+;9;36.75;Schuler Daniel;*;18;53.0;11;36.0;2;-0.75;10.0
o;8;46.75;Bieri Marcel;***;3;57.25;6;47.25;-2;0.5;8.5

11a;Durrer Nando;**;;;;;;;;;55.0
o;;;Baeriswyl Christoph;**;;;;;;;8.5
o;4;8.5;Murer Andy;**;10;55.25;3;8.75;-1;0.25;8.5
+;9;17.0;Blaser Christian;**;27;34.25;9;17.0;0;0.0;9.75
-;10;26.75;Kramer Dorian;**;20;52.5;10;26.75;0;0.0;8.75
+;13;35.5;Wetter Silvan;*;18;53.0;12;35.75;-1;0.25;9.75
+;14;45.25;Schuler Daniel;*;18;53.0;16;44.5;2;-0.75;9.75

11b;Bucher Thomas;**;;;;;;;;;55.0
o;;;Wey Nicola;**;;;;;;;8.5
o;4;8.5;Matthey Mickaël;**;11;55.0;4;8.5;0;0.0;8.5
+;9;17.0;Emonet Frédéric;**;27;34.25;8;17.25;-1;0.25;10.0
o;9;27.0;Odermatt Andreas;**;15;54.0;9;27.0;0;0.0;8.5
+;13;35.5;Grossenbacher Simon;*;15;54.0;12;35.75;-1;0.25;9.75
+;14;45.25;Thierstein Marco;*;15;54.0;13;45.5;-1;0.25;9.75

11c;Kolb This;**;;;;;;;;;55.0
-;;;Gwerder Dario;**;;;;;;;8.75
+;3;8.75;Jund Matthias;*;19;52.75;2;9.75;-1;1.0;9.75
+;5;18.5;Betschart Patrick;*;13;54.5;5;18.5;0;0.0;10.0
-;4;28.5;Gapany Benjamin;***;5;56.75;4;28.5;0;0.0;8.75
-;7;37.25;Kessler Joel;*;7;56.0;7;37.25;0;0.0;8.75
-;11;46.0;Lustenberger Marc;**;12;54.75;12;45.75;1;-0.25;9.0

11d;Ettlin Stefan;**;;;;;;;;;55.0
+;;;Riget Florian;**;;;;;;;9.75
o;2;9.75;Gapany Benjamin;***;5;56.75;1;10.0;-1;0.25;8.5
+;6;18.25;Kramer Dorian;**;20;52.5;6;18.25;0;0.0;9.75
o;6;28.0;Matthey Mickaël;**;11;55.0;6;28.0;0;0.0;8.75
+;9;36.75;Thierstein Marco;*;15;54.0;8;37.0;-1;0.25;9.75
o;9;46.5;Collaud Romain;**;3;57.25;6;47.25;-3;0.75;8.5

11e;Matthey Mickaël;**;;;;;;;;;55.0
o;;;Odermatt Christian;**;;;;;;;8.5
+;4;8.5;Bucher Thomas;**;11;55.0;4;8.5;0;0.0;9.75
+;6;18.25;Kurmann Toni;**;31;26.75;6;18.25;0;0.0;9.75
+;6;28.0;Ettlin Stefan;**;11;55.0;6;28.0;0;0.0;9.75
o;6;37.75;Orlik Armon;***;2;58.0;4;38.25;-2;0.5;8.5
-;10;46.25;Geisser Lars;**;8;55.75;7;47.0;-3;0.75;8.75

12a;Suppiger Werner;**;;;;;;;;;54.75
-;;;Oettli Marco;**;;;;;;;8.75
o;3;8.75;Balimann Sandro;*;13;54.5;1;10.0;-2;1.25;8.75
+;7;17.5;Gottofrey Luc;*;19;52.75;8;17.25;1;-0.25;10.0
-;7;27.5;Wetter Silvan;*;18;53.0;9;27.0;2;-0.5;8.75
-;10;36.25;Schuler Alex;*;15;54.0;9;36.75;-1;0.5;8.75
+;15;45.0;Lehmann Philipp;**;17;53.5;15;45.0;0;0.0;9.75

12b;Burkhalter Stefan;***;;;;;;;;;54.75
+;;;Ulrich Marco;**;;;;;;;10.0
-;1;10.0;Kessler Joel;*;7;56.0;1;10.0;0;0.0;8.75
-;4;18.75;Balimann Sandro;*;13;54.5;1;20.0;-3;1.25;8.75
-;7;27.5;Bernhard Lukas;**;10;55.25;5;28.25;-2;0.75;8.75
+;10;36.25;Müller Luca (2004);*;16;53.75;9;36.75;-1;0.5;10.0
o;10;46.25;Schurtenberger Sven;***;4;57.0;7;47.0;-3;0.75;8.5

12c;Lustenberger Marc;**;;;;;;;;;54.75
o;;;Gapany Benjamin;***;;;;;;;8.5
+;4;8.5;Colò Kilian;**;23;35.5;3;8.75;-1;0.25;9.75
+;6;18.25;Riedo Fredy;*;15;54.0;4;18.75;-2;0.5;10.0
o;5;28.25;Geisser Lars;**;8;55.75;3;28.75;-2;0.5;8.75
-;8;37.0;Ackermann Remo;*;8;55.75;8;37.0;0;0.0;8.75
-;12;45.75;Kolb This;**;11;55.0;11;46.0;-1;0.25;9.0

13a;Balimann Sandro;*;;;;;;;;;54.5
+;;;Herger Fabian;*;;;;;;;10.0
+;1;10.0;Suppiger Werner;**;12;54.75;3;8.75;2;-1.25;10.0
-;1;20.0;Burkhalter Stefan;***;12;54.75;4;18.75;3;-1.25;8.75
o;3;28.75;Bieri Marcel;***;3;57.25;8;27.25;5;-1.5;8.5
o;7;37.25;Wandeler Roman;**;7;56.0;7;37.25;0;0.0;8.5
-;12;45.75;Kenel Franz-Toni;*;13;54.5;12;45.75;0;0.0;8.75

13b;Kenel Franz-Toni;*;;;;;;;;;54.5
+;;;Droxler Jonathan;**;;;;;;;9.75
o;2;9.75;Arnold Raphael;**;9;55.5;1;10.0;-1;0.25;8.5
+;6;18.25;Wyss Christian;*;24;35.25;6;18.25;0;0.0;10.0
-;5;28.25;Riget Florian;**;10;55.25;5;28.25;0;0.0;8.75
-;8;37.0;Hofer Sven;**;21;45.75;8;37.0;0;0.0;8.75
-;12;45.75;Balimann Sandro;*;13;54.5;12;45.75;0;0.0;8.75

13c;Heinzer Ronny;*;;;;;;;;;54.5
o;;;Ackermann Remo;*;;;;;;;8.5
+;4;8.5;Fankhauser Hans;*;27;34.25;4;8.5;0;0.0;10.0
o;5;18.5;Collaud Romain;**;3;57.25;4;18.75;-1;0.25;8.5
-;9;27.0;Lehmann Philipp;**;17;53.5;9;27.0;0;0.0;9.0
+;11;36.0;Gottofrey Luc;*;19;52.75;12;35.75;1;-0.25;10.0
o;11;46.0;Duplan Steve;***;8;55.75;12;45.75;1;-0.25;8.5

13d;Schöpfer Ronny;**;;;;;;;;;54.5
o;;;Schneider Mario;**;;;;;;;8.5
+;4;8.5;Odermatt Andreas;**;15;54.0;3;8.75;-1;0.25;10.0
o;5;18.5;Dändliker Shane;**;4;57.0;5;18.5;0;0.0;8.5
+;9;27.0;Gottofrey Marc;**;25;34.75;11;26.25;2;-0.75;10.0
o;8;37.0;Riget Florian;**;10;55.25;8;37.0;0;0.0;8.75
o;12;45.75;Rotach Lars;*;9;55.5;13;45.5;1;-0.25;8.75

13e;Betschart Patrick;*;;;;;;;;;54.5
-;;;Emonet Frédéric;**;;;;;;;8.75
+;3;8.75;Blaser Christian;**;27;34.25;4;8.5;1;-0.25;9.75
o;5;18.5;Kolb This;**;11;55.0;5;18.5;0;0.0;8.5
-;9;27.0;Rotach Lars;*;9;55.5;9;27.0;0;0.0;8.75
-;12;35.75;Jund Matthias;*;19;52.75;13;35.5;1;-0.25;8.75
+;16;44.5;Kramer Dorian;**;20;52.5;18;44.0;2;-0.5;10.0

14a;Droxler Jonathan;**;;;;;;;;;54.25
o;;;Kenel Franz-Toni;*;;;;;;;8.5
o;4;8.5;Kaufmann Reto;**;9;55.5;4;8.5;0;0.0;8.5
+;9;17.0;Waser Reto;*;19;52.75;9;17.0;0;0.0;10.0
o;9;27.0;Bernhard Lukas;**;10;55.25;5;28.25;-4;1.25;8.75
+;12;35.75;Lustenberger Josef;*;26;34.5;16;34.5;4;-1.25;9.75
-;13;45.5;Murer Andy;**;10;55.25;13;45.5;0;0.0;8.75

14b;Heinzer Lukas (2004);*;;;;;;;;;54.25
+;;;Fankhauser Hans;*;;;;;;;10.0
-;1;10.0;Wey Nicola;**;22;37.25;1;10.0;0;0.0;8.75
o;4;18.75;Geisser Lars;**;8;55.75;4;18.75;0;0.0;8.5
o;8;27.25;Lemmenmeier Lukas;*;15;54.0;9;27.0;1;-0.25;8.5
+;12;35.75;Herger Fabian;*;16;53.75;13;35.5;1;-0.25;10.0
o;12;45.75;Arnold Raphael;**;9;55.5;12;45.75;0;0.0;8.5

15a;Thierstein Marco;*;;;;;;;;;54.0
+;;;Wiget Ueli;*;;;;;;;9.75
+;2;9.75;Oettli Marco;**;10;55.25;3;8.75;1;-1.0;9.75
o;3;19.5;Duplan Steve;***;8;55.75;4;18.75;1;-0.75;8.5
-;6;28.0;Arnold Raphael;**;9;55.5;5;28.25;-1;0.25;9.0
o;8;37.0;Ettlin Stefan;**;11;55.0;9;36.75;1;-0.25;8.5
o;13;45.5;Bucher Thomas;**;11;55.0;14;45.25;1;-0.25;8.5

15b;Schuler Alex;*;;;;;;;;;54.0
+;;;Würsch Lars;*;;;;;;;10.0
o;1;10.0;Rychen Roger;***;3;57.25;2;9.75;1;-0.25;8.5
+;5;18.5;Wetter Silvan;*;18;53.0;6;18.25;1;-0.25;9.75
o;5;28.25;Scherrer Fabian;*;10;55.25;5;28.25;0;0.0;8.5
-;9;36.75;Suppiger Werner;**;12;54.75;10;36.25;1;-0.5;8.75
o;13;45.5;Ackermann Remo;*;8;55.75;12;45.75;-1;0.25;8.5

15c;Grossenbacher Simon;*;;;;;;;;;54.0
o;;;Kessler Joel;*;;;;;;;8.5
+;4;8.5;Waser Reto;*;19;52.75;4;8.5;0;0.0;10.0
o;5;18.5;Bieri Marcel;***;3;57.25;8;17.25;3;-1.25;8.5
-;9;27.0;Schuler Daniel;*;18;53.0;11;26.25;2;-0.75;8.75
o;12;35.75;Bucher Thomas;**;11;55.0;13;35.5;1;-0.25;8.5
+;17;44.25;Scherer Niklaus;**;19;52.75;17;44.25;0;0.0;9.75

15d;Odermatt Andreas;**;;;;;;;;;54.0
-;;;Dousse Michel;**;;;;;;;8.75
o;3;8.75;Schöpfer Ronny;**;13;54.5;4;8.5;1;-0.25;8.5
+;8;17.25;Scherer Niklaus;**;19;52.75;8;17.25;0;0.0;9.75
+;9;27.0;Bucher Thomas;**;11;55.0;9;27.0;0;0.0;10.0
o;8;37.0;Borcard Johann;**;9;55.5;8;37.0;0;0.0;8.5
o;13;45.5;Reichmuth Roland;*;10;55.25;13;45.5;0;0.0;8.5
o;15;54.0;Kessler Joel;*;7;56.0;7;56.0;-8;2.0;0.0

15e;Riedo Fredy;*;;;;;;;;;54.0
+;;;Müller Luca (2004);*;;;;;;;10.0
