4449-2019-05-05_100_Zuger_Kantonales_Schwingfest-ST

1a;Reichmuth Pirmin;***;;;;;;;;;59.75
+;4;8.75;Bieri Christian;**;7;56.5;2;9.75;-2;1.0;10.0
+;5;18.75;Zimmermann Martin;**;6;56.75;4;19.0;-1;0.25;9.75
+;5;28.5;Betschart Rainer;**;10;55.75;4;28.75;-1;0.25;10.0
-;4;38.5;Bieri Marcel;**;4;57.25;2;39.75;-2;1.25;9.0
+;6;47.5;Rohrer Ivan;**;10;55.75;7;47.25;1;-0.25;9.75

4e;Bieri Marcel;**;;;;;;;;;57.25
+;;;Ulrich Andreas;***;;;;;;;9.75
+;2;9.75;Burch Jonas;*;4;57.25;1;10.0;-1;0.25;10.0
+;2;19.75;Gloggner Reto;**;4;57.25;1;20.0;-1;0.25;10.0
+;2;29.75;Müller Michael;**;4;57.25;3;29.0;1;-0.75;10.0
-;2;39.75;Wicki Joel;**;4;57.25;4;38.5;2;-1.25;8.75
o;2;48.5;Reichmuth Pirmin;***;1;59.75;1;49.75;-1;1.25;8.75

4f;Müller Michael;**;;;;;;;;;57.25
-;;;Rohrer Marco;**;;;;;;;9.0
+;3;9.0;Hess Michael;*;13;55.0;3;9.0;0;0.0;10.0
+;4;19.0;Grab Martin;;6;56.75;2;19.75;-2;0.75;10.0
o;3;29.0;Bieri Marcel;**;4;57.25;2;29.75;-1;0.75;8.5
+;8;37.5;Rohrer Ueli;*;6;56.75;5;38.25;-3;0.75;9.75
+;7;47.25;Betschart Patrick;*;12;55.25;9;46.75;2;-0.5;10.0

4g;Kenel Franz-Toni;*;;;;;;;;;57.25
-;;;Kurmann Toni;*;;;;;;;8.75
-;4;8.75;Fankhauser Reto;**;7;56.5;4;8.75;0;0.0;9.0
+;9;17.75;Achermann Christoph;*;10;55.75;11;17.25;2;-0.5;9.75
+;9;27.5;Gander Sebastian (2003);;18;53.75;6;28.25;-3;0.75;10.0
+;8;37.5;Jund Matthias;;12;55.25;10;37.0;2;-0.5;9.75
+;7;47.25;Vonlaufen Lukas;*;11;55.5;8;47.0;1;-0.25;10.0

5a;Briker Michael;*;;;;;;;;;57.0
-;;;Heiniger Marco;*;;;;;;;9.0
+;3;9.0;Achermann Christoph;*;10;55.75;4;8.75;1;-0.25;10.0
o;4;19.0;Müllestein Mike;***;8;56.25;5;18.75;1;-0.25;8.5
+;9;27.5;Lagler Christian;;12;55.25;7;28.0;-2;0.5;10.0
+;8;37.5;Thierstein Marco;*;13;55.0;8;37.5;0;0.0;9.75
+;7;47.25;Lustenberger Marc (2003);;11;55.5;8;47.0;1;-0.25;9.75

5b;Kennel Beat;*;;;;;;;;;57.0
-;;;Gassmann Michael;*;;;;;;;8.75
-;4;8.75;Gasser Stefan;**;9;56.0;4;8.75;0;0.0;8.75
+;10;17.5;Banz Matthias (2001);;23;35.5;6;18.5;-4;1.0;10.0
+;9;27.5;Baumann Lukas;;10;55.75;7;28.0;-2;0.5;9.75
+;9;37.25;Nietlispach Pascal;**;16;54.25;9;37.25;0;0.0;9.75
+;8;47.0;Zurfluh Michael;*;11;55.5;9;46.75;1;-0.25;10.0

5c;Elsener Marcel;*;;;;;;;;;57.0
+;;;Müller Roger;*;;;;;;;9.75
-;2;9.75;Schuler Alex;***;12;55.25;4;8.75;2;-1.0;8.75
+;6;18.5;Schuler Samuel (2003);;21;53.0;5;18.75;-1;0.25;10.0
-;5;28.5;Fellmann Roman;**;10;55.75;5;28.5;0;0.0;8.75
+;9;37.25;Gander Sebastian (2003);;18;53.75;11;36.75;2;-0.5;10.0
+;7;47.25;Weber Ivo;;10;55.75;7;47.25;0;0.0;9.75

5d;Arnold Fabian;*;;;;;;;;;57.0
-;;;Ulrich Marco;*;;;;;;;8.75
-;4;8.75;Brun Jonas;**;12;55.25;4;8.75;0;0.0;8.75
+;10;17.5;Burri Ueli;;23;35.5;6;18.5;-4;1.0;10.0
+;9;27.5;Bucher André (2001);;13;55.0;7;28.0;-2;0.5;9.75
+;9;37.25;Leuthard Reto;**;10;55.75;9;37.25;0;0.0;9.75
+;8;47.0;Döbeli Lukas;**;11;55.5;8;47.0;0;0.0;10.0

5e;Linggi Bruno;**;;;;;;;;;57.0
-;;;Zimmermann Martin;**;;;;;;;9.0
+;3;9.0;Felder Seppi;*;11;55.5;4;8.75;1;-0.25;10.0
+;4;19.0;Van Messel Noe (2002);;6;56.75;2;19.75;-2;0.75;10.0
+;3;29.0;Reichmuth Roland;*;9;56.0;4;28.75;1;-0.25;9.75
o;3;38.75;Reichmuth Pirmin;***;1;59.75;1;40.0;-2;1.25;8.5
+;7;47.25;Stöckli Damian;*;10;55.75;8;47.0;1;-0.25;9.75

6a;Zimmermann Martin;**;;;;;;;;;56.75
-;;;Linggi Bruno;**;;;;;;;9.0
+;3;9.0;Schmidiger Marco;*;16;54.25;4;8.75;1;-0.25;10.0
o;4;19.0;Wicki Joel;**;4;57.25;5;18.75;1;-0.25;8.75
+;8;27.75;Wicki Patrick;;10;55.75;5;28.5;-3;0.75;10.0
-;7;37.75;Villiger Cyrill;*;10;55.75;7;37.75;0;0.0;9.0
+;9;46.75;Graber Michael;*;11;55.5;9;46.75;0;0.0;10.0

6b;Van Messel Noe (2002);;;;;;;;;;56.75
+;;;Vogler Jonas;;;;;;;;9.75
+;2;9.75;Hegner Ueli;*;12;55.25;5;8.5;3;-1.25;10.0
o;2;19.75;Linggi Bruno;**;5;57.0;4;19.0;2;-0.75;8.5
+;6;28.25;Fellmann Simon;;13;55.0;6;28.25;0;0.0;9.75
o;6;38.0;Huber Alex;*;10;55.75;8;37.5;2;-0.5;8.75
+;9;46.75;Scherrer Fabian (2002);;12;55.25;9;46.75;0;0.0;10.0

6c;Arnold Raphael;**;;;;;;;;;56.75
+;;;Heinzer Ronny;*;;;;;;;9.75
-;2;9.75;Müllestein Mike;***;8;56.25;1;10.0;-1;0.25;8.75
+;6;18.5;Blattmann Philipp;;13;55.0;2;19.75;-4;1.25;10.0
+;5;28.5;Bucher Roland;*;11;55.5;6;28.25;1;-0.25;9.75
-;5;38.25;Betschart Remo;**;3;57.5;4;38.5;-1;0.25;8.75
+;8;47.0;Langenegger Ruedi;;12;55.25;9;46.75;1;-0.25;9.75

6d;Grab Martin;;;;;;;;;;56.75
+;;;Mehr Lars (2002);;;;;;;;10.0
+;1;10.0;Betschart Marcel;*;13;55.0;5;8.5;4;-1.5;9.75
o;2;19.75;Müller Michael;**;4;57.25;4;19.0;2;-0.75;8.5
-;6;28.25;Langensand Stefan;*;11;55.5;9;27.5;3;-0.75;9.0
+;9;37.25;Vogel Manuel;;11;55.5;10;37.0;1;-0.25;9.75
+;8;47.0;Riebli Urs (2002);;10;55.75;8;47.0;0;0.0;9.75

6e;Egli Damian;**;;;;;;;;;56.75
-;;;Klausner Yanick;**;;;;;;;9.0
+;3;9.0;Arnold Severin;*;23;35.5;4;8.75;1;-0.25;10.0
+;4;19.0;Hurschler Adrian;;17;54.0;2;19.75;-2;0.75;10.0
-;3;29.0;Durrer Fabian;*;8;56.25;5;28.5;2;-0.5;9.0
-;6;38.0;Streiff Dominik;*;7;56.5;7;37.75;1;-0.25;9.0
+;8;47.0;Huber Alex;*;10;55.75;7;47.25;-1;0.25;9.75

6f;Ulrich Andreas;***;;;;;;;;;56.75
o;;;Bieri Marcel;**;;;;;;;8.5
+;5;8.5;Rohrer Ueli;*;6;56.75;2;9.75;-3;1.25;9.75
+;7;18.25;Nietlispach Pascal;**;16;54.25;5;18.75;-2;0.5;10.0
+;6;28.25;Döbeli Lukas;**;11;55.5;5;28.5;-1;0.25;10.0
+;5;38.25;Waser Dominik;**;6;56.75;4;38.5;-1;0.25;10.0
o;3;48.25;Imhof Andi;***;2;57.75;4;48.0;1;-0.25;8.5

6g;Rohrer Ueli;*;;;;;;;;;56.75
+;;;Döbeli Lukas;**;;;;;;;9.75
o;2;9.75;Ulrich Andreas;***;6;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Hürlimann Ueli (2001);;17;54.0;6;18.5;-1;0.25;10.0
+;6;28.25;Blattmann Philipp;;13;55.0;6;28.25;0;0.0;10.0
o;5;38.25;Müller Michael;**;4;57.25;8;37.5;3;-0.75;8.5
+;9;46.75;Reichmuth Roland;*;9;56.0;7;47.25;-2;0.5;10.0

6h;Waser Dominik;**;;;;;;;;;56.75
+;;;Döbeli Andreas;*;;;;;;;10.0
-;1;10.0;Steinauer Adrian;**;9;56.0;2;9.75;1;-0.25;8.75
+;5;18.75;Vogel Manuel;;11;55.5;1;20.0;-4;1.25;9.75
+;5;28.5;Vonlaufen Lukas;*;11;55.5;5;28.5;0;0.0;10.0
o;4;38.5;Ulrich Andreas;***;6;56.75;5;38.25;1;-0.25;8.5
+;8;47.0;Kälin Roland;**;12;55.25;9;46.75;1;-0.25;9.75

7a;Bucher Christian;*;;;;;;;;;56.5
+;;;Achermann Christoph;*;;;;;;;9.75
o;2;9.75;Mathis Marcel;***;8;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Durrer Lukas;;14;54.75;6;18.5;-1;0.25;9.75
+;7;28.0;Bienz Romeo;;9;56.0;5;28.5;-2;0.5;9.75
o;7;37.75;Steinauer Adrian;**;9;56.0;8;37.5;1;-0.25;8.75
+;10;46.5;Lagler Christian;;12;55.25;10;46.5;0;0.0;10.0

7b;Bieri Christian;**;;;;;;;;;56.5
+;;;Amgarten Martin;*;;;;;;;9.75
o;2;9.75;Wicki Joel;**;4;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Suter Bruno (2002);;16;54.25;5;18.75;-2;0.5;9.75
+;7;28.0;Herger Andreas;;17;54.0;5;28.5;-2;0.5;9.75
+;7;37.75;Gasser Stefan;**;9;56.0;8;37.5;1;-0.25;10.0
-;5;47.75;Fankhauser Reto;**;7;56.5;6;47.5;1;-0.25;8.75

7c;Streiff Dominik;*;;;;;;;;;56.5
-;;;Stöckli Damian;*;;;;;;;8.75
-;4;8.75;Leuthard Reto;**;10;55.75;4;8.75;0;0.0;9.0
+;9;17.75;Schöpfer Marco (2003);;23;35.5;8;18.0;-1;0.25;10.0
+;8;27.75;Aregger Fabian (2001);;17;54.0;6;28.25;-2;0.5;10.0
-;7;37.75;Egli Damian;**;6;56.75;6;38.0;-1;0.25;8.75
+;10;46.5;Bucher André (2001);;13;55.0;10;46.5;0;0.0;10.0

7d;Klausner Yanick;**;;;;;;;;;56.5
-;;;Egli Damian;**;;;;;;;8.75
+;4;8.75;Waser Reto;*;15;54.5;1;10.0;-3;1.25;10.0
-;5;18.75;Wandeler Roman (2002);;11;55.5;2;19.75;-3;1.0;9.0
-;8;27.75;Elsener Adrian;**;8;56.25;5;28.5;-3;0.75;8.75
+;12;36.5;Hürlimann Ueli (2001);;17;54.0;10;37.0;-2;0.5;10.0
+;10;46.5;Steiner Severin (2001);;13;55.0;10;46.5;0;0.0;10.0

7e;Matter Marco;;;;;;;;;;56.5
+;;;Arnold Sebastian;;;;;;;;10.0
o;1;10.0;Schnider Markus;*;12;55.25;5;8.5;4;-1.5;8.5
+;6;18.5;Betschart Silvan;*;26;34.75;10;17.5;4;-1.0;10.0
o;5;28.5;Fankhauser Reto;**;7;56.5;8;27.75;3;-0.75;8.5
+;10;37.0;Aregger Fabian (2001);;17;54.0;11;36.75;1;-0.25;9.75
+;9;46.75;Wicki Kevin;;11;55.5;8;47.0;-1;0.25;9.75

7f;Odermatt Christian;**;;;;;;;;;56.5
+;;;Gwerder Carlo;**;;;;;;;9.75
+;2;9.75;Durrer Fabian;*;8;56.25;1;10.0;-1;0.25;9.75
o;3;19.5;Reichmuth Pirmin;***;1;59.75;1;20.0;-2;0.5;8.5
o;7;28.0;Riebli Urs (2002);;10;55.75;5;28.5;-2;0.5;8.5
+;12;36.5;Hürlimann Marco (2002);;20;53.25;14;36.0;2;-0.5;10.0
+;10;46.5;Gwerder Andreas;*;16;54.25;13;45.75;3;-0.75;10.0

7g;Fankhauser Reto;**;;;;;;;;;56.5
-;;;Betschart Rainer;**;;;;;;;8.75
-;4;8.75;Kenel Franz-Toni;*;4;57.25;4;8.75;0;0.0;9.0
+;9;17.75;Meier Daniel;;20;53.25;5;18.75;-4;1.0;10.0
+;8;27.75;Matter Marco;;7;56.5;5;28.5;-3;0.75;10.0
+;7;37.75;Schuler Alex;***;12;55.25;10;37.0;3;-0.75;9.75
-;6;47.5;Bieri Christian;**;7;56.5;5;47.75;-1;0.25;9.0

7h;Heiniger Marco;*;;;;;;;;;56.5
-;;;Briker Michael;*;;;;;;;9.0
+;3;9.0;Barmettler Peter;*;12;55.25;5;8.5;2;-0.5;10.0
-;4;19.0;Bienz Romeo;;9;56.0;3;19.5;-1;0.5;9.0
+;7;28.0;Bucher Thomas;;10;55.75;5;28.5;-2;0.5;9.75
-;7;37.75;Strebel Joel;**;8;56.25;8;37.5;1;-0.25;8.75
+;10;46.5;Ming Christian;*;14;54.75;11;46.25;1;-0.25;10.0

8a;Elsener Adrian;**;;;;;;;;;56.25
+;;;Barmettler Peter;*;;;;;;;10.0
-;1;10.0;Huber Alex;*;10;55.75;2;9.75;1;-0.25;8.75
+;5;18.75;Fellmann Simon;;13;55.0;2;19.75;-3;1.0;9.75
-;5;28.5;Klausner Yanick;**;7;56.5;8;27.75;3;-0.75;8.75
+;9;37.25;Wandeler Roman (2002);;11;55.5;9;37.25;0;0.0;10.0
-;7;47.25;Villiger Cyrill;*;10;55.75;9;46.75;2;-0.5;9.0

8b;Mathis Marcel;***;;;;;;;;;56.25
-;;;Wicki Joel;**;;;;;;;8.75
+;4;8.75;Bucher Christian;*;7;56.5;2;9.75;-2;1.0;9.75
-;6;18.5;Heinzer Ronny;*;9;56.0;6;18.5;0;0.0;9.0
+;9;27.5;Betschart Patrick;*;12;55.25;6;28.25;-3;0.75;10.0
-;8;37.5;Gloggner Reto;**;4;57.25;4;38.5;-4;1.0;8.75
+;11;46.25;Arnold Marcel;*;13;55.0;10;46.5;-1;0.25;10.0

8c;Durrer Markus;;;;;;;;;;56.25
+;;;Andermatt Adrian;;;;;;;;9.75
o;2;9.75;Bienz Romeo;;9;56.0;2;9.75;0;0.0;8.5
o;7;18.25;Betschart Marcel;*;13;55.0;12;17.0;5;-1.25;8.5
+;12;26.75;Suter Lukas (2002);;26;34.75;14;26.25;2;-0.5;9.75
+;12;36.5;Kempf Fabian (2002);;19;53.5;12;36.5;0;0.0;10.0
+;10;46.5;Thierstein Marco;*;13;55.0;11;46.25;1;-0.25;9.75

8d;Strebel Joel;**;;;;;;;;;56.25
o;;;Gloggner Reto;**;;;;;;;8.75
+;4;8.75;Stöckli Damian;*;10;55.75;4;8.75;0;0.0;10.0
+;5;18.75;Riebli Urs (2002);;10;55.75;1;20.0;-4;1.25;9.75
-;5;28.5;Suppiger Werner;**;2;57.75;4;28.75;-1;0.25;9.0
-;8;37.5;Heiniger Marco;*;7;56.5;7;37.75;-1;0.25;8.75
+;11;46.25;Lüthy Ralph;;13;55.0;10;46.5;-1;0.25;10.0

8e;Reichmuth Armin;*;;;;;;;;;56.25
+;;;Graber Michael;*;;;;;;;9.75
o;2;9.75;Imhof Andi;***;2;57.75;5;8.5;3;-1.25;8.5
+;7;18.25;Kempf David;;20;53.25;6;18.5;-1;0.25;9.75
+;7;28.0;Wandeler Roman (2002);;11;55.5;4;28.75;-3;0.75;10.0
o;6;38.0;Müllestein Mike;***;8;56.25;9;37.25;3;-0.75;8.5
+;10;46.5;Hess Michael;*;13;55.0;10;46.5;0;0.0;9.75

8f;Durrer Fabian;*;;;;;;;;;56.25
+;;;Hegner Ueli;*;;;;;;;10.0
o;1;10.0;Odermatt Christian;**;7;56.5;2;9.75;1;-0.25;8.5
+;6;18.5;Appert Silvan (2003);;29;27.25;5;18.75;-1;0.25;10.0
-;5;28.5;Egli Damian;**;6;56.75;3;29.0;-2;0.5;9.0
+;8;37.5;Zurfluh Michael;*;11;55.5;6;38.0;-2;0.5;9.75
-;7;47.25;Bienz Romeo;;9;56.0;8;47.0;1;-0.25;9.0

8g;Müllestein Mike;***;;;;;;;;;56.25
+;;;Gloggner Philipp;***;;;;;;;10.0
-;1;10.0;Arnold Raphael;**;6;56.75;2;9.75;1;-0.25;8.75
+;5;18.75;Briker Michael;*;5;57.0;4;19.0;-1;0.25;10.0
o;4;28.75;Reichmuth Pirmin;***;1;59.75;1;30.0;-3;1.25;8.5
+;9;37.25;Reichmuth Armin;*;8;56.25;6;38.0;-3;0.75;10.0
-;7;47.25;Döbeli Andreas;*;9;56.0;8;47.0;1;-0.25;9.0

8h;Wyrsch Marco;**;;;;;;;;;56.25
-;;;Brun Jonas;**;;;;;;;8.75
+;4;8.75;Moos Christoph;*;16;54.25;4;8.75;0;0.0;9.75
+;6;18.5;Jund Matthias;;12;55.25;2;19.75;-4;1.25;10.0
-;5;28.5;Kälin Roland;**;12;55.25;6;28.25;1;-0.25;8.75
-;9;37.25;Steiner Severin (2001);;13;55.0;8;37.5;-1;0.25;9.0
+;11;46.25;Barmettler Renato (2003);;14;54.75;11;46.25;0;0.0;10.0

9a;Bienz Romeo;;;;;;;;;;56.0
+;;;Brun Christian;;;;;;;;9.75
+;2;9.75;Durrer Markus;;8;56.25;2;9.75;0;0.0;9.75
-;3;19.5;Heiniger Marco;*;7;56.5;4;19.0;1;-0.5;9.0
o;5;28.5;Bucher Christian;*;7;56.5;7;28.0;2;-0.5;8.5
+;10;37.0;Fellmann Roman;**;10;55.75;9;37.25;-1;0.25;10.0
-;8;47.0;Durrer Fabian;*;8;56.25;7;47.25;-1;0.25;9.0

9b;Heinzer Ronny;*;;;;;;;;;56.0
o;;;Arnold Raphael;**;;;;;;;8.5
+;5;8.5;Wallimann Remo;;9;56.0;1;10.0;-4;1.5;10.0
-;6;18.5;Mathis Marcel;***;8;56.25;6;18.5;0;0.0;9.0
+;9;27.5;Albert Thomas;;12;55.25;6;28.25;-3;0.75;10.0
o;8;37.5;Döbeli Andreas;*;9;56.0;10;37.0;2;-0.5;8.5
+;12;46.0;Blattmann Philipp;;13;55.0;10;46.5;-2;0.5;10.0

9c;Schärli Reto;;;;;;;;;;56.0
+;;;Gabriel Christian;;;;;;;;10.0
-;1;10.0;Meier Daniel;;20;53.25;1;10.0;0;0.0;8.75
-;5;18.75;Waser Reto;*;15;54.5;6;18.5;1;-0.25;8.75
o;9;27.5;Moos Christoph;*;16;54.25;10;27.25;1;-0.25;8.5
+;14;36.0;Gander Michael;;13;55.0;12;36.5;-2;0.5;10.0
+;12;46.0;Schmid Pius;;16;54.25;13;45.75;1;-0.25;10.0

9d;Döbeli Andreas;*;;;;;;;;;56.0
o;;;Waser Dominik;**;;;;;;;8.5
-;5;8.5;Rohrer Ivan;**;10;55.75;5;8.5;0;0.0;8.75
+;11;17.25;Durrer Ueli;;15;54.5;6;18.5;-5;1.25;9.75
+;11;27.0;Kempf Fabian (2002);;19;53.5;7;28.0;-4;1.0;10.0
+;10;37.0;Heinzer Ronny;*;9;56.0;8;37.5;-2;0.5;10.0
-;8;47.0;Müllestein Mike;***;8;56.25;7;47.25;-1;0.25;9.0

9e;Wallimann Remo;;;;;;;;;;56.0
+;;;Weber Ivo;;;;;;;;10.0
o;1;10.0;Heinzer Ronny;*;9;56.0;5;8.5;4;-1.5;8.75
o;5;18.75;Villiger Cyrill;*;10;55.75;7;18.25;2;-0.5;8.75
o;9;27.5;Ulrich Pascal;;14;54.75;9;27.5;0;0.0;8.5
+;14;36.0;Schuler Samuel (2003);;21;53.0;15;35.75;1;-0.25;10.0
+;12;46.0;Nietlispach Pascal;**;16;54.25;13;45.75;1;-0.25;10.0

9f;Gasser Stefan;**;;;;;;;;;56.0
o;;;Steinauer Adrian;**;;;;;;;8.75
-;4;8.75;Kennel Beat;*;5;57.0;4;8.75;0;0.0;9.0
+;9;17.75;Lüthy Ralph;;13;55.0;6;18.5;-3;0.75;10.0
+;8;27.75;Jund Matthias;;12;55.25;6;28.25;-2;0.5;9.75
o;8;37.5;Bieri Christian;**;7;56.5;7;37.75;-1;0.25;8.5
+;12;46.0;Beffa Mario;;15;54.5;12;46.0;0;0.0;10.0

9g;Steinauer Adrian;**;;;;;;;;;56.0
+;;;Gasser Stefan;**;;;;;;;9.75
-;2;9.75;Waser Dominik;**;6;56.75;1;10.0;-1;0.25;8.75
+;6;18.5;Gabriel Simon (2002);;18;53.75;4;19.0;-2;0.5;10.0
-;5;28.5;Bernhard Lukas;*;3;57.5;5;28.5;0;0.0;9.0
+;8;37.5;Bucher Christian;*;7;56.5;7;37.75;-1;0.25;9.75
-;7;47.25;Wicki Patrick;;10;55.75;8;47.0;1;-0.25;8.75

9h;Reichmuth Roland;*;;;;;;;;;56.0
o;;;Burch Jonas;*;;;;;;;8.75
+;4;8.75;Scherer Niklaus;*;12;55.25;5;8.5;1;-0.25;10.0
+;5;18.75;Weber Ivo;;10;55.75;5;18.75;0;0.0;10.0
o;4;28.75;Linggi Bruno;**;5;57.0;3;29.0;-1;0.25;8.5
+;9;37.25;Kurmann Toni;*;10;55.75;9;37.25;0;0.0;10.0
o;7;47.25;Rohrer Ueli;*;6;56.75;9;46.75;2;-0.5;8.75

9i;Rohrer Marco;**;;;;;;;;;56.0
-;;;Müller Michael;**;;;;;;;9.0
+;3;9.0;Kurmann Toni;*;10;55.75;4;8.75;1;-0.25;9.75
+;5;18.75;Baumann Lukas;;10;55.75;3;19.5;-2;0.75;9.75
-;5;28.5;Huber Alex;*;10;55.75;5;28.5;0;0.0;9.0
-;8;37.5;Brun Jonas;**;12;55.25;8;37.5;0;0.0;8.75
+;11;46.25;Fellmann Simon;;13;55.0;10;46.5;-1;0.25;9.75

10a;Huber Alex;*;;;;;;;;;55.75
+;;;Rohrer Ivan;**;;;;;;;9.75
-;2;9.75;Elsener Adrian;**;8;56.25;1;10.0;-1;0.25;8.75
+;6;18.5;Gander Benjamin;;23;35.5;6;18.5;0;0.0;10.0
-;5;28.5;Rohrer Marco;**;9;56.0;5;28.5;0;0.0;9.0
+;8;37.5;Van Messel Noe (2002);;6;56.75;6;38.0;-2;0.5;9.75
o;7;47.25;Egli Damian;**;6;56.75;8;47.0;1;-0.25;8.5

10b;Riebli Urs (2002);;;;;;;;;;55.75
+;;;Imholz Elias;;;;;;;;10.0
+;1;10.0;Heinzer Remo (2003);;23;35.5;2;9.75;1;-0.25;10.0
o;1;20.0;Strebel Joel;**;8;56.25;5;18.75;4;-1.25;8.5
+;5;28.5;Odermatt Christian;**;7;56.5;7;28.0;2;-0.5;9.75
o;5;38.25;Bernhard Lukas;*;3;57.5;8;37.5;3;-0.75;8.75
o;8;47.0;Grab Martin;;6;56.75;8;47.0;0;0.0;8.75

10c;Achermann Christoph;*;;;;;;;;;55.75
o;;;Bucher Christian;*;;;;;;;8.75
o;4;8.75;Briker Michael;*;5;57.0;3;9.0;-1;0.25;8.5
o;11;17.25;Kenel Franz-Toni;*;4;57.25;9;17.75;-2;0.5;8.5
+;16;25.75;Heinzer Remo (2003);;23;35.5;11;27.0;-5;1.25;10.0
+;15;35.75;Ulrich Damian;;18;53.75;11;36.75;-4;1.0;10.0
+;13;45.75;Ulrich Pascal;;14;54.75;12;46.0;-1;0.25;10.0

10d;Wicki Patrick;;;;;;;;;;55.75
+;;;Suter Michael (2002);;;;;;;;10.0
+;1;10.0;Furrer Fabian;;23;35.5;1;10.0;0;0.0;10.0
