4187-2018-07-29_Bruenig-Schwinget-ST

1a;Fankhauser Reto;**;;;;;;;;;92.0
o;6;28.5;Käser Remo;***;5;57.0;5;28.75;-1;0.25;8.5
+;9;37.0;Sommer Roman;*;13;55.0;5;38.0;-4;1.0;10.0
+;7;47.0;Orlik Curdin;**;10;55.75;6;47.25;-1;0.25;10.0

5d;Schuler Christian;***;;;;;;;;;57.0
-;;;Stucki Christian;***;;;;;;;8.75
+;5;8.75;Studer Stefan;**;20;53.25;2;10.0;-3;1.25;9.75
+;7;18.5;Gehrig Philipp;**;16;54.25;7;18.5;0;0.0;9.75
+;7;28.25;Anderegg Simon;***;6;56.75;6;28.5;-1;0.25;10.0
+;4;38.25;Alpiger Nick;***;4;57.25;2;39.0;-2;0.75;9.75
-;3;48.0;Aeschbacher Matthias;**;8;56.25;6;47.25;3;-0.75;9.0

5e;von Ah Benji;***;;;;;;;;;57.0
o;;;Alpiger Nick;***;;;;;;;8.5
+;6;8.5;Inniger Thomas;**;20;53.25;2;10.0;-4;1.5;10.0
+;7;18.5;Wyss Kilian;**;20;53.25;7;18.5;0;0.0;10.0
-;6;28.5;Gnägi Florian;***;6;56.75;3;29.5;-3;1.0;8.75
+;8;37.25;Steffen Valentin;*;12;55.25;4;38.25;-4;1.0;9.75
+;7;47.0;Wittwer Josias;*;14;54.75;10;46.25;3;-0.75;10.0

6a;Gnägi Florian;***;;;;;;;;;56.75
+;;;Erb Roger;**;;;;;;;10.0
+;2;10.0;Mangold Michael;**;24;35.5;3;9.75;1;-0.25;9.75
+;3;19.75;Imhof Andi;***;7;56.5;2;20.0;-1;0.25;9.75
-;3;29.5;von Ah Benji;***;5;57.0;6;28.5;3;-1.0;8.75
o;4;38.25;Wicki Joel;**;4;57.25;3;38.5;-1;0.25;8.5
+;8;46.75;Steffen Valentin;*;12;55.25;8;46.75;0;0.0;10.0

6b;Mathys Simon;**;;;;;;;;;56.75
o;;;Rohrer Ivan;**;;;;;;;8.5
+;6;8.5;Gloggner Reto;**;12;55.25;6;8.5;0;0.0;10.0
+;7;18.5;Suppiger Werner;**;10;55.75;6;18.75;-1;0.25;10.0
+;6;28.5;Müller Michael;**;16;54.25;10;27.5;4;-1.0;10.0
o;3;38.5;Mathis Marcel;***;8;56.25;8;37.25;5;-1.25;8.5
+;7;47.0;Widmer Tobias;**;11;55.5;7;47.0;0;0.0;9.75

6c;Anderegg Simon;***;;;;;;;;;56.75
+;;;Fankhauser Erich;***;;;;;;;10.0
+;2;10.0;Gwerder Carlo;**;16;54.25;2;10.0;0;0.0;9.75
-;3;19.75;Bieri Marcel;**;9;56.0;6;18.75;3;-1.0;8.75
o;6;28.5;Schuler Christian;***;5;57.0;7;28.25;1;-0.25;8.5
+;9;37.0;Streiff Dominik;*;16;54.25;9;37.0;0;0.0;10.0
+;7;47.0;Marti Stefan;**;14;54.75;10;46.25;3;-0.75;9.75

7a;Erb Roger;**;;;;;;;;;56.5
o;;;Gnägi Florian;***;;;;;;;8.5
+;6;8.5;Grossen John;*;24;35.5;3;9.75;-3;1.25;10.0
o;7;18.5;Aeschbacher Matthias;**;8;56.25;6;18.75;-1;0.25;8.5
+;12;27.0;Gwerder Guido;**;25;35.25;13;26.75;1;-0.25;9.75
+;10;36.75;Höﬂiger Andreas;**;17;54.0;10;36.75;0;0.0;10.0
+;8;46.75;Sempach Thomas;***;11;55.5;7;47.0;-1;0.25;9.75

7b;Roschi Ruedi;**;;;;;;;;;56.5
o;;;Müller Michael;**;;;;;;;8.5
+;6;8.5;Murer Andy;**;15;54.5;5;8.75;-1;0.25;10.0
+;7;18.5;Lussi Marco;**;11;55.5;6;18.75;-1;0.25;9.75
+;7;28.25;Streiff Dominik;*;16;54.25;6;28.5;-1;0.25;9.75
+;5;38.0;Voggensperger Janic;**;9;56.0;7;37.5;2;-0.5;9.75
o;4;47.75;Fankhauser Erich;***;2;57.75;4;47.75;0;0.0;8.75

7c;Imhof Andi;***;;;;;;;;;56.5
+;;;Sempach Thomas;***;;;;;;;10.0
+;2;10.0;Steffen Valentin;*;12;55.25;2;10.0;0;0.0;10.0
o;2;20.0;Gnägi Florian;***;6;56.75;3;19.75;1;-0.25;8.5
+;6;28.5;Weyermann Florian;*;10;55.75;2;29.75;-4;1.25;9.75
+;4;38.25;Käser Remo;***;5;57.0;3;38.5;-1;0.25;9.75
o;3;48.0;Stucki Christian;***;3;57.5;5;47.5;2;-0.5;8.5

8a;Aeschbacher Matthias;**;;;;;;;;;56.25
-;;;Gloggner Philipp;***;;;;;;;8.75
+;5;8.75;Stoll Simon;*;17;54.0;2;10.0;-3;1.25;10.0
+;6;18.75;Erb Roger;**;7;56.5;7;18.5;1;-0.25;10.0
o;5;28.75;Wicki Joel;**;4;57.25;6;28.5;1;-0.25;8.5
+;8;37.25;Bernet Christoph;*;16;54.25;14;35.75;6;-1.5;10.0
-;6;47.25;Schuler Christian;***;5;57.0;3;48.0;-3;0.75;9.0

8b;Schurtenberger Sven;***;;;;;;;;;56.25
+;;;Räbmatter Patrick;***;;;;;;;9.75
o;3;9.75;Weyermann Florian;*;10;55.75;2;10.0;-1;0.25;8.75
-;7;18.5;Orlik Curdin;**;10;55.75;7;18.5;0;0.0;8.75
+;11;27.25;Brand Christian;**;15;54.5;11;27.25;0;0.0;10.0
+;8;37.25;Klossner Adrian;*;15;54.5;8;37.25;0;0.0;10.0
-;6;47.25;Staudenmann Fabian (2000);**;11;55.5;9;46.5;3;-0.75;9.0

8c;Kropf Marcel;**;;;;;;;;;56.25
-;;;Orlik Curdin;**;;;;;;;8.75
o;5;8.75;Ettlin Stefan;**;9;56.0;5;8.75;0;0.0;8.75
-;10;17.5;Arnold Raphael;**;25;35.25;10;17.5;0;0.0;8.75
+;15;26.25;Rohrer Marco;**;27;34.75;15;26.25;0;0.0;10.0
+;12;36.25;Hurschler Thomas;**;19;53.5;12;36.25;0;0.0;10.0
+;10;46.25;Sommer Roman;*;13;55.0;9;46.5;-1;0.25;10.0

8d;Mathis Marcel;***;;;;;;;;;56.25
o;;;Voggensperger Janic;**;;;;;;;8.5
+;6;8.5;Steffen Konrad;*;15;54.5;2;10.0;-4;1.5;9.75
-;8;18.25;Gobeli Patrick;**;9;56.0;6;18.75;-2;0.5;9.0
+;11;27.25;Studinger Stephan;**;15;54.5;11;27.25;0;0.0;10.0
+;8;37.25;Mathys Simon;**;6;56.75;3;38.5;-5;1.25;10.0
-;6;47.25;Steffen Gustav;*;13;55.0;10;46.25;4;-1.0;9.0

9a;Bieri Marcel;**;;;;;;;;;56.0
-;;;Widmer Tobias;**;;;;;;;8.75
+;5;8.75;Wyss Kilian;**;20;53.25;2;10.0;-3;1.25;10.0
-;6;18.75;Anderegg Simon;***;6;56.75;3;19.75;-3;1.0;8.75
+;10;27.5;Schwander Severin;*;12;55.25;7;28.25;-3;0.75;9.75
-;8;37.25;von Weissenﬂuh Kilian;**;15;54.5;13;36.0;5;-1.25;8.75
+;11;46.0;Studinger Stephan;**;15;54.5;11;46.0;0;0.0;10.0

9b;Gobeli Patrick;**;;;;;;;;;56.0
-;;;Schuler Alex;***;;;;;;;8.75
+;5;8.75;Reichmuth Marco;**;16;54.25;5;8.75;0;0.0;10.0
-;6;18.75;Mathis Marcel;***;8;56.25;8;18.25;2;-0.5;8.75
+;10;27.5;Bernet Christoph;*;16;54.25;11;27.25;1;-0.25;10.0
o;7;37.5;Widmer Tobias;**;11;55.5;8;37.25;1;-0.25;8.5
+;11;46.0;Döbeli Andreas;*;15;54.5;11;46.0;0;0.0;10.0

9c;Ettlin Stefan;**;;;;;;;;;56.0
-;;;Schmid Samuel;**;;;;;;;8.75
+;5;8.75;Kropf Marcel;**;8;56.25;5;8.75;0;0.0;10.0
-;6;18.75;Sempach Thomas;***;11;55.5;7;18.5;1;-0.25;9.0
+;9;27.75;Renfer Lukas;**;17;54.0;10;27.5;1;-0.25;10.0
o;6;37.75;Wenger Kilian;***;5;57.0;5;38.0;-1;0.25;8.5
+;10;46.25;Weyermann Florian;*;10;55.75;7;47.0;-3;0.75;9.75

9d;Voggensperger Janic;**;;;;;;;;;56.0
+;;;Mathis Marcel;***;;;;;;;10.0
o;2;10.0;Fankhauser Reto;**;1;92.0;1;18.25;-1;8.25;8.75
-;6;18.75;Marti Stefan;**;14;54.75;10;17.5;4;-1.25;8.75
+;10;27.5;Studer Stefan;**;20;53.25;11;27.25;1;-0.25;10.0
o;7;37.5;Roschi Ruedi;**;7;56.5;5;38.0;-2;0.5;8.5
+;11;46.0;Gwerder Michael (2000);**;15;54.5;11;46.0;0;0.0;10.0

10a;Burch Jonas;*;;;;;;;;;55.75
-;;;Gnägi Christian;*;;;;;;;8.75
o;5;8.75;Ramseier Thomas;*;16;54.25;5;8.75;0;0.0;8.5
+;11;17.25;Schenk Adrian;*;24;35.5;12;17.0;1;-0.25;9.75
-;12;27.0;Nägeli Daniel;*;20;53.25;12;27.0;0;0.0;8.75
+;14;35.75;Wyss Kilian;**;20;53.25;14;35.75;0;0.0;10.0
+;12;45.75;Klossner Adrian;*;15;54.5;12;45.75;0;0.0;10.0

10b;Röthlisberger Simon;**;;;;;;;;;55.75
-;;;Fellmann Roman;**;;;;;;;8.75
+;5;8.75;Arnold Raphael;**;25;35.25;4;9.0;-1;0.25;10.0
o;6;18.75;Fankhauser Erich;***;2;57.75;7;18.5;1;-0.25;8.75
+;10;27.5;Höﬂiger Andreas;**;17;54.0;8;28.0;-2;0.5;9.75
-;8;37.25;Schuler Alex;***;14;54.75;13;36.0;5;-1.25;8.75
+;11;46.0;Rohrer Ueli;*;15;54.5;11;46.0;0;0.0;9.75

10c;Weyermann Florian;*;;;;;;;;;55.75
+;;;Kennel Stefan;**;;;;;;;10.0
+;2;10.0;Schurtenberger Sven;***;8;56.25;3;9.75;1;-0.25;9.75
+;3;19.75;Stalder Remo;***;21;53.0;5;19.0;2;-0.75;10.0
o;2;29.75;Imhof Andi;***;7;56.5;6;28.5;4;-1.25;8.75
o;3;38.5;Fankhauser Erich;***;2;57.75;5;38.0;2;-0.5;8.5
o;7;47.0;Ettlin Stefan;**;9;56.0;10;46.25;3;-0.75;8.75

10d;Suppiger Werner;**;;;;;;;;;55.75
-;;;Marti Stefan;**;;;;;;;8.75
+;5;8.75;Studinger Stephan;**;15;54.5;5;8.75;0;0.0;10.0
o;6;18.75;Mathys Simon;**;6;56.75;7;18.5;1;-0.25;8.5
-;11;27.25;Steffen Gustav;*;13;55.0;11;27.25;0;0.0;8.75
+;13;36.0;Gnägi Christian;*;22;52.75;14;35.75;1;-0.25;10.0
+;11;46.0;Schenk Patrick;***;15;54.5;11;46.0;0;0.0;9.75

10e;Orlik Curdin;**;;;;;;;;;55.75
-;;;Kropf Marcel;**;;;;;;;8.75
+;5;8.75;Egli Damian;**;24;35.5;3;9.75;-2;1.0;9.75
-;7;18.5;Schurtenberger Sven;***;8;56.25;7;18.5;0;0.0;8.75
+;11;27.25;Kälin Roland;**;16;54.25;11;27.25;0;0.0;10.0
+;8;37.25;Fankhauser Marco;**;16;54.25;14;35.75;6;-1.5;10.0
o;6;47.25;Räbmatter Patrick;***;5;57.0;7;47.0;1;-0.25;8.5

11a;Lussi Marco;**;;;;;;;;;55.5
-;;;Ramseier Thomas;*;;;;;;;8.75
+;5;8.75;Gnägi Christian;*;22;52.75;5;8.75;0;0.0;10.0
o;6;18.75;Roschi Ruedi;**;7;56.5;7;18.5;1;-0.25;8.5
+;11;27.25;von Büren Stephan;*;25;35.25;13;26.75;2;-0.5;9.75
-;9;37.0;Aellen Florian;*;18;53.75;12;36.25;3;-0.75;8.75
+;12;45.75;Stoll Simon;*;17;54.0;13;45.5;1;-0.25;9.75

11b;Doppmann Urs;**;;;;;;;;;55.5
+;;;Gehrig Philipp;**;;;;;;;9.75
o;3;9.75;Käser Remo;***;5;57.0;4;9.0;1;-0.75;8.5
+;8;18.25;Fankhauser Reto;*;1;92.0;1;37.75;-7;19.5;10.0
o;7;28.25;Stucki Christian;***;3;57.5;10;27.5;3;-0.75;8.5
-;10;36.75;Renfer Lukas;**;17;54.0;12;36.25;2;-0.5;8.75
+;13;45.5;Gnägi Christian;*;22;52.75;18;44.25;5;-1.25;10.0

11c;Sempach Thomas;***;;;;;;;;;55.5
o;;;Imhof Andi;***;;;;;;;8.5
+;6;8.5;Muff André;*;17;54.0;2;10.0;-4;1.5;10.0
-;7;18.5;Ettlin Stefan;**;9;56.0;6;18.75;-1;0.25;9.0
+;10;27.5;Stoll Simon;*;17;54.0;6;28.5;-4;1.0;9.75
+;8;37.25;Reichmuth Marco;**;16;54.25;9;37.0;1;-0.25;9.75
o;7;47.0;Erb Roger;**;7;56.5;8;46.75;1;-0.25;8.5

11d;Staudenmann Fabian (2000);**;;;;;;;;;55.5
+;;;Gwerder Guido;**;;;;;;;9.75
-;3;9.75;Stalder Remo;***;21;53.0;2;10.0;-1;0.25;9.0
-;6;18.75;Schmid David;***;18;53.75;8;18.25;2;-0.5;9.0
+;9;27.75;Inderbitzin Daniel;*;23;44.5;10;27.5;1;-0.25;9.75
-;7;37.5;Bernhard Lukas;*;16;54.25;12;36.25;5;-1.25;9.0
-;9;46.5;Schurtenberger Sven;***;8;56.25;6;47.25;-3;0.75;9.0

11e;Widmer Tobias;**;;;;;;;;;55.5
-;;;Bieri Marcel;**;;;;;;;8.75
+;5;8.75;Fellmann Roman;**;21;53.0;5;8.75;0;0.0;10.0
o;6;18.75;Käser Remo;***;5;57.0;6;18.75;0;0.0;8.75
+;10;27.5;Gäggeler Adrian;*;17;54.0;11;27.25;1;-0.25;9.75
+;8;37.25;Gobeli Patrick;**;9;56.0;7;37.5;-1;0.25;9.75
o;7;47.0;Mathys Simon;**;6;56.75;7;47.0;0;0.0;8.5

12a;Schwander Severin;*;;;;;;;;;55.25
o;;;Höﬂiger Andreas;**;;;;;;;8.5
+;6;8.5;Gassmann Michael;*;29;34.25;6;8.5;0;0.0;10.0
+;7;18.5;Rohrer Marco;**;27;34.75;10;17.5;3;-1.0;9.75
o;7;28.25;Bieri Marcel;**;9;56.0;10;27.5;3;-0.75;8.5
+;10;36.75;Stoll Simon;*;17;54.0;9;37.0;-1;0.25;10.0
o;8;46.75;Alpiger Nick;***;4;57.25;5;47.5;-3;0.75;8.5

12b;Steffen Valentin;*;;;;;;;;;55.25
+;;;Amgarten Martin;*;;;;;;;10.0
o;2;10.0;Imhof Andi;***;7;56.5;2;10.0;0;0.0;8.5
+;7;18.5;Kälin Roland;**;16;54.25;7;18.5;0;0.0;10.0
+;6;28.5;Rohrer Ueli;*;15;54.5;6;28.5;0;0.0;9.75
o;4;38.25;von Ah Benji;***;5;57.0;8;37.25;4;-1.0;8.5
o;8;46.75;Gnägi Florian;***;6;56.75;8;46.75;0;0.0;8.5

12c;Gloggner Reto;**;;;;;;;;;55.25
o;;;Wyss Kilian;**;;;;;;;8.5
o;6;8.5;Mathys Simon;**;6;56.75;6;8.5;0;0.0;8.5
+;12;17.0;Locher Alfred;*;25;35.25;8;18.25;-4;1.25;9.75
+;13;26.75;Schenkel Remo;*;24;35.5;12;27.0;-1;0.25;9.75
-;11;36.5;Gehrig Damian;***;15;54.5;10;36.75;-1;0.25;9.0
+;13;45.5;Gehrig Philipp;**;16;54.25;12;45.75;-1;0.25;9.75

13a;Sommer Roman;*;;;;;;;;;55.0
+;;;Ulrich Marco;*;;;;;;;9.75
o;3;9.75;Wicki Joel;**;4;57.25;4;9.0;1;-0.75;8.5
+;8;18.25;Bernet Christoph;*;16;54.25;6;18.75;-2;0.5;9.75
+;8;28.0;Stalder Remo;***;21;53.0;10;27.5;2;-0.5;10.0
o;5;38.0;Räbmatter Patrick;***;5;57.0;9;37.0;4;-1.0;8.5
o;9;46.5;Kropf Marcel;**;8;56.25;10;46.25;1;-0.25;8.5

13b;Steffen Gustav;*;;;;;;;;;55.0
+;;;Gassmann Michael;*;;;;;;;10.0
-;2;10.0;Gloggner Philipp;***;26;35.0;5;8.75;3;-1.25;8.75
o;6;18.75;Streiff Dominik;*;16;54.25;6;18.75;0;0.0;8.5
-;11;27.25;Suppiger Werner;**;10;55.75;11;27.25;0;0.0;9.0
+;12;36.25;Inderbitzin Daniel;*;23;44.5;13;36.0;1;-0.25;10.0
-;10;46.25;Mathis Marcel;***;8;56.25;6;47.25;-4;1.0;8.75

13c;Odermatt Christian;**;;;;;;;;;55.0
o;;;Studer Stefan;**;;;;;;;8.5
+;6;8.5;Leuenberger Michael;*;26;35.0;5;8.75;-1;0.25;9.75
o;8;18.25;von Weissenﬂuh Kilian;**;15;54.5;10;17.5;2;-0.75;8.75
+;12;27.0;Zangger Dominik;*;24;35.5;12;27.0;0;0.0;9.75
+;10;36.75;Steffen Konrad;*;15;54.5;9;37.0;-1;0.25;9.75
o;9;46.5;Käser Remo;***;5;57.0;6;47.25;-3;0.75;8.5

13d;Luginbühl Hanspeter;**;;;;;;;;;55.0
-;;;Gwerder Michael (2000);**;;;;;;;8.75
+;5;8.75;Bucher Roland;*;24;35.5;3;9.75;-2;1.0;9.75
+;7;18.5;Ramseier Thomas;*;16;54.25;7;18.5;0;0.0;9.75
o;7;28.25;Fankhauser Erich;***;2;57.75;7;28.25;0;0.0;8.5
+;10;36.75;Scherrer Johann;**;20;53.25;13;36.0;3;-0.75;9.75
o;9;46.5;Fankhauser Reto;**;1;92.0;1;82.0;-8;35.5;8.5

14a;Schuler Alex;***;;;;;;;;;54.75
-;;;Gobeli Patrick;**;;;;;;;8.75
o;5;8.75;Renfer Lukas;**;17;54.0;4;9.0;-1;0.25;8.5
-;11;17.25;Döbeli Andreas;*;15;54.5;6;18.75;-5;1.5;8.75
+;16;26.0;Gnägi Christian;*;22;52.75;11;27.25;-5;1.25;10.0
-;13;36.0;Röthlisberger Simon;**;10;55.75;8;37.25;-5;1.25;8.75
+;16;44.75;Stoll Simon;*;17;54.0;13;45.5;-3;0.75;10.0

14b;Marti Stefan;**;;;;;;;;;54.75
-;;;Suppiger Werner;**;;;;;;;8.75
-;5;8.75;Rohrer Marco;**;27;34.75;5;8.75;0;0.0;8.75
-;10;17.5;Voggensperger Janic;**;9;56.0;6;18.75;-4;1.25;8.75
+;15;26.25;Fellmann Roman;**;21;53.0;11;27.25;-4;1.0;10.0
+;12;36.25;Stalder Remo;***;21;53.0;13;36.0;1;-0.25;10.0
o;10;46.25;Anderegg Simon;***;6;56.75;7;47.0;-3;0.75;8.5

14c;Wittwer Josias;*;;;;;;;;;54.75
-;;;Bernet Christoph;*;;;;;;;8.75
+;5;8.75;Stegmüller Klemens;*;28;34.5;5;8.75;0;0.0;10.0
-;6;18.75;Gloggner Philipp;***;26;35.0;10;17.5;4;-1.25;8.75
-;10;27.5;Amgarten Martin;*;21;53.0;11;27.25;1;-0.25;8.75
+;12;36.25;Gwerder Carlo;**;16;54.25;13;36.0;1;-0.25;10.0
o;10;46.25;von Ah Benji;***;5;57.0;7;47.0;-3;0.75;8.5

14d;Schmid Samuel;**;;;;;;;;;54.75
-;;;Ettlin Stefan;**;;;;;;;8.75
-;5;8.75;Gwerder Michael (2000);**;15;54.5;5;8.75;0;0.0;8.75
o;10;17.5;Reichmuth Marco;**;16;54.25;11;17.25;1;-0.25;8.5
+;16;26.0;Gassmann Michael;*;29;34.25;17;25.75;1;-0.25;10.0
-;13;36.0;Kennel Stefan;**;18;53.75;13;36.0;0;0.0;9.0
+;15;45.0;Fellmann Roman;**;21;53.0;17;44.5;2;-0.5;9.75

15a;Studinger Stephan;**;;;;;;;;;54.5
o;;;Fankhauser Reto;**;;;;;;;8.75
o;5;8.75;Suppiger Werner;**;10;55.75;5;8.75;0;0.0;8.5
+;11;17.25;Bucher Roland;*;24;35.5;8;18.25;-3;1.0;10.0
o;11;27.25;Mathis Marcel;***;8;56.25;11;27.25;0;0.0;8.75
+;13;36.0;Murer Andy;**;15;54.5;13;36.0;0;0.0;10.0
o;11;46.0;Bieri Marcel;**;9;56.0;11;46.0;0;0.0;8.5

15b;Brand Christian;**;;;;;;;;;54.5
-;;;Hurschler Thomas;**;;;;;;;8.75
+;5;8.75;Bernhard Lukas;*;16;54.25;5;8.75;0;0.0;9.75
-;7;18.5;Renfer Lukas;**;17;54.0;6;18.75;-1;0.25;8.75
o;11;27.25;Schurtenberger Sven;***;8;56.25;11;27.25;0;0.0;8.75
+;13;36.0;Amgarten Martin;*;21;53.0;13;36.0;0;0.0;9.75
-;12;45.75;Reichmuth Marco;**;16;54.25;13;45.5;1;-0.25;8.75

15c;Klossner Adrian;*;;;;;;;;;54.5
-;;;Kessler Joel;*;;;;;;;8.75
+;5;8.75;Gwerder Guido;**;25;35.25;6;8.5;1;-0.25;10.0
o;6;18.75;Höﬂiger Andreas;**;17;54.0;8;18.25;2;-0.5;8.5
+;11;27.25;Fankhauser Marco;**;16;54.25;11;27.25;0;0.0;10.0
o;8;37.25;Schurtenberger Sven;***;8;56.25;8;37.25;0;0.0;8.5
o;12;45.75;Burch Jonas;*;10;55.75;12;45.75;0;0.0;8.75

15d;Gwerder Michael (2000);**;;;;;;;;;54.5
-;;;Luginbühl Hanspeter;**;;;;;;;8.75
-;5;8.75;Schmid Samuel;**;14;54.75;5;8.75;0;0.0;9.0
+;9;17.75;Kramer Franz;*;24;35.5;11;17.25;2;-0.5;9.75
o;10;27.5;Gehrig Damian;***;15;54.5;12;27.0;2;-0.5;8.5
+;13;36.0;Aellen Philipp;*;17;54.0;10;36.75;-3;0.75;10.0
o;11;46.0;Voggensperger Janic;**;9;56.0;11;46.0;0;0.0;8.5

15e;Murer Andy;**;;;;;;;;;54.5
-;;;Schaffner Samuel;**;;;;;;;8.75
o;5;8.75;Roschi Ruedi;**;7;56.5;6;8.5;1;-0.25;8.5
+;11;17.25;Berger Lorenz;*;30;34.0;12;17.0;1;-0.25;10.0
-;11;27.25;Schenk Patrick;***;15;54.5;11;27.25;0;0.0;8.75
o;13;36.0;Studinger Stephan;**;15;54.5;13;36.0;0;0.0;8.5
+;17;44.5;Hügli Kaj;**;22;52.75;18;44.25;1;-0.25;10.0

15f;Gehrig Damian;***;;;;;;;;;54.5
o;;;Stalder Remo;***;;;;;;;8.5
o;6;8.5;Rohrer Ueli;*;15;54.5;2;10.0;-4;1.5;8.5
+;12;17.0;Amgarten Martin;*;21;53.0;7;18.5;-5;1.5;10.0
+;12;27.0;Gwerder Michael (2000);**;15;54.5;10;27.5;-2;0.5;9.75
-;10;36.75;Gloggner Reto;**;12;55.25;11;36.5;1;-0.25;9.0
o;12;45.75;Fankhauser Marco;**;16;54.25;17;44.5;5;-1.25;8.75

15g;von Weissenﬂuh Kilian;**;;;;;;;;;54.5
-;;;Reichmuth Marco;**;;;;;;;8.75
-;5;8.75;Hurschler Thomas;**;19;53.5;5;8.75;0;0.0;8.75
+;10;17.5;Odermatt Christian;**;13;55.0;8;18.25;-2;0.75;9.75
-;11;27.25;Gloggner Philipp;***;26;35.0;15;26.25;4;-1.0;8.75
-;13;36.0;Bieri Marcel;**;9;56.0;8;37.25;-5;1.25;8.75
+;16;44.75;Muff André;*;17;54.0;13;45.5;-3;0.75;9.75

15h;Rohrer Ueli;*;;;;;;;;;54.5
+;;;Gäggeler Adrian;*;;;;;;;10.0
+;2;10.0;Gehrig Damian;***;15;54.5;6;8.5;4;-1.5;9.75
o;3;19.75;Alpiger Nick;***;4;57.25;4;19.5;1;-0.25;8.75
