3494-2017-05-28_Solothurner_Kantonalschwingfest-ST

1a;Gisler Bruno;***;;;;;;;;;59.5
o;5;8.5;Hauri Urs;**;6;56.75;2;9.75;-3;1.25;8.5
+;10;17.0;De Fusco Dario;;14;54.75;5;18.5;-5;1.5;9.75
+;11;26.75;Waldner Patrick;**;11;55.5;4;28.5;-7;1.75;10.0
+;10;36.75;Imobersteg Matthias (2001);;13;55.0;5;38.0;-5;1.25;10.0
+;8;46.75;Krebs Clemens;;12;55.25;8;46.75;0;0.0;10.0

6c;Hauri Urs;**;;;;;;;;;56.75
+;;;Schaffner Samuel;**;;;;;;;9.75
+;2;9.75;Thürig Mario;***;6;56.75;5;8.5;3;-1.25;10.0
-;1;19.75;Widmer Tobias;**;7;56.5;1;19.75;0;0.0;8.75
+;4;28.5;Wilhelm Manuel;;18;53.75;6;28.0;2;-0.5;9.75
-;4;38.25;Döbeli Lukas (2000);*;5;57.0;4;38.25;0;0.0;8.75
+;7;47.0;Graber Colin;;12;55.25;8;46.75;1;-0.25;9.75

7a;Widmer Tobias;**;;;;;;;;;56.5
+;;;Waldner Patrick;**;;;;;;;10.0
+;1;10.0;Gabathuler Björn;;14;54.75;2;9.75;1;-0.25;9.75
-;1;19.75;Hauri Urs;**;6;56.75;1;19.75;0;0.0;8.75
o;4;28.5;Stalder Remo;***;5;57.0;4;28.5;0;0.0;8.5
+;9;37.0;Stoll Simon;*;16;54.25;8;37.25;-1;0.25;9.75
+;8;46.75;Kohler Adrian;;14;54.75;10;46.25;2;-0.5;9.75

7b;Klausner Yanick;**;;;;;;;;;56.5
-;;;Blatter Lorenz;**;;;;;;;8.75
+;4;8.75;Mathys Tobias;;11;55.5;1;10.0;-3;1.25;9.75
+;5;18.5;Kohler Adrian;;14;54.75;2;19.5;-3;1.0;9.75
+;5;28.25;Schmutz Adrian;*;10;55.75;8;27.5;3;-0.75;9.75
-;5;38.0;Henzer Andreas;**;8;56.25;3;38.5;-2;0.5;8.75
+;8;46.75;Schillig Willi;**;15;54.5;11;46.0;3;-0.75;9.75

7c;Döbeli Andreas;*;;;;;;;;;56.5
o;;;Kropf Marcel;**;;;;;;;8.5
+;5;8.5;De Fusco Dario;;14;54.75;2;9.75;-3;1.25;9.75
+;6;18.25;Gisin Yanic;;15;54.5;4;18.75;-2;0.5;10.0
+;5;28.25;Gabathuler Björn;;14;54.75;6;28.0;1;-0.25;9.75
o;5;38.0;Stalder Remo;***;5;57.0;3;38.5;-2;0.5;8.5
+;9;46.5;Scherrer Johann;**;16;54.25;12;45.75;3;-0.75;10.0

8a;Henzer Andreas;**;;;;;;;;;56.25
+;;;Steinmann Yves;*;;;;;;;9.75
-;2;9.75;Alpiger Nick;***;5;57.0;2;9.75;0;0.0;8.75
+;5;18.5;Müller Jan;;14;54.75;6;18.25;1;-0.25;10.0
+;4;28.5;Reimann Marco;;11;55.5;4;28.5;0;0.0;10.0
-;3;38.5;Klausner Yanick;**;7;56.5;5;38.0;2;-0.5;8.75
-;6;47.25;Arnold Kornel;*;13;55.0;10;46.25;4;-1.0;9.0

8b;von Arx Christian;*;;;;;;;;;56.25
+;;;Schär Simon;*;;;;;;;10.0
-;1;10.0;Steinmann Yves;*;10;55.75;5;8.5;4;-1.5;8.75
+;4;18.75;Mangold Martin;;15;54.5;4;18.75;0;0.0;9.75
-;4;28.5;Bieri Christoph;***;5;57.0;6;28.0;2;-0.5;9.0
-;7;37.5;Waldner Patrick;**;11;55.5;9;37.0;2;-0.5;9.0
+;9;46.5;Gerber Andrj (2000);;13;55.0;9;46.5;0;0.0;9.75

8c;Strebel Joel;**;;;;;;;;;56.25
o;;;Erb Roger;**;;;;;;;8.5
+;5;8.5;Imobersteg Matthias (2001);;13;55.0;2;9.75;-3;1.25;9.75
+;6;18.25;Bruder Adrian;;11;55.5;4;18.75;-2;0.5;9.75
+;6;28.0;Mathys Tobias;;11;55.5;4;28.5;-2;0.5;9.75
o;6;37.75;Blatter Lorenz;**;4;57.5;2;38.75;-4;1.0;8.5
+;10;46.25;Stoll Simon;*;16;54.25;12;45.75;2;-0.5;10.0

8d;Brand Christian;**;;;;;;;;;56.25
+;;;Vieira Tiago;**;;;;;;;9.75
o;2;9.75;Gisler Bruno;***;1;59.5;2;9.75;0;0.0;8.5
+;6;18.25;Bader Stefan (1999);;17;54.0;5;18.5;-1;0.25;10.0
+;5;28.25;Leu Dominik (1999);;16;54.25;4;28.5;-1;0.25;9.75
o;5;38.0;Alpiger Nick;***;5;57.0;7;37.5;2;-0.5;8.5
+;9;46.5;Mathys Tobias;;11;55.5;7;47.0;-2;0.5;9.75

9a;Zürcher Remo;*;;;;;;;;;56.0
-;;;Schillig Willi;**;;;;;;;8.75
-;4;8.75;Vieira Tiago;**;29;17.25;5;8.5;1;-0.25;8.75
+;8;17.5;Jusufi Ilber;;25;34.75;8;17.5;0;0.0;10.0
+;8;27.5;Rüegger Aaron (1999);;11;55.5;4;28.5;-4;1.0;10.0
o;7;37.5;Räbmatter Patrick;***;3;58.25;4;38.25;-3;0.75;8.5
+;11;46.0;Imobersteg Matthias (2001);;13;55.0;9;46.5;-2;0.5;10.0

10a;Hermann Oliver;*;;;;;;;;;55.75
+;;;Scherrer Johann;**;;;;;;;10.0
o;1;10.0;Stalder Remo;***;5;57.0;5;8.5;4;-1.5;8.5
+;5;18.5;Bachmann Sämi (2001);;20;53.25;4;18.75;-1;0.25;10.0
-;4;28.5;Voggensperger Lars (2001);;10;55.75;5;28.25;1;-0.25;9.0
+;7;37.5;Gisin Yanic;;15;54.5;9;37.0;2;-0.5;9.75
o;6;47.25;Kropf Marcel;**;2;58.5;3;48.5;-3;1.25;8.5

10b;Steinmann Yves;*;;;;;;;;;55.75
o;;;Henzer Andreas;**;;;;;;;8.5
-;5;8.5;von Arx Christian;*;8;56.25;1;10.0;-4;1.5;8.75
+;9;17.25;Ris Jörn;;23;52.5;6;18.25;-3;1.0;10.0
+;9;27.25;Rohrbach Jérôme (2000);;14;54.75;6;28.0;-3;0.75;10.0
-;8;37.25;Bader Andreas;**;11;55.5;9;37.0;1;-0.25;8.75
+;11;46.0;Gabathuler Björn;;14;54.75;10;46.25;-1;0.25;9.75

10c;Läuchli Janik (2000);;;;;;;;;;55.75
+;;;Nussbaumer Dominik;;;;;;;;10.0
-;1;10.0;Nyffeler Christoph;*;18;53.75;4;8.75;3;-1.25;8.75
o;4;18.75;Imobersteg Matthias (2001);;13;55.0;5;18.5;1;-0.25;8.5
+;9;27.25;Studer Remo;;14;54.75;8;27.5;-1;0.25;10.0
o;8;37.25;Probst Gabriel;**;11;55.5;9;37.0;1;-0.25;8.5
+;12;45.75;Moser Matthias;*;15;54.5;12;45.75;0;0.0;10.0

10d;Mangold Michael;*;;;;;;;;;55.75
-;;;Bader Andreas;**;;;;;;;8.75
+;4;8.75;Schaub Reto (2000);;24;35.25;2;9.75;-2;1.0;10.0
o;4;18.75;Stalder Remo;***;5;57.0;5;18.5;1;-0.25;8.5
+;9;27.25;Krebs Clemens;;12;55.25;4;28.5;-5;1.25;10.0
+;8;37.25;Schmutz Simon (2000);;16;54.25;8;37.25;0;0.0;10.0
o;6;47.25;Räbmatter Patrick;***;3;58.25;4;48.25;-2;1.0;8.5

10e;Bieli Andreas;;;;;;;;;;55.75
o;;;Dobler Florian;;;;;;;;8.5
+;5;8.5;Schwegler Dominik;;26;34.5;5;8.5;0;0.0;9.75
-;6;18.25;Grossmann Andreas;;15;54.5;6;18.25;0;0.0;8.75
-;10;27.0;Jusufi Ilber;;25;34.75;14;26.0;4;-1.0;8.75
+;14;35.75;Regenass Reto (2000);;21;53.0;13;36.0;-1;0.25;10.0
+;12;45.75;Nyffeler Christoph;*;18;53.75;14;45.25;2;-0.5;10.0

10f;Voggensperger Lars (2001);;;;;;;;;;55.75
-;;;Widmer David;;;;;;;;8.75
+;4;8.75;Müller Simon;;14;54.75;1;10.0;-3;1.25;9.75
+;5;18.5;Probst Gabriel;**;11;55.5;5;18.5;0;0.0;9.75
-;5;28.25;Hermann Oliver;*;10;55.75;4;28.5;-1;0.25;9.0
+;8;37.25;Aerni Lars;;13;55.0;8;37.25;0;0.0;10.0
o;6;47.25;Alpiger Nick;***;5;57.0;6;47.25;0;0.0;8.5

10g;Winiger Fabian;**;;;;;;;;;55.75
-;;;Nyffeler Christoph;*;;;;;;;8.75
+;4;8.75;Traub Manuel;;20;53.25;1;10.0;-3;1.25;9.75
+;5;18.5;Widmer Dino;;18;53.75;4;18.75;-1;0.25;10.0
o;4;28.5;Blatter Lorenz;**;4;57.5;2;29.0;-2;0.5;8.5
-;9;37.0;Gerber Andrj (2000);;13;55.0;7;37.5;-2;0.5;9.0
+;11;46.0;Schmutz Simon (2000);;16;54.25;12;45.75;1;-0.25;9.75

10h;Schmutz Adrian;*;;;;;;;;;55.75
-;;;Hügli Kaj;*;;;;;;;8.75
-;4;8.75;Rüegger Aaron (1999);;11;55.5;1;10.0;-3;1.25;8.75
+;8;17.5;Müller Christian;;24;35.25;6;18.25;-2;0.75;10.0
o;8;27.5;Klausner Yanick;**;7;56.5;5;28.25;-3;0.75;8.5
+;13;36.0;Wilhelm Manuel;;18;53.75;11;36.5;-2;0.5;9.75
+;12;45.75;Mangold Martin;;15;54.5;11;46.0;-1;0.25;10.0

11a;Waldner Patrick;**;;;;;;;;;55.5
o;;;Widmer Tobias;**;;;;;;;8.5
+;5;8.5;Aerni Lars;;13;55.0;1;10.0;-4;1.5;10.0
+;5;18.5;Bearda Samuel;;26;34.5;8;17.5;3;-1.0;10.0
o;4;28.5;Thürig Mario;***;6;56.75;11;26.75;7;-1.75;8.5
-;9;37.0;von Arx Christian;*;8;56.25;7;37.5;-2;0.5;8.75
+;12;45.75;Bieli Mario;;11;55.5;7;47.0;-5;1.25;9.75

11b;Rüegger Aaron (1999);;;;;;;;;;55.5
+;;;Rohrbach Jérôme (2000);;;;;;;;10.0
-;1;10.0;Schmutz Adrian;*;10;55.75;4;8.75;3;-1.25;8.75
+;4;18.75;Traub Manuel;;20;53.25;5;18.5;1;-0.25;9.75
o;4;28.5;Zürcher Remo;*;9;56.0;8;27.5;4;-1.0;8.5
o;9;37.0;Krebs Clemens;;12;55.25;9;37.0;0;0.0;8.75
+;12;45.75;Gisin Yanic;;15;54.5;12;45.75;0;0.0;9.75

11c;Schaffner Samuel;**;;;;;;;;;55.5
o;;;Hauri Urs;**;;;;;;;8.5
+;5;8.5;Krebs Clemens;;12;55.25;1;10.0;-4;1.5;10.0
+;5;18.5;Bieli Mario;;11;55.5;3;19.0;-2;0.5;10.0
+;4;28.5;Lisser Daniel;*;14;54.75;8;27.5;4;-1.0;10.0
o;3;38.5;Gisler Bruno;***;1;59.5;1;39.5;-2;1.0;8.5
o;7;47.0;Voggensperger Janic;**;4;57.5;5;47.5;-2;0.5;8.5

11d;Probst Gabriel;**;;;;;;;;;55.5
+;;;Küng Marco;*;;;;;;;10.0
o;1;10.0;Thoenen Henryc;**;6;56.75;5;8.5;4;-1.5;8.5
o;5;18.5;Voggensperger Lars (2001);;10;55.75;5;18.5;0;0.0;8.5
+;10;27.0;Reinhard Pirmin (2001);;18;53.75;10;27.0;0;0.0;10.0
+;9;37.0;Läuchli Janik (2000);;10;55.75;8;37.25;-1;0.25;10.0
o;7;47.0;Bieri Christoph;***;5;57.0;7;47.0;0;0.0;8.5

11e;Mathys Tobias;;;;;;;;;;55.5
+;;;Schwenkfelder Lukas;;;;;;;;10.0
o;1;10.0;Klausner Yanick;**;7;56.5;4;8.75;3;-1.25;8.5
+;5;18.5;Büttler Adrian (1999);;16;54.25;9;17.25;4;-1.25;10.0
o;4;28.5;Strebel Joel;**;8;56.25;6;28.0;2;-0.5;8.5
+;9;37.0;Leu Dominik (1999);;16;54.25;9;37.0;0;0.0;10.0
o;7;47.0;Brand Christian;**;8;56.25;9;46.5;2;-0.5;8.5

11f;Odermatt Adrian (2001);*;;;;;;;;;55.5
-;;;Lisser Daniel;*;;;;;;;8.75
o;4;8.75;Döbeli Lukas (2000);*;5;57.0;1;10.0;-3;1.25;8.5
-;9;17.25;Studer Remo;;14;54.75;4;18.75;-5;1.5;8.75
+;14;26.0;Schwenkfelder Lukas;;21;53.0;9;27.25;-5;1.25;9.75
+;14;35.75;Meier Fabian;;22;52.75;14;35.75;0;0.0;9.75
+;13;45.5;Eggenschwiler Fabian;;16;54.25;12;45.75;-1;0.25;10.0

11g;Reimann Marco;;;;;;;;;;55.5
+;;;Ris Jörn;;;;;;;;10.0
o;1;10.0;Stoll Simon;*;16;54.25;5;8.5;4;-1.5;8.5
+;5;18.5;Dobler Florian;;14;54.75;6;18.25;1;-0.25;10.0
o;4;28.5;Henzer Andreas;**;8;56.25;4;28.5;0;0.0;8.5
o;9;37.0;Voggensperger Janic;**;4;57.5;7;37.5;-2;0.5;8.5
+;13;45.5;Lüscher Ivan (2001);;21;53.0;17;44.5;4;-1.0;10.0

11h;Bieli Mario;;;;;;;;;;55.5
+;;;Büchi Christian;;;;;;;;10.0
-;1;10.0;Hügli Kaj;*;13;55.0;4;8.75;3;-1.25;9.0
o;3;19.0;Schaffner Samuel;**;11;55.5;5;18.5;2;-0.5;8.5
+;8;27.5;Widmer David;;15;54.5;8;27.5;0;0.0;9.75
+;8;37.25;Anderegg David;*;15;54.5;13;36.0;5;-1.25;9.75
o;7;47.0;Waldner Patrick;**;11;55.5;12;45.75;5;-1.25;8.5

11i;Bruder Adrian;;;;;;;;;;55.5
-;;;Büttler Adrian (1999);;;;;;;;8.75
+;4;8.75;Rüegg Benjamin;;18;53.75;5;8.5;1;-0.25;10.0
o;4;18.75;Strebel Joel;**;8;56.25;6;18.25;2;-0.5;8.5
o;9;27.25;Stoll Simon;*;16;54.25;9;27.25;0;0.0;8.5
+;14;35.75;Bachmann Sämi (2001);;20;53.25;14;35.75;0;0.0;9.75
+;13;45.5;Leu Dominik (1999);;16;54.25;13;45.5;0;0.0;10.0

11j;Bader Andreas;**;;;;;;;;;55.5
-;;;Mangold Michael;*;;;;;;;8.75
+;4;8.75;Müller Christian;;24;35.25;2;9.75;-2;1.0;10.0
o;4;18.75;Alpiger Nick;***;5;57.0;4;18.75;0;0.0;8.5
+;9;27.25;Loosli Adrian;;18;53.75;10;27.0;1;-0.25;9.75
-;9;37.0;Steinmann Yves;*;10;55.75;8;37.25;-1;0.25;8.75
+;12;45.75;Müller Simon;;14;54.75;10;46.25;-2;0.5;9.75

12a;Graber Colin;;;;;;;;;;55.25
o;;;Gabathuler Björn;;;;;;;;8.5
+;5;8.5;Lüscher Ivan (2001);;21;53.0;4;8.75;-1;0.25;9.75
+;6;18.25;Kaiser Elias;;24;35.25;6;18.25;0;0.0;10.0
o;5;28.25;Schillig Willi;**;15;54.5;9;27.25;4;-1.0;8.5
+;10;36.75;Lisser Daniel;*;14;54.75;12;36.25;2;-0.5;10.0
o;8;46.75;Hauri Urs;**;6;56.75;7;47.0;-1;0.25;8.5

12b;Küng Marco;*;;;;;;;;;55.25
o;;;Probst Gabriel;**;;;;;;;8.5
o;5;8.5;Kohler Adrian;;14;54.75;2;9.75;-3;1.25;8.5
+;10;17.0;Stoll Thomas;;19;53.5;6;18.25;-4;1.25;10.0
+;10;27.0;Lüscher Ivan (2001);;21;53.0;10;27.0;0;0.0;9.75
+;10;36.75;Rüegg Benjamin;;18;53.75;10;36.75;0;0.0;10.0
o;8;46.75;Erb Roger;**;4;57.5;5;47.5;-3;0.75;8.5

12c;Krebs Clemens;;;;;;;;;;55.25
+;;;Stoll Thomas;;;;;;;;10.0
o;1;10.0;Schaffner Samuel;**;11;55.5;5;8.5;4;-1.5;8.5
+;5;18.5;Vogt Patrick (1999);;27;34.25;9;17.25;4;-1.25;10.0
o;4;28.5;Mangold Michael;*;10;55.75;9;27.25;5;-1.25;8.5
+;9;37.0;Rüegger Aaron (1999);;11;55.5;9;37.0;0;0.0;9.75
o;8;46.75;Thürig Mario;***;6;56.75;8;46.75;0;0.0;8.5

13a;Arnold Kornel;*;;;;;;;;;55.0
-;;;Moser Matthias;*;;;;;;;8.75
-;4;8.75;Gerber Andrj (2000);;13;55.0;1;10.0;-3;1.25;8.75
-;8;17.5;Büttler Gian (2000);;16;54.25;8;17.5;0;0.0;8.75
+;13;26.25;Grossmann Andreas;;15;54.5;10;27.0;-3;0.75;10.0
+;12;36.25;Imobersteg Tobias;;21;53.0;13;36.0;1;-0.25;10.0
-;10;46.25;Henzer Andreas;**;8;56.25;6;47.25;-4;1.0;8.75

13b;Hügli Kaj;*;;;;;;;;;55.0
-;;;Schmutz Adrian;*;;;;;;;8.75
-;4;8.75;Bieli Mario;;11;55.5;1;10.0;-3;1.25;8.75
+;8;17.5;Schmutz Simon (2000);;16;54.25;4;18.75;-4;1.25;10.0
-;8;27.5;Gerber Andrj (2000);;13;55.0;4;28.5;-4;1.0;9.0
+;11;36.5;Grieder Nonda (1999);;17;54.0;9;37.0;-2;0.5;10.0
o;9;46.5;Thoenen Henryc;**;6;56.75;7;47.0;-2;0.5;8.5

13c;Aerni Lars;;;;;;;;;;55.0
+;;;Kaiser Elias;;;;;;;;10.0
o;1;10.0;Waldner Patrick;**;11;55.5;5;8.5;4;-1.5;8.5
+;5;18.5;Schaub Reto (2000);;24;35.25;6;18.25;1;-0.25;10.0
o;4;28.5;Döbeli Lukas (2000);*;5;57.0;5;28.25;1;-0.25;8.75
o;8;37.25;Voggensperger Lars (2001);;10;55.75;8;37.25;0;0.0;8.75
-;11;46.0;De Fusco Dario;;14;54.75;12;45.75;1;-0.25;9.0

13d;Gerber Andrj (2000);;;;;;;;;;55.0
+;;;Eggenschwiler Fabian;;;;;;;;10.0
-;1;10.0;Arnold Kornel;*;13;55.0;4;8.75;3;-1.25;8.75
+;4;18.75;Müller Simon;;14;54.75;4;18.75;0;0.0;9.75
-;4;28.5;Hügli Kaj;*;13;55.0;8;27.5;4;-1.0;9.0
-;7;37.5;Winiger Fabian;**;10;55.75;9;37.0;2;-0.5;9.0
o;9;46.5;von Arx Christian;*;8;56.25;9;46.5;0;0.0;8.5

13e;Imobersteg Matthias (2001);;;;;;;;;;55.0
+;;;Loosli Adrian;;;;;;;;9.75
o;2;9.75;Strebel Joel;**;8;56.25;5;8.5;3;-1.25;8.75
+;5;18.5;Läuchli Janik (2000);;10;55.75;4;18.75;-1;0.25;9.75
+;5;28.25;Anderegg David;*;15;54.5;8;27.5;3;-0.75;9.75
o;5;38.0;Thürig Mario;***;6;56.75;10;36.75;5;-1.25;8.5
o;9;46.5;Zürcher Remo;*;9;56.0;11;46.0;2;-0.5;8.5

14a;Studer Remo;;;;;;;;;;54.75
+;;;Schwegler Dominik;;;;;;;;10.0
-;1;10.0;Anderegg David;*;15;54.5;1;10.0;0;0.0;8.75
-;4;18.75;Odermatt Adrian (2001);*;11;55.5;9;17.25;5;-1.5;8.75
o;8;27.5;Läuchli Janik (2000);;10;55.75;9;27.25;1;-0.25;8.5
-;13;36.0;Widmer Dino;;18;53.75;13;36.0;0;0.0;9.0
+;15;45.0;Loosli Adrian;;18;53.75;14;45.25;-1;0.25;9.75

14b;De Fusco Dario;;;;;;;;;;54.75
+;;;Vogt Fredy (2001);;;;;;;;9.75
o;2;9.75;Döbeli Andreas;*;7;56.5;5;8.5;3;-1.25;8.75
o;5;18.5;Thürig Mario;***;6;56.75;10;17.0;5;-1.5;8.5
-;10;27.0;Traub Manuel;;20;53.25;10;27.0;0;0.0;9.0
+;13;36.0;Büttler Gian (2000);;16;54.25;13;36.0;0;0.0;9.75
-;12;45.75;Aerni Lars;;13;55.0;11;46.0;-1;0.25;9.0

14c;Lisser Beat;;;;;;;;;;54.75
+;;;Vogel Remo (2001);;;;;;;;10.0
-;1;10.0;Schär Simon;*;29;17.25;5;8.5;4;-1.5;9.0
o;3;19.0;Erb Roger;**;4;57.5;3;19.0;0;0.0;8.5
-;8;27.5;Widmer Dino;;18;53.75;9;27.25;1;-0.25;8.75
-;12;36.25;Eggen Markus;;16;54.25;10;36.75;-2;0.5;8.75
+;15;45.0;Steger Robert;;17;54.0;13;45.5;-2;0.5;9.75

14d;Kohler Adrian;;;;;;;;;;54.75
+;;;Wilhelm Manuel;;;;;;;;9.75
+;2;9.75;Küng Marco;*;12;55.25;5;8.5;3;-1.25;9.75
o;2;19.5;Klausner Yanick;**;7;56.5;5;18.5;3;-1.0;8.5
+;6;28.0;Aebi Roger;;19;53.5;8;27.5;2;-0.5;9.75
o;6;37.75;Bieri Christoph;***;5;57.0;9;37.0;3;-0.75;8.5
o;10;46.25;Widmer Tobias;**;7;56.5;8;46.75;-2;0.5;8.5

14e;Vogt Fredy (2001);;;;;;;;;;54.75
o;;;De Fusco Dario;;;;;;;;8.5
+;5;8.5;Loosli Adrian;;18;53.75;5;8.5;0;0.0;9.75
o;6;18.25;Wilhelm Manuel;;18;53.75;6;18.25;0;0.0;8.5
+;11;26.75;Huber Pascal;;28;34.0;16;25.5;5;-1.25;9.75
o;11;36.5;Müller Simon;;14;54.75;12;36.25;1;-0.25;8.5
+;15;45.0;Grieder Nonda (1999);;17;54.0;13;45.5;-2;0.5;9.75

14f;Lisser Daniel;*;;;;;;;;;54.75
-;;;Odermatt Adrian (2001);*;;;;;;;9.0
+;3;9.0;Müller Jan;;14;54.75;2;9.75;-1;0.75;10.0
