3077-2016-06-19_101_Basellandschaftliches_Kantonalschwingfest-ST

1a;Erb Roger;**;;;;;;;;;58.75
+;7;47.0;Schaffner Samuel;**;9;55.75;6;47.25;-1;0.25;10.0

5a;Voggensperger Janic (1998);*;;;;;;;;;56.75
-;;;Thürig Mario;***;;;;;;;8.75
+;4;8.75;Stegmüller Klemens;*;14;54.5;5;8.5;1;-0.25;10.0
+;5;18.75;Lisser Beat;;16;54.0;3;19.5;-2;0.75;9.75
+;3;28.5;François Cederic;;15;54.25;3;28.5;0;0.0;10.0
+;2;38.5;Studinger Stephan;**;6;56.5;3;38.25;1;-0.25;9.75
o;3;48.25;Stalder Remo;***;3;57.25;5;47.5;2;-0.75;8.5

5b;Klausner Yanick;**;;;;;;;;;56.75
-;;;Löw Christophe;**;;;;;;;8.75
o;4;8.75;Vieira Tiago;**;22;47.25;5;8.5;1;-0.25;8.5
+;11;17.25;Bieli Andreas;;27;35.5;6;18.5;-5;1.25;10.0
+;8;27.25;Bader Fabian (2000);;14;54.5;8;27.25;0;0.0;10.0
+;7;37.25;Stüdeli Thomas;**;7;56.25;5;37.75;-2;0.5;9.75
+;7;47.0;Stoffel Marc;**;10;55.5;7;47.0;0;0.0;9.75

5c;Schmutz Adrian;*;;;;;;;;;56.75
o;;;Döbeli Andreas (1998);*;;;;;;;8.5
+;5;8.5;Widmer Tobias;**;10;55.5;5;8.5;0;0.0;10.0
-;6;18.5;Gerber Andrj (2000);;10;55.5;2;19.75;-4;1.25;8.75
+;8;27.25;Bruder Adrian;;19;53.25;8;27.25;0;0.0;9.75
+;8;37.0;Seiler Thomas;;17;53.75;9;36.75;1;-0.25;9.75
+;8;46.75;Schneider Markus;*;12;55.0;9;46.5;1;-0.25;10.0

5d;Leuthard Reto;*;;;;;;;;;56.75
+;;;Probst Gabriel;**;;;;;;;9.75
-;2;9.75;Stoffel Marc;**;10;55.5;1;10.0;-1;0.25;8.75
+;6;18.5;Schaub Florent;;12;55.0;5;18.75;-1;0.25;9.75
+;4;28.25;Fritz Christian;;17;53.75;5;28.0;1;-0.25;10.0
o;3;38.25;Stalder Remo;***;3;57.25;6;37.5;3;-0.75;8.5
+;8;46.75;Kropf Marcel;**;10;55.5;7;47.0;-1;0.25;10.0

5e;Vollenweider Jeremy (1998);*;;;;;;;;;56.75
-;;;Henzer Andreas;**;;;;;;;9.0
-;3;9.0;Stüdeli Thomas;**;7;56.25;4;8.75;1;-0.25;9.0
