3077-2016-06-19_101_Basellandschaftliches_Kantonalschwingfest-ST

1a;Erb Roger;**;;;;;;;;;58.75
o;;;Bürgler Patrick;;;;;;;;8.5
+;5;8.5;Imobersteg Tobias (1998);;18;53.5;5;8.5;0;0.0;9.75
o;7;18.25;Schär Simon;*;9;55.75;12;17.0;5;-1.25;8.5
o;10;26.75;Schaub Reto (2000);;17;53.75;9;27.0;-1;0.25;8.5

29a;Regenass Beat;;;;;;;;;;35.0
-;;;Rüegger Aaron (1999);;;;;;;;8.75
-;4;8.75;Reinhard Adrian;;18;53.5;4;8.75;0;0.0;8.75
-;10;17.5;Probst Stefan;;27;35.5;7;18.25;-3;0.75;8.75
o;11;26.25;Schwander Kilian;;11;55.25;9;27.0;-2;0.75;8.75

30a;Hitz Florian (1999);;;;;;;;;;34.5
o;;;Brügger Joël (2000);;;;;;;;8.5
-;5;8.5;Burtschi Michael;;15;54.25;5;8.5;0;0.0;8.75
-;11;17.25;Burkhardt Roy;;20;53.0;12;17.0;1;-0.25;8.75
o;12;26.0;Abt Robin;;28;35.25;14;25.5;2;-0.5;8.5

31a;Bonato Raphael;;;;;;;;;;34.25
o;;;Allenbach Björn;;;;;;;;8.5
o;5;8.5;Bader Fabian (2000);;14;54.5;4;8.75;-1;0.25;8.5
o;12;17.0;Riesen Ruedi;;25;46.25;7;18.25;-5;1.25;8.5
o;14;25.5;Widmer David;;11;55.25;9;27.0;-5;1.5;8.75

32a;Loosli Adrian;;;;;;;;;;34.0
o;;;Fehlmann Silvan;;;;;;;;8.5
o;5;8.5;Schwob Marco;;16;54.0;5;8.5;0;0.0;8.5
o;12;17.0;Nussbaumer Gabriel;;27;35.5;11;17.25;-1;0.25;8.5
o;14;25.5;Burkart Simon;;27;35.5;14;25.5;0;0.0;8.5

32b;Tschan Raphael (2000);;;;;;;;;;34.0
o;;;Burren Patrick (1999);;;;;;;;8.5
o;5;8.5;Krebs Clemens;;10;55.5;5;8.5;0;0.0;8.5
o;12;17.0;Schopferer Cyril (2000);;20;53.0;11;17.25;-1;0.25;8.5
o;14;25.5;Burkhardt Roy;;20;53.0;13;25.75;-1;0.25;8.5

32c;Regenass Reto (2000);;;;;;;;;;34.0
o;;;Müller Jan (1998);;;;;;;;8.5
o;5;8.5;Knutti Alexander (1999);;16;54.0;5;8.5;0;0.0;8.5
o;12;17.0;Imobersteg Tobias (1998);;18;53.5;12;17.0;0;0.0;8.5
o;14;25.5;Stoll Thomas (1998);;18;53.5;12;26.0;-2;0.5;8.5

32d;Mohler Fernando;;;;;;;;;;34.0
o;;;Schwander Kilian;;;;;;;;8.5
o;5;8.5;Schwyn Adrian;;17;53.75;5;8.5;0;0.0;8.5
o;12;17.0;Graber Colin (1998);;15;54.25;10;17.5;-2;0.5;8.5
o;14;25.5;Bürgler Patrick;;11;55.25;9;27.0;-5;1.5;8.5

32e;Wyss Cyrill;;;;;;;;;;34.0
o;;;Körkel Yannik;;;;;;;;8.5
o;5;8.5;Bieli Andreas;;27;35.5;5;8.5;0;0.0;8.5
o;12;17.0;Reinhard Adrian;;18;53.5;10;17.5;-2;0.5;8.5
o;14;25.5;Seiser Kay (2000);;19;53.25;12;26.0;-2;0.5;8.5

32f;Zagarella Davide (1999);;;;;;;;;;34.0
o;;;Schmutz Simon (2000);;;;;;;;8.5
o;5;8.5;Meister Luc;;17;53.75;5;8.5;0;0.0;8.5
o;12;17.0;Steger Robert (1998);;19;53.25;10;17.5;-2;0.5;8.5
o;14;25.5;Imobersteg Tobias (1998);;18;53.5;10;26.75;-4;1.25;8.5

32g;Herrmann Adrian (2000);;;;;;;;;;34.0
o;;;Reimann Marco (1998);;;;;;;;8.5
o;5;8.5;Aellig Roland (2000);;27;35.5;5;8.5;0;0.0;8.5
o;12;17.0;Schwyn Adrian;;17;53.75;7;18.25;-5;1.25;8.5
o;14;25.5;Bachmann Marco (1999);;18;53.5;11;26.25;-3;0.75;8.5

33a;Winiger Fabian;**;;;;;;;;;17.0
o;;;Hauri Urs;**;;;;;;;8.5
o;5;8.5;Bader Andreas;*;10;55.5;5;8.5;0;0.0;8.5

34a;Döbeli Lukas (2000);*;;;;;;;;;8.75
-;;;Stüdeli Thomas;**;;;;;;;8.75

