2496-2015-06-28_120_Nordostschweizer_Schwingfest-ST

1a;Rhyner Michael;**;;;;;;;;;58.5
+;3;8.75;Streuli Martin;*;16;54.25;3;8.75;0;0.0;10.0
o;4;18.75;Thoenen Henryc;**;6;56.75;5;18.5;1;-0.25;8.5
+;8;27.25;Schlumpf Dominik;*;23;35.5;9;27.0;1;-0.25;10.0
+;8;37.25;Burkhard Patrick;*;17;54.0;9;37.0;1;-0.25;10.0
-;6;47.25;Käser Remo;**;10;55.75;8;46.75;2;-0.5;9.0

9a;Kindlimann Fabian;***;;;;;;;;;56.0
-;;;Käser Remo;**;;;;;;;8.75
-;3;8.75;Wickli Beat;*;6;56.75;1;10.0;-2;1.25;8.75
+;7;17.5;Rüegg Fabian;*;16;54.25;5;18.5;-2;1.0;10.0
-;7;27.5;Gapany Benjamin;**;11;55.5;5;28.25;-2;0.75;8.75
+;12;36.25;Bernold Edi;**;13;55.0;11;36.5;-1;0.25;10.0
+;10;46.25;Reber Marcel;*;11;55.5;7;47.0;-3;0.75;9.75

9b;Korrodi Paul;*;;;;;;;;;56.0
o;;;Bernold Christian;*;;;;;;;8.75
+;3;8.75;Pfister Florian;;23;35.5;1;10.0;-2;1.25;10.0
o;4;18.75;Forrer Arnold;***;4;57.25;4;18.75;0;0.0;8.75
+;7;27.5;Wittenwiler Roman (1998);;16;54.25;6;28.0;-1;0.5;9.75
o;8;37.25;Kammermann Dominik;;10;55.75;8;37.25;0;0.0;8.75
+;11;46.0;Bernold Michael (1999);;14;54.75;10;46.25;-1;0.25;10.0

10a;Vestner Bruno;*;;;;;;;;;55.75
-;;;Streuli Martin;*;;;;;;;8.75
+;3;8.75;Näf Bruno;*;24;35.25;4;8.5;1;-0.25;10.0
+;4;18.75;Pfister Florian;;23;35.5;5;18.5;1;-0.25;10.0
o;3;28.75;Orlik Armon;**;3;57.5;3;28.75;0;0.0;8.5
+;8;37.25;Guisolan Marc;**;11;55.5;8;37.25;0;0.0;10.0
o;6;47.25;Büsser Andy;***;5;57.0;6;47.25;0;0.0;8.5

10b;Kammermann Dominik;;;;;;;;;;55.75
+;;;Bernold Michael (1999);;;;;;;;9.75
-;2;9.75;Bernold Beat;*;30;17.5;3;8.75;1;-1.0;8.75
-;5;18.5;Ackermann Remo;*;11;55.5;6;18.25;1;-0.25;8.75
+;8;27.25;Castelberg Marius;;23;35.5;9;27.0;1;-0.25;10.0
+;8;37.25;Korrodi Paul;*;9;56.0;8;37.25;0;0.0;10.0
o;6;47.25;Leuppi Samir;**;5;57.0;6;47.25;0;0.0;8.5

10c;Käser Remo;**;;;;;;;;;55.75
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;3;8.75;Roth Martin;*;10;55.75;1;10.0;-2;1.25;9.75
+;5;18.5;Horner Peter;**;5;57.0;2;19.75;-3;1.25;9.75
+;5;28.25;Schneider Domenic;**;5;57.0;3;28.75;-2;0.5;9.75
-;5;38.0;Krähenbühl Tobias;**;4;57.25;3;38.5;-2;0.5;8.75
-;8;46.75;Schläpfer Markus;**;8;56.25;6;47.25;-2;0.5;9.0

10d;Bühler Ernst;**;;;;;;;;;55.75
-;;;Schläpfer Markus;**;;;;;;;8.75
+;3;8.75;Odermatt Christoph;*;19;53.5;2;9.75;-1;1.0;10.0
-;4;18.75;Holenstein Christian;*;11;55.5;5;18.5;1;-0.25;8.75
+;7;27.5;Raymann David;;20;53.25;7;27.5;0;0.0;9.75
+;8;37.25;Odermatt Martin;*;16;54.25;9;37.0;1;-0.25;9.75
o;7;47.0;Thoenen Henryc;**;6;56.75;7;47.0;0;0.0;8.75

10e;Roth Martin;*;;;;;;;;;55.75
+;;;Notz Armin;*;;;;;;;10.0
o;1;10.0;Käser Remo;**;10;55.75;3;8.75;2;-1.25;8.5
+;5;18.5;Kamer Hanspeter;*;12;55.25;5;18.5;0;0.0;9.75
+;5;28.25;Scherer Christian;*;11;55.5;5;28.25;0;0.0;10.0
o;4;38.25;Knechtle Martin;**;7;56.5;5;38.0;1;-0.25;8.5
-;8;46.75;Schmid David;**;10;55.75;8;46.75;0;0.0;9.0

10f;Schmid David;**;;;;;;;;;55.75
+;;;Clopath Beat;***;;;;;;;9.75
o;2;9.75;Hersche Martin;**;2;57.75;1;10.0;-1;0.25;8.5
+;6;18.25;Giger Urs;*;11;55.5;5;18.5;-1;0.25;10.0
o;5;28.25;Eugster Ruedi;**;4;57.25;3;28.75;-2;0.5;8.5
+;10;36.75;Hofstetter Manuel;*;17;54.0;9;37.0;-1;0.25;10.0
-;8;46.75;Roth Martin;*;10;55.75;8;46.75;0;0.0;9.0

10g;Bösch Roman;**;;;;;;;;;55.75
+;;;Nigg Lukas;**;;;;;;;10.0
o;1;10.0;Zwyssig Raphael;***;10;55.75;3;8.75;2;-1.25;8.5
-;5;18.5;Fässler Patrick;;15;54.5;4;18.75;-1;0.25;8.75
-;8;27.25;Landolt Reto;*;15;54.5;8;27.25;0;0.0;8.75
+;13;36.0;Akeret Benno;*;18;53.75;10;36.75;-3;0.75;10.0
