2496-2015-06-28_120_Nordostschweizer_Schwingfest-ST

1a;Rhyner Michael;**;;;;;;;;;58.5
-;6;28.0;Schmid Patrick (1997);;11;55.5;8;27.25;2;-0.75;8.75
o;10;36.75;Bösch Roman;**;10;55.75;13;36.0;3;-0.75;8.5
o;14;45.25;Elmer Daniel;*;13;55.0;15;45.0;1;-0.25;8.5

18d;Rütsche Stefan;*;;;;;;;;;53.75
o;;;Straub Robin;*;;;;;;;8.5
+;4;8.5;Castelberg Marius;;23;35.5;2;9.75;-2;1.25;10.0
o;5;18.5;Fässler Andreas;**;7;56.5;4;18.75;-1;0.25;8.5
+;9;27.0;Hari Michi;;23;35.5;9;27.0;0;0.0;9.75
o;10;36.75;Morger Adrian;*;12;55.25;10;36.75;0;0.0;8.5
o;14;45.25;Kammermann Thomas;*;12;55.25;14;45.25;0;0.0;8.5

19a;Odermatt Christoph;*;;;;;;;;;53.5
+;;;Gmür Pirmin;*;;;;;;;9.75
o;2;9.75;Bühler Ernst;**;10;55.75;3;8.75;1;-1.0;8.5
+;6;18.25;Oertle Daniel;;12;55.25;5;18.5;-1;0.25;9.75
o;6;28.0;Riget Tobias;**;6;56.75;4;28.5;-2;0.5;8.5
o;11;36.5;Rüegg Roman;*;12;55.25;10;36.75;-1;0.25;8.5
o;15;45.0;Coray Beda;*;13;55.0;15;45.0;0;0.0;8.5

19b;Schwyn Adrian;;;;;;;;;;53.5
o;;;Fässler Patrick;;;;;;;;8.5
+;4;8.5;Büsser André;;24;35.25;4;8.5;0;0.0;9.75
o;6;18.25;Manser Bruno;*;12;55.25;8;17.25;2;-1.0;8.5
+;10;26.75;Näf Bruno;*;24;35.25;10;26.75;0;0.0;9.75
o;11;36.5;Bäbler Dominik;*;15;54.5;13;36.0;2;-0.5;8.5
o;15;45.0;Bernold Edi;**;13;55.0;15;45.0;0;0.0;8.5

20a;Leuppi Karim;;;;;;;;;;53.25
-;;;Litscher Manuel;*;;;;;;;8.75
+;3;8.75;Harder Benj;;25;35.0;3;8.75;0;0.0;9.75
-;5;18.5;Vogel Beat;*;25;35.0;7;17.5;2;-1.0;8.75
o;8;27.25;Elmer Adrian;;17;54.0;9;27.0;1;-0.25;8.75
o;13;36.0;Schlegel Reto (1997);*;14;54.75;11;36.5;-2;0.5;8.5
-;17;44.5;Raymann David;;20;53.25;17;44.5;0;0.0;8.75

20b;Ammann Rico;*;;;;;;;;;53.25
+;;;Jöhl Christian;*;;;;;;;9.75
o;2;9.75;Rhyner Michael;**;1;58.5;4;8.5;2;-1.25;8.5
-;6;18.25;Kid Simon;**;12;55.25;6;18.25;0;0.0;8.75
-;9;27.0;Oertig Simon;;21;53.0;9;27.0;0;0.0;8.75
-;14;35.75;Elmer Adrian;;17;54.0;10;36.75;-4;1.0;9.0
o;16;44.75;Landolt Reto;*;15;54.5;16;44.75;0;0.0;8.5

20c;Raymann David;;;;;;;;;;53.25
+;;;Bürgler Patrick;;;;;;;;10.0
o;1;10.0;Guisolan Marc;**;11;55.5;4;8.5;3;-1.5;8.5
-;5;18.5;Notz Armin;*;16;54.25;5;18.5;0;0.0;9.0
o;7;27.5;Bühler Ernst;**;10;55.75;7;27.5;0;0.0;8.5
o;13;36.0;Fässler Patrick;;15;54.5;12;36.25;-1;0.25;8.5
-;17;44.5;Leuppi Karim;;20;53.25;17;44.5;0;0.0;8.75

21a;Oertig Simon;;;;;;;;;;53.0
+;;;Junker Nik;;;;;;;;9.75
-;2;9.75;Stahel Felix;*;12;55.25;4;8.5;2;-1.25;8.75
o;5;18.5;Leuppi Samir;**;5;57.0;4;18.75;-1;0.25;8.5
-;9;27.0;Ammann Rico;*;20;53.25;9;27.0;0;0.0;8.75
o;14;35.75;Schudel Simon;;11;55.5;14;35.75;0;0.0;8.75
o;17;44.5;Fäh Tobias;;16;54.25;17;44.5;0;0.0;8.5

21b;Scherrer Willi;;;;;;;;;;53.0
+;;;Hersche Daniel;;;;;;;;9.75
-;2;9.75;Landolt Reto;*;15;54.5;3;8.75;1;-1.0;8.75
o;5;18.5;Battaglia Ursin;**;7;56.5;5;18.5;0;0.0;8.5
-;9;27.0;Straub Robin;*;23;35.5;10;26.75;1;-0.25;8.75
o;14;35.75;Schmid Patrick (1997);;11;55.5;13;36.0;-1;0.25;8.5
-;18;44.25;Fuster Sepp (1997);;21;53.0;18;44.25;0;0.0;8.75

21c;Fuster Sepp (1997);;;;;;;;;;53.0
+;;;Arnold Christian;;;;;;;;10.0
o;1;10.0;Odermatt Martin;*;16;54.25;4;8.5;3;-1.5;8.5
o;5;18.5;Vestner Roman;*;17;54.0;6;18.25;1;-0.25;8.5
o;9;27.0;Keller Dominic;;12;55.25;9;27.0;0;0.0;8.75
o;14;35.75;Notz Armin;*;16;54.25;13;36.0;-1;0.25;8.5
-;18;44.25;Scherrer Willi;;21;53.0;18;44.25;0;0.0;8.75

22a;Litscher Manuel;*;;;;;;;;;52.75
-;;;Leuppi Karim;;;;;;;;8.75
+;3;8.75;Koch Reto;;17;54.0;2;9.75;-1;1.0;10.0
o;4;18.75;Nigg Lukas;**;16;54.25;5;18.5;1;-0.25;8.5
o;8;27.25;Stahel Felix;*;12;55.25;8;27.25;0;0.0;8.5
o;14;35.75;Inauen Andreas;*;11;55.5;14;35.75;0;0.0;8.5
o;18;44.25;Krähenbühl Lukas;*;16;54.25;17;44.5;-1;0.25;8.5

23a;Hari Michi;;;;;;;;;;35.5
-;;;Harder Benj;;;;;;;;8.75
+;3;8.75;Horner Sämi;;23;35.5;4;8.5;1;-0.25;9.75
o;5;18.5;Oertig Dominik;*;12;55.25;6;18.25;1;-0.25;8.5
o;9;27.0;Rütsche Stefan;*;18;53.75;9;27.0;0;0.0;8.5

23b;Bucher Roland;;;;;;;;;;35.5
o;;;Fäh Tobias;;;;;;;;8.5
-;4;8.5;Biäsch Christian;;23;35.5;4;8.5;0;0.0;8.75
+;8;17.25;Tremp Remo (1999);;27;34.25;9;17.0;1;-0.25;9.75
o;9;27.0;Manser Bruno;*;12;55.25;9;27.0;0;0.0;8.5

23c;Pfiffner Ivo;;;;;;;;;;35.5
+;;;Oetiker Ronny;;;;;;;;10.0
o;1;10.0;Schnurrenberger Roman;**;11;55.5;4;8.5;3;-1.5;8.5
o;5;18.5;Schneider Domenic;**;5;57.0;4;18.75;-1;0.25;8.5
o;9;27.0;Oertle Daniel;;12;55.25;8;27.25;-1;0.25;8.5

23d;Schmid Dominik (1998);;;;;;;;;;35.5
o;;;Breitenmoser Manuel;;;;;;;;8.5
+;4;8.5;Breitenmoser Simon;;26;34.5;4;8.5;0;0.0;9.75
-;6;18.25;Streuli Martin;*;16;54.25;8;17.25;2;-1.0;8.75
o;9;27.0;Güntensperger Marcel;*;18;53.75;9;27.0;0;0.0;8.5

23e;Bürgler Patrick;;;;;;;;;;35.5
o;;;Raymann David;;;;;;;;8.5
o;4;8.5;Raschle Adrian;;23;35.5;4;8.5;0;0.0;8.5
o;9;17.0;Hersche Daniel;;23;35.5;8;17.25;-1;0.25;8.5
+;14;25.5;Schiess Christian;;28;34.0;14;25.5;0;0.0;10.0

23f;Riedi Thomas;;;;;;;;;;35.5
o;;;Braun Mathias;;;;;;;;8.5
+;4;8.5;Schönenberger Björn;;27;34.25;4;8.5;0;0.0;10.0
o;5;18.5;Bickel Stefan;*;12;55.25;9;17.0;4;-1.5;8.5
o;9;27.0;Odermatt Martin;*;16;54.25;9;27.0;0;0.0;8.5

23g;Jecklin Alexsandro (1998);;;;;;;;;;35.5
o;;;Koch Reto;;;;;;;;8.5
o;4;8.5;Wicki Cédric;;16;54.25;4;8.5;0;0.0;8.5
+;9;17.0;Schiess Christian;;28;34.0;9;17.0;0;0.0;10.0
o;9;27.0;Bickel Stefan;*;12;55.25;9;27.0;0;0.0;8.5

23h;Nägeli Roman;*;;;;;;;;;35.5
o;;;Jud Pirmin;*;;;;;;;8.5
+;4;8.5;Breitenmoser Manuel;;23;35.5;2;9.75;-2;1.25;9.75
o;6;18.25;Koller Fabian;;14;54.75;6;18.25;0;0.0;8.5
-;10;26.75;Bleiker Daniel;;23;35.5;10;26.75;0;0.0;8.75

23i;Bleiker Daniel;;;;;;;;;;35.5
o;;;Koller Fabian;;;;;;;;8.5
o;4;8.5;Arnold Christian;;24;35.25;4;8.5;0;0.0;8.5
+;9;17.0;Mathis Patrick;;24;35.25;9;17.0;0;0.0;9.75
-;10;26.75;Nägeli Roman;*;23;35.5;10;26.75;0;0.0;8.75

23j;Lieberherr Michael (1999);;;;;;;;;;35.5
o;;;Pianta Christian (1997);;;;;;;;8.5
+;4;8.5;Mathis Patrick;;24;35.25;4;8.5;0;0.0;10.0
o;5;18.5;Nägeli Marco;*;12;55.25;6;18.25;1;-0.25;8.5
o;9;27.0;Hofstetter Manuel;*;17;54.0;9;27.0;0;0.0;8.5

23k;Raschle Adrian;;;;;;;;;;35.5
o;;;Schmucki Ivo;;;;;;;;8.5
+;4;8.5;Bürgler Patrick;;23;35.5;4;8.5;0;0.0;10.0
o;5;18.5;Stahel Felix;*;12;55.25;8;17.25;3;-1.25;8.5
o;9;27.0;Kamer Hanspeter;*;12;55.25;9;27.0;0;0.0;8.5

23l;Braun Mathias;;;;;;;;;;35.5
+;;;Riedi Thomas;;;;;;;;9.75
o;2;9.75;Hofstetter Manuel;*;17;54.0;4;8.5;2;-1.25;8.5
o;6;18.25;Riget Tobias;**;6;56.75;5;18.5;-1;0.25;8.5
-;10;26.75;Mösli Reto;;23;35.5;10;26.75;0;0.0;8.75

23m;Oetiker Ronny;;;;;;;;;;35.5
o;;;Pfiffner Ivo;;;;;;;;8.5
+;4;8.5;Tremp Remo (1999);;27;34.25;4;8.5;0;0.0;9.75
-;6;18.25;Riget Ivan;*;25;35.0;7;17.5;1;-0.75;8.75
o;9;27.0;Gmür Pirmin;*;12;55.25;9;27.0;0;0.0;8.5

23n;Schlumpf Dominik;*;;;;;;;;;35.5
o;;;Schlegel Reto (1997);*;;;;;;;8.5
o;4;8.5;Koch Thomas (1997);;13;55.0;2;9.75;-2;1.25;8.75
+;8;17.25;Bernold Michael (1999);;14;54.75;6;18.25;-2;1.0;9.75
o;9;27.0;Schläpfer Markus;**;8;56.25;8;27.25;-1;0.25;8.5

23o;Horner Sämi;;;;;;;;;;35.5
o;;;Elmer Adrian;;;;;;;;8.5
o;4;8.5;Hari Michi;;23;35.5;3;8.75;-1;0.25;8.75
+;8;17.25;Harder Benj;;25;35.0;8;17.25;0;0.0;9.75
o;9;27.0;Burkhard Patrick;*;17;54.0;9;27.0;0;0.0;8.5

23p;Biäsch Christian;;;;;;;;;;35.5
o;;;Bänziger Peter;;;;;;;;8.5
-;4;8.5;Bucher Roland;;23;35.5;4;8.5;0;0.0;8.75
o;8;17.25;Büsser André;;24;35.25;9;17.0;1;-0.25;8.5
+;13;25.75;Schönenberger Björn;;27;34.25;13;25.75;0;0.0;9.75

23q;Mösli Reto;;;;;;;;;;35.5
+;;;Frauchiger Remo;;;;;;;;9.75
o;2;9.75;Reber Marcel;*;11;55.5;4;8.5;2;-1.25;8.5
o;6;18.25;Näf Bruno;*;24;35.25;9;17.0;3;-1.25;8.5
-;10;26.75;Braun Mathias;;23;35.5;10;26.75;0;0.0;8.75

23r;Hersche Daniel;;;;;;;;;;35.5
o;;;Scherrer Willi;;;;;;;;8.5
o;4;8.5;Wild Stefan;;18;53.75;4;8.5;0;0.0;8.75
+;8;17.25;Bürgler Patrick;;23;35.5;9;17.0;1;-0.25;9.75
o;9;27.0;Reber Marcel;*;11;55.5;9;27.0;0;0.0;8.5

23s;Castelberg Marius;;;;;;;;;;35.5
+;;;Langenegger Beat (1997);;;;;;;;9.75
o;2;9.75;Rütsche Stefan;*;18;53.75;4;8.5;2;-1.25;8.75
o;5;18.5;Scherer Christian;*;11;55.5;6;18.25;1;-0.25;8.5
o;9;27.0;Kammermann Dominik;;10;55.75;8;27.25;-1;0.25;8.5

23t;Straub Robin;*;;;;;;;;;35.5
+;;;Rütsche Stefan;*;;;;;;;9.75
o;2;9.75;Kid Simon;**;12;55.25;4;8.5;2;-1.25;8.5
o;6;18.25;Rhyner Michael;**;1;58.5;5;18.5;-1;0.25;8.5
-;10;26.75;Scherrer Willi;;21;53.0;9;27.0;-1;0.25;8.75

23u;Frauchiger Remo;;;;;;;;;;35.5
o;;;Mösli Reto;;;;;;;;8.5
+;4;8.5;Schiess Christian;;28;34.0;4;8.5;0;0.0;9.75
o;6;18.25;Landolt Reto;*;15;54.5;7;17.5;1;-0.75;8.75
o;9;27.0;Rüegg Fabian;*;16;54.25;9;27.0;0;0.0;8.5

23v;Pianta Christian (1997);;;;;;;;;;35.5
+;;;Lieberherr Michael (1999);;;;;;;;9.75
-;2;9.75;Bäbler Dominik;*;15;54.5;4;8.5;2;-1.25;8.75
o;5;18.5;Bernold Christian;*;13;55.0;6;18.25;1;-0.25;8.5
o;9;27.0;Truniger Manuel;;16;54.25;9;27.0;0;0.0;8.5

23w;Pfister Florian;;;;;;;;;;35.5
+;;;Schudel Simon;;;;;;;;10.0
o;1;10.0;Korrodi Paul;*;9;56.0;3;8.75;2;-1.25;8.5
o;5;18.5;Vestner Bruno;*;10;55.75;4;18.75;-1;0.25;8.5
o;9;27.0;Ackermann Remo;*;11;55.5;8;27.25;-1;0.25;8.5

23x;Bickel Roman (1998);;;;;;;;;;35.5
+;;;Breitenmoser Simon;;;;;;;;9.75
-;2;9.75;Krähenbühl Lukas;*;16;54.25;4;8.5;2;-1.25;8.75
o;5;18.5;Kohler Fredi;**;5;57.0;5;18.5;0;0.0;8.5
o;9;27.0;Schlegel Reto (1997);*;14;54.75;10;26.75;1;-0.25;8.5

23y;Breitenmoser Manuel;;;;;;;;;;35.5
+;;;Schmid Dominik (1998);;;;;;;;9.75
o;2;9.75;Nägeli Roman;*;23;35.5;4;8.5;2;-1.25;8.75
o;5;18.5;Fejzaj Naim;*;12;55.25;6;18.25;1;-0.25;8.5
o;9;27.0;Kammermann Thomas;*;12;55.25;9;27.0;0;0.0;8.5

23z;Wolfer Lukas;;;;;;;;;;35.5
+;;;Wicki Cédric;;;;;;;;9.75
o;2;9.75;Rüegg Fabian;*;16;54.25;3;8.75;1;-1.0;8.5
o;6;18.25;Jöhl Christian;*;16;54.25;5;18.5;-1;0.25;8.5
o;10;26.75;Koch Reto;;17;54.0;10;26.75;0;0.0;8.75

24a;Schäppi Urs;;;;;;;;;;35.25
+;;;Büsser André;;;;;;;;9.75
o;2;9.75;Burkhard Patrick;*;17;54.0;4;8.5;2;-1.25;8.5
o;6;18.25;Schmid Dominik;*;8;56.25;6;18.25;0;0.0;8.5
o;10;26.75;Bernold Michael (1999);;14;54.75;10;26.75;0;0.0;8.5

24b;Büsser André;;;;;;;;;;35.25
o;;;Schäppi Urs;;;;;;;;8.5
o;4;8.5;Schwyn Adrian;;19;53.5;4;8.5;0;0.0;8.5
+;9;17.0;Biäsch Christian;;23;35.5;8;17.25;-1;0.25;9.75
o;10;26.75;Zbinden Marc;*;10;55.75;8;27.25;-2;0.5;8.5

24c;Roth Ruedi (1997);;;;;;;;;;35.25
+;;;Gysel Hansruedi;;;;;;;;9.75
o;2;9.75;Schmid Dominik;*;8;56.25;4;8.5;2;-1.25;8.5
o;6;18.25;Wey Nicola;*;12;55.25;6;18.25;0;0.0;8.5
o;10;26.75;Dörig Erich;;10;55.75;8;27.25;-2;0.5;8.5

24d;Arnold Christian;;;;;;;;;;35.25
o;;;Fuster Sepp (1997);;;;;;;;8.5
+;4;8.5;Bleiker Daniel;;23;35.5;4;8.5;0;0.0;9.75
o;6;18.25;Bernold Edi;**;13;55.0;9;17.0;3;-1.25;8.5
o;10;26.75;Jud Pirmin;*;17;54.0;9;27.0;-1;0.25;8.5

24e;Näf Bruno;*;;;;;;;;;35.25
o;;;Kammermann Thomas;*;;;;;;;8.5
o;4;8.5;Vestner Bruno;*;10;55.75;3;8.75;-1;0.25;8.5
+;9;17.0;Mösli Reto;;23;35.5;6;18.25;-3;1.25;9.75
o;10;26.75;Schwyn Adrian;;19;53.5;10;26.75;0;0.0;8.5

24f;Mathis Patrick;;;;;;;;;;35.25
o;;;Koch Thomas (1997);;;;;;;;8.5
o;4;8.5;Lieberherr Michael (1999);;23;35.5;4;8.5;0;0.0;8.5
o;9;17.0;Bleiker Daniel;;23;35.5;9;17.0;0;0.0;8.5
+;14;25.5;Tremp Remo (1999);;27;34.25;14;25.5;0;0.0;9.75

25a;Harder Benj;;;;;;;;;;35.0
-;;;Hari Michi;;;;;;;;8.75
o;3;8.75;Leuppi Karim;;20;53.25;3;8.75;0;0.0;8.5
o;8;17.25;Horner Sämi;;23;35.5;8;17.25;0;0.0;8.75
-;12;26.0;Castelberg Andri;;25;35.0;12;26.0;0;0.0;9.0

25b;Vogel Beat;*;;;;;;;;;35.0
-;;;Zbinden Marc;*;;;;;;;8.75
-;3;8.75;Fässler Patrick;;15;54.5;1;10.0;-2;1.25;8.75
-;7;17.5;Leuppi Karim;;20;53.25;5;18.5;-2;1.0;8.75
-;11;26.25;Riget Ivan;*;25;35.0;11;26.25;0;0.0;8.75

25c;Riget Ivan;*;;;;;;;;;35.0
-;;;Giger Urs;*;;;;;;;8.75
-;3;8.75;Oertle Daniel;;12;55.25;2;9.75;-1;1.0;8.75
-;7;17.5;Oetiker Ronny;;23;35.5;6;18.25;-1;0.75;8.75
-;11;26.25;Vogel Beat;*;25;35.0;11;26.25;0;0.0;8.75

25d;Castelberg Andri;;;;;;;;;;35.0
o;;;Wittenwiler Roman (1998);;;;;;;;8.5
-;4;8.5;Gysel Hansruedi;;26;34.5;4;8.5;0;0.0;8.75
-;8;17.25;Krähenbühl Lukas;*;16;54.25;8;17.25;0;0.0;8.75
-;12;26.0;Harder Benj;;25;35.0;12;26.0;0;0.0;9.0

26a;Gysel Hansruedi;;;;;;;;;;34.5
o;;;Roth Ruedi (1997);;;;;;;;8.5
-;4;8.5;Castelberg Andri;;25;35.0;4;8.5;0;0.0;8.75
o;8;17.25;Bernold Edi;**;13;55.0;9;17.0;1;-0.25;8.5
-;13;25.75;Breitenmoser Simon;;26;34.5;13;25.75;0;0.0;8.75

26b;Junker Nik;;;;;;;;;;34.5
o;;;Oertig Simon;;;;;;;;8.5
-;4;8.5;Schnyder Christian;;26;34.5;4;8.5;0;0.0;8.75
-;8;17.25;Breitenmoser Simon;;26;34.5;9;17.0;1;-0.25;8.75
o;12;26.0;Krähenbühl Lukas;*;16;54.25;12;26.0;0;0.0;8.5

26c;Schnyder Christian;;;;;;;;;;34.5
o;;;Truniger Manuel;;;;;;;;8.5
-;4;8.5;Junker Nik;;26;34.5;4;8.5;0;0.0;8.75
-;8;17.25;Schönenberger Björn;;27;34.25;9;17.0;1;-0.25;8.75
o;12;26.0;Streuli Martin;*;16;54.25;12;26.0;0;0.0;8.5

26d;Breitenmoser Simon;;;;;;;;;;34.5
o;;;Bickel Roman (1998);;;;;;;;8.5
o;4;8.5;Schmid Dominik (1998);;23;35.5;4;8.5;0;0.0;8.5
-;9;17.0;Junker Nik;;26;34.5;8;17.25;-1;0.25;8.75
-;13;25.75;Gysel Hansruedi;;26;34.5;13;25.75;0;0.0;8.75

27a;Schönenberger Björn;;;;;;;;;;34.25
o;;;Dörig Erich;;;;;;;;8.5
o;4;8.5;Riedi Thomas;;23;35.5;4;8.5;0;0.0;8.5
-;9;17.0;Schnyder Christian;;26;34.5;8;17.25;-1;0.25;8.75
o;13;25.75;Biäsch Christian;;23;35.5;13;25.75;0;0.0;8.5

27b;Bäbler Sandro;**;;;;;;;;;34.25
o;;;Battaglia Ursin;**;;;;;;;8.5
-;4;8.5;Brühlmann Martin;*;12;55.25;2;9.75;-2;1.25;8.75
o;8;17.25;Schnurrenberger Roman;**;11;55.5;5;18.5;-3;1.25;8.5
o;13;25.75;Peng Mike;***;11;55.5;9;27.0;-4;1.25;8.5

27c;Tremp Remo (1999);;;;;;;;;;34.25
o;;;Akeret Benno;*;;;;;;;8.5
o;4;8.5;Oetiker Ronny;;23;35.5;4;8.5;0;0.0;8.5
o;9;17.0;Bucher Roland;;23;35.5;8;17.25;-1;0.25;8.5
o;14;25.5;Mathis Patrick;;24;35.25;14;25.5;0;0.0;8.75

27d;Roth Peter (1998);;;;;;;;;;34.25
o;;;Keller Dominic;;;;;;;;8.5
o;4;8.5;Schudel Simon;;11;55.5;4;8.5;0;0.0;8.5
-;9;17.0;Langenegger Beat (1997);;27;34.25;9;17.0;0;0.0;8.75
o;13;25.75;Sprecher Sandro;*;17;54.0;9;27.0;-4;1.25;8.5

27e;Langenegger Beat (1997);;;;;;;;;;34.25
o;;;Castelberg Marius;;;;;;;;8.5
o;4;8.5;Bernold Michael (1999);;14;54.75;4;8.5;0;0.0;8.5
-;9;17.0;Roth Peter (1998);;27;34.25;9;17.0;0;0.0;8.75
o;13;25.75;Bäbler Dominik;*;15;54.5;12;26.0;-1;0.25;8.5

28a;Schiess Christian;;;;;;;;;;34.0
o;;;Oettli Marco (1997);;;;;;;;8.5
o;4;8.5;Frauchiger Remo;;23;35.5;4;8.5;0;0.0;8.5
o;9;17.0;Jecklin Alexsandro (1998);;23;35.5;9;17.0;0;0.0;8.5
o;14;25.5;Bürgler Patrick;;23;35.5;14;25.5;0;0.0;8.5

28b;Meier Remo;**;;;;;;;;;34.0
o;;;Steiner Michael;**;;;;;;;8.5
o;4;8.5;Vollenweider Jeremy (1998);*;13;55.0;2;9.75;-2;1.25;8.5
o;9;17.0;Gwerder Andreas;**;10;55.75;7;17.5;-2;0.5;8.5
o;14;25.5;Sprecher Sandro;*;17;54.0;9;27.0;-5;1.5;8.5

29a;Schmucki Ivo;;;;;;;;;;18.5
+;;;Raschle Adrian;;;;;;;;10.0
o;1;10.0;Notz Armin;*;16;54.25;4;8.5;3;-1.5;8.5

30a;Bernold Beat;*;;;;;;;;;17.5
-;;;Manser Bruno;*;;;;;;;8.75
-;3;8.75;Kammermann Dominik;;10;55.75;2;9.75;-1;1.0;8.75

31a;Ritzmann Bernhard;;;;;;;;;;8.5
o;;;Oertle Daniel;;;;;;;;8.5

31b;Gloggner Philipp;***;;;;;;;;;8.5
o;;;Forrer Arnold;***;;;;;;;8.5

