2777-2017-06-25_122_Nordostschweizer_Schwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.5
o;1;10.0;Kindlimann Fabian;***;9;56.25;1;10.0;0;0.0;8.5
+;6;18.5;Koller Martin;*;16;54.5;5;18.75;-1;0.25;10.0
o;4;28.5;Bless Michael;***;7;56.75;4;28.5;0;0.0;8.5
+;9;37.0;Coray Beda;*;7;56.75;4;38.25;-5;1.25;10.0
-;8;47.0;Bernold Christian;**;8;56.5;6;47.5;-2;0.5;9.0

11a;Schmid Patrick;*;;;;;;;;;55.75
+;;;Rüegg Fabian;*;;;;;;;10.0
-;1;10.0;Peng Mike;***;12;55.5;4;8.75;3;-1.25;8.75
+;5;18.75;Bärtsch Jann (2000);;18;54.0;6;18.5;1;-0.25;10.0
o;3;28.75;Oertig Dominik;**;6;57.0;5;28.25;2;-0.5;8.5
-;8;37.25;Näf Pius;*;16;54.5;9;37.0;1;-0.25;8.75
+;12;46.0;Schlegel Reto;*;16;54.5;12;46.0;0;0.0;9.75

11b;Bühler Ernst;**;;;;;;;;;55.75
+;;;Sprecher Sandro;*;;;;;;;10.0
o;1;10.0;Suppiger René;***;12;55.5;5;8.5;4;-1.5;8.5
-;6;18.5;Elmer Daniel;*;14;55.0;6;18.5;0;0.0;8.75
+;9;27.25;Bleiker Daniel;;23;52.75;9;27.25;0;0.0;10.0
+;8;37.25;Rüegg Fabian;*;18;54.0;9;37.0;1;-0.25;10.0
o;7;47.25;Sempach Thomas;***;8;56.5;10;46.5;3;-0.75;8.5

11c;Rüegg Roman;*;;;;;;;;;55.75
-;;;Ott Dominik;*;;;;;;;8.75
o;4;8.75;Dörig Erich;*;15;54.75;4;8.75;0;0.0;8.5
-;9;17.25;Hersche Daniel;;22;53.0;7;18.25;-2;1.0;8.75
+;13;26.0;Gosswiler Livio (2000);;26;35.5;10;27.0;-3;1.0;10.0
+;13;36.0;Fäh Tobias;;17;54.25;14;35.75;1;-0.25;10.0
+;12;46.0;Kammermann Thomas;*;17;54.25;13;45.75;1;-0.25;9.75

11d;Eugster Ruedi;**;;;;;;;;;55.75
-;;;Bühler Hannes;*;;;;;;;8.75
+;4;8.75;Wolfer Lukas;*;15;54.75;2;9.75;-2;1.0;9.75
-;6;18.5;Gwerder Andreas;**;12;55.5;5;18.75;-1;0.25;8.75
+;9;27.25;Koch Reto;;18;54.0;5;28.25;-4;1.0;9.75
+;9;37.0;Ackermann Remo;*;14;55.0;10;36.75;1;-0.25;9.75
-;9;46.75;Suppiger René;***;12;55.5;10;46.5;1;-0.25;9.0

11e;Studinger Stephan;**;;;;;;;;;55.75
o;;;Orlik Armon;***;;;;;;;8.5
+;5;8.5;Biäsch Christian;*;11;55.75;1;10.0;-4;1.5;10.0
+;6;18.5;Zbinden Marc;*;17;54.25;6;18.5;0;0.0;10.0
o;4;28.5;Leuppi Samir;**;6;57.0;4;28.5;0;0.0;8.5
+;9;37.0;Hochholdinger Roman;**;12;55.5;9;37.0;0;0.0;10.0
-;8;47.0;Kindlimann Fabian;***;9;56.25;6;47.5;-2;0.5;8.75

11f;Kid Simon;**;;;;;;;;;55.75
+;;;Krähenbühl Tobias;***;;;;;;;9.75
-;2;9.75;Krähenbühl Lukas;*;14;55.0;2;9.75;0;0.0;8.75
+;6;18.5;Funk Nicola (1999);;16;54.5;4;19.0;-2;0.5;10.0
o;4;28.5;Schneider Mario;**;7;56.75;4;28.5;0;0.0;8.5
-;9;37.0;Oertle Daniel;*;13;55.25;11;36.5;2;-0.5;8.75
+;13;45.75;Arztmann Beda;*;19;53.75;15;45.25;2;-0.5;10.0

11g;Biäsch Christian;*;;;;;;;;;55.75
+;;;Baumann Rico;*;;;;;;;10.0
o;1;10.0;Studinger Stephan;**;11;55.75;5;8.5;4;-1.5;8.5
o;6;18.5;Ammann Rico;*;11;55.75;5;18.75;-1;0.25;8.5
-;10;27.0;Hersche Daniel;;22;53.0;10;27.0;0;0.0;9.0
+;13;36.0;Ulmann Fabian (1999);;20;53.5;11;36.5;-2;0.5;10.0
+;12;46.0;Vestner Bruno;*;18;54.0;14;45.5;2;-0.5;9.75

11h;Bernold Edi;**;;;;;;;;;55.75
-;;;Landolt Reto;*;;;;;;;8.75
o;4;8.75;Gwerder Andreas;**;12;55.5;4;8.75;0;0.0;8.75
+;8;17.5;Keller Werner;;26;35.5;6;18.5;-2;1.0;10.0
+;8;27.5;Schmid Dominik;**;17;54.25;9;27.25;1;-0.25;10.0
o;7;37.5;Dumelin David;*;12;55.5;8;37.25;1;-0.25;8.5
+;12;46.0;Giger Urs;*;17;54.25;13;45.75;1;-0.25;9.75

11i;Vestner Roman;*;;;;;;;;;55.75
+;;;Bickel Stefan;*;;;;;;;9.75
o;2;9.75;Bless Michael;***;7;56.75;4;8.75;2;-1.0;8.5
-;7;18.25;Reichmuth Beat;;22;53.0;6;18.5;-1;0.25;8.75
-;10;27.0;Gartmann Mauro;*;14;55.0;8;27.5;-2;0.5;8.75
+;14;35.75;Lehmann Philipp (1999);;17;54.25;14;35.75;0;0.0;10.0
+;13;45.75;Korrodi Paul;*;17;54.25;13;45.75;0;0.0;10.0

11j;Gmür Pirmin;*;;;;;;;;;55.75
-;;;Schlegel Sandro;**;;;;;;;9.0
+;3;9.0;Roth Martin;*;30;34.5;4;8.75;1;-0.25;10.0
o;4;19.0;Giger Samuel;***;1;58.5;5;18.75;1;-0.25;8.5
+;8;27.5;Marty Jaime (2000);;16;54.5;9;27.25;1;-0.25;9.75
+;8;37.25;Landolt Reto;*;17;54.25;9;37.0;1;-0.25;10.0
o;7;47.25;Cardinaux Victor;**;5;57.25;7;47.25;0;0.0;8.5

11k;Fuster Sepp;;;;;;;;;;55.75
+;;;Bärtsch Jann (2000);;;;;;;;10.0
-;1;10.0;Bickel Stefan;*;30;34.5;5;8.5;4;-1.5;8.75
+;5;18.75;Wolfer Lukas;*;15;54.75;7;18.25;2;-0.5;9.75
o;4;28.5;Coray Beda;*;7;56.75;5;28.25;1;-0.25;8.5
o;9;37.0;Krähenbühl Lukas;*;14;55.0;10;36.75;1;-0.25;8.75
+;13;45.75;Kunz Daniel;;19;53.75;15;45.25;2;-0.5;10.0

11l;Battaglia Ursin;**;;;;;;;;;55.75
-;;;Geisser Lars;*;;;;;;;9.0
