2805-2015-04-26_Fete_cantonale_Fribourgeoise-ST

1a;Sempach Matthias;***;;;;;;;;;59.5
30p;Pürro Fabrice (1999);;;;;;;;;;35.5
o;;;Dorsaz Théo (1998);;;;;;;;8.5
+;5;8.5;Duc Grégory;;30;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Burri Flemming;;17;54.0;6;18.5;0;0.0;8.5
o;10;27.0;Vaucher Rémy (1999);;13;55.0;10;27.0;0;0.0;8.5

30q;Bongard Jérôme;;;;;;;;;;35.5
o;;;Forster Sämi (1997);;;;;;;;8.5
+;5;8.5;Reymond Jessy (1998);;37;25.75;5;8.5;0;0.0;9.75
o;7;18.25;Kramer Dorian (1999);;19;53.5;7;18.25;0;0.0;8.5
-;11;26.75;Aladenise Jonathan;;30;35.5;11;26.75;0;0.0;8.75

30r;Tenthorey Matthieu;;;;;;;;;;35.5
o;;;Gauch Bastien;;;;;;;;8.5
-;5;8.5;Parvex Yannick;;10;55.75;4;8.75;-1;0.25;8.75
+;10;17.25;Pouye Diey;;30;35.5;11;17.0;1;-0.25;9.75
o;10;27.0;Skryapnik Oleg;;13;55.0;10;27.0;0;0.0;8.5

30s;Cotting Fabien (1999);;;;;;;;;;35.5
o;;;Buchs Julien (1999);;;;;;;;8.5
o;5;8.5;Berger Alan (1998);;30;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Arnold Christian;;30;35.5;11;17.0;0;0.0;8.5
+;15;25.5;Reichenbach Ryan (1999);;35;34.0;15;25.5;0;0.0;10.0

30t;Cressier Gaetan;;;;;;;;;;35.5
+;;;Boschung Markus;;;;;;;;9.75
o;2;9.75;Moser Steven;**;5;57.0;5;8.5;3;-1.25;8.5
o;7;18.25;Rossy Yannick;;13;55.0;7;18.25;0;0.0;8.5
-;11;26.75;Cotting Florian;;17;54.0;10;27.0;-1;0.25;8.75

31a;Daves Maxime (1997);;;;;;;;;;35.25
o;;;Burri Flemming;;;;;;;;8.5
+;5;8.5;Egger Fabio (1999);;35;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Forster Sämi (1997);;18;53.75;6;18.5;-1;0.25;8.5
o;11;26.75;Pürro Tobias (1997);;26;45.5;4;28.5;-7;1.75;8.5

31b;Dorsaz Théo (1998);;;;;;;;;;35.25
+;;;Pürro Fabrice (1999);;;;;;;;9.75
o;2;9.75;Borcard Johann;*;9;56.0;4;8.75;2;-1.0;8.5
o;7;18.25;Ducry Antoine;;11;55.5;6;18.5;-1;0.25;8.5
o;11;26.75;Quiot Didier;;26;45.5;10;27.0;-1;0.25;8.5

31c;Taillard Virgile (1998);;;;;;;;;;35.25
o;;;Rappo Yann (1998);;;;;;;;8.5
+;5;8.5;Fuchs Yannick (1998);;34;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Delabays Alexandre;;26;45.5;7;18.25;0;0.0;8.5
o;11;26.75;Wicky Jonathan;;27;45.25;5;28.25;-6;1.5;8.5

31d;Roulet Denis;;;;;;;;;;35.25
o;;;Berset Cyril;;;;;;;;8.5
o;5;8.5;Boschung Markus;;15;54.5;5;8.5;0;0.0;8.5
+;11;17.0;Chautems Mike;;35;34.0;11;17.0;0;0.0;9.75
o;11;26.75;Derron Julien (1997);;12;55.25;10;27.0;-1;0.25;8.5

32a;Vieux Sylvain;*;;;;;;;;;34.75
o;;;Brodard Augustin;**;;;;;;;8.5
-;5;8.5;Burri Flemming;;17;54.0;2;9.75;-3;1.25;8.75
-;10;17.25;Cotting Florian;;17;54.0;7;18.25;-3;1.0;8.75
-;13;26.0;Pharisa Loic;;15;54.5;8;27.5;-5;1.5;8.75

33a;Burgy Matt (1999);;;;;;;;;;34.5
-;;;Egger Pierre (1999);;;;;;;;8.75
-;4;8.75;Zimmermann Joël (1997);;33;34.5;4;8.75;0;0.0;8.75
o;9;17.5;Vonlanthen Alexandre;;15;54.5;9;17.5;0;0.0;8.5
o;13;26.0;Von Niederhäusern Martin;;15;54.5;12;26.25;-1;0.25;8.5

33b;Berger Dilan (1998);;;;;;;;;;34.5
-;;;Pellet Adrian (1997);;;;;;;;8.75
-;4;8.75;Egger Pierre (1999);;12;55.25;4;8.75;0;0.0;8.75
o;9;17.5;Loup Alexandre (1997);;26;45.5;7;18.25;-2;0.75;8.5
o;13;26.0;Burgy Frank (1997);;14;54.75;12;26.25;-1;0.25;8.5

33c;Zimmermann Joël (1997);;;;;;;;;;34.5
-;;;Blanchard Benjamin (1997);;;;;;;;8.75
-;4;8.75;Burgy Matt (1999);;33;34.5;4;8.75;0;0.0;8.75
o;9;17.5;Capt Stéphane;;30;35.5;10;17.25;1;-0.25;8.5
o;13;26.0;Dufey Gil (1997);;30;35.5;14;25.75;1;-0.25;8.5

33d;Menoud Timothée (1999);;;;;;;;;;34.5
-;;;Zosso Fabian (1998);;;;;;;;8.75
-;4;8.75;Burgy Frank (1997);;14;54.75;4;8.75;0;0.0;8.75
o;9;17.5;Mariéthoz Grégory (1999);;20;53.25;9;17.5;0;0.0;8.5
o;13;26.0;Parvex Yannick;;10;55.75;13;26.0;0;0.0;8.5

34a;Fuchs Yannick (1998);;;;;;;;;;34.25
o;;;Ducrest Romain;;;;;;;;8.5
o;5;8.5;Taillard Virgile (1998);;31;35.25;5;8.5;0;0.0;8.5
-;11;17.0;Reymond Jessy (1998);;37;25.75;11;17.0;0;0.0;8.75
o;14;25.75;Croisier Anthony;;30;35.5;15;25.5;1;-0.25;8.5

35a;Egger Fabio (1999);;;;;;;;;;34.0
o;;;Borcard Clovis (1999);;;;;;;;8.5
o;5;8.5;Daves Maxime (1997);;31;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Duc Grégory;;30;35.5;11;17.0;0;0.0;8.5
o;15;25.5;Délitroz Lucien (1999);;30;35.5;15;25.5;0;0.0;8.5

35b;Goy Sébastien;;;;;;;;;;34.0
o;;;Pürro Tobias (1997);;;;;;;;8.5
o;5;8.5;Kolly Gaëtan (1998);;14;54.75;5;8.5;0;0.0;8.5
o;11;17.0;Zosso Fabian (1998);;22;52.75;10;17.25;-1;0.25;8.5
o;15;25.5;Pouye Diey;;30;35.5;15;25.5;0;0.0;8.5

35c;Chautems Mike;;;;;;;;;;34.0
o;;;Vaucher Rémy (1999);;;;;;;;8.5
o;5;8.5;Martin Jérémy (1998);;30;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Roulet Denis;;31;35.25;11;17.0;0;0.0;8.5
o;15;25.5;Crettaz Olivier;;30;35.5;15;25.5;0;0.0;8.5

35d;Reichenbach Ryan (1999);;;;;;;;;;34.0
o;;;Schöpfer Dio (1997);;;;;;;;8.5
o;5;8.5;Aladenise Jonathan;;30;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Blanchard Benjamin (1997);;22;52.75;10;17.25;-1;0.25;8.5
o;15;25.5;Cotting Fabien (1999);;30;35.5;15;25.5;0;0.0;8.5

36a;Sonnay Thomas;**;;;;;;;;;28.0
+;;;Roch Vincent;*;;;;;;;9.75
+;2;9.75;Emonet Frédéric;*;23;46.75;2;9.75;0;0.0;9.75
o;3;19.5;Brodard Simon;**;4;57.25;5;18.75;2;-0.75;8.5

37a;Reymond Jessy (1998);;;;;;;;;;25.75
o;;;Balimann Fabian (1998);;;;;;;;8.5
o;5;8.5;Bongard Jérôme;;30;35.5;5;8.5;0;0.0;8.5
-;11;17.0;Fuchs Yannick (1998);;34;34.25;11;17.0;0;0.0;8.75

38a;Barras David;*;;;;;;;;;9.0
-;;;Berset Julien;*;;;;;;;9.0

