2805-2015-04-26_Fete_cantonale_Fribourgeoise-ST

1a;Sempach Matthias;***;;;;;;;;;59.5
7c;Mauron Olivier;*;;;;;;;;;56.5
+;;;Gothuey Jean-Pierre;*;;;;;;;9.75
o;2;9.75;Kropf Thomas;*;6;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Dind Clément;;15;54.5;6;18.5;-1;0.25;10.0
+;5;28.25;Schwander Severin;;12;55.25;5;28.25;0;0.0;10.0
o;5;38.25;Piemontesi Pascal;**;11;55.5;9;37.25;4;-1.0;8.5
+;8;46.75;Pasche Bernard;**;13;55.0;9;46.5;1;-0.25;9.75

7d;Studer Stefan;**;;;;;;;;;56.5
-;;;Pellet Michael;**;;;;;;;8.75
-;4;8.75;Overney Olivier;*;6;56.75;2;9.75;-2;1.0;9.0
+;8;17.75;Oppliger Adrian;;12;55.25;6;18.5;-2;0.75;10.0
-;7;27.75;Matthey Mickaël;**;28;44.75;13;26.0;6;-1.75;8.75
+;12;36.5;Dubey Gaël;;17;54.0;10;37.0;-2;0.5;10.0
+;9;46.5;Roch Vincent;*;13;55.0;9;46.5;0;0.0;10.0

8a;Zimmermann Mario;;;;;;;;;;56.25
+;;;Arnold Christian;;;;;;;;10.0
-;1;10.0;Giroud Jonathan;**;16;54.25;4;8.75;3;-1.25;8.75
-;5;18.75;Berset Cyril;;14;54.75;5;18.75;0;0.0;8.75
+;8;27.5;Barras André;;9;56.0;8;27.5;0;0.0;10.0
-;8;37.5;Liaudat Rudy;*;12;55.25;13;36.25;5;-1.25;8.75
+;10;46.25;Dind Clément;;15;54.5;11;46.0;1;-0.25;10.0

8b;Kramer Lario (1998);;;;;;;;;;56.25
-;;;Barras André;;;;;;;;8.75
+;4;8.75;Blanchard Benjamin (1997);;22;52.75;4;8.75;0;0.0;9.75
-;6;18.5;Moser Steven;**;5;57.0;7;18.25;1;-0.25;8.75
+;9;27.25;Zosso Fabian (1998);;22;52.75;9;27.25;0;0.0;10.0
-;9;37.25;Remy Guillaume;**;16;54.25;11;36.75;2;-0.5;9.0
+;10;46.25;Emonet Fabien;;26;45.5;13;45.5;3;-0.75;10.0

8c;Cardinaux Victor;;;;;;;;;;56.25
+;;;Schafer Damien;;;;;;;;9.75
o;2;9.75;Brand Andreas;*;16;54.25;4;8.75;2;-1.0;8.5
+;7;18.25;Gassmann Simon;;9;56.0;7;18.25;0;0.0;9.75
-;6;28.0;Liaudat Rudy;*;12;55.25;8;27.5;2;-0.5;8.75
+;11;36.75;Forster Sämi (1997);;18;53.75;11;36.75;0;0.0;9.75
+;9;46.5;Remy Guillaume;**;16;54.25;12;45.75;3;-0.75;9.75

9a;Borcard Johann;*;;;;;;;;;56.0
-;;;Gottofrey Marc;*;;;;;;;8.75
+;4;8.75;Dorsaz Théo (1998);;31;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Heiniger Vincent;*;11;55.5;6;18.5;1;-0.25;9.75
+;4;28.5;Minder Florian;;12;55.25;2;29.0;-2;0.5;10.0
o;4;38.5;Niederberger Joel;**;25;45.75;10;37.0;6;-1.5;8.5
-;7;47.0;Overney Olivier;*;6;56.75;4;47.75;-3;0.75;9.0

9b;Gassmann Simon;;;;;;;;;;56.0
o;;;Quiot Didier;;;;;;;;8.5
+;5;8.5;Pouye Diey;;30;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Cardinaux Victor;;8;56.25;7;18.25;0;0.0;8.5
+;11;26.75;Barras François (1998);;30;35.5;10;27.0;-1;0.25;9.75
+;12;36.5;Kramer Dorian (1999);;19;53.5;12;36.5;0;0.0;9.75
+;10;46.25;Giroud Jonathan;**;16;54.25;12;45.75;2;-0.5;9.75

9c;Brodard Augustin;**;;;;;;;;;56.0
+;;;Vieux Sylvain;*;;;;;;;9.75
-;2;9.75;von Büren Stephan;*;6;56.75;2;9.75;0;0.0;9.0
+;5;18.75;Pürro Christian (1999);;30;35.5;6;18.5;1;-0.25;10.0
-;3;28.75;Rossy Yannick;;13;55.0;6;28.0;3;-0.75;8.75
+;8;37.5;Minder Florian;;12;55.25;7;37.75;-1;0.25;10.0
o;5;47.5;Käser Remo;**;2;57.75;3;48.0;-2;0.5;8.5

9d;Barras André;;;;;;;;;;56.0
-;;;Kramer Lario (1998);;;;;;;;8.75
+;4;8.75;Pellet Adrian (1997);;21;53.0;4;8.75;0;0.0;10.0
o;5;18.75;Droxler Jonathan;*;12;55.25;10;17.25;5;-1.5;8.75
o;8;27.5;Zimmermann Mario;;8;56.25;8;27.5;0;0.0;8.5
+;14;36.0;Mariéthoz Grégory (1999);;20;53.25;14;36.0;0;0.0;10.0
+;11;46.0;Balimann Fabian (1998);;14;54.75;10;46.25;-1;0.25;10.0

10a;Cropt Harald;**;;;;;;;;;55.75
+;;;Derron Cédric;*;;;;;;;10.0
o;1;10.0;Sempach Matthias;***;1;59.5;1;10.0;0;0.0;8.5
+;6;18.5;Quiot Didier;;26;45.5;6;18.5;0;0.0;10.0
+;4;28.5;Schafer Damien;;12;55.25;5;28.25;1;-0.25;9.75
-;5;38.25;Kropf Rolf;**;6;56.75;5;38.25;0;0.0;8.75
-;7;47.0;Niederberger Joel;**;25;45.75;12;45.75;5;-1.25;8.75

10b;Parvex Yannick;;;;;;;;;;55.75
-;;;Dubey Gaël;;;;;;;;8.75
-;4;8.75;Tenthorey Matthieu;;30;35.5;5;8.5;1;-0.25;8.75
o;9;17.5;Curty Alexandre;;30;35.5;10;17.25;1;-0.25;8.5
+;13;26.0;Menoud Timothée (1999);;33;34.5;13;26.0;0;0.0;10.0
