3261-2016-05-08_93_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;*;;;;;;;;;113.0
3b;Ulrich Andreas;***;;;;;;;;;58.5
-;;;Rychen Roger;**;;;;;;;9.0
+;5;9.0;Villiger Cyrill;*;10;55.75;3;10.0;-2;1.0;10.0
+;6;19.0;Zgraggen Fabian;;12;55.25;3;20.0;-3;1.0;10.0
+;4;29.0;Imhof Andi;***;5;57.0;5;28.75;1;-0.25;9.75
+;3;38.75;Muff Armin;**;5;57.0;4;38.5;1;-0.25;9.75
+;4;48.5;Schuler Christian;***;4;57.5;3;48.75;-1;0.25;10.0

4a;Schelbert Ralf;**;;;;;;;;;57.5
o;;;Horner Peter;**;;;;;;;8.75
+;6;8.75;Baumann Roger;*;14;54.75;6;8.75;0;0.0;10.0
+;7;18.75;Bucher Thomas;;13;55.0;5;19.5;-2;0.75;10.0
-;5;28.75;Nötzli Bruno;***;4;57.5;5;28.75;0;0.0;8.75
+;8;37.5;Zgraggen Fabian;;12;55.25;5;38.25;-3;0.75;10.0
+;7;47.5;Zimmermann Martin;*;2;111.5;1;94.0;-6;46.5;10.0

4b;Nötzli Bruno;***;;;;;;;;;57.5
+;;;Odermatt Christian;**;;;;;;;9.75
-;4;9.75;Egli Pirmin;**;11;55.5;4;9.75;0;0.0;9.0
+;7;18.75;Arnold Marcel;;12;55.25;4;19.75;-3;1.0;10.0
-;5;28.75;Schelbert Ralf;**;4;57.5;5;28.75;0;0.0;8.75
+;8;37.5;Bucher Christian (1998);;11;55.5;5;38.25;-3;0.75;10.0
+;7;47.5;Reichmuth Armin;*;9;56.0;8;47.25;1;-0.25;10.0

4c;Laimbacher Philipp;***;;;;;;;;;57.5
-;;;Fankhauser Erich;***;;;;;;;9.0
+;5;9.0;Muff Armin;**;5;57.0;3;10.0;-2;1.0;9.75
+;7;18.75;Schuler Daniel;;10;55.75;4;19.75;-3;1.0;10.0
-;5;28.75;Bieri Marcel;**;7;56.5;5;28.75;0;0.0;8.75
+;8;37.5;Scheuber Stefan;;13;55.0;6;38.0;-2;0.5;10.0
+;7;47.5;Odermatt Christian;**;7;56.5;6;47.75;-1;0.25;10.0

4d;Schuler Christian;***;;;;;;;;;57.5
-;;;Imhof Andi;***;;;;;;;9.0
+;5;9.0;Murer Andy;*;10;55.75;3;10.0;-2;1.0;9.75
+;7;18.75;Küttel Samuel;;14;54.75;4;19.75;-3;1.0;10.0
+;5;28.75;Gasser Stefan;**;5;57.0;6;28.5;1;-0.25;10.0
+;3;38.75;Nötzli Reto;***;6;56.75;4;38.5;1;-0.25;10.0
o;3;48.75;Ulrich Andreas;***;3;58.5;4;48.5;1;-0.25;8.75

5a;Schuler Alex;**;;;;;;;;;57.0
-;;;Zimmermann Martin;**;;;;;;;9.0
+;5;9.0;Betschart Silvan;*;12;55.25;4;9.75;-1;0.75;9.75
+;7;18.75;Gwerder Michael (2000);;11;55.5;4;19.75;-3;1.0;9.75
+;6;28.5;Bucher Christian (1998);;11;55.5;3;29.5;-3;1.0;10.0
o;4;38.5;Fankhauser Erich;***;5;57.0;6;38.0;2;-0.5;8.5
+;9;47.0;Baumann Roger;*;14;54.75;12;46.25;3;-0.75;10.0

5b;Betschart Remo;**;;;;;;;;;57.0
-;;;Schuler Philipp;**;;;;;;;8.75
+;6;8.75;Bürgler Lukas;;11;55.5;6;8.75;0;0.0;10.0
+;7;18.75;Ulrich Marco;;16;54.25;4;19.75;-3;1.0;10.0
o;5;28.75;Nötzli Reto;***;6;56.75;5;28.75;0;0.0;8.5
+;9;37.25;Heinzer Josef;;11;55.5;9;37.25;0;0.0;10.0
+;8;47.25;Grab Daniel;**;11;55.5;9;47.0;1;-0.25;9.75

5c;Imhof Andi;***;;;;;;;;;57.0
-;;;Schuler Christian;***;;;;;;;8.75
+;6;8.75;Höﬂiger Andreas;**;10;55.75;4;9.75;-2;1.0;10.0
+;7;18.75;Suter Paul;;8;56.25;4;19.75;-3;1.0;10.0
o;5;28.75;Ulrich Andreas;***;3;58.5;4;29.0;-1;0.25;8.5
+;9;37.25;Gwerder Guido;**;8;56.25;8;37.5;-1;0.25;9.75
+;9;47.0;Bürgler Lukas;;11;55.5;9;47.0;0;0.0;10.0

5d;Gasser Stefan;**;;;;;;;;;57.0
+;;;Hasler Florian;**;;;;;;;10.0
o;3;10.0;Steinauer Adrian;**;3;58.5;3;10.0;0;0.0;8.5
+;8;18.5;Schelbert Roman;;14;54.75;6;19.0;-2;0.5;10.0
o;6;28.5;Schuler Christian;***;4;57.5;5;28.75;-1;0.25;8.5
+;10;37.0;Keller Janik;;15;54.5;9;37.25;-1;0.25;10.0
+;9;47.0;Gwerder Christian;**;13;55.0;11;46.5;2;-0.5;10.0

5e;Fankhauser Erich;***;;;;;;;;;57.0
-;;;Laimbacher Philipp;***;;;;;;;9.0
+;5;9.0;Kälin Roland;**;9;56.0;3;10.0;-2;1.0;10.0
+;6;19.0;Kessler Joel;;8;56.25;3;20.0;-3;1.0;10.0
-;4;29.0;Steinauer Adrian;**;3;58.5;3;29.5;-1;0.5;9.0
+;6;38.0;Schuler Alex;**;5;57.0;4;38.5;-2;0.5;10.0
-;5;48.0;Waser Dominik;**;7;56.5;6;47.75;1;-0.25;9.0

5f;Föhn Franz;**;;;;;;;;;57.0
-;;;Gwerder Guido;**;;;;;;;8.75
+;6;8.75;Bürgler André;*;12;55.25;5;9.0;-1;0.25;9.75
+;8;18.5;Heinzer Florian;;16;54.25;7;18.75;-1;0.25;9.75
-;7;28.25;Kessler Joel;;8;56.25;6;28.5;-1;0.25;8.75
+;10;37.0;Schilter Daniel;;17;54.0;10;37.0;0;0.0;10.0
+;9;47.0;Betschart Silvan;*;12;55.25;10;46.75;1;-0.25;10.0

5g;Müllestein Mike;**;;;;;;;;;57.0
-;;;Reichmuth Pirmin;**;;;;;;;8.75
-;6;8.75;Horner Peter;**;15;54.5;4;9.75;-2;1.0;8.75
+;12;17.5;Herger Peter;;16;54.25;8;18.5;-4;1.0;10.0
+;10;27.5;Müller Dominik;;16;54.25;8;28.0;-2;0.5;10.0
+;8;37.5;Elsener Adrian;**;10;55.75;8;37.5;0;0.0;9.75
+;8;47.25;Nietlispach Pascal;**;12;55.25;10;46.75;2;-0.5;9.75

5h;Muff Armin;**;;;;;;;;;57.0
+;;;Eﬃnger Markus;*;;;;;;;10.0
o;3;10.0;Laimbacher Philipp;***;4;57.5;5;9.0;2;-1.0;8.5
+;8;18.5;Keller Janik;;15;54.5;6;19.0;-2;0.5;10.0
+;6;28.5;Fässler Cornel;*;8;56.25;5;28.75;-1;0.25;10.0
o;4;38.5;Ulrich Andreas;***;3;58.5;3;38.75;-1;0.25;8.5
+;9;47.0;Schürpf Guido;;9;56.0;7;47.5;-2;0.5;10.0

6a;Hasler Florian;**;;;;;;;;;56.75
+;;;Strebel Sandro;**;;;;;;;9.75
o;4;9.75;Gasser Stefan;**;5;57.0;3;10.0;-1;0.25;8.5
+;9;18.25;Staub Devin (1998);;14;54.75;7;18.75;-2;0.5;10.0
+;7;28.25;Bucher Roland;*;7;56.5;7;28.25;0;0.0;10.0
o;5;38.25;Odermatt Christian;**;7;56.5;6;38.0;1;-0.25;8.5
+;10;46.75;Eﬃnger Peter;;13;55.0;11;46.5;1;-0.25;10.0

6b;Nötzli Reto;***;;;;;;;;;56.75
-;;;Betschart Rainer;**;;;;;;;9.0
+;5;9.0;Heinzer Stefan;*;1;113.0;1;19.5;-4;10.5;9.75
+;7;18.75;Schindler Thomas;;17;54.0;4;19.75;-3;1.0;10.0
+;5;28.75;Betschart Remo;**;5;57.0;5;28.75;0;0.0;9.75
o;4;38.5;Schuler Christian;***;4;57.5;3;38.75;-1;0.25;8.5
+;9;47.0;Zemp Thomas;*;11;55.5;9;47.0;0;0.0;9.75

6c;Gwerder Dario;;;;;;;;;;56.75
o;;;Egli Pirmin;**;;;;;;;8.5
+;7;8.5;Jöhl Christian;*;33;17.0;7;8.5;0;0.0;9.75
+;9;18.25;Käslin Ruedi;;15;54.5;7;18.75;-2;0.5;10.0
o;7;28.25;Reichmuth Pirmin;**;7;56.5;7;28.25;0;0.0;8.5
+;11;36.75;Hurschler Michael;;18;53.75;11;36.75;0;0.0;10.0
+;10;46.75;Bucher Thomas;;13;55.0;12;46.25;2;-0.5;10.0

7a;Bucher Roland;*;;;;;;;;;56.5
-;;;Inderbitzin Daniel;*;;;;;;;8.75
+;6;8.75;Grab Daniel;**;11;55.5;6;8.75;0;0.0;9.75
+;8;18.5;Bürgi Tobias;;15;54.5;7;18.75;-1;0.25;9.75
o;7;28.25;Hasler Florian;**;6;56.75;7;28.25;0;0.0;8.5
+;11;36.75;Ulrich Roman (2000);;19;53.5;12;36.5;1;-0.25;10.0
+;10;46.75;Schelbert Roman;;14;54.75;12;46.25;2;-0.5;9.75

7b;Bieri Marcel;**;;;;;;;;;56.5
-;;;Linggi Bruno;**;;;;;;;8.75
+;6;8.75;Kennel Beat;*;14;54.75;6;8.75;0;0.0;10.0
+;7;18.75;Schürpf Bruno;;11;55.5;5;19.5;-2;0.75;10.0
-;5;28.75;Laimbacher Philipp;***;4;57.5;5;28.75;0;0.0;8.75
+;8;37.5;Gwerder Beni;;15;54.5;9;37.25;1;-0.25;10.0
-;7;47.5;Schuler Philipp;**;7;56.5;7;47.5;0;0.0;9.0

7c;Reichmuth Pirmin;**;;;;;;;;;56.5
-;;;Müllestein Mike;**;;;;;;;8.75
+;6;8.75;Heinzer Stefan;*;1;113.0;1;19.5;-5;10.75;9.75
+;8;18.5;Eﬃnger Peter;;13;55.0;5;19.5;-3;1.0;9.75
+;7;28.25;Gwerder Dario;;6;56.75;7;28.25;0;0.0;9.75
+;6;38.0;Höﬂiger Andreas;**;10;55.75;6;38.0;0;0.0;10.0
o;5;48.0;Steinauer Adrian;**;3;58.5;4;48.5;-1;0.5;8.5

7d;Odermatt Christian;**;;;;;;;;;56.5
o;;;Nötzli Bruno;***;;;;;;;8.5
+;7;8.5;Gwerder Christian;**;13;55.0;5;9.0;-2;0.5;9.75
+;9;18.25;Heinzer Ronny;;11;55.5;7;18.75;-2;0.5;10.0
+;7;28.25;Betschart Silvan;*;12;55.25;7;28.25;0;0.0;9.75
+;6;38.0;Hasler Florian;**;6;56.75;5;38.25;-1;0.25;9.75
o;6;47.75;Laimbacher Philipp;***;4;57.5;7;47.5;1;-0.25;8.75

7e;Schuler Philipp;**;;;;;;;;;56.5
-;;;Betschart Remo;**;;;;;;;8.75
-;6;8.75;Reichmuth Marco;*;12;55.25;5;9.0;-1;0.25;8.75
+;12;17.5;Suter Beat;;16;54.25;8;18.5;-4;1.0;10.0
+;10;27.5;Durrer Fabian (1999);;17;54.0;7;28.25;-3;0.75;10.0
+;8;37.5;Egli Pirmin;**;11;55.5;9;37.25;1;-0.25;10.0
-;7;47.5;Bieri Marcel;**;7;56.5;7;47.5;0;0.0;9.0

7f;Linggi Bruno;**;;;;;;;;;56.5
-;;;Bieri Marcel;**;;;;;;;9.0
-;5;9.0;Bisig Thomas;**;8;56.25;3;10.0;-2;1.0;9.0
+;10;18.0;Herger Andreas;;16;54.25;7;18.75;-3;0.75;9.75
+;9;27.75;Huber Alex;;16;54.25;6;28.5;-3;0.75;10.0
+;7;37.75;Betschart Rainer;**;8;56.25;7;37.75;0;0.0;9.75
-;7;47.5;Zimmermann Martin;**;2;111.5;1;94.0;-6;46.5;9.0

7g;Waser Dominik;**;;;;;;;;;56.5
o;;;Steinauer Adrian;**;;;;;;;8.5
+;7;8.5;Kenel Franz-Toni;*;12;55.25;6;8.75;-1;0.25;9.75
+;9;18.25;Marty Lukas (1998);;18;53.75;8;18.5;-1;0.25;10.0
+;7;28.25;Blaser Theo;*;13;55.0;5;28.75;-2;0.5;9.75
+;6;38.0;Schmid Köbi;;10;55.75;4;38.5;-2;0.5;9.75
-;6;47.75;Fankhauser Erich;***;5;57.0;5;48.0;-1;0.25;8.75

8a;Gwerder Guido;**;;;;;;;;;56.25
-;;;Föhn Franz;**;;;;;;;8.75
-;6;8.75;Zemp Thomas;*;11;55.5;6;8.75;0;0.0;9.0
+;11;17.75;Reichmuth Roland;;15;54.5;7;18.75;-4;1.0;9.75
+;10;27.5;Schilliger Sven (2000);;18;53.75;7;28.25;-3;0.75;10.0
o;8;37.5;Imhof Andi;***;5;57.0;9;37.25;1;-0.25;8.75
+;12;46.25;Scheuber Stefan;;13;55.0;11;46.5;-1;0.25;10.0

8b;Kessler Joel;;;;;;;;;;56.25
+;;;Meier Marcel;;;;;;;;10.0
+;3;10.0;Birchler Fabian (2000);;18;53.75;4;9.75;1;-0.25;10.0
o;3;20.0;Fankhauser Erich;***;5;57.0;6;19.0;3;-1.0;8.5
-;6;28.5;Föhn Franz;**;5;57.0;7;28.25;1;-0.25;8.75
+;9;37.25;Schilliger Sven (2000);;18;53.75;11;36.75;2;-0.5;10.0
-;8;47.25;Schmid Köbi;;10;55.75;9;47.0;1;-0.25;9.0

8c;Betschart Rainer;**;;;;;;;;;56.25
-;;;Nötzli Reto;***;;;;;;;9.0
-;5;9.0;Gwerder Carlo;**;14;54.75;5;9.0;0;0.0;9.0
+;10;18.0;Betschart Patrick (1999);;11;55.5;7;18.75;-3;0.75;9.75
+;9;27.75;Betschart Daniel;;11;55.5;7;28.25;-2;0.5;10.0
o;7;37.75;Linggi Bruno;**;7;56.5;7;37.75;0;0.0;8.5
+;12;46.25;Zgraggen Fabian;;12;55.25;10;46.75;-2;0.5;10.0

8d;Bisig Thomas;**;;;;;;;;;56.25
+;;;Reichmuth Armin;*;;;;;;;10.0
-;3;10.0;Linggi Bruno;**;7;56.5;5;9.0;2;-1.0;9.0
o;6;19.0;Bucher Christian (1998);;11;55.5;4;19.75;-2;0.75;8.5
-;10;27.5;Schindler Thomas;;17;54.0;7;28.25;-3;0.75;8.75
+;13;36.25;Baumann Lukas;;13;55.0;11;36.75;-2;0.5;10.0
+;12;46.25;Landolt Reto;*;15;54.5;13;46.0;1;-0.25;10.0

8e;Fässler Cornel;*;;;;;;;;;56.25
+;;;Jöhl Christian;*;;;;;;;9.75
-;4;9.75;Zimmermann Martin;**;2;111.5;2;17.5;-2;7.75;9.0
+;7;18.75;Grab Martin jun. (1999);;18;53.75;4;19.75;-3;1.0;10.0
o;5;28.75;Muff Armin;**;5;57.0;6;28.5;1;-0.25;8.5
+;9;37.25;Bösch Dario (1999);;18;53.75;11;36.75;2;-0.5;10.0
-;8;47.25;Moos Christoph;;9;56.0;9;47.0;1;-0.25;9.0

8f;Rychen Roger;**;;;;;;;;;56.25
-;;;Ulrich Andreas;***;;;;;;;9.0
+;5;9.0;Zimmermann Daniel;*;10;55.75;4;9.75;-1;0.75;10.0
-;6;19.0;Schmid Köbi;;10;55.75;4;19.75;-2;0.75;9.0
+;8;28.0;Lagler Christian;;11;55.5;7;28.25;-1;0.25;10.0
o;6;38.0;Steinauer Adrian;**;3;58.5;4;38.5;-2;0.5;8.5
+;11;46.5;Inderbitzin Daniel;*;14;54.75;12;46.25;1;-0.25;9.75

8g;Suter Paul;;;;;;;;;;56.25
+;;;Schraven Michael;;;;;;;;10.0
+;3;10.0;Lagler Christian;;11;55.5;3;10.0;0;0.0;9.75
o;4;19.75;Imhof Andi;***;5;57.0;7;18.75;3;-1.0;8.5
o;7;28.25;Elsener Peter;**;15;54.5;10;27.5;3;-0.75;8.5
+;11;36.75;Betschart Marcel;;14;54.75;13;36.25;2;-0.5;9.75
+;11;46.5;Bucher Christian (1998);;11;55.5;9;47.0;-2;0.5;9.75

9a;Moos Christoph;;;;;;;;;;56.0
+;;;Schindler Roland;;;;;;;;9.75
+;4;9.75;Bösch Dario (1999);;18;53.75;4;9.75;0;0.0;10.0
o;4;19.75;Steinauer Adrian;**;3;58.5;4;19.75;0;0.0;8.5
-;7;28.25;Kennel Stefan;*;25;36.25;11;27.25;4;-1.0;9.0
+;9;37.25;Ulrich Marcel;;12;55.25;11;36.75;2;-0.5;9.75
-;9;47.0;Fässler Cornel;*;8;56.25;8;47.25;-1;0.25;9.0

9b;Waser Reto;*;;;;;;;;;56.0
-;;;Bürgler Lukas;;;;;;;;8.75
-;6;8.75;Elsener Adrian;**;10;55.75;6;8.75;0;0.0;8.75
+;12;17.5;Schnyder Christian;;18;53.75;8;18.5;-4;1.0;10.0
+;10;27.5;Deck Thomas (2000);;18;53.75;7;28.25;-3;0.75;10.0
o;8;37.5;Reichmuth Armin;*;9;56.0;9;37.25;1;-0.25;8.5
+;13;46.0;Baur Martin;;13;55.0;11;46.5;-2;0.5;10.0

9c;Reichmuth Armin;*;;;;;;;;;56.0
o;;;Bisig Thomas;**;;;;;;;8.5
+;7;8.5;Kälin Remo;*;13;55.0;6;8.75;-1;0.25;10.0
-;8;18.5;Corvi Dominik;;13;55.0;6;19.0;-2;0.5;8.75
+;11;27.25;Nauer Robin;;12;55.25;8;28.0;-3;0.75;10.0
+;9;37.25;Waser Reto;*;9;56.0;8;37.5;-1;0.25;10.0
o;8;47.25;Nötzli Bruno;***;4;57.5;7;47.5;-1;0.25;8.75

9d;Kälin Roland;**;;;;;;;;;56.0
+;;;Bircher Vital;*;;;;;;;10.0
o;3;10.0;Fankhauser Erich;***;5;57.0;5;9.0;2;-1.0;8.5
+;8;18.5;Walker Roger;;16;54.25;6;19.0;-2;0.5;9.75
+;7;28.25;Bieri Christian;*;11;55.5;6;28.5;-1;0.25;9.75
-;6;38.0;Reichmuth Marco;*;12;55.25;7;37.75;1;-0.25;9.0
-;9;47.0;Bruhin Fredi;;10;55.75;10;46.75;1;-0.25;9.0

9e;Schürpf Guido;;;;;;;;;;56.0
+;;;Zimmermann Fabian;;;;;;;;10.0
+;3;10.0;Rogenmoser Ryan (1999);;12;55.25;4;9.75;1;-0.25;10.0
-;3;20.0;Küttel Pirmin;**;26;35.75;13;17.25;10;-2.75;8.75
-;5;28.75;Horner Peter;**;15;54.5;7;28.25;2;-0.5;8.75
+;8;37.5;Suter Beat;;16;54.25;10;37.0;2;-0.5;10.0
o;7;47.5;Muff Armin;**;5;57.0;9;47.0;2;-0.5;8.5

10a;Schuler Daniel;;;;;;;;;;55.75
+;;;Würsch Adrian;;;;;;;;9.75
+;4;9.75;Schilter Daniel;;17;54.0;3;10.0;-1;0.25;10.0
o;4;19.75;Laimbacher Philipp;***;4;57.5;7;18.75;3;-1.0;8.5
-;7;28.25;Landolt Reto;*;15;54.5;10;27.5;3;-0.75;9.0
+;9;37.25;Elsener Marcel;;16;54.25;10;37.0;1;-0.25;9.75
-;9;47.0;Blaser Theo;*;13;55.0;12;46.25;3;-0.75;8.75

10b;Schmid Köbi;;;;;;;;;;55.75
+;;;Hillebrandt Patrick;;;;;;;;9.75
+;4;9.75;Durrer Fabian (1999);;17;54.0;4;9.75;0;0.0;10.0
-;4;19.75;Rychen Roger;**;8;56.25;6;19.0;2;-0.75;9.0
+;5;28.75;Zimmermann Daniel;*;10;55.75;7;28.25;2;-0.5;9.75
o;4;38.5;Waser Dominik;**;7;56.5;6;38.0;2;-0.5;8.5
-;9;47.0;Kessler Joel;;8;56.25;8;47.25;-1;0.25;8.75

10c;Höﬂiger Andreas;**;;;;;;;;;55.75
+;;;Nietlispach Pascal;**;;;;;;;9.75
o;4;9.75;Imhof Andi;***;5;57.0;6;8.75;2;-1.0;8.5
+;9;18.25;Elsener Marcel;;16;54.25;7;18.75;-2;0.5;9.75
+;8;28.0;Bösch Dario (1999);;18;53.75;7;28.25;-1;0.25;10.0
o;6;38.0;Reichmuth Pirmin;**;7;56.5;6;38.0;0;0.0;8.75
-;10;46.75;Hösli Fritz;*;14;54.75;13;46.0;3;-0.75;9.0

10d;Murer Andy;*;;;;;;;;;55.75
+;;;Küttel Pirmin;**;;;;;;;10.0
o;3;10.0;Schuler Christian;***;4;57.5;5;9.0;2;-1.0;8.5
-;8;18.5;Flück Bruno;;14;54.75;7;18.75;-1;0.25;8.75
+;11;27.25;Zimmermann Armin;;19;53.5;10;27.5;-1;0.25;10.0
-;9;37.25;Kennel Beat;*;14;54.75;10;37.0;1;-0.25;8.75
+;13;46.0;Kenel Franz-Toni;*;12;55.25;10;46.75;-3;0.75;9.75

10e;Elsener Adrian;**;;;;;;;;;55.75
-;;;Kennel Stefan;*;;;;;;;8.75
-;6;8.75;Waser Reto;*;9;56.0;6;8.75;0;0.0;8.75
+;12;17.5;Betschart Fabian (1999);;19;53.5;8;18.5;-4;1.0;10.0
+;10;27.5;Hegner Ueli (1999);;11;55.5;8;28.0;-2;0.5;10.0
o;8;37.5;Müllestein Mike;**;5;57.0;8;37.5;0;0.0;8.5
+;13;46.0;Gwerder Carlo;**;14;54.75;12;46.25;-1;0.25;9.75

10f;Villiger Cyrill;*;;;;;;;;;55.75
+;;;Bieri Christian;*;;;;;;;10.0
o;3;10.0;Ulrich Andreas;***;3;58.5;5;9.0;2;-1.0;8.5
+;8;18.5;Betschart Marcel;;14;54.75;6;19.0;-2;0.5;9.75
-;7;28.25;Zimmermann Martin;*;2;111.5;2;56.25;-5;28.0;8.75
+;10;37.0;Hurschler Adrian;;12;55.25;10;37.0;0;0.0;10.0
-;9;47.0;Gwerder Michael (2000);;11;55.5;10;46.75;1;-0.25;8.75

10g;Bruhin Fredi;;;;;;;;;;55.75
-;;;Betschart Marcel;;;;;;;;9.0
-;5;9.0;Klauser Nico;;16;54.25;7;8.5;2;-0.5;9.0
+;10;18.0;Suter Raphael (2000);;27;35.25;9;18.25;-1;0.25;9.75
-;9;27.75;Bürgler André;*;12;55.25;11;27.25;2;-0.5;9.0
+;11;36.75;Staub Devin (1998);;14;54.75;13;36.25;2;-0.5;10.0
-;10;46.75;Kälin Roland;**;9;56.0;9;47.0;-1;0.25;9.0

10h;Zimmermann Daniel;*;;;;;;;;;55.75
+;;;Diethelm Albert;*;;;;;;;9.75
o;4;9.75;Rychen Roger;**;8;56.25;5;9.0;1;-0.75;8.5
+;9;18.25;Durrer Nando (1999);;20;53.25;7;18.75;-2;0.5;10.0
o;7;28.25;Schmid Köbi;;10;55.75;5;28.75;-2;0.5;8.75
-;10;37.0;Horner Peter;**;15;54.5;10;37.0;0;0.0;8.75
+;14;45.75;Walker Roger;;16;54.25;14;45.75;0;0.0;10.0

11a;Zemp Thomas;*;;;;;;;;;55.5
-;;;Kennel Beat;*;;;;;;;8.75
-;6;8.75;Gwerder Guido;**;8;56.25;6;8.75;0;0.0;8.75
+;12;17.5;Ulrich Marcel;;12;55.25;8;18.5;-4;1.0;9.75
+;11;27.25;Arnold Marcel;;12;55.25;7;28.25;-4;1.0;9.75
+;10;37.0;Gwerder Marco;;13;55.0;11;36.75;1;-0.25;10.0
o;9;47.0;Nötzli Reto;***;6;56.75;9;47.0;0;0.0;8.5

11b;Schürpf Bruno;;;;;;;;;;55.5
+;;;Inderbitzin Urs;;;;;;;;9.75
+;4;9.75;Baumann Lukas;;13;55.0;4;9.75;0;0.0;9.75
o;5;19.5;Bieri Marcel;**;7;56.5;7;18.75;2;-0.75;8.75
-;7;28.25;Zimmermann Martin;**;2;111.5;2;56.25;-5;28.0;8.75
-;10;37.0;Huber Alex;;16;54.25;10;37.0;0;0.0;8.75
+;14;45.75;Gwerder Beni;;15;54.5;14;45.75;0;0.0;9.75

11c;Lagler Christian;;;;;;;;;;55.5
+;;;Horner Sämi;;;;;;;;10.0
o;3;10.0;Suter Paul;;8;56.25;3;10.0;0;0.0;8.5
+;8;18.5;Hösli Fritz;*;14;54.75;12;17.5;4;-1.0;9.75
o;7;28.25;Rychen Roger;**;8;56.25;8;28.0;1;-0.25;8.5
-;11;36.75;Küttel Samuel;;14;54.75;10;37.0;-1;0.25;9.0
+;14;45.75;Heinzer Florian;;16;54.25;14;45.75;0;0.0;9.75

11d;Heinzer Ronny;;;;;;;;;;55.5
-;;;Widmer Thomas;;;;;;;;8.75
+;6;8.75;Bär Leo;;16;54.25;7;8.5;1;-0.25;10.0
o;7;18.75;Odermatt Christian;**;7;56.5;9;18.25;2;-0.5;8.5
+;11;27.25;Andermatt Adrian;;16;54.25;12;27.0;1;-0.25;9.75
o;10;37.0;Zimmermann Martin;*;2;111.5;1;74.0;-9;37.0;8.5
+;15;45.5;Schnyder Christian;;18;53.75;16;45.25;1;-0.25;10.0

11e;Heinzer Josef;;;;;;;;;;55.5
+;;;Andermatt Adrian;;;;;;;;9.75
-;4;9.75;Elsener Kilian;;15;54.5;4;9.75;0;0.0;8.75
-;8;18.5;Baumann Roger;*;14;54.75;13;17.25;5;-1.25;9.0
+;10;27.5;Käslin Ruedi;;15;54.5;11;27.25;1;-0.25;9.75
o;9;37.25;Betschart Remo;**;5;57.0;9;37.25;0;0.0;8.5
+;14;45.75;Suter Beat;;16;54.25;14;45.75;0;0.0;9.75

11f;Bieri Christian;*;;;;;;;;;55.5
o;;;Villiger Cyrill;*;;;;;;;8.5
+;7;8.5;Kennel Stefan;*;25;36.25;6;8.75;-1;0.25;10.0
+;8;18.5;Hegner Ueli (1999);;11;55.5;5;19.5;-3;1.0;10.0
