4942-2021-07-25_Bruenigschwinget-ST

1a;Wenger Kilian;***;;;;;;;;;58.25
-;;;Kämpf Bernhard;***;;;;;;;8.75
+;4;8.75;Gäggeler Adrian;*;10;55.25;2;9.75;-2;1.0;10.0
o;5;18.75;Ledermann Michael;**;7;56.25;7;18.25;2;-0.5;8.5
+;10;27.25;Schlüchter Colin;*;12;54.75;5;28.5;-5;1.25;9.75
+;7;37.0;Erb Roger;**;9;55.5;7;37.0;0;0.0;10.0
+;5;47.0;Zaugg Lars;*;12;54.75;9;46.0;4;-1.0;10.0

5a;Sempach Thomas;***;;;;;;;;;56.75
-;;;Döbeli Andreas;***;;;;;;;8.75
-;4;8.75;Bucher Christian;**;16;53.75;1;10.0;-3;1.25;8.75
+;9;17.5;Leuthard Reto;**;26;36.0;4;19.0;-5;1.5;10.0
+;9;27.5;Reichmuth Roland;*;12;54.75;7;28.0;-2;0.5;9.75
+;6;37.25;Heiniger Marco;**;9;55.5;7;37.0;1;-0.25;9.75
+;5;47.0;Schöpfer Ronny;**;13;54.5;9;46.0;4;-1.0;9.75

5b;von Weissenfluh Kilian;***;;;;;;;;;56.75
+;;;Erb Roger;**;;;;;;;9.75
+;2;9.75;Lustenberger Josef;*;13;54.5;2;9.75;0;0.0;9.75
+;3;19.5;Rohrer Ueli;**;12;54.75;5;18.75;2;-0.75;10.0
-;2;29.5;Gnägi Florian;***;6;56.5;4;28.75;2;-0.75;8.75
-;3;38.25;Staudenmann Fabian;***;4;57.0;3;38.25;0;0.0;8.75
+;5;47.0;Lustenberger Marc (2003);*;9;55.5;5;47.0;0;0.0;9.75

5c;Gäumann Stefan;*;;;;;;;;;56.75
-;;;Hügli Kaj;**;;;;;;;8.75
+;4;8.75;Mangold Martin;*;17;53.5;2;9.75;-2;1.0;9.75
+;6;18.5;Odermatt Christian;**;9;55.5;7;18.25;1;-0.25;10.0
+;5;28.5;Doppmann Urs;**;6;56.5;7;28.0;2;-0.5;10.0
o;2;38.5;Wenger Kilian;***;1;58.25;3;38.25;1;-0.25;8.5
+;5;47.0;Suter Beat;*;11;55.0;7;46.5;2;-0.5;9.75

6a;Gnägi Florian;***;;;;;;;;;56.5
-;;;Schurtenberger Sven;***;;;;;;;8.75
+;4;8.75;Bürgi Reto;*;17;53.5;1;10.0;-3;1.25;10.0
+;5;18.75;Stoll Simon;**;14;54.25;6;18.5;1;-0.25;10.0
-;4;28.75;von Weissenfluh Kilian;***;5;56.75;2;29.5;-2;0.75;8.75
-;5;37.5;Walther Adrian;*;3;57.25;2;38.5;-3;1.0;9.0
+;7;46.5;Waser Dominik;**;13;54.5;9;46.0;2;-0.5;10.0

6b;Doppmann Urs;**;;;;;;;;;56.5
+;;;Wittwer Jan;**;;;;;;;9.75
+;2;9.75;Anderegg Simon;***;10;55.25;2;9.75;0;0.0;9.75
o;3;19.5;Wenger Kilian;***;1;58.25;2;19.75;-1;0.25;8.5
o;7;28.0;Gäumann Stefan;*;5;56.75;5;28.5;-2;0.5;8.5
+;9;36.5;Zbinden Adrian;*;16;53.75;8;36.75;-1;0.25;10.0
+;7;46.5;Burger Matthieu;*;10;55.25;7;46.5;0;0.0;10.0

6c;Strebel Joel;***;;;;;;;;;56.5
o;;;Orlik Curdin;***;;;;;;;8.5
+;5;8.5;Odermatt Christian;**;9;55.5;2;9.75;-3;1.25;9.75
+;7;18.25;Zaugg Lars;*;12;54.75;2;19.75;-5;1.5;10.0
+;6;28.25;Kämpf Bernhard;***;2;57.5;3;29.0;-3;0.75;9.75
+;4;38.0;Roschi Ruedi;**;4;57.0;1;39.75;-3;1.75;9.75
-;2;47.75;Schwander Severin;**;7;56.25;3;47.5;1;-0.25;8.75

6d;Schurtenberger Sven;***;;;;;;;;;56.5
-;;;Gnägi Florian;***;;;;;;;8.75
+;4;8.75;Klossner Adrian;*;4;57.0;2;9.75;-2;1.0;9.75
o;6;18.5;Walther Adrian;*;3;57.25;5;18.75;-1;0.25;8.5
+;11;27.0;Gäggeler Adrian;*;10;55.25;6;28.25;-5;1.25;10.0
+;7;37.0;Ledermann Michael;**;7;56.25;4;38.0;-3;1.0;9.75
+;6;46.75;Anderegg Simon;***;10;55.25;6;46.75;0;0.0;9.75

6e;Döbeli Andreas;***;;;;;;;;;56.5
-;;;Sempach Thomas;***;;;;;;;8.75
+;4;8.75;Burger Matthieu;*;10;55.25;1;10.0;-3;1.25;9.75
+;6;18.5;Binggeli Dominik;*;16;53.75;3;19.5;-3;1.0;9.75
o;6;28.25;Roschi Ruedi;**;4;57.0;1;29.75;-5;1.5;8.5
+;8;36.75;Kenel Franz-Toni;*;17;53.5;10;36.25;2;-0.5;9.75
+;7;46.5;Iseli Marco;**;13;54.5;9;46.0;2;-0.5;10.0

6f;Orlik Curdin;***;;;;;;;;;56.5
+;;;Strebel Joel;***;;;;;;;9.75
+;2;9.75;Schmid Samuel;**;10;55.25;2;9.75;0;0.0;9.75
+;3;19.5;Lustenberger Marc (2003);*;9;55.5;3;19.5;0;0.0;10.0
o;2;29.5;Staudenmann Fabian;***;4;57.0;6;28.25;4;-1.25;8.5
+;4;38.0;Odermatt Adrian;*;11;55.0;4;38.0;0;0.0;9.75
-;2;47.75;Steffen Gustav;**;7;56.25;3;47.5;1;-0.25;8.75

7a;Ledermann Michael;**;;;;;;;;;56.25
o;;;Reichmuth Marco;**;;;;;;;8.5
+;5;8.5;Ettlin Martin;*;13;54.5;4;8.75;-1;0.25;9.75
+;7;18.25;Fankhauser Erich;***;4;57.0;5;18.75;-2;0.5;10.0
+;6;28.25;Kurmann Toni;*;11;55.0;7;28.0;1;-0.25;9.75
o;4;38.0;Schurtenberger Sven;***;6;56.5;7;37.0;3;-1.0;8.5
+;7;46.5;Rohrer Ueli;**;12;54.75;9;46.0;2;-0.5;9.75

7b;Schwander Severin;**;;;;;;;;;56.25
-;;;Ambühl Joel;**;;;;;;;8.75
+;4;8.75;Würsch Lars;*;15;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Schmid Simon;*;9;55.5;6;18.5;1;-0.25;10.0
-;4;28.75;Räbmatter Patrick;***;4;57.0;6;28.25;2;-0.5;8.75
+;5;37.5;Waser Dominik;**;13;54.5;5;37.5;0;0.0;10.0
-;3;47.5;Strebel Joel;***;6;56.5;2;47.75;-1;0.25;8.75

7c;Steffen Gustav;**;;;;;;;;;56.25
-;;;Waser Dominik;**;;;;;;;9.0
+;3;9.0;Schwyzer Samuel;*;15;54.0;2;9.75;-1;0.75;9.75
-;5;18.75;Burch Jonas;**;11;55.0;6;18.5;1;-0.25;9.0
+;8;27.75;Arnold Fabian;*;17;53.5;9;27.5;1;-0.25;9.75
+;5;37.5;Odermatt Christian;**;9;55.5;8;36.75;3;-0.75;10.0
-;3;47.5;Orlik Curdin;***;6;56.5;2;47.75;-1;0.25;8.75

7d;Renfer Lukas;**;;;;;;;;;56.25
+;;;Lang Sven;**;;;;;;;10.0
+;1;10.0;Arnold Raphael;**;14;54.25;4;8.75;3;-1.25;10.0
-;1;20.0;Nötzli Reto;***;26;36.0;6;18.5;5;-1.5;8.75
+;4;28.75;Schöpfer Ronny;**;13;54.5;5;28.5;1;-0.25;9.75
-;2;38.5;Anderegg Simon;***;10;55.25;4;38.0;2;-0.5;8.75
-;4;47.25;Schmid Samuel;**;10;55.25;8;46.25;4;-1.0;9.0

8a;Gerber Ueli;*;;;;;;;;;55.75
+;;;Moos Christoph;*;;;;;;;10.0
-;1;10.0;Kenel Franz-Toni;*;17;53.5;4;8.75;3;-1.25;8.75
-;5;18.75;Egli Damian;**;12;54.75;8;17.75;3;-1.0;8.75
+;9;27.5;Lemmenmeier Lukas;*;18;53.25;10;27.25;1;-0.25;9.75
o;6;37.25;Räbmatter Patrick;***;4;57.0;7;37.0;1;-0.25;8.5
+;10;45.75;Würsch Lars;*;15;54.0;11;45.5;1;-0.25;10.0

8b;Joho Philip;*;;;;;;;;;55.75
-;;;Dubler Mike;;;;;;;;8.75
o;4;8.75;Rohrer Ueli;**;12;54.75;4;8.75;0;0.0;8.5
-;10;17.25;Wallimann Remo;*;18;53.25;11;17.0;1;-0.25;8.75
+;15;26.0;Egli Damian;**;12;54.75;13;26.5;-2;0.5;9.75
+;12;35.75;Imfeld Beat;*;23;51.5;16;34.5;4;-1.25;10.0
+;10;45.75;Odermatt Remo;*;15;54.0;11;45.5;1;-0.25;10.0

8c;Kennel Stefan;**;;;;;;;;;55.75
-;;;Berger René;**;;;;;;;8.75
o;4;8.75;Kämpf Alexander;**;17;53.5;4;8.75;0;0.0;8.5
-;10;17.25;Zürcher Remo;*;12;54.75;6;18.5;-4;1.25;8.75
+;15;26.0;Blaser Roman;*;16;53.75;12;26.75;-3;0.75;9.75
+;12;35.75;Scheuner Michael;*;19;53.0;12;35.75;0;0.0;10.0
+;10;45.75;Hügli Kaj;**;13;54.5;10;45.75;0;0.0;10.0

9a;Erb Roger;**;;;;;;;;;55.5
o;;;von Weissenfluh Kilian;***;;;;;;;8.5
o;5;8.5;Zaugg Lars;*;12;54.75;2;9.75;-3;1.25;8.5
+;11;17.0;Moos Christoph;*;21;52.5;6;18.5;-5;1.5;10.0
+;11;27.0;Scheuner Michael;*;19;53.0;10;27.25;-1;0.25;10.0
o;7;37.0;Fankhauser Erich;***;4;57.0;7;37.0;0;0.0;8.5
+;11;45.5;Schürpf Bruno;*;14;54.25;10;45.75;-1;0.25;10.0

9b;Lustenberger Marc (2003);*;;;;;;;;;55.5
+;;;Nufer Sämi;*;;;;;;;9.75
+;2;9.75;Henzer Andreas;**;18;53.25;4;8.75;2;-1.0;9.75
o;3;19.5;Orlik Curdin;***;6;56.5;3;19.5;0;0.0;8.5
-;7;28.0;Burger Matthieu;*;10;55.25;5;28.5;-2;0.5;9.0
+;7;37.0;Stoll Simon;**;14;54.25;8;36.75;1;-0.25;10.0
o;5;47.0;von Weissenfluh Kilian;***;5;56.75;5;47.0;0;0.0;8.5

9c;Odermatt Christian;**;;;;;;;;;55.5
+;;;Wittwer Josias;**;;;;;;;9.75
o;2;9.75;Strebel Joel;***;6;56.5;5;8.5;3;-1.25;8.5
o;7;18.25;Gäumann Stefan;*;5;56.75;6;18.5;-1;0.25;8.5
+;12;26.75;Mangold Martin;*;17;53.5;12;26.75;0;0.0;10.0
o;8;36.75;Steffen Gustav;**;7;56.25;5;37.5;-3;0.75;8.75
+;11;45.5;Berger René;**;15;54.0;11;45.5;0;0.0;10.0

9d;Heiniger Marco;**;;;;;;;;;55.5
-;;;Brun Samuel;**;;;;;;;8.75
o;4;8.75;Odermatt Adrian;*;11;55.0;2;9.75;-2;1.0;8.5
+;10;17.25;Wenger Marcel;*;20;52.75;6;18.5;-4;1.25;9.75
+;11;27.0;Klossner Sven;*;20;52.75;10;27.25;-1;0.25;10.0
o;7;37.0;Sempach Thomas;***;5;56.75;6;37.25;-1;0.25;8.5
+;11;45.5;Zbinden Adrian;*;16;53.75;12;45.25;1;-0.25;10.0

9e;Schmid Simon;*;;;;;;;;;55.5
-;;;Scheuner Michael;*;;;;;;;8.75
+;4;8.75;Stucki Marcel;*;16;53.75;5;8.5;1;-0.25;9.75
o;6;18.5;Schwander Severin;**;7;56.25;5;18.75;-1;0.25;8.5
+;11;27.0;Dubler Mike;;22;52.0;14;26.25;3;-0.75;10.0
+;7;37.0;Zaugg Lars;*;12;54.75;6;37.25;-1;0.25;10.0
o;5;47.0;Aeschbacher Matthias;***;4;57.0;4;47.25;-1;0.25;8.5

10a;Suppiger Werner;**;;;;;;;;;55.25
-;;;Staudenmann Fabian;***;;;;;;;8.75
+;4;8.75;Widmer David;**;16;53.75;1;10.0;-3;1.25;10.0
o;5;18.75;Roschi Ruedi;**;4;57.0;1;20.0;-4;1.25;8.5
+;10;27.25;Berger René;**;15;54.0;11;27.0;1;-0.25;9.75
+;7;37.0;Zürcher Remo;*;12;54.75;6;37.25;-1;0.25;9.75
o;6;46.75;Kämpf Bernhard;***;2;57.5;3;47.5;-3;0.75;8.5

10b;Gäggeler Adrian;*;;;;;;;;;55.25
+;;;Bissig Fabian;*;;;;;;;9.75
o;2;9.75;Fankhauser Erich;***;4;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Brun Samuel;**;31;25.75;10;17.25;3;-1.0;10.0
o;6;28.25;Schurtenberger Sven;***;6;56.5;11;27.0;5;-1.25;8.5
+;8;36.75;Bürgi Reto;*;17;53.5;10;36.25;2;-0.5;10.0
o;6;46.75;Reichmuth Marco;**;4;57.0;5;47.0;-1;0.25;8.5

10c;Anderegg Simon;***;;;;;;;;;55.25
+;;;Kropf Marcel;**;;;;;;;9.75
o;2;9.75;Doppmann Urs;**;6;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Suter Beat;*;11;55.0;3;19.5;-4;1.25;9.75
+;7;28.0;Bucher Roland;*;12;54.75;7;28.0;0;0.0;10.0
-;4;38.0;Renfer Lukas;**;7;56.25;2;38.5;-2;0.5;8.75
o;6;46.75;Schurtenberger Sven;***;6;56.5;6;46.75;0;0.0;8.5

10d;Burger Matthieu;*;;;;;;;;;55.25
+;;;Durrer Jonas (2003);*;;;;;;;10.0
o;1;10.0;Döbeli Andreas;***;6;56.5;4;8.75;3;-1.25;8.75
+;5;18.75;Bucher Christian;**;16;53.75;5;18.75;0;0.0;9.75
-;5;28.5;Lustenberger Marc (2003);*;9;55.5;7;28.0;2;-0.5;9.0
-;5;37.5;Burch Jonas;**;11;55.0;5;37.5;0;0.0;9.0
o;7;46.5;Doppmann Urs;**;6;56.5;7;46.5;0;0.0;8.75

10e;Schmid Samuel;**;;;;;;;;;55.25
+;;;Kämpf Marcel;*;;;;;;;9.75
o;2;9.75;Orlik Curdin;***;6;56.5;2;9.75;0;0.0;8.5
o;7;18.25;Schlüchter Colin;*;12;54.75;5;18.75;-2;0.5;8.5
+;12;26.75;Steudler Kevin;*;15;54.0;11;27.0;-1;0.25;9.75
+;9;36.5;Kurmann Toni;*;11;55.0;8;36.75;-1;0.25;9.75
-;8;46.25;Renfer Lukas;**;7;56.25;4;47.25;-4;1.0;9.0

11a;Burch Jonas;**;;;;;;;;;55.0
+;;;Walther Adrian;*;;;;;;;10.0
o;1;10.0;Wenger Kilian;***;1;58.25;2;9.75;1;-0.25;8.5
-;6;18.5;Steffen Gustav;**;7;56.25;5;18.75;-1;0.25;9.0
+;9;27.5;Widmer David;**;16;53.75;9;27.5;0;0.0;10.0
-;5;37.5;Burger Matthieu;*;10;55.25;5;37.5;0;0.0;9.0
o;7;46.5;Staudenmann Fabian;***;4;57.0;5;47.0;-2;0.5;8.5

11b;Odermatt Andreas;**;;;;;;;;;55.0
o;;;Klossner Adrian;*;;;;;;;8.5
o;5;8.5;Wittwer Josias;**;13;54.5;5;8.5;0;0.0;8.5
-;11;17.0;von Büren Stephan;**;20;52.75;10;17.25;-1;0.25;8.75
+;16;25.75;Bader Fabian;*;27;34.75;14;26.25;-2;0.5;9.75
+;13;35.5;Zingrich Jan;*;21;52.5;13;35.5;0;0.0;9.75
+;12;45.25;Wittwer Jan;**;18;53.25;14;44.75;2;-0.5;9.75

11c;Odermatt Adrian;*;;;;;;;;;55.0
+;;;Schürpf Bruno;*;;;;;;;9.75
+;2;9.75;Heiniger Marco;**;9;55.5;4;8.75;2;-1.0;9.75
o;3;19.5;Staudenmann Fabian;***;4;57.0;6;18.5;3;-1.0;8.5
+;7;28.0;Binggeli Dominik;*;16;53.75;7;28.0;0;0.0;10.0
o;4;38.0;Orlik Curdin;***;6;56.5;4;38.0;0;0.0;8.5
o;7;46.5;Klossner Adrian;*;4;57.0;5;47.0;-2;0.5;8.5

11d;Suter Beat;*;;;;;;;;;55.0
+;;;Wüthrich Philip;*;;;;;;;9.75
+;2;9.75;Leuenberger Michael;*;11;55.0;3;9.0;1;-0.75;9.75
o;3;19.5;Anderegg Simon;***;10;55.25;7;18.25;4;-1.25;8.5
+;7;28.0;Leuthard Reto;**;26;36.0;9;27.5;2;-0.5;10.0
o;4;38.0;Kämpf Bernhard;***;2;57.5;5;37.5;1;-0.5;8.5
o;7;46.5;Gäumann Stefan;*;5;56.75;5;47.0;-2;0.5;8.5

11e;Leuenberger Michael;*;;;;;;;;;55.0
-;;;Arnold Fabian;*;;;;;;;9.0
o;3;9.0;Suter Beat;*;11;55.0;2;9.75;-1;0.75;8.5
+;9;17.5;Schürpf Bruno;*;14;54.25;10;17.25;1;-0.25;10.0
o;9;27.5;Waser Dominik;**;13;54.5;8;27.75;-1;0.25;8.5
-;11;36.0;Bucher Christian;**;16;53.75;11;36.0;0;0.0;9.0
+;13;45.0;Widmer David;**;16;53.75;13;45.0;0;0.0;10.0

11f;Kurmann Toni;*;;;;;;;;;55.0
+;;;von Büren Stephan;**;;;;;;;9.75
o;2;9.75;Kämpf Bernhard;***;2;57.5;3;9.0;1;-0.75;8.5
+;7;18.25;Zangger Dominik;*;13;54.5;6;18.5;-1;0.25;9.75
o;7;28.0;Ledermann Michael;**;7;56.25;6;28.25;-1;0.25;8.75
o;8;36.75;Schmid Samuel;**;10;55.25;9;36.5;1;-0.25;8.5
+;12;45.25;Steudler Kevin;*;15;54.0;12;45.25;0;0.0;9.75

11g;Hiltbrunner Remo (2003);*;;;;;;;;;55.0
o;;;Schwyzer Samuel;*;;;;;;;8.5
-;5;8.5;Ming Christian;*;16;53.75;4;8.75;-1;0.25;9.0
o;9;17.5;Mangold Michael;**;14;54.25;10;17.25;1;-0.25;8.5
+;15;26.0;Bruder Adrian;*;20;52.75;15;26.0;0;0.0;10.0
+;11;36.0;Imfeld Beat;*;23;51.5;16;34.5;5;-1.5;10.0
-;9;46.0;Bürli Roger;**;12;54.75;10;45.75;1;-0.25;9.0

12a;Bucher Roland;*;;;;;;;;;54.75
+;;;Blaser Roman;*;;;;;;;9.75
o;2;9.75;Walther Adrian;*;3;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Hügli Kaj;**;13;54.5;9;17.5;2;-0.75;9.75
o;7;28.0;Anderegg Simon;***;10;55.25;7;28.0;0;0.0;8.5
o;9;36.5;Klossner Adrian;*;4;57.0;7;37.0;-2;0.5;8.5
+;13;45.0;Steffen Konrad;*;18;53.25;14;44.75;1;-0.25;9.75

12b;Bürli Roger;**;;;;;;;;;54.75
-;;;Stoll Simon;**;;;;;;;8.75
-;4;8.75;Kämpf Marcel;*;17;53.5;5;8.5;1;-0.25;8.75
+;9;17.5;Schenk Thomas;*;20;52.75;6;18.5;-3;1.0;9.75
-;10;27.25;Henzer Andreas;**;18;53.25;10;27.25;0;0.0;8.75
+;11;36.0;Wittwer Josias;**;13;54.5;11;36.0;0;0.0;9.75
-;10;45.75;Hiltbrunner Remo (2003);*;11;55.0;9;46.0;-1;0.25;9.0

12c;Zürcher Remo;*;;;;;;;;;54.75
-;;;Kenel Franz-Toni;*;;;;;;;8.75
+;4;8.75;Bader Fabian;*;27;34.75;3;9.0;-1;0.25;9.75
-;6;18.5;Kennel Stefan;**;8;55.75;10;17.25;4;-1.25;8.75
+;10;27.25;Bucher Christian;**;16;53.75;9;27.5;-1;0.25;10.0
o;6;37.25;Suppiger Werner;**;10;55.25;7;37.0;1;-0.25;8.75
-;9;46.0;Ambühl Joel;**;15;54.0;12;45.25;3;-0.75;8.75

12d;Schlüchter Colin;*;;;;;;;;;54.75
-;;;Ettlin Martin;*;;;;;;;8.75
+;4;8.75;Lang Sven;**;32;17.25;4;8.75;0;0.0;10.0
+;5;18.75;Schmid Samuel;**;10;55.25;7;18.25;2;-0.5;9.75
o;5;28.5;Fankhauser Erich;***;4;57.0;10;27.25;5;-1.25;8.75
-;6;37.25;Schöpfer Ronny;**;13;54.5;7;37.0;1;-0.25;9.0
o;8;46.25;Räbmatter Patrick;***;4;57.0;5;47.0;-3;0.75;8.5

12e;Reichmuth Roland;*;;;;;;;;;54.75
+;;;Michel Jonas;*;;;;;;;9.75
o;2;9.75;Kropf Marcel;**;29;27.25;5;8.5;3;-1.25;8.5
+;7;18.25;Mangold Martin;*;17;53.5;7;18.25;0;0.0;9.75
o;7;28.0;Sempach Thomas;***;5;56.75;9;27.5;2;-0.5;8.5
+;9;36.5;Binggeli Dominik;*;16;53.75;9;36.5;0;0.0;9.75
o;8;46.25;Walther Adrian;*;3;57.25;4;47.25;-4;1.0;8.5

12f;Egli Damian;**;;;;;;;;;54.75
-;;;Leuthard Reto;**;;;;;;;9.0
-;3;9.0;Wittwer Jan;**;18;53.25;5;8.5;2;-0.5;8.75
-;8;17.75;Gerber Ueli;*;8;55.75;5;18.75;-3;1.0;8.75
o;13;26.5;Joho Philip;*;8;55.75;15;26.0;2;-0.5;8.75
+;14;35.25;Steffen Konrad;*;18;53.25;11;36.0;-3;0.75;9.75
+;13;45.0;Blaser Roman;*;16;53.75;12;45.25;-1;0.25;9.75

12g;Rohrer Ueli;**;;;;;;;;;54.75
-;;;Kämpf Alexander;**;;;;;;;8.75
+;4;8.75;Joho Philip;*;8;55.75;4;8.75;0;0.0;10.0
o;5;18.75;von Weissenfluh Kilian;***;5;56.75;3;19.5;-2;0.75;8.5
-;10;27.25;Wüthrich Philip;*;18;53.25;11;27.0;1;-0.25;8.75
+;11;36.0;Henzer Andreas;**;18;53.25;11;36.0;0;0.0;10.0
o;9;46.0;Ledermann Michael;**;7;56.25;7;46.5;-2;0.5;8.75

12h;Zaugg Lars;*;;;;;;;;;54.75
+;;;Arnold Marcel;*;;;;;;;9.75
+;2;9.75;Erb Roger;**;9;55.5;5;8.5;3;-1.25;10.0
o;2;19.75;Strebel Joel;***;6;56.5;7;18.25;5;-1.5;8.5
-;6;28.25;Ambühl Joel;**;15;54.0;10;27.25;4;-1.0;9.0
o;6;37.25;Schmid Simon;*;9;55.5;7;37.0;1;-0.25;8.75
o;9;46.0;Fankhauser Erich;***;4;57.0;5;47.0;-4;1.0;8.75

13a;Durrer Jonas (2003);*;;;;;;;;;54.5
o;;;Burger Matthieu;*;;;;;;;8.5
+;5;8.5;Zbinden Adrian;*;16;53.75;5;8.5;0;0.0;9.75
-;7;18.25;Wittwer Josias;**;13;54.5;6;18.5;-1;0.25;8.75
-;11;27.0;Schenk Thomas;*;20;52.75;11;27.0;0;0.0;8.75
-;12;35.75;Michel Jonas;*;18;53.25;12;35.75;0;0.0;8.75
+;15;44.5;von Büren Stephan;**;20;52.75;16;44.25;1;-0.25;10.0

13b;Lussi Marco;**;;;;;;;;;54.5
o;;;Zangger Dominik;*;;;;;;;8.5
-;5;8.5;Mangold Michael;**;14;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Bearda Samuel;**;25;51.0;11;17.0;1;-0.25;9.75
+;11;27.0;Zingrich Jan;*;21;52.5;11;27.0;0;0.0;9.75
-;8;36.75;Wittwer Jan;**;18;53.25;12;35.75;4;-1.0;9.0
-;10;45.75;Arnold Raphael;**;14;54.25;11;45.5;1;-0.25;8.75

