5663-2022-05-22_Solothurner_Kantonalschwingfest-ST

1a;Alpiger Nick;***;;;;;;;;;58.5
+;5;37.5;Probst Gabriel;**;15;54.25;6;37.25;1;-0.25;10.0
+;4;47.5;Vieira Tiago;**;9;55.75;5;47.25;1;-0.25;9.75

3e;Roth Jan (2004);*;;;;;;;;;57.25
-;;;Lüscher Sinisha (2006);*;;;;;;;8.75
+;4;8.75;Gerber Manuel;*;9;55.75;3;9.0;-1;0.25;9.75
-;6;18.5;Bucher Thomas;*;14;54.5;6;18.5;0;0.0;9.0
+;8;27.5;Büttler Gian;;9;55.75;5;28.25;-3;0.75;9.75
+;6;37.25;Béguelin Elias (2006);;16;54.0;7;37.0;1;-0.25;10.0
+;5;47.25;Späti Jan;;8;56.0;5;47.25;0;0.0;10.0

3f;Kropf Marcel;**;;;;;;;;;57.25
o;;;Schmid David;***;;;;;;;8.5
+;5;8.5;Dünner Tobias (2005);;20;35.75;1;10.0;-4;1.5;10.0
+;6;18.5;Bearda Samuel;**;21;35.5;6;18.5;0;0.0;10.0
+;4;28.5;Joho Philip;*;12;55.0;3;28.75;-1;0.25;10.0
+;2;38.5;Mangold Michael;**;4;57.0;2;38.5;0;0.0;10.0
o;1;48.5;Alpiger Nick;***;1;58.5;1;48.5;0;0.0;8.75

4a;Beer Peter;*;;;;;;;;;57.0
o;;;Frank Marius (2004);*;;;;;;;8.75
+;4;8.75;Büttler Gian;;9;55.75;1;10.0;-3;1.25;10.0
+;5;18.75;Aerni Lars;;17;53.75;5;18.75;0;0.0;10.0
o;3;28.75;Schmid David;***;2;57.75;3;28.75;0;0.0;8.5
+;6;37.25;Rohrbach Jérôme;;10;55.5;6;37.25;0;0.0;9.75
+;6;47.0;Stüdeli Thomas;**;8;56.0;4;47.5;-2;0.5;10.0

4b;Mangold Michael;**;;;;;;;;;57.0
+;;;Schmutz Adrian;*;;;;;;;10.0
+;1;10.0;Leuthard Reto;**;10;55.5;4;8.75;3;-1.25;10.0
+;1;20.0;Räbmatter Patrick;***;4;57.0;1;20.0;0;0.0;10.0
o;1;30.0;Alpiger Nick;***;1;58.5;3;28.75;2;-1.25;8.5
o;2;38.5;Kropf Marcel;**;3;57.25;2;38.5;0;0.0;8.5
+;6;47.0;Rüegg Daniel;;14;54.5;10;46.0;4;-1.0;10.0

4c;Räbmatter Patrick;***;;;;;;;;;57.0
+;;;Bucher Christian;**;;;;;;;10.0
+;1;10.0;Hügli Kaj;**;5;56.75;1;10.0;0;0.0;10.0
o;1;20.0;Mangold Michael;**;4;57.0;1;20.0;0;0.0;8.5
+;4;28.5;Odermatt Adrian;**;4;57.0;4;28.5;0;0.0;9.75
+;3;38.25;Anderegg David;*;11;55.25;3;38.25;0;0.0;10.0
-;2;48.25;Widmer Tobias;**;6;56.5;3;47.75;1;-0.5;8.75

4d;Odermatt Adrian;**;;;;;;;;;57.0
+;;;Vieira Tiago;**;;;;;;;9.75
-;2;9.75;Schmid David;***;2;57.75;1;10.0;-1;0.25;8.75
+;6;18.5;Mangold Martin;*;16;54.0;5;18.75;-1;0.25;10.0
o;4;28.5;Räbmatter Patrick;***;4;57.0;4;28.5;0;0.0;8.5
+;7;37.0;Reinhard Pirmin;;11;55.25;7;37.0;0;0.0;10.0
+;6;47.0;Widmer David;**;14;54.5;10;46.0;4;-1.0;10.0

5a;Hügli Kaj;**;;;;;;;;;56.75
+;;;Bucher Roland;*;;;;;;;10.0
o;1;10.0;Räbmatter Patrick;***;4;57.0;1;10.0;0;0.0;8.5
