5663-2022-05-22_Solothurner_Kantonalschwingfest-ST

1a;Alpiger Nick;***;;;;;;;;;58.5
+;5;8.5;Späti Jan;;8;56.0;2;9.75;-3;1.25;10.0
-;6;18.5;Roth Jan (2004);*;3;57.25;6;18.5;0;0.0;9.0
+;8;27.5;Schaub Reto;;17;53.75;5;28.25;-3;0.75;9.75
o;6;37.25;Widmer Tobias;**;6;56.5;4;37.75;-2;0.5;8.75
o;10;46.0;Bader Fabian;**;5;56.75;6;47.0;-4;1.0;8.5

14d;Gerber Andrj;*;;;;;;;;;54.5
-;;;Schmid Samuel;**;;;;;;;8.75
+;4;8.75;Suter Jonas;;11;55.25;2;9.75;-2;1.0;9.75
-;6;18.5;Joho Pascal (2004);;12;55.0;5;18.75;-1;0.25;8.75
+;9;27.25;Hasler Luis;;11;55.25;5;28.25;-4;1.0;10.0
-;6;37.25;Joho Philip;*;12;55.0;5;37.5;-1;0.25;8.75
o;10;46.0;Döbeli Lukas;**;5;56.75;6;47.0;-4;1.0;8.5

14e;Stadler Kevin;*;;;;;;;;;54.5
-;;;Kohler Adrian;*;;;;;;;8.75
-;4;8.75;Rüegg Daniel;;14;54.5;1;10.0;-3;1.25;8.75
-;9;17.5;Bieli Andreas;;7;56.25;5;18.75;-4;1.25;8.75
+;13;26.25;Herrmann Daniel;;22;35.25;11;26.75;-2;0.5;9.75
o;11;36.0;Bucher Roland;*;6;56.5;8;36.75;-3;0.75;8.5
+;16;44.5;Regenass Beat;;16;54.0;12;45.5;-4;1.0;10.0

14f;Rüegg Daniel;;;;;;;;;;54.5
+;;;Regenass Beat;;;;;;;;10.0
-;1;10.0;Stadler Kevin;*;14;54.5;4;8.75;3;-1.25;8.75
+;5;18.75;Strebel Dominic (2005);;21;35.5;6;18.5;1;-0.25;10.0
o;3;28.75;Burren Patrick;*;9;55.75;8;27.5;5;-1.25;8.75
o;5;37.5;Streich Sascha;;6;56.5;4;37.75;-1;0.25;8.5
o;10;46.0;Mangold Michael;**;4;57.0;6;47.0;-4;1.0;8.5

14g;Widmer David;**;;;;;;;;;54.5
-;;;Stegmüller Klemens;*;;;;;;;9.0
o;3;9.0;Odermatt Jonas (2004);;3;57.25;1;10.0;-2;1.0;8.5
o;9;17.5;Widmer Dino;;16;54.0;6;18.5;-3;1.0;8.5
+;14;26.0;Stalder Jonas;;21;35.5;10;27.0;-4;1.0;10.0
+;11;36.0;Hengartner Jonas (2005);;19;53.25;10;36.25;-1;0.25;10.0
o;10;46.0;Odermatt Adrian;**;4;57.0;6;47.0;-4;1.0;8.5

15a;Probst Gabriel;**;;;;;;;;;54.25
o;;;Hermann Oliver;**;;;;;;;8.5
+;5;8.5;Strebel Dominic (2005);;21;35.5;1;10.0;-4;1.5;9.75
-;7;18.25;Graf Gian;;13;54.75;5;18.75;-2;0.5;9.0
+;9;27.25;Stocker Niklas (2005);;12;55.0;6;28.0;-3;0.75;10.0
o;6;37.25;Döbeli Andreas;***;3;57.25;5;37.5;-1;0.25;8.5
o;11;45.75;Dobler Florian;;9;55.75;11;45.75;0;0.0;8.5

15b;Fricker Ivo;;;;;;;;;;54.25
-;;;Widmer Dino;;;;;;;;8.75
+;4;8.75;Regenass Reto;;28;25.75;4;8.75;0;0.0;10.0
o;5;18.75;Bucher Roland;*;6;56.5;7;18.25;2;-0.5;8.5
+;9;27.25;Roth Leon (2006);;20;35.75;9;27.25;0;0.0;9.75
o;7;37.0;Stoll Simon;**;9;55.75;6;37.25;-1;0.25;8.5
-;12;45.5;Ris Jörn;*;16;54.0;13;45.25;1;-0.25;8.75

15c;Stampfli Simon (2004);;;;;;;;;;54.25
+;;;Soland Marcel (2006);;;;;;;;9.75
o;2;9.75;Mangold Martin;*;16;54.0;4;8.75;2;-1.0;8.5
+;7;18.25;Gehrig Nils (2006);;22;35.25;7;18.25;0;0.0;10.0
o;5;28.25;Hermann Oliver;**;8;56.0;10;27.0;5;-1.25;8.5
-;8;36.75;Graber Colin;;17;53.75;10;36.25;2;-0.5;8.75
-;12;45.5;Voggensperger Til (2004);;17;53.75;14;45.0;2;-0.5;8.75

15d;Wenger Marcel;*;;;;;;;;;54.25
-;;;Studer Remo;*;;;;;;;8.75
-;4;8.75;Joho Pascal (2004);;12;55.0;2;9.75;-2;1.0;9.0
+;8;17.75;Kirchmeier Christof;;12;55.0;6;18.5;-2;0.75;9.75
o;8;27.5;Vieira Tiago;**;9;55.75;9;27.25;1;-0.25;8.5
+;11;36.0;Wohlgemuth Corsin;;17;53.75;8;36.75;-3;0.75;9.75
o;11;45.75;Hermann Oliver;**;8;56.0;10;46.0;-1;0.25;8.5

15e;Vogt Sandro (2004);;;;;;;;;;54.25
+;;;Rickenbacher Remo (2006);;;;;;;;9.75
o;2;9.75;Bucher Roland;*;6;56.5;5;8.5;3;-1.25;8.5
+;7;18.25;Herrmann Daniel;;22;35.25;7;18.25;0;0.0;10.0
-;5;28.25;Joho Pascal (2004);;12;55.0;8;27.5;3;-0.75;9.0
o;6;37.25;Voggensperger Lars;*;3;57.25;5;37.5;-1;0.25;8.5
o;11;45.75;Räber Lukas;*;9;55.75;11;45.75;0;0.0;8.5

15f;Schmutz Adrian;*;;;;;;;;;54.25
o;;;Mangold Michael;**;;;;;;;8.5
+;5;8.5;Furter Jannis (2004);;22;35.25;2;9.75;-3;1.25;10.0
-;6;18.5;Burren Patrick;*;9;55.75;5;18.75;-1;0.25;8.75
-;9;27.25;Studinger Robin (2006);;20;35.75;10;27.0;1;-0.25;8.75
+;11;36.0;Suter Jonas;;11;55.25;7;37.0;-4;1.0;9.75
o;11;45.75;Hügli Kaj;**;5;56.75;7;46.75;-4;1.0;8.5

16a;Antenen Remo (2004);;;;;;;;;;54.0
+;;;Jehle Aaron (2005);;;;;;;;10.0
o;1;10.0;Burren Patrick;*;9;55.75;4;8.75;3;-1.25;8.5
o;6;18.5;Stocker Niklas (2005);;12;55.0;7;18.25;1;-0.25;8.5
+;10;27.0;Meier Dario (2005);;21;35.5;10;27.0;0;0.0;10.0
o;7;37.0;Vieira Tiago;**;9;55.75;6;37.25;-1;0.25;8.5
o;12;45.5;Reinhard Pirmin;;11;55.25;12;45.5;0;0.0;8.5

16b;Regenass Beat;;;;;;;;;;54.0
o;;;Rüegg Daniel;;;;;;;;8.5
+;5;8.5;Soland Marcel (2006);;26;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Vieira Tiago;**;9;55.75;9;17.5;3;-1.0;8.5
+;10;27.0;Furter Jannis (2004);;22;35.25;11;26.75;1;-0.25;10.0
o;7;37.0;Schwegler Dominik;;9;55.75;6;37.25;-1;0.25;8.5
o;12;45.5;Stadler Kevin;*;14;54.5;16;44.5;4;-1.0;8.5

16c;Ris Jörn;*;;;;;;;;;54.0
o;;;Rüegger Aaron;*;;;;;;;8.5
+;5;8.5;Studinger Robin (2006);;20;35.75;1;10.0;-4;1.5;10.0
o;6;18.5;Hasler Luis;;11;55.25;6;18.5;0;0.0;8.5
+;10;27.0;Müller Simon;;20;35.75;9;27.25;-1;0.25;9.75
o;8;36.75;Räber Lukas;*;9;55.75;11;36.0;3;-0.75;8.5
-;13;45.25;Fricker Ivo;;15;54.25;12;45.5;-1;0.25;8.75

16d;Böni Ralf (2004);;;;;;;;;;54.0
+;;;Gisin Yanic;;;;;;;;9.75
-;2;9.75;Scherrer Johann;**;23;35.0;4;8.75;2;-1.0;8.75
o;6;18.5;Bader Fabian;**;5;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Nussbaumer Dominik;;20;35.75;9;27.25;-1;0.25;10.0
o;7;37.0;Späti Jan;;8;56.0;6;37.25;-1;0.25;8.5
o;12;45.5;Studer Remo;*;11;55.25;12;45.5;0;0.0;8.5

16e;Béguelin Elias (2006);;;;;;;;;;54.0
o;;;Suter Jonas;;;;;;;;8.5
o;5;8.5;Widmer Dino;;16;54.0;4;8.75;-1;0.25;8.5
+;11;17.0;Brunner Lukas (2006);;21;35.5;11;17.0;0;0.0;10.0
+;10;27.0;Gehrig Nils (2006);;22;35.25;11;26.75;1;-0.25;10.0
o;7;37.0;Roth Jan (2004);*;3;57.25;6;37.25;-1;0.25;8.5
o;12;45.5;Gerber Manuel;*;9;55.75;11;45.75;-1;0.25;8.5

16f;Widmer Dino;;;;;;;;;;54.0
-;;;Fricker Ivo;;;;;;;;8.75
+;4;8.75;Béguelin Elias (2006);;16;54.0;5;8.5;1;-0.25;9.75
+;6;18.5;Widmer David;**;14;54.5;9;17.5;3;-1.0;10.0
o;4;28.5;Hügli Kaj;**;5;56.75;5;28.25;1;-0.25;8.5
o;7;37.0;Döbeli Lukas;**;5;56.75;7;37.0;0;0.0;8.5
o;12;45.5;Stocker Niklas (2005);;12;55.0;14;45.0;2;-0.5;8.5

16g;Mangold Martin;*;;;;;;;;;54.0
-;;;Christ Dario;*;;;;;;;8.75
+;4;8.75;Stampfli Simon (2004);;15;54.25;2;9.75;-2;1.0;10.0
o;5;18.75;Odermatt Adrian;**;4;57.0;6;18.5;1;-0.25;8.5
+;9;27.25;Bachmann Sämi;;19;53.25;8;27.5;-1;0.25;9.75
o;7;37.0;Stegmüller Klemens;*;8;56.0;5;37.5;-2;0.5;8.5
o;12;45.5;Rohrbach Jérôme;;10;55.5;11;45.75;-1;0.25;8.5

17a;Schaub Reto;;;;;;;;;;53.75
+;;;Loosli Adrian;;;;;;;;9.75
o;2;9.75;Widmer Tobias;**;6;56.5;3;9.0;1;-0.75;8.5
+;7;18.25;Furter Jannis (2004);;22;35.25;7;18.25;0;0.0;10.0
o;5;28.25;Bucher Thomas;*;14;54.5;8;27.5;3;-0.75;8.5
o;8;36.75;Joho Pascal (2004);;12;55.0;9;36.5;1;-0.25;8.5
o;13;45.25;Kirchmeier Christof;;12;55.0;13;45.25;0;0.0;8.5

17b;Graber Colin;;;;;;;;;;53.75
-;;;Voggensperger Til (2004);;;;;;;;8.75
-;4;8.75;Meier Urs;;13;54.75;4;8.75;0;0.0;8.75
-;9;17.5;Vogt Marco;;17;53.75;8;17.75;-1;0.25;8.75
+;13;26.25;Pradetto Diego (2006);;24;34.75;13;26.25;0;0.0;10.0
-;10;36.25;Stampfli Simon (2004);;15;54.25;8;36.75;-2;0.5;8.75
-;14;45.0;Henzer Andreas;**;18;53.5;15;44.75;1;-0.25;8.75

17c;Wohlgemuth Corsin;;;;;;;;;;53.75
+;;;Huber Pascal;;;;;;;;9.75
o;2;9.75;Henzer Andreas;**;18;53.5;4;8.75;2;-1.0;8.5
o;7;18.25;Suter Jonas;;11;55.25;7;18.25;0;0.0;8.5
+;11;26.75;Jüngling Pascal (2006);;22;35.25;11;26.75;0;0.0;10.0
o;8;36.75;Wenger Marcel;*;15;54.25;11;36.0;3;-0.75;8.5
o;13;45.25;Hasler Luis;;11;55.25;13;45.25;0;0.0;8.5

17d;Vogt Marco;;;;;;;;;;53.75
-;;;Abt Robin;;;;;;;;9.0
o;3;9.0;Müller Simon;;20;35.75;3;9.0;0;0.0;8.75
-;8;17.75;Graber Colin;;17;53.75;9;17.5;1;-0.25;8.75
+;12;26.5;Buob Mike (2005);;25;34.5;14;26.0;2;-0.5;9.75
o;10;36.25;Erb Roger;**;14;54.5;11;36.0;1;-0.25;8.5
-;15;44.75;Aerni Lars;;17;53.75;15;44.75;0;0.0;9.0

17e;Voggensperger Til (2004);;;;;;;;;;53.75
-;;;Graber Colin;;;;;;;;8.75
+;4;8.75;Reinhard Roman (2005);;24;34.75;4;8.75;0;0.0;10.0
-;5;18.75;Rüegger Aaron;*;18;53.5;7;18.25;2;-0.5;9.0
o;7;27.75;Frank Marius (2004);*;6;56.5;6;28.0;-1;0.25;8.5
o;10;36.25;Schmid Samuel;**;12;55.0;9;36.5;-1;0.25;8.75
-;14;45.0;Stampfli Simon (2004);;15;54.25;12;45.5;-2;0.5;8.75

17f;Aerni Lars;;;;;;;;;;53.75
+;;;Christ Marino (2005);;;;;;;;9.75
-;2;9.75;Kohler Adrian;*;14;54.5;4;8.75;2;-1.0;9.0
o;5;18.75;Beer Peter;*;4;57.0;5;18.75;0;0.0;8.5
-;9;27.25;Hengartner Jonas (2005);;19;53.25;9;27.25;0;0.0;9.0
o;10;36.25;Burren Dominik;;13;54.75;9;36.5;-1;0.25;8.5
-;15;44.75;Vogt Marco;;17;53.75;15;44.75;0;0.0;9.0

18a;Henzer Andreas;**;;;;;;;;;53.5
-;;;Widmer Tobias;**;;;;;;;8.75
+;4;8.75;Wohlgemuth Corsin;;17;53.75;2;9.75;-2;1.0;9.75
-;6;18.5;Schwegler Dominik;;9;55.75;1;20.0;-5;1.5;8.75
-;9;27.25;Reinhard Pirmin;;11;55.25;5;28.25;-4;1.0;8.75
-;11;36.0;Brugger Jonas;;18;53.5;11;36.0;0;0.0;8.75
-;15;44.75;Graber Colin;;17;53.75;14;45.0;-1;0.25;8.75

18b;Brugger Jonas;;;;;;;;;;53.5
-;;;Nussbaumer Dominik;;;;;;;;8.75
+;4;8.75;Stalder Jonas;;21;35.5;5;8.5;1;-0.25;9.75
-;6;18.5;Scherrer Johann;**;23;35.0;9;17.5;3;-1.0;8.75
-;9;27.25;Huser Roman;;21;35.5;11;26.75;2;-0.5;8.75
-;11;36.0;Henzer Andreas;**;18;53.5;11;36.0;0;0.0;8.75
-;15;44.75;Rüegger Aaron;*;18;53.5;15;44.75;0;0.0;8.75

18c;Rüegger Aaron;*;;;;;;;;;53.5
+;;;Ris Jörn;*;;;;;;;9.75
o;2;9.75;Voggensperger Lars;*;3;57.25;3;9.0;1;-0.75;8.5
-;7;18.25;Voggensperger Til (2004);;17;53.75;5;18.75;-2;0.5;9.0
-;9;27.25;Späti Jan;;8;56.0;5;28.25;-4;1.0;9.0
o;10;36.25;Roschi Ruedi;**;7;56.25;8;36.75;-2;0.5;8.5
-;15;44.75;Brugger Jonas;;18;53.5;15;44.75;0;0.0;8.75

18d;Jehle Aaron (2005);;;;;;;;;;53.5
o;;;Antenen Remo (2004);;;;;;;;8.5
+;5;8.5;Burkhardt Roy;;20;35.75;5;8.5;0;0.0;9.75
o;7;18.25;Betschart Marcel;*;6;56.5;11;17.0;4;-1.25;8.5
+;11;26.75;Gisin Yanic;;21;35.5;11;26.75;0;0.0;9.75
o;9;36.5;Kohler Adrian;*;14;54.5;11;36.0;2;-0.5;8.5
o;14;45.0;Meier Urs;;13;54.75;15;44.75;1;-0.25;8.5

19a;Hengartner Jonas (2005);;;;;;;;;;53.25
-;;;Müller Simon;;;;;;;;9.0
+;3;9.0;Pradetto Diego (2006);;24;34.75;4;8.75;1;-0.25;9.75
o;5;18.75;Anderegg David;*;11;55.25;6;18.5;1;-0.25;8.5
-;9;27.25;Aerni Lars;;17;53.75;9;27.25;0;0.0;9.0
o;10;36.25;Widmer David;**;14;54.5;11;36.0;1;-0.25;8.5
o;15;44.75;Graf Gian;;13;54.75;15;44.75;0;0.0;8.5

19b;Bachmann Sämi;;;;;;;;;;53.25
-;;;Meier Urs;;;;;;;;8.75
+;4;8.75;Abt Robin;;23;35.0;3;9.0;-1;0.25;9.75
-;6;18.5;Schmid Samuel;**;12;55.0;8;17.75;2;-0.75;9.0
o;8;27.5;Mangold Martin;*;16;54.0;9;27.25;1;-0.25;8.5
-;11;36.0;Graf Gian;;13;54.75;11;36.0;0;0.0;8.75
o;15;44.75;Suter Jonas;;11;55.25;12;45.5;-3;0.75;8.5

20a;Studinger Robin (2006);;;;;;;;;;35.75
+;;;Hohler Janis (2005);;;;;;;;10.0
o;1;10.0;Ris Jörn;*;16;54.0;5;8.5;4;-1.5;8.5
o;6;18.5;Späti Jan;;8;56.0;7;18.25;1;-0.25;8.5
-;10;27.0;Schmutz Adrian;*;15;54.25;9;27.25;-1;0.25;8.75

20b;Dünner Tobias (2005);;;;;;;;;;35.75
+;;;Burkhardt Roy;;;;;;;;10.0
o;1;10.0;Kropf Marcel;**;3;57.25;5;8.5;4;-1.5;8.5
-;6;18.5;Dobler Florian;;9;55.75;6;18.5;0;0.0;8.75
o;9;27.25;Gerber Manuel;*;9;55.75;9;27.25;0;0.0;8.5

20c;Nussbaumer Gabriel;;;;;;;;;;35.75
o;;;Joho Pascal (2004);;;;;;;;8.5
-;5;8.5;Steger Robert;;21;35.5;5;8.5;0;0.0;8.75
+;10;17.25;Reinhard Roman (2005);;24;34.75;10;17.25;0;0.0;10.0
o;9;27.25;Lüscher Sinisha (2006);*;10;55.5;9;27.25;0;0.0;8.5

20d;Büttler Adrian;;;;;;;;;;35.75
o;;;Stocker Niklas (2005);;;;;;;;8.5
-;5;8.5;Kulmer Nick (2004);;29;17.25;5;8.5;0;0.0;8.75
+;10;17.25;Regenass Reto;;28;25.75;10;17.25;0;0.0;10.0
o;9;27.25;Leuthard Reto;**;10;55.5;14;26.0;5;-1.25;8.5

20e;Roth Leon (2006);;;;;;;;;;35.75
+;;;Jüngling Pascal (2006);;;;;;;;10.0
o;1;10.0;Stegmüller Klemens;*;8;56.0;3;9.0;2;-1.0;8.75
o;5;18.75;Joho Philip;*;12;55.0;5;18.75;0;0.0;8.5
o;9;27.25;Fricker Ivo;;15;54.25;9;27.25;0;0.0;8.5

20f;Müller Simon;;;;;;;;;;35.75
-;;;Hengartner Jonas (2005);;;;;;;;9.0
+;3;9.0;Vogt Marco;;17;53.75;3;9.0;0;0.0;9.75
o;5;18.75;Frank Marius (2004);*;6;56.5;7;18.25;2;-0.5;8.5
o;9;27.25;Ris Jörn;*;16;54.0;10;27.0;1;-0.25;8.5

20g;Burkhardt Roy;;;;;;;;;;35.75
o;;;Dünner Tobias (2005);;;;;;;;8.5
o;5;8.5;Jehle Aaron (2005);;18;53.5;5;8.5;0;0.0;8.5
+;11;17.0;Steger Robert;;21;35.5;10;17.25;-1;0.25;10.0
-;10;27.0;Scherrer Johann;**;23;35.0;13;26.25;3;-0.75;8.75

20h;Caviezel Nicolas;;;;;;;;;;35.75
-;;;Reinhard Roman (2005);;;;;;;;8.75
-;4;8.75;Buob Mike (2005);;25;34.5;4;8.75;0;0.0;8.75
+;9;17.5;Hohler Janis (2005);;24;34.75;10;17.25;1;-0.25;9.75
o;9;27.25;Betschart Marcel;*;6;56.5;10;27.0;1;-0.25;8.5

20i;Imobersteg Matthias;**;;;;;;;;;35.75
o;;;Anderegg David;*;;;;;;;8.5
o;5;8.5;Schwegler Dominik;;9;55.75;1;10.0;-4;1.5;8.5
o;11;17.0;Burren Dominik;;13;54.75;7;18.25;-4;1.25;8.75
+;15;25.75;Loosli Adrian;;22;35.25;11;26.75;-4;1.0;10.0

20j;Rickenbacher Remo (2006);;;;;;;;;;35.75
o;;;Vogt Sandro (2004);;;;;;;;8.5
+;5;8.5;Yeschiltepe Turgut (2006);;27;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Studer Remo;*;11;55.25;6;18.5;0;0.0;8.5
o;10;27.0;Kirchmeier Christof;;12;55.0;10;27.0;0;0.0;8.75

20k;Nussbaumer Dominik;;;;;;;;;;35.75
-;;;Brugger Jonas;;;;;;;;8.75
+;4;8.75;Huber Pascal;;26;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Bucher Christian;**;3;57.25;6;18.5;1;-0.25;8.5
o;9;27.25;Böni Ralf (2004);;16;54.0;10;27.0;1;-0.25;8.5

21a;Meier Dario (2005);;;;;;;;;;35.5
+;;;Regenass Reto;;;;;;;;10.0
o;1;10.0;Studer Remo;*;11;55.25;4;8.75;3;-1.25;8.5
o;6;18.5;Büttler Gian;;9;55.75;6;18.5;0;0.0;8.5
o;10;27.0;Antenen Remo (2004);;16;54.0;10;27.0;0;0.0;8.5

21b;Bearda Samuel;**;;;;;;;;;35.5
-;;;Stüdeli Thomas;**;;;;;;;8.75
+;4;8.75;Huser Roman;;21;35.5;2;9.75;-2;1.0;9.75
o;6;18.5;Kropf Marcel;**;3;57.25;6;18.5;0;0.0;8.5
o;10;27.0;Bieli Andreas;;7;56.25;8;27.5;-2;0.5;8.5

21c;Stalder Jonas;;;;;;;;;;35.5
o;;;Dobler Florian;;;;;;;;8.5
o;5;8.5;Brugger Jonas;;18;53.5;4;8.75;-1;0.25;8.5
+;11;17.0;Soland Marcel (2006);;26;34.25;11;17.0;0;0.0;10.0
o;10;27.0;Widmer David;**;14;54.5;14;26.0;4;-1.0;8.5

21d;Gisin Yanic;;;;;;;;;;35.5
o;;;Böni Ralf (2004);;;;;;;;8.5
o;5;8.5;Hasler Luis;;11;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Huber Pascal;;26;34.25;11;17.0;0;0.0;9.75
o;11;26.75;Jehle Aaron (2005);;18;53.5;11;26.75;0;0.0;8.75

21e;Buchmann Moritz (2005);;;;;;;;;;35.5
o;;;Streich Sascha;;;;;;;;8.5
+;5;8.5;Brunner Lukas (2006);;21;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Gerber Manuel;*;9;55.75;9;17.5;3;-1.0;8.5
o;10;27.0;Dobler Florian;;9;55.75;9;27.25;-1;0.25;8.5

21f;Brunner Lukas (2006);;;;;;;;;;35.5
o;;;Strebel Dominic (2005);;;;;;;;8.5
o;5;8.5;Buchmann Moritz (2005);;21;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Béguelin Elias (2006);;16;54.0;11;17.0;0;0.0;8.5
+;16;25.5;Yeschiltepe Turgut (2006);;27;34.0;16;25.5;0;0.0;10.0

21g;Huser Roman;;;;;;;;;;35.5
+;;;Kirchmeier Christof;;;;;;;;9.75
o;2;9.75;Bearda Samuel;**;21;35.5;4;8.75;2;-1.0;8.5
o;7;18.25;Reinhard Pirmin;;11;55.25;7;18.25;0;0.0;8.5
-;11;26.75;Brugger Jonas;;18;53.5;9;27.25;-2;0.5;8.75

21h;Strebel Dominic (2005);;;;;;;;;;35.5
+;;;Brunner Lukas (2006);;;;;;;;10.0
o;1;10.0;Probst Gabriel;**;15;54.25;5;8.5;4;-1.5;8.5
o;6;18.5;Rüegg Daniel;;14;54.5;5;18.75;-1;0.25;8.5
o;10;27.0;Rohrbach Jérôme;;10;55.5;9;27.25;-1;0.25;8.5

21i;Steger Robert;;;;;;;;;;35.5
o;;;Reinhard Pirmin;;;;;;;;8.5
-;5;8.5;Nussbaumer Gabriel;;20;35.75;5;8.5;0;0.0;8.75
o;10;17.25;Burkhardt Roy;;20;35.75;11;17.0;1;-0.25;8.5
+;15;25.75;Studer Louis (2004);;24;34.75;13;26.25;-2;0.5;9.75

22a;Loosli Adrian;;;;;;;;;;35.25
o;;;Schaub Reto;;;;;;;;8.5
o;5;8.5;Rohrbach Jérôme;;10;55.5;5;8.5;0;0.0;8.5
+;11;17.0;Halbeisen Florian (2005);;26;34.25;11;17.0;0;0.0;9.75
o;11;26.75;Imobersteg Matthias;**;20;35.75;15;25.75;4;-1.0;8.5

22b;Jüngling Pascal (2006);;;;;;;;;;35.25
o;;;Roth Leon (2006);;;;;;;;8.5
o;5;8.5;Burren Dominik;;13;54.75;6;8.25;1;-0.25;8.5
+;11;17.0;Yeschiltepe Turgut (2006);;27;34.0;11;17.0;0;0.0;9.75
o;11;26.75;Wohlgemuth Corsin;;17;53.75;11;26.75;0;0.0;8.5

22c;Gehrig Nils (2006);;;;;;;;;;35.25
+;;;Halbeisen Florian (2005);;;;;;;;9.75
o;2;9.75;Stüdeli Thomas;**;8;56.0;3;9.0;1;-0.75;8.5
o;7;18.25;Stampfli Simon (2004);;15;54.25;7;18.25;0;0.0;8.5
o;11;26.75;Béguelin Elias (2006);;16;54.0;10;27.0;-1;0.25;8.5

22d;Herrmann Daniel;;;;;;;;;;35.25
+;;;Yeschiltepe Turgut (2006);;;;;;;;9.75
o;2;9.75;Bieli Andreas;;7;56.25;4;8.75;2;-1.0;8.5
o;7;18.25;Vogt Sandro (2004);;15;54.25;7;18.25;0;0.0;8.5
o;11;26.75;Stadler Kevin;*;14;54.5;13;26.25;2;-0.5;8.5

22e;Furter Jannis (2004);;;;;;;;;;35.25
+;;;Studer Louis (2004);;;;;;;;9.75
o;2;9.75;Schmutz Adrian;*;15;54.25;5;8.5;3;-1.25;8.5
o;7;18.25;Schaub Reto;;17;53.75;7;18.25;0;0.0;8.5
o;11;26.75;Regenass Beat;;16;54.0;10;27.0;-1;0.25;8.5

23a;Scherrer Johann;**;;;;;;;;;35.0
-;;;Burren Patrick;*;;;;;;;8.75
-;4;8.75;Böni Ralf (2004);;16;54.0;2;9.75;-2;1.0;8.75
-;9;17.5;Brugger Jonas;;18;53.5;6;18.5;-3;1.0;8.75
-;13;26.25;Burkhardt Roy;;20;35.75;10;27.0;-3;0.75;8.75

23b;Abt Robin;;;;;;;;;;35.0
-;;;Vogt Marco;;;;;;;;9.0
o;3;9.0;Bachmann Sämi;;19;53.25;4;8.75;1;-0.25;8.5
o;9;17.5;Meier Urs;;13;54.75;9;17.5;0;0.0;8.75
-;13;26.25;Huber Pascal;;26;34.25;16;25.5;3;-0.75;8.75

24a;Hohler Janis (2005);;;;;;;;;;34.75
o;;;Studinger Robin (2006);;;;;;;;8.5
-;5;8.5;Studer Louis (2004);;24;34.75;5;8.5;0;0.0;8.75
o;10;17.25;Caviezel Nicolas;;20;35.75;9;17.5;-1;0.25;8.5
-;15;25.75;Reinhard Roman (2005);;24;34.75;15;25.75;0;0.0;9.0

24b;Studer Louis (2004);;;;;;;;;;34.75
o;;;Furter Jannis (2004);;;;;;;;8.5
-;5;8.5;Hohler Janis (2005);;24;34.75;5;8.5;0;0.0;8.75
-;10;17.25;Pradetto Diego (2006);;24;34.75;10;17.25;0;0.0;9.0
o;13;26.25;Steger Robert;;21;35.5;15;25.75;2;-0.5;8.5

24c;Reinhard Roman (2005);;;;;;;;;;34.75
-;;;Caviezel Nicolas;;;;;;;;8.75
o;4;8.75;Voggensperger Til (2004);;17;53.75;4;8.75;0;0.0;8.5
o;10;17.25;Nussbaumer Gabriel;;20;35.75;10;17.25;0;0.0;8.5
-;15;25.75;Hohler Janis (2005);;24;34.75;15;25.75;0;0.0;9.0

24d;Pradetto Diego (2006);;;;;;;;;;34.75
-;;;Buob Mike (2005);;;;;;;;8.75
o;4;8.75;Hengartner Jonas (2005);;19;53.25;3;9.0;-1;0.25;8.5
-;10;17.25;Studer Louis (2004);;24;34.75;10;17.25;0;0.0;9.0
o;13;26.25;Graber Colin;;17;53.75;13;26.25;0;0.0;8.5

25a;Buob Mike (2005);;;;;;;;;;34.5
-;;;Pradetto Diego (2006);;;;;;;;8.75
-;4;8.75;Caviezel Nicolas;;20;35.75;4;8.75;0;0.0;8.75
o;9;17.5;Kohler Adrian;*;14;54.5;9;17.5;0;0.0;8.5
o;14;26.0;Vogt Marco;;17;53.75;12;26.5;-2;0.5;8.5

26a;Huber Pascal;;;;;;;;;;34.25
o;;;Wohlgemuth Corsin;;;;;;;;8.5
o;5;8.5;Nussbaumer Dominik;;20;35.75;4;8.75;-1;0.25;8.5
o;11;17.0;Gisin Yanic;;21;35.5;11;17.0;0;0.0;8.5
-;16;25.5;Abt Robin;;23;35.0;13;26.25;-3;0.75;8.75

26b;Soland Marcel (2006);;;;;;;;;;34.25
o;;;Stampfli Simon (2004);;;;;;;;8.5
o;5;8.5;Regenass Beat;;16;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Stalder Jonas;;21;35.5;11;17.0;0;0.0;8.5
-;16;25.5;Halbeisen Florian (2005);;26;34.25;16;25.5;0;0.0;8.75

26c;Halbeisen Florian (2005);;;;;;;;;;34.25
o;;;Gehrig Nils (2006);;;;;;;;8.5
o;5;8.5;Graf Gian;;13;54.75;4;8.75;-1;0.25;8.5
o;11;17.0;Loosli Adrian;;22;35.25;11;17.0;0;0.0;8.5
