4396-2019-07-07_Appenzeller_Kantonalschwingfest-ST

1a;Bless Michael;***;;;;;;;;;58.5
o;15;44.75;Kuhn Roman;*;12;55.0;14;45.0;-1;0.25;8.5

19b;Tschudi Mario (2001);;;;;;;;;;53.25
o;;;Inauen Aurel;;;;;;;;8.5
+;5;8.5;Schmid Michael;;26;35.0;4;8.75;-1;0.25;9.75
-;5;18.25;Dobler Lorenz;;15;54.25;5;18.25;0;0.0;9.0
o;8;27.25;Roth Peter;;14;54.5;8;27.25;0;0.0;8.5
-;13;35.75;Mösli Marcel;;19;53.25;13;35.75;0;0.0;9.0
o;15;44.75;Keller Manuel;*;15;54.25;16;44.5;1;-0.25;8.5

20a;Dobler Mathias;;;;;;;;;;53.0
-;;;Tanner Markus (2002);;;;;;;;8.75
+;4;8.75;Furrer Damian;;24;35.5;5;8.5;1;-0.25;9.75
o;4;18.5;Landolt Reto;*;9;55.75;8;17.5;4;-1.0;8.5
-;9;27.0;Sonderegger Max (2002);;20;53.0;9;27.0;0;0.0;9.0
o;12;36.0;Fuster Arjuna (2003);;15;54.25;13;35.75;1;-0.25;8.5
o;16;44.5;Keller Andreas;*;14;54.5;16;44.5;0;0.0;8.5

20b;Sonderegger Max (2002);;;;;;;;;;53.0
-;;;Plüer Fabian (2003);;;;;;;;8.75
o;4;8.75;Naef Sandro;;16;54.0;2;9.75;-2;1.0;8.5
+;9;17.25;Speck Ignaz (2003);;27;34.25;10;17.0;1;-0.25;9.75
-;9;27.0;Dobler Mathias;;20;53.0;9;27.0;0;0.0;9.0
o;12;36.0;Leuppi Karim;*;13;54.75;12;36.0;0;0.0;8.5
o;16;44.5;Inauen Marco;;11;55.25;13;45.25;-3;0.75;8.5

20c;Peter Philipp (2002);;;;;;;;;;53.0
o;;;Signer Walter;;;;;;;;8.5
+;5;8.5;Räss Lukas (2003);;28;34.0;5;8.5;0;0.0;10.0
o;4;18.5;Kammermann Thomas;*;10;55.5;9;17.25;5;-1.25;8.75
o;8;27.25;Thoma Christoph;;10;55.5;8;27.25;0;0.0;8.5
o;13;35.75;Castelli Fabio;;15;54.25;13;35.75;0;0.0;8.5
-;17;44.25;Fässler Michael;;17;53.75;14;45.0;-3;0.75;8.75

21a;Tanner Markus (2002);;;;;;;;;;52.75
-;;;Dobler Mathias;;;;;;;;8.75
o;4;8.75;Willi Renato;;24;35.5;5;8.5;1;-0.25;8.5
o;9;17.25;Tanner Adrian;;17;53.75;5;18.25;-4;1.0;8.5
+;13;25.75;Räss Lukas (2003);;28;34.0;14;25.5;1;-0.25;10.0
o;13;35.75;Ackermann Roman;;14;54.5;13;35.75;0;0.0;8.5
o;17;44.25;Thoma Christoph;;10;55.5;11;45.75;-6;1.5;8.5

22a;Bosshard Dario;;;;;;;;;;45.0
+;;;Willi Renato;;;;;;;;9.75
o;2;9.75;Bernold Christian;**;8;56.0;4;8.75;2;-1.0;8.5
+;5;18.25;Bernhard Thomas (2002);;25;35.25;5;18.25;0;0.0;9.75
o;5;28.0;Bühler Hannes;*;15;54.25;9;27.0;4;-1.0;8.5
o;10;36.5;Brülisauer Dominik (2001);;12;55.0;10;36.5;0;0.0;8.5

23a;Plüer Fabian (2003);;;;;;;;;;44.25
-;;;Sonderegger Max (2002);;;;;;;;8.75
o;4;8.75;Büchler Livio (2001);;12;55.0;5;8.5;1;-0.25;8.5
+;9;17.25;Koch Robin (2002);;28;34.0;10;17.0;1;-0.25;10.0
o;8;27.25;Neff Florian;*;8;56.0;8;27.25;0;0.0;8.5
o;13;35.75;Dobler Lorenz;;15;54.25;13;35.75;0;0.0;8.5

24a;Amstutz Janic (2002);;;;;;;;;;35.5
o;;;Langenegger Beat;;;;;;;;8.5
+;5;8.5;Inauen Severin (2002);;25;35.25;5;8.5;0;0.0;9.75
o;5;18.25;Inauen Andreas;*;10;55.5;8;17.5;3;-0.75;8.5
-;10;26.75;Schmid Michael;;26;35.0;11;26.25;1;-0.5;8.75

24b;Willi Renato;;;;;;;;;;35.5
o;;;Bosshard Dario;;;;;;;;8.5
+;5;8.5;Tanner Markus (2002);;21;52.75;4;8.75;-1;0.25;10.0
o;4;18.5;Keller Manuel;*;15;54.25;8;17.5;4;-1.0;8.5
o;9;27.0;Kammermann Thomas;*;10;55.5;9;27.0;0;0.0;8.5

24c;Furrer Damian;;;;;;;;;;35.5
o;;;Tanner Adrian;;;;;;;;8.5
o;5;8.5;Dobler Mathias;;20;53.0;4;8.75;-1;0.25;8.5
+;10;17.0;Brülisauer Thomas (2003);;25;35.25;10;17.0;0;0.0;10.0
o;9;27.0;Oertle Daniel;*;9;55.75;9;27.0;0;0.0;8.5

24d;Knup Stephan;;;;;;;;;;35.5
o;;;Thoma Luca;;;;;;;;8.5
+;5;8.5;Signer Ramon (2002);;18;53.5;5;8.5;0;0.0;9.75
-;5;18.25;Signer Walter;;16;54.0;5;18.25;0;0.0;8.75
o;9;27.0;Kuhn Roman;*;12;55.0;10;26.75;1;-0.25;8.5

24e;Junker Nik;;;;;;;;;;35.5
o;;;Schrepfer Roy;;;;;;;;8.75
+;4;8.75;Castelli Fabio;;15;54.25;4;8.75;0;0.0;9.75
o;4;18.5;Kuster Thomas;*;6;56.5;4;18.5;0;0.0;8.5
o;9;27.0;Schäppi Urs;*;11;55.25;9;27.0;0;0.0;8.5

24f;Bucher Roman (2003);;;;;;;;;;35.5
o;;;Nüesch Remo (2001);;;;;;;;8.5
+;5;8.5;Schiess Adrian (2003);;28;34.0;5;8.5;0;0.0;10.0
o;4;18.5;Keller Werner;*;9;55.75;3;18.75;-1;0.25;8.5
o;9;27.0;Inauen Aurel;;9;55.75;8;27.25;-1;0.25;8.5

24g;Baumann Simon;;;;;;;;;;35.5
o;;;Fässler Michael;;;;;;;;8.5
o;5;8.5;Mösli Reto;;24;35.5;4;8.75;-1;0.25;8.5
o;10;17.0;Signer Ramon (2002);;18;53.5;10;17.0;0;0.0;8.5
+;14;25.5;Speck Ignaz (2003);;27;34.25;13;25.75;-1;0.25;10.0

24h;Hollenstein Mathias (2002);;;;;;;;;;35.5
o;;;Schmid Reto;;;;;;;;8.5
o;5;8.5;Ackermann Rico (2003);;18;53.5;5;8.5;0;0.0;8.5
+;10;17.0;Inauen Silvan (2003);;25;35.25;10;17.0;0;0.0;10.0
o;9;27.0;Bärtsch Fabian;*;13;54.75;7;27.5;-2;0.5;8.5

24i;Knellwolf Sebastian (2001);;;;;;;;;;35.5
+;;;Spörndli Cyril (2003);;;;;;;;10.0
o;1;10.0;Fausch Kjetil;*;12;55.0;5;8.5;4;-1.5;8.5
o;4;18.5;Aerne Christian;*;12;55.0;5;18.25;1;-0.25;8.5
o;9;27.0;Niederer Andreas (2002);;13;54.75;9;27.0;0;0.0;8.5

24j;Mösli Reto;;;;;;;;;;35.5
o;;;Kirchmeier Christof;;;;;;;;8.75
+;4;8.75;Baumann Simon;;24;35.5;5;8.5;1;-0.25;9.75
o;4;18.5;Oettli Silvio;*;7;56.25;7;17.75;3;-0.75;8.5
o;9;27.0;Schegg Daniel;;17;53.75;9;27.0;0;0.0;8.5

24k;Rust Emanuel;;;;;;;;;;35.5
o;;;Koller Andreas;;;;;;;;8.5
+;5;8.5;Brand Andreas (2003);;28;34.0;5;8.5;0;0.0;10.0
o;4;18.5;Breitenmoser Manuel;*;11;55.25;6;18.0;2;-0.5;8.5
o;9;27.0;Signer Patrick;;17;53.75;9;27.0;0;0.0;8.5

24l;Streule Marco;;;;;;;;;;35.5
+;;;Dudli Gallus;;;;;;;;10.0
o;1;10.0;Bollhalder Manuel (2001);*;13;54.75;4;8.75;3;-1.25;8.5
o;4;18.5;Mettler Valentin;*;10;55.5;4;18.5;0;0.0;8.5
o;9;27.0;Schiess Daniel (2002);;16;54.0;9;27.0;0;0.0;8.5

24m;Dudli Gallus;;;;;;;;;;35.5
o;;;Streule Marco;;;;;;;;8.5
o;5;8.5;Willi Romeo;;25;35.25;5;8.5;0;0.0;8.5
+;10;17.0;Räss Lukas (2003);;28;34.0;10;17.0;0;0.0;10.0
o;9;27.0;Funk Nicola;*;14;54.5;8;27.25;-1;0.25;8.5

24n;Schoch Cornel;;;;;;;;;;35.5
+;;;Sprecher Martin;;;;;;;;9.75
o;2;9.75;Geisser Lars;**;9;55.75;4;8.75;2;-1.0;8.5
o;5;18.25;Kirchmeier Christof;;13;54.75;5;18.25;0;0.0;8.5
-;10;26.75;Fuster Arjuna (2003);;15;54.25;9;27.0;-1;0.25;8.75

24o;Tobler Marco;;;;;;;;;;35.5
+;;;Inauen Silvan (2003);;;;;;;;10.0
o;1;10.0;Mettler Valentin;*;10;55.5;5;8.5;4;-1.5;8.5
o;4;18.5;Blaser Niklas;*;16;54.0;5;18.25;1;-0.25;8.5
o;9;27.0;Keller Lukas;;16;54.0;9;27.0;0;0.0;8.5

24p;Rhyner Beni;;;;;;;;;;35.5
+;;;Schiess Adrian (2003);;;;;;;;10.0
o;1;10.0;Schläpfer Matthias;*;9;55.75;5;8.5;4;-1.5;8.5
o;4;18.5;Poltera Andrin;*;3;57.25;4;18.5;0;0.0;8.5
o;9;27.0;Schmid Reto;;14;54.5;7;27.5;-2;0.5;8.5

24q;Koller Andreas;;;;;;;;;;35.5
+;;;Rust Emanuel;;;;;;;;10.0
o;1;10.0;Marty Jaime;*;8;56.0;4;8.75;3;-1.25;8.5
o;4;18.5;Giger Urs;*;4;57.0;3;18.75;-1;0.25;8.5
o;9;27.0;Salnajs Leo;;13;54.75;8;27.25;-1;0.25;8.5

24r;Stauffacher Martin;;;;;;;;;;35.5
-;;;Brülisauer Dominik (2001);;;;;;;;8.75
+;4;8.75;Mösli Marcel;;19;53.25;2;9.75;-2;1.0;9.75
o;4;18.5;Roth Martin;**;2;57.5;3;18.75;-1;0.25;8.5
o;9;27.0;Inauen Marco;;11;55.25;9;27.0;0;0.0;8.5

24s;Lüönd Remo (2003);;;;;;;;;;35.5
o;;;Dobler Lorenz;;;;;;;;8.5
+;5;8.5;Inauen Silvan (2003);;25;35.25;5;8.5;0;0.0;9.75
o;5;18.25;Fässler Michael;;17;53.75;5;18.25;0;0.0;8.5
o;10;26.75;Manser Adrian;;16;54.0;10;26.75;0;0.0;8.75

25a;Zeller Kevin (2003);;;;;;;;;;35.25
o;;;Fuster Arjuna (2003);;;;;;;;8.5
+;5;8.5;Koch Robin (2002);;28;34.0;5;8.5;0;0.0;9.75
o;5;18.25;Manser Adrian;;16;54.0;10;17.0;5;-1.25;8.5
o;10;26.75;Signer Walter;;16;54.0;9;27.0;-1;0.25;8.5

25b;Inauen Silvan (2003);;;;;;;;;;35.25
o;;;Tobler Marco;;;;;;;;8.5
o;5;8.5;Lüönd Remo (2003);;24;35.5;5;8.5;0;0.0;8.5
o;10;17.0;Hollenstein Mathias (2002);;24;35.5;10;17.0;0;0.0;8.5
+;14;25.5;Schiess Adrian (2003);;28;34.0;14;25.5;0;0.0;9.75

25c;Inauen Severin (2002);;;;;;;;;;35.25
o;;;Ackermann Roman;;;;;;;;8.5
o;5;8.5;Amstutz Janic (2002);;24;35.5;5;8.5;0;0.0;8.5
+;10;17.0;Schiess Adrian (2003);;28;34.0;10;17.0;0;0.0;9.75
o;10;26.75;Langenegger Beat;;10;55.5;9;27.0;-1;0.25;8.5

25d;Willi Romeo;;;;;;;;;;35.25
o;;;Roth Peter;;;;;;;;8.5
+;5;8.5;Dudli Gallus;;24;35.5;5;8.5;0;0.0;9.75
o;5;18.25;Rotach Lars;*;16;54.0;9;17.25;4;-1.0;8.5
o;10;26.75;Bischof Martin;;18;53.5;12;26.0;2;-0.75;8.5

25e;Bernhard Thomas (2002);;;;;;;;;;35.25
+;;;Speck Ignaz (2003);;;;;;;;9.75
o;2;9.75;Rüegg Fabian;*;8;56.0;4;8.75;2;-1.0;8.5
o;5;18.25;Bosshard Dario;;22;45.0;5;18.25;0;0.0;8.5
o;10;26.75;Büchler Livio (2001);;12;55.0;10;26.75;0;0.0;8.5

25f;Sprecher Martin;;;;;;;;;;35.25
o;;;Schoch Cornel;;;;;;;;8.5
+;5;8.5;Brülisauer Thomas (2003);;25;35.25;5;8.5;0;0.0;9.75
o;5;18.25;Neff Florian;*;8;56.0;8;17.5;3;-0.75;8.5
o;10;26.75;Signer Ramon (2002);;18;53.5;10;26.75;0;0.0;8.5

25g;Brülisauer Thomas (2003);;;;;;;;;;35.25
o;;;Mösli Marcel;;;;;;;;8.5
o;5;8.5;Sprecher Martin;;25;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Furrer Damian;;24;35.5;10;17.0;0;0.0;8.5
+;14;25.5;Brand Andreas (2003);;28;34.0;14;25.5;0;0.0;9.75

25h;Spörndli Cyril (2003);;;;;;;;;;35.25
o;;;Knellwolf Sebastian (2001);;;;;;;;8.5
+;5;8.5;Speck Ignaz (2003);;27;34.25;5;8.5;0;0.0;9.75
o;5;18.25;Nüesch Remo (2001);;17;53.75;5;18.25;0;0.0;8.5
o;10;26.75;Vestner Bruno;*;11;55.25;9;27.0;-1;0.25;8.5

26a;Schmid Michael;;;;;;;;;;35.0
-;;;Castelli Fabio;;;;;;;;8.75
o;4;8.75;Tschudi Mario (2001);;19;53.25;5;8.5;1;-0.25;8.5
-;9;17.25;Laager Michael (2001);;15;54.25;10;17.0;1;-0.25;9.0
-;11;26.25;Amstutz Janic (2002);;24;35.5;10;26.75;-1;0.5;8.75

27a;Speck Ignaz (2003);;;;;;;;;;34.25
o;;;Bernhard Thomas (2002);;;;;;;;8.5
o;5;8.5;Spörndli Cyril (2003);;25;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Sonderegger Max (2002);;20;53.0;9;17.25;-1;0.25;8.75
o;13;25.75;Baumann Simon;;24;35.5;14;25.5;1;-0.25;8.5

28a;Koch Robin (2002);;;;;;;;;;34.0
o;;;Ruppanner Philipp;;;;;;;;8.5
o;5;8.5;Zeller Kevin (2003);;25;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Plüer Fabian (2003);;23;44.25;9;17.25;-1;0.25;8.5
o;14;25.5;Laager Michael (2001);;15;54.25;12;26.0;-2;0.5;8.5

28b;Räss Lukas (2003);;;;;;;;;;34.0
o;;;Inauen Marco;;;;;;;;8.5
o;5;8.5;Peter Philipp (2002);;20;53.0;5;8.5;0;0.0;8.5
o;10;17.0;Dudli Gallus;;24;35.5;10;17.0;0;0.0;8.5
o;14;25.5;Tanner Markus (2002);;21;52.75;13;25.75;-1;0.25;8.5

28c;Schiess Adrian (2003);;;;;;;;;;34.0
o;;;Rhyner Beni;;;;;;;;8.5
o;5;8.5;Bucher Roman (2003);;24;35.5;5;8.5;0;0.0;8.5
o;10;17.0;Inauen Severin (2002);;25;35.25;10;17.0;0;0.0;8.5
o;14;25.5;Inauen Silvan (2003);;25;35.25;14;25.5;0;0.0;8.5

28d;Brand Andreas (2003);;;;;;;;;;34.0
o;;;Schiess Daniel (2002);;;;;;;;8.5
o;5;8.5;Rust Emanuel;;24;35.5;5;8.5;0;0.0;8.5
o;10;17.0;Brülisauer Dominik (2001);;12;55.0;7;17.75;-3;0.75;8.5
o;14;25.5;Brülisauer Thomas (2003);;25;35.25;14;25.5;0;0.0;8.5

29a;Breitenmoser Simon;;;;;;;;;;8.75
-;;;Keller Lukas;;;;;;;;8.75

