4396-2019-07-07_Appenzeller_Kantonalschwingfest-ST

1a;Bless Michael;***;;;;;;;;;58.5
+;4;18.5;Keller Lukas;;16;54.0;4;18.5;0;0.0;9.75
+;4;28.25;Koch Reto;*;3;57.25;2;28.75;-2;0.5;9.75
o;4;38.0;Bless Michael;***;1;58.5;2;38.5;-2;0.5;8.5
+;8;46.5;Büchler Livio (2001);;12;55.0;8;46.5;0;0.0;10.0

6d;Krähenbühl Tobias;***;;;;;;;;;56.5
-;;;Zwyssig Raphael;***;;;;;;;9.0
-;3;9.0;Koch Reto;*;3;57.25;2;9.75;-1;0.75;9.0
+;6;18.0;Vestner Bruno;*;11;55.25;4;18.5;-2;0.5;10.0
+;5;28.0;Giger Urs;*;4;57.0;2;28.75;-3;0.75;9.75
+;5;37.75;Kuster Thomas;*;6;56.5;3;38.25;-2;0.5;10.0
-;3;47.75;Kindlimann Fabian;***;7;56.25;4;47.5;1;-0.25;8.75

7a;Kindlimann Fabian;***;;;;;;;;;56.25
-;;;Notz Beni;***;;;;;;;8.75
+;4;8.75;Riget Florian;*;12;55.0;2;9.75;-2;1.0;10.0
-;3;18.75;Gmür Pirmin;**;7;56.25;3;18.75;0;0.0;8.75
+;7;27.5;Mettler Valentin;*;10;55.5;3;28.5;-4;1.0;10.0
+;6;37.5;Bärtsch Fabian;*;13;54.75;6;37.5;0;0.0;10.0
-;4;47.5;Krähenbühl Tobias;***;6;56.5;3;47.75;-1;0.25;8.75

7b;Oettli Silvio;*;;;;;;;;;56.25
-;;;Breitenmoser Manuel;*;;;;;;;9.0
-;3;9.0;Keller Werner;*;9;55.75;1;10.0;-2;1.0;8.75
+;7;17.75;Mösli Reto;;24;35.5;4;18.5;-3;0.75;9.75
+;7;27.5;Kirchmeier Christof;;13;54.75;5;28.0;-2;0.5;10.0
-;6;37.5;Zwyssig Raphael;***;5;56.75;5;37.75;-1;0.25;8.75
+;9;46.25;Schlegel Werner (2002);**;12;55.0;9;46.25;0;0.0;10.0

7c;Gmür Pirmin;**;;;;;;;;;56.25
-;;;Oettli Marco;**;;;;;;;8.75
+;4;8.75;Götti Samuel;;16;54.0;2;9.75;-2;1.0;10.0
-;3;18.75;Kindlimann Fabian;***;7;56.25;3;18.75;0;0.0;8.75
+;7;27.5;Thoma Luca;;10;55.5;3;28.5;-4;1.0;10.0
+;6;37.5;Koch Thomas;*;5;56.75;3;38.25;-3;0.75;9.75
-;5;47.25;Steiner Michael;**;10;55.5;7;46.75;2;-0.5;9.0

7d;Schlegel Sandro;**;;;;;;;;;56.25
-;;;Oertig Dominik;**;;;;;;;9.0
o;3;9.0;Wittenwiler Roman;*;5;56.75;2;9.75;-1;0.75;8.5
+;8;17.5;Schmid Reto;;14;54.5;2;19.0;-6;1.5;10.0
+;7;27.5;Keller Manuel;*;15;54.25;7;27.5;0;0.0;10.0
+;6;37.5;Geisser Lars;**;9;55.75;7;37.25;1;-0.25;10.0
-;4;47.5;Forrer Arnold;***;9;55.75;6;47.0;2;-0.5;8.75

8a;Rüegg Fabian;*;;;;;;;;;56.0
-;;;Bühler Hannes;*;;;;;;;8.75
+;4;8.75;Bernhard Thomas (2002);;25;35.25;2;9.75;-2;1.0;10.0
+;3;18.75;Notz Beni;***;11;55.25;4;18.5;1;-0.25;10.0
-;2;28.75;Roth Martin;**;2;57.5;2;28.75;0;0.0;9.0
+;5;37.75;Thoma Christoph;;10;55.5;7;37.25;2;-0.5;9.75
o;4;47.5;Dändliker Shane;**;5;56.75;7;46.75;3;-0.75;8.5

8b;Ott Damian;**;;;;;;;;;56.0
o;;;Schläpfer Markus;**;;;;;;;8.5
+;5;8.5;Ruppanner Philipp;;14;54.5;1;10.0;-4;1.5;10.0
-;4;18.5;Funk Nicola;*;14;54.5;4;18.5;0;0.0;8.75
+;8;27.25;Inauen Andreas;*;10;55.5;7;27.5;-1;0.25;9.75
-;8;37.0;Poltera Andrin;*;3;57.25;3;38.25;-5;1.25;9.0
+;10;46.0;Brügger Stefan;*;15;54.25;11;45.75;1;-0.25;10.0

8c;Marty Jaime;*;;;;;;;;;56.0
-;;;Rotach Lars;*;;;;;;;8.75
+;4;8.75;Koller Andreas;;24;35.5;1;10.0;-3;1.25;9.75
+;4;18.5;Leuppi Karim;*;13;54.75;4;18.5;0;0.0;9.75
-;4;28.25;Schlegel Werner (2002);**;12;55.0;7;27.5;3;-0.75;8.75
+;8;37.0;Blaser Niklas;*;16;54.0;9;36.75;1;-0.25;10.0
-;6;47.0;Breitenmoser Manuel;*;11;55.25;8;46.5;2;-0.5;9.0

8d;Bernold Christian;**;;;;;;;;;56.0
