2907-2018-06-10_Stoos-Schwinget-ST

1a;Kramer Lario;**;;;;;;;;;58.0
-;4;8.75;Müller Michael;**;5;56.5;4;8.75;0;0.0;9.0
+;8;17.75;Bättig Martin;*;21;35.5;6;18.5;-2;0.75;10.0
o;7;27.75;Suppiger Werner;**;10;55.25;5;28.25;-2;0.5;8.5
o;11;36.25;Odermatt Christian;**;10;55.25;13;35.75;2;-0.5;8.5
+;15;44.75;Fässler Dominic;**;15;54.0;12;45.5;-3;0.75;10.0

12h;Matthey Mickaël;**;;;;;;;;;54.75
-;;;Hurschler Thomas;**;;;;;;;8.75
+;4;8.75;Gwerder Carlo;**;25;34.5;4;8.75;0;0.0;9.75
-;6;18.5;Hasler Florian;**;15;54.0;5;18.75;-1;0.25;8.75
-;9;27.25;Langenstein Philip;**;17;53.0;9;27.25;0;0.0;8.75
-;12;36.0;Rohrer Beat;*;17;53.0;13;35.75;1;-0.25;8.75
+;15;44.75;Vonlaufen Lukas;*;18;52.75;17;44.25;2;-0.5;10.0

13a;Borcard Johann;**;;;;;;;;;54.5
-;;;Gwerder Carlo;**;;;;;;;9.0
-;3;9.0;Vogel Remo;**;12;54.75;4;8.75;1;-0.25;8.75
o;8;17.75;Gloggner Reto;**;17;53.0;11;17.0;3;-0.75;8.5
+;13;26.25;Felder Martin;*;25;34.5;14;26.0;1;-0.25;9.75
+;12;36.0;Vonlaufen Lukas;*;18;52.75;13;35.75;1;-0.25;9.75
-;11;45.75;Ambühl Joel;*;13;54.5;11;45.75;0;0.0;8.75

13b;Schwander Severin;*;;;;;;;;;54.5
o;;;Steinauer Adrian;**;;;;;;;8.5
-;5;8.5;Wyrsch Marco;**;22;35.25;3;9.0;-2;0.5;8.75
+;10;17.25;Zgraggen Fabian;*;22;35.25;11;17.0;1;-0.25;10.0
o;9;27.25;Waser Dominik;**;12;54.75;6;28.0;-3;0.75;8.5
+;13;35.75;Gloggner Reto;**;17;53.0;13;35.75;0;0.0;10.0
-;11;45.75;Gloggner Philipp;***;16;53.75;14;45.0;3;-0.75;8.75

13c;Roch Vincent;**;;;;;;;;;54.5
-;;;Wyrsch Marco;**;;;;;;;9.0
o;3;9.0;Hasler Florian;**;15;54.0;4;8.75;1;-0.25;8.5
+;9;17.5;Gwerder Andreas;*;27;34.0;11;17.0;2;-0.5;9.75
+;9;27.25;Bättig Martin;*;21;35.5;10;27.0;1;-0.25;10.0
o;7;37.25;Fankhauser Erich;***;4;56.75;9;36.75;2;-0.5;8.5
o;11;45.75;Vogel Remo;**;12;54.75;14;45.0;3;-0.75;8.75

13d;Ambühl Joel;*;;;;;;;;;54.5
o;;;Staub Maël;*;;;;;;;8.5
-;5;8.5;Gottofrey Marc;**;24;34.75;5;8.5;0;0.0;9.0
+;9;17.5;Cardinaux Victor;**;12;54.75;9;17.5;0;0.0;10.0
o;8;27.5;Müllestein Mike;***;6;56.25;8;27.5;0;0.0;8.5
+;12;36.0;Rohrer Ueli;*;15;54.0;13;35.75;1;-0.25;9.75
-;11;45.75;Borcard Johann;**;13;54.5;11;45.75;0;0.0;8.75

14a;Wittwer Jan;*;;;;;;;;;54.25
-;;;Lussi Marco;*;;;;;;;8.75
