3147-2015-05-25_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;**;;;;;;;;;58.25
o;5;18.5;Plump Martin;*;11;55.5;5;18.5;0;0.0;8.5
+;9;27.0;Horner Sämi;;17;54.0;9;27.0;0;0.0;9.75
o;10;36.75;Hochholdinger Roman;**;12;55.25;11;36.5;1;-0.25;8.5
+;12;45.25;Ruof Christof;;17;54.0;11;45.5;-1;0.25;10.0

12h;Pianta Christian (1997);;;;;;;;;;55.25
+;;;Frei Claude (1999);;;;;;;;9.75
-;2;9.75;Hofstetter Manuel;*;10;55.75;5;8.5;3;-1.25;8.75
-;5;18.5;Grenci Mauro (1999);;16;54.25;5;18.5;0;0.0;8.75
o;8;27.25;Bernold Edi;**;12;55.25;9;27.0;1;-0.25;8.5
+;14;35.75;Schönenberger Philipp;;22;52.75;14;35.75;0;0.0;9.75
+;11;45.5;Castelli Fabio (1999);;17;54.0;11;45.5;0;0.0;9.75

12i;Bleiker Reto;*;;;;;;;;;55.25
o;;;Steiner Michael;**;;;;;;;8.5
+;5;8.5;Bruhin Fredi (1997);;25;35.25;2;9.75;-3;1.25;9.75
o;6;18.25;Corvi Dominik;;10;55.75;4;18.75;-2;0.5;8.5
+;10;26.75;Akeret Benno;*;13;55.0;9;27.0;-1;0.25;10.0
o;10;36.75;Korrodi Paul;*;6;56.75;9;37.0;-1;0.25;8.5
+;12;45.25;Bürki Patrik (1999);;18;53.75;12;45.25;0;0.0;10.0

12j;Leuppi Samir;**;;;;;;;;;55.25
+;;;Krähenbühl Tobias;**;;;;;;;9.75
+;2;9.75;Notz Beni;***;11;55.5;1;10.0;-1;0.25;9.75
o;3;19.5;Glaus Martin;***;2;58.0;1;20.0;-2;0.5;8.5
+;5;28.0;Oettli Marco (1997);;10;55.75;2;28.75;-3;0.75;9.75
-;6;37.75;Steiner Michael;**;7;56.5;5;38.0;-1;0.25;8.75
o;7;46.5;Holenstein Christian;*;6;56.75;6;46.75;-1;0.25;8.75

13a;Knechtle Martin;**;;;;;;;;;55.0
-;;;Gwerder Andreas;**;;;;;;;8.75
-;4;8.75;Ackermann Remo;*;10;55.75;2;9.75;-2;1.0;8.75
+;8;17.5;Koller Fabian;;13;55.0;5;18.5;-3;1.0;10.0
-;7;27.5;Hochholdinger Roman;**;12;55.25;7;27.5;0;0.0;9.0
+;11;36.5;Schäppi Urs;;16;54.25;8;37.25;-3;0.75;10.0
o;7;46.5;Kindlimann Fabian;***;5;57.0;5;47.0;-2;0.5;8.5

13b;Huber Pascal;*;;;;;;;;;55.0
o;;;Horner Peter;**;;;;;;;8.5
+;5;8.5;Gartmann Mauro;;16;54.25;2;9.75;-3;1.25;10.0
o;5;18.5;Orlik Curdin;**;8;56.25;5;18.5;0;0.0;8.5
+;9;27.0;Schafflützel Patrick;;21;53.0;8;27.25;-1;0.25;9.75
o;10;36.75;Fässler Cornel;*;10;55.75;8;37.25;-2;0.5;8.5
+;12;45.25;Koch Reto;;18;53.75;12;45.25;0;0.0;9.75

13c;Mösli Reto;;;;;;;;;;55.0
+;;;Caflisch Stefan;;;;;;;;9.75
o;2;9.75;Landolt Reto;*;9;56.0;4;8.75;2;-1.0;8.5
o;6;18.25;Rüegg Fabian;;11;55.5;5;18.5;-1;0.25;8.5
+;10;26.75;Moseler Manuel (1999);;25;35.25;10;26.75;0;0.0;10.0
+;10;36.75;Grenci Mauro (1999);;16;54.25;14;35.75;4;-1.0;9.75
o;7;46.5;Jöhl Christian;;4;57.25;4;47.25;-3;0.75;8.5

13d;Akeret Benno;*;;;;;;;;;55.0
o;;;Inauen Andreas;*;;;;;;;8.5
o;5;8.5;Jöhl Christian;;4;57.25;2;9.75;-3;1.25;8.75
+;9;17.25;Riedi Thomas;;17;54.0;5;18.5;-4;1.25;9.75
o;9;27.0;Bleiker Reto;*;12;55.25;10;26.75;1;-0.25;8.5
+;15;35.5;Nägeli Roman;*;16;54.25;15;35.5;0;0.0;9.75
+;12;45.25;Mettler Florian (1997);;18;53.75;12;45.25;0;0.0;9.75

13e;Kessler Joel (1997);;;;;;;;;;55.0
-;;;Oertle Daniel;;;;;;;;8.75
-;4;8.75;Kammermann Dominik;;14;54.75;4;8.75;0;0.0;8.75
+;8;17.5;Litscher Manuel;;11;55.5;8;17.5;0;0.0;9.75
+;8;27.25;Schlegel Reto (1997);*;15;54.5;8;27.25;0;0.0;10.0
-;8;37.25;Orlik Curdin;**;8;56.25;8;37.25;0;0.0;9.0
o;8;46.25;Oertig Dominik;*;9;56.0;8;46.25;0;0.0;8.75

13f;Koller Fabian;;;;;;;;;;55.0
-;;;Schönenberger Philipp;;;;;;;;8.75
+;4;8.75;Sonderegger Damian (1997);;28;34.25;4;8.75;0;0.0;9.75
o;5;18.5;Knechtle Martin;**;13;55.0;8;17.5;3;-1.0;8.5
+;9;27.0;Bruhin Fredi (1997);;25;35.25;10;26.75;1;-0.25;9.75
o;10;36.75;Bäbler Sandro;**;11;55.5;10;36.75;0;0.0;8.5
+;12;45.25;Rütsche Werner;;18;53.75;12;45.25;0;0.0;9.75

13g;Inauen Aurel;;;;;;;;;;55.0
+;;;Raymann David;;;;;;;;9.75
o;2;9.75;Bernold Edi;**;12;55.25;5;8.5;3;-1.25;8.5
+;6;18.25;Bruhin Fredi (1997);;25;35.25;6;18.25;0;0.0;9.75
o;5;28.0;Höfliger Andreas;*;5;57.0;8;27.25;3;-0.75;8.5
+;11;36.5;Rieser Fabian;;21;53.0;14;35.75;3;-0.75;10.0
o;7;46.5;Steiner Michael;**;7;56.5;6;46.75;-1;0.25;8.5

13h;Dörig Erich;;;;;;;;;;55.0
-;;;Oetiker Ronny;;;;;;;;9.0
-;3;9.0;Pfister Florian;;16;54.25;5;8.5;2;-0.5;8.75
+;7;17.75;Buchmann Michael;;25;35.25;6;18.25;-1;0.5;10.0
o;6;27.75;Notz Armin;*;16;54.25;8;27.25;2;-0.5;8.75
+;11;36.5;Schlegel Reto (1997);*;15;54.5;13;36.0;2;-0.5;9.75
-;8;46.25;Jud Pirmin;*;14;54.75;9;46.0;1;-0.25;8.75

14a;Tanner Adrian;;;;;;;;;;54.75
-;;;Rieser Fabian;;;;;;;;8.75
+;4;8.75;Rütsche Werner;;18;53.75;5;8.5;1;-0.25;10.0
o;4;18.75;Peng Mike;***;9;56.0;9;17.25;5;-1.5;8.5
-;8;27.25;Lanter Christian (1998);;15;54.5;8;27.25;0;0.0;9.0
+;12;36.25;Castelli Fabio (1999);;17;54.0;9;37.0;-3;0.75;10.0
o;8;46.25;Odermatt Christoph;*;9;56.0;9;46.0;1;-0.25;8.5

14b;Kammermann Dominik;;;;;;;;;;54.75
-;;;Oettli Marco (1997);;;;;;;;8.75
-;4;8.75;Kessler Joel (1997);;13;55.0;4;8.75;0;0.0;8.75
+;8;17.5;Thiemann Fabrice;;26;34.75;8;17.5;0;0.0;9.75
-;8;27.25;Bäbler Dominik;*;15;54.5;9;27.0;1;-0.25;9.0
+;12;36.25;Jecklin Alexsandro (1998);;19;53.5;11;36.5;-1;0.25;10.0
o;8;46.25;Orlik Curdin;**;8;56.25;8;46.25;0;0.0;8.5

14c;Jud Pirmin;*;;;;;;;;;54.75
-;;;Hochholdinger Roman;**;;;;;;;8.75
o;4;8.75;Roth Martin;*;7;56.5;5;8.5;1;-0.25;8.5
+;9;17.25;Kamm Fritz (1999);;17;54.0;5;18.5;-4;1.25;10.0
+;8;27.25;Fuster Sepp (1997);;17;54.0;3;28.5;-5;1.25;10.0
-;8;37.25;Ackermann Remo;*;10;55.75;8;37.25;0;0.0;8.75
-;9;46.0;Dörig Erich;;13;55.0;8;46.25;-1;0.25;8.75

14d;Zbinden Marc;*;;;;;;;;;54.75
-;;;Gmür Pirmin;*;;;;;;;8.75
o;4;8.75;Fässler Cornel;*;10;55.75;5;8.5;1;-0.25;8.5
+;9;17.25;Rüegg Fabian;;11;55.5;5;18.5;-4;1.25;10.0
+;8;27.25;Koch Reto;;18;53.75;4;28.25;-4;1.0;10.0
-;8;37.25;Peng Mike;***;9;56.0;8;37.25;0;0.0;8.75
-;9;46.0;Manser Bruno;*;14;54.75;9;46.0;0;0.0;8.75

14e;Manser Bruno;*;;;;;;;;;54.75
-;;;Korrodi Paul;*;;;;;;;8.75
+;4;8.75;Wolfer Lukas;;18;53.75;2;9.75;-2;1.0;10.0
o;4;18.75;Büsser Andy;***;8;56.25;4;18.75;0;0.0;8.5
+;8;27.25;Schönenberger Philipp;;22;52.75;8;27.25;0;0.0;9.75
-;9;37.0;Bernold Christian;*;11;55.5;10;36.75;1;-0.25;9.0
-;9;46.0;Zbinden Marc;*;14;54.75;9;46.0;0;0.0;8.75

15a;Lanter Christian (1998);;;;;;;;;;54.5
+;;;Rütsche Werner;;;;;;;;10.0
o;1;10.0;Battaglia Ursin;**;12;55.25;5;8.5;4;-1.5;8.75
o;4;18.75;Schmid Dominik;*;10;55.75;6;18.25;2;-0.5;8.5
-;8;27.25;Tanner Adrian;;14;54.75;8;27.25;0;0.0;9.0
+;12;36.25;Koch Reto;;18;53.75;10;36.75;-2;0.5;9.75
o;9;46.0;Fontana Michael;;9;56.0;9;46.0;0;0.0;8.5

15b;Schlegel Reto (1997);*;;;;;;;;;54.5
+;;;Straub Robin;*;;;;;;;9.75
o;2;9.75;Fässler Andreas;**;5;57.0;4;8.75;2;-1.0;8.5
-;6;18.25;Oertle Daniel;;10;55.75;5;18.5;-1;0.25;9.0
o;8;27.25;Kessler Joel (1997);;13;55.0;8;27.25;0;0.0;8.75
o;13;36.0;Dörig Erich;;13;55.0;11;36.5;-2;0.5;8.5
+;15;44.5;Fröhli Lukas (1999);;20;53.25;14;44.75;-1;0.25;10.0

15c;Schiesser Patrik (1998);;;;;;;;;;54.5
o;;;Flütsch Marco (1999);;;;;;;;8.5
o;5;8.5;Schäppi Urs;;16;54.25;5;8.5;0;0.0;8.5
+;10;17.0;Frei Claude (1999);;28;34.25;10;17.0;0;0.0;10.0
-;9;27.0;Fröhli Lukas (1999);;20;53.25;9;27.0;0;0.0;9.0
+;13;36.0;Basler Siro;;22;52.75;14;35.75;1;-0.25;10.0
o;9;46.0;Streiff Dominik;;9;56.0;9;46.0;0;0.0;8.5

15d;Bäbler Dominik;*;;;;;;;;;54.5
o;;;Nägeli Roman;*;;;;;;;8.5
+;5;8.5;Jecklin Alexsandro (1998);;19;53.5;2;9.75;-3;1.25;10.0
o;5;18.5;Rychen Roger;**;6;56.75;5;18.5;0;0.0;8.5
-;9;27.0;Kammermann Dominik;;14;54.75;8;27.25;-1;0.25;9.0
+;13;36.0;Wolfer Lukas;;18;53.75;11;36.5;-2;0.5;10.0
o;9;46.0;Peng Mike;***;9;56.0;9;46.0;0;0.0;8.5

15e;Kamer Hanspeter;*;;;;;;;;;54.5
o;;;Schmid Dominik;*;;;;;;;8.75
+;4;8.75;Buchmann Michael;;25;35.25;2;9.75;-2;1.0;10.0
-;4;18.75;Streiff Dominik;;9;56.0;5;18.5;1;-0.25;8.75
o;7;27.5;Krähenbühl Tobias;**;10;55.75;8;27.25;1;-0.25;8.5
+;13;36.0;Biäsch Christian;;17;54.0;9;37.0;-4;1.0;10.0
o;9;46.0;Ackermann Remo;*;10;55.75;9;46.0;0;0.0;8.5

16a;Bernold Michael (1999);;;;;;;;;;54.25
+;;;Langenegger Beat (1997);;;;;;;;10.0
o;1;10.0;Orlik Curdin;**;8;56.25;4;8.75;3;-1.25;8.5
o;5;18.5;Mathis Patrick;;11;55.5;5;18.5;0;0.0;8.5
o;9;27.0;Wolfer Lukas;;18;53.75;10;26.75;1;-0.25;8.5
+;15;35.5;Candraja Kevin;;17;54.0;15;35.5;0;0.0;9.75
-;12;45.25;Gartmann Mauro;;16;54.25;12;45.25;0;0.0;9.0

16b;Notz Armin;*;;;;;;;;;54.25
-;;;Rüegg Roman;*;;;;;;;8.75
+;4;8.75;Grenci Mauro (1999);;16;54.25;1;10.0;-3;1.25;10.0
o;4;18.75;Kindlimann Fabian;***;5;57.0;5;18.5;1;-0.25;8.5
+;8;27.25;Dörig Erich;;13;55.0;6;27.75;-2;0.5;9.75
o;9;37.0;Gmür Pirmin;*;6;56.75;9;37.0;0;0.0;8.5
o;11;45.5;Hofstetter Manuel;*;10;55.75;9;46.0;-2;0.5;8.75

16c;Schäppi Urs;;;;;;;;;;54.25
o;;;Gartmann Mauro;;;;;;;;8.5
+;5;8.5;Schiesser Patrik (1998);;15;54.5;5;8.5;0;0.0;10.0
+;5;18.5;Güntensperger Marcel;*;27;34.5;8;17.5;3;-1.0;9.75
-;4;28.25;Bernold Christian;*;11;55.5;6;27.75;2;-0.5;9.0
o;8;37.25;Knechtle Martin;**;13;55.0;11;36.5;3;-0.75;8.5
o;10;45.75;Castelberg Marius;;10;55.75;10;45.75;0;0.0;8.5

16d;Koch Thomas (1997);;;;;;;;;;54.25
+;;;Rüegg Fabian;;;;;;;;10.0
o;1;10.0;Oertig Dominik;*;9;56.0;3;9.0;2;-1.0;8.75
o;4;18.75;Battaglia Ursin;**;12;55.25;6;18.25;2;-0.5;8.5
o;8;27.25;Streiff Dominik;;9;56.0;8;27.25;0;0.0;8.5
+;14;35.75;Flütsch Marco (1999);;19;53.5;11;36.5;-3;0.75;10.0
o;10;45.75;Krähenbühl Tobias;**;10;55.75;10;45.75;0;0.0;8.5

16e;Nägeli Roman;*;;;;;;;;;54.25
+;;;Bäbler Dominik;*;;;;;;;10.0
o;1;10.0;Orlik Armon;**;3;57.5;4;8.75;3;-1.25;8.5
o;5;18.5;Oettli Marco (1997);;10;55.75;4;18.75;-1;0.25;8.5
o;9;27.0;Coray Beda;*;10;55.75;9;27.0;0;0.0;8.5
o;15;35.5;Akeret Benno;*;13;55.0;15;35.5;0;0.0;8.75
+;16;44.25;Jecklin Alexsandro (1998);;19;53.5;13;45.0;-3;0.75;10.0

16f;Grenci Mauro (1999);;;;;;;;;;54.25
+;;;Scherrer Pascal;;;;;;;;10.0
o;1;10.0;Notz Armin;*;16;54.25;4;8.75;3;-1.25;8.5
-;5;18.5;Pianta Christian (1997);;12;55.25;5;18.5;0;0.0;8.75
o;8;27.25;Oertig Dominik;*;9;56.0;8;27.25;0;0.0;8.5
o;14;35.75;Mösli Reto;;13;55.0;10;36.75;-4;1.0;8.5
+;16;44.25;Schönenberger Philipp;;22;52.75;16;44.25;0;0.0;10.0

16g;Oetiker Ronny;;;;;;;;;;54.25
-;;;Dörig Erich;;;;;;;;8.75
-;4;8.75;Zingg Christoph;;27;34.5;5;8.5;1;-0.25;8.75
-;8;17.5;Raschle Adrian;;17;54.0;10;17.0;2;-0.5;8.75
+;11;26.25;Thiemann Fabrice;;26;34.75;12;26.0;1;-0.25;9.75
o;13;36.0;Litscher Manuel;;11;55.5;14;35.75;1;-0.25;8.5
+;15;44.5;Laager Andreas (1999);;21;53.0;15;44.5;0;0.0;9.75

16h;Gartmann Mauro;;;;;;;;;;54.25
+;;;Schäppi Urs;;;;;;;;9.75
o;2;9.75;Huber Pascal;*;13;55.0;5;8.5;3;-1.25;8.5
-;6;18.25;Horner Sämi;;17;54.0;6;18.25;0;0.0;8.75
+;9;27.0;Scherrer Pascal;;18;53.75;9;27.0;0;0.0;9.75
o;10;36.75;Holenstein Christian;*;6;56.75;9;37.0;-1;0.25;8.5
-;12;45.25;Bernold Michael (1999);;16;54.25;12;45.25;0;0.0;9.0

16i;Pfister Florian;;;;;;;;;;54.25
o;;;Bruhin Fredi (1997);;;;;;;;8.5
-;5;8.5;Dörig Erich;;13;55.0;3;9.0;-2;0.5;8.75
-;9;17.25;Castelberg Marius;;10;55.75;9;17.25;0;0.0;9.0
+;11;26.25;Wittenwiler Roman (1998);;27;34.5;12;26.0;1;-0.25;9.75
o;13;36.0;Hofstetter Manuel;*;10;55.75;13;36.0;0;0.0;8.5
+;15;44.5;Flütsch Marco (1999);;19;53.5;13;45.0;-2;0.5;9.75

17a;Riedi Thomas;;;;;;;;;;54.0
o;;;Mettler Florian (1997);;;;;;;;8.5
+;5;8.5;Frei Claude (1999);;28;34.25;5;8.5;0;0.0;10.0
o;5;18.5;Akeret Benno;*;13;55.0;9;17.25;4;-1.25;8.5
+;9;27.0;Bürki Patrik (1999);;18;53.75;9;27.0;0;0.0;10.0
o;9;37.0;Plump Martin;*;11;55.5;9;37.0;0;0.0;8.5
o;11;45.5;Pfiffner Ivo;;11;55.5;11;45.5;0;0.0;8.5

17b;Caflisch Stefan;;;;;;;;;;54.0
o;;;Mösli Reto;;;;;;;;8.5
+;5;8.5;Raschle Adrian;;17;54.0;5;8.5;0;0.0;10.0
o;5;18.5;Bernold Christian;*;11;55.5;7;17.75;2;-0.75;8.5
+;9;27.0;Leuzinger Beny (1999);;23;52.5;9;27.0;0;0.0;10.0
o;9;37.0;Schmid Dominik;*;10;55.75;10;36.75;1;-0.25;8.5
o;11;45.5;Inauen Andreas;*;11;55.5;11;45.5;0;0.0;8.5

17c;Straub Paul;;;;;;;;;;54.0
-;;;Castelberg Marius;;;;;;;;8.75
+;4;8.75;Jörger Marc;;22;52.75;4;8.75;0;0.0;10.0
o;4;18.75;Bäbler Sandro;**;11;55.5;6;18.25;2;-0.5;8.5
o;8;27.25;Oertle Daniel;;10;55.75;7;27.5;-1;0.25;8.5
+;14;35.75;Preisig Pascal;;21;53.0;14;35.75;0;0.0;9.75
o;11;45.5;Rüegg Roman;*;11;55.5;10;45.75;-1;0.25;8.5

17d;Raschle Adrian;;;;;;;;;;54.0
o;;;Preisig Pascal;;;;;;;;8.5
o;5;8.5;Caflisch Stefan;;17;54.0;5;8.5;0;0.0;8.5
-;10;17.0;Oetiker Ronny;;16;54.25;8;17.5;-2;0.5;8.75
+;13;25.75;Sonderegger Damian (1997);;28;34.25;13;25.75;0;0.0;10.0
+;14;35.75;Scherrer Pascal;;18;53.75;15;35.5;1;-0.25;9.75
o;11;45.5;Sprecher Sandro;*;11;55.5;11;45.5;0;0.0;8.5

17e;Horner Sämi;;;;;;;;;;54.0
+;;;Raschle Simon (1999);;;;;;;;9.75
o;2;9.75;Straub Robin;*;17;54.0;5;8.5;3;-1.25;8.5
-;6;18.25;Gartmann Mauro;;16;54.25;6;18.25;0;0.0;8.75
o;9;27.0;Raymann David;;12;55.25;9;27.0;0;0.0;8.5
-;15;35.5;Scherrer Willi;;17;54.0;15;35.5;0;0.0;8.75
+;16;44.25;Basler Siro;;22;52.75;16;44.25;0;0.0;9.75

17f;Kamm Fritz (1999);;;;;;;;;;54.0
+;;;Klee Sandro (1999);;;;;;;;10.0
o;1;10.0;Flütsch Marco (1999);;19;53.5;2;9.75;1;-0.25;8.5
o;5;18.5;Jud Pirmin;*;14;54.75;9;17.25;4;-1.25;8.5
+;9;27.0;Eisenring Daniel (1997);;25;35.25;10;26.75;1;-0.25;10.0
o;9;37.0;Oettli Marco (1997);;10;55.75;8;37.25;-1;0.25;8.5
o;11;45.5;Mathis Patrick;;11;55.5;11;45.5;0;0.0;8.5

17g;Candraja Kevin;;;;;;;;;;54.0
-;;;Scherrer Willi;;;;;;;;8.75
o;4;8.75;Oertle Daniel;;10;55.75;4;8.75;0;0.0;8.5
+;9;17.25;Schläpfer Ramon (1999);;29;34.0;10;17.0;1;-0.25;9.75
o;9;27.0;Gmür Pirmin;*;6;56.75;9;27.0;0;0.0;8.5
o;15;35.5;Bernold Michael (1999);;16;54.25;15;35.5;0;0.0;8.5
+;17;44.0;Leuzinger Beny (1999);;23;52.5;17;44.0;0;0.0;10.0

17h;Ruof Christof;;;;;;;;;;54.0
+;;;Wolfender Roman;;;;;;;;10.0
-;1;10.0;Güntensperger Marcel;*;27;34.5;4;8.75;3;-1.25;8.75
+;4;18.75;Coray Beda;*;10;55.75;5;18.5;1;-0.25;9.75
o;3;28.5;Schnyder Christian;;12;55.25;3;28.5;0;0.0;8.5
o;9;37.0;Nägeli Marco;*;9;56.0;6;37.75;-3;0.75;8.5
o;11;45.5;Raymann David;;12;55.25;12;45.25;1;-0.25;8.5

17i;Biäsch Christian;;;;;;;;;;54.0
o;;;Wolfer Lukas;;;;;;;;8.5
+;5;8.5;Eisenring Daniel (1997);;25;35.25;5;8.5;0;0.0;9.75
-;6;18.25;Hofstetter Manuel;*;10;55.75;9;17.25;3;-1.0;8.75
+;9;27.0;Raschle Simon (1999);;25;35.25;10;26.75;1;-0.25;10.0
o;9;37.0;Kamer Hanspeter;*;15;54.5;13;36.0;4;-1.0;8.5
o;11;45.5;Litscher Manuel;;11;55.5;10;45.75;-1;0.25;8.5

17j;Straub Robin;*;;;;;;;;;54.0
o;;;Schlegel Reto (1997);*;;;;;;;8.5
+;5;8.5;Horner Sämi;;17;54.0;2;9.75;-3;1.25;9.75
-;6;18.25;Landolt Reto;*;9;56.0;4;18.75;-2;0.5;8.75
+;9;27.0;Oertig Simon;;12;55.25;8;27.25;-1;0.25;9.75
-;10;36.75;Fontana Michael;;9;56.0;9;37.0;-1;0.25;8.75
o;11;45.5;Bernold Christian;*;11;55.5;10;45.75;-1;0.25;8.5

17k;Scherrer Willi;;;;;;;;;;54.0
-;;;Candraja Kevin;;;;;;;;8.75
+;4;8.75;Castelberg Marius;;10;55.75;4;8.75;0;0.0;9.75
o;5;18.5;Fässler Cornel;*;10;55.75;5;18.5;0;0.0;8.5
o;9;27.0;Fontana Michael;;9;56.0;8;27.25;-1;0.25;8.5
-;15;35.5;Horner Sämi;;17;54.0;15;35.5;0;0.0;8.75
+;16;44.25;Schafflützel Patrick;;21;53.0;15;44.5;-1;0.25;9.75

17l;Castelli Fabio (1999);;;;;;;;;;54.0
+;;;Kirchmeier Christof (1999);;;;;;;;10.0
+;1;10.0;Schafflützel Patrick;;21;53.0;1;10.0;0;0.0;10.0
o;1;20.0;Holenstein Christian;*;6;56.75;5;18.5;4;-1.5;8.5
o;3;28.5;Steiner Michael;**;7;56.5;5;28.0;2;-0.5;8.5
o;9;37.0;Tanner Adrian;;14;54.75;12;36.25;3;-0.75;8.5
o;11;45.5;Pianta Christian (1997);;12;55.25;11;45.5;0;0.0;8.5

17m;Fuster Sepp (1997);;;;;;;;;;54.0
+;;;Koller Andreas (1998);;;;;;;;10.0
o;1;10.0;Gmür Pirmin;*;6;56.75;4;8.75;3;-1.25;8.5
+;5;18.5;Wolfer Lukas;;18;53.75;6;18.25;1;-0.25;10.0
o;3;28.5;Jud Pirmin;*;14;54.75;8;27.25;5;-1.25;8.5
o;9;37.0;Coray Beda;*;10;55.75;9;37.0;0;0.0;8.5
o;11;45.5;Oertig Simon;;12;55.25;11;45.5;0;0.0;8.5

18a;Bürki Patrik (1999);;;;;;;;;;53.75
+;;;Laager Andreas (1999);;;;;;;;9.75
o;2;9.75;Schnyder Christian;;12;55.25;1;10.0;-1;0.25;8.5
-;6;18.25;Schafflützel Patrick;;21;53.0;5;18.5;-1;0.25;8.75
o;9;27.0;Riedi Thomas;;17;54.0;9;27.0;0;0.0;8.5
+;15;35.5;Leuzinger Beny (1999);;23;52.5;15;35.5;0;0.0;9.75
o;12;45.25;Bleiker Reto;*;12;55.25;12;45.25;0;0.0;8.5

18b;Rütsche Werner;;;;;;;;;;53.75
o;;;Lanter Christian (1998);;;;;;;;8.5
o;5;8.5;Tanner Adrian;;14;54.75;4;8.75;-1;0.25;8.5
+;10;17.0;Koller Andreas (1998);;28;34.25;10;17.0;0;0.0;9.75
+;10;26.75;Buchmann Michael;;25;35.25;10;26.75;0;0.0;10.0
o;10;36.75;Battaglia Ursin;**;12;55.25;10;36.75;0;0.0;8.5
o;12;45.25;Koller Fabian;;13;55.0;12;45.25;0;0.0;8.5

18c;Castelberg Andri;;;;;;;;;;53.75
o;;;Buchmann Michael;;;;;;;;8.5
+;5;8.5;Schläpfer Ramon (1999);;29;34.0;5;8.5;0;0.0;9.75
o;6;18.25;Krähenbühl Tobias;**;10;55.75;9;17.25;3;-1.0;8.5
+;10;26.75;Zingg Christoph;;27;34.5;12;26.0;2;-0.75;9.75
o;11;36.5;Oertig Simon;;12;55.25;14;35.75;3;-0.75;8.5
-;13;45.0;Wolfer Lukas;;18;53.75;13;45.0;0;0.0;8.75

18d;Mettler Florian (1997);;;;;;;;;;53.75
+;;;Riedi Thomas;;;;;;;;9.75
o;2;9.75;Rychen Roger;**;6;56.75;5;8.5;3;-1.25;8.5
o;6;18.25;Jecklin Alexsandro (1998);;19;53.5;6;18.25;0;0.0;8.5
+;10;26.75;Preisig Pascal;;21;53.0;9;27.0;-1;0.25;10.0
o;10;36.75;Roth Martin;*;7;56.5;10;36.75;0;0.0;8.5
o;12;45.25;Akeret Benno;*;13;55.0;12;45.25;0;0.0;8.5

18e;Scherrer Pascal;;;;;;;;;;53.75
o;;;Grenci Mauro (1999);;;;;;;;8.5
+;5;8.5;Laager Andreas (1999);;21;53.0;5;8.5;0;0.0;10.0
o;5;18.5;Schweizer Christof;*;24;45.75;5;18.5;0;0.0;8.5
o;9;27.0;Gartmann Mauro;;16;54.25;9;27.0;0;0.0;8.5
o;15;35.5;Raschle Adrian;;17;54.0;14;35.75;-1;0.25;8.5
+;17;44.0;Jörger Marc;;22;52.75;16;44.25;-1;0.25;9.75

18f;Wolfer Lukas;;;;;;;;;;53.75
+;;;Biäsch Christian;;;;;;;;9.75
o;2;9.75;Manser Bruno;*;14;54.75;4;8.75;2;-1.0;8.5
o;6;18.25;Fuster Sepp (1997);;17;54.0;5;18.5;-1;0.25;8.5
+;10;26.75;Bernold Michael (1999);;16;54.25;9;27.0;-1;0.25;9.75
o;11;36.5;Bäbler Dominik;*;15;54.5;13;36.0;2;-0.5;8.5
-;13;45.0;Castelberg Andri;;18;53.75;13;45.0;0;0.0;8.75

18g;Koch Reto;;;;;;;;;;53.75
+;;;Litscher Manuel;;;;;;;;9.75
o;2;9.75;Plump Martin;*;11;55.5;4;8.75;2;-1.0;8.5
+;6;18.25;Fröhli Lukas (1999);;20;53.25;5;18.5;-1;0.25;10.0
o;4;28.25;Zbinden Marc;*;14;54.75;8;27.25;4;-1.0;8.5
o;10;36.75;Lanter Christian (1998);;15;54.5;12;36.25;2;-0.5;8.5
o;12;45.25;Huber Pascal;*;13;55.0;12;45.25;0;0.0;8.5

19a;Jecklin Alexsandro (1998);;;;;;;;;;53.5
+;;;Eisenring Daniel (1997);;;;;;;;9.75
o;2;9.75;Bäbler Dominik;*;15;54.5;5;8.5;3;-1.25;8.5
+;6;18.25;Mettler Florian (1997);;18;53.75;6;18.25;0;0.0;9.75
o;5;28.0;Jöhl Christian;;4;57.25;3;28.5;-2;0.5;8.5
o;11;36.5;Kammermann Dominik;;14;54.75;12;36.25;1;-0.25;8.5
o;13;45.0;Nägeli Roman;*;16;54.25;16;44.25;3;-0.75;8.5

19b;Flütsch Marco (1999);;;;;;;;;;53.5
+;;;Schiesser Patrik (1998);;;;;;;;9.75
+;2;9.75;Kamm Fritz (1999);;17;54.0;1;10.0;-1;0.25;9.75
o;3;19.5;Ackermann Remo;*;10;55.75;5;18.5;2;-1.0;8.5
o;5;28.0;Odermatt Christoph;*;9;56.0;7;27.5;2;-0.5;8.5
o;11;36.5;Koch Thomas (1997);;16;54.25;14;35.75;3;-0.75;8.5
o;13;45.0;Pfister Florian;;16;54.25;15;44.5;2;-0.5;8.5

20a;Fröhli Lukas (1999);;;;;;;;;;53.25
+;;;Leuzinger Beny (1999);;;;;;;;10.0
o;1;10.0;Sprecher Sandro;*;11;55.5;4;8.75;3;-1.25;8.5
o;5;18.5;Koch Reto;;18;53.75;6;18.25;1;-0.25;8.5
-;9;27.0;Schiesser Patrik (1998);;15;54.5;9;27.0;0;0.0;9.0
-;13;36.0;Schafflützel Patrick;;21;53.0;14;35.75;1;-0.25;8.75
