3147-2015-05-25_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;**;;;;;;;;;58.25
o;;;Notz Beni;***;;;;;;;8.5
+;5;8.5;Mettler Florian (1997);;18;53.75;2;9.75;-3;1.25;10.0
+;5;18.5;Bäbler Dominik;*;15;54.5;5;18.5;0;0.0;10.0
+;3;28.5;Battaglia Ursin;**;12;55.25;4;28.25;1;-0.25;10.0
o;3;38.5;Glaus Martin;***;2;58.0;1;39.5;-2;1.0;8.5
+;5;47.0;Bernold Edi;**;12;55.25;6;46.75;1;-0.25;9.75

7a;Roth Martin;*;;;;;;;;;56.5
o;;;Coray Beda;*;;;;;;;8.5
+;5;8.5;Jud Pirmin;*;14;54.75;4;8.75;-1;0.25;9.75
+;6;18.25;Rieser Fabian;;21;53.0;4;18.75;-2;0.5;10.0
o;4;28.25;Forrer Arnold;***;6;56.75;8;27.25;4;-1.0;8.5
+;10;36.75;Mettler Florian (1997);;18;53.75;10;36.75;0;0.0;10.0
+;6;46.75;Battaglia Ursin;**;12;55.25;6;46.75;0;0.0;9.75

7b;Steiner Michael;**;;;;;;;;;56.5
+;;;Bleiker Reto;*;;;;;;;9.75
o;2;9.75;Glaus Martin;***;2;58.0;1;10.0;-1;0.25;8.5
+;6;18.25;Pfiffner Ivo;;11;55.5;4;18.75;-2;0.5;9.75
+;5;28.0;Castelli Fabio (1999);;17;54.0;3;28.5;-2;0.5;10.0
-;5;38.0;Leuppi Samir;**;12;55.25;6;37.75;1;-0.25;8.75
+;6;46.75;Inauen Aurel;;13;55.0;7;46.5;1;-0.25;9.75

7c;Signer Emil;**;;;;;;;;;56.5
-;;;Orlik Curdin;**;;;;;;;8.75
+;4;8.75;Oertig Simon;;12;55.25;1;10.0;-3;1.25;9.75
+;5;18.5;Gmür Pirmin;*;6;56.75;5;18.5;0;0.0;9.75
o;4;28.25;Kindlimann Fabian;***;5;57.0;4;28.25;0;0.0;8.5
+;10;36.75;Rüegg Fabian;;11;55.5;10;36.75;0;0.0;9.75
+;7;46.5;Schnyder Christian;;12;55.25;6;46.75;-1;0.25;10.0

8a;Büsser Andy;***;;;;;;;;;56.25
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;4;8.75;Inauen Andreas;*;11;55.5;1;10.0;-3;1.25;10.0
+;4;18.75;Manser Bruno;*;14;54.75;4;18.75;0;0.0;10.0
-;2;28.75;Nägeli Marco;*;9;56.0;2;28.75;0;0.0;9.0
+;6;37.75;Krähenbühl Tobias;**;10;55.75;8;37.25;2;-0.5;9.75
-;3;47.5;Fässler Cornel;*;10;55.75;5;47.0;2;-0.5;8.75

8b;Orlik Curdin;**;;;;;;;;;56.25
-;;;Signer Emil;**;;;;;;;8.75
+;4;8.75;Bernold Michael (1999);;16;54.25;1;10.0;-3;1.25;9.75
+;5;18.5;Huber Pascal;*;13;55.0;5;18.5;0;0.0;9.75
-;4;28.25;Fässler Cornel;*;10;55.75;4;28.25;0;0.0;9.0
-;8;37.25;Kessler Joel (1997);;13;55.0;8;37.25;0;0.0;9.0
+;8;46.25;Kammermann Dominik;;14;54.75;8;46.25;0;0.0;10.0

9a;Odermatt Christoph;*;;;;;;;;;56.0
-;;;Bernold Christian;*;;;;;;;9.0
o;3;9.0;Riget Tobias;**;5;57.0;4;8.75;1;-0.25;8.5
+;8;17.5;Leuzinger Beny (1999);;23;52.5;5;18.5;-3;1.0;10.0
+;7;27.5;Flütsch Marco (1999);;19;53.5;5;28.0;-2;0.5;10.0
o;7;37.5;Forrer Arnold;***;6;56.75;9;37.0;2;-0.5;8.5
+;9;46.0;Tanner Adrian;;14;54.75;8;46.25;-1;0.25;10.0

9b;Landolt Reto;*;;;;;;;;;56.0
-;;;Plump Martin;*;;;;;;;8.75
+;4;8.75;Mösli Reto;;13;55.0;2;9.75;-2;1.0;10.0
-;4;18.75;Straub Robin;*;17;54.0;6;18.25;2;-0.5;8.75
+;7;27.5;Pfiffner Ivo;;11;55.5;8;27.25;1;-0.25;9.75
+;8;37.25;Inauen Andreas;*;11;55.5;9;37.0;1;-0.25;9.75
-;5;47.0;Schmid Dominik;*;10;55.75;6;46.75;1;-0.25;9.0

9c;Fontana Michael;;;;;;;;;;56.0
o;;;Corvi Dominik;;;;;;;;8.5
+;5;8.5;Langenegger Beat (1997);;28;34.25;5;8.5;0;0.0;10.0
-;5;18.5;Bernold Edi;**;12;55.25;6;18.25;1;-0.25;8.75
+;8;27.25;Scherrer Willi;;17;54.0;9;27.0;1;-0.25;9.75
-;9;37.0;Straub Robin;*;17;54.0;10;36.75;1;-0.25;9.0
+;9;46.0;Lanter Christian (1998);;15;54.5;9;46.0;0;0.0;10.0

9d;Oertig Dominik;*;;;;;;;;;56.0
-;;;Nägeli Marco;*;;;;;;;9.0
+;3;9.0;Koch Thomas (1997);;16;54.25;1;10.0;-2;1.0;9.75
o;4;18.75;Fässler Andreas;**;5;57.0;4;18.75;0;0.0;8.5
+;8;27.25;Grenci Mauro (1999);;16;54.25;8;27.25;0;0.0;10.0
-;8;37.25;Streiff Dominik;;9;56.0;9;37.0;1;-0.25;9.0
+;8;46.25;Kessler Joel (1997);;13;55.0;8;46.25;0;0.0;9.75

9e;Streiff Dominik;;;;;;;;;;56.0
+;;;Zingg Christoph;;;;;;;;9.75
-;2;9.75;Krähenbühl Tobias;**;10;55.75;5;8.5;3;-1.25;8.75
-;5;18.5;Kamer Hanspeter;*;15;54.5;4;18.75;-1;0.25;8.75
+;8;27.25;Koch Thomas (1997);;16;54.25;8;27.25;0;0.0;9.75
-;9;37.0;Oertig Dominik;*;9;56.0;8;37.25;-1;0.25;9.0
+;9;46.0;Schiesser Patrik (1998);;15;54.5;9;46.0;0;0.0;10.0

9f;Nägeli Marco;*;;;;;;;;;56.0
-;;;Oertig Dominik;*;;;;;;;9.0
+;3;9.0;Bernold Christian;*;11;55.5;3;9.0;0;0.0;9.75
+;4;18.75;Jöhl Christian;;4;57.25;2;19.75;-2;1.0;10.0
-;2;28.75;Büsser Andy;***;8;56.25;2;28.75;0;0.0;9.0
+;6;37.75;Ruof Christof;;17;54.0;9;37.0;3;-0.75;9.75
o;3;47.5;Fässler Andreas;**;5;57.0;4;47.25;1;-0.25;8.5

9g;Peng Mike;***;;;;;;;;;56.0
o;;;Glaus Martin;***;;;;;;;8.5
-;5;8.5;Holenstein Christian;*;6;56.75;2;9.75;-3;1.25;8.75
+;9;17.25;Tanner Adrian;;14;54.75;4;18.75;-5;1.5;10.0
+;8;27.25;Schmid Dominik;*;10;55.75;4;28.25;-4;1.0;10.0
-;8;37.25;Zbinden Marc;*;14;54.75;8;37.25;0;0.0;8.75
+;9;46.0;Bäbler Dominik;*;15;54.5;9;46.0;0;0.0;10.0

10a;Coray Beda;*;;;;;;;;;55.75
+;;;Roth Martin;*;;;;;;;9.75
