2951-2017-08-20_18_Schwaegalp-Schwinget-ST

1a;Bösch Daniel;***;;;;;;;;;58.75
+;8;27.25;Geisser Lars;**;21;36.5;6;28.0;-2;0.75;10.0
+;7;37.25;Schneider Mario;**;16;54.0;9;36.75;2;-0.5;10.0
+;4;47.25;Eugster Ruedi;**;14;54.5;8;46.0;4;-1.25;9.75

5a;Gottofrey Marc;**;;;;;;;;;56.75
+;;;Schneider Mario;**;;;;;;;9.75
+;2;9.75;Kuster Marcel;***;11;55.25;2;9.75;0;0.0;10.0
o;2;19.75;Orlik Armon;***;2;58.25;3;19.5;1;-0.25;8.5
+;5;28.25;Baumann Rico;*;12;55.0;5;28.25;0;0.0;10.0
o;3;38.25;Bösch Daniel;***;1;58.75;1;38.75;-2;0.5;8.5
+;6;46.75;Roth Martin;*;14;54.5;8;46.0;2;-0.75;10.0

6a;Gnägi Florian;***;;;;;;;;;56.5
+;;;Rychen Roger;***;;;;;;;9.75
o;2;9.75;Bösch Daniel;***;1;58.75;1;10.0;-1;0.25;8.5
+;6;18.25;Dändliker Shane;*;14;54.5;4;18.75;-2;0.5;9.75
+;6;28.0;Nägeli Marco;**;10;55.5;5;28.25;-1;0.25;10.0
-;4;38.0;Leuppi Samir;**;7;56.25;5;37.75;1;-0.25;8.75
+;6;46.75;Notz Beni;***;14;54.5;8;46.0;2;-0.75;9.75

6b;Schmid Dominik;**;;;;;;;;;56.5
+;;;Brodard Augustin;**;;;;;;;9.75
o;2;9.75;Schenk Patrick;***;4;57.0;4;8.5;2;-1.25;8.5
+;6;18.25;Weyermann Florian;*;9;55.75;5;18.5;-1;0.25;10.0
o;5;28.25;Roth Dominik;**;13;54.75;7;27.5;2;-0.75;8.5
+;9;36.75;Schenkel Remo;*;9;55.75;8;37.0;-1;0.25;9.75
+;7;46.5;Kramer Lario;**;9;55.75;5;47.0;-2;0.5;10.0

6c;Gerber Christian;**;;;;;;;;;56.5
o;;;Leuppi Samir;**;;;;;;;8.5
+;4;8.5;Zbinden Marc;*;18;53.25;3;8.75;-1;0.25;10.0
+;5;18.5;Krähenbühl Tobias;***;24;34.5;7;17.5;2;-1.0;9.75
+;5;28.25;Burkhalter Stefan;***;13;54.75;7;27.5;2;-0.75;9.75
o;4;38.0;Anderegg Simon;***;7;56.25;4;38.0;0;0.0;8.5
+;7;46.5;Schlegel Reto;*;11;55.25;6;46.75;-1;0.25;10.0

7a;Schneider Domenic;***;;;;;;;;;56.25
+;;;Roschi Ruedi;**;;;;;;;9.75
o;2;9.75;Orlik Armon;***;2;58.25;2;9.75;0;0.0;8.5
+;6;18.25;Gobeli Patrick;*;14;54.5;2;19.75;-4;1.5;9.75
o;6;28.0;Kramer Lario;**;9;55.75;3;28.75;-3;0.75;8.75
+;9;36.75;Moser Steven;**;13;54.75;6;37.5;-3;0.75;9.75
+;7;46.5;Borcard Johann;**;11;55.25;6;46.75;-1;0.25;9.75

7b;Anderegg Simon;***;;;;;;;;;56.25
o;;;Bösch Daniel;***;;;;;;;8.5
+;4;8.5;Landolt Reto;*;15;54.25;1;10.0;-3;1.5;10.0
+;5;18.5;Piemontesi Pascal;**;13;54.75;5;18.5;0;0.0;9.75
+;5;28.25;Bless Michael;***;4;57.0;4;28.5;-1;0.25;9.75
+;4;38.0;Gerber Christian;**;6;56.5;4;38.0;0;0.0;9.75
o;3;47.75;Orlik Armon;***;2;58.25;2;48.25;-1;0.5;8.5

7c;Leuppi Samir;**;;;;;;;;;56.25
+;;;Gerber Christian;**;;;;;;;9.75
+;2;9.75;Schenkel Remo;*;9;55.75;2;9.75;0;0.0;9.75
o;3;19.5;Bösch Daniel;***;1;58.75;1;20.0;-2;0.5;8.5
+;6;28.0;Oettli Marco;*;16;54.0;6;28.0;0;0.0;9.75
-;5;37.75;Gnägi Florian;***;6;56.5;4;38.0;-1;0.25;8.75
+;7;46.5;Wittwer Jan;*;14;54.5;8;46.0;1;-0.5;9.75

8a;Schlegel Sandro;**;;;;;;;;;56.0
+;;;Wittwer Josias;*;;;;;;;10.0
o;1;10.0;Giger Samuel;***;4;57.0;3;8.75;2;-1.25;8.5
-;5;18.5;Roth Dominik;**;13;54.75;5;18.5;0;0.0;9.0
o;7;27.5;Wittwer Jan;*;14;54.5;8;27.25;1;-0.25;8.5
+;11;36.0;Ott Damian (2000);*;20;52.75;13;35.5;2;-0.5;10.0
+;8;46.0;Mathys Simon;**;12;55.0;7;46.5;-1;0.5;10.0

9a;Kramer Lario;**;;;;;;;;;55.75
+;;;Battaglia Ursin;**;;;;;;;10.0
o;1;10.0;Hersche Martin;***;27;19.5;2;9.75;1;-0.25;8.75
+;4;18.75;Landolt Reto;*;15;54.25;5;18.5;1;-0.25;10.0
+;3;28.75;Schneider Domenic;***;7;56.25;6;28.0;3;-0.75;9.75
o;2;38.5;Orlik Armon;***;2;58.25;3;38.25;1;-0.25;8.5
o;5;47.0;Schmid Dominik;**;6;56.5;7;46.5;2;-0.5;8.75

9b;Weyermann Florian;*;;;;;;;;;55.75
+;;;Giger Urs;*;;;;;;;10.0
o;1;10.0;Bless Michael;***;4;57.0;4;8.5;3;-1.5;8.5
o;5;18.5;Schmid Dominik;**;6;56.5;6;18.25;1;-0.25;8.5
+;9;27.0;Elmer Daniel;*;22;35.25;10;26.75;1;-0.25;10.0
-;8;37.0;Roth Martin;*;14;54.5;7;37.25;-1;0.25;8.75
+;9;45.75;Steiner Michael;**;15;54.25;9;45.75;0;0.0;10.0

9c;Schenkel Remo;*;;;;;;;;;55.75
+;;;Gwerder Andreas;**;;;;;;;9.75
o;2;9.75;Leuppi Samir;**;7;56.25;2;9.75;0;0.0;8.75
o;5;18.5;Bless Michael;***;4;57.0;5;18.5;0;0.0;8.5
+;9;27.0;Schmid Patrick;*;22;35.25;10;26.75;1;-0.25;10.0
o;8;37.0;Schmid Dominik;**;6;56.5;9;36.75;1;-0.25;8.75
+;9;45.75;Pfister Florian;*;15;54.25;10;45.5;1;-0.25;10.0

9d;Kindlimann Fabian;***;;;;;;;;;55.75
+;;;Luginbühl Hanspeter;**;;;;;;;10.0
-;1;10.0;Sempach Thomas;***;4;57.0;2;9.75;1;-0.25;8.75
+;4;18.75;von Weissenfluh Kilian;**;9;55.75;4;18.75;0;0.0;9.75
-;4;28.5;Roschi Ruedi;**;10;55.5;4;28.5;0;0.0;8.75
+;7;37.25;Dind Samuel;**;10;55.5;8;37.0;1;-0.25;10.0
o;4;47.25;Aeschbacher Matthias;**;3;57.5;3;47.75;-1;0.5;8.5

9e;von Weissenfluh Kilian;**;;;;;;;;;55.75
-;;;Krähenbühl Tobias;***;;;;;;;8.75
+;3;8.75;Ott Damian (2000);*;20;52.75;2;9.75;-1;1.0;10.0
o;4;18.75;Kindlimann Fabian;***;9;55.75;4;18.75;0;0.0;8.5
+;8;27.25;Jöhl Christian;*;16;54.0;9;27.0;1;-0.25;10.0
+;7;37.25;Dändliker Shane;*;14;54.5;7;37.25;0;0.0;10.0
o;4;47.25;Giger Samuel;***;4;57.0;4;47.25;0;0.0;8.5

10a;Luginbühl Hanspeter;**;;;;;;;;;55.5
o;;;Kindlimann Fabian;***;;;;;;;8.5
+;4;8.5;Schlegel Reto;*;11;55.25;2;9.75;-2;1.25;9.75
-;6;18.25;Eugster Ruedi;**;14;54.5;5;18.5;-1;0.25;8.75
+;9;27.0;Dumelin David;*;22;35.25;10;26.75;1;-0.25;10.0
+;8;37.0;Baumann Rico;*;12;55.0;9;36.75;1;-0.25;9.75
-;6;46.75;Rychen Roger;***;10;55.5;6;46.75;0;0.0;8.75

10b;Nägeli Marco;**;;;;;;;;;55.5
+;;;Duplan Steve;**;;;;;;;9.75
+;2;9.75;Roch Vincent;**;28;18.5;1;10.0;-1;0.25;10.0
o;2;19.75;Aeschbacher Matthias;**;3;57.5;4;18.75;2;-1.0;8.5
o;5;28.25;Gnägi Florian;***;6;56.5;6;28.0;1;-0.25;8.5
+;9;36.75;Gobeli Patrick;*;14;54.5;8;37.0;-1;0.25;9.75
-;7;46.5;Reusser Philipp;***;12;55.0;8;46.0;1;-0.5;9.0

10c;Roschi Ruedi;**;;;;;;;;;55.5
o;;;Schneider Domenic;***;;;;;;;8.5
+;4;8.5;Oettli Marco;*;16;54.0;2;9.75;-2;1.25;10.0
+;5;18.5;Ammann Rico;*;22;35.25;6;18.25;1;-0.25;10.0
-;4;28.5;Kindlimann Fabian;***;9;55.75;4;28.5;0;0.0;8.75
+;7;37.25;Giger Urs;*;12;55.0;9;36.75;2;-0.5;9.75
o;5;47.0;Bless Michael;***;4;57.0;5;47.0;0;0.0;8.5

10d;Dind Samuel;**;;;;;;;;;55.5
o;;;Kuster Marcel;***;;;;;;;8.5
+;4;8.5;Bäbler Dominik;*;24;34.5;3;8.75;-1;0.25;9.75
+;6;18.25;Elmer Daniel;*;22;35.25;6;18.25;0;0.0;10.0
-;5;28.25;Roth Martin;*;14;54.5;4;28.5;-1;0.25;8.75
o;8;37.0;Kindlimann Fabian;***;9;55.75;7;37.25;-1;0.25;8.5
+;10;45.5;Oettli Marco;*;16;54.0;10;45.5;0;0.0;10.0

10e;Rychen Roger;***;;;;;;;;;55.5
o;;;Gnägi Florian;***;;;;;;;8.5
+;4;8.5;Urfer Simon;*;18;53.25;1;10.0;-3;1.5;10.0
+;5;18.5;Steffen Konrad;*;13;54.75;4;18.75;-1;0.25;9.75
+;5;28.25;Kuster Thomas;*;17;53.75;6;28.0;1;-0.25;10.0
o;3;38.25;Sempach Thomas;***;4;57.0;3;38.25;0;0.0;8.5
-;6;46.75;Luginbühl Hanspeter;**;10;55.5;6;46.75;0;0.0;8.75

11a;Kuster Marcel;***;;;;;;;;;55.25
+;;;Dind Samuel;**;;;;;;;9.75
o;2;9.75;Gottofrey Marc;**;5;56.75;2;9.75;0;0.0;8.5
-;6;18.25;Wittwer Jan;*;14;54.5;5;18.5;-1;0.25;8.75
-;9;27.0;Gobeli Patrick;*;14;54.5;5;28.25;-4;1.25;8.75
+;12;35.75;Arztmann Beda;*;19;53.0;12;35.75;0;0.0;9.75
+;10;45.5;Bernold Christian;**;15;54.25;9;45.75;-1;0.25;9.75

11b;Borcard Johann;**;;;;;;;;;55.25
-;;;Kid Simon;**;;;;;;;8.75
+;3;8.75;Schneider Mario;**;16;54.0;4;8.5;1;-0.25;9.75
-;5;18.5;Koller Martin;*;23;34.75;7;17.5;2;-1.0;8.75
+;8;27.25;Krähenbühl Tobias;***;24;34.5;12;26.0;4;-1.25;9.75
+;8;37.0;Kuster Thomas;*;17;53.75;10;36.5;2;-0.5;9.75
o;6;46.75;Schneider Domenic;***;7;56.25;7;46.5;1;-0.25;8.5

11c;Schlegel Reto;*;;;;;;;;;55.25
+;;;Schudel Simon;*;;;;;;;9.75
o;2;9.75;Luginbühl Hanspeter;**;10;55.5;4;8.5;2;-1.25;8.5
+;6;18.25;Odermatt Christoph;*;22;35.25;6;18.25;0;0.0;10.0
+;5;28.25;Notz Beni;***;14;54.5;7;27.5;2;-0.75;10.0
o;3;38.25;Aeschbacher Matthias;**;3;57.5;5;37.75;2;-0.5;8.5
o;6;46.75;Gerber Christian;**;6;56.5;7;46.5;1;-0.25;8.5

12a;Mathys Simon;**;;;;;;;;;55.0
-;;;Oertig Dominik;**;;;;;;;8.75
+;3;8.75;Vestner Roman;*;14;54.5;3;8.75;0;0.0;10.0
-;4;18.75;Burkhalter Stefan;***;13;54.75;4;18.75;0;0.0;8.75
+;7;27.5;Ackermann Remo;*;15;54.25;8;27.25;1;-0.25;10.0
-;6;37.5;Steiner Michael;**;15;54.25;8;37.0;2;-0.5;9.0
o;7;46.5;Schlegel Sandro;**;8;56.0;8;46.0;1;-0.5;8.5

12b;Baumann Rico;*;;;;;;;;;55.0
+;;;Schwyn Adrian;*;;;;;;;10.0
o;1;10.0;Piemontesi Pascal;**;13;54.75;3;8.75;2;-1.25;8.5
+;5;18.5;Schudel Simon;*;25;34.25;9;17.0;4;-1.5;9.75
o;5;28.25;Gottofrey Marc;**;5;56.75;5;28.25;0;0.0;8.5
o;9;36.75;Luginbühl Hanspeter;**;10;55.5;8;37.0;-1;0.25;8.5
+;11;45.25;Korrodi Paul;*;17;53.75;11;45.25;0;0.0;9.75

12c;Reusser Philipp;***;;;;;;;;;55.0
o;;;Orlik Armon;***;;;;;;;8.5
+;4;8.5;Pfister Florian;*;15;54.25;1;10.0;-3;1.5;9.75
+;6;18.25;Rüegg Fabian;*;18;53.25;4;18.75;-2;0.5;10.0
-;5;28.25;Giger Samuel;***;4;57.0;4;28.5;-1;0.25;9.0
-;7;37.25;Eugster Ruedi;**;14;54.5;7;37.25;0;0.0;8.75
-;8;46.0;Nägeli Marco;**;10;55.5;7;46.5;-1;0.5;9.0

12d;Giger Urs;*;;;;;;;;;55.0
o;;;Weyermann Florian;*;;;;;;;8.5
o;4;8.5;Wittwer Josias;*;22;35.25;4;8.5;0;0.0;8.5
+;9;17.0;Schwyn Adrian;*;26;34.0;9;17.0;0;0.0;10.0
+;9;27.0;Steffen Konrad;*;13;54.75;8;27.25;-1;0.25;9.75
o;9;36.75;Roschi Ruedi;**;10;55.5;7;37.25;-2;0.5;8.5
+;11;45.25;Dousse Michel;**;15;54.25;9;45.75;-2;0.5;9.75

13a;Roth Dominik;**;;;;;;;;;54.75
-;;;Notz Beni;***;;;;;;;8.75
+;3;8.75;Elmer Daniel;*;22;35.25;2;9.75;-1;1.0;9.75
-;5;18.5;Schlegel Sandro;**;8;56.0;5;18.5;0;0.0;9.0
+;7;27.5;Schmid Dominik;**;6;56.5;5;28.25;-2;0.75;10.0
o;6;37.5;Giger Samuel;***;4;57.0;6;37.5;0;0.0;8.5
-;8;46.0;Moser Steven;**;13;54.75;8;46.0;0;0.0;8.75

13b;Burkhalter Stefan;***;;;;;;;;;54.75
-;;;Piemontesi Pascal;**;;;;;;;8.75
+;3;8.75;Korrodi Paul;*;17;53.75;2;9.75;-1;1.0;10.0
-;4;18.75;Mathys Simon;**;12;55.0;4;18.75;0;0.0;8.75
o;7;27.5;Gerber Christian;**;6;56.5;5;28.25;-2;0.75;8.5
-;11;36.0;Wittwer Jan;*;14;54.5;7;37.25;-4;1.25;8.75
+;13;44.75;Ackermann Remo;*;15;54.25;9;45.75;-4;1.0;10.0

13c;Piemontesi Pascal;**;;;;;;;;;54.75
-;;;Burkhalter Stefan;***;;;;;;;8.75
+;3;8.75;Baumann Rico;*;12;55.0;1;10.0;-2;1.25;9.75
o;5;18.5;Anderegg Simon;***;7;56.25;5;18.5;0;0.0;8.5
+;9;27.0;Ammann Rico;*;22;35.25;10;26.75;1;-0.25;10.0
-;8;37.0;Oettli Marco;*;16;54.0;10;36.5;2;-0.5;9.0
-;8;46.0;Schneider Mario;**;16;54.0;11;45.25;3;-0.75;8.75

13d;Moser Steven;**;;;;;;;;;54.75
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;3;8.75;Odermatt Christoph;*;22;35.25;2;9.75;-1;1.0;10.0
-;4;18.75;Roth Martin;*;14;54.5;2;19.75;-2;1.0;8.75
+;7;27.5;Bernold Christian;**;15;54.25;7;27.5;0;0.0;10.0
o;6;37.5;Schneider Domenic;***;7;56.25;9;36.75;3;-0.75;8.5
-;8;46.0;Roth Dominik;**;13;54.75;8;46.0;0;0.0;8.75

13e;Steffen Konrad;*;;;;;;;;;54.75
+;;;Good Marco;*;;;;;;;10.0
-;1;10.0;Notz Beni;***;14;54.5;3;8.75;2;-1.25;8.75
o;4;18.75;Rychen Roger;***;10;55.5;5;18.5;1;-0.25;8.5
o;8;27.25;Giger Urs;*;12;55.0;9;27.0;1;-0.25;8.5
+;12;35.75;Vestner Bruno;*;20;52.75;12;35.75;0;0.0;10.0
-;9;45.75;Vestner Roman;*;14;54.5;9;45.75;0;0.0;9.0

14a;Gobeli Patrick;*;;;;;;;;;54.5
+;;;Bernold Christian;**;;;;;;;9.75
+;2;9.75;Oertig Dominik;**;24;34.5;3;8.75;1;-1.0;10.0
o;2;19.75;Schneider Domenic;***;7;56.25;6;18.25;4;-1.5;8.5
-;5;28.25;Kuster Marcel;***;11;55.25;9;27.0;4;-1.25;8.75
o;8;37.0;Nägeli Marco;**;10;55.5;9;36.75;1;-0.25;8.75
-;9;45.75;Dändliker Shane;*;14;54.5;9;45.75;0;0.0;8.75

14b;Vestner Roman;*;;;;;;;;;54.5
-;;;Koller Martin;*;;;;;;;8.75
o;3;8.75;Mathys Simon;**;12;55.0;3;8.75;0;0.0;8.5
-;8;17.25;Brodard Augustin;**;16;54.0;6;18.25;-2;1.0;8.75
+;12;26.0;Gartmann Mauro;*;24;34.5;12;26.0;0;0.0;9.75
+;12;35.75;Gwerder Andreas;**;20;52.75;13;35.5;1;-0.25;10.0
-;9;45.75;Steffen Konrad;*;13;54.75;9;45.75;0;0.0;8.75

14c;Wittwer Jan;*;;;;;;;;;54.5
-;;;Steiner Michael;**;;;;;;;8.75
+;3;8.75;Coray Beda;**;22;35.25;4;8.5;1;-0.25;9.75
-;5;18.5;Kuster Marcel;***;11;55.25;6;18.25;1;-0.25;8.75
+;8;27.25;Schlegel Sandro;**;8;56.0;7;27.5;-1;0.25;10.0
-;7;37.25;Burkhalter Stefan;***;13;54.75;11;36.0;4;-1.25;8.75
o;8;46.0;Leuppi Samir;**;7;56.25;7;46.5;-1;0.5;8.5

14d;Roth Martin;*;;;;;;;;;54.5
+;;;Dumelin David;*;;;;;;;9.75
+;2;9.75;Krähenbühl Tobias;***;24;34.5;3;8.75;1;-1.0;10.0
-;2;19.75;Moser Steven;**;13;54.75;4;18.75;2;-1.0;8.75
-;4;28.5;Dind Samuel;**;10;55.5;5;28.25;1;-0.25;8.75
-;7;37.25;Weyermann Florian;*;9;55.75;8;37.0;1;-0.25;8.75
o;8;46.0;Gottofrey Marc;**;5;56.75;6;46.75;-2;0.75;8.5

14e;Notz Beni;***;;;;;;;;;54.5
-;;;Roth Dominik;**;;;;;;;8.75
-;3;8.75;Steffen Konrad;*;13;54.75;1;10.0;-2;1.25;8.75
+;7;17.5;Jöhl Christian;*;16;54.0;5;18.5;-2;1.0;10.0
o;7;27.5;Schlegel Reto;*;11;55.25;5;28.25;-2;0.75;8.5
+;11;36.0;Brodard Augustin;**;16;54.0;9;36.75;-2;0.75;10.0
o;8;46.0;Gnägi Florian;***;6;56.5;6;46.75;-2;0.75;8.5

14f;Eugster Ruedi;**;;;;;;;;;54.5
-;;;Dousse Michel;**;;;;;;;8.75
+;3;8.75;Gwerder Andreas;**;20;52.75;4;8.5;1;-0.25;9.75
-;5;18.5;Luginbühl Hanspeter;**;10;55.5;6;18.25;1;-0.25;8.75
+;8;27.25;Korrodi Paul;*;17;53.75;9;27.0;1;-0.25;10.0
-;7;37.25;Reusser Philipp;***;12;55.0;7;37.25;0;0.0;8.75
o;8;46.0;Schenk Patrick;***;4;57.0;4;47.25;-4;1.25;8.5

14g;Dändliker Shane;*;;;;;;;;;54.5
-;;;Rüegg Fabian;*;;;;;;;8.75
+;3;8.75;Dumelin David;*;22;35.25;4;8.5;1;-0.25;10.0
o;4;18.75;Gnägi Florian;***;6;56.5;6;18.25;2;-0.5;8.5
+;8;27.25;Wittwer Josias;*;22;35.25;10;26.75;2;-0.5;10.0
o;7;37.25;von Weissenfluh Kilian;**;9;55.75;7;37.25;0;0.0;8.5
-;9;45.75;Gobeli Patrick;*;14;54.5;9;45.75;0;0.0;8.75

15a;Dousse Michel;**;;;;;;;;;54.25
-;;;Eugster Ruedi;**;;;;;;;8.75
o;3;8.75;Steiner Michael;**;15;54.25;3;8.75;0;0.0;8.5
+;8;17.25;Rüegg Roman;*;23;34.75;7;17.5;-1;0.25;10.0
+;8;27.25;Rüegg Fabian;*;18;53.25;8;27.25;0;0.0;10.0
o;7;37.25;Bless Michael;***;4;57.0;8;37.0;1;-0.25;8.5
o;9;45.75;Giger Urs;*;12;55.0;11;45.25;2;-0.5;8.5

15b;Landolt Reto;*;;;;;;;;;54.25
+;;;Wey Nicola;*;;;;;;;10.0
o;1;10.0;Anderegg Simon;***;7;56.25;4;8.5;3;-1.5;8.5
o;5;18.5;Kramer Lario;**;9;55.75;4;18.75;-1;0.25;8.5
-;9;27.0;Urfer Simon;*;18;53.25;8;27.25;-1;0.25;8.75
o;12;35.75;Pfister Florian;*;15;54.25;12;35.75;0;0.0;8.5
+;15;44.25;Vestner Bruno;*;20;52.75;15;44.25;0;0.0;10.0

15c;Ackermann Remo;*;;;;;;;;;54.25
-;;;Renfer Lukas;*;;;;;;;8.75
o;3;8.75;Geisser Lars;**;21;36.5;4;8.5;1;-0.25;8.5
+;8;17.25;Oertig Dominik;**;24;34.5;8;17.25;0;0.0;10.0
o;8;27.25;Mathys Simon;**;12;55.0;7;27.5;-1;0.25;8.5
+;12;35.75;Zbinden Marc;*;18;53.25;11;36.0;-1;0.25;10.0
o;9;45.75;Burkhalter Stefan;***;13;54.75;13;44.75;4;-1.0;8.5

15d;Bernold Christian;**;;;;;;;;;54.25
o;;;Gobeli Patrick;*;;;;;;;8.75
-;3;8.75;Duplan Steve;**;23;34.75;4;8.5;1;-0.25;8.75
+;7;17.5;Arztmann Beda;*;19;53.0;8;17.25;1;-0.25;10.0
o;7;27.5;Moser Steven;**;13;54.75;7;27.5;0;0.0;8.5
+;11;36.0;Koller Martin;*;23;34.75;15;34.75;4;-1.25;9.75
o;9;45.75;Kuster Marcel;***;11;55.25;10;45.5;1;-0.25;8.5

15e;Steiner Michael;**;;;;;;;;;54.25
-;;;Wittwer Jan;*;;;;;;;8.75
+;3;8.75;Dousse Michel;**;15;54.25;3;8.75;0;0.0;10.0
o;4;18.75;Sempach Thomas;***;4;57.0;5;18.5;1;-0.25;8.5
+;8;27.25;Pfister Florian;*;15;54.25;8;27.25;0;0.0;9.75
-;8;37.0;Mathys Simon;**;12;55.0;6;37.5;-2;0.5;8.75
o;9;45.75;Weyermann Florian;*;9;55.75;9;45.75;0;0.0;8.5

15f;Pfister Florian;*;;;;;;;;;54.25
+;;;Jöhl Christian;*;;;;;;;10.0
o;1;10.0;Reusser Philipp;***;12;55.0;4;8.5;3;-1.5;8.5
-;5;18.5;Urfer Simon;*;18;53.25;5;18.5;0;0.0;8.75
o;8;27.25;Steiner Michael;**;15;54.25;8;27.25;0;0.0;8.5
+;12;35.75;Landolt Reto;*;15;54.25;12;35.75;0;0.0;9.75
o;10;45.5;Schenkel Remo;*;9;55.75;9;45.75;-1;0.25;8.75

16a;Brodard Augustin;**;;;;;;;;;54.0
o;;;Schmid Dominik;**;;;;;;;8.5
+;4;8.5;Battaglia Ursin;**;29;17.0;4;8.5;0;0.0;9.75
-;6;18.25;Vestner Roman;*;14;54.5;8;17.25;2;-1.0;8.75
+;9;27.0;Ott Damian (2000);*;20;52.75;9;27.0;0;0.0;9.75
o;9;36.75;Notz Beni;***;14;54.5;11;36.0;2;-0.75;8.5
-;11;45.25;Kuster Thomas;*;17;53.75;12;45.0;1;-0.25;8.75

16b;Schneider Mario;**;;;;;;;;;54.0
o;;;Gottofrey Marc;**;;;;;;;8.5
o;4;8.5;Borcard Johann;**;11;55.25;3;8.75;-1;0.25;8.5
+;9;17.0;Coray Beda;**;22;35.25;9;17.0;0;0.0;10.0
+;9;27.0;Odermatt Christoph;*;22;35.25;10;26.75;1;-0.25;9.75
o;9;36.75;Schenk Patrick;***;4;57.0;7;37.25;-2;0.5;8.5
-;11;45.25;Piemontesi Pascal;**;13;54.75;8;46.0;-3;0.75;8.75

16c;Jöhl Christian;*;;;;;;;;;54.0
o;;;Pfister Florian;*;;;;;;;8.5
+;4;8.5;Schudel Simon;*;25;34.25;4;8.5;0;0.0;10.0
o;5;18.5;Notz Beni;***;14;54.5;7;17.5;2;-1.0;8.5
o;9;27.0;von Weissenfluh Kilian;**;9;55.75;8;27.25;-1;0.25;8.5
+;13;35.5;Urfer Simon;*;18;53.25;11;36.0;-2;0.5;10.0
o;10;45.5;Rüegg Fabian;*;18;53.25;15;44.25;5;-1.25;8.5

16d;Oettli Marco;*;;;;;;;;;54.0
+;;;Vestner Bruno;*;;;;;;;9.75
o;2;9.75;Roschi Ruedi;**;10;55.5;4;8.5;2;-1.25;8.5
