3748-2017-05-21_107_Zuercher_Kantonalschwingfest-ST

1a;Leuppi Samir;**;;;;;;;;;59.5
o;15;45.25;Fuster Sepp;;12;55.25;15;45.25;0;0.0;8.5

18c;Läng Dominick;;;;;;;;;;53.75
+;;;Maglia Leo (1999);;;;;;;;9.75
o;2;9.75;Dändliker Hansheinrich;;11;55.5;1;10.0;-1;0.25;8.5
o;7;18.25;Krähenbühl Lukas;*;12;55.25;10;17.25;3;-1.0;8.5
+;13;26.75;Gmür Sebastian (2001);;25;35.25;13;26.75;0;0.0;10.0
o;10;36.75;Rieser Fabian;;12;55.25;10;36.75;0;0.0;8.5
o;15;45.25;Leuppi Karim;*;16;54.25;18;44.25;3;-1.0;8.5

18d;Inauen Aurel;;;;;;;;;;53.75
+;;;Bollier Fabian;;;;;;;;9.75
-;2;9.75;Lehmann Philipp (1999);;13;55.0;1;10.0;-1;0.25;8.75
o;6;18.5;Bernold Michael (1999);;17;54.0;7;18.25;1;-0.25;8.75
-;11;27.25;Riget Ivan;*;15;54.5;12;27.0;1;-0.25;8.75
-;13;36.0;Pfleghart Remo;;15;54.5;13;36.0;0;0.0;8.75
-;17;44.75;Burkhard Tobias;;20;53.25;18;44.25;1;-0.5;9.0

19a;Ackermann Roman;;;;;;;;;;53.5
+;;;Berger Roman;;;;;;;;9.75
o;2;9.75;Odermatt Christoph;*;13;55.0;5;8.5;3;-1.25;8.5
+;7;18.25;Hänni Marc (2001);;16;54.25;7;18.25;0;0.0;9.75
o;8;28.0;Baumann Rico;*;13;55.0;9;27.75;1;-0.25;8.5
o;11;36.5;Breitenmoser Manuel;;9;56.0;11;36.5;0;0.0;8.5
o;16;45.0;Furrer Matthias;;14;54.75;16;45.0;0;0.0;8.5

19b;Dobler Lorenz (2000);;;;;;;;;;53.5
o;;;Lehmann Philipp (1999);;;;;;;;8.5
+;5;8.5;Maglia Leo (1999);;29;25.5;5;8.5;0;0.0;9.75
o;7;18.25;Kiener Raphael (2000);;16;54.25;6;18.5;-1;0.25;8.5
+;13;26.75;Sieber Marc (2000);;25;35.25;13;26.75;0;0.0;9.75
o;11;36.5;Näf Pius;*;9;56.0;9;37.0;-2;0.5;8.5
o;16;45.0;Hauser Simon;;12;55.25;14;45.5;-2;0.5;8.5

19c;Brugger Jonas (1999);;;;;;;;;;53.5
o;;;Candrian Gian-Luca;;;;;;;;8.5
+;5;8.5;Bossert Alain (2001);;25;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Frick Andreas;*;12;55.25;11;17.0;4;-1.25;8.5
+;13;26.75;Eugster Silvio;;26;34.25;15;25.75;2;-1.0;9.75
o;11;36.5;Kammermann Thomas;*;9;56.0;13;36.0;2;-0.5;8.5
o;16;45.0;Pfleghart Remo;;15;54.5;17;44.75;1;-0.25;8.5

19d;Lusti Remo (2001);;;;;;;;;;53.5
+;;;Boll Noel (2000);;;;;;;;9.75
o;2;9.75;Kammermann Thomas;*;9;56.0;5;8.5;3;-1.25;8.5
o;7;18.25;Braun Mathias;*;11;55.5;11;17.0;4;-1.25;8.5
+;13;26.75;Bossert Alain (2001);;25;35.25;13;26.75;0;0.0;9.75
o;11;36.5;Oettli Silvio (2000);;15;54.5;13;36.0;2;-0.5;8.5
o;16;45.0;Nock Benjamin (2001);;13;55.0;16;45.0;0;0.0;8.5

20a;Burkhard Tobias;;;;;;;;;;53.25
+;;;Manser Adrian;;;;;;;;10.0
-;1;10.0;Bottlang Michael;;18;53.75;2;9.75;1;-0.25;8.75
o;5;18.75;Rüegg Fabian;*;11;55.5;7;18.25;2;-0.5;8.5
o;11;27.25;Kunz Daniel;;8;56.25;11;27.25;0;0.0;8.5
o;14;35.75;Pianta Christian;;11;55.5;14;35.75;0;0.0;8.5
-;18;44.25;Inauen Aurel;;18;53.75;17;44.75;-1;0.5;9.0

21a;Pallaoro Luca;;;;;;;;;;52.75
-;;;Schwager Mike (2000);;;;;;;;8.75
o;4;8.75;Pianta Christian;;11;55.5;5;8.5;1;-0.25;8.5
o;10;17.25;Manser Adrian;;24;35.5;10;17.25;0;0.0;8.5
+;15;25.75;Vontobel Florian (2001);;26;34.25;15;25.75;0;0.0;10.0
o;14;35.75;Frauchiger Remo;;16;54.25;14;35.75;0;0.0;8.5
o;18;44.25;Burkhard Roger;;16;54.25;18;44.25;0;0.0;8.5

22a;Fässler Michael (1999);;;;;;;;;;36.75
+;;;Schmidlin Tobias (2001);;;;;;;;9.75
o;2;9.75;Wey Nicola;*;11;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Gmür Sebastian (2001);;25;35.25;7;18.25;0;0.0;10.0
o;7;28.25;Coray Beda;*;7;56.5;7;28.25;0;0.0;8.5

23a;Räbsamen Marcel (2000);;;;;;;;;;36.25
-;;;Hersche Daniel;;;;;;;;9.0
-;3;9.0;Leuppi Karim;*;16;54.25;5;8.5;2;-0.5;8.75
+;8;17.75;Odermatt Michi;;26;34.25;10;17.25;2;-0.5;10.0
o;9;27.75;Dumelin David;*;14;54.75;10;27.5;1;-0.25;8.5

24a;Schwager Mike (2000);;;;;;;;;;35.5
-;;;Pallaoro Luca;;;;;;;;8.75
o;4;8.75;Wettstein Daniel;;10;55.75;5;8.5;1;-0.25;8.5
o;10;17.25;Frauchiger Remo;;16;54.25;10;17.25;0;0.0;8.5
+;15;25.75;Käppeli Remo (2001);;26;34.25;15;25.75;0;0.0;9.75

24b;Bürgler Patrick;;;;;;;;;;35.5
+;;;Grimm Michael;;;;;;;;10.0
o;1;10.0;Gwerder Andreas;**;7;56.5;4;8.75;3;-1.25;8.5
o;6;18.5;Dändliker Shane;;9;56.0;5;18.75;-1;0.25;8.5
o;12;27.0;Bischof Martin;;11;55.5;12;27.0;0;0.0;8.5

24c;Städler Roman;;;;;;;;;;35.5
o;;;Inauen Andreas;*;;;;;;;8.5
o;5;8.5;Schmidlin Tobias (2001);;12;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Bickel Stefan;*;7;56.5;11;17.0;0;0.0;8.5
+;16;25.5;Kramer Lukas (2001);;27;34.0;16;25.5;0;0.0;10.0

24d;Keller Werner;;;;;;;;;;35.5
o;;;Vollmeier Sandro;;;;;;;;8.5
o;5;8.5;Schwyn Patrick (1999);;24;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Knabe Robert;;28;25.75;10;17.25;-1;0.25;10.0
o;12;27.0;Bäbler Dominik;*;7;56.5;12;27.0;0;0.0;8.5

24e;Manser Adrian;;;;;;;;;;35.5
o;;;Burkhard Tobias;;;;;;;;8.5
-;5;8.5;Odermatt Michi;;26;34.25;5;8.5;0;0.0;8.75
+;10;17.25;Pallaoro Luca;;21;52.75;10;17.25;0;0.0;9.75
o;12;27.0;Wey Nicola;*;11;55.5;12;27.0;0;0.0;8.5

24f;Berger Roman;;;;;;;;;;35.5
o;;;Ackermann Roman;;;;;;;;8.5
-;5;8.5;Streule Marco;;26;34.25;5;8.5;0;0.0;8.75
+;10;17.25;Eugster Silvio;;26;34.25;10;17.25;0;0.0;9.75
o;12;27.0;Krähenbühl Lukas;*;12;55.25;12;27.0;0;0.0;8.5

24g;Brülisauer Dominik (2001);;;;;;;;;;35.5
o;;;Bosshard Dario (1999);;;;;;;;8.5
+;5;8.5;Stadelmann Valentin (2000);;25;35.25;5;8.5;0;0.0;9.75
-;7;18.25;Hauser Simon;;12;55.25;7;18.25;0;0.0;8.75
o;12;27.0;Leuppi Karim;*;16;54.25;15;25.75;3;-1.25;8.5

24h;Horner Sämi;;;;;;;;;;35.5
o;;;Schmid Reto;;;;;;;;8.5
o;5;8.5;Fäh Tobias;;17;54.0;4;8.75;-1;0.25;8.5
o;11;17.0;Riget Ivan;*;15;54.5;10;17.25;-1;0.25;8.5
+;16;25.5;Glättli Benny;;27;34.0;16;25.5;0;0.0;10.0

24i;Schiesser Patrik;;;;;;;;;;35.5
o;;;Hungerbühler Marcel;;;;;;;;8.5
o;5;8.5;Neff Florian;;17;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Kramer Lukas (2001);;27;34.0;11;17.0;0;0.0;10.0
o;12;27.0;Keller Andreas;*;14;54.75;13;26.75;1;-0.25;8.5

24j;Thoma Luca (2000);;;;;;;;;;35.5
o;;;Kunz Daniel;;;;;;;;8.5
-;5;8.5;Knabe Robert;;28;25.75;5;8.5;0;0.0;8.75
o;10;17.25;Korrodi Paul;*;15;54.5;10;17.25;0;0.0;8.5
+;15;25.75;Odermatt Michi;;26;34.25;15;25.75;0;0.0;9.75

24k;Schwyn Adrian;;;;;;;;;;35.5
+;;;Frauchiger Remo;;;;;;;;10.0
o;1;10.0;Reichmuth Beat;;10;55.75;1;10.0;0;0.0;8.5
o;6;18.5;Steiner Michael;**;9;56.0;9;17.5;3;-1.0;8.5
o;12;27.0;Schäppi Urs;;6;56.75;12;27.0;0;0.0;8.5

24l;Hugener Adrian (2000);;;;;;;;;;35.5
+;;;Sieber Marc (2000);;;;;;;;10.0
o;1;10.0;Morger Adrian;*;11;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Funk Nicola (1999);;12;55.25;6;18.5;0;0.0;8.5
o;12;27.0;Schmidlin Tobias (2001);;12;55.25;12;27.0;0;0.0;8.5

24m;Nüssli Philipp;*;;;;;;;;;35.5
+;;;Funk Nicola (1999);;;;;;;;10.0
o;1;10.0;Nägeli Marco;*;6;56.75;2;9.75;1;-0.25;8.5
o;6;18.5;Candrian Gian-Luca;;9;56.0;1;20.0;-5;1.5;8.5
o;12;27.0;Bickel Stefan;*;7;56.5;12;27.0;0;0.0;8.5

24n;Büchler Livio (2001);;;;;;;;;;35.5
o;;;Lanter Christian;;;;;;;;8.5
+;5;8.5;Vontobel Florian (2001);;26;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Wettstein Daniel;;10;55.75;6;18.5;0;0.0;8.5
o;12;27.0;Spangaro Luciano (2001);;6;56.75;12;27.0;0;0.0;8.5

24o;Kiser Michael;;;;;;;;;;35.5
+;;;Käppeli Remo (2001);;;;;;;;9.75
-;2;9.75;Nock Benjamin (2001);;13;55.0;3;9.0;1;-0.75;8.75
o;6;18.5;Inauen Andreas;*;13;55.0;6;18.5;0;0.0;8.5
o;12;27.0;Rüegg Patrick (1999);;16;54.25;12;27.0;0;0.0;8.5

24p;Schönenberger Christian;;;;;;;;;;35.5
+;;;Schwager Ivo;;;;;;;;10.0
o;1;10.0;Bosshard Dario (1999);;12;55.25;2;9.75;1;-0.25;8.5
o;6;18.5;Elmer Daniel;*;7;56.5;8;17.75;2;-0.75;8.5
o;12;27.0;Hungerbühler Marcel;;17;54.0;12;27.0;0;0.0;8.5

24q;Pfister Florian;*;;;;;;;;;35.5
o;;;Arztmann Beda;;;;;;;;8.5
+;5;8.5;Frick Andreas;*;12;55.25;5;8.5;0;0.0;10.0
o;6;18.5;Reichmuth Beat;;10;55.75;2;19.75;-4;1.25;8.5
o;12;27.0;Wettstein Daniel;;10;55.75;7;28.25;-5;1.25;8.5

24r;Schwyn Patrick (1999);;;;;;;;;;35.5
o;;;Wittenwiler Roman;;;;;;;;8.5
+;5;8.5;Keller Werner;;24;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Güntensperger Marcel;*;16;54.25;7;18.25;1;-0.25;8.5
o;12;27.0;Fäh Tobias;;17;54.0;12;27.0;0;0.0;8.5

25a;Grimm Michael;;;;;;;;;;35.25
o;;;Bürgler Patrick;;;;;;;;8.5
+;5;8.5;Käppeli Remo (2001);;26;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Raschle Adrian;;11;55.5;6;18.5;-1;0.25;8.5
o;13;26.75;Langenegger Beat;;16;54.25;13;26.75;0;0.0;8.5

25b;Stadelmann Valentin (2000);;;;;;;;;;35.25
o;;;Hänni Marc (2001);;;;;;;;8.5
o;5;8.5;Brülisauer Dominik (2001);;24;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Schegg Daniel (2000);;18;53.75;11;17.0;0;0.0;8.5
+;16;25.5;Boll Noel (2000);;27;34.0;16;25.5;0;0.0;9.75

25c;Sieber Marc (2000);;;;;;;;;;35.25
o;;;Hugener Adrian (2000);;;;;;;;8.5
o;5;8.5;Rieser Fabian;;12;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Boll Noel (2000);;27;34.0;11;17.0;0;0.0;9.75
o;13;26.75;Dobler Lorenz (2000);;19;53.5;13;26.75;0;0.0;8.5

25d;Bollier Fabian;;;;;;;;;;35.25
o;;;Inauen Aurel;;;;;;;;8.5
+;5;8.5;Glättli Benny;;27;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Fuster Sepp;;12;55.25;7;18.25;0;0.0;8.5
o;13;26.75;Rieser Fabian;;12;55.25;13;26.75;0;0.0;8.5

25e;Eichhorn Alexander;;;;;;;;;;35.25
+;;;Gmür Sebastian (2001);;;;;;;;9.75
o;2;9.75;Candrian Gian-Luca;;9;56.0;1;10.0;-1;0.25;8.5
o;7;18.25;Nock Benjamin (2001);;13;55.0;8;17.75;1;-0.5;8.5
o;13;26.75;Schegg Daniel (2000);;18;53.75;13;26.75;0;0.0;8.5

25f;Bossert Alain (2001);;;;;;;;;;35.25
o;;;Buchmann Michael;;;;;;;;8.5
o;5;8.5;Brugger Jonas (1999);;19;53.5;5;8.5;0;0.0;8.5
+;11;17.0;Maglia Leo (1999);;29;25.5;11;17.0;0;0.0;9.75
o;13;26.75;Lusti Remo (2001);;19;53.5;13;26.75;0;0.0;8.5

25g;Gmür Sebastian (2001);;;;;;;;;;35.25
o;;;Eichhorn Alexander;;;;;;;;8.5
+;5;8.5;Kramer Lukas (2001);;27;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Fässler Michael (1999);;22;36.75;7;18.25;0;0.0;8.5
o;13;26.75;Läng Dominick;;18;53.75;13;26.75;0;0.0;8.5

25h;Schmid Reto;;;;;;;;;;35.25
+;;;Horner Sämi;;;;;;;;9.75
o;2;9.75;Dumelin David;*;14;54.75;3;9.0;1;-0.75;8.5
o;7;18.25;Vollmeier Sandro;;13;55.0;7;18.25;0;0.0;8.5
o;13;26.75;Bottlang Michael;;18;53.75;12;27.0;-1;0.25;8.5

26a;Odermatt Michi;;;;;;;;;;34.25
o;;;Bottlang Michael;;;;;;;;8.5
-;5;8.5;Manser Adrian;;24;35.5;5;8.5;0;0.0;8.75
o;10;17.25;Räbsamen Marcel (2000);;23;36.25;8;17.75;-2;0.5;8.5
o;15;25.75;Thoma Luca (2000);;24;35.5;15;25.75;0;0.0;8.5

26b;Vontobel Florian (2001);;;;;;;;;;34.25
o;;;Kiener Raphael (2000);;;;;;;;8.5
o;5;8.5;Büchler Livio (2001);;24;35.5;5;8.5;0;0.0;8.5
-;11;17.0;Käppeli Remo (2001);;26;34.25;11;17.0;0;0.0;8.75
o;15;25.75;Pallaoro Luca;;21;52.75;15;25.75;0;0.0;8.5

26c;Eugster Silvio;;;;;;;;;;34.25
o;;;Furrer Matthias;;;;;;;;8.5
-;5;8.5;Burkhard Roger;;16;54.25;5;8.5;0;0.0;8.75
o;10;17.25;Berger Roman;;24;35.5;10;17.25;0;0.0;8.5
o;15;25.75;Brugger Jonas (1999);;19;53.5;13;26.75;-2;1.0;8.5

26d;Streule Marco;;;;;;;;;;34.25
o;;;Schäppi Urs;;;;;;;;8.5
-;5;8.5;Berger Roman;;24;35.5;5;8.5;0;0.0;8.75
o;10;17.25;Pfleghart Remo;;15;54.5;9;17.5;-1;0.25;8.5
o;15;25.75;Dubler Mike (1999);;17;54.0;14;26.25;-1;0.5;8.5

26e;Käppeli Remo (2001);;;;;;;;;;34.25
o;;;Kiser Michael;;;;;;;;8.5
o;5;8.5;Grimm Michael;;25;35.25;5;8.5;0;0.0;8.5
-;11;17.0;Vontobel Florian (2001);;26;34.25;11;17.0;0;0.0;8.75
o;15;25.75;Schwager Mike (2000);;24;35.5;15;25.75;0;0.0;8.5

27a;Glättli Benny;;;;;;;;;;34.0
o;;;Raschle Adrian;;;;;;;;8.5
o;5;8.5;Bollier Fabian;;25;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Burkhard Roger;;16;54.25;10;17.25;-1;0.25;8.5
o;16;25.5;Horner Sämi;;24;35.5;16;25.5;0;0.0;8.5

27b;Kramer Lukas (2001);;;;;;;;;;34.0
o;;;Bucher Roland;;;;;;;;8.5
o;5;8.5;Gmür Sebastian (2001);;25;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Schiesser Patrik;;24;35.5;11;17.0;0;0.0;8.5
o;16;25.5;Städler Roman;;24;35.5;16;25.5;0;0.0;8.5

27c;Schwager Ivo;;;;;;;;;;34.0
o;;;Schönenberger Christian;;;;;;;;8.5
o;5;8.5;Funk Nicola (1999);;12;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Hurschler Michael;;16;54.25;10;17.25;-1;0.25;8.5
o;16;25.5;Hänni Marc (2001);;16;54.25;13;26.75;-3;1.25;8.5

27d;Boll Noel (2000);;;;;;;;;;34.0
o;;;Lusti Remo (2001);;;;;;;;8.5
o;5;8.5;Langenegger Beat;;16;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Sieber Marc (2000);;25;35.25;11;17.0;0;0.0;8.5
o;16;25.5;Stadelmann Valentin (2000);;25;35.25;16;25.5;0;0.0;8.5

28a;Knabe Robert;;;;;;;;;;25.75
o;;;Bischof Martin;;;;;;;;8.5
-;5;8.5;Thoma Luca (2000);;24;35.5;5;8.5;0;0.0;8.75
o;10;17.25;Keller Werner;;24;35.5;11;17.0;1;-0.25;8.5

29a;Maglia Leo (1999);;;;;;;;;;25.5
o;;;Läng Dominick;;;;;;;;8.5
o;5;8.5;Dobler Lorenz (2000);;19;53.5;5;8.5;0;0.0;8.5
o;11;17.0;Bossert Alain (2001);;25;35.25;11;17.0;0;0.0;8.5

30a;Schweingruber Thomas;;;;;;;;;;8.5
o;;;Dändliker Hansheinrich;;;;;;;;8.5

