3748-2017-05-21_107_Zuercher_Kantonalschwingfest-ST

1a;Leuppi Samir;**;;;;;;;;;59.5
o;1;10.0;Bernold Christian;**;5;57.0;3;9.0;2;-1.0;8.5
+;6;18.5;Schuler Martin;;12;55.25;5;18.75;-1;0.25;10.0
+;6;28.5;Bucher Roland;;16;54.25;6;28.5;0;0.0;9.75
o;4;38.25;Burkhalter Stefan;***;10;55.75;9;37.0;5;-1.25;8.5
+;9;46.75;Vollmeier Sandro;;13;55.0;10;46.5;1;-0.25;9.75

7b;Coray Beda;*;;;;;;;;;56.5
+;;;Odermatt Christoph;*;;;;;;;9.75
o;2;9.75;Krähenbühl Tobias;***;7;56.5;5;8.5;3;-1.25;8.5
+;7;18.25;Kunz Daniel;;8;56.25;5;18.75;-2;0.5;10.0
+;7;28.25;Fässler Michael (1999);;22;36.75;7;28.25;0;0.0;10.0
+;4;38.25;Ammann Rico;*;10;55.75;4;38.25;0;0.0;9.75
o;4;48.0;Horner Peter;***;6;56.75;9;46.75;5;-1.25;8.5

7c;Bickel Stefan;*;;;;;;;;;56.5
o;;;Rüegg Fabian;*;;;;;;;8.5
o;5;8.5;Bollhalder Manuel (2001);;8;56.25;2;9.75;-3;1.25;8.5
+;11;17.0;Städler Roman;;24;35.5;11;17.0;0;0.0;10.0
+;12;27.0;Nüssli Philipp;*;24;35.5;12;27.0;0;0.0;9.75
+;10;36.75;Schmidlin Tobias (2001);;12;55.25;9;37.0;-1;0.25;9.75
+;10;46.5;Bosshard Dario (1999);;12;55.25;9;46.75;-1;0.25;10.0

7d;Gwerder Andreas;**;;;;;;;;;56.5
-;;;Bühler Ernst;**;;;;;;;8.75
+;4;8.75;Bürgler Patrick;;24;35.5;1;10.0;-3;1.25;10.0
-;5;18.75;Kuster Thomas;*;15;54.5;5;18.75;0;0.0;9.0
-;9;27.75;Wittenwiler Roman;;11;55.5;7;28.25;-2;0.5;8.75
+;11;36.5;Büsser André;;15;54.5;7;37.5;-4;1.0;10.0
+;10;46.5;Frick Andreas;*;12;55.25;9;46.75;-1;0.25;10.0

7e;Elmer Daniel;*;;;;;;;;;56.5
-;;;Oertle Daniel;*;;;;;;;9.0
-;3;9.0;Notz Armin;*;10;55.75;4;8.75;1;-0.25;8.75
+;8;17.75;Schönenberger Christian;;24;35.5;6;18.5;-2;0.75;10.0
+;9;27.75;Oettli Silvio (2000);;15;54.5;10;27.5;1;-0.25;10.0
+;6;37.75;Kindlimann Fabian;***;10;55.75;8;37.25;2;-0.5;10.0
-;5;47.75;Ammann Rico;*;10;55.75;8;47.0;3;-0.75;8.75

7f;Bäbler Dominik;*;;;;;;;;;56.5
o;;;Ackermann Remo;*;;;;;;;8.5
-;5;8.5;Ott Dominik;*;17;54.0;5;8.5;0;0.0;8.75
+;10;17.25;Rieser Fabian;;12;55.25;7;18.25;-3;1.0;9.75
+;12;27.0;Keller Werner;;24;35.5;12;27.0;0;0.0;9.75
+;10;36.75;Fuster Sepp;;12;55.25;10;36.75;0;0.0;10.0
+;9;46.75;Morger Adrian;*;11;55.5;9;46.75;0;0.0;9.75

7g;Krähenbühl Tobias;***;;;;;;;;;56.5
o;;;Leuppi Samir;**;;;;;;;8.5
+;5;8.5;Coray Beda;*;7;56.5;2;9.75;-3;1.25;10.0
+;6;18.5;Schmid Patrick;*;9;56.0;5;18.75;-1;0.25;10.0
-;6;28.5;Nägeli Marco;*;6;56.75;3;29.5;-3;1.0;9.0
-;7;37.5;Schnurrenberger Roman;**;3;57.5;3;38.5;-4;1.0;9.0
+;10;46.5;Rüegg Fabian;*;11;55.5;8;47.0;-2;0.5;10.0

7h;Schläpfer Matthias;*;;;;;;;;;56.5
+;;;Leuppi Karim;*;;;;;;;10.0
-;1;10.0;Oertig Adrian;**;5;57.0;1;10.0;0;0.0;8.75
o;5;18.75;Schneider Mario;**;4;57.25;5;18.75;0;0.0;8.5
